ERR1912978.144__1.144	1297617__A0A0S2W8P7__BIV19_11120
ERR1912978.3284857__1.3284857	39485__C4Z0B2__EUBELI_01024
ERR1912978.3285074__1.3285074	820__A0A174EV88__HMPREF1072_01427
ERR1912978.3285101__1.3285101	329854__R5MM66__DXD27_21515
ERR1912978.3285216__1.3285216	1628085__A0A2U1B224__C7386_12221
ERR1912978.3285283__1.3285283	28052__A0A174YGN0__mcp4_2
ERR1912978.3285505__1.3285505	28116__A7LUQ0__CUY_2205
ERR1912978.3285532__1.3285532	821__A0A397WGD6__M098_0084
ERR1912978.3285621__1.3285621	821__A0A3E4KIM1__M097_3660
ERR1912978.3285659__1.3285659	214856__A0A174FWM7__ERS852559_00590
ERR1912978.3285768__1.3285768	1105031__J1H3W2__HMPREF1141_2783
ERR1912978.3285757__1.3285757	39496__A5Z5I2__EUBVEN_00963
ERR1912978.3285759__1.3285759	649756__B0NYW1__DCR88_01045
ERR1912978.3285826__1.3285826	33038__A0A396G729__RUMGNA_01796
ERR1912978.3285908__1.3285908	821__A0A396F598__CUU_3259
ERR1912978.3285919__1.3285919	1796613__A0A1C7H6N8__ADH74_01350
ERR1912978.3286031__1.3286031	239935__A0A2N8ILG3__CXT93_10135
ERR1912978.3286191__1.3286191	649756__A0A174Q8Z0__mtlD_4
ERR1912978.3286325__1.3286325	28116__R6JAK2__DXD69_23875
ERR1912978.3286531__1.3286531	39485__A0A174YTF7__ERS852490_01271
ERR1912978.3286576__1.3286576	360807__C0FPN7__ERS852444_02993
ERR1912978.3286733__1.3286733	329854__R5MCA8__DXD57_18415
ERR1912978.3286736__1.3286736	239935__R7E524__CXT91_06180
ERR1912978.3286756__1.3286756	28052__R6KXH8__ERS852451_00168
ERR1912978.3286841__1.3286841	384639__GCA_003096855.1_01181
ERR1912978.3286911__1.3286911	165179__D1PDF6__DXB80_12430
ERR1912978.3287050__1.3287050	1160721__A0A1C6DCM8__RBI_I01997
ERR1912978.3287054__1.3287054	28116__A0A078Q1V5__SAMN05444282_12168
ERR1912978.3287136__1.3287136	301301__G2SXB0__RHOM_09565
ERR1912978.3287145__1.3287145	28052__A0A174HUY2__ERS852451_01601
ERR1912978.3287188__1.3287188	39491__A0A173U130__ERE_16110
ERR1912978.3287401__1.3287401	821__A0A395VLM8__BvMPK_3650
ERR1912978.3287488__1.3287488	1150298__A0A173YHI7__ERS852406_00466
ERR1912978.3287541__1.3287541	821__A0A395UNT8__DXD64_15275
ERR1912978.3287656__1.3287656	706562__GCA_900112995.1_01419
ERR1912978.3287802__1.3287802	29361__B6FQ82__CLONEX_02301
ERR1912978.3287813__1.3287813	292800__A0A1C7FQ87__atpH
ERR1912978.3287960__1.3287960	33038__A0A396G9G9__CDL21_03070
ERR1912978.3287990__1.3287990	239935__R6JAS2__CXU02_10725
ERR1912978.3287999__1.3287999	821__E5UY21__C800_02204
ERR1912978.3288016__1.3288016	562__P0A9K7__AUQ29_19530
ERR1912978.3288194__1.3288194	1897011__A0A1Q6RGG6__BHW41_02770
ERR1912978.3288423__1.3288423	2292352__A0A374UNQ1__DXC23_00970
ERR1912978.3288477__1.3288477	329854__A0A3E4KPG4__DXD27_21195
ERR1912978.3288488__1.3288488	1262743__R5C054__BN727_01980
ERR1912978.3288673__1.3288673	33038__A7B6V0__CDL25_07145
ERR1912978.3289209__1.3289209	239935__A0A2N8HW65__CXU09_08515
ERR1912978.3289351__1.3289351	33038__A0A2N5P3M1__DXD36_15590
ERR1912978.3289478__1.3289478	487174__K0XA48__DDY40_03955
ERR1912978.3289938__1.3289938	820__A0A174G065__DXB62_08975
ERR1912978.3289953__1.3289953	292800__A0A174Y0J1__HMPREF0372_03035
ERR1912978.3289960__1.3289960	552398__T5S086__HMPREF0866_01580
ERR1912978.3290046__1.3290046	39485__A0A174ZQ05__EUBELI_01606
ERR1912978.3290169__1.3290169	562__P0ABQ5__COD41_16240
ERR1912978.3290233__1.3290233	544644__GCA_001915615.1_00029
ERR1912978.3290561__1.3290561	1160721__W0U811__RBI_II00162
ERR1912978.3290622__1.3290622	239935__A0A2N8HL50__CXT98_09135
ERR1912978.3290936__1.3290936	501571__R8VSP2__HMPREF1526_02946
ERR1912978.3291128__1.3291128	821__A0A396F9T7__M097_3427
ERR1912978.3291203__1.3291203	649756__D4MUE9__ERS852425_03110
ERR1912978.3291260__1.3291260	261299__W1UHF6__dprA
ERR1912978.3291343__1.3291343	28052__A0A174LZK5__ERS852451_02148
ERR1912978.3291345__1.3291345	820__A7VAR9__ERS852421_00197
ERR1912978.3291374__1.3291374	39491__A0A395UXH0__EUBREC_0021
ERR1912978.3291542__1.3291542	360807__A0A1Q6TDQ5__ROSEINA2194_04225
ERR1912978.3291570__1.3291570	33038__A0A396G4K0__CDL22_09365
ERR1912978.3291746__1.3291746	1150298__A0A174HXS4__ERS852498_00503
ERR1912978.3291850__1.3291850	487174__K0X455__HMPREF9448_00399
ERR1912978.3291999__1.3291999	821__I9R3W6__DXC16_12455
ERR1912978.3292146__1.3292146	821__C6Z087__DXB90_00750
ERR1912978.3292260__1.3292260	33038__A7B057__CDL26_15045
ERR1912978.3292291__1.3292291	39486__G1WM36__DXD10_02135
ERR1912978.3292485__1.3292485	33038__A0A2N5NXH5__CDL27_14300
ERR1912978.3292693__1.3292693	329854__R7DLP0__DXD27_18335
ERR1912978.3292709__1.3292709	562__C6EBU6__ESQG_00710
ERR1912978.3292733__1.3292733	360807__A0A1Q6T9R3__ERS852392_02666
ERR1912978.3292761__1.3292761	33038__A0A2N5NWR8__CDL18_14140
ERR1912978.3292777__1.3292777	106588__A6NUL8__BACCAP_01900
ERR1912978.3292940__1.3292940	165179__D1PGU8__PREVCOP_06463
ERR1912978.3292984__1.3292984	10680__GeneID:1261092
ERR1912978.3293026__1.3293026	292800__A0A174SJV9__dppA_6
ERR1912978.3293116__1.3293116	239935__A0A2N8I8X8__B5G29_00185
ERR1912978.3293255__1.3293255	818__A0A0P0FPQ9__BT_4391
ERR1912978.3293410__1.3293410	821__A0A173XDD3__DXB82_17180
ERR1912978.3293497__1.3293497	165179__D1PGU8__PREVCOP_06463
ERR1912978.3293506__1.3293506	357276__B6W1J2__BACDOR_03380
ERR1912978.3293712__1.3293712	33038__A0A2N5NUB0__CCY17_12840
ERR1912978.3293714__1.3293714	487174__K0X9T7__HMPREF9448_00996
ERR1912978.3293778__1.3293778	821__I9R3W6__DXC16_12455
ERR1912978.3293759__1.3293759	1965604__A0A1Y4EJN3__B5F54_16620
ERR1912978.3294056__1.3294056	154288__A0A174TKH1__ERS852422_02184
ERR1912978.3294138__1.3294138	820__R9I2U8__DXC68_09590
ERR1912978.3294252__1.3294252	39485__R5ZPP8__EUBELI_20334
ERR1912978.3294338__1.3294338	28052__R7NCE0__ERS852499_00449
ERR1912978.3294348__1.3294348	360807__A0A396AIC7__ERS852392_01627
ERR1912978.3294407__1.3294407	301301__A0A395V8E1__RHOM_11160
ERR1912978.3294464__1.3294464	33039__D4M6I1__nadB_2
ERR1912978.3294474__1.3294474	28117__B0MTW8__ALIPUT_00502
ERR1912978.3294535__1.3294535	301301__A0A395V4X8__ERS852391_01546
ERR1912978.3294572__1.3294572	28052__A0A174KUL2__phoR_1
ERR1912978.3294600__1.3294600	214856__A0A174ZEF7__mboIIM_1
ERR1912978.3294609__1.3294609	357276__I9QBT7__BSEG_03340
ERR1912978.3294624__1.3294624	301301__A0A395V714__evgS
ERR1912978.3294665__1.3294665	28118__R6F6C0__Odosp_0731
ERR1912978.3294689__1.3294689	40519__U2MCQ8__RUMCAL_00556
ERR1912978.3294777__1.3294777	384639__GCA_003096855.1_01226
ERR1912978.3294940__1.3294940	821__A6L0C7__ERS852556_03520
ERR1912978.3295014__1.3295014	28052__R7NCE0__ERS852499_00449
ERR1912978.3295159__1.3295159	1897011__A0A1Q6RE59__BHW41_04605
ERR1912978.3295211__1.3295211	39485__C4Z6F3__EUBELI_20400
ERR1912978.3295214__1.3295214	1263000__R5EM82__BN466_00016
ERR1912978.3295326__1.3295326	487174__K0WXI9__HMPREF9448_02340
ERR1912978.3295422__1.3295422	1262988__R7N096__BN816_01535
ERR1912978.3295456__1.3295456	301301__A0A395VA63__sbcC
ERR1912978.3295485__1.3295485	820__A7V470__HMPREF1072_02076
ERR1912978.3295533__1.3295533	446660__GCA_003428235.1_00802
ERR1912978.3295620__1.3295620	1160721__R6T344__RBI_I00565
ERR1912978.3295850__1.3295850	853__D4JY61__C4N21_10560
ERR1912978.3295910__1.3295910	360807__A0A396AK01__RIL183_20461
ERR1912978.3296006__1.3296006	1547__B0N3H3__DW242_09365
ERR1912978.3296202__1.3296202	821__A0A173XDD3__DXB82_17180
ERR1912978.3296296__1.3296296	165179__A0A174UTZ7__DXC61_06705
ERR1912978.3296394__1.3296394	821__A0A0N7J7X2__SAMN04487923_101621
ERR1912978.3296428__1.3296428	33038__F7JTF2__CDL22_02335
ERR1912978.3296556__1.3296556	39485__A0A174YMI9__cph2_5
ERR1912978.3296583__1.3296583	2292352__A0A374UJE7__DXC23_11305
ERR1912978.3296674__1.3296674	487174__K0WV13__DIT83_10890
ERR1912978.3296697__1.3296697	818__A0A3E5HXH0__NCTC13706_02166
ERR1912978.3296754__1.3296754	649756__D4N1B5__HMPREF0369_02034
ERR1912978.3296857__1.3296857	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1912978.3297214__1.3297214	501571__R8VTU0__B5F17_00445
ERR1912978.3297275__1.3297275	292800__A0A174VL30__A4U99_16555
ERR1912978.3297350__1.3297350	329854__B3C787__BACINT_00778
ERR1912978.3297541__1.3297541	329854__R5LXT8__DXD57_15625
ERR1912978.3297755__1.3297755	1262986__R6AUH5__BN492_00246
ERR1912978.3297800__1.3297800	28052__A0A174GFL5__ERS852451_00478
ERR1912978.3297825__1.3297825	246787__A0A0P0GJP1__BcellWH2_03982
ERR1912978.3297866__1.3297866	820__A0A3E4VZT7__DXB48_16145
ERR1912978.3298049__1.3298049	329854__R5LZ68__BACINT_01603
ERR1912978.3298063__1.3298063	1547__H1ARQ5__DW242_08115
ERR1912978.3298126__1.3298126	33038__A0A2N5NWR8__CDL18_14140
ERR1912978.3298180__1.3298180	40519__U2MCQ8__RUMCAL_00556
ERR1912978.3298361__1.3298361	821__C6Z451__BHV80_04265
ERR1912978.3298383__1.3298383	33025__A0A395JBB5__C8D73_107104
ERR1912978.3298672__1.3298672	39485__R6AET9__EUBELI_01205
ERR1912978.3298924__1.3298924	501571__R8W6F7__B5F15_14400
ERR1912978.3299079__1.3299079	39485__R6AKA4__rssA
ERR1912978.3299346__1.3299346	357276__A0A076ISJ4__B5F95_19420
ERR1912978.3299485__1.3299485	329854__R5MKJ2__DXD27_16110
ERR1912978.3299549__1.3299549	1262746__R5SS80__BN750_02125
ERR1912978.3299966__1.3299966	329854__R5LZ68__BACINT_01603
ERR1912978.3300056__1.3300056	820__A0A3E5BMG9__DXD40_05130
ERR1912978.3300214__1.3300214	28116__A7LUQ0__CUY_2205
ERR1912978.3300218__1.3300218	1297617__A0A0S2W724__IB211_02743
ERR1912978.3300315__1.3300315	39485__R6A1W2__ERS852490_01584
ERR1912978.3300303__1.3300303	394340__proP_1
ERR1912978.3300537__1.3300537	1262825__R5ECH5__BN724_02253
ERR1912978.3300589__1.3300589	292800__G9YSV5__HMPREF9460_03325
ERR1912978.3300605__1.3300605	1965604__A0A1Y4EYM2__B5F54_05515
ERR1912978.3300675__1.3300675	1628085__A0A2U1BGX7__C7386_101149
ERR1912978.3300865__1.3300865	33038__A0A396GES8__CDL19_08885
ERR1912978.3300917__1.3300917	2173__A0A1D2WTR8__METSMIALI_00113
ERR1912978.3301135__1.3301135	239935__A0A3F3K9J9__DEF40_00940
ERR1912978.3301289__1.3301289	820__A7V9F9__B5G17_14640
ERR1912978.3301484__1.3301484	821__A0A173WG51__BVU_2549
ERR1912978.3301572__1.3301572	1160721__R6U7V4__BHW50_02190
ERR1912978.3301584__1.3301584	33038__A0A396G387__HMPREF1201_01180
ERR1912978.3301712__1.3301712	357276__B6VXX7__HMPREF1063_02683
ERR1912978.3301824__1.3301824	706562__GCA_900112995.1_00569
ERR1912978.3301825__1.3301825	1160721__W0U2W0__BHW50_02075
ERR1912978.3301982__1.3301982	418240__A0A173XQZ4__yusO
ERR1912978.3302221__1.3302221	33038__A0A2N5NVA1__DXD36_11535
ERR1912978.3302459__1.3302459	820__A0A3E4VXP2__yesR
ERR1912978.3302481__1.3302481	360807__C0FWL1__RIL183_24711
ERR1912978.3302563__1.3302563	39492__D4JRR5__ERS852540_02089
ERR1912978.3302612__1.3302612	360807__A0A1Q6T5F1__fliF
ERR1912978.3302668__1.3302668	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1912978.3302768__1.3302768	39488__A0A374N0M3__EUBHAL_02860
ERR1912978.3302855__1.3302855	1547__H1ARK5__DW242_07870
ERR1912978.3302869__1.3302869	821__A0A3E4KIM1__M097_3660
ERR1912978.3302990__1.3302990	165179__A0A3E5EA43__DXC61_07775
ERR1912978.3303087__1.3303087	360807__C0FPW0__ROSEINA2194_00763
ERR1912978.3303112__1.3303112	39491__A0A395ZBQ4__cph2_2
ERR1912978.3303279__1.3303279	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912978.3303377__1.3303377	39485__R5ZRT8__gmr_6
ERR1912978.3303348__1.3303348	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.3303386__1.3303386	329854__R5ML94__DXD57_11235
ERR1912978.3303431__1.3303431	1160721__R6U304__BHW50_05725
ERR1912978.3303441__1.3303441	33038__F7JTF2__CDL22_02335
ERR1912978.3303478__1.3303478	821__A0A0P0LFP6__C5Z04_13890
ERR1912978.3303533__1.3303533	292800__A0A174SE17__dppA_5
ERR1912978.3303548__1.3303548	28052__R7N8Y9__macB_4
ERR1912978.3303758__1.3303758	820__A0A174CK74__DXB48_07060
ERR1912978.3303942__1.3303942	487174__K0X2Q8__DDY40_04590
ERR1912978.3303949__1.3303949	28117__R7JJM9__ALIPUT_00662
ERR1912978.3304067__1.3304067	501571__R8VWZ0__SAMN02745978_02429
ERR1912978.3304079__1.3304079	214856__A0A174FY07__ERS852447_02457
ERR1912978.3304252__1.3304252	821__A0A173WG51__BVU_2549
ERR1912978.3304419__1.3304419	329854__A0A3E4IFR4__DXD27_22685
ERR1912978.3304514__1.3304514	1263000__R5EHB0__BN466_01647
ERR1912978.3304600__1.3304600	820__R9I2U8__DXC68_09590
ERR1912978.3304624__1.3304624	1263000__R5EI25__BN466_01781
ERR1912978.3304695__1.3304695	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.3304778__1.3304778	1897011__A0A1Q6RH12__BHW41_01505
ERR1912978.3304853__1.3304853	33038__A0A2N5Q1T9__ERS852409_01319
ERR1912978.3304867__1.3304867	1628085__A0A1C6BMM1__C7386_11221
ERR1912978.3304878__1.3304878	821__A0A174WBC9__ERS852556_03145
ERR1912978.3305130__1.3305130	301301__A0A395VC12__RHOM_04160
ERR1912978.3305367__1.3305367	1776045__A0A0U5J7K7__BN3456_00132
ERR1912978.3305651__1.3305651	39488__A0A285PRH2__EUBHAL_01264
ERR1912978.3305675__1.3305675	28117__B0MSL1__BHV66_06710
ERR1912978.3305862__1.3305862	821__A0A0P0M3U7__DXB90_14325
ERR1912978.3305982__1.3305982	28052__A0A174KNE1__ptsI_2
ERR1912978.3306045__1.3306045	239935__A0A2N8HUU6__CXT90_06150
ERR1912978.3306064__1.3306064	1335__A0A1H0ZNM5__SAMN05216416_0871
ERR1912978.3306107__1.3306107	357276__B6W1J2__BACDOR_03380
ERR1912978.3306139__1.3306139	357276__I8W0U0__BACDOR_02820
ERR1912978.3306229__1.3306229	329854__A0A3E4KPG4__DXD27_21195
ERR1912978.3306201__1.3306201	301302__R5VC75__ERS852420_02858
ERR1912978.3306215__1.3306215	39488__A0A285PQW6__EHLA_1294
ERR1912978.3306291__1.3306291	28132__D9RV83__HMPREF0660_00835
ERR1912978.3306451__1.3306451	33038__A0A2N5PFY8__CDL19_06745
ERR1912978.3306525__1.3306525	28052__A0A174HY73__ERS852451_01605
ERR1912978.3306592__1.3306592	40519__U2MCQ8__RUMCAL_00556
ERR1912978.3306822__1.3306822	39492__R6RT40__prkC_3
ERR1912978.3306858__1.3306858	821__A0A397WGD6__M098_0084
ERR1912978.3306977__1.3306977	28116__C3QVY2__SAMN05444282_12234
ERR1912978.3307196__1.3307196	29361__B6FQ81__CLONEX_02300
ERR1912978.3307229__1.3307229	33038__A0A2N5NUH9__CDL20_04330
ERR1912978.3307329__1.3307329	33038__A0A2N5PXI0__C5Y99_10810
ERR1912978.3307443__1.3307443	33038__A0A2N5NPD5__CCY17_06280
ERR1912978.3307488__1.3307488	208479__R5FKP7__HMPREF1097_03665
ERR1912978.3307520__1.3307520	487174__K0X2Q8__DDY40_04590
ERR1912978.3307664__1.3307664	84026__C0EF61__CLOSTMETH_02502
ERR1912978.3307706__1.3307706	239935__A0A2N8I9P4__CXT85_05050
ERR1912978.3307852__1.3307852	1150298__A0A174FT27__ERS852535_01803
ERR1912978.3307936__1.3307936	329854__B3CDQ4__BACINT_02322
ERR1912978.3307949__1.3307949	33038__A0A2N5PIX3__CDL26_14635
ERR1912978.3308114__1.3308114	28052__R7N8Y2__ERS852451_01598
ERR1912978.3308056__1.3308056	821__I9R3W6__DXC16_12455
ERR1912978.3308088__1.3308088	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1912978.3308161__1.3308161	562__A0A377AAV3__CDL32_10800
ERR1912978.3308137__1.3308137	357276__I8VN48__ABI39_07855
ERR1912978.3308141__1.3308141	39485__A0A174ZBK4__ERS852490_01585
ERR1912978.3308304__1.3308304	39485__A0A174ZG70__ERS852492_00929
ERR1912978.3308310__1.3308310	1160721__R6TB54__RBI_I01327
ERR1912978.3308399__1.3308399	1720294__U2D0X0__DWY69_12025
ERR1912978.3308435__1.3308435	301301__A0A395VDQ5__RHOM_08975
ERR1912978.3308542__1.3308542	2173__R7PT68__Msm_0886
ERR1912978.3308576__1.3308576	165179__D1PEQ5__PREVCOP_05711
ERR1912978.3308744__1.3308744	239935__A0A2N8HUU6__CXT90_06150
ERR1912978.3308922__1.3308922	214856__A0A174H3U9__ERS852559_00612
ERR1912978.3309029__1.3309029	165179__A0A3E5AER8__DXB80_07075
ERR1912978.3309063__1.3309063	394340__clpB_1
ERR1912978.3309073__1.3309073	329854__A0A3E4KRK8__DXK01_03500
ERR1912978.3309098__1.3309098	552398__F4XCQ4__HMPREF0866_01621
ERR1912978.3309108__1.3309108	1780376__A0A143XSC4__BN3659_01663
ERR1912978.3309113__1.3309113	33038__A0A2N5NPD5__CCY17_06280
ERR1912978.3309246__1.3309246	328814__GCA_004558275.1_02278
ERR1912978.3309313__1.3309313	261299__W1UHF6__dprA
ERR1912978.3309320__1.3309320	28117__B0MTV0__BHV66_06395
ERR1912978.3309367__1.3309367	1160721__R6UA13__BHW50_07285
ERR1912978.3309349__1.3309349	820__A7V092__hldE
ERR1912978.3309483__1.3309483	821__A0A395UNT8__DXD64_15275
ERR1912978.3309491__1.3309491	820__E5VEH7__ERS852459_01300
ERR1912978.3309553__1.3309553	28116__C3QXZ9__DXA80_15295
ERR1912978.3310160__1.3310160	28118__F9Z6F1__DER54_08365
ERR1912978.3310251__1.3310251	28117__B0MXJ1__BHV66_08445
ERR1912978.3310359__1.3310359	328814__GCA_004558275.1_00018
ERR1912978.3310522__1.3310522	820__R7E9Z4__DXC68_06065
ERR1912978.3310998__1.3310998	487174__K0X5B1__DDY40_01695
ERR1912978.3311013__1.3311013	165179__A0A3E5EAM5__DXC61_07785
ERR1912978.3311177__1.3311177	33038__A0A396G7D8__asnB
ERR1912978.3311204__1.3311204	28116__A0A1G8H1M8__DXF98_11065
ERR1912978.3311334__1.3311334	818__D7IK38__ERS852430_03017
ERR1912978.3311401__1.3311401	28052__A0A174JNK0__ERS852451_01116
ERR1912978.3311538__1.3311538	39485__A0A174ZJ84__EUBELI_00107
ERR1912978.3311747__1.3311747	329854__R7E3J6__BACINT_00489
ERR1912978.3311788__1.3311788	301301__A0A395V7P2__ERS852391_05080
ERR1912978.3311794__1.3311794	329854__R5MIY1__DXD27_18625
ERR1912978.3311798__1.3311798	239935__A0A2N8HB50__CXU17_02615
ERR1912978.3311898__1.3311898	214851__D1PSL1__SUBVAR_07394
ERR1912978.3311927__1.3311927	821__A0A0P0LFP6__C5Z04_13890
ERR1912978.3311942__1.3311942	1897011__A0A1Q6RBY6__BHW41_06440
ERR1912978.3312009__1.3312009	292800__A0A174W622__ADH75_01915
ERR1912978.3312240__1.3312240	33038__F7JT04__CDL21_01120
ERR1912978.3312243__1.3312243	1262921__R5M3E4__BN473_00712
ERR1912978.3312491__1.3312491	820__A0A396EWL3__ERS417307_03868
ERR1912978.3312559__1.3312559	28118__F9Z750__Odosp_3044
ERR1912978.3312579__1.3312579	649756__D4MXW9__ERS852520_02286
ERR1912978.3312660__1.3312660	40519__U2MCQ8__RUMCAL_00556
ERR1912978.3312702__1.3312702	360807__A0A396ACQ8__ROSEINA2194_00690
ERR1912978.3312770__1.3312770	39485__R5ZPP8__EUBELI_20334
ERR1912978.3312833__1.3312833	1160721__W0U3Q4__BHW50_08110
ERR1912978.3312886__1.3312886	821__A0A174WBC9__ERS852556_03145
ERR1912978.3312916__1.3312916	28118__R6F984__B5F93_04540
ERR1912978.3312920__1.3312920	821__A0A173WG51__BVU_2549
ERR1912978.3313005__1.3313005	487174__K0XL60__DDY40_11760
ERR1912978.3313340__1.3313340	821__A0A0P0LFP6__C5Z04_13890
ERR1912978.3313359__1.3313359	328814__GCA_004558275.1_01205
ERR1912978.3313497__1.3313497	2292352__A0A374UJE7__DXC23_11305
ERR1912978.3313553__1.3313553	821__E5UPR6__SAMN04487923_101768
ERR1912978.3313597__1.3313597	88431__A0A3D0EWY9__ERS852423_01238
ERR1912978.3313679__1.3313679	487174__K0X2W8__HMPREF9448_02611
ERR1912978.3313743__1.3313743	820__R9I3Q7__HMPREF1072_01668
ERR1912978.3313960__1.3313960	552398__F4XCR9__HMPREF0866_01636
ERR1912978.3314196__1.3314196	39485__C4Z0B2__EUBELI_01024
ERR1912978.3314291__1.3314291	165179__A0A3E5EAM5__DXC61_07785
ERR1912978.3314387__1.3314387	360807__R5HHK5__ROSEINA2194_02134
ERR1912978.3314462__1.3314462	384639__GCA_003096855.1_01617
ERR1912978.3314556__1.3314556	1628085__A0A374VUI1__C7386_11920
ERR1912978.3314878__1.3314878	1897011__A0A1Q6RH73__BHW41_01885
ERR1912978.3314925__1.3314925	1160721__R6U5L6__RBI_I01802
ERR1912978.3315093__1.3315093	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1912978.3315247__1.3315247	239935__R6J5N6__CXT99_10770
ERR1912978.3315296__1.3315296	28117__B0MXD0__ALIPUT_01669
ERR1912978.3315334__1.3315334	649756__L1Q1Y2__DO83_04045
ERR1912978.3315371__1.3315371	165179__D1PHC0__PREVCOP_06640
ERR1912978.3315450__1.3315450	28117__B0MUX7__ALIPUT_00918
ERR1912978.3315477__1.3315477	239935__A0A2N8ITG2__Amuc_0335
ERR1912978.3315520__1.3315520	329854__R5LZ68__BACINT_01603
ERR1912978.3315543__1.3315543	33038__A0A2N5NRF9__tetC
ERR1912978.3315580__1.3315580	2292352__A0A374UJE7__DXC23_11305
ERR1912978.3315562__1.3315562	239935__R7DVL7__CXT93_01180
ERR1912978.3315684__1.3315684	1150298__A0A174U7I9__ERS852406_02991
ERR1912978.3315661__1.3315661	301302__A0A0M6WMV7__M72_28281
ERR1912978.3315747__1.3315747	39485__C4Z1W5__ERS852492_01530
ERR1912978.3315795__1.3315795	329854__B3CDQ4__BACINT_02322
ERR1912978.3315801__1.3315801	39485__A0A174YTX0__mro
ERR1912978.3315836__1.3315836	329854__R5MCT6__BACINT_04189
ERR1912978.3315986__1.3315986	1262743__R5C054__BN727_01980
ERR1912978.3316279__1.3316279	28118__F9Z7M5__B5F99_15930
ERR1912978.3316318__1.3316318	33038__A0A2N5PXI0__C5Y99_10810
ERR1912978.3316447__1.3316447	214851__D1PSM4__SUBVAR_07407
ERR1912978.3316677__1.3316677	1160721__W0U3Z9__RBI_I00543
ERR1912978.3316694__1.3316694	1262921__R5LMK9__BN473_01331
ERR1912978.3316727__1.3316727	301301__A0A395V683__RHOM_00495
ERR1912978.3316987__1.3316987	328814__GCA_004558275.1_00293
ERR1912978.3317036__1.3317036	40519__U2MCQ8__RUMCAL_00556
ERR1912978.3317080__1.3317080	360807__C0FNM4__ERS852444_01447
ERR1912978.3317181__1.3317181	1263000__R5ECL2__BN466_00920
ERR1912978.3317445__1.3317445	360807__C0FNM3__ERS852392_00919
ERR1912978.3317463__1.3317463	2292352__A0A374UNU9__DXC23_01235
ERR1912978.3317467__1.3317467	1897011__A0A1Q6RC54__BHW41_06555
ERR1912978.3317638__1.3317638	239935__A0A2N8HUU6__CXT90_06150
ERR1912978.3317642__1.3317642	28118__F9Z8Y8__B5F99_07140
ERR1912978.3317859__1.3317859	165179__A0A174UTZ7__DXC61_06705
ERR1912978.3317924__1.3317924	1262988__R7N751__BN816_00584
ERR1912978.3317901__1.3317901	28116__A0A1Y4PUF2__BACOV975_03357
ERR1912978.3317971__1.3317971	1160721__W0U6F9__RBI_I01687
ERR1912978.3318059__1.3318059	28116__A0A1Y4PWN5__M088_3731
ERR1912978.3318109__1.3318109	28117__B0MU58__BHV66_05630
ERR1912978.3318294__1.3318294	1263000__R5EFJ5__BN466_01372
ERR1912978.3318361__1.3318361	40519__U2MCQ8__RUMCAL_00556
ERR1912978.3318386__1.3318386	165179__A0A3E5EB26__CFT61_02800
ERR1912978.3318475__1.3318475	239935__R6J5N6__CXT99_10770
ERR1912978.3318535__1.3318535	28052__R7NCE8__cph2_1
ERR1912978.3318660__1.3318660	239935__A0A2N8HAQ1__DEF40_05290
ERR1912978.3318669__1.3318669	820__R9HXK9__DXB62_08265
ERR1912978.3318720__1.3318720	1262995__R5R5E9__BN747_02329
ERR1912978.3318842__1.3318842	360807__A0A0M6WUG1__ERS852392_00028
ERR1912978.3318905__1.3318905	301301__A0A395V3C0__mcpC_6
ERR1912978.3318907__1.3318907	487174__K0WXG8__DIT83_09300
ERR1912978.3319108__1.3319108	292800__A0A174NR23__ADH75_11365
ERR1912978.3319136__1.3319136	2292352__A0A374UKA6__DXC23_10805
ERR1912978.3319309__1.3319309	821__D4V4X2__DXC16_18525
ERR1912978.3319740__1.3319740	28052__R7NHJ5__ERS852499_01501
ERR1912978.3320278__1.3320278	33038__A7B614__CDL24_02540
ERR1912978.3320413__1.3320413	165179__A0A3E5A5E5__DXC61_13965
ERR1912978.3320809__1.3320809	329854__R5MMK9__DXK01_11815
ERR1912978.3320827__1.3320827	360807__A0A173WYK2__ROSEINA2194_02795
ERR1912978.3320957__1.3320957	1160721__R6UA13__BHW50_07285
ERR1912978.3321033__1.3321033	29361__B6FTH3__CLONEX_03450
ERR1912978.3321091__1.3321091	329854__A0A139KUJ8__BACINT_00723
ERR1912978.3321325__1.3321325	1547__B0N7T0__DW242_05515
ERR1912978.3321300__1.3321300	39485__C4Z058__ERS852492_00130
ERR1912978.3321492__1.3321492	360807__C0FNG2__RIL183_23021
ERR1912978.3321620__1.3321620	88431__A0A3D0F0E5__ERS852526_03216
ERR1912978.3321914__1.3321914	28118__F9Z3G8__B5F99_01835
ERR1912978.3321960__1.3321960	246787__A0A0P0FV02__AA416_03728
ERR1912978.3322102__1.3322102	821__A0A396F598__CUU_3259
ERR1912978.3322231__1.3322231	33038__A0A2N5PPZ0__CDL27_15150
ERR1912978.3322309__1.3322309	39485__C4Z1Y9__EUBELI_00143
ERR1912978.3322392__1.3322392	649756__A0A174F5S4__ecfA2
