ERR1913157.902__1.902	239935__A0A2N8IRW0__A4V05_11620
ERR1913157.958629__1.958629	46503__A7A9R2__ERS852463_01218
ERR1913157.958745__1.958745	239935__A0A2N8HL14__CXT98_09285
ERR1913157.958773__1.958773	853__A0A3E2U7E6__ERS852582_01640
ERR1913157.959054__1.959054	33043__A0A173XM20__ERS852445_01573
ERR1913157.959185__1.959185	1161942__csxA
ERR1913157.959239__1.959239	165179__A0A3E5AE59__DXC61_12885
ERR1913157.959287__1.959287	239935__R6J776__CXU07_02355
ERR1913157.959415__1.959415	1262869__R7CTK2__BN625_00386
ERR1913157.959585__1.959585	74426__nifJ
ERR1913157.959774__1.959774	1262869__R7CM27__BN625_00993
ERR1913157.959928__1.959928	1262761__R6QZJ9__BN606_00492
ERR1913157.959932__1.959932	39492__D4JQS6__ykoD
ERR1913157.960003__1.960003	1262911__R6H0U7__BN557_01104
ERR1913157.960249__1.960249	239935__A0A2N8ITX2__CXT86_11265
ERR1913157.960467__1.960467	853__A0A174C5M1__CGS58_04460
ERR1913157.960471__1.960471	1262942__R7QY67__BN520_01548
ERR1913157.960527__1.960527	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913157.960733__1.960733	239935__A0A2N8IMC3__CXT96_03840
ERR1913157.960854__1.960854	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913157.961183__1.961183	33043__D5HGZ8__nnr
ERR1913157.961937__1.961937	1263027__R6ZBZ9__BN699_01492
ERR1913157.961938__1.961938	853__A0A174C5M1__CGS58_04460
ERR1913157.962219__1.962219	853__A0A174BZY1__xerD_1
ERR1913157.962242__1.962242	1680__A0A174BEE7__BSTER_1311
ERR1913157.962804__1.962804	239935__R6JAS2__CXU02_10725
ERR1913157.962946__1.962946	239935__A0A2N8INZ4__CXU08_03560
ERR1913157.962986__1.962986	1680__A0A0C2YNK5__BADO_0780
ERR1913157.963046__1.963046	853__A0A173TAZ8__DWZ46_14590
ERR1913157.963116__1.963116	239935__A0A2N8HEH9__CXU07_11710
ERR1913157.963213__1.963213	1161942__csxA
ERR1913157.963286__1.963286	239935__A0A3F3K985__CXT98_05805
ERR1913157.963228__1.963228	1262911__R6GTG0__BN557_01247
ERR1913157.963237__1.963237	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913157.963760__1.963760	33043__A8SPT5__yfiN_2
ERR1913157.963986__1.963986	1262911__R6GPC5__BN557_00852
ERR1913157.964007__1.964007	626932__G5H833__HMPREF9450_01093
ERR1913157.964144__1.964144	1262911__R6H2J2__BN557_01228
ERR1913157.964653__1.964653	820__A0A139K8N1__ERS852554_00951
ERR1913157.964746__1.964746	1105031__J1H3W2__HMPREF1141_2783
ERR1913157.965046__1.965046	1680__A0A087DLC6__C8077_00815
ERR1913157.965206__1.965206	552398__F4XCR9__HMPREF0866_01636
ERR1913157.965271__1.965271	239935__A0A2N8HB50__CXU17_02615
ERR1913157.965499__1.965499	552398__F4XCR9__HMPREF0866_01636
ERR1913157.965926__1.965926	301301__A0A395V8E1__RHOM_11160
ERR1913157.966035__1.966035	39491__A0A173SH34__EUR_24920
ERR1913157.966242__1.966242	165179__D1PGU8__PREVCOP_06463
ERR1913157.966414__1.966414	1897011__A0A1Q6REU8__BHW41_04300
ERR1913157.966613__1.966613	46503__A0A3E4ZQE0__DCY29_09200
ERR1913157.966707__1.966707	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913157.967038__1.967038	1520815__A0A1I3I8B3__SAMN02910435_00065
ERR1913157.967113__1.967113	165179__R6C3K4__PREVCOP_05795
ERR1913157.967322__1.967322	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913157.967347__1.967347	901__B6WVE0__DESPIG_02056
ERR1913157.967547__1.967547	1262761__R6RU22__BN606_01110
ERR1913157.967549__1.967549	33043__A0A173ZL29__ERS852386_01345
ERR1913157.967623__1.967623	454155__F3QQI3__HMPREF9442_00425
ERR1913157.967739__1.967739	1263000__R5EXT3__BN466_02213
ERR1913157.967748__1.967748	1263000__R5EXT3__BN466_02213
ERR1913157.968200__1.968200	239935__A0A139TMY7__CXU13_02020
ERR1913157.968411__1.968411	33043__A0A3A6J8T3__yvhJ
ERR1913157.968471__1.968471	901__B6WVN3__DHV46_02690
ERR1913157.968596__1.968596	1262761__R6QJJ2__BN606_00358
ERR1913157.968674__1.968674	1262961__R6E412__BN710_01183
ERR1913157.968841__1.968841	1263000__R5ES99__BN466_01121
ERR1913157.969247__1.969247	165179__A0A3E5A554__DXB80_13805
ERR1913157.969272__1.969272	1897011__A0A1Q6RH29__BHW41_01570
ERR1913157.969425__1.969425	239935__A0A2N8I3G2__CXT89_00720
ERR1913157.969675__1.969675	1393034__GCA_001552785.1_00510
ERR1913157.969864__1.969864	33043__D5HEE1__ERS852386_01671
ERR1913157.969926__1.969926	328814__GCA_004558275.1_00987
ERR1913157.970007__1.970007	216816__B7GN29__BL72_08765
ERR1913157.970039__1.970039	33043__D5HHF5__ERS852386_00025
ERR1913157.970198__1.970198	239935__B2UNC5__B5G29_07685
ERR1913157.970405__1.970405	239935__A0A2N8IFA0__CXT92_02050
ERR1913157.970503__1.970503	1150298__R7JUS5__soxS_1
ERR1913157.970753__1.970753	328814__GCA_004558275.1_00035
ERR1913157.970771__1.970771	33043__D5HI09__ERS852575_02656
ERR1913157.970815__1.970815	33043__D5HDY1__cdd
ERR1913157.971164__1.971164	28117__B0MYI9__BHV66_05415
ERR1913157.971539__1.971539	39496__A5Z5I2__EUBVEN_00963
ERR1913157.971972__1.971972	165179__A0A174IPI3__CFT61_10940
ERR1913157.972477__1.972477	1262761__R6RNL8__BN606_00387
ERR1913157.972816__1.972816	901__A0A1K1LG50__DESPIG_01817
ERR1913157.972857__1.972857	328814__GCA_004558275.1_01006
ERR1913157.972926__1.972926	1262761__R6QV93__BN606_01806
ERR1913157.972957__1.972957	239935__A0A2N8I8X8__B5G29_00185
ERR1913157.973085__1.973085	165179__A0A3E5EDP4__DXB80_05800
ERR1913157.973208__1.973208	1262915__R6HP23__BN574_01084
ERR1913157.973259__1.973259	1262761__R6RU22__BN606_01110
ERR1913157.973497__1.973497	1262992__R5D733__BN795_00375
ERR1913157.973559__1.973559	1262948__R7EF67__BN671_00785
ERR1913157.973584__1.973584	384638__B7AWV1__BACPEC_03201
ERR1913157.973590__1.973590	216816__C5EC66__tcrA
ERR1913157.973762__1.973762	39488__A0A174HDU7__EUBHAL_01339
ERR1913157.973898__1.973898	1262961__R6DRK8__BN710_01062
ERR1913157.973947__1.973947	552398__F4XCR9__HMPREF0866_01636
ERR1913157.973992__1.973992	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913157.974101__1.974101	1262986__R5ZS37__BN492_00911
ERR1913157.974122__1.974122	853__A0A2A7A628__CGS57_13755
ERR1913157.974352__1.974352	165179__D1PHV2__PREVCOP_06822
ERR1913157.974363__1.974363	147206__GCF_000156215.1_01776
ERR1913157.974454__1.974454	1263027__R7AV02__BN699_02111
ERR1913157.974636__1.974636	508460__GCF_000585335.1_00014
ERR1913157.975013__1.975013	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913157.975131__1.975131	239935__A0A2N8HT18__CXT93_06135
ERR1913157.975134__1.975134	1262915__R6HFW1__BN574_00201
ERR1913157.975245__1.975245	410072__A0A173Z452__COPCOM_02514
ERR1913157.975288__1.975288	33043__D5HEE1__ERS852386_01671
ERR1913157.975355__1.975355	1297617__A0A2U1CCR3__BIV19_04570
ERR1913157.975549__1.975549	239935__A0A3F3K9J9__DEF40_00940
ERR1913157.975613__1.975613	33043__A0A173YUV6__ERS852386_00507
ERR1913157.975782__1.975782	572010__dnaK2
ERR1913157.977585__1.977585	1161942__colA
ERR1913157.977729__1.977729	239935__A0A2N8HTZ8__CXU09_01270
ERR1913157.977906__1.977906	328814__GCA_004558275.1_00056
ERR1913157.978005__1.978005	1897011__A0A1Q6RI77__BHW41_01180
ERR1913157.978241__1.978241	1262761__R6RU22__BN606_01110
ERR1913157.978306__1.978306	39486__G1WVT6__DXD50_09980
ERR1913157.978384__1.978384	239935__A0A2N8HPS5__Amuc_0950
ERR1913157.978802__1.978802	239935__A0A2N8HDT1__CXT94_05270
ERR1913157.978895__1.978895	1681__A0A151C793__DD715_06350
ERR1913157.978944__1.978944	1262986__R6A662__BN492_01834
ERR1913157.979132__1.979132	1262761__R6QUP0__BN606_01674
ERR1913157.979169__1.979169	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913157.979192__1.979192	1262761__R6QXL2__BN606_02127
ERR1913157.979250__1.979250	74426__purL
ERR1913157.979310__1.979310	1262761__R6QN52__BN606_00884
ERR1913157.979447__1.979447	39492__D4MJF6__EUBSIR_02251
ERR1913157.979782__1.979782	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913157.979929__1.979929	33043__D5HI39__baeS_1
ERR1913157.980399__1.980399	28116__A0A1Y4PVG6__Bovatus_02664
ERR1913157.980499__1.980499	1262869__R7CRJ0__BN625_01726
ERR1913157.980633__1.980633	823__E1YSG0__DHP27_00465
ERR1913157.980799__1.980799	1262761__R6RNL8__BN606_00387
ERR1913157.980803__1.980803	572010__aspS
ERR1913157.980905__1.980905	239935__A0A2N8IQU3__CXU22_05890
ERR1913157.981137__1.981137	853__A0A3E2U7E6__ERS852582_01640
ERR1913157.981159__1.981159	901__B6WVE2__DHV46_05785
ERR1913157.981410__1.981410	74426__thrZ
ERR1913157.981684__1.981684	239935__A0A2N8IXN0__CXT95_01765
ERR1913157.981788__1.981788	328814__GCA_004558275.1_01570
ERR1913157.981871__1.981871	1262761__R6R2J2__BN606_00943
ERR1913157.982170__1.982170	106588__A6NUL8__BACCAP_01900
ERR1913157.982226__1.982226	1263027__R6ZJK9__BN699_01859
ERR1913157.982177__1.982177	508460__GCF_000585335.1_00181
ERR1913157.982187__1.982187	1681__E4VAQ0__B0156_0567
ERR1913157.982267__1.982267	1262761__R6RNL8__BN606_00387
ERR1913157.982508__1.982508	239935__A0A2N8I1R3__CXU05_06075
ERR1913157.982542__1.982542	239935__A0A2N8I9P4__CXT85_05050
ERR1913157.982672__1.982672	239935__A0A2N8IVR0__CXT87_07115
ERR1913157.982708__1.982708	74426__rpoB
ERR1913157.983040__1.983040	239935__A0A2N8HPS5__Amuc_0950
ERR1913157.983174__1.983174	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913157.983213__1.983213	1262869__R7CKJ6__BN625_00840
ERR1913157.983275__1.983275	239935__A0A2N8HQR1__Amuc_0287
ERR1913157.983281__1.983281	216816__A0A0S2ML20__B5780_2007
ERR1913157.983510__1.983510	239935__A0A2N8HPS5__Amuc_0950
ERR1913157.983699__1.983699	853__D4JY61__C4N21_10560
ERR1913157.983688__1.983688	239935__B2UPZ6__CXU03_03800
ERR1913157.983746__1.983746	1262911__R6GR13__BN557_00618
ERR1913157.983833__1.983833	74426__purL
ERR1913157.983993__1.983993	944036__A0A196SD13__AV274_4124
ERR1913157.984258__1.984258	1262761__R6R8A4__BN606_01470
ERR1913157.984333__1.984333	853__A0A174C5M1__CGS58_04460
ERR1913157.984431__1.984431	1161942__aroE
ERR1913157.984520__1.984520	1262911__R6H0U7__BN557_01104
ERR1913157.984499__1.984499	239935__A0A2N8IMD6__CXU03_05585
ERR1913157.984596__1.984596	39485__A0A174ZNW9__luxQ_1
ERR1913157.984673__1.984673	1262761__R6QH71__BN606_00371
ERR1913157.984807__1.984807	471189__GCA_003340385.1_00024
ERR1913157.984871__1.984871	74426__rpoC
ERR1913157.985220__1.985220	1796652__ltrA_3
ERR1913157.985669__1.985669	384638__B7AUU7__BACPEC_02495
ERR1913157.985776__1.985776	1262761__R6QT25__BN606_01812
ERR1913157.985801__1.985801	853__A8S882__C4N23_07600
ERR1913157.985920__1.985920	239935__A0A2N8HBM4__CXT85_06270
ERR1913157.985927__1.985927	1680__A0A076JNH5__DXC60_03835
ERR1913157.986560__1.986560	216816__A0A0M0VK23__BLGT_09805
ERR1913157.986512__1.986512	165179__A0A3E5EBM5__DXC61_02170
ERR1913157.986627__1.986627	1235835__R9LCU2__C814_02677
ERR1913157.986884__1.986884	239935__R6J776__CXU07_02355
ERR1913157.986933__1.986933	1686381__A0A0J1LKJ6__SK36_02977
ERR1913157.986940__1.986940	239935__A0A2N8HAQ1__DEF40_05290
ERR1913157.986946__1.986946	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913157.987399__1.987399	1681__K2IQE2__uvrD
ERR1913157.987532__1.987532	28116__A0A1G8IGK0__DXF98_23045
ERR1913157.987883__1.987883	1262915__R6HQV2__BN574_01665
ERR1913157.987936__1.987936	1680__A0A3E4SB79__BAD_1517
ERR1913157.987956__1.987956	1262761__R6QMJ7__BN606_00803
ERR1913157.987959__1.987959	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913157.988294__1.988294	39492__D4JV38__EUBSIR_01205
ERR1913157.988653__1.988653	1263000__R5EHB0__BN466_01647
ERR1913157.988909__1.988909	1263000__R5EEL2__BN466_01100
ERR1913157.988914__1.988914	901__B6WW26__DESPIG_02294
ERR1913157.988941__1.988941	165179__A0A3E5AE59__DXC61_12885
ERR1913157.988998__1.988998	1262911__R6HJV5__BN557_00309
ERR1913157.989352__1.989352	384638__B7APN3__BACPEC_00639
ERR1913157.989524__1.989524	165179__A0A174MTF2__DXC61_13200
ERR1913157.989634__1.989634	1262869__R7CPD0__BN625_00137
ERR1913157.989713__1.989713	239935__A0A2N8HSC0__CXU06_05505
ERR1913157.989756__1.989756	239935__A0A139TQT9__Amuc_1197
ERR1913157.989987__1.989987	33043__D5HDY1__cdd
ERR1913157.990081__1.990081	40520__R7D565__DXC87_03555
ERR1913157.990095__1.990095	165179__A0A3E5E920__DXB80_11625
ERR1913157.990714__1.990714	901__B6WUW8__DESPIGER_1921
ERR1913157.990785__1.990785	33043__A0A173S5P8__ERS852445_00566
ERR1913157.990804__1.990804	1263027__R6ZT42__BN699_02013
ERR1913157.990934__1.990934	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913157.991078__1.991078	165179__A0A3E5DN34__DXC61_07865
ERR1913157.991448__1.991448	1263000__R5EXF8__BN466_01942
ERR1913157.991515__1.991515	1680__A0A1X3A951__AL0462_1583
ERR1913157.991547__1.991547	1739406__E6KU33__HMPREF2902_08105
ERR1913157.991590__1.991590	853__A0A174C5M1__CGS58_04460
ERR1913157.991698__1.991698	1262959__R5XVI8__BN680_00158
ERR1913157.991809__1.991809	1680__A0A173XYA2__B0703_0121
ERR1913157.991853__1.991853	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913157.991947__1.991947	33043__A0A174CLG4__hemA
ERR1913157.992021__1.992021	1299998__GCA_001494635.1_00302
ERR1913157.992313__1.992313	1161942__addB
ERR1913157.993260__1.993260	853__A0A174BZY1__xerD_1
ERR1913157.993470__1.993470	1150298__R7JUS2__ERS852498_02193
ERR1913157.993622__1.993622	165179__A0A229I4J4__proA
ERR1913157.993648__1.993648	328814__GCA_004558275.1_01745
ERR1913157.993717__1.993717	1262761__R6RU22__BN606_01110
ERR1913157.993915__1.993915	1262961__R6DQM4__BN710_00984
ERR1913157.994041__1.994041	853__A0A173XRA8__CGS56_09290
ERR1913157.993995__1.993995	239935__R6JAS2__CXU02_10725
ERR1913157.994235__1.994235	33043__A0A173YYE7__ERS852445_00670
ERR1913157.994374__1.994374	172901__A0A2U1AXN3__C8D82_11568
ERR1913157.994674__1.994674	1262761__R6QXL2__BN606_02127
ERR1913157.994689__1.994689	901__A0A1K1LI09__BHW59_05710
ERR1913157.995080__1.995080	1262911__R6H2J2__BN557_01228
ERR1913157.995168__1.995168	820__A0A1Q6IDS8__chtA
ERR1913157.995158__1.995158	901__B6WXS9__pssA
ERR1913157.995508__1.995508	239935__R6IZT7__CXU18_11710
ERR1913157.995473__1.995473	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913157.996045__1.996045	487175__A0A350CXX6__HMPREF9439_00888
ERR1913157.996306__1.996306	39492__D4JTL0__EUBSIR_01428
ERR1913157.996395__1.996395	301301__A0A395VFD3__ERS852391_02492
ERR1913157.996590__1.996590	165179__A0A174W369__PREVCOP_04548
ERR1913157.996602__1.996602	165179__R6C330__DXC61_04975
ERR1913157.996621__1.996621	310297__B5CV52__DXC17_10455
ERR1913157.996721__1.996721	46503__R6X5I4__ERS852463_01136
ERR1913157.996826__1.996826	239935__A0A139TMY7__CXU13_02020
ERR1913157.996891__1.996891	33043__A0A174CV49__ERS852386_02395
ERR1913157.997054__1.997054	40520__A5ZY33__DXC87_11790
ERR1913157.997238__1.997238	820__A0A174A6K0__M093_0079
ERR1913157.997244__1.997244	1681__I3WKG9__BBJK_01327
ERR1913157.997707__1.997707	39485__A0A174ZJ13__ssuB
ERR1913157.998103__1.998103	1520815__A0A1I3Q0K9__SAMN02910435_01683
ERR1913157.998111__1.998111	239935__R7DVL7__CXT93_01180
ERR1913157.998158__1.998158	1686381__A0A0J1LW75__SK36_01575
ERR1913157.998237__1.998237	552398__F4XCQ4__HMPREF0866_01621
ERR1913157.998552__1.998552	33043__D5HI09__ERS852575_02656
ERR1913157.998884__1.998884	853__A0A2A7B1Y7__C7K05_11930
ERR1913157.998988__1.998988	944036__A0A196S9J5__AV274_5314
ERR1913157.999208__1.999208	74426__pta
ERR1913157.999341__1.999341	39485__A0A174YSS6__trxB_2
ERR1913157.999448__1.999448	1262915__R6HER7__BN574_01525
ERR1913157.999465__1.999465	1262915__R6IAH7__BN574_01095
ERR1913157.999490__1.999490	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1913157.999687__1.999687	1262761__R6QTF1__BN606_01445
ERR1913157.999804__1.999804	1897011__A0A1Q6RF49__BHW41_03110
ERR1913157.999951__1.999951	1262959__R5YVJ9__BN680_01667
ERR1913157.999971__1.999971	1263000__R5EXT3__BN466_02213
ERR1913157.1000058__1.1000058	33043__A0A173YUV6__ERS852386_00507
ERR1913157.1000064__1.1000064	853__A0A329UEG4__CHR60_00585
ERR1913157.1000455__1.1000455	1161942__celZ_1
ERR1913157.1000716__1.1000716	165179__D1PCL6__DXB80_13435
ERR1913157.1000718__1.1000718	1897011__A0A1Q6REU9__BHW41_04345
ERR1913157.1000963__1.1000963	33043__A0A173YSY7__tilS
ERR1913157.1001061__1.1001061	28117__B0MU76__ALIPUT_00202
ERR1913157.1001083__1.1001083	46506__R5K437__DXC34_00685
ERR1913157.1001311__1.1001311	853__E2ZGD9__C7J97_11715
ERR1913157.1001598__1.1001598	1680__A0A0B5BL52__ERS852382_00480
ERR1913157.1001769__1.1001769	1680__A0A174BEE7__BSTER_1311
ERR1913157.1001807__1.1001807	328814__GCA_004558275.1_01005
ERR1913157.1001894__1.1001894	239935__A0A139TMG9__CXU07_10650
ERR1913157.1001965__1.1001965	47678__A0A3E5BQM1__DXB67_08970
ERR1913157.1002068__1.1002068	1263000__R5EFA7__BN466_01197
ERR1913157.1002222__1.1002222	1263000__R5ESM1__BN466_01440
ERR1913157.1002305__1.1002305	239935__A0A139TPU7__CXT91_06575
ERR1913157.1002319__1.1002319	853__A0A2J4JL53__CRH10_10795
ERR1913157.1002560__1.1002560	1263000__R5EKR3__BN466_00099
ERR1913157.1002645__1.1002645	1550024__G9RT86__ASJ35_16935
ERR1913157.1002663__1.1002663	239935__A0A2N8HT44__CXT84_11035
ERR1913157.1002716__1.1002716	1262761__R6R2P8__BN606_01616
ERR1913157.1002885__1.1002885	1161942__ccr
ERR1913157.1003007__1.1003007	165179__A0A3E5A5E5__DXC61_13965
ERR1913157.1003061__1.1003061	1680__A0A0B5BME4__DXD63_05015
ERR1913157.1003024__1.1003024	74426__group_4851
ERR1913157.1003207__1.1003207	33043__D5HF09__ERS852575_02732
ERR1913157.1003277__1.1003277	1262761__R6R8A4__BN606_01470
ERR1913157.1003353__1.1003353	1680__R5GSL8__DXD60_03315
ERR1913157.1003422__1.1003422	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913157.1003634__1.1003634	1262915__R6HQV2__BN574_01665
ERR1913157.1003773__1.1003773	1262869__R7CTK7__BN625_00203
ERR1913157.1003839__1.1003839	239935__A0A2N8IRL2__CXU06_01170
ERR1913157.1003978__1.1003978	33043__A0A173YSY7__tilS
ERR1913157.1004042__1.1004042	239935__R6JAS2__CXU02_10725
ERR1913157.1004047__1.1004047	28117__B0MY40__BHV66_05170
ERR1913157.1003996__1.1003996	165179__A0A229I4J4__proA
ERR1913157.1004116__1.1004116	55565__G9PEQ3__CJ186_01495
ERR1913157.1004314__1.1004314	33043__A8SPT5__yfiN_2
ERR1913157.1005003__1.1005003	1262911__R6GPC5__BN557_00852
ERR1913157.1005219__1.1005219	1262761__R6R3I7__BN606_01771
ERR1913157.1005405__1.1005405	1680__R5GRA4__ERS852382_01548
ERR1913157.1005584__1.1005584	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913157.1005728__1.1005728	239935__B2UNC5__B5G29_07685
ERR1913157.1006058__1.1006058	1262761__R6QW14__BN606_00877
ERR1913157.1006153__1.1006153	1263000__R5EV67__BN466_01611
ERR1913157.1006098__1.1006098	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913157.1006426__1.1006426	239935__A0A2N8HEH9__CXU07_11710
ERR1913157.1006670__1.1006670	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913157.1007087__1.1007087	1263000__R5EUM2__BN466_01747
ERR1913157.1007517__1.1007517	165179__A0A229I1J2__DXB80_03950
ERR1913157.1008080__1.1008080	1262869__R7CM75__BN625_00831
ERR1913157.1008189__1.1008189	33043__D5HH72__ERS852445_02265
ERR1913157.1008354__1.1008354	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913157.1008385__1.1008385	165179__D1PDJ4__DXB80_08505
ERR1913157.1008416__1.1008416	1680__A0A0C2YPV2__AL0462_1474
ERR1913157.1008678__1.1008678	1550024__G9RWR2__TQ39_04385
ERR1913157.1008713__1.1008713	33043__A0A173W4M0__dnaD
ERR1913157.1008849__1.1008849	1660__A7BD62__HMPREF0970_01742
ERR1913157.1009029__1.1009029	1680__A0A3E4SB79__BAD_1517
ERR1913157.1009931__1.1009931	239935__R6J776__CXU07_02355
ERR1913157.1010126__1.1010126	33043__D5HEU4__ftsW_3
ERR1913157.1010387__1.1010387	165179__D1PEQ5__PREVCOP_05711
ERR1913157.1010430__1.1010430	1263000__R5EGY7__BN466_01478
ERR1913157.1010478__1.1010478	820__A7VAR9__ERS852421_00197
ERR1913157.1010897__1.1010897	239935__A0A2N8HUU6__CXT90_06150
ERR1913157.1011412__1.1011412	820__A0A173W419__DXC68_17760
ERR1913157.1011476__1.1011476	944036__A0A196SA43__AV274_5341
ERR1913157.1011507__1.1011507	1897011__A0A1Q6RE56__BHW41_04765
ERR1913157.1011586__1.1011586	1262761__R6QMI9__BN606_00798
ERR1913157.1011937__1.1011937	239935__A0A2N8HPS5__Amuc_0950
ERR1913157.1011945__1.1011945	1263000__R5EC87__BN466_00713
ERR1913157.1011961__1.1011961	1263000__R5EXT3__BN466_02213
ERR1913157.1011965__1.1011965	33043__A0A173ZEP9__araC_1
ERR1913157.1012123__1.1012123	138595__GCF_000468755.1_00882
ERR1913157.1012364__1.1012364	745368__A0A1T4XVH8__SAMN02745178_02336
ERR1913157.1012385__1.1012385	1262761__R6QND7__BN606_00927
ERR1913157.1012436__1.1012436	1263027__R7A6X8__BN699_01273
ERR1913157.1012533__1.1012533	328814__GCA_004558275.1_01205
ERR1913157.1012546__1.1012546	1897011__A0A1Q6RGE4__BHW41_02910
ERR1913157.1012802__1.1012802	40518__R5DV66__DXD83_04215
ERR1913157.1012820__1.1012820	61171__B9Y5T9__HOLDEFILI_01171
ERR1913157.1013165__1.1013165	901__B6WV45__DESPIGER_1962
ERR1913157.1013219__1.1013219	239935__A0A139TPU7__CXT91_06575
ERR1913157.1013237__1.1013237	901__A0A1K1LF78__DESPIGER_1556
ERR1913157.1013306__1.1013306	239935__R7E524__CXT91_06180
ERR1913157.1013443__1.1013443	239935__A0A139TMG9__CXU07_10650
ERR1913157.1013513__1.1013513	1897011__A0A1Q6RIP3__BHW41_00615
ERR1913157.1014081__1.1014081	28117__B0MXW9__ALIPUT_01981
ERR1913157.1014536__1.1014536	1235835__R9LCU2__C814_02677
ERR1913157.1014633__1.1014633	239935__A0A2N8HBM4__CXT85_06270
ERR1913157.1014664__1.1014664	1161942__asrA
ERR1913157.1015027__1.1015027	239935__A0A2N8J1K0__CXT97_05765
ERR1913157.1015302__1.1015302	853__A0A174BA00__DW905_01145
ERR1913157.1015731__1.1015731	1680__A0A076JM61__DXD63_05245
ERR1913157.1015715__1.1015715	1262915__R6HCE0__BN574_00606
ERR1913157.1015848__1.1015848	1263000__R5ETL6__BN466_01607
ERR1913157.1017063__1.1017063	39485__A0A174ZMD4__ERS852492_01969
ERR1913157.1017759__1.1017759	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913157.1017854__1.1017854	1897011__A0A1Q6REU8__BHW41_04300
ERR1913157.1017917__1.1017917	1262911__R6H2J2__BN557_01228
ERR1913157.1018530__1.1018530	1263027__R6ZHU0__BN699_00079
ERR1913157.1018669__1.1018669	33043__A8SWM2__ERS852575_01910
ERR1913157.1018920__1.1018920	1161942__argJ
ERR1913157.1019515__1.1019515	901__B6WY11__DESPIGER_1484
ERR1913157.1019667__1.1019667	239935__B2UPZ6__CXU03_03800
ERR1913157.1019789__1.1019789	165179__A0A3E5E189__PREVCOP_06699
ERR1913157.1019846__1.1019846	33043__D5HF50__ERS852386_02415
ERR1913157.1020474__1.1020474	1897011__A0A1Q6RF71__BHW41_03215
ERR1913157.1020478__1.1020478	1262911__R6GI18__BN557_01377
ERR1913157.1020636__1.1020636	853__A0A173YYY4__DWZ04_09420
ERR1913157.1020992__1.1020992	1161942__acsA_1
ERR1913157.1021532__1.1021532	165179__A0A3E5A5E5__DXC61_13965
ERR1913157.1021715__1.1021715	165179__D1PGD2__DXC61_10875
ERR1913157.1022104__1.1022104	33043__A0A173X7L1__ERS852400_00423
ERR1913157.1022653__1.1022653	165179__R6C3K4__PREVCOP_05795
ERR1913157.1022685__1.1022685	1680__A1A132__B0703_0684
ERR1913157.1022733__1.1022733	1897011__A0A1Q6RH12__BHW41_01505
ERR1913157.1022995__1.1022995	1263000__R5EMZ8__BN466_00707
ERR1913157.1023174__1.1023174	1150298__R7JTG8__smf
ERR1913157.1023311__1.1023311	46506__R6B663__BACSTE_02258
ERR1913157.1023326__1.1023326	239935__B2UQP8__CXU15_01110
ERR1913157.1023378__1.1023378	165179__W1I4H6__DXB80_13655
ERR1913157.1023458__1.1023458	165179__A0A3E5DX33__PREVCOP_05190
ERR1913157.1023619__1.1023619	901__B6WVE0__DESPIG_02056
ERR1913157.1023648__1.1023648	165179__D1PES9__DXB80_11585
ERR1913157.1023702__1.1023702	239935__A0A2N8HBP0__CXT94_04450
ERR1913157.1023897__1.1023897	1262761__R6RB22__BN606_01933
ERR1913157.1023909__1.1023909	239935__A0A2N8HT44__CXT84_11035
ERR1913157.1024096__1.1024096	1262915__R6HBE0__BN574_01103
ERR1913157.1024693__1.1024693	239935__A0A2N8HPX2__CXT90_09930
ERR1913157.1024753__1.1024753	944036__A0A196SBI3__AV274_4947
ERR1913157.1025260__1.1025260	1161942__amt
ERR1913157.1025516__1.1025516	1897011__A0A1Q6RCU3__BHW41_05920
ERR1913157.1025723__1.1025723	33043__D5HHT0__ERS852445_02798
ERR1913157.1025844__1.1025844	901__B6WXI1__DESPIGER_1636
ERR1913157.1026206__1.1026206	853__C7H7F5__DWZ46_01780
ERR1913157.1026840__1.1026840	239935__A0A2N8HUU6__CXT90_06150
ERR1913157.1026856__1.1026856	1520815__A0A1I3NYV4__SAMN02910435_01437
