ERR1913140.348__1.348	1262882__R5N3T7__BN519_01188
ERR1913140.2141604__1.2141604	905__D2RKQ8__Acfer_1299
ERR1913140.2142102__1.2142102	165179__A0A3E5DZ45__DXC61_02820
ERR1913140.2142198__1.2142198	563769__GeneID:6972918
ERR1913140.2142268__1.2142268	360807__C0FR69__ERS852392_01939
ERR1913140.2142332__1.2142332	39491__A0A395ZHW9__DXC13_02590
ERR1913140.2142365__1.2142365	39491__A0A395ZG74__licR
ERR1913140.2142430__1.2142430	1262741__R6CI71__BN697_02530
ERR1913140.2142462__1.2142462	1262936__R7J420__BN799_00406
ERR1913140.2142617__1.2142617	165179__D1PDJ4__DXB80_08505
ERR1913140.2142693__1.2142693	39486__B0G9P9__DXC93_15995
ERR1913140.2142829__1.2142829	165179__D1PE06__DXC61_05975
ERR1913140.2142830__1.2142830	1124654__GeneID:14005781
ERR1913140.2143053__1.2143053	39485__A0A174Z340__EUBELI_00479
ERR1913140.2143179__1.2143179	10680__GeneID:1261099
ERR1913140.2143223__1.2143223	33043__D5HF29__eglS_1
ERR1913140.2143409__1.2143409	165179__A0A3E5E4T9__DXB80_08030
ERR1913140.2143502__1.2143502	1897011__A0A1Q6RIP3__BHW41_00615
ERR1913140.2143536__1.2143536	1262687__R7M3G8__BN701_00205
ERR1913140.2143875__1.2143875	901__B6WVW1__DHV46_02970
ERR1913140.2143969__1.2143969	165179__A0A174W369__PREVCOP_04548
ERR1913140.2144059__1.2144059	1263044__GCA_000433375.1_00023
ERR1913140.2144193__1.2144193	166486__D4KJ39__ERS852572_02622
ERR1913140.2144442__1.2144442	165179__D1PB89__DXC61_08425
ERR1913140.2145018__1.2145018	165179__R6CJG8__DXC61_09290
ERR1913140.2145020__1.2145020	28117__B0MYW7__ALIPUT_02336
ERR1913140.2145051__1.2145051	1262741__R6CJ39__BN697_02147
ERR1913140.2145265__1.2145265	820__A0A3E4WCX3__C801_02709
ERR1913140.2145425__1.2145425	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913140.2145539__1.2145539	626940__E8LCQ8__BHW43_05915
ERR1913140.2145730__1.2145730	39491__A0A395ZHV7__ykvU
ERR1913140.2145870__1.2145870	166486__D4KZ69__ERS852572_01502
ERR1913140.2145878__1.2145878	165179__A0A3E5AE59__DXC61_12885
ERR1913140.2145973__1.2145973	1262936__R7IZZ2__BN799_01307
ERR1913140.2146180__1.2146180	165179__A0A229I1J2__DXB80_03950
ERR1913140.2146408__1.2146408	165179__A0A3E5AI09__DXC61_05815
ERR1913140.2146546__1.2146546	10679__GeneID:1261534
ERR1913140.2146668__1.2146668	39491__A0A396FEW6__T1815_18721
ERR1913140.2147001__1.2147001	1262936__R7J3N4__BN799_00434
ERR1913140.2147175__1.2147175	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913140.2147219__1.2147219	1263000__R5EXT3__BN466_02213
ERR1913140.2147444__1.2147444	1897011__A0A1Q6REU8__BHW41_04300
ERR1913140.2147551__1.2147551	165179__A0A3E5E4P9__DXB80_07930
ERR1913140.2147602__1.2147602	853__A8SB03__C4Q21_07960
ERR1913140.2147632__1.2147632	165179__A0A3E5E7J5__DXC61_10360
ERR1913140.2147709__1.2147709	820__A0A139KIL9__DXC68_05945
ERR1913140.2147686__1.2147686	74426__purL
ERR1913140.2147778__1.2147778	1262929__R6FV28__BN691_00620
ERR1913140.2147917__1.2147917	1472761__GCA_002159295.1_00742
ERR1913140.2147996__1.2147996	1897011__A0A1Q6RDI2__BHW41_05530
ERR1913140.2148068__1.2148068	901__B6WV59__feoB
ERR1913140.2148147__1.2148147	1262911__R6HN81__BN557_00921
ERR1913140.2148321__1.2148321	39491__A0A395ZFH9__ERS852417_01193
ERR1913140.2148342__1.2148342	1127357__GeneID:12980308
ERR1913140.2148516__1.2148516	1304__A0A1W5ZCY0__CKU37_03270
ERR1913140.2148624__1.2148624	1262886__R6RDB4__BN563_00049
ERR1913140.2148689__1.2148689	626940__E8LGM9__DCQ00_02420
ERR1913140.2148721__1.2148721	562__P69229__G746_02312
ERR1913140.2148803__1.2148803	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913140.2148836__1.2148836	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913140.2148943__1.2148943	74426__purL
ERR1913140.2149091__1.2149091	905__D2RL16__Acfer_1409
ERR1913140.2149222__1.2149222	10680__GeneID:1261100
ERR1913140.2149298__1.2149298	901__B6WUN9__DESPIGER_1850
ERR1913140.2149444__1.2149444	165179__A0A3E5AE59__DXC61_12885
ERR1913140.2149483__1.2149483	1263006__R6LPZ5__BN515_02090
ERR1913140.2149607__1.2149607	853__A0A174C5M1__CGS58_04460
ERR1913140.2149700__1.2149700	39496__A5Z5I2__EUBVEN_00963
ERR1913140.2149953__1.2149953	165179__A0A174WGF6__PREVCOP_04095
ERR1913140.2149955__1.2149955	820__A0A3E4WCC2__lptB_1
ERR1913140.2150151__1.2150151	1262911__R6GUQ4__BN557_01581
ERR1913140.2150321__1.2150321	371601__I9AAD2__B5E50_12410
ERR1913140.2150340__1.2150340	1262929__R6F8F6__BN691_02017
ERR1913140.2150456__1.2150456	1150298__A0A174SLE6__mlc_1
ERR1913140.2150523__1.2150523	1262988__R7N6Z9__BN816_02572
ERR1913140.2150696__1.2150696	165179__A0A229I3Z6__PREVCOP_03666
ERR1913140.2150866__1.2150866	165179__A0A3E5E9I4__DXB80_09745
ERR1913140.2151097__1.2151097	165179__D1PE06__DXC61_05975
ERR1913140.2151180__1.2151180	1262936__R7J1I2__BN799_01776
ERR1913140.2151415__1.2151415	853__E2ZGD9__C7J97_11715
ERR1913140.2151492__1.2151492	165179__D1P8V8__DXC61_01940
ERR1913140.2151622__1.2151622	821__A0A3E4WAR6__DXD64_10735
ERR1913140.2151668__1.2151668	821__A0A0P0L8F8__ERS852509_03705
ERR1913140.2151698__1.2151698	165179__A0A229I6N7__DXC61_06720
ERR1913140.2151823__1.2151823	165179__D1PGD2__DXC61_10875
ERR1913140.2151882__1.2151882	901__B6WSJ1__DESPIGER_0735
ERR1913140.2151994__1.2151994	626940__E8LGW1__BHW43_07850
ERR1913140.2152229__1.2152229	33043__A0A174BPV6__ERS852445_01773
ERR1913140.2152393__1.2152393	1393034__GCA_001552785.1_00510
ERR1913140.2152478__1.2152478	853__A0A3E2V168__FAEPRAM212_00929
ERR1913140.2152519__1.2152519	1262959__R5YC14__BN680_01757
ERR1913140.2152767__1.2152767	562__P77789__fimF_3
ERR1913140.2152856__1.2152856	1680__A0A087DHN0__AL0462_1532
ERR1913140.2152866__1.2152866	165179__A0A3E5EDS1__DXC61_03115
ERR1913140.2152942__1.2152942	820__A0A3E4VZY4__ERS852554_01211
ERR1913140.2153238__1.2153238	905__D2RL48__SAMN05216495_101190
ERR1913140.2153312__1.2153312	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913140.2153544__1.2153544	823__A0A355XJT5__ERS852429_03504
ERR1913140.2153708__1.2153708	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913140.2153789__1.2153789	1262936__R7IYW8__BN799_00842
ERR1913140.2153800__1.2153800	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913140.2153827__1.2153827	853__D4JY61__C4N21_10560
ERR1913140.2153835__1.2153835	562__P0AF07__motB_2
ERR1913140.2153889__1.2153889	820__A0A139K8X8__DXC80_17665
ERR1913140.2154181__1.2154181	33043__A0A173WU55__ganB_2
ERR1913140.2154274__1.2154274	360807__A0A1Q6T4B4__ROSEINA2194_04053
ERR1913140.2154340__1.2154340	1262882__R5MGI7__BN519_00643
ERR1913140.2154387__1.2154387	39491__A0A395V464__EUBREC_1509
ERR1913140.2154461__1.2154461	1263000__R5EUM2__BN466_01747
ERR1913140.2154687__1.2154687	166486__D4KZ27__ROSINTL182_05762
ERR1913140.2154712__1.2154712	901__B6WRD8__DHV46_04960
ERR1913140.2154801__1.2154801	626940__R6WJ89__HMPREF9443_01234
ERR1913140.2154931__1.2154931	165179__A0A3E5DZA5__DXB80_12550
ERR1913140.2154949__1.2154949	1262936__R7J5M9__BN799_00277
ERR1913140.2155046__1.2155046	10680__GeneID:1261099
ERR1913140.2155093__1.2155093	1262741__R6CTF0__BN697_02386
ERR1913140.2155295__1.2155295	563769__GeneID:6973156
ERR1913140.2155357__1.2155357	166486__D4L273__ERS852572_01638
ERR1913140.2155336__1.2155336	823__A0A355XIK0__CEQ22_011965
ERR1913140.2155473__1.2155473	1262936__R7J2G9__BN799_01824
ERR1913140.2155558__1.2155558	1263000__R5EXT3__BN466_02213
ERR1913140.2155603__1.2155603	1550024__A0A3B9WIA4__TQ39_14495
ERR1913140.2155606__1.2155606	165179__A0A3E5DY64__CFT61_10025
ERR1913140.2155645__1.2155645	1263000__R5ER22__BN466_01180
ERR1913140.2155715__1.2155715	821__A0A0P0LH09__ERS852457_03390
ERR1913140.2155724__1.2155724	853__A8SB03__C4Q21_07960
ERR1913140.2155990__1.2155990	357276__A0A0M1W1I8__ABI39_13620
ERR1913140.2156083__1.2156083	905__D2RP20__SAMN02910455_00969
ERR1913140.2156289__1.2156289	39492__D4JV86__spoIIE
ERR1913140.2156364__1.2156364	214856__A0A174FY71__ERS852559_01033
ERR1913140.2156716__1.2156716	2292352__A0A374UKJ4__DXC23_09360
ERR1913140.2156782__1.2156782	1262936__R7J3N4__BN799_00434
ERR1913140.2156745__1.2156745	562__A0A376L0A6__CQA14_19985
ERR1913140.2156751__1.2156751	165179__D1PCT4__DXB80_09470
ERR1913140.2156785__1.2156785	410072__A0A174QCZ8__ERS852525_02613
ERR1913140.2156828__1.2156828	901__B6WPS9__DHV46_04165
ERR1913140.2156829__1.2156829	166486__C7GFB3__ERS852572_03826
ERR1913140.2156936__1.2156936	39491__A0A396FS17__envC
ERR1913140.2157220__1.2157220	165179__A0A3E5E2B6__DXB80_02820
ERR1913140.2157639__1.2157639	166486__D4L3K7__ERS852572_00904
ERR1913140.2157756__1.2157756	39491__A0A395ZGU6__ERS852417_01456
ERR1913140.2157765__1.2157765	901__B6WXX4__DESPIGER_1515
ERR1913140.2157766__1.2157766	39491__A0A174LTW7__DXD13_08720
ERR1913140.2157961__1.2157961	562__Q8XBR9__G770_00628
ERR1913140.2157925__1.2157925	33039__R6PZ42__mprA_2
ERR1913140.2157927__1.2157927	227940__GeneID:1260616
ERR1913140.2158109__1.2158109	165179__D1PEQ5__PREVCOP_05711
ERR1913140.2158225__1.2158225	901__B6WXF1__DESPIGER_1660
ERR1913140.2158296__1.2158296	1262741__R6CZW5__BN697_00568
ERR1913140.2158428__1.2158428	2292352__A0A374UKS9__DXC23_09320
ERR1913140.2158536__1.2158536	1262936__R7J5J9__BN799_00247
ERR1913140.2158801__1.2158801	1262741__R6CDT2__BN697_01470
ERR1913140.2158768__1.2158768	1897011__A0A1Q6RH12__BHW41_01505
ERR1913140.2158780__1.2158780	1262886__R6QAM6__BN563_01696
ERR1913140.2159235__1.2159235	556259__I0PXW0__BSGG_5187
ERR1913140.2159246__1.2159246	165179__A0A3E5DX15__DXC61_00345
ERR1913140.2159328__1.2159328	1262936__R7IYW6__BN799_00686
ERR1913140.2159354__1.2159354	39492__D4JS06__ERS852540_02297
ERR1913140.2159527__1.2159527	165179__R6BQP4__DXC61_02015
ERR1913140.2159783__1.2159783	905__D2RJS1__SAMN02910455_00100
ERR1913140.2159825__1.2159825	626940__E8LDI1__HMPREF9443_00908
ERR1913140.2159841__1.2159841	905__D2RL18__SAMN02910455_02125
ERR1913140.2160010__1.2160010	820__A0A139KHX1__HMPREF2141_00289
ERR1913140.2160277__1.2160277	165179__D1PGU8__PREVCOP_06463
ERR1913140.2160465__1.2160465	1262886__R6QS75__BN563_01599
ERR1913140.2160482__1.2160482	246787__A0A0P0GCR8__xynD_3
ERR1913140.2160620__1.2160620	1147147__GeneID:14182257
ERR1913140.2160682__1.2160682	33043__D5HH72__ERS852445_02265
ERR1913140.2160853__1.2160853	820__A0A3E4RTP0__C801_01067
ERR1913140.2160904__1.2160904	328814__GCA_004558275.1_00990
ERR1913140.2160965__1.2160965	1262687__R7M090__BN701_00246
ERR1913140.2161007__1.2161007	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913140.2161042__1.2161042	626940__R6WLE3__BN587_00781
ERR1913140.2161157__1.2161157	10680__GeneID:1261100
ERR1913140.2161134__1.2161134	905__D2RJH5__SAMN02910455_01134
ERR1913140.2161195__1.2161195	39491__A0A0M6WPN4__DXB69_06325
ERR1913140.2161213__1.2161213	166486__A0A173VSA0__ROSINTL182_06124
ERR1913140.2161368__1.2161368	204516__U6RFV1__HMPREF1534_02560
ERR1913140.2161469__1.2161469	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913140.2161614__1.2161614	1262936__R7J2L3__BN799_01877
ERR1913140.2161797__1.2161797	204516__U6RFV1__HMPREF1534_02560
ERR1913140.2161842__1.2161842	905__D2RL87__SAMN05216495_101230
ERR1913140.2161880__1.2161880	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913140.2161936__1.2161936	626940__E8LCB1__BHW43_07535
ERR1913140.2162069__1.2162069	10680__GeneID:1261099
ERR1913140.2162078__1.2162078	820__A0A174TRB5__DXD40_11305
ERR1913140.2162167__1.2162167	1262741__R6CDT2__BN697_01470
ERR1913140.2162290__1.2162290	39491__A0A395V1Y4__DXB99_08035
ERR1913140.2162416__1.2162416	2292352__A0A374UML6__DXC23_09355
ERR1913140.2162519__1.2162519	626940__A0A1Q6R4K8__BN587_01573
ERR1913140.2162565__1.2162565	1262886__R6RCF6__BN563_00371
ERR1913140.2162569__1.2162569	1090133__GeneID:14008340
ERR1913140.2162653__1.2162653	626940__R6X8K1__HMPREF9443_00862
ERR1913140.2162836__1.2162836	1262886__R6QIW7__BN563_00997
ERR1913140.2163029__1.2163029	562__P23837__phoQ
ERR1913140.2163097__1.2163097	1318__A0A380L8D7__HMPREF9626_0877
ERR1913140.2163123__1.2163123	823__A0A355XKQ8__DHP27_04010
ERR1913140.2163124__1.2163124	1263000__R5EXT3__BN466_02213
ERR1913140.2163131__1.2163131	1262959__R5YC14__BN680_01757
ERR1913140.2163207__1.2163207	821__A0A174V2F3__NCTC10583_01474
ERR1913140.2163307__1.2163307	1261__D3MR67__SAMN05660467_01650
ERR1913140.2163409__1.2163409	562__P26458__cydB
ERR1913140.2163440__1.2163440	823__A6LBY1__ERS852380_00510
ERR1913140.2163600__1.2163600	338188__K5CB50__BACFIN_05402
ERR1913140.2163690__1.2163690	820__A0A173XIP7__B5G17_16050
ERR1913140.2163704__1.2163704	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913140.2163808__1.2163808	1262743__R5C054__BN727_01980
ERR1913140.2164232__1.2164232	165179__A0A3E5AGH1__DXB80_05820
ERR1913140.2164222__1.2164222	626940__E8LFT1__BHW43_04055
ERR1913140.2164432__1.2164432	165179__A0A3E4SID1__DXB80_01945
ERR1913140.2164579__1.2164579	1261__D3MR67__SAMN05660467_01650
ERR1913140.2164664__1.2164664	410072__A0A173ZGJ2__ERS852389_01316
ERR1913140.2164702__1.2164702	626940__E8LE59__HMPREF9443_01130
ERR1913140.2164703__1.2164703	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913140.2164938__1.2164938	1262741__R6CY53__BN697_00992
ERR1913140.2165250__1.2165250	1262911__R6GSH0__BN557_00934
ERR1913140.2165343__1.2165343	853__A0A3E2V168__FAEPRAM212_00929
ERR1913140.2165818__1.2165818	1262936__R7J169__BN799_00083
ERR1913140.2165929__1.2165929	165179__D1PCU4__PREVCOP_05029
ERR1913140.2166037__1.2166037	1262919__R5P6R9__BN465_01120
ERR1913140.2166071__1.2166071	853__A0A3E2V168__FAEPRAM212_00929
ERR1913140.2166158__1.2166158	564886__GeneID:6973115
ERR1913140.2166206__1.2166206	165179__D1PHV2__PREVCOP_06822
ERR1913140.2166218__1.2166218	1262959__R5XVV1__BN680_00303
ERR1913140.2166225__1.2166225	1262882__R5MLE6__BN519_01423
ERR1913140.2166308__1.2166308	626940__E8LDT4__rarD
ERR1913140.2166355__1.2166355	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913140.2166360__1.2166360	1357825__GeneID:17494397
ERR1913140.2166447__1.2166447	626940__E8LCB1__BHW43_07535
ERR1913140.2166518__1.2166518	165179__A0A3E5AE59__DXC61_12885
ERR1913140.2166538__1.2166538	10680__GeneID:1261100
ERR1913140.2166806__1.2166806	907__G0VR40__AZ49_00640
ERR1913140.2166846__1.2166846	33043__A0A173QUA9__ERS852400_01795
ERR1913140.2166993__1.2166993	1343__E3CRC8__HMPREF9425_0492
ERR1913140.2167030__1.2167030	310298__B3JQJ5__BACCOP_04231
ERR1913140.2167224__1.2167224	562__P0AEK1__CR916_15790
ERR1913140.2167229__1.2167229	214856__A0A173YE57__ERS852559_00126
ERR1913140.2167346__1.2167346	905__D2RMX6__Acfer_2049
ERR1913140.2167388__1.2167388	901__B6WXI1__DESPIGER_1636
ERR1913140.2167557__1.2167557	905__D2RJW8__SAMN02910455_00053
ERR1913140.2167679__1.2167679	1262959__R5Y6Y6__BN680_01594
ERR1913140.2167766__1.2167766	28038__A0A221RVE6__C0W45_09105
ERR1913140.2167853__1.2167853	853__A0A2A7A4A9__C4N21_14870
ERR1913140.2167913__1.2167913	2292352__A0A374UMB7__DXC23_09370
ERR1913140.2167928__1.2167928	414970__GeneID:5204399
ERR1913140.2167985__1.2167985	357276__A0A1Y3Z3W0__IY41_20500
ERR1913140.2168121__1.2168121	357276__A0A076IN30__DXD47_09350
ERR1913140.2168176__1.2168176	147206__GCF_000156215.1_01108
ERR1913140.2168379__1.2168379	39491__C4ZHS4__EUR_24420
ERR1913140.2168651__1.2168651	1262936__R7J3N4__BN799_00434
ERR1913140.2168692__1.2168692	905__D2RKU2__SAMN02910455_01052
ERR1913140.2168724__1.2168724	165179__A0A174W369__PREVCOP_04548
ERR1913140.2168767__1.2168767	301301__A0A395VG51__RHOM_05870
ERR1913140.2168777__1.2168777	671232__T1ZER2__Q615_SPAC00113G0483
ERR1913140.2168809__1.2168809	165179__A0A3E5E9I4__DXB80_09745
ERR1913140.2168839__1.2168839	33039__A0A173RPT9__ERS852502_02389
ERR1913140.2168920__1.2168920	166486__D4L273__ERS852572_01638
ERR1913140.2169133__1.2169133	165179__R6C3K4__PREVCOP_05795
ERR1913140.2169191__1.2169191	165179__A0A3E5A554__DXB80_13805
ERR1913140.2169151__1.2169151	562__P23837__phoQ
ERR1913140.2169158__1.2169158	165179__A0A3E5E8N5__DXC61_13460
ERR1913140.2169459__1.2169459	901__B6WPS9__DHV46_04165
ERR1913140.2169816__1.2169816	820__A0A1T4IY71__HMPREF2141_02402
ERR1913140.2169831__1.2169831	1261640__A0A1Q9JKD3__BHK98_11415
ERR1913140.2170016__1.2170016	821__A0A174NM17__lacZ_6
ERR1913140.2170350__1.2170350	1262936__R7IZB8__BN799_01096
ERR1913140.2170420__1.2170420	39491__A0A396FBR6__DXC13_08575
ERR1913140.2170679__1.2170679	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913140.2170710__1.2170710	227940__GeneID:1260616
ERR1913140.2170811__1.2170811	1262936__R7J2K7__BN799_00229
ERR1913140.2170864__1.2170864	905__D2RJZ2__SAMN02910455_00029
ERR1913140.2170962__1.2170962	1262936__R7IZE2__BN799_01121
ERR1913140.2171185__1.2171185	823__A0A355XIK0__CEQ22_011965
ERR1913140.2171260__1.2171260	165179__A0A3E5AI09__DXC61_05815
ERR1913140.2171411__1.2171411	39491__C4Z8S1__DXB76_06750
ERR1913140.2171545__1.2171545	39485__C4Z637__ERS852490_00218
ERR1913140.2171571__1.2171571	357276__A0A076IS26__EL88_15950
ERR1913140.2171699__1.2171699	46503__R6XCJ0__PARMER_01847
ERR1913140.2171705__1.2171705	46503__R6XCJ0__PARMER_01847
ERR1913140.2171776__1.2171776	10680__GeneID:1261088
ERR1913140.2172037__1.2172037	564886__GeneID:6973115
ERR1913140.2172067__1.2172067	214856__A0A174H3U9__ERS852559_00612
ERR1913140.2172068__1.2172068	165179__D1PGD2__DXC61_10875
ERR1913140.2172098__1.2172098	562__P0AFH7__oppC
ERR1913140.2172120__1.2172120	1262959__R5Y1F6__BN680_01715
ERR1913140.2172263__1.2172263	1262936__R7J012__BN799_01235
ERR1913140.2172325__1.2172325	33043__D5HIS6__ERS852575_02019
ERR1913140.2172328__1.2172328	562__P08371__RW92_04043
ERR1913140.2172679__1.2172679	39485__C4Z5L2__ERS852490_00659
ERR1913140.2172719__1.2172719	39491__A0A395ZIT8__EUR_13460
ERR1913140.2172826__1.2172826	39496__A5Z5I2__EUBVEN_00963
ERR1913140.2172950__1.2172950	33043__A0A173WCG7__ERS852575_01602
ERR1913140.2173001__1.2173001	165179__D1P9T6__PREVCOP_04016
ERR1913140.2173314__1.2173314	626940__E8LFE6__DCQ00_00370
ERR1913140.2173335__1.2173335	357276__A0A076IRZ5__BACDOR_00630
ERR1913140.2173395__1.2173395	1735__B7C7R0__EUBIFOR_00208
ERR1913140.2173726__1.2173726	33043__D5HI39__baeS_1
ERR1913140.2173793__1.2173793	39491__A0A3E4E7C5__DXB69_03255
ERR1913140.2173799__1.2173799	853__A0A2A7B9I6__DW855_13690
ERR1913140.2173806__1.2173806	10680__GeneID:1261099
ERR1913140.2173969__1.2173969	564886__GeneID:6973115
ERR1913140.2174238__1.2174238	39492__D4JTL0__EUBSIR_01428
ERR1913140.2174373__1.2174373	626940__E8LGW7__HMPREF9443_02123
ERR1913140.2174463__1.2174463	820__A0A3E4G493__ERS417307_00253
ERR1913140.2174553__1.2174553	853__A0A174C5M1__CGS58_04460
ERR1913140.2174796__1.2174796	1262959__R5YGW0__BN680_01511
ERR1913140.2174875__1.2174875	165179__D1PFV4__PREVCOP_06112
ERR1913140.2174885__1.2174885	165179__A0A3E5A832__DXC61_13685
ERR1913140.2174981__1.2174981	2292352__A0A374UL63__DXC23_08410
ERR1913140.2175107__1.2175107	1262919__R5PBB8__BN465_02498
ERR1913140.2175258__1.2175258	165179__A0A3E5DX33__PREVCOP_05190
ERR1913140.2175359__1.2175359	1262936__R7J169__BN799_00083
ERR1913140.2175576__1.2175576	384639__GCA_003096855.1_02656
ERR1913140.2175643__1.2175643	10680__GeneID:1261092
ERR1913140.2175839__1.2175839	214856__A0A174ZED5__ERS852559_00591
ERR1913140.2175914__1.2175914	907__G0VRX3__MELS_1794
ERR1913140.2175983__1.2175983	410072__A0A173S248__ERS852525_02992
ERR1913140.2176301__1.2176301	214856__A0A174A1J3__ERS852447_01000
ERR1913140.2176452__1.2176452	1897011__A0A1Q6RIF1__BHW41_00635
ERR1913140.2176478__1.2176478	1235793__R9KSF0__C809_01679
ERR1913140.2176597__1.2176597	39486__R6RY39__DXD82_07230
ERR1913140.2176773__1.2176773	853__A0A173T751__C4N24_10280
ERR1913140.2176780__1.2176780	901__B6WXF1__DESPIGER_1660
ERR1913140.2176951__1.2176951	626940__E8LCB1__BHW43_07535
ERR1913140.2177069__1.2177069	33043__D5HIL8__ERS852386_02009
ERR1913140.2177156__1.2177156	33043__A0A174B7D6__ERS852400_01331
ERR1913140.2177163__1.2177163	28117__B0MXI8__BHV66_08505
ERR1913140.2177166__1.2177166	821__A0A3E4WAR6__DXD64_10735
ERR1913140.2177205__1.2177205	820__A0A1T4IYF4__mprA_1
ERR1913140.2177216__1.2177216	165179__A0A3E5E6S6__DXB80_07575
ERR1913140.2177390__1.2177390	905__D2RNV1__SAMN02910455_01677
ERR1913140.2177515__1.2177515	360807__A0A396AF38__RIL183_00781
ERR1913140.2177469__1.2177469	901__B6WTG1__glpB
ERR1913140.2177659__1.2177659	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913140.2177709__1.2177709	820__A0A173YYG4__evgS_3
ERR1913140.2177682__1.2177682	360807__A0A173V2S2__phoR_7
ERR1913140.2177807__1.2177807	626940__E8LFN2__DCQ00_04835
ERR1913140.2177922__1.2177922	39491__A0A395UYM9__DXC13_07980
ERR1913140.2178000__1.2178000	187979__A0A174C276__ERS852385_02036
ERR1913140.2178129__1.2178129	204516__U6RA51__HMPREF1534_03959
ERR1913140.2178208__1.2178208	165179__A0A229I1J2__DXB80_03950
ERR1913140.2178257__1.2178257	165179__A0A3E5A5E5__DXC61_13965
ERR1913140.2178319__1.2178319	1262886__R6QNU3__BN563_00612
ERR1913140.2178342__1.2178342	418240__C6JH13__ERS852478_02750
ERR1913140.2178432__1.2178432	33039__A0A173VNF2__truB
ERR1913140.2178452__1.2178452	360807__C0FZM4__RIL183_06871
ERR1913140.2178579__1.2178579	1262936__R7J5X5__BN799_00356
ERR1913140.2178645__1.2178645	33039__D4M149__ERS852390_03118
ERR1913140.2178733__1.2178733	410072__A0A3E4GT98__ERS852574_02351
ERR1913140.2178744__1.2178744	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913140.2179064__1.2179064	165179__D1PGD2__DXC61_10875
ERR1913140.2179156__1.2179156	1262936__R7J5J9__BN799_00247
ERR1913140.2179218__1.2179218	357276__B6W1Y1__BSEG_03960
ERR1913140.2179230__1.2179230	165179__A0A3E5DRF6__DXC61_00200
ERR1913140.2179278__1.2179278	39492__D4JR58__EUBSIR_02090
ERR1913140.2179339__1.2179339	1262886__R6QH63__BN563_00498
ERR1913140.2179376__1.2179376	39485__R5ZRT8__gmr_6
ERR1913140.2179418__1.2179418	853__D4JY61__C4N21_10560
ERR1913140.2179777__1.2179777	1965570__A0A1Y4N3E0__B5F08_11630
ERR1913140.2179816__1.2179816	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913140.2179861__1.2179861	39485__A0A174YMM2__ERS852490_01019
ERR1913140.2179852__1.2179852	165179__A0A3E5E2B6__DXB80_02820
ERR1913140.2180017__1.2180017	1262936__R7J048__BN799_01270
ERR1913140.2180084__1.2180084	165179__D1PB89__DXC61_08425
ERR1913140.2180104__1.2180104	905__D2RMK8__SAMN02910455_01791
ERR1913140.2181089__1.2181089	39491__A0A3E4YFT8__DXB69_10940
ERR1913140.2181069__1.2181069	322505__xre_3
ERR1913140.2181524__1.2181524	61171__B9Y5T9__HOLDEFILI_01171
ERR1913140.2181767__1.2181767	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913140.2182229__1.2182229	905__D2RKT2__SAMN02910455_01042
ERR1913140.2182279__1.2182279	626940__E8LFF6__BHW43_06155
ERR1913140.2182423__1.2182423	626940__E8LFN2__DCQ00_04835
ERR1913140.2182489__1.2182489	10680__GeneID:1261099
ERR1913140.2183045__1.2183045	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913140.2183245__1.2183245	10679__GeneID:1261534
ERR1913140.2183455__1.2183455	328814__GCA_004558275.1_00995
ERR1913140.2183978__1.2183978	1262741__R6CQD6__BN697_01012
ERR1913140.2184232__1.2184232	823__A0A174XJM9__CEQ22_007230
ERR1913140.2184381__1.2184381	357276__I8W1E1__B5F00_10785
ERR1913140.2184632__1.2184632	39492__B0MNQ2__EUBSIR_01459
ERR1913140.2184894__1.2184894	166486__D4KUC4__arcB_1
ERR1913140.2184897__1.2184897	562__P46855__PU39_09885
ERR1913140.2184992__1.2184992	74426__purL
ERR1913140.2185045__1.2185045	901__B6WRI8__DHV46_05150
ERR1913140.2185525__1.2185525	39491__A0A396FIZ8__ERE_20410
ERR1913140.2185669__1.2185669	357276__I9F327__DXD47_22495
ERR1913140.2185718__1.2185718	344022__GeneID:3837292
ERR1913140.2185857__1.2185857	853__A0A2A7ATM9__DWZ89_13645
ERR1913140.2185878__1.2185878	165179__A0A3E5E7A6__PREVCOP_04277
ERR1913140.2185930__1.2185930	328814__GCA_004558275.1_00061
ERR1913140.2185963__1.2185963	165179__A0A3E5E189__PREVCOP_06699
