ERR1913314.38__1.38	28116__R6DIL2__DXD69_10970
ERR1913314.621699__1.621699	28116__A0A395VRD0__HMPREF1017_03376
ERR1913314.621754__1.621754	821__A0A174NM17__lacZ_6
ERR1913314.621809__1.621809	47678__R5U3A7__ERS852494_02965
ERR1913314.621883__1.621883	820__A0A374MMF0__HMPREF1073_03811
ERR1913314.621884__1.621884	820__A0A139KIL9__DXC68_05945
ERR1913314.622123__1.622123	823__D0TDY6__DHP27_09090
ERR1913314.622164__1.622164	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913314.622272__1.622272	187327__R6M6U9__xseA
ERR1913314.622282__1.622282	187327__G4Q2R6__Acin_2204
ERR1913314.622455__1.622455	1896974__A0A1Q6H2Z3__BHV77_11085
ERR1913314.622477__1.622477	74426__nifJ
ERR1913314.622504__1.622504	28116__I9ST00__M088_5588
ERR1913314.622692__1.622692	28116__A0A1Y4PHM7__DXA80_25130
ERR1913314.622729__1.622729	246787__A0A3D6AU53__AA416_01665
ERR1913314.622791__1.622791	187327__G4Q2J3__ACDG_01696
ERR1913314.622816__1.622816	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913314.622901__1.622901	40518__R5DV58__htrA
ERR1913314.622911__1.622911	821__A0A174NM17__lacZ_6
ERR1913314.622945__1.622945	820__A0A3E4W4W5__ERS852554_02179
ERR1913314.622960__1.622960	187327__G4Q902__Acin_0458
ERR1913314.622962__1.622962	216816__A0A061M1M5__HMPREF0177_01046
ERR1913314.623166__1.623166	820__A0A3E4IGA7__DXD40_07110
ERR1913314.623277__1.623277	820__A7VAR9__ERS852421_00197
ERR1913314.623231__1.623231	820__A0A3E5E0T0__ERS852554_00312
ERR1913314.623357__1.623357	39491__C4Z9K7__EUBREC_0050
ERR1913314.623377__1.623377	39496__A5Z3N1__EUBVEN_00277
ERR1913314.623443__1.623443	820__A0A3E4VZY4__ERS852554_01211
ERR1913314.623479__1.623479	820__A0A396CMY7__HMPREF1072_03009
ERR1913314.623480__1.623480	1628085__A0A396QC65__C7386_101113
ERR1913314.623483__1.623483	820__A0A139KIL9__DXC68_05945
ERR1913314.623514__1.623514	820__A7V780__adaA_3
ERR1913314.623557__1.623557	187327__G4Q3P2__ACDG_00349
ERR1913314.623654__1.623654	187327__G4Q2R6__Acin_2204
ERR1913314.623700__1.623700	820__A0A139K0J1__HMPREF2141_03205
ERR1913314.623718__1.623718	820__A0A374Q854__HMPREF1073_03281
ERR1913314.623827__1.623827	820__A7VAS1__HMPREF2141_03259
ERR1913314.623924__1.623924	47678__R5UXY0__CGC64_03535
ERR1913314.623976__1.623976	821__A0A174WBC9__ERS852556_03145
ERR1913314.623978__1.623978	820__A0A139KIL9__DXC68_05945
ERR1913314.623997__1.623997	1550024__A0A0D8J179__ASJ35_09245
ERR1913314.624048__1.624048	47678__R5UU99__C5Z00_11925
ERR1913314.624185__1.624185	1680__A0A0C2YNK5__BADO_0780
ERR1913314.624303__1.624303	1680__R5GSL8__DXD60_03315
ERR1913314.624270__1.624270	1550024__A0A0D8J136__TQ39_12150
ERR1913314.624460__1.624460	40518__R5DZC6__mreC
ERR1913314.624496__1.624496	821__A0A173WG51__BVU_2549
ERR1913314.624515__1.624515	292800__G9YPD5__A4U99_08485
ERR1913314.624609__1.624609	818__D7I7V5__BJP75_001030
ERR1913314.624631__1.624631	47678__R5UES3__CGC64_00760
ERR1913314.624798__1.624798	292800__A0A174R7C9__HMPREF9460_02227
ERR1913314.624871__1.624871	820__A0A174M9V5__M093_0237
ERR1913314.624908__1.624908	1160721__W0U5X6__RBI_I01796
ERR1913314.624947__1.624947	821__A0A174JYD3__ERS852457_02610
ERR1913314.624973__1.624973	821__A0A0P0M2J4__DXD46_10295
ERR1913314.625133__1.625133	820__A0A3E4G826__C801_01612
ERR1913314.625151__1.625151	47678__R5U7X8__C5Z00_18270
ERR1913314.625193__1.625193	187327__G4Q2J4__Acin_1428
ERR1913314.625335__1.625335	820__A0A139K4T0__ERS852510_03146
ERR1913314.625436__1.625436	820__A0A374MMF0__HMPREF1073_03811
ERR1913314.625449__1.625449	47678__R5U7M7__CGC64_14730
ERR1913314.625479__1.625479	28116__A7M344__BACOV975_04644
ERR1913314.625519__1.625519	187327__G4Q600__ACDG_00661
ERR1913314.625553__1.625553	821__A0A174JYD3__ERS852457_02610
ERR1913314.625598__1.625598	147206__GCF_000156215.1_01774
ERR1913314.625691__1.625691	35833__S2KTV4__HMPREF0179_05216
ERR1913314.625712__1.625712	820__A0A139K1Y6__DXB48_02610
ERR1913314.625756__1.625756	47678__A5ZHJ2__DXB67_12405
ERR1913314.625745__1.625745	820__I9A4U7__DHU98_12785
ERR1913314.625865__1.625865	39488__A0A173V5H8__appA
ERR1913314.625887__1.625887	820__A0A374QGD2__ERS852421_02382
ERR1913314.625937__1.625937	28116__A0A1H4GBQ8__HMPREF1017_04241
ERR1913314.625926__1.625926	28117__B0MXG7__BHV66_08620
ERR1913314.626073__1.626073	820__A0A174FUF0__HMPREF1073_03308
ERR1913314.626074__1.626074	853__A0A173XRA8__CGS56_09290
ERR1913314.626096__1.626096	820__A7V9F9__B5G17_14640
ERR1913314.626128__1.626128	1262911__R6HN81__BN557_00921
ERR1913314.626198__1.626198	821__A0A396F598__CUU_3259
ERR1913314.626257__1.626257	357276__I8WFU9__BACDOR_02006
ERR1913314.626290__1.626290	246787__A0A3D6AWM8__BACCELL_01963
ERR1913314.626321__1.626321	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913314.626444__1.626444	39491__A0A395ZDC6__addB
ERR1913314.626460__1.626460	821__D4VD59__BHV80_04260
ERR1913314.626500__1.626500	187327__G4Q6P7__ACDG_01266
ERR1913314.626665__1.626665	40518__R5DVV1__RBATCC27255_00999
ERR1913314.626605__1.626605	821__A0A174WBC9__ERS852556_03145
ERR1913314.626702__1.626702	820__A0A3E5BMG9__DXD40_05130
ERR1913314.626679__1.626679	1262869__R7CLK4__BN625_01129
ERR1913314.626783__1.626783	187327__G4Q682__Acin_1672
ERR1913314.626860__1.626860	47678__A5ZF31__DXB67_11050
ERR1913314.626887__1.626887	187327__G4Q600__ACDG_00661
ERR1913314.626867__1.626867	187327__G4Q7Q6__ACDG_00853
ERR1913314.626875__1.626875	292800__U2BU47__ERS852544_01880
ERR1913314.626961__1.626961	823__A0A073I5R7__cloSI
ERR1913314.626996__1.626996	301301__A0A395VAM3__yfiN_2
ERR1913314.627067__1.627067	1160721__W0U633__BHW50_00240
ERR1913314.627096__1.627096	820__R9I3Q7__HMPREF1072_01668
ERR1913314.627099__1.627099	40518__R5DRG6__ylbJ
ERR1913314.627145__1.627145	39491__A0A395UXH0__EUBREC_0021
ERR1913314.627224__1.627224	40518__R5DYU1__DXD86_01160
ERR1913314.627232__1.627232	46506__A0A108TDB0__DXC34_12240
ERR1913314.627289__1.627289	292800__A0A1C7FP14__ERS852518_04317
ERR1913314.627321__1.627321	47678__A0A174TQR6__CGC64_14735
ERR1913314.627351__1.627351	40518__R5E6U1__yunB
ERR1913314.627362__1.627362	28116__A0A078QGJ1__AA414_00533
ERR1913314.627413__1.627413	820__A0A139KHX1__HMPREF2141_00289
ERR1913314.627545__1.627545	28116__A0A396DFW5__C5Z02_07010
ERR1913314.627482__1.627482	39491__R6TQ09__DXC13_03010
ERR1913314.627562__1.627562	301302__A0A173S3L8__vpr
ERR1913314.627578__1.627578	745368__A0A1T4XIF3__SAMN02745178_01889
ERR1913314.627678__1.627678	28116__D4WJ30__DHW41_06080
ERR1913314.627716__1.627716	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913314.627767__1.627767	823__D7IV95__DXC05_09565
ERR1913314.627781__1.627781	328813__A0A1Y3QZ24__B5G41_08040
ERR1913314.627784__1.627784	187327__G4Q6E9__ppx
ERR1913314.627807__1.627807	820__A7VAR9__ERS852421_00197
ERR1913314.627873__1.627873	187327__U2VMS3__ACDG_00972
ERR1913314.627920__1.627920	820__A0A139KG04__ERS852459_01249
ERR1913314.627954__1.627954	1262954__R7FCJ4__BN611_01800
ERR1913314.628039__1.628039	821__R6F3Y1__SAMN04487923_104318
ERR1913314.628183__1.628183	821__A0A3E4WAR6__DXD64_10735
ERR1913314.628268__1.628268	820__A0A3E4W4Y7__B5G17_02055
ERR1913314.628311__1.628311	301301__G2T0A9__RHOM_03910
ERR1913314.628391__1.628391	820__A0A3E4W4W5__ERS852554_02179
ERR1913314.628432__1.628432	187327__G4Q682__Acin_1672
ERR1913314.628556__1.628556	817__K1FQG1__DWS34_07240
ERR1913314.628604__1.628604	40518__R5DQK2__DXD93_03730
ERR1913314.628633__1.628633	649756__A0A173RGN8__DO83_04830
ERR1913314.628662__1.628662	821__A0A395VLM8__BvMPK_3650
ERR1913314.628710__1.628710	1776081__A0A1B8WV94__A0U42_08130
ERR1913314.628739__1.628739	39491__C4Z9D4__DXD95_00055
ERR1913314.628750__1.628750	821__E5UY21__C800_02204
ERR1913314.628915__1.628915	820__A7VAR9__ERS852421_00197
ERR1913314.628924__1.628924	818__A0A0N7I9M6__Btheta7330_00939
ERR1913314.628927__1.628927	823__A0A395YRE1__DXC05_20005
ERR1913314.629005__1.629005	46506__B0NMY5__AA415_00377
ERR1913314.629022__1.629022	28117__R7JIJ8__BHV66_01635
ERR1913314.629028__1.629028	820__A0A139KHD8__ERS417307_00569
ERR1913314.629068__1.629068	820__A0A3E5BMG9__DXD40_05130
ERR1913314.629082__1.629082	820__R9HXK9__DXB62_08265
ERR1913314.629117__1.629117	187327__G4Q7M1__rnhC
ERR1913314.629167__1.629167	820__A0A173YYG4__evgS_3
ERR1913314.629202__1.629202	1262743__R5C054__BN727_01980
ERR1913314.629174__1.629174	47678__R5U7X8__C5Z00_18270
ERR1913314.629186__1.629186	39491__A0A395ZHW9__DXC13_02590
ERR1913314.629318__1.629318	40518__R5DU74__RBATCC27255_00707
ERR1913314.629319__1.629319	820__A0A139KIL9__DXC68_05945
ERR1913314.629409__1.629409	28116__A7M617__SAMN05192582_105025
ERR1913314.629479__1.629479	1358__D2BLL9__P620_11050
ERR1913314.629508__1.629508	820__A0A174QLF0__SAMN05444418_109151
ERR1913314.629658__1.629658	28117__B0MYM2__BHV66_04910
ERR1913314.629719__1.629719	626929__F3PIV6__B5F24_03810
ERR1913314.629697__1.629697	823__A0A174PAQ4__ERS852429_04218
ERR1913314.629765__1.629765	1965604__A0A1Y4ERL1__B5F54_16810
ERR1913314.629798__1.629798	187327__G4Q682__Acin_1672
ERR1913314.629815__1.629815	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913314.629880__1.629880	1150298__A0A174KDX3__ERS852498_01212
ERR1913314.629993__1.629993	820__A0A3E4G493__ERS417307_00253
ERR1913314.630062__1.630062	40518__R5E2X9__RBATCC27255_01546
ERR1913314.630079__1.630079	40518__R5DY98__mepA_5
ERR1913314.630038__1.630038	246787__R6KBH9__HMPREF1062_04676
ERR1913314.630252__1.630252	40518__R5DSI5__fieF
ERR1913314.630517__1.630517	820__A7V9F9__B5G17_14640
ERR1913314.630677__1.630677	28052__A0A174GQI3__ERS852451_00394
ERR1913314.630770__1.630770	820__A0A139KA34__B5G17_05520
ERR1913314.630774__1.630774	1263107__GCA_000436995.1_00164
ERR1913314.630817__1.630817	371601__A0A1H3XPY7__CW1_0993
ERR1913314.630819__1.630819	39491__C4Z9K7__EUBREC_0050
ERR1913314.630891__1.630891	820__A0A3E4PYB0__yejM
ERR1913314.630922__1.630922	216816__B3DRU6__DPC6323_0992
ERR1913314.631019__1.631019	820__A0A174R952__DXB48_02570
ERR1913314.631161__1.631161	1550024__G9RYX6__ASJ35_10025
ERR1913314.631310__1.631310	40518__R5E4X5__RB5AMG_01438
ERR1913314.631344__1.631344	187327__U2VKS6__Acin_2226
ERR1913314.631352__1.631352	40518__R5DZC6__mreC
ERR1913314.631357__1.631357	28116__I8YA07__C5Z02_15915
ERR1913314.631610__1.631610	189722__E0NQU7__HMPREF0658_0548
ERR1913314.631714__1.631714	820__A0A1Y3V743__M093_0235
ERR1913314.631749__1.631749	40518__R5DZC6__mreC
ERR1913314.631963__1.631963	1776081__A0A1B8WUW8__A0U42_08610
ERR1913314.631973__1.631973	214856__I3YPP9__Alfi_2707
ERR1913314.632089__1.632089	47678__R5U8Y1__BACCAC_02615
ERR1913314.632304__1.632304	292800__U2BU47__ERS852544_01880
ERR1913314.632307__1.632307	821__A0A0P0M3U7__DXB90_14325
ERR1913314.632474__1.632474	823__A0A355XN36__DXB14_02385
ERR1913314.632704__1.632704	556259__I0PYM3__BSGG_5385
ERR1913314.632883__1.632883	28116__A7LSB9__DXF98_11950
ERR1913314.632912__1.632912	1262743__R5C054__BN727_01980
ERR1913314.632917__1.632917	552398__F4XCQ4__HMPREF0866_01621
ERR1913314.632931__1.632931	246787__E2N7G0__resA_6
ERR1913314.632934__1.632934	40518__R5DUU2__yvhJ_2
ERR1913314.632978__1.632978	1680__R5GSL8__DXD60_03315
ERR1913314.633068__1.633068	418240__A0A174M9G4__ERS852523_01208
ERR1913314.633073__1.633073	820__A0A139KHX1__HMPREF2141_00289
ERR1913314.633098__1.633098	28117__R7JLL3__ALIPUT_02219
ERR1913314.633126__1.633126	187327__G4Q3E6__Acin_1729
ERR1913314.633143__1.633143	853__A0A173T6P2__DWZ46_14595
ERR1913314.633228__1.633228	626929__F3PEI8__SAMN05444376_2571
ERR1913314.633319__1.633319	28116__A0A1Y4Q114__DXF98_00470
ERR1913314.633303__1.633303	821__A0A174NM17__lacZ_6
ERR1913314.633364__1.633364	357276__A0A076IS26__EL88_15950
ERR1913314.633390__1.633390	39491__A0A0M6WLC7__ERS852497_00640
ERR1913314.633417__1.633417	187327__G4Q2V4__Acin_1541
ERR1913314.633422__1.633422	820__A0A139KG60__M094_2679
ERR1913314.633564__1.633564	28116__A7LS06__HMPREF2532_04668
ERR1913314.633583__1.633583	28116__A0A078QGJ1__AA414_00533
ERR1913314.633600__1.633600	28116__A0A1Y4Q374__ERS852555_04681
ERR1913314.633661__1.633661	39491__D4JM76__DXC13_02150
ERR1913314.633703__1.633703	821__A0A0P0M4G3__M099_3092
ERR1913314.633913__1.633913	40518__R5DZE2__DXD86_07400
ERR1913314.633985__1.633985	821__D4V4X2__DXC16_18525
ERR1913314.633988__1.633988	487174__K0XG81__HMPREF9448_02274
ERR1913314.634195__1.634195	187327__G4Q5J0__apbA
ERR1913314.634233__1.634233	28116__A0A3E5HUC8__DHW41_21025
ERR1913314.634336__1.634336	301301__A0A395VAV8__ERS852391_02437
ERR1913314.634480__1.634480	47678__R5U3V5__DW706_14455
ERR1913314.634406__1.634406	187327__G4Q394__ACDG_01705
ERR1913314.634425__1.634425	40518__R5DYU1__DXD86_01160
ERR1913314.634578__1.634578	820__A0A3E4WA06__ERS852554_03404
ERR1913314.634619__1.634619	821__R6F3Y1__SAMN04487923_104318
ERR1913314.634625__1.634625	820__A0A3E4VXP2__yesR
ERR1913314.634609__1.634609	28116__F7L4X5__M089_2857
ERR1913314.634717__1.634717	39488__A0A173Y0W1__EHLA_1872
ERR1913314.634679__1.634679	820__A0A3E4W6P0__gmhA
ERR1913314.634683__1.634683	1680__R5GZJ8__BSTER_1195
ERR1913314.634747__1.634747	187327__G4Q445__Acin_0599
ERR1913314.634749__1.634749	820__A0A3E4PYB0__yejM
ERR1913314.634830__1.634830	820__A7V470__HMPREF1072_02076
ERR1913314.634913__1.634913	820__I9A4U7__DHU98_12785
ERR1913314.634918__1.634918	820__A0A3E4W084__BACUNI_04042
ERR1913314.634954__1.634954	187327__U2TUH7__ACDG_00970
ERR1913314.635033__1.635033	301302__R5UNJ6__M72_26701
ERR1913314.635282__1.635282	214856__A0A174EJT5__mnmA
ERR1913314.635318__1.635318	1680__R5GZJ8__BSTER_1195
ERR1913314.635394__1.635394	820__A0A139KH21__DXC80_01780
ERR1913314.635433__1.635433	823__A0A355XNV2__DXB14_15920
ERR1913314.635435__1.635435	820__A0A3E4VZY4__ERS852554_01211
ERR1913314.635569__1.635569	820__A0A374QGD2__ERS852421_02382
ERR1913314.635767__1.635767	820__A0A3E4IGA7__DXD40_07110
ERR1913314.635835__1.635835	820__A0A396EUU8__luxQ_3
ERR1913314.635921__1.635921	626929__F3PGY0__SAMN05444376_1243
ERR1913314.635878__1.635878	1235835__R9LCU2__C814_02677
ERR1913314.635973__1.635973	820__A0A174TRB5__DXD40_11305
ERR1913314.636025__1.636025	187327__G4Q6A3__ACDG_01732
ERR1913314.636047__1.636047	1262743__R5C054__BN727_01980
ERR1913314.636069__1.636069	820__A0A374Q854__HMPREF1073_03281
ERR1913314.636213__1.636213	187327__G4Q5M4__ACDG_00271
ERR1913314.636226__1.636226	187327__G4Q2R6__Acin_2204
ERR1913314.636293__1.636293	1680__R5GZF2__DXC60_01925
ERR1913314.636330__1.636330	46506__A0A120A336__SAMN05444283_1528
ERR1913314.636427__1.636427	820__A0A139K4W1__M093_0353
ERR1913314.636516__1.636516	246787__A0A0P0G254__axeA1_2
ERR1913314.636499__1.636499	187327__G4Q3E9__Acin_1732
ERR1913314.636500__1.636500	820__A0A173YYG4__evgS_3
ERR1913314.636510__1.636510	820__A0A3E4RUC4__DHU98_02635
ERR1913314.636546__1.636546	39486__G1WW54__DXB12_08440
ERR1913314.636572__1.636572	47678__A5ZGW9__HMPREF1061_01068
ERR1913314.636657__1.636657	47678__R5UAI1__BACCAC_01922
ERR1913314.636683__1.636683	328814__GCA_004558275.1_01393
ERR1913314.636689__1.636689	394340__nrdD
ERR1913314.636732__1.636732	40518__R5DU52__RB5AMG_02245
ERR1913314.636809__1.636809	1262869__R7CPD0__BN625_00137
ERR1913314.636785__1.636785	820__A0A173YYG4__evgS_3
ERR1913314.636833__1.636833	74426__rpoB
ERR1913314.636985__1.636985	28116__A0A139L3C0__C5Z02_05550
ERR1913314.636955__1.636955	820__R9I324__HMPREF2141_02414
ERR1913314.637073__1.637073	818__A0A0P0F004__SAMN02910322_02925
ERR1913314.637150__1.637150	820__A0A3E4XM43__DXC91_13960
ERR1913314.637340__1.637340	40518__R5DS23__DXD86_01715
ERR1913314.637299__1.637299	820__A0A3E4W4W5__ERS852554_02179
ERR1913314.637426__1.637426	1550024__G9RTN6__TQ39_08170
ERR1913314.637396__1.637396	187327__G4Q2R6__Acin_2204
ERR1913314.637398__1.637398	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913314.637439__1.637439	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913314.637628__1.637628	820__A0A174A6K0__M093_0079
ERR1913314.637710__1.637710	328813__A0A1Y3QZ24__B5G41_08040
ERR1913314.637778__1.637778	40518__R5DWH8__DXD86_04530
ERR1913314.637733__1.637733	820__A7V470__HMPREF1072_02076
ERR1913314.637735__1.637735	820__A0A3E4VZY4__ERS852554_01211
ERR1913314.637908__1.637908	821__D4VD59__BHV80_04260
ERR1913314.637941__1.637941	74426__group_4851
ERR1913314.638020__1.638020	301302__A0A173S436__M72_16191
ERR1913314.638036__1.638036	28117__B0MT73__ALIPUT_00412
ERR1913314.638130__1.638130	187327__G4Q909__Acin_0465
ERR1913314.638145__1.638145	40518__R5DXW3__DXD86_07900
ERR1913314.638158__1.638158	471189__GCA_003340385.1_00138
ERR1913314.638229__1.638229	820__A0A174TRB5__DXD40_11305
ERR1913314.638398__1.638398	40518__R5DXI4__DXD86_07420
ERR1913314.638399__1.638399	39491__A0A395ZG74__licR
ERR1913314.638412__1.638412	187327__G4Q720__ACDG_00890
ERR1913314.638433__1.638433	74426__rpoB
ERR1913314.638549__1.638549	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913314.638760__1.638760	39491__R6UMS6__DXD13_07035
ERR1913314.638779__1.638779	187327__G4Q682__Acin_1672
ERR1913314.638821__1.638821	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913314.638887__1.638887	823__A0A355XLS2__ERS852380_02644
ERR1913314.639008__1.639008	28117__B0MXU0__BHV66_07550
ERR1913314.639009__1.639009	821__C6Z451__BHV80_04265
ERR1913314.639050__1.639050	821__E5UMZ6__BVU_1450
ERR1913314.639202__1.639202	1796613__A0A1C7H6N8__ADH74_01350
ERR1913314.639228__1.639228	1262743__R5C054__BN727_01980
ERR1913314.639341__1.639341	820__A0A396EUV1__B5G17_06465
ERR1913314.639485__1.639485	28116__A0A173ZQ83__BACOV975_02136
ERR1913314.639584__1.639584	187327__G4Q2R6__Acin_2204
ERR1913314.639852__1.639852	820__A7V8C2__ERS852554_01338
ERR1913314.639954__1.639954	820__A0A174F696__macB_13
ERR1913314.640011__1.640011	820__A0A3E4WA06__ERS852554_03404
ERR1913314.640052__1.640052	820__A0A139K4W1__M093_0353
ERR1913314.640110__1.640110	1150298__A0A174HYM9__ERS852406_01664
ERR1913314.640185__1.640185	1680__A0A0C2VBJ4__birA
ERR1913314.640269__1.640269	47678__A5ZG68__ERS852494_02968
ERR1913314.640386__1.640386	820__A0A3E4VZY4__ERS852554_01211
ERR1913314.640396__1.640396	820__A0A139KH21__DXC80_01780
ERR1913314.640447__1.640447	1150298__A0A174FT27__ERS852535_01803
ERR1913314.640550__1.640550	487174__K0X068__DDY40_07105
ERR1913314.640650__1.640650	39488__A0A173RDD7__DXD91_00105
ERR1913314.640666__1.640666	853__A0A173XRA8__CGS56_09290
ERR1913314.640705__1.640705	1776081__A0A1B8WUQ9__A0U42_01755
ERR1913314.640835__1.640835	1550024__G9RX51__TQ39_04720
ERR1913314.640819__1.640819	187327__G4Q7K1__ACDG_00798
ERR1913314.640998__1.640998	39488__A0A173URJ8__misCB
ERR1913314.641111__1.641111	487174__K0X2A4__DDY40_04095
ERR1913314.641173__1.641173	820__A0A3E4RU03__M093_0563
ERR1913314.641191__1.641191	28117__B0MZ50__ALIPUT_02424
ERR1913314.641229__1.641229	39488__A0A173TCD3__lytR_1
ERR1913314.641284__1.641284	1680__A0A0B5BHY4__DXD63_03525
ERR1913314.641290__1.641290	821__A0A0P0M2J4__DXD46_10295
ERR1913314.641369__1.641369	371601__A0A1H3XPY7__CW1_0993
ERR1913314.641389__1.641389	28026__A0A174A3C3__BBPC_1103
ERR1913314.641480__1.641480	820__A0A078S4C2__ERS417307_00828
ERR1913314.641487__1.641487	820__A0A3E4GE89__DXB48_02565
ERR1913314.641534__1.641534	820__A0A3E4WA06__ERS852554_03404
ERR1913314.641721__1.641721	39490__U2PCP5__HMPREF0373_03001
ERR1913314.641674__1.641674	1550024__G9RXY7__TQ39_00100
ERR1913314.641800__1.641800	1262869__R7CRY6__BN625_00452
ERR1913314.641974__1.641974	39491__A0A173SH34__EUR_24920
ERR1913314.642157__1.642157	820__A0A374MXK3__HMPREF1072_00166
ERR1913314.642176__1.642176	821__A0A396F598__CUU_3259
ERR1913314.642381__1.642381	1263109__GCA_000438135.1_01668
ERR1913314.642398__1.642398	818__A0A3E5H650__C799_01514
ERR1913314.642431__1.642431	74426__rpoC
ERR1913314.642517__1.642517	28117__B0MXJ1__BHV66_08445
ERR1913314.642521__1.642521	820__A0A396CMY7__HMPREF1072_03009
ERR1913314.642536__1.642536	40518__R5DT16__ysdC_2
ERR1913314.642559__1.642559	820__A0A174M9V5__M093_0237
ERR1913314.642591__1.642591	357276__A0A0K2HDP3__IY41_00705
ERR1913314.642602__1.642602	820__A0A139JRS5__HMPREF1073_04025
ERR1913314.642612__1.642612	33038__A7B6V0__CDL25_07145
ERR1913314.642658__1.642658	820__A0A174M9V5__M093_0237
ERR1913314.642719__1.642719	1263107__GCA_000436995.1_00015
ERR1913314.642789__1.642789	820__A0A3E4VZS7__DXC07_14435
ERR1913314.642802__1.642802	357276__B6W1J2__BACDOR_03380
ERR1913314.642804__1.642804	1150298__A0A173ZI89__ERS852498_03535
ERR1913314.643173__1.643173	47678__A5ZJ80__BACCAC_02965
ERR1913314.643236__1.643236	39488__R6GBC5__DXD91_06450
ERR1913314.643321__1.643321	292800__A0A174IVH2__zraR_1
ERR1913314.643376__1.643376	187327__G4Q2R6__Acin_2204
ERR1913314.643392__1.643392	328814__GCA_004558275.1_01846
ERR1913314.643396__1.643396	1262954__R7F8M1__BN611_00969
ERR1913314.643409__1.643409	74426__purL
ERR1913314.643421__1.643421	28116__A0A1Y4PUF2__BACOV975_03357
ERR1913314.643486__1.643486	1680__A0A076JNH5__DXC60_03835
ERR1913314.643539__1.643539	74426__purL
ERR1913314.643554__1.643554	1150298__A0A174BC67__ERS852498_00837
ERR1913314.643592__1.643592	28117__B0MXW9__ALIPUT_01981
ERR1913314.643688__1.643688	823__A0A355XF06__B5F32_11480
ERR1913314.643647__1.643647	47678__R5UT79__ERS852558_03890
ERR1913314.643805__1.643805	1099853__U5CF70__NSB1T_12730
ERR1913314.644063__1.644063	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913314.644306__1.644306	820__A0A174CK74__DXB48_07060
ERR1913314.644326__1.644326	818__A0A0P0FWH4__Btheta7330_05099
ERR1913314.644436__1.644436	28116__F7L4N5__BACOVA_00137
ERR1913314.644560__1.644560	1099853__R7DMW0__NSB1T_11540
ERR1913314.644604__1.644604	214856__A0A174EJT5__mnmA
ERR1913314.644678__1.644678	246787__A0A0P0GPH1__HMPREF1062_01913
ERR1913314.644697__1.644697	820__A0A174A6K0__M093_0079
ERR1913314.645005__1.645005	820__A7VAR9__ERS852421_00197
ERR1913314.645021__1.645021	28116__A0A3D2LWY1__ERS852555_01619
ERR1913314.645073__1.645073	820__A0A3E4IGA7__DXD40_07110
ERR1913314.645135__1.645135	214856__A0A174EQR4__rsmA
ERR1913314.645139__1.645139	820__A0A1Y3V743__M093_0235
ERR1913314.645116__1.645116	820__A0A3E4FWC8__DXC91_14635
ERR1913314.645130__1.645130	471189__GCA_003340385.1_00161
ERR1913314.645247__1.645247	820__R7E9Z4__DXC68_06065
ERR1913314.645260__1.645260	46506__A0A108TCU0__etk
ERR1913314.645289__1.645289	28117__B0MXQ6__ALIPUT_01917
ERR1913314.645359__1.645359	46506__R6AEZ1__BACSTE_01801
ERR1913314.645665__1.645665	820__A0A3E4W6P0__gmhA
ERR1913314.645713__1.645713	1796613__A0A1C7H6N8__ADH74_01350
ERR1913314.645808__1.645808	28117__B0MUL5__ALIPUT_00722
ERR1913314.645901__1.645901	458033__GCA_001482755.1_02203
ERR1913314.645960__1.645960	818__Q8A0R7__ERS852461_00039
ERR1913314.645978__1.645978	820__A0A396EUV1__B5G17_06465
ERR1913314.645994__1.645994	28118__A0A3D4ZFP4__DHW44_00270
ERR1913314.646015__1.646015	187327__G4Q3J1__ACDG_01977
ERR1913314.646022__1.646022	821__A0A0P0LFP6__C5Z04_13890
ERR1913314.646026__1.646026	28117__R7JPX7__BHV66_00900
ERR1913314.646044__1.646044	487174__K0XH97__HMPREF9448_01909
ERR1913314.646048__1.646048	40518__R5DZB1__DXD83_08840
ERR1913314.646089__1.646089	820__A0A3E4VZY4__ERS852554_01211
ERR1913314.646220__1.646220	46506__R6AC22__HMPREF1181_00516
ERR1913314.646234__1.646234	40518__R5E426__DXD93_04485
ERR1913314.646275__1.646275	28116__A0A1G6G5G9__SAMN05192581_101892
ERR1913314.646402__1.646402	1160721__A0A1C6DCM8__RBI_I01997
ERR1913314.646577__1.646577	820__A7V470__HMPREF1072_02076
ERR1913314.646585__1.646585	821__A0A174MBW9__SAMN04487923_10272
ERR1913314.646850__1.646850	1262743__R5C054__BN727_01980
ERR1913314.646938__1.646938	820__A0A3E4W084__BACUNI_04042
ERR1913314.646983__1.646983	820__A0A3E4W4Y7__B5G17_02055
ERR1913314.647011__1.647011	28116__E5CCI1__HMPREF1070_04782
ERR1913314.647039__1.647039	357276__A0A0K2HDP3__IY41_00705
ERR1913314.647041__1.647041	556259__E5CDQ6__BSGG_3921
ERR1913314.647059__1.647059	246787__A0A0P0GDM7__BcellWH2_03148
