ERR1913021.161__1.161	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913021.4305864__1.4305864	853__A0A173T8T3__DW882_06555
ERR1913021.4306149__1.4306149	1263000__R5EH44__BN466_01492
ERR1913021.4306353__1.4306353	821__D4VC51__M099_1508
ERR1913021.4306391__1.4306391	2173__A0A1D2WS51__METSMIALI_00230
ERR1913021.4306437__1.4306437	246787__A0A0P0GS73__HMPREF1062_06327
ERR1913021.4306604__1.4306604	357276__I9QBT7__BSEG_03340
ERR1913021.4306688__1.4306688	291644__I8YWL3__HMPREF1532_01571
ERR1913021.4306773__1.4306773	28118__F9Z6F1__DER54_08365
ERR1913021.4306845__1.4306845	820__R9HP61__DXC91_01090
ERR1913021.4306964__1.4306964	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913021.4307121__1.4307121	1897011__A0A1Q6RE78__BHW41_04770
ERR1913021.4307418__1.4307418	821__A0A0P0M405__DXC02_15075
ERR1913021.4307522__1.4307522	454155__F3QU38__HMPREF9442_01709
ERR1913021.4307635__1.4307635	28118__F9Z3J9__B5F93_07500
ERR1913021.4307736__1.4307736	357276__A0A1Y3Z6X3__GV66_07715
ERR1913021.4307902__1.4307902	544645__A0A3E4T9T0__DXC42_08535
ERR1913021.4308216__1.4308216	39492__D4JT68__spoIIIE
ERR1913021.4308339__1.4308339	823__D0TCC2__HMPREF1075_01590
ERR1913021.4308500__1.4308500	357276__I8WC65__EL88_00520
ERR1913021.4308781__1.4308781	2293125__A0A374C3L4__DW917_09100
ERR1913021.4308813__1.4308813	1262889__R7HAY6__BN634_02225
ERR1913021.4308835__1.4308835	1262935__R5GTJ9__BN773_01876
ERR1913021.4308918__1.4308918	823__A6LB63__M095_1847
ERR1913021.4308922__1.4308922	1262935__R5GGB1__BN773_00342
ERR1913021.4309052__1.4309052	246787__A0A3D6AZ54__BcellWH2_03646
ERR1913021.4309077__1.4309077	246787__A0A0P0GS73__HMPREF1062_06327
ERR1913021.4309255__1.4309255	821__C6ZAA5__ERS852556_00403
ERR1913021.4309308__1.4309308	39488__A0A173SMQ7__EUBHAL_00819
ERR1913021.4309378__1.4309378	357276__A0A0M1W6X7__HMPREF1065_03898
ERR1913021.4309505__1.4309505	204516__U6RFU0__HMPREF1534_02545
ERR1913021.4309626__1.4309626	39491__A0A395UYA6__EUBREC_0408
ERR1913021.4309698__1.4309698	1262888__R6P8R6__BN582_00498
ERR1913021.4309772__1.4309772	820__A0A139K2N9__DXB62_12420
ERR1913021.4309815__1.4309815	820__R9I324__HMPREF2141_02414
ERR1913021.4310137__1.4310137	2293125__A0A374BSW4__DW917_13420
ERR1913021.4310177__1.4310177	46506__A0A3E4TL81__HMPREF1181_01022
ERR1913021.4310208__1.4310208	371601__D0TKK0__HMPREF1074_02427
ERR1913021.4310363__1.4310363	28118__F9ZCN2__DF785_09230
ERR1913021.4310974__1.4310974	418240__A0A173Y587__ERS852523_00316
ERR1913021.4311023__1.4311023	823__A0A174DZM1__DDY96_10310
ERR1913021.4311112__1.4311112	28116__C3QXZ9__DXA80_15295
ERR1913021.4311242__1.4311242	28117__B0MTD2__ALIPUT_00428
ERR1913021.4311280__1.4311280	39491__A0A396FPV7__ERS852580_01177
ERR1913021.4311320__1.4311320	357276__C3R5A0__B5F00_02960
ERR1913021.4311465__1.4311465	1262935__R5GTR5__BN773_00263
ERR1913021.4311531__1.4311531	821__A0A3E4HP25__SAMN04487923_102450
ERR1913021.4312020__1.4312020	357276__A0A0M1W657__HMPREF1064_04629
ERR1913021.4312157__1.4312157	28111__E5WVR8__NCTC11155_02792
ERR1913021.4312238__1.4312238	1262736__R5Y591__BN496_01853
ERR1913021.4312397__1.4312397	28116__A0A078Q626__HMPREF1070_02735
ERR1913021.4312681__1.4312681	246787__A0A3D6AZX0__BACCELL_00122
ERR1913021.4312692__1.4312692	1263006__R6MLA8__BN515_00853
ERR1913021.4312719__1.4312719	39492__D4JV86__spoIIE
ERR1913021.4312720__1.4312720	1262825__R5E298__BN724_00847
ERR1913021.4312802__1.4312802	1262889__R7H9H9__BN634_02436
ERR1913021.4313030__1.4313030	1262935__R5GFW3__BN773_00404
ERR1913021.4313205__1.4313205	821__E5UY21__C800_02204
ERR1913021.4313537__1.4313537	47678__R5U8Y1__BACCAC_02615
ERR1913021.4313594__1.4313594	328814__GCA_004558275.1_00056
ERR1913021.4313654__1.4313654	454155__F3QRD9__HMPREF9442_00740
ERR1913021.4313656__1.4313656	1262888__R6P7H6__BN582_00267
ERR1913021.4313897__1.4313897	33039__A0A3D0EY88__ERS852390_03120
ERR1913021.4314111__1.4314111	1262935__R5GGB1__BN773_00342
ERR1913021.4314326__1.4314326	821__A0A395UNT8__DXD64_15275
ERR1913021.4314465__1.4314465	1262889__R7HB16__BN634_02255
ERR1913021.4314613__1.4314613	821__A0A174NM17__lacZ_6
ERR1913021.4314865__1.4314865	28118__F9Z4U0__B5F99_17595
ERR1913021.4315222__1.4315222	357276__B6W5Q9__HMPREF1063_03125
ERR1913021.4315275__1.4315275	357276__I9RAC4__BSEG_00561
ERR1913021.4315336__1.4315336	487174__K0WV19__HMPREF9448_01820
ERR1913021.4315950__1.4315950	649756__B0P3X1__DCR88_11540
ERR1913021.4315952__1.4315952	47678__R5UZR6__HMPREF1061_03971
ERR1913021.4316151__1.4316151	1262889__R7HF76__BN634_01321
ERR1913021.4316185__1.4316185	291644__R5J8I9__ERS852428_03546
ERR1913021.4316306__1.4316306	487174__K0XA48__DDY40_03955
ERR1913021.4316428__1.4316428	28111__R5JPF7__BACEGG_02051
ERR1913021.4316504__1.4316504	338188__A0A174ETX3__ERS852397_01955
ERR1913021.4316542__1.4316542	1262911__R6H2J2__BN557_01228
ERR1913021.4316666__1.4316666	1262889__R7HBH6__BN634_02400
ERR1913021.4316700__1.4316700	39488__A0A174KVU1__EUBHAL_00302
ERR1913021.4316719__1.4316719	1897011__A0A1Q6RHB1__BHW41_01830
ERR1913021.4317586__1.4317586	820__R9I3N4__M093_0061
ERR1913021.4318157__1.4318157	39492__D4JQX3__EUBSIR_01310
ERR1913021.4318367__1.4318367	384638__B7AVU0__BACPEC_02840
ERR1913021.4318546__1.4318546	46228__V8BM45__DXD17_14355
ERR1913021.4318560__1.4318560	821__R9HFW2__DXD01_00365
ERR1913021.4318864__1.4318864	454155__F3QTH4__HMPREF9442_01492
ERR1913021.4318911__1.4318911	39488__A0A173U4P2__ERS852578_02139
ERR1913021.4318926__1.4318926	165179__A0A3E5AER8__DXB80_07075
ERR1913021.4318992__1.4318992	674529__R6V9C9__DXB21_16435
ERR1913021.4318993__1.4318993	674529__R6V9C9__DXB21_16435
ERR1913021.4319023__1.4319023	823__D0TAX5__HMPREF1075_01064
ERR1913021.4319108__1.4319108	1263000__R5ER71__BN466_00316
ERR1913021.4319145__1.4319145	544644__GCA_001915615.1_02255
ERR1913021.4319155__1.4319155	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913021.4319228__1.4319228	821__A0A0P0L8F8__ERS852509_03705
ERR1913021.4319233__1.4319233	706562__GCA_900112995.1_01419
ERR1913021.4319538__1.4319538	823__A0A355XKQ8__DHP27_04010
ERR1913021.4319658__1.4319658	291644__I8Y011__HMPREF1071_04228
ERR1913021.4320054__1.4320054	821__A0A173WG51__BVU_2549
ERR1913021.4320229__1.4320229	39491__A0A395V1T9__DXD13_03310
ERR1913021.4320324__1.4320324	357276__C3RA36__HMPREF1065_03270
ERR1913021.4320361__1.4320361	1263006__R6LN22__BN515_01469
ERR1913021.4320446__1.4320446	820__R9I3Q7__HMPREF1072_01668
ERR1913021.4320423__1.4320423	165179__A0A229I6N7__DXC61_06720
ERR1913021.4320565__1.4320565	1262935__R5GG83__BN773_00512
ERR1913021.4320655__1.4320655	821__E5UY21__C800_02204
ERR1913021.4320768__1.4320768	46228__V8BSF5__RUMLAC_01949
ERR1913021.4320803__1.4320803	357276__B6W5Q9__HMPREF1063_03125
ERR1913021.4320890__1.4320890	454154__G5ST56__HMPREF9441_02556
ERR1913021.4321073__1.4321073	821__A0A0P0LQT3__DXC03_05050
ERR1913021.4321114__1.4321114	46228__V8C9H7__RUMLAC_01008
ERR1913021.4321242__1.4321242	853__D4JY61__C4N21_10560
ERR1913021.4321288__1.4321288	165179__A0A229I7F5__DXB80_02650
ERR1913021.4321299__1.4321299	552398__F4XCQ4__HMPREF0866_01621
ERR1913021.4321439__1.4321439	357276__A0A0M1W4C0__DXD47_07095
ERR1913021.4321479__1.4321479	357276__A0A076IS46__BACDOR_03265
ERR1913021.4321524__1.4321524	46228__V8C6B2__DXD17_09805
ERR1913021.4321627__1.4321627	204516__U6R8I1__HMPREF1534_03341
ERR1913021.4322229__1.4322229	204516__U6RFV1__HMPREF1534_02560
ERR1913021.4322336__1.4322336	1318__A0A3E4UAW2__HMPREF1195_01306
ERR1913021.4322438__1.4322438	28111__E5WUE9__NCTC11155_01729
ERR1913021.4322470__1.4322470	46228__B5CPX5__RUMLAC_01520
ERR1913021.4322700__1.4322700	2293125__A0A374CJZ2__DW917_00735
ERR1913021.4322909__1.4322909	1262889__R7HFT7__BN634_01537
ERR1913021.4322919__1.4322919	357276__A0A0K2HKT7__B5F95_21090
ERR1913021.4322929__1.4322929	357276__B6W1Y1__BSEG_03960
ERR1913021.4323194__1.4323194	1262958__R7GR59__BN645_00956
ERR1913021.4323314__1.4323314	357276__I9FRW5__B5F95_21685
ERR1913021.4323455__1.4323455	821__R9HFW2__DXD01_00365
ERR1913021.4323665__1.4323665	1262935__R5GGV4__BN773_00937
ERR1913021.4323673__1.4323673	936548__J1LM10__HMPREF1136_0288
ERR1913021.4323713__1.4323713	1501391__GCA_000786575.1_00040
ERR1913021.4323889__1.4323889	821__A0A174WBC9__ERS852556_03145
ERR1913021.4324001__1.4324001	357276__I9F327__DXD47_22495
ERR1913021.4324041__1.4324041	165179__A0A3E5EA43__DXC61_07775
ERR1913021.4324252__1.4324252	40518__R5E2F3__artQ
ERR1913021.4324705__1.4324705	33039__D4M4L0__ERS852577_02891
ERR1913021.4324670__1.4324670	1262825__R5EN22__BN724_00572
ERR1913021.4324864__1.4324864	1262886__R6REZ5__BN563_01087
ERR1913021.4325507__1.4325507	821__I9R3W6__DXC16_12455
ERR1913021.4325545__1.4325545	1262935__R5GLD8__BN773_00587
ERR1913021.4325731__1.4325731	823__D7IT19__DHP27_03495
ERR1913021.4325947__1.4325947	47678__R5UU99__C5Z00_11925
ERR1913021.4325967__1.4325967	357276__A0A076IYE6__IY41_04275
ERR1913021.4325980__1.4325980	626930__F3PVE3__HMPREF9446_02721
ERR1913021.4326016__1.4326016	47678__R5UU99__C5Z00_11925
ERR1913021.4326054__1.4326054	823__A6LB62__B5F32_04550
ERR1913021.4326270__1.4326270	1262889__R7H7F9__BN634_02079
ERR1913021.4326310__1.4326310	291644__R5IZM2__HMPREF1071_04522
ERR1913021.4326566__1.4326566	487174__K0WT60__DDY40_05170
ERR1913021.4327164__1.4327164	28118__F9ZAK9__DF785_10030
ERR1913021.4327207__1.4327207	821__A0A3E4HP25__SAMN04487923_102450
ERR1913021.4327514__1.4327514	291644__I8YWR0__HMPREF1071_01375
ERR1913021.4327835__1.4327835	1262935__R5GCM2__BN773_01053
ERR1913021.4328425__1.4328425	821__A0A395VIK7__BVU_1225
ERR1913021.4328682__1.4328682	1262886__R6QIL5__BN563_00897
ERR1913021.4328712__1.4328712	357276__A0A076IS73__GV66_00410
ERR1913021.4328853__1.4328853	1262935__R5GUE2__BN773_00325
ERR1913021.4329062__1.4329062	1547597__A0A0C3NA23__BA92_13615
ERR1913021.4329038__1.4329038	357276__I8VQA2__HMPREF1065_04183
ERR1913021.4329267__1.4329267	820__A0A139K4W1__M093_0353
ERR1913021.4329767__1.4329767	28111__R5JUK8__NCTC11155_02515
ERR1913021.4329765__1.4329765	487174__K0XG34__HMPREF9448_02234
ERR1913021.4329846__1.4329846	357276__A0A076IS73__GV66_00410
ERR1913021.4329927__1.4329927	357276__B6W5Q9__HMPREF1063_03125
ERR1913021.4329966__1.4329966	39486__B0G4D8__DXB12_07700
ERR1913021.4330003__1.4330003	28111__E5WZR2__HMPREF1016_02168
ERR1913021.4330060__1.4330060	39496__A5Z5I2__EUBVEN_00963
ERR1913021.4330206__1.4330206	1318__E8K6L0__NCTC12854_01784
ERR1913021.4330251__1.4330251	28116__D4WLZ3__C5Z02_24105
ERR1913021.4330425__1.4330425	46228__V8BMA2__DXD17_11785
ERR1913021.4330432__1.4330432	1262889__R7HFT7__BN634_01537
ERR1913021.4330746__1.4330746	1262888__R6QAI6__BN582_01964
ERR1913021.4330707__1.4330707	28116__A0A1Y4Q112__evgS_13
ERR1913021.4331127__1.4331127	2293125__A0A374C5Y6__DW917_09105
ERR1913021.4331262__1.4331262	487174__R5G1E8__DIT83_00510
ERR1913021.4331270__1.4331270	1160721__W0U5Q5__RBI_I01425
ERR1913021.4331282__1.4331282	823__A0A174W1A8__panE
ERR1913021.4331286__1.4331286	28111__R5JUE8__HMPREF1016_02680
ERR1913021.4331790__1.4331790	357276__A0A0M1VXQ9__BSEG_00942
ERR1913021.4331913__1.4331913	357276__A0A0K2HDP3__IY41_00705
ERR1913021.4332085__1.4332085	820__A0A173YYG4__evgS_3
ERR1913021.4332251__1.4332251	1263044__GCA_000433375.1_03427
ERR1913021.4332254__1.4332254	28117__B0MZ50__ALIPUT_02424
ERR1913021.4332565__1.4332565	745368__A0A1T4Y189__SAMN02745178_02637
ERR1913021.4332569__1.4332569	1262935__R5GSC2__BN773_01435
ERR1913021.4332907__1.4332907	1262888__R6P9W9__BN582_01193
ERR1913021.4332938__1.4332938	357276__A0A076IN21__BSEG_03078
ERR1913021.4333046__1.4333046	1262886__R6QHT9__BN563_00630
ERR1913021.4333086__1.4333086	487174__K0X2W8__HMPREF9448_02611
ERR1913021.4333297__1.4333297	165179__A0A3E5AER8__DXB80_07075
ERR1913021.4333373__1.4333373	1703337__A0A2U0U7Q7__C7379_11089
ERR1913021.4333510__1.4333510	39492__D4JQM9__EUBSIR_00669
ERR1913021.4333576__1.4333576	204516__U6R9E7__HMPREF1534_03313
ERR1913021.4333941__1.4333941	239935__A0A2N8HUU6__CXT90_06150
ERR1913021.4334188__1.4334188	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913021.4334481__1.4334481	357276__A0A076II57__GV66_07710
ERR1913021.4334859__1.4334859	1262886__R6Q824__BN563_00941
ERR1913021.4334886__1.4334886	28111__R5K5Y3__BACEGG_03205
ERR1913021.4334964__1.4334964	214856__I3YPQ3__Alfi_2711
ERR1913021.4334980__1.4334980	1262935__R5GH23__BN773_00804
ERR1913021.4335180__1.4335180	487174__K0XMA0__HMPREF9448_01432
ERR1913021.4335238__1.4335238	1262935__R5GGB1__BN773_00342
ERR1913021.4335204__1.4335204	46503__R6WQ76__HMPREF1078_02467
ERR1913021.4335286__1.4335286	357276__A0A0M1W9N4__GV66_05135
ERR1913021.4335346__1.4335346	1262935__R5GDB4__BN773_01091
ERR1913021.4335349__1.4335349	1263000__R5EKG2__BN466_02040
ERR1913021.4335399__1.4335399	1262935__R5GG37__BN773_00249
ERR1913021.4335594__1.4335594	1262743__R5C054__BN727_01980
ERR1913021.4335610__1.4335610	1262889__R7H9H9__BN634_02436
ERR1913021.4335565__1.4335565	28117__B0MTH2__ALIPUT_00061
ERR1913021.4335698__1.4335698	1262889__R7H889__BN634_02048
ERR1913021.4336034__1.4336034	487174__K0X524__DDY40_09270
ERR1913021.4336112__1.4336112	1160721__W0U3P8__RBI_I00386
ERR1913021.4336322__1.4336322	371601__D6D2M1__CW1_3199
ERR1913021.4336336__1.4336336	40518__R5DNY7__RBATCC27255_00367
ERR1913021.4336381__1.4336381	821__A0A396EVC9__DXB90_03525
ERR1913021.4336432__1.4336432	46503__K5ZM81__DCY29_16460
ERR1913021.4336477__1.4336477	821__A0A3E4XY72__NCTC10583_01067
ERR1913021.4336572__1.4336572	46228__V8CAY6__HMPREF1202_00567
ERR1913021.4336667__1.4336667	487173__H1CXZ3__HMPREF9453_00231
ERR1913021.4336686__1.4336686	371601__A0A174FWT4__SAMN04487924_11134
ERR1913021.4336745__1.4336745	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913021.4337011__1.4337011	823__A6LHU5__M092_0203
ERR1913021.4337188__1.4337188	357276__I8WEY2__ABI39_04185
ERR1913021.4337352__1.4337352	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913021.4337375__1.4337375	357276__A0A076J0Y3__IY41_06810
ERR1913021.4337424__1.4337424	357276__I9R201__B5F00_01910
ERR1913021.4337365__1.4337365	1262911__R6H2J2__BN557_01228
ERR1913021.4337628__1.4337628	39491__A0A396FFW0__ERE_10580
ERR1913021.4337782__1.4337782	39492__D4JT90__coaE
ERR1913021.4337690__1.4337690	1263006__R6MQA3__BN515_02104
ERR1913021.4337696__1.4337696	47678__R5U9Z0__HMPREF1061_03210
ERR1913021.4337868__1.4337868	410072__A0A174JCL9__tee6
ERR1913021.4337825__1.4337825	357276__I9RAC4__BSEG_00561
ERR1913021.4337956__1.4337956	357276__B6W1J2__BACDOR_03380
ERR1913021.4338055__1.4338055	418240__C6JFK4__ERS852523_01172
ERR1913021.4338070__1.4338070	1262825__R5E704__BN724_01845
ERR1913021.4338134__1.4338134	1262889__R7HGV8__BN634_01881
ERR1913021.4338149__1.4338149	47678__R5U9S9__BACCAC_01855
ERR1913021.4338129__1.4338129	39488__R5G6A7__DXD91_05835
ERR1913021.4338207__1.4338207	40518__R5E4X1__DXD93_05270
ERR1913021.4338269__1.4338269	39492__R6SPM9__pheT
ERR1913021.4338356__1.4338356	1262736__R5YL00__BN496_01879
ERR1913021.4338465__1.4338465	40518__R5DXH2__DXD83_10135
ERR1913021.4338604__1.4338604	487174__K0XA68__DDY40_04135
ERR1913021.4338699__1.4338699	823__A0A078TL61__ERS852429_00610
ERR1913021.4338947__1.4338947	28118__F9Z9Z6__DHW44_15190
ERR1913021.4339032__1.4339032	649756__D4MWV5__coaE
ERR1913021.4339059__1.4339059	1262825__R5E8G6__BN724_00233
ERR1913021.4339063__1.4339063	1262958__R7GXG2__BN645_01400
ERR1913021.4339095__1.4339095	46503__A0A3E4ZQ73__ERS852463_01043
ERR1913021.4339203__1.4339203	1262935__R5GQM6__BN773_00997
ERR1913021.4339292__1.4339292	357276__U6R8F9__DXD47_04035
ERR1913021.4339359__1.4339359	357276__B6W1J2__BACDOR_03380
ERR1913021.4339481__1.4339481	823__A0A078TL61__ERS852429_00610
ERR1913021.4339583__1.4339583	204516__U6RDD8__HMPREF1534_02559
ERR1913021.4339621__1.4339621	1262935__R5GCM2__BN773_01053
ERR1913021.4339657__1.4339657	214856__R6XUN2__rcsC_1
ERR1913021.4339711__1.4339711	357276__A0A076IXE0__HMPREF1064_04364
ERR1913021.4339720__1.4339720	1262777__R5W471__BN512_01274
ERR1913021.4339975__1.4339975	410072__C0B801__mucD
ERR1913021.4340464__1.4340464	357276__A0A076IS26__EL88_15950
ERR1913021.4340827__1.4340827	487175__R5E147__HMPREF9439_02494
ERR1913021.4340838__1.4340838	46228__V8C4T8__RUMLAC_02058
ERR1913021.4340944__1.4340944	1160721__R6T4W2__RBI_I00237
ERR1913021.4340959__1.4340959	821__A6L0C7__ERS852556_03520
ERR1913021.4341011__1.4341011	821__A0A174NM17__lacZ_6
ERR1913021.4341050__1.4341050	371601__F7LA63__HMPREF1074_04288
ERR1913021.4341056__1.4341056	821__D4VC51__M099_1508
ERR1913021.4341184__1.4341184	823__D7IT19__DHP27_03495
ERR1913021.4341204__1.4341204	357276__G5SMD3__BSEG_02959
ERR1913021.4341205__1.4341205	1262889__R7HF25__BN634_01246
ERR1913021.4341303__1.4341303	1262886__R6QH52__BN563_00488
ERR1913021.4341508__1.4341508	1262958__R7H0I4__BN645_01809
ERR1913021.4341715__1.4341715	328814__GCA_004558275.1_00025
ERR1913021.4341736__1.4341736	820__A0A173WZS4__DXD90_10250
ERR1913021.4341902__1.4341902	1262825__R5ED22__BN724_01434
ERR1913021.4341918__1.4341918	39491__A0A395UZ82__EUR_31520
ERR1913021.4342088__1.4342088	204516__U6R7W5__HMPREF1534_03766
ERR1913021.4342159__1.4342159	28111__E5X118__NCTC11155_02425
ERR1913021.4342377__1.4342377	246787__I9QX02__HMPREF1062_01641
ERR1913021.4342484__1.4342484	1262911__R6H1D2__BN557_00855
ERR1913021.4342488__1.4342488	556259__I0PYM3__BSGG_5385
ERR1913021.4342529__1.4342529	1262958__R7H5B7__BN645_00671
ERR1913021.4342649__1.4342649	357276__I9FRW5__B5F95_21685
ERR1913021.4342867__1.4342867	384638__B7APN3__BACPEC_00639
ERR1913021.4342936__1.4342936	487174__K0WZP2__DDY40_04000
ERR1913021.4342977__1.4342977	821__A0A395UNT8__DXD64_15275
ERR1913021.4342953__1.4342953	47678__R5UUB5__ERS852558_00247
ERR1913021.4343198__1.4343198	357276__I9QWD4__DXD47_15075
ERR1913021.4343305__1.4343305	1262889__R7HAQ6__BN634_02130
ERR1913021.4343646__1.4343646	39492__D4JWM0__atpF
ERR1913021.4343713__1.4343713	357276__E5UTL1__HMPREF1065_03551
ERR1913021.4343929__1.4343929	28111__E5WXT0__BACEGG_00796
ERR1913021.4343978__1.4343978	487174__K0X522__DDY40_12660
ERR1913021.4344058__1.4344058	487174__K0WZN5__HMPREF9448_01108
ERR1913021.4344516__1.4344516	1262736__R5Y755__BN496_00651
ERR1913021.4344629__1.4344629	821__D4VC51__M099_1508
ERR1913021.4344610__1.4344610	823__A6LC27__DXB14_11470
ERR1913021.4344662__1.4344662	28111__E5WXQ8__NCTC11155_03183
ERR1913021.4344705__1.4344705	1262911__R6GPB5__BN557_00842
ERR1913021.4344765__1.4344765	671232__A0A0P0N805__CYK09_01850
ERR1913021.4344856__1.4344856	338188__A0A174ETX3__ERS852397_01955
ERR1913021.4344865__1.4344865	357276__A0A076IRX7__HMPREF1064_00526
ERR1913021.4344913__1.4344913	820__A0A3E4W9D9__B5G17_12400
ERR1913021.4344983__1.4344983	28117__B0MY82__BHV66_04755
ERR1913021.4345021__1.4345021	821__A0A0P0LQT3__DXC03_05050
ERR1913021.4345063__1.4345063	1501391__GCA_000786575.1_00025
ERR1913021.4345144__1.4345144	823__E1YSG0__DHP27_00465
ERR1913021.4345283__1.4345283	46228__B5CPY3__DXD17_03535
ERR1913021.4345436__1.4345436	487174__K0WRH0__DDY40_05725
ERR1913021.4345489__1.4345489	821__A0A0P0LFP6__C5Z04_13890
ERR1913021.4345781__1.4345781	47678__A5ZJ80__BACCAC_02965
ERR1913021.4345825__1.4345825	820__A0A173W419__DXC68_17760
ERR1913021.4345866__1.4345866	46228__V8C4T8__RUMLAC_02058
ERR1913021.4345871__1.4345871	357276__A0A0M1W4C0__DXD47_07095
ERR1913021.4345922__1.4345922	357276__A0A174L570__GV66_05720
ERR1913021.4346048__1.4346048	1262886__R6QIL5__BN563_00897
ERR1913021.4346260__1.4346260	821__A0A3E4KIM1__M097_3660
ERR1913021.4346285__1.4346285	40518__R5DZB3__RB5AMG_01719
ERR1913021.4346349__1.4346349	357276__D1JZM4__HMPREF1065_01278
ERR1913021.4346357__1.4346357	291644__I9SIM2__evgS_11
ERR1913021.4346365__1.4346365	40518__R5E6X5__sbcD
ERR1913021.4346482__1.4346482	454155__F3QTG9__HMPREF9442_01487
ERR1913021.4346562__1.4346562	1262889__R7HAQ6__BN634_02130
ERR1913021.4346726__1.4346726	823__A0A355XJT5__ERS852429_03504
ERR1913021.4346736__1.4346736	1262935__R5GTR5__BN773_00263
ERR1913021.4346880__1.4346880	1262825__R5E8R7__BN724_02167
ERR1913021.4346882__1.4346882	39492__D4JR58__EUBSIR_02090
ERR1913021.4347320__1.4347320	39492__D4JQX3__EUBSIR_01310
ERR1913021.4347366__1.4347366	291644__I9HGG9__HMPREF1071_03600
ERR1913021.4347988__1.4347988	1297617__A0A0S2W6X9__C7373_105213
ERR1913021.4347990__1.4347990	165179__A0A3E5E4T9__DXB80_08030
ERR1913021.4348113__1.4348113	28117__B0N028__BHV66_05935
ERR1913021.4348235__1.4348235	204516__U6RFV1__HMPREF1534_02560
ERR1913021.4348280__1.4348280	1501391__GCA_000786575.1_00055
ERR1913021.4348343__1.4348343	357276__A0A0M1W4C0__DXD47_07095
ERR1913021.4348436__1.4348436	487174__K0XA68__DDY40_04135
ERR1913021.4348537__1.4348537	310298__B3JQJ5__BACCOP_04231
ERR1913021.4348641__1.4348641	28117__B0MXG8__ALIPUT_01814
ERR1913021.4348665__1.4348665	204516__U6RFV1__HMPREF1534_02560
ERR1913021.4348735__1.4348735	246787__A0A108T1Y3__fepA_8
ERR1913021.4348896__1.4348896	556259__I0PYM3__BSGG_5385
ERR1913021.4348931__1.4348931	246787__A0A0P0G372__BcellWH2_03657
ERR1913021.4348959__1.4348959	823__A0A355XFH7__ERS852513_00769
ERR1913021.4349120__1.4349120	487174__K0X177__HMPREF9448_00818
ERR1913021.4349181__1.4349181	246787__R6LGB3__BcellWH2_02361
ERR1913021.4349257__1.4349257	1262889__R7HD87__BN634_01680
ERR1913021.4349276__1.4349276	1262958__R7GSC8__BN645_00985
ERR1913021.4349493__1.4349493	1262889__R7HGV8__BN634_01881
ERR1913021.4349761__1.4349761	47678__A5ZH12__DXB67_04890
ERR1913021.4349799__1.4349799	28118__R6FC74__DHW44_13330
ERR1913021.4349801__1.4349801	40518__R5E1J2__DXD93_04070
ERR1913021.4350209__1.4350209	28117__B0MY45__ALIPUT_02164
ERR1913021.4350864__1.4350864	384638__B7ASI3__BACPEC_02038
ERR1913021.4350911__1.4350911	46228__V8BQP5__HMPREF1202_02378
ERR1913021.4350966__1.4350966	818__D7I7V5__BJP75_001030
ERR1913021.4350999__1.4350999	1262935__R5GUT3__BN773_00488
ERR1913021.4351080__1.4351080	454154__G5SVN0__HMPREF9441_03447
ERR1913021.4351178__1.4351178	454155__F3QV78__HMPREF9442_02103
ERR1913021.4351208__1.4351208	28111__R5K222__bglX_7
ERR1913021.4351244__1.4351244	246787__A0A0P0G372__BcellWH2_03657
ERR1913021.4351504__1.4351504	33039__D4M1B1__ERS852577_03971
ERR1913021.4351736__1.4351736	204516__U6RAM4__HMPREF1534_03439
ERR1913021.4351942__1.4351942	821__A0A397WGD6__M098_0084
ERR1913021.4351945__1.4351945	820__A0A139KJ23__celCCA
ERR1913021.4351966__1.4351966	357276__A0A0K2HF54__HMPREF1063_03537
ERR1913021.4352449__1.4352449	39491__A0A395ZG74__licR
ERR1913021.4352533__1.4352533	1262935__R5GEM8__BN773_01536
ERR1913021.4352681__1.4352681	291644__R5JS80__HMPREF1532_00848
ERR1913021.4352684__1.4352684	310298__B3JQJ5__BACCOP_04231
ERR1913021.4352768__1.4352768	1262935__R5GH23__BN773_00804
ERR1913021.4352895__1.4352895	46228__B5CR74__HMPREF1202_02190
ERR1913021.4352970__1.4352970	357276__C3RDQ5__HMPREF1065_03827
ERR1913021.4353035__1.4353035	39492__D4JU67__EUBSIR_00791
ERR1913021.4353298__1.4353298	46228__B5CPT7__HMPREF1202_00616
ERR1913021.4353383__1.4353383	1150298__A0A174SLE6__mlc_1
ERR1913021.4353461__1.4353461	165179__A0A3E5AER8__DXB80_07075
ERR1913021.4353504__1.4353504	823__A0A078TE44__DD466_14830
ERR1913021.4353544__1.4353544	821__A0A395VIK7__BVU_1225
ERR1913021.4353599__1.4353599	454154__G5SPC2__HMPREF9441_01204
ERR1913021.4353785__1.4353785	28118__F9Z8K4__Odosp_0843
ERR1913021.4353797__1.4353797	165179__A0A3E5AER8__DXB80_07075
ERR1913021.4353913__1.4353913	39488__A0A173RXS4__ribF
ERR1913021.4353956__1.4353956	1263109__GCA_000438135.1_00835
