ERR1913062.307__1.307	28118__F9Z6D0__DHW44_12795
ERR1913062.3671107__1.3671107	1262948__R7E6E7__BN671_00098
ERR1913062.3671379__1.3671379	310298__B3JPY4__BACCOP_04016
ERR1913062.3671390__1.3671390	1262930__R5ZWP2__BN693_01542
ERR1913062.3671571__1.3671571	649756__A0A174L4G4__cls_1
ERR1913062.3671794__1.3671794	2293125__A0A374BY09__DW917_11855
ERR1913062.3671809__1.3671809	310298__B3JQJ5__BACCOP_04231
ERR1913062.3671816__1.3671816	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.3672086__1.3672086	820__R9I2U8__DXC68_09590
ERR1913062.3672100__1.3672100	818__Q8A112__BT_3859
ERR1913062.3672168__1.3672168	165179__A0A3E5AHY4__CFT61_07675
ERR1913062.3672208__1.3672208	357276__B6VXX7__HMPREF1063_02683
ERR1913062.3672251__1.3672251	39488__A0A374NGR8__soj_6
ERR1913062.3672364__1.3672364	1262924__R7HPL8__BN585_01826
ERR1913062.3672655__1.3672655	165179__A0A174IPI3__CFT61_10940
ERR1913062.3672753__1.3672753	487174__R5EP60__DIT83_09045
ERR1913062.3672758__1.3672758	165179__R6B8D8__DXC61_09245
ERR1913062.3672761__1.3672761	204516__U6RDD8__HMPREF1534_02559
ERR1913062.3672832__1.3672832	706562__GCA_900112995.1_01437
ERR1913062.3672849__1.3672849	357276__I9FRW5__B5F95_21685
ERR1913062.3672852__1.3672852	823__A6LER2__ERS852513_00365
ERR1913062.3672907__1.3672907	823__A0A355XKQ8__DHP27_04010
ERR1913062.3672959__1.3672959	165179__A0A3E5DN34__DXC61_07865
ERR1913062.3672974__1.3672974	33025__A0A395J947__C8D73_11315
ERR1913062.3673016__1.3673016	2293125__A0A374BY09__DW917_11855
ERR1913062.3673162__1.3673162	821__A0A3E4WAR6__DXD64_10735
ERR1913062.3673168__1.3673168	821__A0A0P0LH09__ERS852457_03390
ERR1913062.3673213__1.3673213	410072__A0A174K186__ERS852481_00847
ERR1913062.3673489__1.3673489	166486__D4KZW9__degS
ERR1913062.3673509__1.3673509	821__A0A3E4WAR6__DXD64_10735
ERR1913062.3673659__1.3673659	310298__B3JQ37__BACCOP_04069
ERR1913062.3673700__1.3673700	544644__GCA_001915615.1_01909
ERR1913062.3673755__1.3673755	1262873__R6W6D9__BN605_02180
ERR1913062.3674170__1.3674170	818__A0A174VDI6__BSIG_1023
ERR1913062.3674249__1.3674249	204516__U6RFV1__HMPREF1534_02560
ERR1913062.3674233__1.3674233	1262930__R6A0L1__BN693_02245
ERR1913062.3674299__1.3674299	820__A7V049__DXB48_04755
ERR1913062.3674350__1.3674350	853__A0A3E2U7E6__ERS852582_01640
ERR1913062.3674377__1.3674377	853__A0A3E2U7E6__ERS852582_01640
ERR1913062.3674573__1.3674573	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.3674710__1.3674710	165179__A0A3E5AER8__DXB80_07075
ERR1913062.3674853__1.3674853	39491__A0A173RJ81__DXB76_01570
ERR1913062.3674955__1.3674955	823__A0A073I5R7__cloSI
ERR1913062.3675024__1.3675024	821__E5UMZ6__BVU_1450
ERR1913062.3675043__1.3675043	418240__C6JAJ8__ERS852478_03436
ERR1913062.3675049__1.3675049	1150298__A0A174MDL5__ERS852406_00648
ERR1913062.3675078__1.3675078	544644__GCA_001915615.1_01910
ERR1913062.3675151__1.3675151	166486__D4KUT4__ERS852572_01421
ERR1913062.3675358__1.3675358	2293125__A0A374CMK5__DW917_00330
ERR1913062.3675411__1.3675411	821__A0A174NSU0__BVU_3144
ERR1913062.3675445__1.3675445	410072__A0A174A5E2__dtpT
ERR1913062.3675478__1.3675478	821__A0A396F1N0__M099_1553
ERR1913062.3675517__1.3675517	1262930__R6A8N0__BN693_02179
ERR1913062.3675740__1.3675740	2293125__A0A374BSW4__DW917_13420
ERR1913062.3675792__1.3675792	853__A0A2A7A4A9__C4N21_14870
ERR1913062.3675900__1.3675900	33039__R6P284__spoIIIE
ERR1913062.3675984__1.3675984	165179__A0A174SA26__PREVCOP_05758
ERR1913062.3676038__1.3676038	165179__A0A229I7F5__DXB80_02650
ERR1913062.3676140__1.3676140	165179__D1PHD6__DXC61_03380
ERR1913062.3676213__1.3676213	46503__R6WQ01__PARMER_03826
ERR1913062.3676736__1.3676736	165179__A0A3E5DN34__DXC61_07865
ERR1913062.3677182__1.3677182	2293125__A0A374CMK5__DW917_00330
ERR1913062.3677214__1.3677214	1262930__R6AX76__BN693_00292
ERR1913062.3677277__1.3677277	357276__A0A076IYG1__B5F95_22465
ERR1913062.3677425__1.3677425	2293125__A0A374BY09__DW917_11855
ERR1913062.3677454__1.3677454	310298__B3JFK4__BACCOP_00654
ERR1913062.3677526__1.3677526	39486__B0G7N0__DXC93_07990
ERR1913062.3677550__1.3677550	1262930__R6AAD1__BN693_01367
ERR1913062.3677584__1.3677584	820__A0A174M9V5__M093_0237
ERR1913062.3677654__1.3677654	165179__D1PGU8__PREVCOP_06463
ERR1913062.3677724__1.3677724	1262930__R5ZWP2__BN693_01542
ERR1913062.3677814__1.3677814	166486__D4L334__mcp3_1
ERR1913062.3678297__1.3678297	357276__C3R9Y0__HMPREF1064_01889
ERR1913062.3678321__1.3678321	39491__A0A395V2P3__DXB69_08700
ERR1913062.3678447__1.3678447	1150298__A0A174TDE7__ERS852535_00299
ERR1913062.3678438__1.3678438	371601__C3R2J2__ERS852396_04353
ERR1913062.3678499__1.3678499	28118__F9Z5M1__NCTC10826_02946
ERR1913062.3678543__1.3678543	357276__A0A0M1W1I8__ABI39_13620
ERR1913062.3678522__1.3678522	1262992__R5D0H1__BN795_01569
ERR1913062.3678598__1.3678598	360807__C0FP30__ROSEINA2194_00482
ERR1913062.3678779__1.3678779	301301__A0A395VDR8__ERS852391_00554
ERR1913062.3679106__1.3679106	821__A0A397WGD6__M098_0084
ERR1913062.3679058__1.3679058	821__A0A395UNT8__DXD64_15275
ERR1913062.3679149__1.3679149	39488__R5G6A7__DXD91_05835
ERR1913062.3679196__1.3679196	1263109__GCA_000438135.1_01590
ERR1913062.3679204__1.3679204	821__A0A173XDD3__DXB82_17180
ERR1913062.3679550__1.3679550	821__A0A395VMG0__DXC44_18080
ERR1913062.3679501__1.3679501	821__A0A173WG51__BVU_2549
ERR1913062.3679747__1.3679747	853__D4KAK8__C4N21_13380
ERR1913062.3679837__1.3679837	310298__B3JNG7__BACCOP_03480
ERR1913062.3679838__1.3679838	821__C6Z451__BHV80_04265
ERR1913062.3679953__1.3679953	310298__B3JPD1__BACCOP_02317
ERR1913062.3680230__1.3680230	821__I9R3W6__DXC16_12455
ERR1913062.3680469__1.3680469	165179__R6B8D8__DXC61_09245
ERR1913062.3680526__1.3680526	1150298__A0A174PHI0__ERS852498_00826
ERR1913062.3680570__1.3680570	823__A0A355XF06__B5F32_11480
ERR1913062.3680596__1.3680596	1150298__R7JT48__gsiA_6
ERR1913062.3680700__1.3680700	821__C6ZAA5__ERS852556_00403
ERR1913062.3680708__1.3680708	165179__D1PGU8__PREVCOP_06463
ERR1913062.3680825__1.3680825	310298__B3JK97__BACCOP_02326
ERR1913062.3680986__1.3680986	166486__D4KUE6__ROSINTL182_08604
ERR1913062.3681141__1.3681141	1965660__A0A1Y3SHL5__B5G34_07185
ERR1913062.3681123__1.3681123	853__A0A174C5M1__CGS58_04460
ERR1913062.3681224__1.3681224	2108523__A0A2P2F214__LAWASA_27
ERR1913062.3681307__1.3681307	74426__sigA
ERR1913062.3681311__1.3681311	84112__F0HQ18__Elen_3101
ERR1913062.3681351__1.3681351	218538__C9LQW2__GCWU000321_01944
ERR1913062.3681558__1.3681558	2293125__A0A374C8A8__DW917_07550
ERR1913062.3681655__1.3681655	33025__A0A395JEW1__C8D73_101668
ERR1913062.3681687__1.3681687	28132__D9RV83__HMPREF0660_00835
ERR1913062.3681731__1.3681731	2293125__A0A374BSW4__DW917_13420
ERR1913062.3681807__1.3681807	357276__A0A076IYG1__B5F95_22465
ERR1913062.3681838__1.3681838	33035__A0A2S4GGV6__C3R19_24005
ERR1913062.3681882__1.3681882	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913062.3681887__1.3681887	1263044__GCA_000433375.1_00346
ERR1913062.3681898__1.3681898	165179__D1PHC0__PREVCOP_06640
ERR1913062.3681927__1.3681927	39491__A0A396FMF1__EUR_28700
ERR1913062.3681933__1.3681933	166486__A0A173T114__ROSINTL182_05085
ERR1913062.3682111__1.3682111	47678__R5U9Z0__HMPREF1061_03210
ERR1913062.3682085__1.3682085	1262930__R6A8Q7__BN693_01064
ERR1913062.3682088__1.3682088	821__D4VD59__BHV80_04260
ERR1913062.3682096__1.3682096	216816__A0A1V8RHV4__DXD44_06445
ERR1913062.3682117__1.3682117	820__R9HXK9__DXB62_08265
ERR1913062.3682198__1.3682198	360807__A0A1Q6T5B1__ERS852444_03147
ERR1913062.3682288__1.3682288	165179__A0A3E5AER8__DXB80_07075
ERR1913062.3682374__1.3682374	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913062.3682495__1.3682495	39488__A0A173URJ8__misCB
ERR1913062.3682773__1.3682773	166486__D4L082__yicI_5
ERR1913062.3682823__1.3682823	820__A0A174Q0F0__DXB48_08080
ERR1913062.3682875__1.3682875	820__A0A174CG08__DXB62_13215
ERR1913062.3683017__1.3683017	410072__A0A174JCL9__tee6
ERR1913062.3683318__1.3683318	1262924__R7HNT3__BN585_00018
ERR1913062.3683291__1.3683291	2293125__A0A374BV30__DW917_13395
ERR1913062.3683301__1.3683301	1262930__R6A1N0__BN693_00917
ERR1913062.3683376__1.3683376	1735__B7CCQ4__EUBIFOR_01982
ERR1913062.3683394__1.3683394	821__A0A174AYT0__DXC02_03530
ERR1913062.3683431__1.3683431	1262930__R6AES4__BN693_02093
ERR1913062.3683471__1.3683471	820__A0A139K9Q2__DXD40_08795
ERR1913062.3683474__1.3683474	165179__A0A174UTZ7__DXC61_06705
ERR1913062.3683477__1.3683477	2293125__A0A374BN09__DW917_16245
ERR1913062.3683530__1.3683530	821__A0A3E4HP25__SAMN04487923_102450
ERR1913062.3683704__1.3683704	820__A7V049__DXB48_04755
ERR1913062.3684013__1.3684013	166486__D4KNM9__ERS852572_00072
ERR1913062.3684179__1.3684179	28118__F9ZCN9__DHW44_07820
ERR1913062.3684301__1.3684301	28116__A7LS02__DXF98_24100
ERR1913062.3684334__1.3684334	821__A0A174V2F3__NCTC10583_01474
ERR1913062.3684345__1.3684345	39486__B0G6T5__DXD50_07965
ERR1913062.3684515__1.3684515	745368__A0A1T4XUU0__SAMN02745178_02347
ERR1913062.3684599__1.3684599	1262930__R6A1N0__BN693_00917
ERR1913062.3684763__1.3684763	820__A0A139K5A6__DXB48_12175
ERR1913062.3684802__1.3684802	310298__B3JFH4__BACCOP_00624
ERR1913062.3684908__1.3684908	310298__B3JK49__BACCOP_02273
ERR1913062.3684961__1.3684961	88431__A0A3D0EYE9__rafA
ERR1913062.3685012__1.3685012	33025__A0A395JBN6__C8D73_10630
ERR1913062.3685086__1.3685086	1262930__R5ZXR2__BN693_01728
ERR1913062.3685218__1.3685218	204516__U6RPN2__HMPREF1534_00368
ERR1913062.3685260__1.3685260	2293125__A0A374C9I8__DW917_06795
ERR1913062.3685522__1.3685522	487174__K0WYC5__HMPREF9448_01493
ERR1913062.3685534__1.3685534	310298__B3JED9__BACCOP_00230
ERR1913062.3685542__1.3685542	310298__B3JED9__BACCOP_00230
ERR1913062.3685582__1.3685582	1263107__GCA_000436995.1_00112
ERR1913062.3685794__1.3685794	360807__C0FNM4__ERS852444_01447
ERR1913062.3685843__1.3685843	360807__C0G083__ROSEINA2194_04432
ERR1913062.3685870__1.3685870	1262948__R7E9D9__BN671_01880
ERR1913062.3685934__1.3685934	39488__A0A174JH77__EUBHAL_03278
ERR1913062.3685946__1.3685946	821__A0A395UNT8__DXD64_15275
ERR1913062.3686151__1.3686151	166486__D4KPQ7__ROSINTL182_09065
ERR1913062.3686134__1.3686134	818__A0A0N7I9M6__Btheta7330_00939
ERR1913062.3686163__1.3686163	310298__B3JQL6__BACCOP_04252
ERR1913062.3686380__1.3686380	2293125__A0A374CCM7__DW917_05375
ERR1913062.3686417__1.3686417	818__A0A0N7I9H8__ERS852461_00040
ERR1913062.3686472__1.3686472	2293125__A0A374BMK9__DW917_16190
ERR1913062.3686587__1.3686587	823__D7IT19__DHP27_03495
ERR1913062.3686608__1.3686608	410072__C0B4V0__ERS852481_02420
ERR1913062.3686703__1.3686703	360807__A0A173WE18__prkC_2
ERR1913062.3686793__1.3686793	165179__D1PGU8__PREVCOP_06463
ERR1913062.3687046__1.3687046	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913062.3687056__1.3687056	360807__A0A0M6WIL3__ERS852444_01365
ERR1913062.3687096__1.3687096	1262930__R5ZVH8__BN693_01324
ERR1913062.3687321__1.3687321	165179__R6XLJ7__CFT61_06250
ERR1913062.3687395__1.3687395	39488__A0A285PQX3__folK
ERR1913062.3687451__1.3687451	820__A0A078STJ8__DXC68_04690
ERR1913062.3687513__1.3687513	328814__GCA_004558275.1_00296
ERR1913062.3687515__1.3687515	1965632__A0A1Y4A628__B5F91_13735
ERR1913062.3687590__1.3687590	371601__D6D747__CW3_0796
ERR1913062.3687675__1.3687675	1262930__R6A1N0__BN693_00917
ERR1913062.3687723__1.3687723	310298__B3JEV6__BACCOP_00400
ERR1913062.3687732__1.3687732	818__A0A3E5HWN5__BSIG_3066
ERR1913062.3687733__1.3687733	818__A0A3E5HWN5__BSIG_3066
ERR1913062.3687937__1.3687937	853__A0A174C5M1__CGS58_04460
ERR1913062.3687989__1.3687989	820__A0A174NUS8__DXC80_12885
ERR1913062.3687959__1.3687959	371601__D6D2Q4__HMPREF1074_00826
ERR1913062.3688087__1.3688087	2293125__A0A374CMK5__DW917_00330
ERR1913062.3688128__1.3688128	28118__F9ZAS2__B5F93_06130
ERR1913062.3688137__1.3688137	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913062.3688298__1.3688298	1262924__R7HSH9__BN585_00133
ERR1913062.3688406__1.3688406	204516__U6RFV1__HMPREF1534_02560
ERR1913062.3688656__1.3688656	1262930__R6A6B2__BN693_00668
ERR1913062.3688738__1.3688738	165179__A0A229I3Z6__PREVCOP_03666
ERR1913062.3688790__1.3688790	1776392__A0A1Y4SVU1__B5E75_08195
ERR1913062.3688845__1.3688845	487174__K0X3A6__HMPREF9448_02725
ERR1913062.3688879__1.3688879	853__A0A173T751__C4N24_10280
ERR1913062.3688978__1.3688978	46503__R6X0L4__DXB61_05325
ERR1913062.3689123__1.3689123	33025__A0A395JB30__C8D73_1034
ERR1913062.3689155__1.3689155	1262924__R7HRW9__BN585_00665
ERR1913062.3689254__1.3689254	1262992__R5D6G0__BN795_00277
ERR1913062.3689450__1.3689450	1262930__R6A1N0__BN693_00917
ERR1913062.3689519__1.3689519	357276__I9FRW5__B5F95_21685
ERR1913062.3689526__1.3689526	166486__D4KZP0__ERS852572_00486
ERR1913062.3689678__1.3689678	74426__nifJ
ERR1913062.3689765__1.3689765	338188__A0A174ETX3__ERS852397_01955
ERR1913062.3689796__1.3689796	2293125__A0A374CBD1__DW917_06995
ERR1913062.3689827__1.3689827	310298__B3JQJ5__BACCOP_04231
ERR1913062.3689828__1.3689828	310298__B3JFS5__BACCOP_00726
ERR1913062.3689821__1.3689821	28116__A0A3D2LPA1__CUY_3388
ERR1913062.3690092__1.3690092	310298__B3JK99__BACCOP_02328
ERR1913062.3690294__1.3690294	2293125__A0A374BSW4__DW917_13420
ERR1913062.3690353__1.3690353	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913062.3690381__1.3690381	310298__B3JQJ5__BACCOP_04231
ERR1913062.3690416__1.3690416	165179__A0A3E5DV57__DXB80_11400
ERR1913062.3690424__1.3690424	821__I9R3W6__DXC16_12455
ERR1913062.3690456__1.3690456	487174__K0X665__DIT83_12000
ERR1913062.3690629__1.3690629	818__A0A174WSX6__Btheta7330_01915
ERR1913062.3690756__1.3690756	39486__R6RY39__DXD82_07230
ERR1913062.3690839__1.3690839	544644__GCA_001915615.1_00038
ERR1913062.3690906__1.3690906	2293125__A0A374CMK5__DW917_00330
ERR1913062.3690971__1.3690971	1308__A0A2S4DZ34__DID82_04655
ERR1913062.3691015__1.3691015	46503__B7B776__DXB85_00355
ERR1913062.3691285__1.3691285	1150298__A0A174E950__ERS852498_02096
ERR1913062.3691360__1.3691360	1535__A7VPW7__CH238_14340
ERR1913062.3691383__1.3691383	360807__C0FY61__ERS852444_00016
ERR1913062.3691389__1.3691389	1261__D3MR67__SAMN05660467_01650
ERR1913062.3691435__1.3691435	357276__A0A076J9V8__BACDOR_01395
ERR1913062.3691441__1.3691441	39488__A0A173U8N3__yhbU_1
ERR1913062.3691423__1.3691423	165179__D1PHC0__PREVCOP_06640
ERR1913062.3691556__1.3691556	1262924__R7HRF6__BN585_01735
ERR1913062.3691807__1.3691807	671267__R9IEN1__C802_02405
ERR1913062.3691847__1.3691847	166486__D4L1H3__sacC
ERR1913062.3691871__1.3691871	487174__K0X347__DIT83_07775
ERR1913062.3691880__1.3691880	823__A0A395YRX4__ERS852513_03444
ERR1913062.3692105__1.3692105	821__A0A396F9T7__M097_3427
ERR1913062.3692369__1.3692369	818__A0A1H7TGM1__BJP75_010615
ERR1913062.3692390__1.3692390	1262930__R6AY75__BN693_00384
ERR1913062.3692444__1.3692444	820__A0A174A6K0__M093_0079
ERR1913062.3692450__1.3692450	166486__A0A173T114__ROSINTL182_05085
ERR1913062.3692521__1.3692521	1262924__R7HQD9__BN585_00129
ERR1913062.3692566__1.3692566	166486__D4L301__ROSINTL182_06234
ERR1913062.3692610__1.3692610	820__A0A078S4C2__ERS417307_00828
ERR1913062.3692693__1.3692693	1262930__R5ZXL8__BN693_01321
ERR1913062.3693026__1.3693026	28116__A0A1Y4Q1S9__DHW41_02535
ERR1913062.3693179__1.3693179	487174__K0WXI9__HMPREF9448_02340
ERR1913062.3693220__1.3693220	823__A0A395YQ63__B5F32_15335
ERR1913062.3693339__1.3693339	418240__C6JGW8__ERS852523_02296
ERR1913062.3693363__1.3693363	166486__D4KWM9__ROSINTL182_06036
ERR1913062.3693673__1.3693673	292800__A0A174UC23__ERS852544_02659
ERR1913062.3693756__1.3693756	165179__R6B8D8__DXC61_09245
ERR1913062.3693778__1.3693778	160404__A0A1M6WV05__SAMN02745138_02665
ERR1913062.3693842__1.3693842	1262992__R5D3X7__BN795_00539
ERR1913062.3693925__1.3693925	310298__B3JFK4__BACCOP_00654
ERR1913062.3694016__1.3694016	820__A0A174EV88__HMPREF1072_01427
ERR1913062.3693984__1.3693984	28116__A0A1Y4PWN5__M088_3731
ERR1913062.3694107__1.3694107	853__D4K7X0__DW905_09540
ERR1913062.3694141__1.3694141	166486__D4KXJ6__ERS852572_00336
ERR1913062.3694291__1.3694291	357276__A0A0K2HP62__HMPREF1063_01560
ERR1913062.3694431__1.3694431	820__A0A174RFI5__SAMN05444418_12240
ERR1913062.3694614__1.3694614	820__A0A3E4XM43__DXC91_13960
ERR1913062.3694746__1.3694746	310298__B3JFS5__BACCOP_00726
ERR1913062.3694793__1.3694793	821__D4VD59__BHV80_04260
ERR1913062.3695003__1.3695003	1262930__R6A775__BN693_00822
ERR1913062.3695099__1.3695099	33039__D4M378__cysL_1
ERR1913062.3695341__1.3695341	165179__D1PGU8__PREVCOP_06463
ERR1913062.3695418__1.3695418	166486__A0A173VTG0__ROSINTL182_06283
ERR1913062.3695435__1.3695435	820__A0A139K1Y6__DXB48_02610
ERR1913062.3695462__1.3695462	823__E1YR62__HMPREF1059_02331
ERR1913062.3695607__1.3695607	310298__B3JNG7__BACCOP_03480
ERR1913062.3695979__1.3695979	649756__D4MUR3__ERS852571_00481
ERR1913062.3696226__1.3696226	28118__R6FAT1__DHW44_00720
ERR1913062.3696264__1.3696264	821__A0A174MBW9__SAMN04487923_10272
ERR1913062.3696305__1.3696305	626933__H1DGX0__HMPREF9449_01506
ERR1913062.3696478__1.3696478	1150298__A0A174RJ10__ERS852535_00223
ERR1913062.3696637__1.3696637	2293125__A0A374BSW4__DW917_13420
ERR1913062.3696886__1.3696886	301301__A0A395V3Q5__sufB
ERR1913062.3696937__1.3696937	166486__D4KJ71__ERS852572_03479
ERR1913062.3696947__1.3696947	1262924__R7HPX8__BN585_00310
ERR1913062.3697016__1.3697016	218538__C9LR48__GCWU000321_00316
ERR1913062.3697034__1.3697034	823__D7IUM6__M091_1082
ERR1913062.3697075__1.3697075	1735__A0A395WAL9__EUBIFOR_01618
ERR1913062.3697079__1.3697079	1262930__R5ZZI5__BN693_01682
ERR1913062.3697140__1.3697140	39496__A5Z886__EUBVEN_01926
ERR1913062.3697179__1.3697179	28118__R6FI57__DF785_14020
ERR1913062.3697311__1.3697311	820__A0A174KKV6__DXC07_02635
ERR1913062.3697541__1.3697541	165179__D1PHC0__PREVCOP_06640
ERR1913062.3697542__1.3697542	360807__C0FPV8__RIL183_29891
ERR1913062.3697668__1.3697668	371601__F7LA63__HMPREF1074_04288
ERR1913062.3697875__1.3697875	1262930__R6ALN3__BN693_00602
ERR1913062.3698309__1.3698309	166486__R6AZI2__ydaF
ERR1913062.3698412__1.3698412	823__A0A355XKQ8__DHP27_04010
ERR1913062.3698539__1.3698539	166486__A0A173VSA0__ROSINTL182_06124
ERR1913062.3698692__1.3698692	204516__U6RR05__HMPREF1534_00736
ERR1913062.3698775__1.3698775	2108523__A0A2P2F6U5__LAWASA_1727
ERR1913062.3698814__1.3698814	310298__B3JQJ5__BACCOP_04231
ERR1913062.3698800__1.3698800	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.3698974__1.3698974	310298__B3JPY4__BACCOP_04016
ERR1913062.3698986__1.3698986	821__A0A3E4HP25__SAMN04487923_102450
ERR1913062.3699030__1.3699030	165179__A0A229I7F5__DXB80_02650
ERR1913062.3699035__1.3699035	853__A0A174C5M1__CGS58_04460
ERR1913062.3699053__1.3699053	165179__D1PHC0__PREVCOP_06640
ERR1913062.3699092__1.3699092	28132__D9RV83__HMPREF0660_00835
ERR1913062.3699333__1.3699333	310298__B3JQJ5__BACCOP_04231
ERR1913062.3699410__1.3699410	357276__B6VVS0__HMPREF1064_03951
ERR1913062.3699649__1.3699649	88431__A0A3D0EY52__ERS852573_01763
ERR1913062.3699618__1.3699618	357276__I9QWD4__DXD47_15075
ERR1913062.3699715__1.3699715	165179__A0A3E5EAM5__DXC61_07785
ERR1913062.3699830__1.3699830	820__A0A3E5E0T0__ERS852554_00312
ERR1913062.3699875__1.3699875	1262948__R7ECV8__BN671_00727
ERR1913062.3699921__1.3699921	821__A0A174V2F3__NCTC10583_01474
ERR1913062.3699934__1.3699934	823__K6APS3__DDY96_02400
ERR1913062.3700026__1.3700026	166486__A0A173VTG0__ROSINTL182_06283
ERR1913062.3700068__1.3700068	165179__A0A3E5ED28__PREVCOP_06655
ERR1913062.3700199__1.3700199	820__A0A174Q0F0__DXB48_08080
ERR1913062.3700279__1.3700279	1150298__A0A174BC67__ERS852498_00837
ERR1913062.3700333__1.3700333	310298__B3JQJ5__BACCOP_04231
ERR1913062.3700468__1.3700468	39486__B0G5I5__DXD50_01395
ERR1913062.3700475__1.3700475	165179__A0A3E5AER8__DXB80_07075
ERR1913062.3700633__1.3700633	1262889__R7HA49__BN634_00677
ERR1913062.3700722__1.3700722	310298__B3JQJ5__BACCOP_04231
ERR1913062.3700711__1.3700711	310298__B3JQJ5__BACCOP_04231
ERR1913062.3701008__1.3701008	166486__A0A173VSA0__ROSINTL182_06124
ERR1913062.3701091__1.3701091	39496__A0A316R5V9__EUBVEN_01370
ERR1913062.3701072__1.3701072	823__A0A1Y4I349__DXB14_09300
ERR1913062.3701128__1.3701128	487174__R5EPJ7__HMPREF9448_00444
ERR1913062.3701132__1.3701132	626933__H1DGX0__HMPREF9449_01506
ERR1913062.3701219__1.3701219	47678__R5UWN2__BACCAC_01649
ERR1913062.3701278__1.3701278	165179__D1PGU8__PREVCOP_06463
ERR1913062.3701315__1.3701315	39488__A0A285PP42__cobQ
ERR1913062.3701374__1.3701374	2293125__A0A374BSW4__DW917_13420
ERR1913062.3701444__1.3701444	357276__I8WDF1__B5F00_02455
ERR1913062.3701700__1.3701700	357276__I8VQA2__HMPREF1065_04183
ERR1913062.3701826__1.3701826	360807__A0A0M6WHB7__ERS852444_00092
ERR1913062.3701873__1.3701873	357276__A0A0M1W4C0__DXD47_07095
ERR1913062.3701983__1.3701983	165179__A0A3E5ED28__PREVCOP_06655
ERR1913062.3702022__1.3702022	1262930__R6AHR4__BN693_00447
ERR1913062.3702054__1.3702054	821__A0A396F9T7__M097_3427
ERR1913062.3702104__1.3702104	1262930__R6A6G2__BN693_00683
ERR1913062.3702218__1.3702218	410072__A0A3E4GMB7__COPCOM_03357
ERR1913062.3702424__1.3702424	357276__B6W1Y1__BSEG_03960
ERR1913062.3702562__1.3702562	2293125__A0A374BUM7__DW917_12980
ERR1913062.3702623__1.3702623	166486__D4KUT4__ERS852572_01421
ERR1913062.3702701__1.3702701	2293125__A0A374CCM7__DW917_05375
ERR1913062.3702706__1.3702706	626929__F3PKZ6__B5F24_10665
ERR1913062.3702747__1.3702747	2293125__A0A374BSW4__DW917_13420
ERR1913062.3702772__1.3702772	165179__A0A3E5DN34__DXC61_07865
ERR1913062.3702840__1.3702840	46503__A7ADV9__ERS852463_01504
ERR1913062.3702871__1.3702871	418240__C6JH13__ERS852478_02750
ERR1913062.3702873__1.3702873	820__A0A174KKV6__DXC07_02635
ERR1913062.3702991__1.3702991	328814__GCA_004558275.1_00994
ERR1913062.3703263__1.3703263	74426__nrdD
ERR1913062.3703267__1.3703267	46503__K5ZAK9__NCTC13052_03308
ERR1913062.3703331__1.3703331	649756__L1Q987__ERS852520_02359
ERR1913062.3703422__1.3703422	1262930__R6A468__BN693_01366
ERR1913062.3703432__1.3703432	2293125__A0A374BUM7__DW917_12980
ERR1913062.3703589__1.3703589	2293125__A0A374BUM7__DW917_12980
ERR1913062.3703731__1.3703731	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913062.3703696__1.3703696	820__A7V092__hldE
ERR1913062.3703913__1.3703913	166486__R6AZI2__ydaF
ERR1913062.3704001__1.3704001	853__C7H1R8__DW905_06675
ERR1913062.3704033__1.3704033	2293125__A0A374BN09__DW917_16245
ERR1913062.3704171__1.3704171	357276__A0A076IXE0__HMPREF1064_04364
ERR1913062.3704226__1.3704226	1263044__GCA_000433375.1_00346
ERR1913062.3704578__1.3704578	310298__B3JK49__BACCOP_02273
ERR1913062.3704570__1.3704570	821__A0A0P0LH09__ERS852457_03390
ERR1913062.3704575__1.3704575	626933__H1DGX0__HMPREF9449_01506
ERR1913062.3705262__1.3705262	357276__I9F327__DXD47_22495
ERR1913062.3705314__1.3705314	820__A0A139KA34__B5G17_05520
ERR1913062.3705339__1.3705339	357276__A0A076IN21__BSEG_03078
ERR1913062.3705402__1.3705402	853__A0A3E2U7E6__ERS852582_01640
ERR1913062.3705445__1.3705445	310298__B3JED9__BACCOP_00230
ERR1913062.3705447__1.3705447	821__A6L0C7__ERS852556_03520
ERR1913062.3705582__1.3705582	821__A6L0C7__ERS852556_03520
ERR1913062.3705590__1.3705590	820__A0A3E4GA19__SAMN05444418_10562
ERR1913062.3705650__1.3705650	823__E1YSG0__DHP27_00465
ERR1913062.3705770__1.3705770	33039__A0A174YIE5__soxS_4
ERR1913062.3705804__1.3705804	310298__B3JQJ5__BACCOP_04231
ERR1913062.3705826__1.3705826	357276__I9QBT7__BSEG_03340
ERR1913062.3705829__1.3705829	165179__A0A3E5A5E5__DXC61_13965
ERR1913062.3705883__1.3705883	821__A0A396F9T7__M097_3427
