ERR1913257.130__1.130	1550024__A0A0D8IYY8__TQ39_09180
ERR1913257.391732__1.391732	1550024__G9RPP6__ASJ35_08860
ERR1913257.391889__1.391889	239935__A0A2N8IVR0__CXT87_07115
ERR1913257.392023__1.392023	1263030__R5CRR4__BN705_00100
ERR1913257.392147__1.392147	239935__A0A2N8J1K0__CXT97_05765
ERR1913257.392276__1.392276	33039__A0A173U4W1__ERS852502_00464
ERR1913257.392295__1.392295	1262848__R6V922__BN818_00633
ERR1913257.392341__1.392341	1262848__R6U092__BN818_00195
ERR1913257.392728__1.392728	357276__A0A1Y3ZD00__B5F00_16730
ERR1913257.392891__1.392891	1897011__A0A1Q6RDI3__BHW41_05415
ERR1913257.392820__1.392820	116085__D4J8E0__DW747_09165
ERR1913257.392952__1.392952	239935__A0A2N8IHY1__CXU06_00035
ERR1913257.393242__1.393242	187327__G4Q682__Acin_1672
ERR1913257.393207__1.393207	45851__D4RW69__BUTYVIB_00200
ERR1913257.393299__1.393299	1263006__R6LT73__BN515_01094
ERR1913257.393348__1.393348	28025__A0A0L7CTF0__BAAA27672_05965
ERR1913257.393609__1.393609	239935__A0A2N8IXN0__CXT95_01765
ERR1913257.393682__1.393682	1680__A0A2R4G1K8__BBMN23_0315
ERR1913257.393854__1.393854	745368__A0A1T4X373__SAMN02745178_01365
ERR1913257.393857__1.393857	246787__A0A3D6AWJ7__AA416_00506
ERR1913257.394030__1.394030	39485__A0A174ZLH6__EUBELI_01564
ERR1913257.394175__1.394175	1680__A0A2R4G1K8__BBMN23_0315
ERR1913257.394243__1.394243	1262848__R6VKD4__BN818_01839
ERR1913257.395315__1.395315	301302__R5VGE0__ERS852420_00121
ERR1913257.395449__1.395449	2173__A5UNC4__METSMIALI_00562
ERR1913257.395844__1.395844	1150298__A0A174MSM0__toxA_2
ERR1913257.395855__1.395855	39485__A0A174ZA72__glgB_1
ERR1913257.395828__1.395828	820__A0A374QGD2__ERS852421_02382
ERR1913257.395896__1.395896	556259__E5C8M7__BSGG_2978
ERR1913257.395935__1.395935	33043__D5HIL8__ERS852386_02009
ERR1913257.395991__1.395991	1150298__A0A174PC05__ERS852498_00682
ERR1913257.396014__1.396014	1262736__R5Y6X9__BN496_00558
ERR1913257.396046__1.396046	39491__A0A396FRK0__ERS852417_00541
ERR1913257.396117__1.396117	39491__C4ZCV7__ERE_23110
ERR1913257.396182__1.396182	446660__GCA_003428235.1_00751
ERR1913257.396389__1.396389	39491__A0A396FRE7__EUR_27520
ERR1913257.396662__1.396662	239935__A0A139TPG3__CXT86_08810
ERR1913257.396680__1.396680	1550024__G9RX51__TQ39_04720
ERR1913257.396767__1.396767	39491__A0A395ZHW9__DXC13_02590
ERR1913257.396885__1.396885	418240__A0A173XSX9__ERS852523_01591
ERR1913257.396825__1.396825	45851__D4RZK8__BUTYVIB_01274
ERR1913257.396894__1.396894	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913257.397159__1.397159	387090__S0F8B2__BACCOPRO_02129
ERR1913257.397173__1.397173	39491__A0A395ZM93__DXD13_03490
ERR1913257.397206__1.397206	1550024__A0A3B9WKM9__ASJ35_18565
ERR1913257.397341__1.397341	88431__A6BDF9__ERS852573_01553
ERR1913257.397456__1.397456	239935__A0A2N8ITG2__Amuc_0335
ERR1913257.397489__1.397489	1262743__R5C054__BN727_01980
ERR1913257.397688__1.397688	1262848__R6UBC5__BN818_01849
ERR1913257.397809__1.397809	246787__A0A0N7IFH2__BcellWH2_02957
ERR1913257.397991__1.397991	40520__A0A174DGW8__DXB81_10115
ERR1913257.398014__1.398014	216816__B3DNW2__BL171B_07980
ERR1913257.398058__1.398058	239935__A0A2N8HW65__CXU09_08515
ERR1913257.398389__1.398389	239935__A0A2N8IRH4__CXT92_05605
ERR1913257.398422__1.398422	74426__pdxS
ERR1913257.398424__1.398424	853__A8S882__C4N23_07600
ERR1913257.398459__1.398459	39491__A0A395UYA6__EUBREC_0408
ERR1913257.398600__1.398600	1262848__R6UBC5__BN818_01849
ERR1913257.398601__1.398601	329854__R5M6T4__HMPREF2531_03715
ERR1913257.398604__1.398604	39486__B0G873__DXC93_02310
ERR1913257.398774__1.398774	357276__A0A0M1W9N4__GV66_05135
ERR1913257.398866__1.398866	1680__A0A087DLC6__C8077_00815
ERR1913257.398964__1.398964	1965542__A0A1Y4V077__B5E53_15785
ERR1913257.399158__1.399158	116085__D4J7P1__DW747_15085
ERR1913257.399164__1.399164	216816__V6XWW6__RY67_1738
ERR1913257.399186__1.399186	418240__A0A173WPF0__spoIIIAE
ERR1913257.399350__1.399350	39491__A0A395ZKJ0__DXD13_11010
ERR1913257.399504__1.399504	1263000__R5EXT3__BN466_02213
ERR1913257.399588__1.399588	40520__A0A3E5EFD7__ERS852394_01582
ERR1913257.399605__1.399605	853__A0A3E2U7E6__ERS852582_01640
ERR1913257.399859__1.399859	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913257.399996__1.399996	1680__A0A173W5Z2__DXC53_01290
ERR1913257.400196__1.400196	1262736__R5YCY9__BN496_00487
ERR1913257.400249__1.400249	39491__A0A395ZHV7__ykvU
ERR1913257.400400__1.400400	1262924__R7HQN1__BN585_00550
ERR1913257.400362__1.400362	45851__D4RWC5__BHV86_07005
ERR1913257.400442__1.400442	1550024__A0A3B9WFS7__ASJ35_05525
ERR1913257.400538__1.400538	626940__E8LC93__DCQ00_09725
ERR1913257.400545__1.400545	1262992__R5D6J2__BN795_00288
ERR1913257.400568__1.400568	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913257.400598__1.400598	1680__R5GRA4__ERS852382_01548
ERR1913257.400644__1.400644	1550024__A0A0W7TT94__TQ39_11150
ERR1913257.400678__1.400678	1150298__A0A174N5I7__ERS852498_01953
ERR1913257.401201__1.401201	28117__R7JH62__BHV66_05735
ERR1913257.401389__1.401389	1263107__GCA_000436995.1_00021
ERR1913257.401526__1.401526	74426__infB
ERR1913257.401543__1.401543	39491__A0A396FE96__EUR_00280
ERR1913257.401615__1.401615	820__A0A3E4QZJ7__C801_01798
ERR1913257.401797__1.401797	853__A0A3E2U7E6__ERS852582_01640
ERR1913257.401892__1.401892	1897011__A0A1Q6RD95__BHW41_05725
ERR1913257.401977__1.401977	1680__A0A1X2ZKM8__B5789_0981
ERR1913257.401991__1.401991	853__A0A3E2U7E6__ERS852582_01640
ERR1913257.401993__1.401993	28025__D3R7P2__BIFLAC_00169
ERR1913257.402026__1.402026	39491__A0A395ZE48__DXB76_02395
ERR1913257.402104__1.402104	40520__A5ZRI6__DXC87_12175
ERR1913257.402192__1.402192	46503__R6WTN6__PARMER_00136
ERR1913257.402256__1.402256	39491__R6UMS6__DXD13_07035
ERR1913257.402291__1.402291	239935__A0A2N8IMD6__CXU03_05585
ERR1913257.402482__1.402482	820__A0A139KJ23__celCCA
ERR1913257.402654__1.402654	823__A0A355XLH0__fepA_1
ERR1913257.402702__1.402702	552398__F4XHU2__HMPREF0866_03196
ERR1913257.402784__1.402784	1263000__R5EXT3__BN466_02213
ERR1913257.402839__1.402839	1550024__A0A0D8J3J4__TQ39_01275
ERR1913257.403035__1.403035	1262911__R6GJ95__BN557_01617
ERR1913257.403124__1.403124	1739491__J1DK07__HMPREF2987_07410
ERR1913257.403089__1.403089	1632__E3C6I9__FC49_GL000208
ERR1913257.403527__1.403527	1681__A0A0H2NPR5__BBBF_1287
ERR1913257.403503__1.403503	239935__A0A139TPD8__CXU12_11015
ERR1913257.403756__1.403756	239935__R6JWJ7__CXT94_02580
ERR1913257.403844__1.403844	39491__A0A395UUN5__EUBREC_0291
ERR1913257.403823__1.403823	1318__A0A359YHY5__HMPREF9626_1667
ERR1913257.403990__1.403990	29361__B6FPC9__CLONEX_01992
ERR1913257.404028__1.404028	216816__C5E9A6__mutT4
ERR1913257.404029__1.404029	216816__C5E9A6__mutT4
ERR1913257.404271__1.404271	820__A0A174A6K0__M093_0079
ERR1913257.404305__1.404305	1262848__R6U148__BN818_00289
ERR1913257.404488__1.404488	301301__G2SZ87__RHOM_00995
ERR1913257.404548__1.404548	39491__C4Z872__LD38_07250
ERR1913257.404687__1.404687	1897011__A0A1Q6REP0__BHW41_04040
ERR1913257.405086__1.405086	1262911__R6GZX7__BN557_00838
ERR1913257.405175__1.405175	39486__G1WQ06__DXD84_02875
ERR1913257.405186__1.405186	820__A0A3E4G3J9__ERS852459_02265
ERR1913257.405292__1.405292	1262924__R7HMN2__BN585_01573
ERR1913257.405371__1.405371	821__A0A396F1N0__M099_1553
ERR1913257.405715__1.405715	28117__R7JN92__BHV66_00550
ERR1913257.405930__1.405930	301302__R5UV35__M72_02721
ERR1913257.405979__1.405979	1262777__R5W6L8__BN512_00248
ERR1913257.406178__1.406178	239935__A0A2N8IJI1__B5G29_04615
ERR1913257.406399__1.406399	1262848__R6V8K7__BN818_00573
ERR1913257.406457__1.406457	821__C3RB94__DXC03_15585
ERR1913257.406514__1.406514	1680__A0A0B5BIU5__BSTER_0145
ERR1913257.406561__1.406561	116085__D4J6H3__DW747_13755
ERR1913257.406611__1.406611	907__G0VRQ3__CJO36_00330
ERR1913257.406739__1.406739	1263000__R5EF36__BN466_01303
ERR1913257.406947__1.406947	45851__R5LYV2__BHV86_00590
ERR1913257.407350__1.407350	184870__A0A2J6NYP9__Q618_VCMC00001G1158
ERR1913257.407361__1.407361	216816__A0A2N0SME6__BLIF_1881
ERR1913257.407554__1.407554	239935__A0A2N8HUU6__CXT90_06150
ERR1913257.407631__1.407631	39488__C0EVS1__ERS852450_02297
ERR1913257.407721__1.407721	46228__V8BPQ7__HMPREF1202_02326
ERR1913257.408166__1.408166	239935__A0A2N8IKW7__pstA
ERR1913257.408341__1.408341	301302__A0A0M6WU48__M72_10411
ERR1913257.408443__1.408443	51123__C7GZM2__GCWU000322_00438
ERR1913257.408638__1.408638	1150298__A0A174GJF6__bglX_2
ERR1913257.408918__1.408918	820__A0A3E4W6P0__gmhA
ERR1913257.409073__1.409073	1897011__A0A1Q6REU8__BHW41_04300
ERR1913257.409209__1.409209	239935__R7E524__CXT91_06180
ERR1913257.409212__1.409212	239935__R7DVL7__CXT93_01180
ERR1913257.409271__1.409271	74426__pta
ERR1913257.409250__1.409250	28111__R5K222__bglX_7
ERR1913257.409427__1.409427	45851__D4RWJ0__BHV86_05915
ERR1913257.409650__1.409650	39488__A0A173U4P2__ERS852578_02139
ERR1913257.409615__1.409615	45851__D4S0P6__BUTYVIB_01665
ERR1913257.409789__1.409789	74426__group_1871
ERR1913257.409889__1.409889	2173__A0A1D2WRS4__METSMIALI_00521
ERR1913257.409997__1.409997	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913257.409963__1.409963	33039__A0A173VTT4__frdB_1
ERR1913257.410397__1.410397	1262942__R7QVK2__BN520_01389
ERR1913257.410420__1.410420	1579__A0A3A9Y1G6__CDA67_01359
ERR1913257.410739__1.410739	301301__A0A395VA63__sbcC
ERR1913257.410862__1.410862	2173__A0A1D2WXY3__BK798_04185
ERR1913257.410876__1.410876	88431__A0A174UW18__lytR_4
ERR1913257.410922__1.410922	246787__A0A0P0FSC9__BACCELL_02534
ERR1913257.411355__1.411355	39491__A0A395ZF49__DXB69_05290
ERR1913257.411511__1.411511	39488__A0A173RHK8__EUBHAL_01709
ERR1913257.411549__1.411549	39488__R6GBC5__DXD91_06450
ERR1913257.411696__1.411696	239935__B2URG6__CXU02_00030
ERR1913257.411995__1.411995	853__A0A2A7AXC8__C4N21_14120
ERR1913257.412128__1.412128	1680__A0A0B5BIU5__BSTER_0145
ERR1913257.412200__1.412200	40520__R7D6X4__addA
ERR1913257.412214__1.412214	28117__B0MSS1__ALIPUT_00273
ERR1913257.412234__1.412234	40520__A0A396A356__DXB81_07630
ERR1913257.412269__1.412269	1150298__A0A174L2G3__ERS852498_01371
ERR1913257.412495__1.412495	1262736__R5Z1M1__BN496_00653
ERR1913257.412519__1.412519	39491__A0A395ZG74__licR
ERR1913257.412698__1.412698	454154__G5SLR2__HMPREF9441_00281
ERR1913257.413003__1.413003	39491__A0A174K9A3__DXB69_07785
ERR1913257.413141__1.413141	1263107__GCA_000436995.1_00230
ERR1913257.413116__1.413116	239935__A0A2N8HBM4__CXT85_06270
ERR1913257.413077__1.413077	820__A0A139K4W1__M093_0353
ERR1913257.413175__1.413175	418240__A0A174R660__rluD_1
ERR1913257.413225__1.413225	1262924__R7HRJ9__BN585_00557
ERR1913257.413548__1.413548	239935__A0A2N8IRW0__A4V05_11620
ERR1913257.413528__1.413528	1680__A0A087DKM6__B0042_0664
ERR1913257.413661__1.413661	40520__R7D9L9__DXC87_14715
ERR1913257.413702__1.413702	74426__gap
ERR1913257.413706__1.413706	39491__A0A396FUZ3__phoR_1
ERR1913257.413771__1.413771	1550024__A0A0W7TT94__TQ39_11150
ERR1913257.414004__1.414004	1680__A7A7Z9__AAX71_05385
ERR1913257.414086__1.414086	28025__A0A315S337__BAAA27672_03200
ERR1913257.414181__1.414181	1680__A0A087DHN0__AL0462_1532
ERR1913257.414232__1.414232	2173__A0A1D2WV05__BK798_06920
ERR1913257.414318__1.414318	45851__D4S330__BHV86_03650
ERR1913257.414543__1.414543	2173__A0A1D2WTV4__Msm_1285
ERR1913257.414564__1.414564	39496__A5Z778__EUBVEN_01561
ERR1913257.414613__1.414613	1680__R5GKP2__DXD60_06200
ERR1913257.414622__1.414622	1897011__A0A1Q6RC54__BHW41_06555
ERR1913257.414630__1.414630	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913257.414663__1.414663	28111__E5X0Y0__HMPREF1016_02598
ERR1913257.414763__1.414763	1263000__R5ESM1__BN466_01440
ERR1913257.414952__1.414952	88431__A0A173UIQ4__lip2
ERR1913257.415217__1.415217	28052__R7NDB6__ERS852499_00304
ERR1913257.415272__1.415272	1550024__A0A0D8IZ16__ASJ35_10840
ERR1913257.415191__1.415191	1680__A0A087DHN0__AL0462_1532
ERR1913257.415293__1.415293	1680__R5GZJ8__BSTER_1195
ERR1913257.415363__1.415363	2173__A0A1D2WT86__METSMIF1_02584
ERR1913257.415455__1.415455	1680__A0A3E4SB79__BAD_1517
ERR1913257.415519__1.415519	1262924__R7HU74__BN585_00690
ERR1913257.415612__1.415612	820__A0A3E5BMG9__DXD40_05130
ERR1913257.415642__1.415642	1263107__GCA_000436995.1_00080
ERR1913257.415804__1.415804	1501392__A0A0B2J7I3__PU94_14270
ERR1913257.415908__1.415908	1263011__R6DPZ5__BN553_01010
ERR1913257.415968__1.415968	39491__A0A396FUZ3__phoR_1
ERR1913257.416007__1.416007	301301__A0A173Z4D5__RHOM_00975
ERR1913257.416115__1.416115	552398__F4XHU2__HMPREF0866_03196
ERR1913257.416227__1.416227	239935__A0A2N8HL50__CXT98_09135
ERR1913257.416257__1.416257	357276__A0A0K2HJA6__DXD47_07320
ERR1913257.416281__1.416281	239935__A0A2N8IFA0__CXT92_02050
ERR1913257.416340__1.416340	1432052__A0A1E3UER0__BEI59_22305
ERR1913257.416428__1.416428	28025__A0A0L7CXE2__CDD75_01489
ERR1913257.416447__1.416447	40520__A0A395XAI7__DXB81_16005
ERR1913257.416617__1.416617	216816__E5XYF2__APC1480_0509
ERR1913257.416626__1.416626	39485__A0A174YZZ2__ERS852492_00215
ERR1913257.416767__1.416767	39491__A0A395ZBW8__DXC13_08840
ERR1913257.416808__1.416808	28025__A0A0L7CZA5__BL03_00202
ERR1913257.416828__1.416828	216816__A0A061M1M5__HMPREF0177_01046
ERR1913257.416829__1.416829	216816__A0A061M1M5__HMPREF0177_01046
ERR1913257.416835__1.416835	1262992__R5D0M4__BN795_01613
ERR1913257.416893__1.416893	46228__V8C7P7__HMPREF1202_01523
ERR1913257.416983__1.416983	28117__R7JIJ8__BHV66_01635
ERR1913257.416967__1.416967	40520__R7DCK3__DXD81_02605
ERR1913257.417214__1.417214	39491__A0A396FRE7__EUR_27520
ERR1913257.417310__1.417310	1262882__R5N3H1__BN519_01121
ERR1913257.417342__1.417342	39488__A0A174BS94__DXD91_16570
ERR1913257.417612__1.417612	1680__A0A087DLC6__C8077_00815
ERR1913257.417838__1.417838	1262848__R6UEX2__BN818_00035
ERR1913257.417955__1.417955	1263000__R5EXT3__BN466_02213
ERR1913257.417998__1.417998	1262911__R6GYU2__BN557_00621
ERR1913257.418140__1.418140	1262882__R5N4D8__BN519_01497
ERR1913257.418225__1.418225	1680__R5GZF2__DXC60_01925
ERR1913257.418397__1.418397	1681__E4V837__BBNG_00326
ERR1913257.418499__1.418499	88431__A0A174MYZ5__ycjP_7
ERR1913257.418614__1.418614	1262848__R6TXT2__BN818_00327
ERR1913257.418628__1.418628	239935__A0A2N8I1R3__CXU05_06075
ERR1913257.418686__1.418686	28052__A0A174KGM3__ERS852451_01819
ERR1913257.418905__1.418905	40520__A0A395XBB9__DXC87_14010
ERR1913257.419060__1.419060	184870__A0A2I1YC55__HMPREF1862_00721
ERR1913257.419129__1.419129	649756__A0A173RNX6__ERS852475_00267
ERR1913257.419541__1.419541	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913257.419797__1.419797	39491__A0A395ZG74__licR
ERR1913257.420452__1.420452	39491__A0A396FIZ8__ERE_20410
ERR1913257.420872__1.420872	1150298__R7JRK4__ERS852406_01648
ERR1913257.420856__1.420856	46503__R6Y4W3__DXB85_01650
ERR1913257.421408__1.421408	626940__E8LFT1__BHW43_04055
ERR1913257.421489__1.421489	45851__D4S0T7__BHV86_09275
ERR1913257.421925__1.421925	39491__A0A395ZHV7__ykvU
ERR1913257.422136__1.422136	572010__rpsR
ERR1913257.422171__1.422171	2173__A0A1D2WSY5__METSMIF1_03017
ERR1913257.422227__1.422227	1150298__R7JSE8__coaX_1
ERR1913257.422691__1.422691	1262848__R6VGZ4__BN818_01442
ERR1913257.422671__1.422671	1262848__R6U6L1__BN818_00132
ERR1913257.422675__1.422675	649756__A0A173SZT9__ptsG_1
ERR1913257.422915__1.422915	239935__A0A2N8J1K0__CXT97_05765
ERR1913257.422982__1.422982	1681__I3WJE6__A0008_0093
ERR1913257.423146__1.423146	45851__D4RYD2__BUTYVIB_00837
ERR1913257.423454__1.423454	45851__D4RWN6__BUTYVIB_00072
ERR1913257.423491__1.423491	823__C7XA51__BDI_0499
ERR1913257.423502__1.423502	1680__A0A1X2ZFB6__AD0028_0856
ERR1913257.424110__1.424110	1680__A0A0C2VBJ4__birA
ERR1913257.424140__1.424140	1262911__R6GZX7__BN557_00838
ERR1913257.424205__1.424205	39491__A0A396FP46__cobD_2
ERR1913257.424374__1.424374	33043__A0A173YYE7__ERS852445_00670
ERR1913257.424438__1.424438	853__A0A173XRA8__CGS56_09290
ERR1913257.424581__1.424581	39491__A0A396FFW0__ERE_10580
ERR1913257.424675__1.424675	820__A0A174F0C1__nreB
ERR1913257.424767__1.424767	1680__A0A087DLC6__C8077_00815
ERR1913257.424800__1.424800	39491__A0A395ZHW9__DXC13_02590
ERR1913257.425029__1.425029	1263000__R5EK63__BN466_02075
ERR1913257.425058__1.425058	626940__E8LDK5__DCQ00_02560
ERR1913257.425063__1.425063	216816__A0A0A6VPB9__B624_1780
ERR1913257.425014__1.425014	1262924__R7HRJ9__BN585_00557
ERR1913257.425104__1.425104	239935__R6IZU4__CXT87_08085
ERR1913257.425371__1.425371	301301__G2T1C2__RHOM_06165
ERR1913257.425418__1.425418	40520__A0A395XAI7__DXB81_16005
ERR1913257.425584__1.425584	40518__R5DSI5__fieF
ERR1913257.425664__1.425664	626929__F3PIZ0__SAMN05444376_2114
ERR1913257.425713__1.425713	1262882__R5MYG7__BN519_00405
ERR1913257.425735__1.425735	626940__E8LBD1__BN587_01117
ERR1913257.425757__1.425757	239935__R6J9N8__CXT96_07990
ERR1913257.425872__1.425872	1550024__A0A0D8IWU5__TQ39_13940
ERR1913257.425915__1.425915	1680__A0A087DLC6__C8077_00815
ERR1913257.425904__1.425904	28117__B0MYW7__ALIPUT_02336
ERR1913257.426246__1.426246	1262886__R6Q7L1__BN563_00804
ERR1913257.426403__1.426403	820__A0A3E4W4Y7__B5G17_02055
ERR1913257.426425__1.426425	1262924__R7HP42__BN585_02018
ERR1913257.426427__1.426427	28025__D3R3F8__DD702_05640
ERR1913257.426441__1.426441	214856__R6XTZ7__ERS852447_02314
ERR1913257.426359__1.426359	39491__C4ZGN3__DXB99_14175
ERR1913257.426591__1.426591	33043__D5HEL7__ERS852400_00347
ERR1913257.426756__1.426756	40518__R5DZE2__DXD86_07400
ERR1913257.426763__1.426763	39491__A0A396FSR4__ERS852580_02287
ERR1913257.426878__1.426878	907__G0VRX3__MELS_1794
ERR1913257.427067__1.427067	1680__R5GR82__AD0028_0014
ERR1913257.427157__1.427157	239935__A0A2N8IMC9__CXU09_02095
ERR1913257.427249__1.427249	246787__R6KBH9__HMPREF1062_04676
ERR1913257.427338__1.427338	214856__A0A174CRY5__ERS852559_01060
ERR1913257.427372__1.427372	1150298__R7JSM7__ERS852535_02465
ERR1913257.427577__1.427577	820__A0A3E4VZY4__ERS852554_01211
ERR1913257.427723__1.427723	1262992__R5CXM8__BN795_01024
ERR1913257.427747__1.427747	61171__B9Y5T9__HOLDEFILI_01171
ERR1913257.427951__1.427951	214856__A0A174C683__ERS852559_00523
ERR1913257.427959__1.427959	39488__A0A174HDU7__EUBHAL_01339
ERR1913257.428089__1.428089	1550024__A0A0D8IVV4__ASJ35_03610
ERR1913257.428227__1.428227	1680__R5GRA4__ERS852382_01548
ERR1913257.428356__1.428356	1262924__R7HPZ6__BN585_00681
ERR1913257.428433__1.428433	1262848__R6V8K7__BN818_00573
ERR1913257.428538__1.428538	39491__C4Z9E9__T1815_12341
ERR1913257.428652__1.428652	246787__I8V2S2__BACCELL_02524
ERR1913257.428798__1.428798	1262848__R6TZN4__BN818_00122
ERR1913257.428832__1.428832	1263000__R5ETL6__BN466_01607
ERR1913257.429180__1.429180	626940__E8LGA6__BHW43_03960
ERR1913257.429362__1.429362	1262992__R5D9U9__BN795_01022
ERR1913257.429323__1.429323	1262736__R5Y846__BN496_00963
ERR1913257.429377__1.429377	1150298__A0A174DX06__ERS852498_00491
ERR1913257.429460__1.429460	1150298__A0A174DPC6__ERS852535_01374
ERR1913257.429435__1.429435	1680__A0A173W9E6__C8077_07070
ERR1913257.429479__1.429479	1262924__R7HUR1__BN585_00057
ERR1913257.429601__1.429601	88431__A0A174IEH2__DXB16_05910
ERR1913257.429649__1.429649	39491__A0A395V5R3__EUBREC_1883
ERR1913257.429691__1.429691	1680__A0A3E4SB79__BAD_1517
ERR1913257.429767__1.429767	1897011__A0A1Q6REX8__BHW41_04475
ERR1913257.429775__1.429775	357276__I9F327__DXD47_22495
ERR1913257.429925__1.429925	1739305__A0A1E9AIW7__HMPREF2801_06490
ERR1913257.430250__1.430250	1262777__R5W7W6__BN512_00643
ERR1913257.430491__1.430491	39491__A0A395V297__EUR_01010
ERR1913257.430562__1.430562	1262924__R7HKP8__BN585_01113
ERR1913257.430745__1.430745	216816__C5E9C3__CJO32_03030
ERR1913257.430973__1.430973	357276__A0A0K2HDP3__IY41_00705
ERR1913257.431348__1.431348	1150298__R7JXP3__ERS852535_00653
ERR1913257.431476__1.431476	39491__A0A395V1R3__T1815_08181
ERR1913257.431502__1.431502	418240__C6JGG3__ERS852523_00073
ERR1913257.431630__1.431630	28117__R7JIY2__BHV66_06465
ERR1913257.431675__1.431675	907__R7MWA0__C6Y28_03250
ERR1913257.431716__1.431716	39491__A0A396FIZ8__ERE_20410
ERR1913257.432384__1.432384	39488__C0ES56__DXD91_10565
ERR1913257.432416__1.432416	74426__pflB_2
ERR1913257.432729__1.432729	301301__G2T5S1__gsiA_1
ERR1913257.432908__1.432908	40518__R5DTW7__phoU
ERR1913257.433038__1.433038	28025__D3R3B1__BAAM0483_03040
ERR1913257.433174__1.433174	46228__V8C3Q5__DXD17_04230
ERR1913257.433334__1.433334	1262848__R6U4T9__BN818_00690
ERR1913257.433383__1.433383	88431__A6BF91__ERS852573_01159
ERR1913257.433450__1.433450	239935__A0A139TVJ4__CXT86_02020
ERR1913257.433468__1.433468	2173__A0A1D2WX16__METSMIALI_00508
ERR1913257.433532__1.433532	745368__A0A1T4X373__SAMN02745178_01365
ERR1913257.433784__1.433784	820__A0A374QGD2__ERS852421_02382
ERR1913257.433708__1.433708	45851__D4RYI3__BHV86_01630
ERR1913257.433809__1.433809	1680__A0A1X2ZFB6__AD0028_0856
ERR1913257.434037__1.434037	2173__A0A1D2WT40__METSMIALI_00302
ERR1913257.434098__1.434098	28025__A0A0L7CYK2__DD683_02425
ERR1913257.434097__1.434097	301301__G2SZK8__ERS852391_00581
ERR1913257.434186__1.434186	649756__A0A173SJN7__fgs_1
ERR1913257.434225__1.434225	246787__A0A0P0GLJ1__BcellWH2_01674
ERR1913257.434327__1.434327	39491__A0A395V1R3__T1815_08181
ERR1913257.434316__1.434316	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913257.434459__1.434459	239935__R6J9Y2__CXT85_07000
ERR1913257.435270__1.435270	1680__A0A3E4SB79__BAD_1517
ERR1913257.435498__1.435498	216816__E5XYF2__APC1480_0509
ERR1913257.435544__1.435544	39492__D4JRZ7__smc
ERR1913257.435769__1.435769	1681__A0A0M4LKW0__DXC70_00860
ERR1913257.436009__1.436009	1897011__A0A1Q6REW8__BHW41_04435
ERR1913257.436022__1.436022	1150298__R7JUX4__ERS852535_02669
ERR1913257.436121__1.436121	1378168__V2YA11__N510_02528
ERR1913257.436406__1.436406	1262736__R5Y7T6__BN496_00858
ERR1913257.436340__1.436340	820__A0A174CG08__DXB62_13215
ERR1913257.436714__1.436714	239935__A0A2N8I791__CXT99_09415
ERR1913257.437335__1.437335	46503__K5YT67__HMPREF1060_04023
ERR1913257.437464__1.437464	1262882__R5N532__BN519_01420
ERR1913257.437413__1.437413	418240__A0A174G147__toxA_4
ERR1913257.437623__1.437623	820__A0A374Q8T2__DXB64_16190
ERR1913257.437674__1.437674	45851__D4RYZ4__BHV86_03155
ERR1913257.437936__1.437936	246787__A0A3D6AYV2__BcellWH2_03647
ERR1913257.438283__1.438283	74426__infB
ERR1913257.438845__1.438845	1680__A0A174BEE7__BSTER_1311
ERR1913257.439040__1.439040	1150298__A0A174R4D7__tmpC_2
ERR1913257.439118__1.439118	239935__A0A2N8HPS5__Amuc_0950
ERR1913257.439164__1.439164	239935__A0A2N8HW65__CXU09_08515
ERR1913257.439331__1.439331	1262848__R6U9S9__BN818_01676
ERR1913257.439421__1.439421	1680__A0A0B5BME4__DXD63_05015
ERR1913257.439608__1.439608	1262911__R6HKM0__BN557_00430
ERR1913257.439683__1.439683	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913257.439871__1.439871	46503__R6XCJ0__PARMER_01847
ERR1913257.439831__1.439831	1262736__R5YAB9__BN496_01574
ERR1913257.439846__1.439846	1680__A0A174BEE7__BSTER_1311
ERR1913257.440196__1.440196	1680__A0A173YLK6__BAD_0868
ERR1913257.440437__1.440437	116085__D4J9Y4__rsmB
ERR1913257.440503__1.440503	239935__A0A2N8IU45__DEF40_02365
ERR1913257.440559__1.440559	1550024__A0A0D8IZK5__TQ39_07980
ERR1913257.440547__1.440547	1680__A0A3E4SB79__BAD_1517
ERR1913257.440550__1.440550	28117__B0MWX3__BHV66_03010
ERR1913257.440554__1.440554	216816__C2GW26__chb
ERR1913257.440892__1.440892	357276__A0A0K2HI42__ABI39_06975
ERR1913257.440914__1.440914	745368__A0A1T4Y6I3__SAMN02745178_02753
ERR1913257.440891__1.440891	216816__A0A0S2MI06__pepV
ERR1913257.440975__1.440975	1262736__R5YDL6__BN496_00749
ERR1913257.440984__1.440984	39491__A0A395ZDC6__addB
ERR1913257.441115__1.441115	1262736__R5Y4S4__BN496_00323
