ERR1913202.101__1.101	239935__A0A2N8HBP0__CXT94_04450
ERR1913202.630268__1.630268	1262882__R5N0Q5__BN519_00642
ERR1913202.630322__1.630322	239935__A0A2N8IMC3__CXT96_03840
ERR1913202.630344__1.630344	1262882__R5MLE6__BN519_01423
ERR1913202.630362__1.630362	239935__R7E524__CXT91_06180
ERR1913202.630405__1.630405	239935__A0A2N8ILG3__CXT93_10135
ERR1913202.630554__1.630554	214856__R6Y9P5__ERS852559_01811
ERR1913202.630504__1.630504	239935__A0A2N8I8X8__B5G29_00185
ERR1913202.630615__1.630615	818__Q8A0V7__BSIG_2755
ERR1913202.630780__1.630780	1235835__R9LCU2__C814_02677
ERR1913202.630839__1.630839	214856__R6XS46__ERS852559_00812
ERR1913202.631267__1.631267	239935__A0A2N8I3G2__CXT89_00720
ERR1913202.631270__1.631270	357276__I9QBT7__BSEG_03340
ERR1913202.631330__1.631330	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913202.631335__1.631335	214856__R6XP73__ERS852447_00886
ERR1913202.631346__1.631346	214856__R6Y6H8__ERS852447_01719
ERR1913202.631372__1.631372	487174__K0WRZ5__HMPREF9448_02826
ERR1913202.631521__1.631521	1262882__R5MEN2__BN519_00200
ERR1913202.631810__1.631810	214856__I3YPQ0__ERS852447_01379
ERR1913202.631869__1.631869	214856__A0A173W3Y5__ERS852559_02032
ERR1913202.631886__1.631886	47678__R5UAF6__ERS852494_02966
ERR1913202.631998__1.631998	1262882__R5N1Z9__BN519_01020
ERR1913202.632013__1.632013	301302__A0A0M6W9I4__M72_19871
ERR1913202.632099__1.632099	1262882__R5MND9__BN519_00831
ERR1913202.632212__1.632212	818__A0A0P0FT56__BSIG_1453
ERR1913202.632508__1.632508	301302__A0A173T929__M72_26841
ERR1913202.632866__1.632866	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913202.632991__1.632991	214856__I3YPP0__ERS852447_01388
ERR1913202.633192__1.633192	39492__B0MNU1__ERS852540_02349
ERR1913202.633200__1.633200	214856__R5UN64__ERS852447_02669
ERR1913202.633458__1.633458	214856__A0A174EQR4__rsmA
ERR1913202.633684__1.633684	1262882__R5N3T7__BN519_01188
ERR1913202.633722__1.633722	1262882__R5MHZ2__BN519_00742
ERR1913202.634060__1.634060	239935__A0A2N8HPS5__Amuc_0950
ERR1913202.634101__1.634101	239935__A0A2N8IRL2__CXU06_01170
ERR1913202.634192__1.634192	1501391__GCA_000786575.1_00085
ERR1913202.634332__1.634332	214856__I3YPQ4__Alfi_2712
ERR1913202.634413__1.634413	1263005__R6EUV8__BN497_01243
ERR1913202.634846__1.634846	239935__R6IZU4__CXT87_08085
ERR1913202.634904__1.634904	239935__A0A2N8HUU6__CXT90_06150
ERR1913202.634917__1.634917	214856__R6Z288__ERS852447_00734
ERR1913202.634923__1.634923	1262882__R5N532__BN519_01420
ERR1913202.634948__1.634948	214856__R6Y2Y4__ERS852447_01086
ERR1913202.635073__1.635073	1262882__R5N5W2__BN519_00074
ERR1913202.635094__1.635094	214856__R6Y7P0__ERS852447_00307
ERR1913202.635179__1.635179	214856__I3YMN6__Alfi_1938
ERR1913202.635257__1.635257	1897011__A0A1Q6RFQ8__BHW41_03470
ERR1913202.635351__1.635351	239935__A0A2N8HAQ1__DEF40_05290
ERR1913202.635509__1.635509	821__A0A3E4XY72__NCTC10583_01067
ERR1913202.635922__1.635922	1262988__R7N756__BN816_00589
ERR1913202.635982__1.635982	328813__A0A1Y3QZ64__B5G41_14235
ERR1913202.636020__1.636020	239935__R7DVL7__CXT93_01180
ERR1913202.636022__1.636022	853__A0A174C5M1__CGS58_04460
ERR1913202.636142__1.636142	1262882__R5MRS7__BN519_01490
ERR1913202.636299__1.636299	214856__R6YD52__ERS852447_02171
ERR1913202.636410__1.636410	214856__I3YMN6__Alfi_1938
ERR1913202.636471__1.636471	239935__A0A2N8HT44__CXT84_11035
ERR1913202.636720__1.636720	818__A0A3E5HDU6__C799_04515
ERR1913202.636778__1.636778	214856__A0A173YDP1__ERS852559_00120
ERR1913202.636833__1.636833	214856__R6YC22__ERS852447_01215
ERR1913202.636825__1.636825	818__A0A174LEN9__BJP75_006595
ERR1913202.636982__1.636982	1501391__GCA_000786575.1_00033
ERR1913202.637057__1.637057	214856__A0A173YXX1__ERS852559_01651
ERR1913202.637078__1.637078	214856__I3YPQ6__Alfi_2714
ERR1913202.637138__1.637138	1235835__R9LCU2__C814_02677
ERR1913202.637226__1.637226	214856__I3YPI7__pepD_1
ERR1913202.637468__1.637468	487174__K0X5B1__DDY40_01695
ERR1913202.637585__1.637585	239935__A0A2N8IUQ8__CXU09_01665
ERR1913202.637646__1.637646	214856__R6Y7P0__ERS852447_00307
ERR1913202.637676__1.637676	214856__A0A174CRY5__ERS852559_01060
ERR1913202.637822__1.637822	214856__I3YPQ0__ERS852447_01379
ERR1913202.637826__1.637826	214856__A0A174ZLW6__ERS852559_01424
ERR1913202.637906__1.637906	1150298__R7JV71__ERS852498_00755
ERR1913202.638066__1.638066	214856__I3YMN6__Alfi_1938
ERR1913202.638064__1.638064	214856__R6Y0B9__ERS852559_00164
ERR1913202.638105__1.638105	39492__D4JUL4__ERS852540_01381
ERR1913202.638305__1.638305	1262911__R6GQM3__BN557_01245
ERR1913202.638479__1.638479	487174__K0WYI1__DDY40_08675
ERR1913202.638690__1.638690	1262882__R5MYP8__BN519_00439
ERR1913202.638702__1.638702	1262882__R5N0J9__BN519_00773
ERR1913202.638833__1.638833	487174__K0WTV8__DIT83_04385
ERR1913202.638849__1.638849	214856__R6Y9P5__ERS852559_01811
ERR1913202.638909__1.638909	1262911__R6GY78__BN557_00532
ERR1913202.639025__1.639025	1262882__R5N349__BN519_01037
ERR1913202.639086__1.639086	214856__A0A174CRY5__ERS852559_01060
ERR1913202.639408__1.639408	214856__R6Y2Y4__ERS852447_01086
ERR1913202.639506__1.639506	214856__R6Y2Y4__ERS852447_01086
ERR1913202.639602__1.639602	214856__I3YMB7__Alfi_1811
ERR1913202.639724__1.639724	1262911__R6H212__BN557_01031
ERR1913202.639912__1.639912	818__A0A3E5HGB5__ERS852511_02145
ERR1913202.639865__1.639865	214856__I3YK71__ERS852559_02472
ERR1913202.640025__1.640025	853__A0A2A7B1Y7__C7K05_11930
ERR1913202.640127__1.640127	239935__R6IZU4__CXT87_08085
ERR1913202.640391__1.640391	1262882__R5MH81__BN519_00748
ERR1913202.640501__1.640501	214856__I3YPP3__Alfi_2701
ERR1913202.640600__1.640600	1897011__A0A1Q6RF20__BHW41_02930
ERR1913202.640637__1.640637	1150298__A0A174LLX0__dhaD
ERR1913202.640669__1.640669	1262882__R5MSX6__BN519_01697
ERR1913202.640674__1.640674	301302__R5V7D6__tagA
ERR1913202.640684__1.640684	1965604__A0A1Y4EXM1__B5F54_01100
ERR1913202.640691__1.640691	214856__I3YMC8__ERS852447_02666
ERR1913202.640786__1.640786	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913202.640816__1.640816	47678__R5UME6__BACCAC_01239
ERR1913202.640918__1.640918	214856__I3YPR5__ERS852447_01364
ERR1913202.640890__1.640890	214856__I3YPQ0__ERS852447_01379
ERR1913202.640927__1.640927	214856__R6XUN2__rcsC_1
ERR1913202.641002__1.641002	487174__K0X6Z7__DDY40_11525
ERR1913202.641055__1.641055	301302__A0A173T0N8__ERS852420_01792
ERR1913202.641190__1.641190	214856__R6Y1K2__ERS852447_02306
ERR1913202.641206__1.641206	1501391__GCA_000786575.1_00132
ERR1913202.641313__1.641313	214856__R6XUN2__rcsC_1
ERR1913202.641510__1.641510	818__A0A3E5HHE1__Btheta7330_00796
ERR1913202.641648__1.641648	239935__A0A139TPU7__CXT91_06575
ERR1913202.642098__1.642098	1262882__R5N5S3__BN519_00085
ERR1913202.642237__1.642237	214856__R6XTZ7__ERS852447_02314
ERR1913202.642259__1.642259	239935__A0A2N8IRL2__CXU06_01170
ERR1913202.642277__1.642277	239935__A0A2N8IU45__DEF40_02365
ERR1913202.642320__1.642320	214856__I3YPP9__Alfi_2707
ERR1913202.642331__1.642331	239935__A0A2N8IF99__lpdA
ERR1913202.642487__1.642487	1262882__R5MEM1__BN519_00313
ERR1913202.642493__1.642493	214856__R6Y8K1__ERS852447_02509
ERR1913202.642505__1.642505	214856__R6XTZ7__ERS852447_02314
ERR1913202.642748__1.642748	214856__I3YPP3__Alfi_2701
ERR1913202.642749__1.642749	239935__A0A2N8IU45__DEF40_02365
ERR1913202.642846__1.642846	1262882__R5MZZ3__BN519_00482
ERR1913202.642949__1.642949	214856__A0A174CRY5__ERS852559_01060
ERR1913202.643023__1.643023	47678__R5UER2__CGC64_00710
ERR1913202.643039__1.643039	853__A0A2A7B9I6__DW855_13690
ERR1913202.643176__1.643176	214856__I3YPI7__pepD_1
ERR1913202.643117__1.643117	214856__R6Z3P8__ERS852559_01737
ERR1913202.643123__1.643123	1262882__R5MKV8__BN519_01281
ERR1913202.643312__1.643312	214856__A0A174CRY5__ERS852559_01060
ERR1913202.643340__1.643340	487174__K0XF08__DDY40_09050
ERR1913202.643373__1.643373	239935__A0A3F3K9J9__DEF40_00940
ERR1913202.643496__1.643496	1501391__GCA_000786575.1_00143
ERR1913202.643598__1.643598	214856__A0A173YDP1__ERS852559_00120
ERR1913202.643686__1.643686	39492__D4JX50__EUBSIR_00410
ERR1913202.643875__1.643875	1501391__GCA_000786575.1_00141
ERR1913202.643969__1.643969	410072__C0BBS7__ERS852525_00851
ERR1913202.643991__1.643991	1150298__A0A174QAL8__ERS852498_02570
ERR1913202.644121__1.644121	214856__I3YMC8__ERS852447_02666
ERR1913202.644077__1.644077	214856__R6Z288__ERS852447_00734
ERR1913202.644079__1.644079	487174__K0WY34__DDY40_07435
ERR1913202.644082__1.644082	214856__R6Y7P0__ERS852447_00307
ERR1913202.644184__1.644184	214856__I3YPP3__Alfi_2701
ERR1913202.644190__1.644190	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913202.644398__1.644398	1262911__R6HMT5__BN557_00797
ERR1913202.644469__1.644469	214856__R5UN64__ERS852447_02669
ERR1913202.644601__1.644601	1965604__A0A1Y4ETR3__B5F54_11455
ERR1913202.644622__1.644622	214856__R5UN64__ERS852447_02669
ERR1913202.644652__1.644652	371601__D7J175__DXD03_05675
ERR1913202.644741__1.644741	214856__R5UN64__ERS852447_02669
ERR1913202.644847__1.644847	214856__R6XKW1__ERS852559_01141
ERR1913202.644863__1.644863	487174__K0WXI9__HMPREF9448_02340
ERR1913202.644874__1.644874	214856__I3YPP0__ERS852447_01388
ERR1913202.644905__1.644905	189722__E0NQU7__HMPREF0658_0548
ERR1913202.644924__1.644924	1262882__R5MM90__BN519_01721
ERR1913202.644976__1.644976	301302__A0A0M6WVL0__celA
ERR1913202.645042__1.645042	1262882__R5MYI1__BN519_00416
ERR1913202.645147__1.645147	214856__I3YPR6__Alfi_2724
ERR1913202.645287__1.645287	487174__K0XIX0__DDY40_06625
ERR1913202.645368__1.645368	214856__R6XYY8__ERS852447_01722
ERR1913202.645407__1.645407	47678__R5UA23__C5Z00_15610
ERR1913202.645424__1.645424	239935__A0A2N8I9P4__CXT85_05050
ERR1913202.645495__1.645495	239935__A0A2N8I9N0__CXT97_09915
ERR1913202.645718__1.645718	239935__A0A2N8I368__CXT95_04550
ERR1913202.645913__1.645913	1262882__R5MSI5__BN519_01596
ERR1913202.645939__1.645939	1628085__A0A1C6CGB4__C7386_11411
ERR1913202.646129__1.646129	214856__R6XP73__ERS852447_00886
ERR1913202.646094__1.646094	818__A0A0P0FSA3__ERS852557_00283
ERR1913202.646275__1.646275	239935__A0A2N8IU14__ADH72_05655
ERR1913202.646399__1.646399	47678__R5UGX6__CGC64_16275
ERR1913202.646493__1.646493	214856__I3YMC8__ERS852447_02666
ERR1913202.646542__1.646542	1262882__R5MKU2__BN519_01271
ERR1913202.646602__1.646602	1150298__A0A174J629__ERS852498_00833
ERR1913202.646848__1.646848	239935__A0A2N8HUU6__CXT90_06150
ERR1913202.646875__1.646875	214856__I3YMC8__ERS852447_02666
ERR1913202.647091__1.647091	1262882__R5MYX5__BN519_00333
ERR1913202.647173__1.647173	301302__R5UMP3__lytC_3
ERR1913202.647502__1.647502	214856__A0A173ZTG3__ERS852447_00956
ERR1913202.647555__1.647555	626932__G5H6M5__HMPREF9450_00585
ERR1913202.647606__1.647606	214856__R5UN64__ERS852447_02669
ERR1913202.647692__1.647692	1262882__R5N2U9__BN519_01221
ERR1913202.647728__1.647728	1472761__GCA_002159295.1_01982
ERR1913202.647875__1.647875	1262882__R5MHA1__BN519_00763
ERR1913202.647940__1.647940	214856__A0A174ZD89__ERS852559_00526
ERR1913202.648209__1.648209	1262882__R5N349__BN519_01037
ERR1913202.648621__1.648621	214856__R6Y1K2__ERS852447_02306
ERR1913202.648798__1.648798	487174__R5FN40__HMPREF9448_01366
ERR1913202.648738__1.648738	1262882__R5N3T7__BN519_01188
ERR1913202.649076__1.649076	214856__I3YPP3__Alfi_2701
ERR1913202.649152__1.649152	214856__I3YPN0__ERS852447_01398
ERR1913202.649294__1.649294	214856__R6Y2Y4__ERS852447_01086
ERR1913202.649555__1.649555	214856__R6Z7Q9__ERS852447_02172
ERR1913202.649563__1.649563	1262882__R5N4G2__BN519_01273
ERR1913202.649580__1.649580	214856__R6Y0B9__ERS852559_00164
ERR1913202.649687__1.649687	239935__A0A2N8HUU6__CXT90_06150
ERR1913202.650017__1.650017	1965604__A0A1Y4EJ55__B5F54_16845
ERR1913202.649978__1.649978	214856__I3YMC8__ERS852447_02666
ERR1913202.650233__1.650233	1262911__R6GLA5__BN557_01456
ERR1913202.650300__1.650300	214856__R6Y6H8__ERS852447_01719
ERR1913202.650276__1.650276	821__A0A395UNT8__DXD64_15275
ERR1913202.650350__1.650350	214856__I3YK71__ERS852559_02472
ERR1913202.650643__1.650643	649756__A0A173T5Y7__HMPREF0369_02769
ERR1913202.650919__1.650919	214856__I3YMC8__ERS852447_02666
ERR1913202.650940__1.650940	214856__R6XS46__ERS852559_00812
ERR1913202.651107__1.651107	214856__A0A175A6T5__ERS852447_02658
ERR1913202.651131__1.651131	214856__R6XS46__ERS852559_00812
ERR1913202.651323__1.651323	214856__I3YPN5__Alfi_2693
ERR1913202.651407__1.651407	214856__R6XKT4__ERS852559_01719
ERR1913202.651424__1.651424	239935__R6J776__CXU07_02355
ERR1913202.651678__1.651678	46503__R6X5I4__ERS852463_01136
ERR1913202.651688__1.651688	1034346__A0A2V2FA73__DES51_10845
ERR1913202.651714__1.651714	239935__A0A2N8J2P6__ADH72_06730
ERR1913202.651873__1.651873	1262882__R5N3H1__BN519_01121
ERR1913202.651986__1.651986	239935__A0A2N8IMD6__CXU03_05585
ERR1913202.651994__1.651994	291645__I8WZT8__HMPREF1068_04327
ERR1913202.652049__1.652049	214856__A0A175A6T5__ERS852447_02658
ERR1913202.652371__1.652371	487174__K0WZ94__HMPREF9448_00984
ERR1913202.652366__1.652366	1262882__R5MFA5__BN519_00331
ERR1913202.652537__1.652537	410072__A0A173S248__ERS852525_02992
ERR1913202.652573__1.652573	28118__R6FX99__Odosp_1660
ERR1913202.652591__1.652591	1262911__R6GKS1__BN557_00184
ERR1913202.652674__1.652674	1262882__R5N089__BN519_00546
ERR1913202.652828__1.652828	28118__R6FA80__DHW44_06470
ERR1913202.652855__1.652855	214856__A0A174AYS4__ERS852447_01192
ERR1913202.652856__1.652856	1501391__GCA_000786575.1_00004
ERR1913202.653013__1.653013	487174__K0WS78__HMPREF9448_02825
ERR1913202.653159__1.653159	214856__I3YK71__ERS852559_02472
ERR1913202.653174__1.653174	214856__I3YMN6__Alfi_1938
ERR1913202.653247__1.653247	214856__R6Y7P0__ERS852447_00307
ERR1913202.653249__1.653249	1897011__A0A1Q6RDJ0__BHW41_05420
ERR1913202.653341__1.653341	301302__A0A0M6WCT0__M72_03221
ERR1913202.653515__1.653515	214856__R6Z3P8__ERS852559_01737
ERR1913202.653609__1.653609	1262882__R5MXW0__BN519_00317
ERR1913202.653662__1.653662	649756__A0A173RGN8__DO83_04830
ERR1913202.653886__1.653886	1262882__R5MRS7__BN519_01490
ERR1913202.653986__1.653986	47678__R5U2W6__CGC64_03455
ERR1913202.654018__1.654018	214856__A0A174EJT5__mnmA
ERR1913202.654026__1.654026	239935__A0A139TT05__CXU09_03335
ERR1913202.654125__1.654125	47678__A5ZG68__ERS852494_02968
ERR1913202.654167__1.654167	328814__GCA_004558275.1_00835
ERR1913202.654185__1.654185	487174__K0WZN5__HMPREF9448_01108
ERR1913202.654202__1.654202	214856__A0A174A0P3__ERS852447_00994
ERR1913202.654335__1.654335	1501391__GCA_000786575.1_00074
ERR1913202.654383__1.654383	84030__D6DGX9__B5F06_04530
ERR1913202.654390__1.654390	214856__R6XP73__ERS852447_00886
ERR1913202.654391__1.654391	214856__A0A173W3Y5__ERS852559_02032
ERR1913202.654577__1.654577	214856__R6Y8K1__ERS852447_02509
ERR1913202.654698__1.654698	214856__I3YPQ3__Alfi_2711
ERR1913202.654759__1.654759	1262911__R6GTZ0__BN557_01437
ERR1913202.654789__1.654789	239935__A0A2N8HB50__CXU17_02615
ERR1913202.654858__1.654858	1262882__R5MKX3__BN519_00395
ERR1913202.654976__1.654976	214856__R6XNE7__ERS852447_02267
ERR1913202.655093__1.655093	214856__A0A174EQR4__rsmA
ERR1913202.655153__1.655153	39492__D4JR31__EUBSIR_00106
ERR1913202.655163__1.655163	214856__I3YPN5__Alfi_2693
ERR1913202.655202__1.655202	214856__I3YPP0__ERS852447_01388
ERR1913202.655283__1.655283	214856__R6Y1K2__ERS852447_02306
ERR1913202.655314__1.655314	216816__C2GSX7__DD678_03555
ERR1913202.655545__1.655545	214856__R6XTZ7__ERS852447_02314
ERR1913202.655729__1.655729	28117__B0MYI9__BHV66_05415
ERR1913202.655865__1.655865	487174__K0X5U7__DDY40_04950
ERR1913202.655898__1.655898	214856__I3YMB7__Alfi_1811
ERR1913202.655987__1.655987	1262882__R5MQ68__BN519_01178
ERR1913202.656016__1.656016	214856__A0A174AYS4__ERS852447_01192
ERR1913202.656217__1.656217	214856__I3YPI7__pepD_1
ERR1913202.656232__1.656232	214856__R6YD52__ERS852447_02171
ERR1913202.656476__1.656476	487174__K0XM88__DDY40_02935
ERR1913202.656553__1.656553	1262882__R5N3H1__BN519_01121
ERR1913202.656556__1.656556	214856__I3YPR2__Alfi_2720
ERR1913202.656621__1.656621	214856__A0A173W3Y5__ERS852559_02032
ERR1913202.656695__1.656695	239935__A0A2N8I365__CXU20_11690
ERR1913202.656714__1.656714	39491__C4ZCV7__ERE_23110
ERR1913202.656751__1.656751	214856__A0A173W3Y5__ERS852559_02032
ERR1913202.656826__1.656826	47678__R5U3A7__ERS852494_02965
ERR1913202.656870__1.656870	1262882__R5MIC9__BN519_00834
ERR1913202.656910__1.656910	214856__R6XYY8__ERS852447_01722
ERR1913202.657169__1.657169	239935__A0A2N8ITX2__CXT86_11265
ERR1913202.657175__1.657175	328814__GCA_004558275.1_00056
ERR1913202.657292__1.657292	239935__A0A2N8ITW6__CXT91_06265
ERR1913202.657485__1.657485	214856__I3YMC8__ERS852447_02666
ERR1913202.657746__1.657746	214856__A0A174EQR4__rsmA
ERR1913202.657758__1.657758	301302__R5UM41__M72_15921
ERR1913202.657851__1.657851	214856__I3YPR2__Alfi_2720
ERR1913202.658011__1.658011	214856__I3YPN5__Alfi_2693
ERR1913202.658339__1.658339	214856__R6XUN2__rcsC_1
ERR1913202.658346__1.658346	239935__R6J9Y2__CXT85_07000
ERR1913202.658548__1.658548	214856__I3YPN9__ERS852447_01389
ERR1913202.658520__1.658520	214856__R6XS46__ERS852559_00812
ERR1913202.658629__1.658629	214856__R6Y2Y4__ERS852447_01086
ERR1913202.658606__1.658606	214856__I3YPP2__Alfi_2700
ERR1913202.659023__1.659023	214856__R6YC22__ERS852447_01215
ERR1913202.658997__1.658997	214856__A0A174C683__ERS852559_00523
ERR1913202.659049__1.659049	487174__K0X068__DDY40_07105
ERR1913202.659175__1.659175	1262882__R5MYS9__BN519_00290
ERR1913202.659287__1.659287	214856__I3YPQ4__Alfi_2712
ERR1913202.659333__1.659333	214856__I3YPQ0__ERS852447_01379
ERR1913202.659336__1.659336	239935__A0A2N8ILG3__CXT93_10135
ERR1913202.659357__1.659357	1262882__R5MKF5__BN519_00316
ERR1913202.659782__1.659782	214856__R6Z7Q9__ERS852447_02172
ERR1913202.659892__1.659892	47678__R5U7T0__CGC64_00755
ERR1913202.659946__1.659946	239935__A0A2N8IUQ8__CXU09_01665
ERR1913202.660048__1.660048	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913202.660181__1.660181	301302__R5VFU2__xynA1
ERR1913202.660295__1.660295	214856__I3YPP3__Alfi_2701
ERR1913202.660576__1.660576	214856__I3YPR5__ERS852447_01364
ERR1913202.660672__1.660672	214856__I3YPR5__ERS852447_01364
ERR1913202.661144__1.661144	301302__A0A0M6X038__M72_18501
ERR1913202.661471__1.661471	1897011__A0A1Q6RF44__BHW41_03065
ERR1913202.661505__1.661505	1262882__R5MLP5__BN519_01602
ERR1913202.661580__1.661580	239935__B2URG6__CXU02_00030
ERR1913202.661673__1.661673	292800__A0A174T130__HMPREF9460_00060
ERR1913202.661680__1.661680	214856__A0A174AYS4__ERS852447_01192
ERR1913202.661682__1.661682	1262882__R5MJM8__BN519_01064
ERR1913202.661683__1.661683	214856__R6Y2Y4__ERS852447_01086
ERR1913202.661690__1.661690	214856__R6XUN2__rcsC_1
ERR1913202.661763__1.661763	47678__R5UES3__CGC64_00760
ERR1913202.661916__1.661916	214856__I3YPP3__Alfi_2701
ERR1913202.661930__1.661930	39488__C0EY05__EUBHAL_02306
ERR1913202.661996__1.661996	821__C6Z451__BHV80_04265
ERR1913202.662099__1.662099	301302__R5UUM8__ganB_1
ERR1913202.662147__1.662147	487174__K0X591__DDY40_01805
ERR1913202.662455__1.662455	214856__A0A174FW22__ERS852447_02437
ERR1913202.662645__1.662645	487174__K0XDZ0__HMPREF9448_02863
ERR1913202.663230__1.663230	39492__D4JU79__EUBSIR_01975
ERR1913202.663244__1.663244	239935__A0A139TPG3__CXT86_08810
ERR1913202.663315__1.663315	214856__I3YPN3__ERS852447_01395
ERR1913202.663488__1.663488	214856__R6XUN2__rcsC_1
ERR1913202.663582__1.663582	239935__R6JCH3__CXT95_08205
ERR1913202.663840__1.663840	214856__I3YPN9__ERS852447_01389
ERR1913202.664093__1.664093	28118__R6F9B8__Odosp_3480
ERR1913202.664365__1.664365	1262882__R5MM69__BN519_00075
ERR1913202.664618__1.664618	394340__nifJ
ERR1913202.664700__1.664700	1965555__A0A1Y4SEA3__B5E77_08480
ERR1913202.664771__1.664771	214856__I3YPN0__ERS852447_01398
ERR1913202.664849__1.664849	39492__D4MIX3__ERS852540_01230
ERR1913202.664957__1.664957	214856__R6YC22__ERS852447_01215
ERR1913202.664963__1.664963	214856__R6Z590__ERS852447_01059
ERR1913202.665025__1.665025	487174__K0XRL3__HMPREF9448_00669
ERR1913202.665140__1.665140	1262882__R5N211__BN519_01033
ERR1913202.665195__1.665195	47678__A5ZH12__DXB67_04890
ERR1913202.665441__1.665441	214856__I3YPQ0__ERS852447_01379
ERR1913202.665442__1.665442	214856__R6Z288__ERS852447_00734
ERR1913202.665360__1.665360	818__A0A3E5HN77__HMPREF2534_00072
ERR1913202.665819__1.665819	328813__A0A1Y3QZ64__B5G41_14235
ERR1913202.665902__1.665902	1262911__R6GPX9__BN557_00406
ERR1913202.665961__1.665961	853__A0A173XRA8__CGS56_09290
ERR1913202.666022__1.666022	47678__R5U206__C5Z00_07065
ERR1913202.666295__1.666295	1897011__A0A1Q6RJV2__BHW41_00030
ERR1913202.666323__1.666323	214856__I3YPQ4__Alfi_2712
ERR1913202.666423__1.666423	28118__R6F2P2__NCTC10826_02131
ERR1913202.666500__1.666500	1262882__R5MEM1__BN519_00313
ERR1913202.666960__1.666960	239935__A0A2N8IEP3__CXT84_03735
ERR1913202.667037__1.667037	216816__C2GTH2__CE159_03580
ERR1913202.667053__1.667053	214856__I3YPQ0__ERS852447_01379
ERR1913202.667620__1.667620	214856__I3YMB7__Alfi_1811
ERR1913202.667666__1.667666	328813__A0A1Y3QZ64__B5G41_14235
ERR1913202.667736__1.667736	1150298__A0A174KDX3__ERS852498_01212
ERR1913202.667883__1.667883	214856__I3YPR5__ERS852447_01364
ERR1913202.667962__1.667962	487174__K0X2A4__DDY40_04095
ERR1913202.668188__1.668188	1501391__GCA_000786575.1_00097
ERR1913202.668318__1.668318	214856__R5UN64__ERS852447_02669
ERR1913202.668391__1.668391	214856__R6Z5D0__resA_4
ERR1913202.668429__1.668429	214856__I3YPP2__Alfi_2700
ERR1913202.668461__1.668461	214856__A0A174EJT5__mnmA
ERR1913202.668594__1.668594	649756__B0P442__DO83_03915
ERR1913202.668630__1.668630	214856__R5UN64__ERS852447_02669
ERR1913202.668819__1.668819	39485__R5ZRT8__gmr_6
ERR1913202.668894__1.668894	214856__I3YPQ0__ERS852447_01379
ERR1913202.668970__1.668970	853__A0A2A7A628__CGS57_13755
ERR1913202.669020__1.669020	821__A0A396ER29__ERS852457_02298
ERR1913202.669045__1.669045	1262882__R5N048__BN519_00502
ERR1913202.669196__1.669196	214856__A0A174EJT5__mnmA
ERR1913202.669331__1.669331	1262882__R5MIW5__BN519_00945
ERR1913202.669465__1.669465	239935__A0A2N8ITW6__CXT91_06265
ERR1913202.669503__1.669503	328814__GCA_004558275.1_00014
ERR1913202.669611__1.669611	214856__I3YPN0__ERS852447_01398
ERR1913202.669667__1.669667	1501391__GCA_000786575.1_00141
ERR1913202.669839__1.669839	1262882__R5N5J6__BN519_01504
ERR1913202.669849__1.669849	214856__R6XUN2__rcsC_1
ERR1913202.670176__1.670176	1262882__R5N1L4__BN519_00757
ERR1913202.670262__1.670262	214856__A0A173YXX1__ERS852559_01651
ERR1913202.670284__1.670284	487174__R5F3K6__DDY40_04230
ERR1913202.670652__1.670652	214856__E4MF20__Alfi_0697
ERR1913202.670690__1.670690	214856__I3YMN6__Alfi_1938
ERR1913202.670735__1.670735	1150298__A0A174LE54__cysA
ERR1913202.670768__1.670768	1550024__G9RTN6__TQ39_08170
ERR1913202.670839__1.670839	853__A0A2A7B1Y7__C7K05_11930
ERR1913202.670841__1.670841	214856__I3YMC8__ERS852447_02666
ERR1913202.671160__1.671160	1262911__R6H2J2__BN557_01228
ERR1913202.671194__1.671194	292800__A0A174J0P6__ADH75_07005
ERR1913202.671331__1.671331	214856__R6Z5D0__resA_4
ERR1913202.671344__1.671344	1965604__A0A1Y4EPK1__B5F54_11440
ERR1913202.671402__1.671402	853__A0A173XRA8__CGS56_09290
ERR1913202.671493__1.671493	214856__R6Y1K2__ERS852447_02306
ERR1913202.671428__1.671428	214856__R6YD52__ERS852447_02171
ERR1913202.671576__1.671576	239935__A0A2N8HUU6__CXT90_06150
ERR1913202.671613__1.671613	214856__A0A174FX52__yddM
ERR1913202.671606__1.671606	301302__A0A0M6WRT7__ERS852420_02104
ERR1913202.671784__1.671784	214856__I3YPP3__Alfi_2701
ERR1913202.671815__1.671815	487174__K0XL35__DDY40_11955
ERR1913202.671806__1.671806	214856__R6Z7Q9__ERS852447_02172
ERR1913202.671856__1.671856	214856__A0A173YXX1__ERS852559_01651
ERR1913202.671927__1.671927	301302__R5VBF4__ERS852420_01650
ERR1913202.672144__1.672144	214856__R6XUN2__rcsC_1
ERR1913202.672126__1.672126	88431__A0A173XSN2__ERS852526_00723
ERR1913202.672143__1.672143	214856__I3YPN0__ERS852447_01398
ERR1913202.672168__1.672168	47678__A5ZBL9__C5Z00_18710
ERR1913202.672316__1.672316	214856__R6XKT4__ERS852559_01719
