ERR1913073.257__1.257	1463165__A0A1D3KJ47__BME69_05190
ERR1913073.1836035__1.1836035	820__A0A139K1Y6__DXB48_02610
ERR1913073.1836069__1.1836069	39491__A0A395UZZ5__htpG_1
ERR1913073.1836099__1.1836099	39492__D4JWX2__accB
ERR1913073.1836126__1.1836126	1681__E4V7T9__BJL93_02365
ERR1913073.1836193__1.1836193	40518__R5DZI2__DXD93_06940
ERR1913073.1836228__1.1836228	853__A0A173TAZ8__DWZ46_14590
ERR1913073.1836293__1.1836293	821__E5UPR6__SAMN04487923_101768
ERR1913073.1836340__1.1836340	821__E5UY21__C800_02204
ERR1913073.1836407__1.1836407	39491__A0A3E4E7C5__DXB69_03255
ERR1913073.1836416__1.1836416	40518__R5DUG7__sbcC
ERR1913073.1836555__1.1836555	214856__A0A174CRY5__ERS852559_01060
ERR1913073.1836653__1.1836653	40518__R5E1X3__clcA
ERR1913073.1836791__1.1836791	33043__D5HIC8__vspIM
ERR1913073.1836883__1.1836883	1263109__GCA_000438135.1_00482
ERR1913073.1836822__1.1836822	40518__R5DN55__RBATCC27255_01652
ERR1913073.1836949__1.1836949	1150298__R7JVR8__ERS852498_01126
ERR1913073.1837030__1.1837030	33039__A0A173W0K9__ERS852502_02246
ERR1913073.1837015__1.1837015	40518__R5DZ88__DXD93_06320
ERR1913073.1837016__1.1837016	28117__R7JIY2__BHV66_06465
ERR1913073.1837150__1.1837150	1262739__R6MZI8__BN659_01574
ERR1913073.1837162__1.1837162	39491__A0A395ZEI6__ERE_07950
ERR1913073.1837243__1.1837243	1150298__A0A174MFX3__ERS852498_01752
ERR1913073.1837279__1.1837279	487174__K0XF08__DDY40_09050
ERR1913073.1837428__1.1837428	1150298__A0A174PHI0__ERS852498_00826
ERR1913073.1837363__1.1837363	853__A0A2A7B1Y7__C7K05_11930
ERR1913073.1837364__1.1837364	1150298__A0A174QSP7__ERS852406_03088
ERR1913073.1837687__1.1837687	216816__D6DD25__APC1482_1109
ERR1913073.1837715__1.1837715	28117__B0MT86__BHV66_02450
ERR1913073.1837896__1.1837896	28117__B0MY40__BHV66_05170
ERR1913073.1837920__1.1837920	28116__A0A1Y4P7B7__M088_2098
ERR1913073.1837972__1.1837972	216816__A0A1S2VTC3__BLIC_e00847
ERR1913073.1837976__1.1837976	1680__A0A174BEE7__BSTER_1311
ERR1913073.1837989__1.1837989	487174__K0XLF2__DDY40_04010
ERR1913073.1838126__1.1838126	214856__A0A174FY07__ERS852447_02457
ERR1913073.1838137__1.1838137	39491__A0A173QT73__alaS_2
ERR1913073.1838139__1.1838139	1680__A0A087DHN0__AL0462_1532
ERR1913073.1838193__1.1838193	1680__R5GSL8__DXD60_03315
ERR1913073.1838229__1.1838229	1263107__GCA_000436995.1_00143
ERR1913073.1838257__1.1838257	1263109__GCA_000438135.1_00186
ERR1913073.1838318__1.1838318	39485__R5ZPP8__EUBELI_20334
ERR1913073.1838344__1.1838344	218538__C9LQR2__GCWU000321_01894
ERR1913073.1838372__1.1838372	216816__E8MVM4__APC1480_1562
ERR1913073.1838680__1.1838680	820__A7V092__hldE
ERR1913073.1838719__1.1838719	40518__R5DZ16__DXD86_01455
ERR1913073.1838793__1.1838793	40518__R5DY98__mepA_5
ERR1913073.1838815__1.1838815	28117__R7JIJ8__BHV66_01635
ERR1913073.1838852__1.1838852	338188__A0A1Q6HCN7__ptrA
ERR1913073.1838950__1.1838950	371601__G1UK36__HMPREF1074_03496
ERR1913073.1838963__1.1838963	39491__A0A396FUZ3__phoR_1
ERR1913073.1838986__1.1838986	39491__C4Z9D4__DXD95_00055
ERR1913073.1839049__1.1839049	1263107__GCA_000436995.1_00130
ERR1913073.1839035__1.1839035	28118__R6F5T0__Odosp_2509
ERR1913073.1839086__1.1839086	1304__J7TGU8__Ssal_02017
ERR1913073.1839228__1.1839228	1150298__R7JTY5__ERS852406_02079
ERR1913073.1839301__1.1839301	328813__A0A1Y3QZD2__B5G41_09470
ERR1913073.1839315__1.1839315	39777__A0A133S671__B7L28_08195
ERR1913073.1839367__1.1839367	853__A0A174CVG7__CGS58_09335
ERR1913073.1839352__1.1839352	33043__A0A173X520__ERS852575_01617
ERR1913073.1839413__1.1839413	853__A0A173SUU8__CGS54_06840
ERR1913073.1839541__1.1839541	40518__R5DME2__DXD86_07315
ERR1913073.1839657__1.1839657	853__A0A173T751__C4N24_10280
ERR1913073.1839790__1.1839790	1304__A0A0Y1V0J7__CQA85_06265
ERR1913073.1839817__1.1839817	460384__A0A1I0KAM1__SAMN05216313_15910
ERR1913073.1839859__1.1839859	47678__R5UES3__CGC64_00760
ERR1913073.1840014__1.1840014	39491__A0A396FUZ3__phoR_1
ERR1913073.1840394__1.1840394	1263109__GCA_000438135.1_01684
ERR1913073.1840451__1.1840451	1262911__R6H054__BN557_00908
ERR1913073.1840474__1.1840474	39488__A0A374NPE4__EUBHAL_00845
ERR1913073.1840612__1.1840612	40518__R5DVL2__penA
ERR1913073.1840655__1.1840655	28118__F9Z8E3__SAMEA44545918_03282
ERR1913073.1840824__1.1840824	39491__C4ZEW3__T1815_18241
ERR1913073.1840827__1.1840827	821__A0A174JYD3__ERS852457_02610
ERR1913073.1841020__1.1841020	1318__A0A3E4UD32__CYK20_00680
ERR1913073.1841116__1.1841116	40518__R5DR39__mreB_2
ERR1913073.1841324__1.1841324	88431__A6BDF9__ERS852573_01553
ERR1913073.1841276__1.1841276	214856__A0A173ZSM1__ERS852447_00944
ERR1913073.1841334__1.1841334	853__C7H7F5__DWZ46_01780
ERR1913073.1841399__1.1841399	40518__R5DYU1__DXD86_01160
ERR1913073.1841586__1.1841586	1304__F8LL78__A6J87_06705
ERR1913073.1841558__1.1841558	1263044__GCA_000433375.1_03553
ERR1913073.1841731__1.1841731	40518__R5DM08__DXD83_06415
ERR1913073.1841783__1.1841783	871324__A0A1M6LZ32__SAMN05444350_1587
ERR1913073.1841804__1.1841804	1686__B6XTQ5__B5782_1168
ERR1913073.1841816__1.1841816	1263000__R5EXT3__BN466_02213
ERR1913073.1841956__1.1841956	853__A0A2A7AXC8__C4N21_14120
ERR1913073.1842045__1.1842045	1263109__GCA_000438135.1_01435
ERR1913073.1842097__1.1842097	216816__C5E884__DXC74_09410
ERR1913073.1842107__1.1842107	40518__R5DS23__DXD86_01715
ERR1913073.1842151__1.1842151	47678__R5UAI1__BACCAC_01922
ERR1913073.1842240__1.1842240	1150298__A0A174M5S6__ERS852498_01656
ERR1913073.1842369__1.1842369	820__A0A1T4IY80__ERS852554_01621
ERR1913073.1842430__1.1842430	40518__R5DTP7__DXD83_02415
ERR1913073.1842459__1.1842459	1680__R5GPK0__B0487_0620
ERR1913073.1842499__1.1842499	821__A0A174K302__CUU_3129
ERR1913073.1842602__1.1842602	1262986__A0A350CXI8__BN492_00074
ERR1913073.1842664__1.1842664	820__A0A396CMY7__HMPREF1072_03009
ERR1913073.1842808__1.1842808	1304__A0A1V0GJ60__Ssal_01637
ERR1913073.1842785__1.1842785	176090__A0A0A0DF29__SSIN_1565
ERR1913073.1842910__1.1842910	1304__Q55242__V471_04485
ERR1913073.1842986__1.1842986	1262911__R6GPL1__BN557_00927
ERR1913073.1843068__1.1843068	905__D2RL87__SAMN05216495_101230
ERR1913073.1843114__1.1843114	28116__A7LXU0__HMPREF1070_00358
ERR1913073.1843050__1.1843050	116085__D4J8A4__DW747_06625
ERR1913073.1843161__1.1843161	821__A0A3E4KIM1__M097_3660
ERR1913073.1843179__1.1843179	310298__B3JED9__BACCOP_00230
ERR1913073.1843338__1.1843338	310298__B3JNR4__BACCOP_03579
ERR1913073.1843357__1.1843357	33043__D5HHF5__ERS852386_00025
ERR1913073.1843376__1.1843376	1150298__R7JUS5__soxS_1
ERR1913073.1843380__1.1843380	384638__B7APR0__BACPEC_00666
ERR1913073.1843422__1.1843422	1304__W3Y4W5__AWB63_09370
ERR1913073.1843536__1.1843536	1304__F8LKP1__TZ99_00769
ERR1913073.1843607__1.1843607	487174__K0XRP0__DDY40_09260
ERR1913073.1843661__1.1843661	216816__C2GW26__chb
ERR1913073.1843707__1.1843707	40518__R5E304__thiT
ERR1913073.1843716__1.1843716	216816__C2GUV2__APC1478_0430
ERR1913073.1843767__1.1843767	487175__D9Y4T2__HMPREF9439_02784
ERR1913073.1843793__1.1843793	28117__R7JPX7__BHV66_00900
ERR1913073.1843921__1.1843921	310298__B3JQL6__BACCOP_04252
ERR1913073.1844031__1.1844031	1150298__A0A173YHI7__ERS852406_00466
ERR1913073.1844016__1.1844016	47678__R5U8Y1__BACCAC_02615
ERR1913073.1844117__1.1844117	40518__R5DX93__DXD93_03055
ERR1913073.1844120__1.1844120	39491__A0A395UVM9__DXB76_04540
ERR1913073.1844186__1.1844186	1343__E8KXH9__HMPREF9192_0530
ERR1913073.1844194__1.1844194	39491__A0A173TM76__DXB72_10535
ERR1913073.1844257__1.1844257	1304__A0A0A1E2E1__A6J87_05400
ERR1913073.1844348__1.1844348	39491__A0A396FP46__cobD_2
ERR1913073.1844334__1.1844334	1686__B6XVH9__BCAT_1645
ERR1913073.1844335__1.1844335	39488__A0A285Q0V4__paaK_1
ERR1913073.1844372__1.1844372	39491__A0A396FEV5__EUR_24750
ERR1913073.1844456__1.1844456	1304__A0A1W5ZCY0__CKU37_03270
ERR1913073.1844511__1.1844511	28117__R7JQW0__ALIPUT_01453
ERR1913073.1844751__1.1844751	1628085__A0A2U1BCV0__C7386_1063
ERR1913073.1844939__1.1844939	1262992__R5D1V5__BN795_00167
ERR1913073.1844987__1.1844987	1317__A0A2N6PS84__HMPREF9176_0871
ERR1913073.1845130__1.1845130	39491__A0A395V5L2__ERE_28270
ERR1913073.1845102__1.1845102	39491__A0A396FSR4__ERS852580_02287
ERR1913073.1845200__1.1845200	39491__A0A396FEV5__EUR_24750
ERR1913073.1845265__1.1845265	39491__A0A174LTW7__DXD13_08720
ERR1913073.1845271__1.1845271	39491__A0A396FGM9__fliU_1
ERR1913073.1845324__1.1845324	1304__J7TGU8__Ssal_02017
ERR1913073.1845405__1.1845405	1262986__R6AUH5__BN492_00246
ERR1913073.1845457__1.1845457	40518__R5DZC6__mreC
ERR1913073.1845385__1.1845385	28117__B0MVL2__BHV66_01645
ERR1913073.1845546__1.1845546	216816__B7GPH6__DXC74_08225
ERR1913073.1845529__1.1845529	745368__A0A1T4XY03__SAMN02745178_02465
ERR1913073.1845634__1.1845634	1304__A0A074IXT4__DL08_00220
ERR1913073.1845800__1.1845800	1550024__A0A0W7TVR8__ASJ35_01140
ERR1913073.1845919__1.1845919	40518__R5DP61__DXD86_06345
ERR1913073.1845982__1.1845982	216816__C5EBT1__BLIF_1344
ERR1913073.1846147__1.1846147	1150298__A0A174N5I7__ERS852498_01953
ERR1913073.1846152__1.1846152	820__A0A3E4W9D9__B5G17_12400
ERR1913073.1846284__1.1846284	1463165__A0A1D3KCC4__SAMEA3672999_03280
ERR1913073.1846497__1.1846497	905__D2RNX5__SAMN05216495_10820
ERR1913073.1846514__1.1846514	1304__A0A1V0GHL6__AWB63_08335
ERR1913073.1846494__1.1846494	371601__D7J3Z9__CW1_1788
ERR1913073.1846599__1.1846599	39491__A0A395UWZ1__DXC13_02175
ERR1913073.1846767__1.1846767	745368__A0A1T4XHM8__SAMN02745178_01848
ERR1913073.1846794__1.1846794	1262992__R5DDC9__BN795_00492
ERR1913073.1846865__1.1846865	1796652__ltrA_3
ERR1913073.1846932__1.1846932	39492__D4JW25__EUBSIR_02203
ERR1913073.1846957__1.1846957	487174__K0X789__DIT83_10440
ERR1913073.1846976__1.1846976	39485__C4Z6R3__mcp2_1
ERR1913073.1846986__1.1846986	821__A0A0P0L952__M097_4235
ERR1913073.1847077__1.1847077	1680__A0A3E4SB79__BAD_1517
ERR1913073.1847147__1.1847147	1680__A0A3E4SB79__BAD_1517
ERR1913073.1847197__1.1847197	39491__A0A396FBR6__DXC13_08575
ERR1913073.1847149__1.1847149	40518__R5E8B6__RB5AMG_00876
ERR1913073.1847220__1.1847220	1680__A0A174BEE7__BSTER_1311
ERR1913073.1847452__1.1847452	821__A0A0P0L952__M097_4235
ERR1913073.1847455__1.1847455	1150298__A0A174R918__ERS852535_01749
ERR1913073.1847461__1.1847461	853__D4KAK8__C4N21_13380
ERR1913073.1847480__1.1847480	246618__M4RG38__BPORC_0326
ERR1913073.1847536__1.1847536	39491__A0A173QT73__alaS_2
ERR1913073.1847540__1.1847540	40518__R5E2F3__artQ
ERR1913073.1847703__1.1847703	328814__GCA_004558275.1_01743
ERR1913073.1847962__1.1847962	40518__R5DU92__DXD93_03170
ERR1913073.1847952__1.1847952	853__A0A173XRA8__CGS56_09290
ERR1913073.1848100__1.1848100	40518__R5DWH8__DXD86_04530
ERR1913073.1848164__1.1848164	40518__R5DS23__DXD86_01715
ERR1913073.1848179__1.1848179	33043__A0A174BPV6__ERS852445_01773
ERR1913073.1848185__1.1848185	40518__R5DY98__mepA_5
ERR1913073.1848250__1.1848250	39488__C0EVS1__ERS852450_02297
ERR1913073.1848368__1.1848368	40518__R5DU38__DXD83_06770
ERR1913073.1848503__1.1848503	1680__A0A174BEE7__BSTER_1311
ERR1913073.1848543__1.1848543	1150298__R7JNQ8__ERS852406_00857
ERR1913073.1848714__1.1848714	1262992__R5D546__BN795_00726
ERR1913073.1848787__1.1848787	487174__R5EXS5__HMPREF9448_02541
ERR1913073.1848788__1.1848788	33043__A0A174BZH8__ERS852575_02145
ERR1913073.1848836__1.1848836	1550024__A0A0D8J1Q0__ASJ35_04495
ERR1913073.1848844__1.1848844	1680__A0A0C2YPV2__AL0462_1474
ERR1913073.1848857__1.1848857	487174__K0WXG8__DIT83_09300
ERR1913073.1848912__1.1848912	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913073.1848914__1.1848914	40518__R5DVH6__DXD86_08955
ERR1913073.1849002__1.1849002	821__E5UY21__C800_02204
ERR1913073.1849015__1.1849015	1680__A0A173YLK6__BAD_0868
ERR1913073.1849182__1.1849182	821__A0A396F1N0__M099_1553
ERR1913073.1849216__1.1849216	310298__B3JQD7__BACCOP_04095
ERR1913073.1849236__1.1849236	1680__A0A087DSA4__B5789_0495
ERR1913073.1849255__1.1849255	1262743__R5C054__BN727_01980
ERR1913073.1849361__1.1849361	1304__F8LGI5__CQA85_08435
ERR1913073.1849394__1.1849394	1304__T0T9N5__CQA85_09935
ERR1913073.1849410__1.1849410	821__E5UY21__C800_02204
ERR1913073.1849466__1.1849466	39491__A0A395UVM9__DXB76_04540
ERR1913073.1849505__1.1849505	39492__D4JUJ6__ssuB_2
ERR1913073.1849575__1.1849575	1304__A0A1V0GIJ4__SALIVB_0248
ERR1913073.1849763__1.1849763	40518__R5E6N4__DXD93_01325
ERR1913073.1849891__1.1849891	853__A0A173XRA8__CGS56_09290
ERR1913073.1849915__1.1849915	1304__J7TYF2__hk13_3
ERR1913073.1850120__1.1850120	28117__B0MWZ9__ALIPUT_01735
ERR1913073.1850122__1.1850122	214856__A0A174G1M7__ERS852559_00594
ERR1913073.1850279__1.1850279	1262743__R5C054__BN727_01980
ERR1913073.1850370__1.1850370	39491__A0A395ZHH5__ERS852497_02076
ERR1913073.1850409__1.1850409	74426__nrdD
ERR1913073.1850469__1.1850469	384638__B7APR0__BACPEC_00666
ERR1913073.1850472__1.1850472	1263109__GCA_000438135.1_00481
ERR1913073.1850585__1.1850585	40518__R5DP21__RBATCC27255_00348
ERR1913073.1850594__1.1850594	39485__A0A174Z768__ERS852492_00306
ERR1913073.1850628__1.1850628	39491__C4Z9K7__EUBREC_0050
ERR1913073.1851029__1.1851029	40518__R5E6X1__DXD83_01720
ERR1913073.1851030__1.1851030	39491__A0A395V1Y4__DXB99_08035
ERR1913073.1851058__1.1851058	1304__A0A1W5ZCY0__CKU37_03270
ERR1913073.1851066__1.1851066	905__D2RMC6__SAMN02910455_01518
ERR1913073.1851113__1.1851113	1308__A0A2X3WPE2__CDA68_01375
ERR1913073.1851332__1.1851332	328813__A0A1Y3QZ24__B5G41_08040
ERR1913073.1851347__1.1851347	1304__A0A1V0GHB2__CYK22_09510
ERR1913073.1851473__1.1851473	39488__A0A173URJ8__misCB
ERR1913073.1851495__1.1851495	1680__A7A7Z9__AAX71_05385
ERR1913073.1851555__1.1851555	216816__A0A2U0BLP0__tsaB
ERR1913073.1851591__1.1851591	820__A0A374Q854__HMPREF1073_03281
ERR1913073.1851573__1.1851573	357276__B6VYT9__HMPREF1063_05030
ERR1913073.1851587__1.1851587	47678__R5U558__ERS852558_02232
ERR1913073.1851757__1.1851757	1150298__A0A174DPC6__ERS852535_01374
ERR1913073.1851780__1.1851780	823__A0A173RD26__B5F32_03910
ERR1913073.1851800__1.1851800	821__A0A174V2F3__NCTC10583_01474
ERR1913073.1851809__1.1851809	40518__R5E8B6__RB5AMG_00876
ERR1913073.1851922__1.1851922	853__A0A173YYY4__DWZ04_09420
ERR1913073.1852008__1.1852008	820__A7VAR9__ERS852421_00197
ERR1913073.1852081__1.1852081	291644__I8YWR0__HMPREF1071_01375
ERR1913073.1852108__1.1852108	821__A0A174NM17__lacZ_6
ERR1913073.1852133__1.1852133	487175__R5EAP9__HMPREF9439_01753
ERR1913073.1852167__1.1852167	39491__C4Z9K7__EUBREC_0050
ERR1913073.1852265__1.1852265	1263109__GCA_000438135.1_01395
ERR1913073.1852272__1.1852272	40518__R5E2R8__nnr_2
ERR1913073.1852409__1.1852409	821__A0A173XDD3__DXB82_17180
ERR1913073.1852414__1.1852414	1628085__A0A396QC65__C7386_101113
ERR1913073.1852391__1.1852391	328813__A0A1Y3QT24__B5G41_09455
ERR1913073.1852514__1.1852514	39491__A0A395V0E5__ERE_31370
ERR1913073.1852543__1.1852543	33043__A0A173YEP6__ERS852575_00888
ERR1913073.1852623__1.1852623	1318__I1ZJ19__tilS
ERR1913073.1852641__1.1852641	33043__A0A174GGF8__dcuS_1
ERR1913073.1852687__1.1852687	28117__B0MYA9__BHV66_07790
ERR1913073.1852690__1.1852690	1262992__R5D4D2__BN795_00592
ERR1913073.1852750__1.1852750	39492__D4JTF2__mutS2
ERR1913073.1852828__1.1852828	40518__R5E5I9__yvhJ_2
ERR1913073.1852920__1.1852920	853__A0A2A7B1Y7__C7K05_11930
ERR1913073.1852972__1.1852972	1680__A0A0C2YNK5__BADO_0780
ERR1913073.1853016__1.1853016	1304__A0A1V0GIJ4__SALIVB_0248
ERR1913073.1853125__1.1853125	310298__B3JLT9__BACCOP_02886
ERR1913073.1853139__1.1853139	40518__R5DYT8__mscS
ERR1913073.1853462__1.1853462	47678__R5UUB5__ERS852558_00247
ERR1913073.1853507__1.1853507	33043__A0A174ADZ1__dcuS_1
ERR1913073.1853541__1.1853541	33043__A0A173WCG7__ERS852575_01602
ERR1913073.1853666__1.1853666	853__A0A2A7B9I6__DW855_13690
ERR1913073.1853694__1.1853694	39491__A0A395ZHV7__ykvU
ERR1913073.1853726__1.1853726	204516__U6RAM4__HMPREF1534_03439
ERR1913073.1853811__1.1853811	39491__A0A396FUZ3__phoR_1
ERR1913073.1853858__1.1853858	216816__B7GNA5__BL71B_04625
ERR1913073.1853971__1.1853971	1680__A0A1E7XZY9__DXC60_05815
ERR1913073.1854083__1.1854083	39491__A0A395UZZ5__htpG_1
ERR1913073.1854178__1.1854178	40518__R5DUU0__DXD93_03985
ERR1913073.1854148__1.1854148	39491__A0A396FRE7__EUR_27520
ERR1913073.1854260__1.1854260	871324__A0A1M6LYU7__SAMN05444350_15811
ERR1913073.1854354__1.1854354	820__A0A173WUD7__DXB48_08055
ERR1913073.1854408__1.1854408	487174__K0XLC3__HMPREF9448_01065
ERR1913073.1854622__1.1854622	28117__B0MXW9__ALIPUT_01981
ERR1913073.1854705__1.1854705	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913073.1854908__1.1854908	1680__R5GRA4__ERS852382_01548
ERR1913073.1855044__1.1855044	39492__R6RYB8__ERS852540_00322
ERR1913073.1854982__1.1854982	1318__A0A0F3H5H2__HMPREF9626_0677
ERR1913073.1855082__1.1855082	40518__R5DR72__RBL236_02110
ERR1913073.1855056__1.1855056	39491__A0A395ZM93__DXD13_03490
ERR1913073.1855205__1.1855205	28117__B0MU57__ALIPUT_00175
ERR1913073.1855208__1.1855208	88431__A6BEH2__DXB16_13325
ERR1913073.1855243__1.1855243	410072__A0A3E4GRE0__DXD67_07105
ERR1913073.1855503__1.1855503	40518__R5DT16__ysdC_2
ERR1913073.1855486__1.1855486	216816__A0A1D7MV89__EK5BL_04715
ERR1913073.1855537__1.1855537	823__A0A395YZ10__NCTC11152_02955
ERR1913073.1855572__1.1855572	40518__R5DYU1__DXD86_01160
ERR1913073.1855675__1.1855675	39488__A0A374MTU0__ERS852578_02616
ERR1913073.1855772__1.1855772	821__A0A0P0M6M0__M097_4734
ERR1913073.1855885__1.1855885	218538__C9LQG5__GCWU000321_01796
ERR1913073.1855934__1.1855934	39491__A0A395ZFH9__ERS852417_01193
ERR1913073.1856012__1.1856012	28118__R6FCJ1__mro_4
ERR1913073.1856013__1.1856013	1262992__R5DC96__BN795_01524
ERR1913073.1856272__1.1856272	310298__B3JK97__BACCOP_02326
ERR1913073.1856220__1.1856220	40518__R5DZE2__DXD86_07400
ERR1913073.1856338__1.1856338	40518__R5DZU5__RBL263_00458
ERR1913073.1856348__1.1856348	1680__A0A1E7Y0K2__DXC59_05185
ERR1913073.1856355__1.1856355	1304__A0A1W5ZCY0__CKU37_03270
ERR1913073.1856415__1.1856415	39491__A0A395ZM93__DXD13_03490
ERR1913073.1856420__1.1856420	39485__C4Z5L9__ERS852490_00668
ERR1913073.1856946__1.1856946	46506__A0A3E4UIV1__DXC34_17755
ERR1913073.1856952__1.1856952	204516__U6RFU0__HMPREF1534_02545
ERR1913073.1857073__1.1857073	39492__D4JSS4__ERS852540_02517
ERR1913073.1857135__1.1857135	626933__H1DGX0__HMPREF9449_01506
ERR1913073.1857137__1.1857137	216816__A0A0S2MI06__pepV
ERR1913073.1857105__1.1857105	40518__R5DS23__DXD86_01715
ERR1913073.1857410__1.1857410	1262992__R5D7H2__BN795_00443
ERR1913073.1857587__1.1857587	40518__R5DVL2__penA
ERR1913073.1857592__1.1857592	821__A0A0P0M5Z6__BVU_0429
ERR1913073.1857616__1.1857616	28117__B0MU58__BHV66_05630
ERR1913073.1857642__1.1857642	1262911__R6GPL1__BN557_00927
ERR1913073.1857719__1.1857719	40518__R5DV58__htrA
ERR1913073.1857736__1.1857736	39491__A0A174K265__DXB76_05915
ERR1913073.1857764__1.1857764	167481__A0A0R1QRA6__FD29_GL000703
ERR1913073.1857819__1.1857819	88431__A0A174G8Q6__ERS852526_02711
ERR1913073.1857822__1.1857822	39491__A0A396FJV5__ERS852417_00035
ERR1913073.1857857__1.1857857	905__D2RLY8__SAMN02910455_00548
ERR1913073.1857864__1.1857864	40518__R5DZC6__mreC
ERR1913073.1858023__1.1858023	328813__A0A1Y3QRL5__B5G41_11625
ERR1913073.1858011__1.1858011	246787__A0A3D6AXJ7__BACCELL_02379
ERR1913073.1858068__1.1858068	40518__R5DRG6__ylbJ
ERR1913073.1858043__1.1858043	216816__B3DRU6__DPC6323_0992
ERR1913073.1858092__1.1858092	216816__D6DBD5__DXC32_04335
ERR1913073.1858155__1.1858155	39491__A0A396FJV5__ERS852417_00035
ERR1913073.1858180__1.1858180	1263109__GCA_000438135.1_00835
ERR1913073.1858254__1.1858254	671267__R9IB12__C802_00696
ERR1913073.1858348__1.1858348	47678__A5ZBL9__C5Z00_18710
ERR1913073.1858425__1.1858425	1304__A0A2A5QD73__DDY67_01275
ERR1913073.1858453__1.1858453	28116__A7LXT7__HMPREF1070_00356
ERR1913073.1858485__1.1858485	39491__A0A396FF66__DXD95_01810
ERR1913073.1858489__1.1858489	39491__C4Z9K7__EUBREC_0050
ERR1913073.1858508__1.1858508	1680__A7A7Z9__AAX71_05385
ERR1913073.1858552__1.1858552	40518__R5DU92__DXD93_03170
ERR1913073.1858610__1.1858610	1150298__A0A174TF64__ERS852406_00108
ERR1913073.1858650__1.1858650	1150298__R7JTH7__ERS852498_00177
ERR1913073.1858724__1.1858724	1680__A0A173Y6N7__yhaH
ERR1913073.1858804__1.1858804	1680__A0A0C2YNK5__BADO_0780
ERR1913073.1858862__1.1858862	33043__A0A174BPN9__kfoC_2
ERR1913073.1858888__1.1858888	39491__A0A395V0H6__ERS852580_02570
ERR1913073.1859093__1.1859093	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913073.1859163__1.1859163	39491__A0A395V0H3__ERS852417_01192
ERR1913073.1859170__1.1859170	853__A0A2A7A4A9__C4N21_14870
ERR1913073.1859232__1.1859232	100886__E2NQ04__CATMIT_00655
ERR1913073.1859312__1.1859312	310298__B3JFI7__BACCOP_00636
ERR1913073.1859316__1.1859316	28117__B0MTI4__ALIPUT_00084
ERR1913073.1859410__1.1859410	745368__A0A1T4Y746__SAMN02745178_02815
ERR1913073.1859413__1.1859413	1262992__R5CXL9__BN795_01014
ERR1913073.1859461__1.1859461	1318__A0A3E4U4G4__CYK20_06290
ERR1913073.1859652__1.1859652	1680__A0A0B5BKZ3__DXD60_01450
ERR1913073.1859703__1.1859703	39491__A0A395ZHW9__DXC13_02590
ERR1913073.1859792__1.1859792	1550024__A0A0D8J3J4__TQ39_01275
ERR1913073.1859813__1.1859813	820__A0A139K426__B5G17_09115
ERR1913073.1859862__1.1859862	1304__W3Y4W5__AWB63_09370
ERR1913073.1859850__1.1859850	39491__A0A173SH34__EUR_24920
ERR1913073.1859831__1.1859831	853__A0A2A7AXC8__C4N21_14120
ERR1913073.1859935__1.1859935	1263109__GCA_000438135.1_00176
ERR1913073.1859970__1.1859970	28117__R7JJM9__ALIPUT_00662
ERR1913073.1859976__1.1859976	853__A0A174C5M1__CGS58_04460
ERR1913073.1860109__1.1860109	39491__A0A395V0H6__ERS852580_02570
ERR1913073.1860137__1.1860137	1150298__A0A174DU21__toxA_3
ERR1913073.1860143__1.1860143	39491__C4ZC33__DXC13_11585
ERR1913073.1860285__1.1860285	487174__K0X1D9__HMPREF9448_00919
ERR1913073.1860349__1.1860349	214856__A0A175A6T5__ERS852447_02658
ERR1913073.1860354__1.1860354	1262882__R5N1N6__BN519_00968
ERR1913073.1860424__1.1860424	88431__A0A3D0F0E5__ERS852526_03216
ERR1913073.1860423__1.1860423	88431__A0A3D0F0E5__ERS852526_03216
ERR1913073.1860529__1.1860529	820__A0A3E4RU03__M093_0563
ERR1913073.1860470__1.1860470	853__A0A174BZY1__xerD_1
ERR1913073.1860471__1.1860471	1550024__G9RX78__TQ39_04855
ERR1913073.1860479__1.1860479	39491__A0A396FEW6__T1815_18721
ERR1913073.1860555__1.1860555	823__A0A174U5E4__BDI_3390
ERR1913073.1860643__1.1860643	357276__I9G0T7__BACDOR_04266
ERR1913073.1860730__1.1860730	357276__A0A076IXE0__HMPREF1064_04364
ERR1913073.1860666__1.1860666	40518__R5DT16__ysdC_2
ERR1913073.1860830__1.1860830	39491__A0A395V0H6__ERS852580_02570
ERR1913073.1860842__1.1860842	100886__A0A174LEG5__ERS852383_05606
ERR1913073.1860826__1.1860826	39491__A0A396FJJ9__DXB76_11995
ERR1913073.1860878__1.1860878	853__C7H7F8__yccM_1
ERR1913073.1861101__1.1861101	246787__A0A0P0GG59__BcellWH2_02752
ERR1913073.1861138__1.1861138	853__A0A174C5M1__CGS58_04460
ERR1913073.1861182__1.1861182	39491__A0A174IJH1__DXB76_01865
ERR1913073.1861256__1.1861256	39491__A0A395ZM93__DXD13_03490
ERR1913073.1861279__1.1861279	39491__A0A396FUZ3__phoR_1
ERR1913073.1861232__1.1861232	853__A0A173SUU8__CGS54_06840
ERR1913073.1861474__1.1861474	357276__I9QBT7__BSEG_03340
