ERR1913153.510__1.510	454155__G5SS31__HMPREF9442_03407
ERR1913153.1484366__1.1484366	301302__R5UMB3__M72_01421
ERR1913153.1484471__1.1484471	28117__R7JIJ8__BHV66_01635
ERR1913153.1484573__1.1484573	216816__D6ZXD1__APC1461_0104
ERR1913153.1484610__1.1484610	820__A0A3E4IBC1__M094_0628
ERR1913153.1484667__1.1484667	823__A0A355XFH7__ERS852513_00769
ERR1913153.1484692__1.1484692	46228__V8CAV6__addA
ERR1913153.1484737__1.1484737	301302__R5UMU6__M72_26821
ERR1913153.1484713__1.1484713	33043__D5HI50__smf
ERR1913153.1484880__1.1484880	821__I9R3W6__DXC16_12455
ERR1913153.1484938__1.1484938	40518__R5DQD6__DXD83_09060
ERR1913153.1484964__1.1484964	2173__A0A1D2WTR0__METSMIALI_00480
ERR1913153.1484974__1.1484974	33043__A0A374K1H3__ykoD_2
ERR1913153.1484987__1.1484987	40518__R5DT16__ysdC_2
ERR1913153.1485026__1.1485026	39491__D4JMW8__ERS852497_01971
ERR1913153.1485069__1.1485069	39491__C4ZCH3__EUR_17560
ERR1913153.1485099__1.1485099	823__A6LC27__DXB14_11470
ERR1913153.1485102__1.1485102	216816__Q8G585__APC1473_0508
ERR1913153.1485190__1.1485190	1628085__A0A1C5ZCR8__C7386_10447
ERR1913153.1485167__1.1485167	418240__A0A174R660__rluD_1
ERR1913153.1485461__1.1485461	40518__A0A2N0UK36__RBATCC27255_01376
ERR1913153.1485622__1.1485622	28117__R7JG17__ALIPUT_01859
ERR1913153.1485634__1.1485634	1628085__A0A2U1B8P6__C7386_11432
ERR1913153.1485750__1.1485750	40518__R5E7G3__DXD86_03405
ERR1913153.1485830__1.1485830	28052__A0A174N8X0__ERS852499_02136
ERR1913153.1485951__1.1485951	88431__A6BFJ3__ERS852408_01680
ERR1913153.1485967__1.1485967	39491__A0A395V1R3__T1815_08181
ERR1913153.1486011__1.1486011	823__A0A395Z0N9__DHW69_05890
ERR1913153.1486127__1.1486127	40518__R5E1J7__RBL236_02062
ERR1913153.1486207__1.1486207	1150298__A0A174R918__ERS852535_01749
ERR1913153.1486209__1.1486209	1105031__J1H3W2__HMPREF1141_2783
ERR1913153.1486239__1.1486239	1796613__A0A1C7GYD6__A4V03_03700
ERR1913153.1486285__1.1486285	853__A0A173XRA8__CGS56_09290
ERR1913153.1486280__1.1486280	820__A0A396EUU8__luxQ_3
ERR1913153.1486358__1.1486358	216816__A0A133LQN7__BL15B_00780
ERR1913153.1486446__1.1486446	33043__A0A173YSY7__tilS
ERR1913153.1486466__1.1486466	1263107__GCA_000436995.1_00040
ERR1913153.1486482__1.1486482	821__A0A0P0M4G3__M099_3092
ERR1913153.1486609__1.1486609	29348__B1BZ74__DXB31_04685
ERR1913153.1486637__1.1486637	821__A0A174WBC9__ERS852556_03145
ERR1913153.1486718__1.1486718	1262886__R6Q805__BN563_00926
ERR1913153.1486802__1.1486802	28118__F9ZBG8__DHW44_04410
ERR1913153.1487038__1.1487038	823__A0A395YSW8__CF162_05645
ERR1913153.1487108__1.1487108	39492__D4JQS6__ykoD
ERR1913153.1487293__1.1487293	1160721__R6TB54__RBI_I01327
ERR1913153.1487438__1.1487438	39485__R5ZPP8__EUBELI_20334
ERR1913153.1487444__1.1487444	357276__A0A0K2HDP3__IY41_00705
ERR1913153.1487719__1.1487719	338188__R6RPM1__BACFIN_05401
ERR1913153.1487889__1.1487889	33043__A0A173ZEG7__ERS852386_01252
ERR1913153.1488146__1.1488146	820__A0A374QGD2__ERS852421_02382
ERR1913153.1488165__1.1488165	487174__K0X909__HMPREF9448_01469
ERR1913153.1488226__1.1488226	39491__A0A395V464__EUBREC_1509
ERR1913153.1488407__1.1488407	823__A0A395YVY3__ERS852513_03204
ERR1913153.1488455__1.1488455	28116__A7LS02__DXF98_24100
ERR1913153.1488517__1.1488517	301302__R5UUM8__ganB_1
ERR1913153.1488538__1.1488538	40518__R5DZE2__DXD86_07400
ERR1913153.1488561__1.1488561	820__A0A174CG08__DXB62_13215
ERR1913153.1488709__1.1488709	40519__U2MCQ8__RUMCAL_00556
ERR1913153.1488768__1.1488768	1897011__A0A1Q6RCU3__BHW41_05920
ERR1913153.1488756__1.1488756	39485__C4Z6E8__EUBELI_20395
ERR1913153.1488759__1.1488759	820__A0A174A6K0__M093_0079
ERR1913153.1488878__1.1488878	1550024__A0A0D8J3J4__TQ39_01275
ERR1913153.1489096__1.1489096	360807__C0FPW0__ROSEINA2194_00763
ERR1913153.1489109__1.1489109	28117__B0MU76__ALIPUT_00202
ERR1913153.1489111__1.1489111	820__A0A374Q854__HMPREF1073_03281
ERR1913153.1489180__1.1489180	33043__A0A174EI47__inlJ
ERR1913153.1489218__1.1489218	820__A0A174F0C1__nreB
ERR1913153.1489203__1.1489203	338188__C9L1Z4__ERS852397_00648
ERR1913153.1489369__1.1489369	745368__A0A1T4Y443__SAMN02745178_02724
ERR1913153.1489411__1.1489411	33043__D5HFA1__ERS852400_02183
ERR1913153.1489548__1.1489548	40518__R5DXI4__DXD86_07420
ERR1913153.1489562__1.1489562	820__A0A139KJ23__celCCA
ERR1913153.1489709__1.1489709	301301__A0A395VA18__RHOM_11700
ERR1913153.1489898__1.1489898	1262911__R6GY78__BN557_00532
ERR1913153.1489986__1.1489986	28111__E5WYC3__NCTC11155_03517
ERR1913153.1490226__1.1490226	46503__K5ZX50__dnaG_1
ERR1913153.1490179__1.1490179	1897011__A0A1Q6RC92__BHW41_06320
ERR1913153.1490325__1.1490325	216816__C5E9N8__DD678_02795
ERR1913153.1490417__1.1490417	39492__D4JWG6__EUBSIR_00253
ERR1913153.1490690__1.1490690	328814__GCA_004558275.1_00035
ERR1913153.1490805__1.1490805	823__A6LBY1__ERS852380_00510
ERR1913153.1490972__1.1490972	301302__R5UNJ6__M72_26701
ERR1913153.1491167__1.1491167	239935__A0A2N8IAZ5__xseA
ERR1913153.1491232__1.1491232	301302__A0A0M6X038__M72_18501
ERR1913153.1491300__1.1491300	853__R6QDR1__C4N27_08170
ERR1913153.1491284__1.1491284	820__A0A3E4G826__C801_01612
ERR1913153.1491411__1.1491411	40518__R5DQJ0__DXD93_03790
ERR1913153.1491476__1.1491476	301302__R5UQK8__M72_11501
ERR1913153.1491553__1.1491553	387661__K5ZS68__PRABACTJOHN_02984
ERR1913153.1491626__1.1491626	1150298__A0A174J629__ERS852498_00833
ERR1913153.1491647__1.1491647	1262743__R5C054__BN727_01980
ERR1913153.1491914__1.1491914	410072__A0A173Y4Y6__ERS852389_02300
ERR1913153.1491958__1.1491958	823__D0TAX5__HMPREF1075_01064
ERR1913153.1491972__1.1491972	821__A0A174V2F3__NCTC10583_01474
ERR1913153.1492231__1.1492231	821__A0A396F1N0__M099_1553
ERR1913153.1492268__1.1492268	28117__B0MUB3__ALIPUT_00727
ERR1913153.1492297__1.1492297	820__A0A174A6K0__M093_0079
ERR1913153.1492340__1.1492340	40518__R5E670__DXD93_06195
ERR1913153.1492369__1.1492369	28117__B0MXX2__ALIPUT_01984
ERR1913153.1492757__1.1492757	301302__A0A173RZU9__M72_23561
ERR1913153.1492952__1.1492952	853__A0A173T8T3__DW882_06555
ERR1913153.1493009__1.1493009	40518__R5DYU1__DXD86_01160
ERR1913153.1493047__1.1493047	216816__A0A1D7MV89__EK5BL_04715
ERR1913153.1493282__1.1493282	821__C6Z087__DXB90_00750
ERR1913153.1493241__1.1493241	88431__A0A174UTT9__clcA
ERR1913153.1493306__1.1493306	823__A0A395YRE1__DXC05_20005
ERR1913153.1493359__1.1493359	28111__R5JN40__HMPREF1016_01803
ERR1913153.1493632__1.1493632	818__A0A396EA53__ERS852557_04332
ERR1913153.1493554__1.1493554	820__A0A139K5A6__DXB48_12175
ERR1913153.1493669__1.1493669	39496__A5Z5I2__EUBVEN_00963
ERR1913153.1493821__1.1493821	46228__V8BLW9__DXD17_14090
ERR1913153.1493778__1.1493778	1680__A0A1X2ZFB6__AD0028_0856
ERR1913153.1493921__1.1493921	301302__R5VE56__M72_25941
ERR1913153.1493957__1.1493957	1897011__A0A1Q6REU8__BHW41_04300
ERR1913153.1494055__1.1494055	1262886__R6QNZ2__BN563_00672
ERR1913153.1494111__1.1494111	556259__I0PXW0__BSGG_5187
ERR1913153.1494208__1.1494208	853__A0A173T8T3__DW882_06555
ERR1913153.1494217__1.1494217	820__A0A173W419__DXC68_17760
ERR1913153.1494376__1.1494376	40518__R5E1J7__RBL236_02062
ERR1913153.1494441__1.1494441	371601__D7J175__DXD03_05675
ERR1913153.1494664__1.1494664	820__A0A3E4W4Y7__B5G17_02055
ERR1913153.1494873__1.1494873	88431__A0A3D0F1H3__ERS852573_02429
ERR1913153.1494880__1.1494880	40518__R5E7S2__RBL263_00671
ERR1913153.1494972__1.1494972	33043__A0A173SQ62__ERS852575_01610
ERR1913153.1495003__1.1495003	116085__D4J6G4__DW747_13800
ERR1913153.1494964__1.1494964	40518__R5DN55__RBATCC27255_01652
ERR1913153.1495084__1.1495084	33043__D5HIK4__ERS852400_01112
ERR1913153.1495214__1.1495214	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913153.1495392__1.1495392	820__A0A174Q0F0__DXB48_08080
ERR1913153.1495394__1.1495394	1150298__R7JTX5__ERS852535_01291
ERR1913153.1495421__1.1495421	301302__A0A173UN64__manA_2
ERR1913153.1495511__1.1495511	1262886__R6QCW6__BN563_01608
ERR1913153.1495480__1.1495480	33043__D5HIL5__ERS852445_01761
ERR1913153.1495672__1.1495672	821__A0A174AYT0__DXC02_03530
ERR1913153.1495718__1.1495718	39492__D4JWA3__ERS852540_01332
ERR1913153.1495937__1.1495937	626932__G5H8A5__HMPREF9450_01165
ERR1913153.1495951__1.1495951	1150298__A0A174B7I7__ERS852535_01258
ERR1913153.1495960__1.1495960	39496__A5Z937__EUBVEN_02230
ERR1913153.1495917__1.1495917	39491__A0A396FTE5__ERS852417_01346
ERR1913153.1496030__1.1496030	820__A0A3E4G3J9__ERS852459_02265
ERR1913153.1496117__1.1496117	100886__E2NPX9__ERS852383_03583
ERR1913153.1496206__1.1496206	338188__R6S8N0__BACFIN_06127
ERR1913153.1496325__1.1496325	1378168__V2YA11__N510_02528
ERR1913153.1496379__1.1496379	39491__A0A395V0H3__ERS852417_01192
ERR1913153.1496805__1.1496805	39492__D4JVG7__ERS852540_00946
ERR1913153.1497337__1.1497337	46503__R6Y2Y6__ERS852463_03103
ERR1913153.1497478__1.1497478	820__A7V780__adaA_3
ERR1913153.1497522__1.1497522	1262911__R6H212__BN557_01031
ERR1913153.1497677__1.1497677	39492__D4JRX7__EUBSIR_01480
ERR1913153.1497787__1.1497787	216816__A0A2U0BT35__BL1206_1860
ERR1913153.1498049__1.1498049	39492__D4JQY4__EUBSIR_01325
ERR1913153.1498068__1.1498068	40518__R5DU52__RB5AMG_02245
ERR1913153.1498232__1.1498232	216816__A0A396FVC5__BL71B_00290
ERR1913153.1498268__1.1498268	47678__R5U9X5__BACCAC_01339
ERR1913153.1498289__1.1498289	216816__A0A0M0VKE6__BL0626
ERR1913153.1498293__1.1498293	1262886__R6QPP8__BN563_00924
ERR1913153.1498385__1.1498385	1897011__A0A1Q6RHX0__BHW41_00740
ERR1913153.1498493__1.1498493	47678__R5UZM4__DW706_15680
ERR1913153.1498785__1.1498785	47678__R5U7T0__CGC64_00755
ERR1913153.1499015__1.1499015	301302__A0A0M6WGI7__M72_20931
ERR1913153.1499085__1.1499085	40518__R5DUU2__yvhJ_2
ERR1913153.1499202__1.1499202	820__A0A174QT76__B5G17_18060
ERR1913153.1499238__1.1499238	338188__K5CHU1__ERS852397_02431
ERR1913153.1499309__1.1499309	46506__R6AEP1__HMPREF1181_01415
ERR1913153.1499402__1.1499402	28116__A0A1Y4Q112__evgS_13
ERR1913153.1499362__1.1499362	1262915__R6HNH6__BN574_00898
ERR1913153.1499379__1.1499379	821__R6F3Y1__SAMN04487923_104318
ERR1913153.1499409__1.1499409	46228__V8CH54__RUMLAC_00903
ERR1913153.1499483__1.1499483	28111__E5X237__NCTC11155_00628
ERR1913153.1499540__1.1499540	1262886__R6QIW7__BN563_00997
ERR1913153.1499568__1.1499568	301302__R5UMB3__M72_01421
ERR1913153.1499599__1.1499599	301302__A0A173TNM6__luxQ
ERR1913153.1499676__1.1499676	74426__group_4823
ERR1913153.1499697__1.1499697	338188__A0A174ETX3__ERS852397_01955
ERR1913153.1499968__1.1499968	820__A7V092__hldE
ERR1913153.1500023__1.1500023	649756__D4MWR2__sigA
ERR1913153.1500087__1.1500087	821__A0A0P0M2J4__DXD46_10295
ERR1913153.1500093__1.1500093	1262992__R5CXL9__BN795_01014
ERR1913153.1500180__1.1500180	1150298__A0A174DU21__toxA_3
ERR1913153.1500185__1.1500185	39496__A5Z9A6__EUBVEN_02301
ERR1913153.1500221__1.1500221	572010__rpoA
ERR1913153.1500349__1.1500349	301302__A0A0M6W9I4__M72_19871
ERR1913153.1500714__1.1500714	1680__A0A2R4G1K8__BBMN23_0315
ERR1913153.1500702__1.1500702	47678__A5ZB44__C5Z00_17730
ERR1913153.1500781__1.1500781	100886__E2NS04__ERS852383_04089
ERR1913153.1500797__1.1500797	821__A6L0C7__ERS852556_03520
ERR1913153.1500911__1.1500911	410072__A0A173XQG6__ERS852574_01620
ERR1913153.1501003__1.1501003	214856__A0A173ZS19__ERS852447_00954
ERR1913153.1501022__1.1501022	39491__A0A395V0H6__ERS852580_02570
ERR1913153.1501064__1.1501064	1262886__R6Q946__BN563_00499
ERR1913153.1501261__1.1501261	40518__R5DME2__DXD86_07315
ERR1913153.1501379__1.1501379	301302__R5UTG6__M72_25801
ERR1913153.1501391__1.1501391	28117__R7JR95__ALIPUT_01367
ERR1913153.1501423__1.1501423	338188__A0A174ADB6__rfbE
ERR1913153.1501427__1.1501427	33043__A0A173WXS1__ERS852445_00262
ERR1913153.1501502__1.1501502	338188__R6S978__HMPREF1057_03708
ERR1913153.1501489__1.1501489	821__A0A174NM17__lacZ_6
ERR1913153.1501490__1.1501490	820__A0A396EWL3__ERS417307_03868
ERR1913153.1501554__1.1501554	39488__A0A173TCD3__lytR_1
ERR1913153.1501557__1.1501557	630129__A0A087B617__BKAS_1320
ERR1913153.1501674__1.1501674	1150298__A0A174LLX0__dhaD
ERR1913153.1501675__1.1501675	39488__C0EY05__EUBHAL_02306
ERR1913153.1501684__1.1501684	40518__R5E6G1__DXD83_06815
ERR1913153.1501811__1.1501811	46228__V8CD18__DXD17_11645
ERR1913153.1502032__1.1502032	39491__A0A395V0X2__EUBREC_3007
ERR1913153.1502044__1.1502044	40518__R5DU92__DXD93_03170
ERR1913153.1502084__1.1502084	2173__A0A1D2WVF8__Msm_1030
ERR1913153.1502059__1.1502059	40518__R5DQD6__DXD83_09060
ERR1913153.1502230__1.1502230	310298__B3JQJ5__BACCOP_04231
ERR1913153.1502269__1.1502269	246787__A0A139LTD3__BACCELL_01107
ERR1913153.1502319__1.1502319	1262743__R5C054__BN727_01980
ERR1913153.1502336__1.1502336	1262886__R6QKS8__BN563_01572
ERR1913153.1502383__1.1502383	40518__R5DZM6__lytR_3
ERR1913153.1502432__1.1502432	46503__R6WYJ8__DXB85_13825
ERR1913153.1502941__1.1502941	328814__GCA_004558275.1_01330
ERR1913153.1503066__1.1503066	216816__A0A061M1M5__HMPREF0177_01046
ERR1913153.1503109__1.1503109	1160721__W0U4D5__RBI_I01230
ERR1913153.1503110__1.1503110	418240__C6J8M5__yiaD
ERR1913153.1503247__1.1503247	1262886__R6Q6H1__BN563_00492
ERR1913153.1503322__1.1503322	301302__A0A0M6X0D2__cpsB_2
ERR1913153.1503361__1.1503361	410072__A0A173SWT8__ERS852389_01443
ERR1913153.1503372__1.1503372	28111__E5X237__NCTC11155_00628
ERR1913153.1503378__1.1503378	1780376__A0A143XQT4__BN3659_01658
ERR1913153.1503561__1.1503561	823__A0A395YY84__DXC05_19515
ERR1913153.1503592__1.1503592	410072__A0A174E1G6__phoR_6
ERR1913153.1503663__1.1503663	1262911__R6H2J2__BN557_01228
ERR1913153.1503754__1.1503754	40518__R5DYU1__DXD86_01160
ERR1913153.1503786__1.1503786	100886__A0A174GMU3__dnaI
ERR1913153.1503817__1.1503817	47678__R5U7X8__C5Z00_18270
ERR1913153.1503871__1.1503871	100886__A0A174HSH4__CATMIT_02717
ERR1913153.1503875__1.1503875	40518__R5E2R8__nnr_2
ERR1913153.1503949__1.1503949	28111__R5JPF7__BACEGG_02051
ERR1913153.1504063__1.1504063	39492__D4JVC7__yfgF
ERR1913153.1504114__1.1504114	239935__B2UNC5__B5G29_07685
ERR1913153.1504340__1.1504340	820__A0A139KEW8__DXB64_06405
ERR1913153.1504477__1.1504477	28116__A0A1Y4PWN5__M088_3731
ERR1913153.1504492__1.1504492	40518__R5E4X1__DXD93_05270
ERR1913153.1504525__1.1504525	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913153.1504569__1.1504569	28117__B0MY40__BHV66_05170
ERR1913153.1504575__1.1504575	301302__A0A0M6WIU8__M72_26811
ERR1913153.1504638__1.1504638	28111__E5WVR8__NCTC11155_02792
ERR1913153.1504709__1.1504709	39491__A0A174K9A3__DXB69_07785
ERR1913153.1504685__1.1504685	1262886__R6QPV6__BN563_00989
ERR1913153.1504760__1.1504760	47678__R5UAI1__BACCAC_01922
ERR1913153.1504851__1.1504851	821__A6L0C7__ERS852556_03520
ERR1913153.1504863__1.1504863	418240__A0A174MZV1__ERS852523_01489
ERR1913153.1504873__1.1504873	1262886__R6Q824__BN563_00941
ERR1913153.1505416__1.1505416	28111__E5WYC3__NCTC11155_03517
ERR1913153.1505528__1.1505528	1262824__R6RN55__BN719_00811
ERR1913153.1505556__1.1505556	216816__B7GPE8__I118_0062
ERR1913153.1505602__1.1505602	40518__R5DTG5__RBATCC27255_00890
ERR1913153.1505684__1.1505684	823__D7ILK2__ERS852380_00031
ERR1913153.1505717__1.1505717	33043__D5HDL8__ERS852575_02529
ERR1913153.1505728__1.1505728	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913153.1506148__1.1506148	216816__D6ZSV1__CE169_00930
ERR1913153.1506206__1.1506206	2173__A5UNY6__BK798_04575
ERR1913153.1506398__1.1506398	853__A0A2A7A628__CGS57_13755
ERR1913153.1506460__1.1506460	40518__R5DUJ5__DXD83_01635
ERR1913153.1506618__1.1506618	33025__A0A395JDV3__C8D73_101685
ERR1913153.1506635__1.1506635	40518__R5DVL2__penA
ERR1913153.1506671__1.1506671	28111__R5K5Y0__NCTC11155_03071
ERR1913153.1506718__1.1506718	376805__F0R8H8__Bacsa_0435
ERR1913153.1506767__1.1506767	1262886__R6QJF6__BN563_01169
ERR1913153.1506836__1.1506836	40518__R5E4X5__RB5AMG_01438
ERR1913153.1506838__1.1506838	39491__A0A174LTW7__DXD13_08720
ERR1913153.1507228__1.1507228	820__A0A139KHX1__HMPREF2141_00289
ERR1913153.1507232__1.1507232	823__A0A355XFH7__ERS852513_00769
ERR1913153.1507272__1.1507272	88431__A0A3D0F0I7__DORLON_00967
ERR1913153.1507336__1.1507336	820__A0A139KA34__B5G17_05520
ERR1913153.1507385__1.1507385	338188__C9L1Z5__ERS852397_00647
ERR1913153.1507484__1.1507484	1262911__R6H0U7__BN557_01104
ERR1913153.1507680__1.1507680	166486__D4L0E1__ypdA_4
ERR1913153.1507755__1.1507755	820__A0A174CG08__DXB62_13215
ERR1913153.1507780__1.1507780	1262824__R6RHI6__BN719_01689
ERR1913153.1507887__1.1507887	28111__E5WYP5__BACEGG_00185
ERR1913153.1507897__1.1507897	301302__R5UQK8__M72_11501
ERR1913153.1508006__1.1508006	820__A0A3E4WCX3__C801_02709
ERR1913153.1508086__1.1508086	33043__D5HDL8__ERS852575_02529
ERR1913153.1508224__1.1508224	39491__A0A395ZKJ0__DXD13_11010
ERR1913153.1508426__1.1508426	1150298__A0A174N5I7__ERS852498_01953
ERR1913153.1508492__1.1508492	46228__B5CP97__RUMLAC_01288
ERR1913153.1508548__1.1508548	820__A0A396EXA7__DXB37_15530
ERR1913153.1508583__1.1508583	46503__R6X5E7__PARMER_00245
ERR1913153.1508622__1.1508622	853__A0A173RZ39__C4N22_01650
ERR1913153.1508672__1.1508672	853__A0A174C5M1__CGS58_04460
ERR1913153.1508727__1.1508727	39491__A0A396FUZ3__phoR_1
ERR1913153.1508818__1.1508818	40518__R5E2F3__artQ
ERR1913153.1508886__1.1508886	820__A0A374QGD2__ERS852421_02382
ERR1913153.1508859__1.1508859	823__A0A395YRW4__DD466_15895
ERR1913153.1509011__1.1509011	39491__A0A396FIU1__DXC13_07905
ERR1913153.1509118__1.1509118	40518__R5DTH7__DXD83_02405
ERR1913153.1509165__1.1509165	821__A6L0C7__ERS852556_03520
ERR1913153.1509127__1.1509127	1150298__A0A174U8I6__ERS852535_02809
ERR1913153.1509250__1.1509250	387661__B7B704__B5F96_16210
ERR1913153.1509350__1.1509350	39491__C4ZD70__LD38_03510
ERR1913153.1509401__1.1509401	1262886__R6Q9D7__BN563_00573
ERR1913153.1509506__1.1509506	1680__A0A087DLC6__C8077_00815
ERR1913153.1509679__1.1509679	216816__E8MVC5__B5787_1493
ERR1913153.1509690__1.1509690	39492__D4JRR5__ERS852540_02089
ERR1913153.1509799__1.1509799	39491__A0A395V1R3__T1815_08181
ERR1913153.1509815__1.1509815	28111__E5WYP5__BACEGG_00185
ERR1913153.1509825__1.1509825	1262911__R6GZX7__BN557_00838
ERR1913153.1509872__1.1509872	820__A0A3E4WCC2__lptB_1
ERR1913153.1509891__1.1509891	301302__R5UQK8__M72_11501
ERR1913153.1510332__1.1510332	106588__A6NXS6__BACCAP_03021
ERR1913153.1510401__1.1510401	1150298__A0A174MFX3__ERS852498_01752
ERR1913153.1510381__1.1510381	40518__R5DUJ5__DXD83_01635
ERR1913153.1510484__1.1510484	821__A6L0C7__ERS852556_03520
ERR1913153.1510629__1.1510629	820__R9I324__HMPREF2141_02414
ERR1913153.1510566__1.1510566	1262886__R6QHT9__BN563_00630
ERR1913153.1510641__1.1510641	40518__R5DLJ7__lytR_4
ERR1913153.1510729__1.1510729	40518__R5DTP7__DXD83_02415
ERR1913153.1510867__1.1510867	820__A0A1T4IYF4__mprA_1
ERR1913153.1510891__1.1510891	40518__R5E426__DXD93_04485
ERR1913153.1510928__1.1510928	28117__B0MUX4__ALIPUT_00911
ERR1913153.1511083__1.1511083	301301__A0A395VEJ3__hupR1
ERR1913153.1511091__1.1511091	40518__R5DQW8__sipW_2
ERR1913153.1511252__1.1511252	33025__A0A395J911__C8D73_1145
ERR1913153.1511353__1.1511353	820__A0A139K5A6__DXB48_12175
ERR1913153.1511319__1.1511319	292800__A0A096B9D4__HMPREF0372_02292
ERR1913153.1511480__1.1511480	1680__A0A087DHN0__AL0462_1532
ERR1913153.1511624__1.1511624	1150298__A0A174DU21__toxA_3
ERR1913153.1511595__1.1511595	40518__R5DMC7__blaR1
ERR1913153.1511848__1.1511848	40518__R5E328__DXD86_08885
ERR1913153.1511872__1.1511872	823__D0TAX5__HMPREF1075_01064
ERR1913153.1511877__1.1511877	100886__E2NP92__CATMIT_00376
ERR1913153.1512054__1.1512054	418240__C6J879__ERS852523_04053
ERR1913153.1512070__1.1512070	1150298__A0A174HHW8__yhbU_1
ERR1913153.1512172__1.1512172	40518__R5DS23__DXD86_01715
ERR1913153.1512218__1.1512218	338188__R6RWS7__HMPREF1057_00911
ERR1913153.1512490__1.1512490	310298__B3JQJ5__BACCOP_04231
ERR1913153.1512575__1.1512575	39491__A0A396FJJ9__DXB76_11995
ERR1913153.1512677__1.1512677	40518__R5DU38__DXD83_06770
ERR1913153.1512802__1.1512802	823__A0A355XN73__DXC05_07000
ERR1913153.1512902__1.1512902	823__E1YSG0__DHP27_00465
ERR1913153.1513020__1.1513020	820__A0A139KIL9__DXC68_05945
ERR1913153.1513087__1.1513087	818__A0A0P0FKC9__Btheta7330_01050
ERR1913153.1513126__1.1513126	169435__A0A174N3Q8__DXC40_17870
ERR1913153.1513533__1.1513533	40520__A0A395ZVL9__DXD81_13855
ERR1913153.1513565__1.1513565	40518__R5E426__DXD93_04485
ERR1913153.1513852__1.1513852	40518__R5DXH2__DXD83_10135
ERR1913153.1513905__1.1513905	28116__F7L4N5__BACOVA_00137
ERR1913153.1514021__1.1514021	1150298__A0A174Q6Q0__ERS852406_00063
ERR1913153.1514069__1.1514069	40518__R5DYU1__DXD86_01160
ERR1913153.1514097__1.1514097	1150298__A0A174DX06__ERS852498_00491
ERR1913153.1514228__1.1514228	40518__R5DU38__DXD83_06770
ERR1913153.1514231__1.1514231	821__D4VC51__M099_1508
ERR1913153.1514396__1.1514396	820__A0A174G065__DXB62_08975
ERR1913153.1514419__1.1514419	1263006__R6LU28__BN515_01365
ERR1913153.1514424__1.1514424	39491__A0A395V0H3__ERS852417_01192
ERR1913153.1514547__1.1514547	1262886__R6Q892__BN563_01001
ERR1913153.1514550__1.1514550	823__A0A073IAS1__M091_0201
ERR1913153.1514558__1.1514558	39491__A0A395ZG74__licR
ERR1913153.1514617__1.1514617	40518__R5DR72__RBL236_02110
ERR1913153.1514672__1.1514672	1262924__R7HQN1__BN585_00550
ERR1913153.1514921__1.1514921	46503__R5DDT4__DD461_14650
ERR1913153.1515036__1.1515036	33043__D5HF09__ERS852575_02732
ERR1913153.1515153__1.1515153	823__D7IUM6__M091_1082
ERR1913153.1515578__1.1515578	1262743__R5C054__BN727_01980
ERR1913153.1515620__1.1515620	40518__R5DRG6__ylbJ
ERR1913153.1515717__1.1515717	40518__R5DT16__ysdC_2
ERR1913153.1515787__1.1515787	40518__R5DZ88__DXD93_06320
ERR1913153.1515827__1.1515827	39496__A5Z9A6__EUBVEN_02301
ERR1913153.1515914__1.1515914	410072__A0A174J5N8__sbcC
ERR1913153.1515927__1.1515927	821__E5UY21__C800_02204
ERR1913153.1515967__1.1515967	74426__asnS
ERR1913153.1516102__1.1516102	301302__A0A0M6WH46__M72_23101
ERR1913153.1516149__1.1516149	216816__A0A395XZB7__DXD37_04075
ERR1913153.1516182__1.1516182	821__A0A0P0M405__DXC02_15075
ERR1913153.1516192__1.1516192	47678__R5UU99__C5Z00_11925
ERR1913153.1516236__1.1516236	88431__A0A3D0EZN6__DORLON_02944
ERR1913153.1516348__1.1516348	28111__E5X119__NCTC11155_02426
ERR1913153.1516471__1.1516471	40518__R5DP61__DXD86_06345
ERR1913153.1516665__1.1516665	28118__F9ZBV2__NCTC10826_00352
ERR1913153.1516698__1.1516698	1150298__A0A174LKY6__ERS852535_00447
ERR1913153.1516705__1.1516705	1160721__R6SW83__BHW50_08845
ERR1913153.1516742__1.1516742	1262886__R6Q824__BN563_00941
ERR1913153.1516774__1.1516774	853__A8SCP3__C4N26_07960
ERR1913153.1516843__1.1516843	28111__E5WWI8__HMPREF1016_01036
ERR1913153.1516851__1.1516851	1150298__A0A174HB98__ERS852406_02617
ERR1913153.1517027__1.1517027	39491__C4Z872__LD38_07250
ERR1913153.1517053__1.1517053	46228__B5CKT3__RUMLAC_00047
ERR1913153.1517191__1.1517191	853__A0A173XRA8__CGS56_09290
ERR1913153.1517254__1.1517254	39492__D4JWL2__ERS852540_01201
ERR1913153.1517303__1.1517303	100886__A0A174MX77__fruA_1
ERR1913153.1517278__1.1517278	357276__A0A076IS26__EL88_15950
ERR1913153.1517373__1.1517373	28111__E5X237__NCTC11155_00628
ERR1913153.1517404__1.1517404	100886__A0A174K8B7__lolD_6
ERR1913153.1517667__1.1517667	820__A0A139KH21__DXC80_01780
ERR1913153.1517744__1.1517744	820__A0A174NUS8__DXC80_12885
ERR1913153.1517915__1.1517915	853__A0A329UEG4__CHR60_00585
ERR1913153.1517894__1.1517894	28118__F9ZBL7__DER54_00840
