ERR1913311.69__1.69	410072__A0A3E4GMB7__COPCOM_03357
ERR1913311.1046443__1.1046443	1262924__R7HQP2__BN585_01509
ERR1913311.1046500__1.1046500	418240__C6JD47__ERS852523_00908
ERR1913311.1046523__1.1046523	39492__A0A174ZG93__EUBSIR_00254
ERR1913311.1046621__1.1046621	821__R6F3Y1__SAMN04487923_104318
ERR1913311.1046673__1.1046673	39491__A0A2U2EED4__ERS852580_01584
ERR1913311.1046688__1.1046688	1262913__R7JG60__BN646_02159
ERR1913311.1046696__1.1046696	371601__C3QME2__CW1_3650
ERR1913311.1046739__1.1046739	39492__D4JUJ6__ssuB_2
ERR1913311.1046837__1.1046837	39492__D4JSS2__EUBSIR_00553
ERR1913311.1046930__1.1046930	394340__glnA_1
ERR1913311.1046913__1.1046913	1263005__R6FJ38__BN497_01471
ERR1913311.1047038__1.1047038	1262913__R7JDC4__BN646_01827
ERR1913311.1046997__1.1046997	1735__B7C9Q5__EUBIFOR_00915
ERR1913311.1047002__1.1047002	39492__D4JV86__spoIIE
ERR1913311.1047105__1.1047105	1262882__R5MIQ8__BN519_01036
ERR1913311.1047283__1.1047283	1262889__R7HGV8__BN634_01881
ERR1913311.1047331__1.1047331	360807__C0FZ41__ROSEINA2194_04031
ERR1913311.1047452__1.1047452	28116__A0A1G6G396__DXD69_22115
ERR1913311.1047461__1.1047461	821__A0A395US34__C5Z04_18975
ERR1913311.1047506__1.1047506	239935__A0A139TLF5__CXU18_06685
ERR1913311.1047526__1.1047526	1262913__R7JGK9__BN646_01865
ERR1913311.1047555__1.1047555	46228__B5CSA1__HMPREF1202_00678
ERR1913311.1047648__1.1047648	1105031__J1H3W2__HMPREF1141_2783
ERR1913311.1047703__1.1047703	39492__D4JVG7__ERS852540_00946
ERR1913311.1047907__1.1047907	214856__E4MF20__Alfi_0697
ERR1913311.1047942__1.1047942	39492__D4JWG3__EUBSIR_00308
ERR1913311.1047952__1.1047952	46228__V8CBI3__RUMLAC_02492
ERR1913311.1047995__1.1047995	39485__A0A174Z2N7__EUBELI_02062
ERR1913311.1048084__1.1048084	28116__A0A1Y4PHM7__DXA80_25130
ERR1913311.1048143__1.1048143	47678__R5UER2__CGC64_00710
ERR1913311.1048278__1.1048278	39492__D4JRZ7__smc
ERR1913311.1048606__1.1048606	39492__D4JQS7__ERS852540_01645
ERR1913311.1048691__1.1048691	40518__R5DXH2__DXD83_10135
ERR1913311.1048715__1.1048715	1150298__A0A173ZPH3__rnhA
ERR1913311.1048761__1.1048761	1262924__R7HRE7__BN585_00055
ERR1913311.1048842__1.1048842	1262924__R7HQD9__BN585_00129
ERR1913311.1048885__1.1048885	39492__A0A174ZG93__EUBSIR_00254
ERR1913311.1049330__1.1049330	1262924__R7HU74__BN585_00690
ERR1913311.1049513__1.1049513	820__A0A173YYG4__evgS_3
ERR1913311.1049533__1.1049533	301301__A0A395V9A0__RHOM_08800
ERR1913311.1049733__1.1049733	39492__D4JW10__pppA
ERR1913311.1049892__1.1049892	1262882__R5MZZ3__BN519_00482
ERR1913311.1050088__1.1050088	39492__D4JS46__EUBSIR_02553
ERR1913311.1050170__1.1050170	39492__D4JTW7__EUBSIR_00859
ERR1913311.1050240__1.1050240	39491__A0A395ZGU6__ERS852417_01456
ERR1913311.1050242__1.1050242	40518__R5DPE0__DXD86_06515
ERR1913311.1050269__1.1050269	1262882__R5MLA4__BN519_01536
ERR1913311.1050598__1.1050598	410072__A0A173XU61__ykvU
ERR1913311.1050612__1.1050612	1262919__R5PF42__BN465_00151
ERR1913311.1050659__1.1050659	357276__I9FRW5__B5F95_21685
ERR1913311.1050691__1.1050691	39491__A0A395ZHW9__DXC13_02590
ERR1913311.1050728__1.1050728	40518__R5DN55__RBATCC27255_01652
ERR1913311.1050973__1.1050973	1262882__R5MFY4__BN519_00529
ERR1913311.1050979__1.1050979	39492__D4JR31__EUBSIR_00106
ERR1913311.1051034__1.1051034	1262913__R7JAA9__BN646_01000
ERR1913311.1051062__1.1051062	39485__C4Z6K2__ERS852490_00407
ERR1913311.1051076__1.1051076	1262913__R7JHR3__BN646_02361
ERR1913311.1051106__1.1051106	46228__B5CLE1__HMPREF1202_01861
ERR1913311.1051124__1.1051124	1262882__R5MM90__BN519_01721
ERR1913311.1051132__1.1051132	214856__I3YMC8__ERS852447_02666
ERR1913311.1051270__1.1051270	1263005__R6EQ57__BN497_00378
ERR1913311.1051333__1.1051333	216816__D6D9J4__DPC6320_0487
ERR1913311.1051356__1.1051356	46228__V8BYC1__RUMLAC_00426
ERR1913311.1051434__1.1051434	47678__A5ZB44__C5Z00_17730
ERR1913311.1051393__1.1051393	39492__D4JQY4__EUBSIR_01325
ERR1913311.1051545__1.1051545	39492__D4JWM0__atpF
ERR1913311.1051548__1.1051548	39492__D4JT68__spoIIIE
ERR1913311.1051633__1.1051633	40518__R5DUU2__yvhJ_2
ERR1913311.1051595__1.1051595	1262882__R5MYS0__BN519_00284
ERR1913311.1051708__1.1051708	823__A0A073I5R7__cloSI
ERR1913311.1051816__1.1051816	853__A0A3E2U7E6__ERS852582_01640
ERR1913311.1052044__1.1052044	823__A0A355XLQ9__DXC05_02185
ERR1913311.1052195__1.1052195	39491__A0A2U2EKL1__ERS852580_00911
ERR1913311.1052185__1.1052185	166486__D4L1H3__sacC
ERR1913311.1052262__1.1052262	1262882__R5N3H1__BN519_01121
ERR1913311.1052266__1.1052266	214856__A0A174ZER9__ERS852559_00614
ERR1913311.1052416__1.1052416	46228__V8CE24__thiD
ERR1913311.1052563__1.1052563	821__A0A174V2F3__NCTC10583_01474
ERR1913311.1052602__1.1052602	1262882__R5N3T7__BN519_01188
ERR1913311.1052649__1.1052649	28116__A0A3D2LWY1__ERS852555_01619
ERR1913311.1052686__1.1052686	1262924__R7HQD9__BN585_00129
ERR1913311.1052707__1.1052707	357276__I8VN30__HMPREF1065_03051
ERR1913311.1052726__1.1052726	1262913__R7J4R5__BN646_00631
ERR1913311.1052738__1.1052738	28116__A0A0J9IIV5__M089_5519
ERR1913311.1052930__1.1052930	384639__GCA_003096855.1_00996
ERR1913311.1053043__1.1053043	487175__R5EIB6__HMPREF9439_01345
ERR1913311.1052996__1.1052996	46228__V8BSH8__HMPREF1202_02173
ERR1913311.1053068__1.1053068	301301__A0A173Z460__sunS_1
ERR1913311.1053215__1.1053215	1262924__R7HNT3__BN585_00018
ERR1913311.1053285__1.1053285	166486__D4KUC4__arcB_1
ERR1913311.1053313__1.1053313	39492__D4JWJ4__EUBSIR_01090
ERR1913311.1053359__1.1053359	39492__D4MIK7__EUBSIR_00676
ERR1913311.1053397__1.1053397	28116__A0A1G6G9R4__CUY_0131
ERR1913311.1053471__1.1053471	46228__V8CAV6__addA
ERR1913311.1053488__1.1053488	46228__V8BSG0__RUMLAC_01955
ERR1913311.1053574__1.1053574	823__A6LEF3__ERS852560_01356
ERR1913311.1053606__1.1053606	1735__B7CEC3__EUBIFOR_02567
ERR1913311.1053739__1.1053739	246787__A0A3D6AXU9__BACCELL_01366
ERR1913311.1053713__1.1053713	418240__A0A174MZV1__ERS852523_01489
ERR1913311.1053830__1.1053830	39492__D4JWI6__EUBSIR_01073
ERR1913311.1053948__1.1053948	166486__A0A173T114__ROSINTL182_05085
ERR1913311.1054081__1.1054081	39492__D4JWI6__EUBSIR_01073
ERR1913311.1054096__1.1054096	39491__A0A396FMT0__EUBREC_3020
ERR1913311.1054187__1.1054187	39492__D4JX50__EUBSIR_00410
ERR1913311.1054302__1.1054302	1308__F8LWP9__CV714_04615
ERR1913311.1054535__1.1054535	487175__R5EI88__HMPREF9439_00382
ERR1913311.1054415__1.1054415	360807__A0A174CZ42__RIL183_11251
ERR1913311.1054588__1.1054588	1150298__A0A174KW35__cbbX
ERR1913311.1054619__1.1054619	301301__G2T455__RHOM_11960
ERR1913311.1054649__1.1054649	39492__D4JSU6__dacB_3
ERR1913311.1054669__1.1054669	357276__A0A0M1W4C0__DXD47_07095
ERR1913311.1054701__1.1054701	371601__I9JEF3__DXD80_17785
ERR1913311.1054808__1.1054808	357276__I8WML9__DXD47_10570
ERR1913311.1055027__1.1055027	1262913__R7JLA8__BN646_02669
ERR1913311.1055135__1.1055135	1262882__R5MHZ2__BN519_00742
ERR1913311.1055137__1.1055137	1262924__R7HM98__BN585_01697
ERR1913311.1055139__1.1055139	1150298__A0A174TDE7__ERS852535_00299
ERR1913311.1055287__1.1055287	371601__A0A1H4GP73__B5E50_17960
ERR1913311.1055446__1.1055446	28116__A0A1Y4Q112__evgS_13
ERR1913311.1055451__1.1055451	1099853__R7DMJ2__NSB1T_12820
ERR1913311.1055511__1.1055511	39492__D4JR43__ERS852540_02379
ERR1913311.1055515__1.1055515	853__A0A174C5M1__CGS58_04460
ERR1913311.1055632__1.1055632	39491__A0A395UZZ5__htpG_1
ERR1913311.1055827__1.1055827	246787__A0A3D6ARC7__BACCELL_03328
ERR1913311.1055855__1.1055855	1262882__R5N3T7__BN519_01188
ERR1913311.1055866__1.1055866	1262882__R5MND9__BN519_00831
ERR1913311.1055993__1.1055993	387090__S0F7Y3__BACCOPRO_02028
ERR1913311.1056131__1.1056131	1262882__R5N526__BN519_01603
ERR1913311.1056219__1.1056219	39491__A0A395ZG74__licR
ERR1913311.1056349__1.1056349	33039__A0A173VTT4__frdB_1
ERR1913311.1056516__1.1056516	1262913__R7JA34__BN646_01353
ERR1913311.1056564__1.1056564	487175__D9Y409__HMPREF9439_02197
ERR1913311.1056710__1.1056710	166486__D4KY48__gmr_5
ERR1913311.1056838__1.1056838	821__I9R3W6__DXC16_12455
ERR1913311.1056848__1.1056848	39491__A0A396FEW6__T1815_18721
ERR1913311.1056930__1.1056930	1262882__R5N4D8__BN519_01497
ERR1913311.1057052__1.1057052	418240__A0A174DPG4__ERS852523_03206
ERR1913311.1057056__1.1057056	649756__A0A174L4G4__cls_1
ERR1913311.1057305__1.1057305	28116__A0A1Y4VU28__SAMN05444282_1227
ERR1913311.1057373__1.1057373	818__A0A0P0FLN9__NCTC13706_01794
ERR1913311.1057470__1.1057470	1263005__R6EN45__BN497_01437
ERR1913311.1057587__1.1057587	487174__K0X2W9__HMPREF9448_00062
ERR1913311.1057662__1.1057662	292800__A0A174XAG3__HMPREF0372_00094
ERR1913311.1058124__1.1058124	39492__D4JSU6__dacB_3
ERR1913311.1058185__1.1058185	487175__R5E1Y3__HMPREF9439_02586
ERR1913311.1058530__1.1058530	39492__D4JQP0__ypeB
ERR1913311.1058704__1.1058704	35833__S2LL04__HMPREF0179_05202
ERR1913311.1058706__1.1058706	1262882__R5MFT7__BN519_00494
ERR1913311.1058707__1.1058707	1262992__R5D6J2__BN795_00288
ERR1913311.1058774__1.1058774	28116__A0A1Y4PWN5__M088_3731
ERR1913311.1058780__1.1058780	649756__A0A174FNS3__trkA
ERR1913311.1058782__1.1058782	1262882__R5MLP5__BN519_01602
ERR1913311.1058759__1.1058759	39491__A0A395ZDC6__addB
ERR1913311.1058815__1.1058815	357276__U6R8F9__DXD47_04035
ERR1913311.1058920__1.1058920	2108523__A0A2P2FCH9__LAWASA_3756
ERR1913311.1059051__1.1059051	39492__D4JRM9__bglB_2
ERR1913311.1059059__1.1059059	39492__D4JR58__EUBSIR_02090
ERR1913311.1059152__1.1059152	246787__R6K7I2__BcellWH2_03256
ERR1913311.1059190__1.1059190	39492__D4JT56__lepB
ERR1913311.1059463__1.1059463	1262889__R7HAE2__BN634_00423
ERR1913311.1059527__1.1059527	1299998__GCA_001494635.1_00464
ERR1913311.1059645__1.1059645	39492__D4JSG7__EUBSIR_01006
ERR1913311.1059762__1.1059762	39492__D4JVC7__yfgF
ERR1913311.1059790__1.1059790	39492__D4JRM9__bglB_2
ERR1913311.1060031__1.1060031	214856__A0A174CRY5__ERS852559_01060
ERR1913311.1060044__1.1060044	214856__A0A174A0R8__ERS852447_00998
ERR1913311.1060146__1.1060146	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913311.1060240__1.1060240	39492__D4JRR5__ERS852540_02089
ERR1913311.1060336__1.1060336	46228__V8BLW9__DXD17_14090
ERR1913311.1060427__1.1060427	39492__D4MN06__EUBSIR_02672
ERR1913311.1060508__1.1060508	46228__V8BSH8__HMPREF1202_02173
ERR1913311.1060599__1.1060599	884684__GCA_002892425.1_01416
ERR1913311.1061031__1.1061031	853__A8SCP3__C4N26_07960
ERR1913311.1061076__1.1061076	1262945__R6YTQ4__BN600_01086
ERR1913311.1061081__1.1061081	46228__V8CC10__RUMLAC_01472
ERR1913311.1061176__1.1061176	28116__A0A139LD88__CUY_2408
ERR1913311.1061261__1.1061261	28116__A0A1Y4Q112__evgS_13
ERR1913311.1061290__1.1061290	28116__C3QVY2__SAMN05444282_12234
ERR1913311.1061558__1.1061558	239935__R6JD78__CXU05_09250
ERR1913311.1061970__1.1061970	46228__B5CP97__RUMLAC_01288
ERR1913311.1062145__1.1062145	214856__A0A174A0R8__ERS852447_00998
ERR1913311.1062221__1.1062221	292800__H1C711__A4U99_09750
ERR1913311.1062279__1.1062279	360807__A0A173WYK2__ROSEINA2194_02795
ERR1913311.1062386__1.1062386	853__A0A2A7A628__CGS57_13755
ERR1913311.1062394__1.1062394	818__A0A139KQP8__BJP75_006755
ERR1913311.1062488__1.1062488	166486__D4KZY5__ROSINTL182_07635
ERR1913311.1062536__1.1062536	1262882__R5MLP0__BN519_01597
ERR1913311.1062577__1.1062577	28116__A0A078Q7C2__DHW41_14520
ERR1913311.1062879__1.1062879	301301__G2T207__cph2_5
ERR1913311.1062950__1.1062950	1262924__R7HQB3__BN585_00435
ERR1913311.1063187__1.1063187	39491__A0A396FRE7__EUR_27520
ERR1913311.1063248__1.1063248	1735__B7CEC3__EUBIFOR_02567
ERR1913311.1063257__1.1063257	39492__D4JR08__ERS852540_02467
ERR1913311.1063413__1.1063413	28116__A0A1Y4V8A3__HMPREF1069_03044
ERR1913311.1063418__1.1063418	46503__R6X5W5__HMPREF1078_03156
ERR1913311.1063503__1.1063503	1262882__R5N089__BN519_00546
ERR1913311.1063526__1.1063526	821__A0A395UNT8__DXD64_15275
ERR1913311.1063669__1.1063669	46228__V8CE24__thiD
ERR1913311.1063806__1.1063806	292800__A0A174VL30__A4U99_16555
ERR1913311.1063823__1.1063823	301301__A0A395V7P2__ERS852391_05080
ERR1913311.1063841__1.1063841	1680__A0A173Y6N7__yhaH
ERR1913311.1063894__1.1063894	1262913__R7JFH5__BN646_01996
ERR1913311.1064150__1.1064150	1262924__R7HKP8__BN585_01113
ERR1913311.1064235__1.1064235	39492__D4JWY7__EUBSIR_01655
ERR1913311.1064342__1.1064342	1263000__R5EXT3__BN466_02213
ERR1913311.1064362__1.1064362	39492__R6SPM9__pheT
ERR1913311.1064383__1.1064383	1262924__R7HPU8__BN585_00010
ERR1913311.1064387__1.1064387	310298__B3JEY8__BACCOP_01946
ERR1913311.1064437__1.1064437	46228__V8BRK9__DXD17_11400
ERR1913311.1064534__1.1064534	39492__D4JSS2__EUBSIR_00553
ERR1913311.1064545__1.1064545	821__I9R3W6__DXC16_12455
ERR1913311.1064659__1.1064659	40518__R5DPI9__DXD83_07375
ERR1913311.1064678__1.1064678	28116__C3QMW5__M089_4133
ERR1913311.1064821__1.1064821	39492__D4JWD3__EUBSIR_00151
ERR1913311.1064900__1.1064900	239935__A0A2N8IZ16__CXT84_05850
ERR1913311.1065035__1.1065035	28118__R6FH70__NCTC10826_02742
ERR1913311.1065178__1.1065178	39491__A0A395ZE48__DXB76_02395
ERR1913311.1065241__1.1065241	166486__D4L337__msbA_4
ERR1913311.1065433__1.1065433	39491__A0A396FPV7__ERS852580_01177
ERR1913311.1065472__1.1065472	328814__GCA_004558275.1_00992
ERR1913311.1065668__1.1065668	214856__R6XKT4__ERS852559_01719
ERR1913311.1065768__1.1065768	40518__R5E2F3__artQ
ERR1913311.1065857__1.1065857	301301__G2SZ82__RHOM_00970
ERR1913311.1065864__1.1065864	39492__D4JRZ7__smc
ERR1913311.1065974__1.1065974	246787__A0A108T1Y3__fepA_8
ERR1913311.1066069__1.1066069	218538__C9LNQ3__GCWU000321_01176
ERR1913311.1066390__1.1066390	360807__A0A1Q6T8W5__ROSEINA2194_03072
ERR1913311.1066362__1.1066362	40518__R5DUU0__DXD93_03985
ERR1913311.1066365__1.1066365	246787__A0A108T831__glaB_2
ERR1913311.1066541__1.1066541	1262980__R5BMR8__BN814_00052
ERR1913311.1066657__1.1066657	246787__A0A108T1Y3__fepA_8
ERR1913311.1066679__1.1066679	371601__F7LA63__HMPREF1074_04288
ERR1913311.1066827__1.1066827	1150298__R7JXH6__mecR1
ERR1913311.1066991__1.1066991	820__A0A3E4G3J9__ERS852459_02265
ERR1913311.1067055__1.1067055	1261__D3MR67__SAMN05660467_01650
ERR1913311.1067182__1.1067182	1262919__R5P5T3__BN465_00797
ERR1913311.1067154__1.1067154	46228__V8C484__HMPREF1202_01707
ERR1913311.1067303__1.1067303	39492__D4JQL8__ywpJ
ERR1913311.1067439__1.1067439	1124654__GeneID:14005781
ERR1913311.1067503__1.1067503	39488__A0A173UIN4__EUBHAL_00539
ERR1913311.1067560__1.1067560	239935__R6J9Y2__CXT85_07000
ERR1913311.1067519__1.1067519	1262924__R7HQB7__BN585_02057
ERR1913311.1067608__1.1067608	1150298__R7JT48__gsiA_6
ERR1913311.1067613__1.1067613	28116__C3QSX8__SAMN05444282_101331
ERR1913311.1067703__1.1067703	39488__A0A285PWQ3__DXD91_13870
ERR1913311.1067888__1.1067888	820__A0A3E4VZT7__DXB48_16145
ERR1913311.1068285__1.1068285	1680__A0A087DHN0__AL0462_1532
ERR1913311.1068378__1.1068378	46228__B5CSZ6__HMPREF1202_01560
ERR1913311.1068555__1.1068555	39491__A0A396FRK0__ERS852417_00541
ERR1913311.1068612__1.1068612	1262882__R5MJ49__BN519_01124
ERR1913311.1068656__1.1068656	46228__B5CTE4__DXD17_12795
ERR1913311.1068740__1.1068740	39492__B0MM26__ERS852540_00640
ERR1913311.1068931__1.1068931	39491__A0A395V297__EUR_01010
ERR1913311.1069009__1.1069009	821__A0A174K302__CUU_3129
ERR1913311.1069119__1.1069119	1262992__R5CXL9__BN795_01014
ERR1913311.1069295__1.1069295	371601__G1UK36__HMPREF1074_03496
ERR1913311.1069303__1.1069303	820__A0A1Q6IDS8__chtA
ERR1913311.1069372__1.1069372	301301__A0A395V8I9__ERS852391_04231
ERR1913311.1069416__1.1069416	39491__A0A174LTW7__DXD13_08720
ERR1913311.1069556__1.1069556	28116__A0A1Y4PWZ5__DXF98_14885
ERR1913311.1069624__1.1069624	39491__A0A395V2Y7__DXB72_13970
ERR1913311.1069647__1.1069647	214856__R6XP73__ERS852447_00886
ERR1913311.1069668__1.1069668	39492__D4JUP6__ERS852540_01404
ERR1913311.1069718__1.1069718	1262989__R6YIA1__BN815_02268
ERR1913311.1069767__1.1069767	1262882__R5MFK5__BN519_00378
ERR1913311.1069770__1.1069770	39485__A0A174ZLN0__EUBELI_00120
ERR1913311.1069911__1.1069911	387090__S0F3Z9__BACCOPRO_00013
ERR1913311.1070029__1.1070029	166486__D4L457__ROSINTL182_07087
ERR1913311.1070056__1.1070056	214856__A0A174H3U9__ERS852559_00612
ERR1913311.1070145__1.1070145	35833__E5Y926__HMPREF0179_02694
ERR1913311.1070163__1.1070163	357276__I8WPR6__EL88_06675
ERR1913311.1070172__1.1070172	301302__A0A0M6WU48__M72_10411
ERR1913311.1070178__1.1070178	1262913__R7JF62__BN646_02078
ERR1913311.1070233__1.1070233	39492__A0A175A133__cycB_1
ERR1913311.1070498__1.1070498	39492__D4JVC7__yfgF
ERR1913311.1070582__1.1070582	818__Q8A3I3__HMPREF2534_00068
ERR1913311.1070544__1.1070544	853__A0A174C5M1__CGS58_04460
ERR1913311.1070617__1.1070617	1262882__R5N1T9__BN519_00804
ERR1913311.1070658__1.1070658	39491__A0A396FJJ9__DXB76_11995
ERR1913311.1070678__1.1070678	371601__D6D6U6__BN891_31680
ERR1913311.1070721__1.1070721	39491__A0A174K9A3__DXB69_07785
ERR1913311.1071102__1.1071102	1262882__R5MLP5__BN519_01602
ERR1913311.1071104__1.1071104	821__A0A0P0M6M0__M097_4734
ERR1913311.1071132__1.1071132	39491__A0A396FM36__DXB99_00820
ERR1913311.1071223__1.1071223	166486__A0A173VSA0__ROSINTL182_06124
ERR1913311.1071507__1.1071507	39492__A0A174ZYY6__EUBSIR_02510
ERR1913311.1071536__1.1071536	39492__D4JRM9__bglB_2
ERR1913311.1071685__1.1071685	371601__D7J5N6__HMPREF1074_04460
ERR1913311.1071780__1.1071780	39492__R6RYB8__ERS852540_00322
ERR1913311.1071860__1.1071860	1262882__R5MIY9__BN519_01097
ERR1913311.1071991__1.1071991	39491__A0A395V1R3__T1815_08181
ERR1913311.1072015__1.1072015	216816__D6DCL7__BFS26_02835
ERR1913311.1072051__1.1072051	39485__R5ZHA7__ERS852490_00039
ERR1913311.1072066__1.1072066	39491__A0A396FE96__EUR_00280
ERR1913311.1072068__1.1072068	2108523__A0A2P2FD44__LAWASA_3973
ERR1913311.1072075__1.1072075	39491__A0A395V6A3__DXB69_00505
ERR1913311.1072102__1.1072102	360807__A0A1Q6TDQ5__ROSEINA2194_04225
ERR1913311.1072160__1.1072160	40518__R5DYP7__envC
ERR1913311.1072351__1.1072351	371601__A0A3E4NKK5__B5E52_17685
ERR1913311.1072381__1.1072381	649756__A0A348YI82__ERS852520_03326
ERR1913311.1072503__1.1072503	1150298__A0A174MFX3__ERS852498_01752
ERR1913311.1072534__1.1072534	820__A0A3E4FZM1__adaA_2
ERR1913311.1072750__1.1072750	1262882__R5MXW3__BN519_00319
ERR1913311.1072780__1.1072780	1393034__GCA_001552785.1_00510
ERR1913311.1073054__1.1073054	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913311.1073064__1.1073064	1262924__R7HRJ9__BN585_00557
ERR1913311.1073071__1.1073071	1262882__R5N1Z9__BN519_01020
ERR1913311.1073082__1.1073082	1263044__GCA_000433375.1_03430
ERR1913311.1073101__1.1073101	39491__A0A396FFW0__ERE_10580
ERR1913311.1073291__1.1073291	28116__I8Y7V6__HMPREF1017_02728
ERR1913311.1073613__1.1073613	39491__A0A395V1R3__T1815_08181
ERR1913311.1073672__1.1073672	820__A0A139K4W1__M093_0353
ERR1913311.1073729__1.1073729	214856__A0A174A0P3__ERS852447_00994
ERR1913311.1073801__1.1073801	1262882__R5MY46__BN519_00355
ERR1913311.1073811__1.1073811	166486__C7GCP5__ROSINTL182_07683
ERR1913311.1073869__1.1073869	853__A0A2A7A628__CGS57_13755
ERR1913311.1073914__1.1073914	39492__D4JRR5__ERS852540_02089
ERR1913311.1073915__1.1073915	821__A0A174V2F3__NCTC10583_01474
ERR1913311.1074013__1.1074013	28116__A0A1Y4Q112__evgS_13
ERR1913311.1074031__1.1074031	394340__regX3_2
ERR1913311.1074428__1.1074428	246787__R6K756__HMPREF1062_01819
ERR1913311.1074563__1.1074563	626933__H1DGX0__HMPREF9449_01506
ERR1913311.1074822__1.1074822	1262882__R5N3T7__BN519_01188
ERR1913311.1074910__1.1074910	1262889__R7H993__BN634_00107
ERR1913311.1074974__1.1074974	218538__C9LPF0__GCWU000321_01429
ERR1913311.1075013__1.1075013	371601__A0A174KGU6__CW3_4554
ERR1913311.1075072__1.1075072	649756__A0A174B2V7__ERS852475_01064
ERR1913311.1075193__1.1075193	40518__R5DXW3__DXD86_07900
ERR1913311.1075206__1.1075206	246787__A0A3D6B2C7__BcellWH2_03259
ERR1913311.1075271__1.1075271	39491__C4Z9D4__DXD95_00055
ERR1913311.1075415__1.1075415	39492__D4JUD7__EUBSIR_01877
ERR1913311.1075387__1.1075387	1262882__R5N1M9__BN519_00768
ERR1913311.1075550__1.1075550	626933__H1DGX0__HMPREF9449_01506
ERR1913311.1075584__1.1075584	46228__B5CMW7__DXD17_11810
ERR1913311.1075863__1.1075863	1262924__R7HMN2__BN585_01573
ERR1913311.1075930__1.1075930	823__A0A355XKQ8__DHP27_04010
ERR1913311.1075965__1.1075965	1262913__R7J615__BN646_00703
ERR1913311.1076223__1.1076223	28118__R6FC74__DHW44_13330
ERR1913311.1076415__1.1076415	39491__C4Z9Y3__ERS852417_01808
ERR1913311.1076419__1.1076419	1262882__R5MFT7__BN519_00494
ERR1913311.1076563__1.1076563	418240__C6JFJ7__ERS852523_01165
ERR1913311.1076613__1.1076613	820__A7V092__hldE
ERR1913311.1076692__1.1076692	166486__D4L0G5__ROSINTL182_08176
ERR1913311.1076786__1.1076786	39492__D4JQP0__ypeB
ERR1913311.1076896__1.1076896	39485__C4Z0F4__ERS852490_00945
ERR1913311.1076824__1.1076824	360807__A0A0M6WVC6__ERS852444_01433
ERR1913311.1077078__1.1077078	1735__B7CE32__EUBIFOR_02474
ERR1913311.1077249__1.1077249	1965538__A0A1Y4W6B1__B5E43_09890
ERR1913311.1077365__1.1077365	820__A0A173W419__DXC68_17760
ERR1913311.1077400__1.1077400	1262913__R7JA34__BN646_01353
ERR1913311.1077442__1.1077442	1262882__R5N526__BN519_01603
ERR1913311.1077488__1.1077488	214856__E4MF20__Alfi_0697
ERR1913311.1077572__1.1077572	371601__I9ALH7__DXD80_15875
ERR1913311.1077587__1.1077587	39491__A0A396FF17__EUR_31400
ERR1913311.1077620__1.1077620	39492__D4JV38__EUBSIR_01205
ERR1913311.1077624__1.1077624	39492__D4JU81__xseA
ERR1913311.1077796__1.1077796	1262882__R5MNC1__BN519_00818
ERR1913311.1077801__1.1077801	246787__I9QX02__HMPREF1062_01641
ERR1913311.1077814__1.1077814	1262882__R5MFY4__BN519_00529
ERR1913311.1078209__1.1078209	823__A0A355XEX9__ERS852560_03521
ERR1913311.1078330__1.1078330	1262824__R6RI25__BN719_01477
ERR1913311.1078331__1.1078331	39491__A0A396FQV7__T1815_10751
ERR1913311.1078438__1.1078438	39492__D4JSB6__ERS852540_00627
ERR1913311.1078543__1.1078543	1262882__R5MH82__BN519_00752
ERR1913311.1078625__1.1078625	371601__I9UNU3__DXD03_06250
ERR1913311.1078644__1.1078644	46228__B5CSZ6__HMPREF1202_01560
ERR1913311.1078791__1.1078791	1262989__R6Y778__BN815_00522
ERR1913311.1078846__1.1078846	39492__D4JTL0__EUBSIR_01428
ERR1913311.1078975__1.1078975	1099853__R7DMJ2__NSB1T_12820
ERR1913311.1079078__1.1079078	649756__B0P0D0__ERS852571_02742
ERR1913311.1079467__1.1079467	301301__A0A395VAD5__RHOM_06975
ERR1913311.1079490__1.1079490	40518__R5E6U1__yunB
ERR1913311.1079551__1.1079551	39492__A0A174Z2N0__EUBSIR_01615
ERR1913311.1079588__1.1079588	1262924__R7HRJ9__BN585_00557
ERR1913311.1079598__1.1079598	821__D4VD59__BHV80_04260
ERR1913311.1079579__1.1079579	357276__A0A076IRZ5__BACDOR_00630
ERR1913311.1079745__1.1079745	39492__D4JWR6__dnaN
ERR1913311.1079696__1.1079696	371601__A0A1H4ANE8__SAMN05216250_10552
ERR1913311.1079811__1.1079811	2108523__A0A2P2F8B3__LAWASA_2269
ERR1913311.1079813__1.1079813	301301__G2SZF8__ERS852391_01416
ERR1913311.1079890__1.1079890	166486__R6AZI2__ydaF
ERR1913311.1079897__1.1079897	1262924__R7HST1__BN585_00215
ERR1913311.1079965__1.1079965	46503__A7ADV9__ERS852463_01504
ERR1913311.1080319__1.1080319	216816__A0A395XYV2__APC1468_1887
ERR1913311.1080373__1.1080373	1262882__R5MIP9__BN519_01028
ERR1913311.1080386__1.1080386	246787__I8V2S2__BACCELL_02524
ERR1913311.1080355__1.1080355	39492__D4JUR4__ERS852540_01427
ERR1913311.1080427__1.1080427	39485__R5ZNS8__rsmG
ERR1913311.1080532__1.1080532	46228__B5CP96__RUMLAC_01287
