ERR1913232.19__1.19	820__A0A139K9Q2__DXD40_08795
ERR1913232.94483__1.94483	39485__C4Z2I5__ERS852492_02214
ERR1913232.94424__1.94424	28118__R6G2E8__DHW44_05790
ERR1913232.94919__1.94919	28117__R7JN92__BHV66_00550
ERR1913232.95038__1.95038	28117__B0MUR5__BHV66_03900
ERR1913232.95160__1.95160	1628085__A0A374VRS5__C7386_10481
ERR1913232.95133__1.95133	1262992__R5D3X7__BN795_00539
ERR1913232.95248__1.95248	28117__R7JJM9__ALIPUT_00662
ERR1913232.95321__1.95321	310298__B3JJ24__BACCOP_01886
ERR1913232.95680__1.95680	165179__D1PES9__DXB80_11585
ERR1913232.95919__1.95919	69974__A0A090FEL8__MPL3365_630008
ERR1913232.96093__1.96093	39491__A0A395UVM9__DXB76_04540
ERR1913232.96094__1.96094	29363__A0A174W3L3__CP373A1_08020
ERR1913232.96139__1.96139	28117__R7JIJ8__BHV66_01635
ERR1913232.96184__1.96184	853__C7H7F5__DWZ46_01780
ERR1913232.96233__1.96233	626933__H1DGX0__HMPREF9449_01506
ERR1913232.96267__1.96267	853__E2ZJT1__C4N23_03535
ERR1913232.96334__1.96334	165179__A0A3E5EB26__CFT61_02800
ERR1913232.96400__1.96400	310298__B3JK97__BACCOP_02326
ERR1913232.96453__1.96453	204516__U6RR96__HMPREF1534_00277
ERR1913232.96456__1.96456	165179__A0A3E5DY64__CFT61_10025
ERR1913232.96340__1.96340	204516__U6R9E7__HMPREF1534_03313
ERR1913232.96484__1.96484	626933__H1DGX0__HMPREF9449_01506
ERR1913232.96534__1.96534	47678__A5ZEP4__DXB67_14045
ERR1913232.96547__1.96547	1160721__W0U1Y8__BHW50_02040
ERR1913232.96870__1.96870	853__A0A173YYY4__DWZ04_09420
ERR1913232.96878__1.96878	69974__A0A090FEL8__MPL3365_630008
ERR1913232.96919__1.96919	853__A0A173T0Y8__CGS54_07215
ERR1913232.96928__1.96928	853__A0A173YYY4__DWZ04_09420
ERR1913232.97062__1.97062	28117__B0N007__BHV66_10275
ERR1913232.97210__1.97210	40518__R5DU28__DXD86_07960
ERR1913232.97211__1.97211	310298__B3JED9__BACCOP_00230
ERR1913232.97228__1.97228	165179__R6C330__DXC61_04975
ERR1913232.97275__1.97275	69974__A0A090FEL8__MPL3365_630008
ERR1913232.97295__1.97295	626933__H1DGX0__HMPREF9449_01506
ERR1913232.97410__1.97410	820__A0A174B4N2__M093_2531
ERR1913232.97537__1.97537	39491__A0A396FRE7__EUR_27520
ERR1913232.97641__1.97641	820__A0A139K5A6__DXB48_12175
ERR1913232.97780__1.97780	165179__A0A3E5EA83__DXC61_07750
ERR1913232.97847__1.97847	1965604__A0A1Y4ESK1__B5F54_08490
ERR1913232.97971__1.97971	35833__E5Y305__HMPREF0179_00566
ERR1913232.98026__1.98026	165179__R6XIF8__DXC61_07265
ERR1913232.98040__1.98040	853__C7H1R8__DW905_06675
ERR1913232.98192__1.98192	69974__A0A090FEL8__MPL3365_630008
ERR1913232.98215__1.98215	853__C7H1R8__DW905_06675
ERR1913232.98313__1.98313	301301__A0A395V6H4__ydfH_3
ERR1913232.98427__1.98427	69974__A0A090FEL8__MPL3365_630008
ERR1913232.98745__1.98745	28117__B0MTW8__ALIPUT_00502
ERR1913232.98825__1.98825	649756__B0NWY4__blaR1_3
ERR1913232.98895__1.98895	1262924__R7HQP2__BN585_01509
ERR1913232.98933__1.98933	626933__H1DGX0__HMPREF9449_01506
ERR1913232.98997__1.98997	1680__A0A087DHN0__AL0462_1532
ERR1913232.99115__1.99115	74426__purC
ERR1913232.99172__1.99172	1262913__R7J7E0__BN646_00943
ERR1913232.99140__1.99140	28117__B0MWZ9__ALIPUT_01735
ERR1913232.99270__1.99270	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913232.99485__1.99485	204516__U6RDX3__HMPREF1534_02093
ERR1913232.99412__1.99412	69974__A0A090FEL8__MPL3365_630008
ERR1913232.99439__1.99439	165179__D1PHC0__PREVCOP_06640
ERR1913232.99599__1.99599	487175__D9Y712__HMPREF9439_02495
ERR1913232.99731__1.99731	165179__D1PEQ5__PREVCOP_05711
ERR1913232.99759__1.99759	853__A0A3E2W3R8__FAEPRAM212_00849
ERR1913232.99780__1.99780	1262924__R7HPY0__BN585_01950
ERR1913232.99827__1.99827	165179__D1PGU8__PREVCOP_06463
ERR1913232.100167__1.100167	853__A0A2A7AXC8__C4N21_14120
ERR1913232.100210__1.100210	165179__A0A3E5A554__DXB80_13805
ERR1913232.100280__1.100280	69974__A0A090FEL8__MPL3365_630008
ERR1913232.100446__1.100446	853__D4JY61__C4N21_10560
ERR1913232.100701__1.100701	487173__H1D020__HMPREF9453_00958
ERR1913232.100739__1.100739	39491__A0A395ZBW8__DXC13_08840
ERR1913232.100907__1.100907	39485__C4Z355__ERS852490_01971
ERR1913232.101059__1.101059	28117__B0MT86__BHV66_02450
ERR1913232.101106__1.101106	165179__A0A3E5EA43__DXC61_07775
ERR1913232.101134__1.101134	69974__A0A090FEL8__MPL3365_630008
ERR1913232.101270__1.101270	28117__B0MU57__ALIPUT_00175
ERR1913232.101359__1.101359	28117__R7JJM9__ALIPUT_00662
ERR1913232.101368__1.101368	39485__C4Z069__EUBELI_00981
ERR1913232.101511__1.101511	69974__A0A090FEL8__MPL3365_630008
ERR1913232.101596__1.101596	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.101889__1.101889	28118__F9Z4Y7__DF785_06945
ERR1913232.101930__1.101930	69974__A0A090FEL8__MPL3365_630008
ERR1913232.101996__1.101996	853__A0A174UDE9__C4N25_12775
ERR1913232.102077__1.102077	165179__A0A3E4SID1__DXB80_01945
ERR1913232.102263__1.102263	1680__A0A173W5Z2__DXC53_01290
ERR1913232.102385__1.102385	487173__H1D2L5__HMPREF9453_01853
ERR1913232.102521__1.102521	39485__A0A174YYW2__benM
ERR1913232.102538__1.102538	165179__A0A229I6N7__DXC61_06720
ERR1913232.102859__1.102859	487173__H1D020__HMPREF9453_00958
ERR1913232.102894__1.102894	820__A0A1Y3V743__M093_0235
ERR1913232.103032__1.103032	69974__A0A090FEL8__MPL3365_630008
ERR1913232.103094__1.103094	1501392__A0A0B2JMA7__PU94_00895
ERR1913232.103177__1.103177	69974__A0A090FEL8__MPL3365_630008
ERR1913232.103158__1.103158	1262924__R7HU74__BN585_00690
ERR1913232.103309__1.103309	853__A0A173T751__C4N24_10280
ERR1913232.103332__1.103332	69974__A0A090FEL8__MPL3365_630008
ERR1913232.103297__1.103297	165179__A0A3E5EA43__DXC61_07775
ERR1913232.103471__1.103471	40518__R5DQK2__DXD93_03730
ERR1913232.103878__1.103878	69974__A0A090FEL8__MPL3365_630008
ERR1913232.103974__1.103974	649756__D4MW74__ERS852387_00633
ERR1913232.104058__1.104058	69974__A0A090FEL8__MPL3365_630008
ERR1913232.104084__1.104084	487173__H1D3F9__HMPREF9453_02142
ERR1913232.104138__1.104138	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913232.104175__1.104175	165179__D1PHD6__DXC61_03380
ERR1913232.104167__1.104167	69974__A0A090FEL8__MPL3365_630008
ERR1913232.104380__1.104380	487173__H1D020__HMPREF9453_00958
ERR1913232.104474__1.104474	69974__A0A090FEL8__MPL3365_630008
ERR1913232.104671__1.104671	214856__A0A174EJT5__mnmA
ERR1913232.104631__1.104631	28118__F9Z857__DER54_07670
ERR1913232.104693__1.104693	165179__A0A3E5A554__DXB80_13805
ERR1913232.104728__1.104728	69974__A0A090FEL8__MPL3365_630008
ERR1913232.104884__1.104884	39485__A0A174YMI9__cph2_5
ERR1913232.104899__1.104899	69974__A0A090FEL8__MPL3365_630008
ERR1913232.104915__1.104915	39485__R5ZX10__ERS852492_02330
ERR1913232.105029__1.105029	69974__A0A090FEL8__MPL3365_630008
ERR1913232.105189__1.105189	1263107__GCA_000436995.1_00020
ERR1913232.105277__1.105277	1262944__R7IQI0__BN596_01104
ERR1913232.105515__1.105515	1262924__R7HLJ5__BN585_01491
ERR1913232.105571__1.105571	28117__B0MWP2__ALIPUT_01468
ERR1913232.105589__1.105589	28117__B0MXW9__ALIPUT_01981
ERR1913232.105916__1.105916	47678__R5UBT0__CGC64_12195
ERR1913232.106100__1.106100	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913232.106119__1.106119	39491__A0A396FKI0__DXC13_11560
ERR1913232.106122__1.106122	1262924__R7HML0__BN585_01508
ERR1913232.106192__1.106192	204516__U6RGV4__HMPREF1534_01764
ERR1913232.106209__1.106209	69974__A0A090FEL8__MPL3365_630008
ERR1913232.106216__1.106216	28117__B0MVL5__BHV66_01660
ERR1913232.106221__1.106221	487174__K0WV63__DIT83_11035
ERR1913232.106429__1.106429	28117__B0MYI9__BHV66_05415
ERR1913232.106730__1.106730	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.106796__1.106796	1262929__R6F6C8__BN691_01344
ERR1913232.107168__1.107168	2293125__A0A374CIC9__DW917_02045
ERR1913232.107242__1.107242	1535__A7VNP7__CH238_15000
ERR1913232.107245__1.107245	28117__B0MZ50__ALIPUT_02424
ERR1913232.107176__1.107176	853__D4K7X0__DW905_09540
ERR1913232.107188__1.107188	28117__B0MWP2__ALIPUT_01468
ERR1913232.107332__1.107332	1262924__R7HQ14__BN585_00419
ERR1913232.107303__1.107303	1262743__R5C3A8__BN727_00457
ERR1913232.107557__1.107557	216816__A0A3D8U3T8__DXD41_09580
ERR1913232.107633__1.107633	818__A0A174L0X1__NCTC10582_00394
ERR1913232.107697__1.107697	820__A0A174CG08__DXB62_13215
ERR1913232.107798__1.107798	301301__G2T0A9__RHOM_03910
ERR1913232.107845__1.107845	1262924__R7HTA4__BN585_00391
ERR1913232.108012__1.108012	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913232.108056__1.108056	821__A0A173XDD3__DXB82_17180
ERR1913232.108290__1.108290	39491__A0A395UYL9__ERS852417_00624
ERR1913232.108301__1.108301	39491__C4ZC33__DXC13_11585
ERR1913232.108405__1.108405	35833__E5YBS2__HMPREF0179_03646
ERR1913232.108469__1.108469	47678__R5UAY9__DW706_07200
ERR1913232.108680__1.108680	204516__U6R7Y8__HMPREF1534_03942
ERR1913232.108744__1.108744	487173__H1CYA6__HMPREF9453_00344
ERR1913232.108819__1.108819	487173__H1CY24__HMPREF9453_00262
ERR1913232.108884__1.108884	556259__E5C816__BSGG_0563
ERR1913232.108944__1.108944	28117__B0N007__BHV66_10275
ERR1913232.109060__1.109060	487173__H1D020__HMPREF9453_00958
ERR1913232.109412__1.109412	853__A0A173TAZ8__DWZ46_14590
ERR1913232.109620__1.109620	165179__A0A229I443__DXB80_10950
ERR1913232.109690__1.109690	165179__A0A3E4SID1__DXB80_01945
ERR1913232.109704__1.109704	487173__H1D2V9__HMPREF9453_01947
ERR1913232.109885__1.109885	1262986__R6AC02__BN492_01722
ERR1913232.109895__1.109895	1262740__R7CVB2__BN666_01237
ERR1913232.110073__1.110073	69974__A0A090FEL8__MPL3365_630008
ERR1913232.110102__1.110102	820__A0A396CMY7__HMPREF1072_03009
ERR1913232.110166__1.110166	371601__A0A139LNM6__BN891_32770
ERR1913232.110312__1.110312	165179__A0A3E5A5E5__DXC61_13965
ERR1913232.110370__1.110370	69974__A0A090FEL8__MPL3365_630008
ERR1913232.110457__1.110457	487173__H1D1P5__HMPREF9453_01533
ERR1913232.110530__1.110530	310298__B3JFK6__BACCOP_00656
ERR1913232.110542__1.110542	310298__B3JFH4__BACCOP_00624
ERR1913232.110783__1.110783	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913232.110785__1.110785	261299__W1UR23__SAMN02745147_1377
ERR1913232.111035__1.111035	2293125__A0A374CIC9__DW917_02045
ERR1913232.111115__1.111115	216816__A0A083XFS3__APC1472_0413
ERR1913232.111153__1.111153	418240__A0A174FAS2__btr_1
ERR1913232.111289__1.111289	28117__B0MT73__ALIPUT_00412
ERR1913232.111668__1.111668	1262924__R7HQB3__BN585_00435
ERR1913232.111707__1.111707	69974__A0A090FEL8__MPL3365_630008
ERR1913232.111912__1.111912	28118__F9Z4Q7__DER54_08070
ERR1913232.112035__1.112035	165179__D1PHD6__DXC61_03380
ERR1913232.112090__1.112090	1262992__R5DAK8__BN795_01248
ERR1913232.112141__1.112141	487173__H1CYJ4__HMPREF9453_00432
ERR1913232.112377__1.112377	39485__A0A174Z9M2__yhbU_1
ERR1913232.112535__1.112535	69974__A0A090FEL8__MPL3365_630008
ERR1913232.112558__1.112558	626933__H1DGX0__HMPREF9449_01506
ERR1913232.112615__1.112615	165179__D1PEQ5__PREVCOP_05711
ERR1913232.112705__1.112705	39491__A0A396FNP1__DXD95_06025
ERR1913232.113210__1.113210	1262924__R7HN51__BN585_01718
ERR1913232.113224__1.113224	487173__H1CY24__HMPREF9453_00262
ERR1913232.113376__1.113376	69974__A0A090FEL8__MPL3365_630008
ERR1913232.113723__1.113723	39491__A0A396FPV7__ERS852580_01177
ERR1913232.113990__1.113990	745368__A0A1T4XQT6__SAMN02745178_02143
ERR1913232.114050__1.114050	28118__F9ZAB4__B5F93_06270
ERR1913232.114108__1.114108	1262913__R7JPP6__BN646_00416
ERR1913232.114138__1.114138	165179__D1PGU8__PREVCOP_06463
ERR1913232.114274__1.114274	69974__A0A090FEL8__MPL3365_630008
ERR1913232.114345__1.114345	853__A8S882__C4N23_07600
ERR1913232.114387__1.114387	69974__A0A090FEL8__MPL3365_630008
ERR1913232.114404__1.114404	69974__A0A090FEL8__MPL3365_630008
ERR1913232.114495__1.114495	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.114662__1.114662	69974__A0A090FEL8__MPL3365_630008
ERR1913232.114794__1.114794	39491__A0A396FNY7__LD38_16155
ERR1913232.114881__1.114881	310298__B3JGJ2__BACCOP_00994
ERR1913232.115125__1.115125	39485__C4Z6J7__ERS852492_02047
ERR1913232.115590__1.115590	487175__D9Y5K8__HMPREF9439_00630
ERR1913232.115656__1.115656	28117__B0MTW8__ALIPUT_00502
ERR1913232.115752__1.115752	28117__B0MT73__ALIPUT_00412
ERR1913232.115967__1.115967	39488__A0A285PRH2__EUBHAL_01264
ERR1913232.116037__1.116037	817__A0A396EMA4__M108_0298
ERR1913232.116185__1.116185	821__A6L0C7__ERS852556_03520
ERR1913232.116141__1.116141	69974__A0A090FEL8__MPL3365_630008
ERR1913232.116222__1.116222	69974__A0A090FEL8__MPL3365_630008
ERR1913232.116255__1.116255	216816__C5E9A6__mutT4
ERR1913232.116500__1.116500	165179__A0A3E5A554__DXB80_13805
ERR1913232.116778__1.116778	261299__R5XN60__ERS852493_00840
ERR1913232.116813__1.116813	69974__A0A090FEL8__MPL3365_630008
ERR1913232.117029__1.117029	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913232.117078__1.117078	28117__B0MYI9__BHV66_05415
ERR1913232.117265__1.117265	39485__A0A174ZBK4__ERS852490_01585
ERR1913232.117451__1.117451	216816__C2GSX7__DD678_03555
ERR1913232.117458__1.117458	239935__R6K0V8__CXT94_02055
ERR1913232.117533__1.117533	1735__B7CDA5__EUBIFOR_02186
ERR1913232.117865__1.117865	1262924__R7HM72__BN585_01169
ERR1913232.117991__1.117991	216816__B7GTR6__BLD_0992
ERR1913232.118037__1.118037	310297__R5VBL7__DXD04_11870
ERR1913232.118145__1.118145	410072__A0A3E4GRE0__DXD67_07105
ERR1913232.118147__1.118147	39485__A0A174ZKZ4__spoIIQ_1
ERR1913232.118418__1.118418	69974__A0A090FEL8__MPL3365_630008
ERR1913232.118502__1.118502	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913232.118701__1.118701	853__C7H7F5__DWZ46_01780
ERR1913232.118737__1.118737	69974__A0A090FEL8__MPL3365_630008
ERR1913232.118965__1.118965	1550024__A0A0D8IWU5__TQ39_13940
ERR1913232.119075__1.119075	39485__A0A174ZTY8__ycfH
ERR1913232.119097__1.119097	39485__A0A174Z9M2__yhbU_1
ERR1913232.119151__1.119151	40518__R5DME2__DXD86_07315
ERR1913232.119247__1.119247	39488__C0ESJ2__DXD91_14695
ERR1913232.119353__1.119353	28118__F9ZAS2__B5F93_06130
ERR1913232.119395__1.119395	820__A0A3E4RU03__M093_0563
ERR1913232.119539__1.119539	39485__C4Z637__ERS852490_00218
ERR1913232.119585__1.119585	39485__A0A174Z851__cdaR_1
ERR1913232.119711__1.119711	216816__D6DBD5__DXC32_04335
ERR1913232.119810__1.119810	165179__D1PEQ5__PREVCOP_05711
ERR1913232.119817__1.119817	1323__A0A380LML1__NCTC11087_01805
ERR1913232.119828__1.119828	69974__A0A090FEL8__MPL3365_630008
ERR1913232.120197__1.120197	39485__C4Z6J7__ERS852492_02047
ERR1913232.120223__1.120223	204516__U6RFU0__HMPREF1534_02545
ERR1913232.120298__1.120298	165179__A0A3E5DR10__DXC61_03505
ERR1913232.120361__1.120361	28117__B0MYI9__BHV66_05415
ERR1913232.120393__1.120393	39490__U2P932__ERS852448_00304
ERR1913232.120402__1.120402	39485__A0A174YSU1__ERS852492_00576
ERR1913232.120688__1.120688	165179__A0A3E5AER8__DXB80_07075
ERR1913232.120715__1.120715	310298__B3JFK6__BACCOP_00656
ERR1913232.120735__1.120735	1262739__R6MMI4__BN659_01195
ERR1913232.120834__1.120834	165179__A0A3E5EA43__DXC61_07775
ERR1913232.120942__1.120942	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913232.121103__1.121103	820__A0A173W419__DXC68_17760
ERR1913232.121109__1.121109	39485__A0A174YVS4__EUBELI_00620
ERR1913232.121225__1.121225	47678__R5UZM4__DW706_15680
ERR1913232.121274__1.121274	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913232.121338__1.121338	39491__A0A395ZKJ0__DXD13_11010
ERR1913232.121582__1.121582	40520__R7D3V1__RUMOBE_00518
ERR1913232.121585__1.121585	69974__A0A090FEL8__MPL3365_630008
ERR1913232.121743__1.121743	853__E2ZJT1__C4N23_03535
ERR1913232.121885__1.121885	40520__A0A395XAI7__DXB81_16005
ERR1913232.121976__1.121976	1262924__R7HU74__BN585_00690
ERR1913232.122128__1.122128	165179__A0A3E5A5E5__DXC61_13965
ERR1913232.122164__1.122164	853__A0A173YYY4__DWZ04_09420
ERR1913232.122220__1.122220	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913232.122557__1.122557	487173__H1D090__HMPREF9453_01028
ERR1913232.122628__1.122628	39485__C4Z6Z5__EUBELI_20593
ERR1913232.122675__1.122675	28116__A0A1G6G396__DXD69_22115
ERR1913232.122758__1.122758	823__A0A355XIK0__CEQ22_011965
ERR1913232.122769__1.122769	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913232.122923__1.122923	147206__GCF_000156215.1_01776
ERR1913232.122993__1.122993	487173__H1D1P5__HMPREF9453_01533
ERR1913232.123040__1.123040	552398__F4XCR9__HMPREF0866_01636
ERR1913232.123227__1.123227	69974__A0A090FEL8__MPL3365_630008
ERR1913232.123475__1.123475	1262924__R7HPG6__BN585_00099
ERR1913232.123694__1.123694	487173__H1D168__HMPREF9453_01356
ERR1913232.123796__1.123796	69974__A0A090FEL8__MPL3365_630008
ERR1913232.123861__1.123861	69974__A0A090FEL8__MPL3365_630008
ERR1913232.124061__1.124061	487173__H1D1S1__HMPREF9453_01559
ERR1913232.124067__1.124067	69974__A0A090FEL8__MPL3365_630008
ERR1913232.124086__1.124086	28117__R7JIJ8__BHV66_01635
ERR1913232.124128__1.124128	1308__F8LTK3__CDA68_01155
ERR1913232.124162__1.124162	39491__A0A395V0H6__ERS852580_02570
ERR1913232.124229__1.124229	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913232.124192__1.124192	69974__A0A090FEL8__MPL3365_630008
ERR1913232.124266__1.124266	69974__A0A090FEL8__MPL3365_630008
ERR1913232.124268__1.124268	165179__A0A3E5EB26__CFT61_02800
ERR1913232.124290__1.124290	47678__R5UAY9__DW706_07200
ERR1913232.124391__1.124391	165179__D1PGU8__PREVCOP_06463
ERR1913232.124431__1.124431	820__A0A396EUU8__luxQ_3
ERR1913232.124351__1.124351	39485__C4Z0B2__EUBELI_01024
ERR1913232.124480__1.124480	69974__A0A090FEL8__MPL3365_630008
ERR1913232.124753__1.124753	204516__U6RSX5__HMPREF1534_00314
ERR1913232.124869__1.124869	39485__A0A174YWE7__EUBELI_00979
ERR1913232.124922__1.124922	69974__A0A090FEL8__MPL3365_630008
ERR1913232.124963__1.124963	69974__A0A090FEL8__MPL3365_630008
ERR1913232.124982__1.124982	1262924__R7HSF6__BN585_00844
ERR1913232.125311__1.125311	571438__A0A1G7QXY2__SAMN05192586_12514
ERR1913232.125459__1.125459	487173__H1CY24__HMPREF9453_00262
ERR1913232.125522__1.125522	39492__B0MNQ2__EUBSIR_01459
ERR1913232.125659__1.125659	216816__A0A083XVP2__HMPREF1315_0108
ERR1913232.125756__1.125756	33039__A0A174ZC42__ppaC
ERR1913232.126233__1.126233	626933__H1DGX0__HMPREF9449_01506
ERR1913232.126424__1.126424	821__A0A396FEL8__C5Z04_06030
ERR1913232.126469__1.126469	471189__GCA_003340385.1_00480
ERR1913232.126588__1.126588	69974__A0A090FEL8__MPL3365_630008
ERR1913232.126617__1.126617	39491__A0A2U2EED4__ERS852580_01584
ERR1913232.126664__1.126664	1262924__R7HKX0__BN585_01279
ERR1913232.126755__1.126755	69974__A0A090FEL8__MPL3365_630008
ERR1913232.126853__1.126853	165179__A0A3E5EA43__DXC61_07775
ERR1913232.126906__1.126906	552398__F4XCR9__HMPREF0866_01636
ERR1913232.127064__1.127064	821__A0A173WG51__BVU_2549
ERR1913232.127106__1.127106	69974__A0A090FEL8__MPL3365_630008
ERR1913232.127399__1.127399	69974__A0A090FEL8__MPL3365_630008
ERR1913232.127542__1.127542	69974__A0A090FEL8__MPL3365_630008
ERR1913232.127543__1.127543	310298__B3JNH3__BACCOP_03486
ERR1913232.127545__1.127545	1262924__R7HNZ2__BN585_02017
ERR1913232.127690__1.127690	69974__A0A090FEL8__MPL3365_630008
ERR1913232.127870__1.127870	28118__F9ZCN1__B5F99_10605
ERR1913232.127874__1.127874	310298__B3JMG0__BACCOP_03099
ERR1913232.128068__1.128068	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913232.128025__1.128025	1263109__GCA_000438135.1_00177
ERR1913232.128075__1.128075	39485__A0A174ZPJ9__tig_2
ERR1913232.127988__1.127988	69974__A0A090FEL8__MPL3365_630008
ERR1913232.128113__1.128113	69974__A0A090FEL8__MPL3365_630008
ERR1913232.128129__1.128129	28116__A0A1Y4PWN5__M088_3731
ERR1913232.128212__1.128212	39491__R6TQ09__DXC13_03010
ERR1913232.128294__1.128294	351676__A0A2D0KSQ6__Xkoz_03831
ERR1913232.128424__1.128424	204516__U6RPN2__HMPREF1534_00368
ERR1913232.128594__1.128594	39483__D4JG01__B5G15_08355
ERR1913232.128747__1.128747	1262924__R7HQB7__BN585_02057
ERR1913232.128854__1.128854	39488__A0A173SSM6__EUBHAL_01799
ERR1913232.128865__1.128865	116085__D4J3Z5__tig
ERR1913232.129103__1.129103	853__A0A329UEG4__CHR60_00585
ERR1913232.129114__1.129114	69974__A0A090FEL8__MPL3365_630008
ERR1913232.129120__1.129120	820__A0A174RFI5__SAMN05444418_12240
ERR1913232.129162__1.129162	40518__R5E8B6__RB5AMG_00876
ERR1913232.129262__1.129262	39488__A0A173SMQ7__EUBHAL_00819
ERR1913232.129282__1.129282	204516__U6RFY9__HMPREF1534_02069
ERR1913232.129329__1.129329	165179__A0A3E5A5E5__DXC61_13965
ERR1913232.129397__1.129397	39485__R5ZHA7__ERS852490_00039
ERR1913232.129435__1.129435	165179__D1PHM6__DXC61_06700
ERR1913232.129658__1.129658	39491__C4ZF05__vpr
ERR1913232.129789__1.129789	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.129882__1.129882	310298__B3JNG7__BACCOP_03480
ERR1913232.129931__1.129931	1262924__R7HRI6__BN585_00824
ERR1913232.129986__1.129986	165179__A0A3E5A554__DXB80_13805
ERR1913232.130091__1.130091	69974__A0A090FEL8__MPL3365_630008
ERR1913232.130165__1.130165	33038__A0A2N5NRJ3__CDL20_13245
ERR1913232.130328__1.130328	47678__R5U8S9__DW706_06260
ERR1913232.130427__1.130427	165179__A0A174SA26__PREVCOP_05758
ERR1913232.130742__1.130742	165179__A0A3E5EB26__CFT61_02800
ERR1913232.130980__1.130980	69974__A0A090FEL8__MPL3365_630008
ERR1913232.131070__1.131070	216816__A0A0A0UDU9__BL1246
ERR1913232.131217__1.131217	1262913__R7JEY4__BN646_02004
ERR1913232.131440__1.131440	28117__B0MUY3__BHV66_00515
ERR1913232.131442__1.131442	310298__B3JJ24__BACCOP_01886
ERR1913232.131615__1.131615	204516__U6RHM5__HMPREF1534_02096
ERR1913232.131751__1.131751	204516__U6RR96__HMPREF1534_00277
ERR1913232.131760__1.131760	1150298__A0A174MSM0__toxA_2
ERR1913232.131984__1.131984	69974__A0A090FEL8__MPL3365_630008
ERR1913232.131994__1.131994	853__A0A2A7B1Y7__C7K05_11930
ERR1913232.132015__1.132015	216816__C5E9C3__CJO32_03030
ERR1913232.132019__1.132019	821__A0A3E4KIM1__M097_3660
ERR1913232.132167__1.132167	40518__A0A373KL92__RBATCC27255_01378
ERR1913232.132231__1.132231	216816__A0A061M1M5__HMPREF0177_01046
ERR1913232.132378__1.132378	1262924__R7HPU8__BN585_00010
ERR1913232.132668__1.132668	301301__A0A395VGH2__dltB_2
ERR1913232.132820__1.132820	28117__B0MYI9__BHV66_05415
ERR1913232.132984__1.132984	487173__H1CYJ4__HMPREF9453_00432
ERR1913232.133083__1.133083	28117__B0MYI9__BHV66_05415
ERR1913232.133325__1.133325	165179__A0A3E5AGH1__DXB80_05820
ERR1913232.133467__1.133467	28117__B0MUL5__ALIPUT_00722
ERR1913232.133423__1.133423	28118__F9ZBW3__Odosp_3541
ERR1913232.133610__1.133610	28117__B0MUY3__BHV66_00515
ERR1913232.133758__1.133758	820__A0A139K5E7__DXC68_09550
ERR1913232.133806__1.133806	216816__A0A1D7MV89__EK5BL_04715
ERR1913232.133976__1.133976	69974__A0A090FEL8__MPL3365_630008
ERR1913232.133996__1.133996	39491__A0A395ZHV7__ykvU
ERR1913232.134088__1.134088	165179__A0A3E5EA43__DXC61_07775
ERR1913232.134105__1.134105	1262924__R7HQS1__BN585_00657
ERR1913232.134293__1.134293	69974__A0A090FEL8__MPL3365_630008
ERR1913232.134311__1.134311	487173__H1D090__HMPREF9453_01028
ERR1913232.134383__1.134383	1299998__GCA_001494635.1_02152
ERR1913232.134413__1.134413	165179__A0A3E5DY64__CFT61_10025
ERR1913232.134617__1.134617	69974__A0A090FEL8__MPL3365_630008
ERR1913232.134626__1.134626	820__A0A174CK74__DXB48_07060
ERR1913232.134784__1.134784	39492__D4JQM9__EUBSIR_00669
ERR1913232.134873__1.134873	487173__H1CXT1__HMPREF9453_00169
ERR1913232.135075__1.135075	853__A0A173T751__C4N24_10280
ERR1913232.135244__1.135244	39485__A0A174ZBJ8__speA_2
ERR1913232.135278__1.135278	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913232.135565__1.135565	1796652__ltrA_3
ERR1913232.135606__1.135606	39485__R5ZVC3__ERS852490_00250
ERR1913232.135776__1.135776	69974__A0A090FEL8__MPL3365_630008
ERR1913232.135854__1.135854	39492__R6RT40__prkC_3
ERR1913232.136065__1.136065	39485__R5ZVC3__ERS852490_00250
ERR1913232.136293__1.136293	39491__A0A396FNP1__DXD95_06025
ERR1913232.136304__1.136304	39491__A0A395ZG74__licR
ERR1913232.136419__1.136419	165179__A0A3E5EAM5__DXC61_07785
ERR1913232.136531__1.136531	165179__A0A3E5E4T9__DXB80_08030
ERR1913232.136901__1.136901	39485__C4Z6I9__ERS852492_02038
