ERR1913317.44__1.44	28116__A0A3E5HUC8__DHW41_21025
ERR1913317.667842__1.667842	39491__D6DXZ8__DXB72_15035
ERR1913317.667870__1.667870	1262743__R5C054__BN727_01980
ERR1913317.667928__1.667928	39486__B0G8A7__DXD82_06625
ERR1913317.668095__1.668095	28116__A7LS06__HMPREF2532_04668
ERR1913317.668195__1.668195	820__A0A174EV88__HMPREF1072_01427
ERR1913317.668147__1.668147	820__A0A139KIL9__DXC68_05945
ERR1913317.668266__1.668266	40518__R5DM08__DXD83_06415
ERR1913317.668453__1.668453	1535__A7VPY2__CLOLEP_00609
ERR1913317.668661__1.668661	33038__A0A2N5Q1T9__ERS852409_01319
ERR1913317.668668__1.668668	1263107__GCA_000436995.1_00074
ERR1913317.668692__1.668692	28117__B0MWP2__ALIPUT_01468
ERR1913317.668623__1.668623	821__A0A174JYD3__ERS852457_02610
ERR1913317.668874__1.668874	1150298__A0A174DU21__toxA_3
ERR1913317.668963__1.668963	556259__I0PXW0__BSGG_5187
ERR1913317.668993__1.668993	47678__R5UG22__ERS852558_01514
ERR1913317.669021__1.669021	818__Q8A5L6__BT_2223
ERR1913317.669035__1.669035	1776081__A0A1B8WUM0__A0U42_09530
ERR1913317.669162__1.669162	28117__B0MTY2__BHV66_06485
ERR1913317.669227__1.669227	28117__B0MU76__ALIPUT_00202
ERR1913317.669338__1.669338	821__A0A396EVC9__DXB90_03525
ERR1913317.669480__1.669480	216816__C5E9N8__DD678_02795
ERR1913317.669496__1.669496	1680__A0A0B5BKZ3__DXD60_01450
ERR1913317.669538__1.669538	818__E5C5U7__SAMN05216253_101163
ERR1913317.669583__1.669583	649756__E5VJS7__mecR1_3
ERR1913317.669627__1.669627	1776081__A0A1B8WVH2__A0U42_09025
ERR1913317.669718__1.669718	39491__A0A395V0X2__EUBREC_3007
ERR1913317.669881__1.669881	487174__K0X3H8__HMPREF9448_02822
ERR1913317.669817__1.669817	187327__G4Q7L1__Acin_1124
ERR1913317.669939__1.669939	28116__A7LS02__DXF98_24100
ERR1913317.669945__1.669945	820__A0A174A6K0__M093_0079
ERR1913317.669948__1.669948	214856__I3YMC8__ERS852447_02666
ERR1913317.669990__1.669990	820__R9HXK9__DXB62_08265
ERR1913317.670002__1.670002	40518__R5DUW7__DXD83_02105
ERR1913317.670029__1.670029	394340__alaS
ERR1913317.670061__1.670061	39491__C4Z8S1__DXB76_06750
ERR1913317.670062__1.670062	820__A7VAR9__ERS852421_00197
ERR1913317.670138__1.670138	28116__A0A078Q7C2__DHW41_14520
ERR1913317.670267__1.670267	820__A0A174TRB5__DXD40_11305
ERR1913317.670290__1.670290	820__A0A139KHX1__HMPREF2141_00289
ERR1913317.670328__1.670328	74426__pflB_2
ERR1913317.670366__1.670366	649756__B0NWY4__blaR1_3
ERR1913317.670633__1.670633	47678__A5ZI88__BACCAC_02617
ERR1913317.670803__1.670803	820__A0A173YYG4__evgS_3
ERR1913317.670845__1.670845	821__A0A395UNT8__DXD64_15275
ERR1913317.670863__1.670863	823__A0A395YZG9__M092_4358
ERR1913317.671085__1.671085	820__A0A3E4IGB2__HMPREF1073_03893
ERR1913317.671158__1.671158	28117__B0MTH2__ALIPUT_00061
ERR1913317.671180__1.671180	820__A0A174F0C1__nreB
ERR1913317.671264__1.671264	28116__A0A3D2LPA1__CUY_3388
ERR1913317.671295__1.671295	820__A0A3E4GE89__DXB48_02565
ERR1913317.671377__1.671377	820__A0A173YYG4__evgS_3
ERR1913317.671576__1.671576	291644__R5JC88__HMPREF1532_00990
ERR1913317.671591__1.671591	214856__A0A173W3Y5__ERS852559_02032
ERR1913317.671631__1.671631	88431__A0A3D0F0I7__DORLON_00967
ERR1913317.671647__1.671647	1680__A0A0C2YPV2__AL0462_1474
ERR1913317.671776__1.671776	1160721__W0U3K9__BHW50_11040
ERR1913317.671809__1.671809	1262980__R5BZ40__BN814_00028
ERR1913317.671827__1.671827	40518__R5DVR2__RBL236_00303
ERR1913317.671872__1.671872	39491__A0A396FSN2__EUBREC_0707
ERR1913317.671925__1.671925	821__A0A395UNT8__DXD64_15275
ERR1913317.671934__1.671934	1150298__A0A174EBT8__ERS852406_01739
ERR1913317.672009__1.672009	40518__R5DME2__DXD86_07315
ERR1913317.672057__1.672057	820__A0A173YYG4__evgS_3
ERR1913317.672118__1.672118	820__A0A3E4VXP2__yesR
ERR1913317.672235__1.672235	40518__R5DZI2__DXD93_06940
ERR1913317.672305__1.672305	1262980__R5BZ40__BN814_00028
ERR1913317.672486__1.672486	1263107__GCA_000436995.1_00106
ERR1913317.672490__1.672490	649756__R7BXP1__ERS852425_00382
ERR1913317.672536__1.672536	820__A0A3E4HWJ4__DXD40_05945
ERR1913317.672518__1.672518	1150298__R7JRC9__ERS852535_00719
ERR1913317.672599__1.672599	820__A0A139K8X8__DXC80_17665
ERR1913317.672603__1.672603	187327__U2VMS3__ACDG_00972
ERR1913317.672629__1.672629	820__A0A139K024__B5G17_02060
ERR1913317.672636__1.672636	820__A0A3E5BMG9__DXD40_05130
ERR1913317.672799__1.672799	214856__A0A174ZLY7__ERS852447_02456
ERR1913317.672869__1.672869	821__E5UY21__C800_02204
ERR1913317.672999__1.672999	216816__A0A133LQN7__BL15B_00780
ERR1913317.673073__1.673073	1262743__R5C054__BN727_01980
ERR1913317.673100__1.673100	818__A0A0N7IB36__BJP75_006465
ERR1913317.673110__1.673110	39491__A0A395V297__EUR_01010
ERR1913317.673193__1.673193	28116__C3QMW5__M089_4133
ERR1913317.673230__1.673230	28116__C3QSX8__SAMN05444282_101331
ERR1913317.673253__1.673253	1263107__GCA_000436995.1_00056
ERR1913317.673256__1.673256	40518__R5E6K4__RB5AMG_02070
ERR1913317.673274__1.673274	1896974__A0A1Q6H2H7__BHV77_11215
ERR1913317.673472__1.673472	310298__B3JII2__BACCOP_01694
ERR1913317.673498__1.673498	1776081__A0A1B8WVD5__A0U42_08535
ERR1913317.673520__1.673520	823__D7IV95__DXC05_09565
ERR1913317.673525__1.673525	28052__A0A174K6D6__ERS852451_01708
ERR1913317.673570__1.673570	820__A0A139K8N1__ERS852554_00951
ERR1913317.673635__1.673635	46506__R6AEP1__HMPREF1181_01415
ERR1913317.673645__1.673645	40518__R5DZC6__mreC
ERR1913317.673652__1.673652	301301__G2SX39__ERS852391_02360
ERR1913317.673590__1.673590	1628085__A0A2U1B477__C7386_12136
ERR1913317.673749__1.673749	820__A0A3E4PYB0__yejM
ERR1913317.673918__1.673918	292800__G9YMI4__ERS852518_06919
ERR1913317.674095__1.674095	40518__R5DR72__RBL236_02110
ERR1913317.674129__1.674129	823__A0A355XGQ3__prmC
ERR1913317.674261__1.674261	28116__A0A1Y4PIA6__BACOV975_04529
ERR1913317.674427__1.674427	40518__R5E2U9__RBL263_01292
ERR1913317.674434__1.674434	820__A0A3E4W984__pssA
ERR1913317.674452__1.674452	387090__S0F8B2__BACCOPRO_02129
ERR1913317.674587__1.674587	1776081__A0A1B8WVL2__A0U42_08320
ERR1913317.674609__1.674609	40518__R5DVL2__penA
ERR1913317.674648__1.674648	216816__B7GPE8__I118_0062
ERR1913317.674705__1.674705	214856__R6XTZ7__ERS852447_02314
ERR1913317.674756__1.674756	820__A0A3E4W4W5__ERS852554_02179
ERR1913317.674913__1.674913	28116__A0A1Y4PZ83__DHW41_02625
ERR1913317.674918__1.674918	823__A0A174UR44__M095_2641
ERR1913317.675109__1.675109	820__A0A3E4G826__C801_01612
ERR1913317.675122__1.675122	820__A0A3E4G493__ERS417307_00253
ERR1913317.675243__1.675243	28118__F9ZCA9__NCTC10826_03259
ERR1913317.675309__1.675309	1262882__R5MRS7__BN519_01490
ERR1913317.675363__1.675363	820__A0A3E4QZJ7__C801_01798
ERR1913317.675382__1.675382	820__A0A174DZ97__SAMN05444418_101240
ERR1913317.675578__1.675578	292800__A0A174QD59__HMPREF9460_00733
ERR1913317.675608__1.675608	187327__G4Q560__ACDG_01931
ERR1913317.675715__1.675715	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913317.675717__1.675717	820__A0A078S4C2__ERS417307_00828
ERR1913317.675811__1.675811	28116__I9ST00__M088_5588
ERR1913317.675886__1.675886	853__E2ZGD9__C7J97_11715
ERR1913317.675926__1.675926	40518__R5DQR9__DXD83_00030
ERR1913317.675964__1.675964	40518__R5DVQ2__DXD93_00365
ERR1913317.676043__1.676043	626929__F3PIP0__B5F97_02200
ERR1913317.676219__1.676219	823__D7IRG1__NCTC11152_02276
ERR1913317.676238__1.676238	28116__A0A078Q626__HMPREF1070_02735
ERR1913317.676533__1.676533	40518__R5E6X5__sbcD
ERR1913317.676547__1.676547	487174__K0XKB7__DDY40_03475
ERR1913317.676712__1.676712	39488__C0F0P7__ERS852578_02651
ERR1913317.676886__1.676886	820__A0A139K4T0__ERS852510_03146
ERR1913317.676894__1.676894	821__A0A0P0M2J4__DXD46_10295
ERR1913317.676907__1.676907	74426__group_4851
ERR1913317.677035__1.677035	1680__R5GRA4__ERS852382_01548
ERR1913317.677171__1.677171	28116__I9ST00__M088_5588
ERR1913317.677187__1.677187	410072__C0BAH4__COPCOM_02077
ERR1913317.677197__1.677197	820__R9HVB9__DXC68_17285
ERR1913317.677202__1.677202	1630166__A0A261FHH7__BMYO_1601
ERR1913317.677300__1.677300	68891__A0A0F2DY13__dnaK
ERR1913317.677346__1.677346	40518__R5DUJ5__DXD83_01635
ERR1913317.677641__1.677641	820__A0A139KHD8__ERS417307_00569
ERR1913317.677634__1.677634	821__A0A395UNT8__DXD64_15275
ERR1913317.677670__1.677670	821__D4VC51__M099_1508
ERR1913317.677685__1.677685	418240__A0A173XT66__ERS852478_00742
ERR1913317.677745__1.677745	823__A0A173RD26__B5F32_03910
ERR1913317.677717__1.677717	1150298__A0A174T452__kfoC_3
ERR1913317.677921__1.677921	1680__A0A3E4SB79__BAD_1517
ERR1913317.677946__1.677946	28117__B0MXU6__ALIPUT_01958
ERR1913317.678136__1.678136	487174__K0XM88__DDY40_02935
ERR1913317.678179__1.678179	820__A0A139JUD3__DXC91_19380
ERR1913317.678266__1.678266	357276__I9QBT7__BSEG_03340
ERR1913317.678327__1.678327	820__A0A1T4IYF4__mprA_1
ERR1913317.678339__1.678339	39491__C4ZHS4__EUR_24420
ERR1913317.678373__1.678373	39486__B0G2A7__DXB12_08805
ERR1913317.678447__1.678447	1099853__G9S865__NSB1T_02675
ERR1913317.678695__1.678695	28116__I9ST00__M088_5588
ERR1913317.678834__1.678834	47678__A5ZHJ2__DXB67_12405
ERR1913317.678914__1.678914	40518__R5DXH2__DXD83_10135
ERR1913317.678941__1.678941	47678__R5U3V5__DW706_14455
ERR1913317.678950__1.678950	820__A0A3E4VZT7__DXB48_16145
ERR1913317.678885__1.678885	40518__R5DVQ2__DXD93_00365
ERR1913317.679057__1.679057	820__A0A3E4XM43__DXC91_13960
ERR1913317.679193__1.679193	821__A0A174NVL6__NCTC10583_01782
ERR1913317.679293__1.679293	39491__A0A395V1Y4__DXB99_08035
ERR1913317.679318__1.679318	187327__G4Q7Q6__ACDG_00853
ERR1913317.679334__1.679334	626932__G5H705__HMPREF9450_00848
ERR1913317.679407__1.679407	28116__A0A395VSP8__ERS852555_02642
ERR1913317.679689__1.679689	40518__R5DTG5__RBATCC27255_00890
ERR1913317.679826__1.679826	818__A0A0P0F2P7__BT_1771
ERR1913317.679958__1.679958	239935__A0A2N8IQX1__dnaA
ERR1913317.680206__1.680206	187327__R6MDJ4__ACDG_00402
ERR1913317.680442__1.680442	187327__U2U4L1__Acin_2007
ERR1913317.680481__1.680481	626929__F3PLK4__B5F97_09735
ERR1913317.680498__1.680498	47678__R5U7L8__DXB67_16595
ERR1913317.680535__1.680535	187327__R6M6U9__xseA
ERR1913317.680651__1.680651	820__A0A139K024__B5G17_02060
ERR1913317.680734__1.680734	147206__GCF_000156215.1_01774
ERR1913317.680910__1.680910	214856__A0A175A6T5__ERS852447_02658
ERR1913317.680884__1.680884	820__I9J701__ERS852510_01809
ERR1913317.681008__1.681008	357276__A0A076IS26__EL88_15950
ERR1913317.681061__1.681061	821__A0A0P0M2J4__DXD46_10295
ERR1913317.681132__1.681132	820__A0A396EUU8__luxQ_3
ERR1913317.681275__1.681275	216816__D6DC09__BLIC_a02334
ERR1913317.681516__1.681516	820__A0A374Q8T2__DXB64_16190
ERR1913317.681473__1.681473	187327__G4Q2R6__Acin_2204
ERR1913317.681703__1.681703	39488__A0A374NJ86__mltG
ERR1913317.681756__1.681756	187327__G4Q2R6__Acin_2204
ERR1913317.681952__1.681952	821__A0A395UNT8__DXD64_15275
ERR1913317.681955__1.681955	40518__R5DWH8__DXD86_04530
ERR1913317.682010__1.682010	28117__R7JN92__BHV66_00550
ERR1913317.682039__1.682039	823__D7ILK2__ERS852380_00031
ERR1913317.682058__1.682058	47678__A5ZEA3__ERS852558_00257
ERR1913317.682067__1.682067	28117__B0MTI4__ALIPUT_00084
ERR1913317.682161__1.682161	216816__B3DRY8__DPC6320_0936
ERR1913317.682108__1.682108	820__A0A139K4W1__M093_0353
ERR1913317.682178__1.682178	40518__R5DQJ0__DXD93_03790
ERR1913317.682314__1.682314	820__A0A3E4WCX3__C801_02709
ERR1913317.682462__1.682462	371601__A0A1H4AKU1__BXY_45200
ERR1913317.682426__1.682426	216816__C5E8I1__yciB
ERR1913317.682494__1.682494	216816__A0A3D8U0T6__BN57_1990
ERR1913317.682586__1.682586	818__R6VB25__BSIG_5053
ERR1913317.682609__1.682609	216816__E8MH24__APS65_02760
ERR1913317.682550__1.682550	820__A7VAR9__ERS852421_00197
ERR1913317.682553__1.682553	820__A7VAR9__ERS852421_00197
ERR1913317.682675__1.682675	820__A0A374QGD2__ERS852421_02382
ERR1913317.682690__1.682690	39491__D4JM76__DXC13_02150
ERR1913317.682774__1.682774	40518__R5DNY7__RBATCC27255_00367
ERR1913317.682793__1.682793	823__A0A355XKR1__DHP27_04035
ERR1913317.682926__1.682926	28116__A0A139L6N6__HMPREF2532_02529
ERR1913317.682989__1.682989	187327__G4Q6U4__ACDG_01459
ERR1913317.683039__1.683039	28116__A7LS06__HMPREF2532_04668
ERR1913317.683045__1.683045	820__A0A3E4WA06__ERS852554_03404
ERR1913317.683081__1.683081	39496__A5Z8A3__EUBVEN_01944
ERR1913317.683093__1.683093	160404__A0A1Y4F405__B5G26_06625
ERR1913317.683130__1.683130	820__A0A374Q1D8__SAMN05444418_112114
ERR1913317.683136__1.683136	301302__A0A173T010__M72_26571
ERR1913317.683152__1.683152	820__A0A174CK74__DXB48_07060
ERR1913317.683153__1.683153	246787__A0A108T429__BACCELL_00192
ERR1913317.683186__1.683186	40518__R5DUU0__DXD93_03985
ERR1913317.683302__1.683302	821__A0A174JYD3__ERS852457_02610
ERR1913317.683274__1.683274	823__E1YR62__HMPREF1059_02331
ERR1913317.683362__1.683362	158787__A0A087DG80__BSCA_1742
ERR1913317.683394__1.683394	820__A0A139JRH8__HMPREF2141_04326
ERR1913317.683464__1.683464	820__A0A174A6K0__M093_0079
ERR1913317.683854__1.683854	88431__A0A3D0F0E5__ERS852526_03216
ERR1913317.684139__1.684139	820__A0A174A6K0__M093_0079
ERR1913317.684198__1.684198	821__A0A0P0M2J4__DXD46_10295
ERR1913317.684279__1.684279	649756__D4MTY0__ERS852425_01535
ERR1913317.684368__1.684368	821__A0A0P0L8F8__ERS852509_03705
ERR1913317.684373__1.684373	820__A0A174FUG6__DXC91_11265
ERR1913317.684382__1.684382	394340__obg
ERR1913317.684385__1.684385	820__A0A139K4T0__ERS852510_03146
ERR1913317.684398__1.684398	823__A6LEF3__ERS852560_01356
ERR1913317.684514__1.684514	40518__R5E4V5__RBL263_01242
ERR1913317.684774__1.684774	1680__R5GRA4__ERS852382_01548
ERR1913317.684837__1.684837	357276__A0A076ISJ4__B5F95_19420
ERR1913317.684854__1.684854	1304__J7SIV6__pspA_3
ERR1913317.684925__1.684925	28117__B0MTV3__BHV66_06405
ERR1913317.685132__1.685132	1796613__A0A1C7GYD6__A4V03_03700
ERR1913317.685157__1.685157	39491__A0A174M1X5__DXB99_18695
ERR1913317.685238__1.685238	28116__A0A1Y4PH15__DXA80_17985
ERR1913317.685338__1.685338	39496__A5Z723__EUBVEN_01506
ERR1913317.685438__1.685438	328814__GCA_004558275.1_00056
ERR1913317.685700__1.685700	28117__B0MXD0__ALIPUT_01669
ERR1913317.685769__1.685769	649756__D4MU34__DO83_08115
ERR1913317.685836__1.685836	187327__G4Q7A0__ACDG_00618
ERR1913317.685839__1.685839	1776081__A0A1B8WVH9__A0U42_08525
ERR1913317.685975__1.685975	187327__G4Q4A5__ACDG_01070
ERR1913317.686132__1.686132	626929__F3PKG7__SAMN05444376_0720
ERR1913317.686108__1.686108	418240__A0A174T5R0__yehU_2
ERR1913317.686172__1.686172	28116__R6JIR4__DXA80_14190
ERR1913317.686144__1.686144	39488__A0A374NJ86__mltG
ERR1913317.686145__1.686145	187327__G4Q8D7__ACDG_00525
ERR1913317.686293__1.686293	820__A7VAR9__ERS852421_00197
ERR1913317.686388__1.686388	28116__A7LXU0__HMPREF1070_00358
ERR1913317.686428__1.686428	821__A6L0C7__ERS852556_03520
ERR1913317.686467__1.686467	1776081__A0A1B8WUQ9__A0U42_01755
ERR1913317.686520__1.686520	46506__S3YT03__AA415_01895
ERR1913317.686540__1.686540	649756__B0P3M9__ERS852475_01934
ERR1913317.686591__1.686591	46506__B0NPY3__BACSTE_02000
ERR1913317.686604__1.686604	40518__R5E426__DXD93_04485
ERR1913317.686605__1.686605	820__A0A139JRS5__HMPREF1073_04025
ERR1913317.686613__1.686613	572010__pnp
ERR1913317.686701__1.686701	821__D4VD59__BHV80_04260
ERR1913317.686648__1.686648	820__A0A374Q854__HMPREF1073_03281
ERR1913317.686714__1.686714	40518__R5DLM5__RB5AMG_00422
ERR1913317.686669__1.686669	1262744__R6FST0__BN744_00381
ERR1913317.686742__1.686742	371601__D7J175__DXD03_05675
ERR1913317.686844__1.686844	821__A0A395UNT8__DXD64_15275
ERR1913317.686920__1.686920	820__A0A174DZ97__SAMN05444418_101240
ERR1913317.687038__1.687038	818__A0A3E5GY47__SAMN02910322_02002
ERR1913317.687075__1.687075	28117__B0MY40__BHV66_05170
ERR1913317.687091__1.687091	310298__B3JII2__BACCOP_01694
ERR1913317.687177__1.687177	28116__D4WJ30__DHW41_06080
ERR1913317.687206__1.687206	28116__C3QXZ9__DXA80_15295
ERR1913317.687251__1.687251	649756__A0A173TJC0__DO83_00275
ERR1913317.687322__1.687322	1680__A0A1X3A951__AL0462_1583
ERR1913317.687366__1.687366	187327__R6N873__ACDG_01983
ERR1913317.687375__1.687375	216816__A0A061M1M5__HMPREF0177_01046
ERR1913317.687685__1.687685	820__A0A3E4PYB0__yejM
ERR1913317.687690__1.687690	1263107__GCA_000436995.1_00140
ERR1913317.687716__1.687716	147206__GCF_000156215.1_00014
ERR1913317.687760__1.687760	820__A0A078S4C2__ERS417307_00828
ERR1913317.687808__1.687808	820__R9I324__HMPREF2141_02414
ERR1913317.687857__1.687857	28052__A0A174JKH6__hisZ
ERR1913317.687862__1.687862	821__D4VD59__BHV80_04260
ERR1913317.688043__1.688043	1776081__A0A1B8WV06__A0U42_08505
ERR1913317.688067__1.688067	40518__R5DTJ1__DXD86_03635
ERR1913317.688078__1.688078	821__E5UMZ6__BVU_1450
ERR1913317.688180__1.688180	39491__A0A173TM76__DXB72_10535
ERR1913317.688226__1.688226	39491__A0A395V5R3__EUBREC_1883
ERR1913317.688289__1.688289	820__A0A174A6K0__M093_0079
ERR1913317.688301__1.688301	626929__F3PJN9__B5F24_15155
ERR1913317.688379__1.688379	821__A0A397WGD6__M098_0084
ERR1913317.688403__1.688403	626929__F3PJ28__B5F24_03465
ERR1913317.688436__1.688436	820__A0A3E4W4Y7__B5G17_02055
ERR1913317.688606__1.688606	820__A0A174DZ97__SAMN05444418_101240
ERR1913317.688664__1.688664	40518__R5DYT8__mscS
ERR1913317.688723__1.688723	40518__R5DPI9__DXD83_07375
ERR1913317.688727__1.688727	39488__A0A173RHK8__EUBHAL_01709
ERR1913317.688903__1.688903	246787__I8V2S2__BACCELL_02524
ERR1913317.688998__1.688998	410072__A0A3E4GT65__ERS852574_02325
ERR1913317.689110__1.689110	820__A0A174F0C1__nreB
ERR1913317.689348__1.689348	328813__A0A1Y3QZL2__B5G41_02100
ERR1913317.689283__1.689283	649756__D4MW28__cap8A
ERR1913317.689408__1.689408	821__D4VD59__BHV80_04260
ERR1913317.689422__1.689422	28116__A0A395VRD0__HMPREF1017_03376
ERR1913317.689425__1.689425	820__A0A174CG08__DXB62_13215
ERR1913317.689449__1.689449	187327__G4Q600__ACDG_00661
ERR1913317.689468__1.689468	357276__A0A076ISJ4__B5F95_19420
ERR1913317.689633__1.689633	187327__G4Q2J4__Acin_1428
ERR1913317.689678__1.689678	187327__G4Q5W8__Acin_0015
ERR1913317.689823__1.689823	1776081__A0A1B8WUT1__A0U42_08955
ERR1913317.689862__1.689862	820__A0A174CG08__DXB62_13215
ERR1913317.689948__1.689948	40518__R5DXP6__DXD83_06110
ERR1913317.689892__1.689892	371601__D0TLK9__BN890_11250
ERR1913317.689969__1.689969	820__A0A174R952__DXB48_02570
ERR1913317.690044__1.690044	187327__G4Q337__ACDG_01307
ERR1913317.690156__1.690156	1680__A0A374QDL4__LMG18897_0432
ERR1913317.690137__1.690137	823__A0A073I748__M096_3057
ERR1913317.690272__1.690272	39488__A0A173RU01__EUBHAL_00881
ERR1913317.690247__1.690247	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913317.690284__1.690284	821__D4V4X2__DXC16_18525
ERR1913317.690434__1.690434	1099853__G9S433__NSB1T_07535
ERR1913317.690526__1.690526	187327__G4Q785__oadA
ERR1913317.690550__1.690550	1680__A0A076JNH5__DXC60_03835
ERR1913317.690611__1.690611	823__K6APS3__DDY96_02400
ERR1913317.690791__1.690791	821__A0A0P0LH09__ERS852457_03390
ERR1913317.690776__1.690776	28117__B0MXI8__BHV66_08505
ERR1913317.690857__1.690857	820__A7UYX8__DXD40_11635
ERR1913317.690871__1.690871	28116__A0A3E5HTL2__SAMN05444282_12366
ERR1913317.690824__1.690824	39488__C0EY66__prkC_1
ERR1913317.690899__1.690899	28117__B0MWP2__ALIPUT_01468
ERR1913317.690903__1.690903	40520__A0A396FY90__DXB81_01030
ERR1913317.690937__1.690937	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913317.690977__1.690977	40518__R5DY98__mepA_5
ERR1913317.691048__1.691048	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913317.691286__1.691286	820__R9I324__HMPREF2141_02414
ERR1913317.691367__1.691367	572010__hgdC_1
ERR1913317.691397__1.691397	187327__G4Q440__pepD
ERR1913317.691409__1.691409	821__A0A3E4WAR6__DXD64_10735
ERR1913317.691472__1.691472	820__A0A139JRS5__HMPREF1073_04025
ERR1913317.691529__1.691529	74426__thrZ
ERR1913317.691631__1.691631	292800__A0A174CG92__B5F52_13290
ERR1913317.691604__1.691604	28116__D7K2E0__endOF2_3
ERR1913317.691663__1.691663	821__A0A174WBC9__ERS852556_03145
ERR1913317.691767__1.691767	821__A0A395VIK7__BVU_1225
ERR1913317.691779__1.691779	46503__K5ZM81__DCY29_16460
ERR1913317.691921__1.691921	28117__B0MY40__BHV66_05170
ERR1913317.692110__1.692110	572010__nifJ
ERR1913317.692142__1.692142	371601__D0TQQ4__BN891_30250
ERR1913317.692254__1.692254	556259__I0PYL9__BSGG_5205
ERR1913317.692308__1.692308	821__A0A0P0LH09__ERS852457_03390
ERR1913317.692553__1.692553	328814__GCA_004558275.1_00067
ERR1913317.692582__1.692582	187327__G4Q590__Acin_2065
ERR1913317.692590__1.692590	40518__R5E670__DXD93_06195
ERR1913317.692599__1.692599	28116__F7LC60__AA414_00422
ERR1913317.692646__1.692646	1263107__GCA_000436995.1_00076
ERR1913317.692698__1.692698	187327__G4Q908__Acin_0464
ERR1913317.692820__1.692820	187327__G4Q337__ACDG_01307
ERR1913317.692908__1.692908	28116__D7K2E0__endOF2_3
ERR1913317.692978__1.692978	1308__V8LWX5__CDA68_00328
ERR1913317.693040__1.693040	820__A0A174I980__gldH
ERR1913317.693124__1.693124	820__A0A078S4C2__ERS417307_00828
ERR1913317.693161__1.693161	821__A0A174NM17__lacZ_6
ERR1913317.693181__1.693181	626929__F3PER9__HMPREF9445_00479
ERR1913317.693196__1.693196	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913317.693350__1.693350	820__A7VAR9__ERS852421_00197
ERR1913317.693361__1.693361	1150298__A0A174T452__kfoC_3
ERR1913317.693512__1.693512	823__A6LB62__B5F32_04550
ERR1913317.693883__1.693883	820__A0A139JUD3__DXC91_19380
ERR1913317.693873__1.693873	74426__rpoC
ERR1913317.694151__1.694151	40518__R5E1J7__RBL236_02062
ERR1913317.694219__1.694219	820__A0A1T4IYF4__mprA_1
ERR1913317.694271__1.694271	216816__Q8G6X1__DD674_00140
ERR1913317.694284__1.694284	1160721__W0U274__RBI_I00073
ERR1913317.694311__1.694311	1628085__A0A1C6CGB4__C7386_11411
ERR1913317.694979__1.694979	1680__A0A087DKM6__B0042_0664
ERR1913317.694997__1.694997	820__A0A173WZS4__DXD90_10250
ERR1913317.695053__1.695053	823__D0TCC2__HMPREF1075_01590
ERR1913317.695064__1.695064	820__A0A3E4W4W5__ERS852554_02179
ERR1913317.695124__1.695124	1680__A1A2N8__LMG10734_1314
ERR1913317.695196__1.695196	28116__A0A3D2LWY1__ERS852555_01619
ERR1913317.695513__1.695513	147207__adhE_1
ERR1913317.695707__1.695707	820__R9HP61__DXC91_01090
ERR1913317.695842__1.695842	371601__A0A1Y4VIV8__SAMN05216250_12923
ERR1913317.695886__1.695886	301301__A0A395VA65__eutA
ERR1913317.695916__1.695916	626929__F3PIP0__B5F97_02200
ERR1913317.696034__1.696034	1150298__A0A174PXR1__ERS852406_02747
ERR1913317.696035__1.696035	1263107__GCA_000436995.1_00208
ERR1913317.696095__1.696095	1150298__A0A174SLE6__mlc_1
ERR1913317.696099__1.696099	394340__thiC
ERR1913317.696182__1.696182	214856__R6XTZ7__ERS852447_02314
ERR1913317.696292__1.696292	818__A0A3E5GY47__SAMN02910322_02002
ERR1913317.696475__1.696475	357276__I9QBT7__BSEG_03340
ERR1913317.696509__1.696509	1680__A0A374QDL4__LMG18897_0432
ERR1913317.696518__1.696518	1896974__A0A1Q6H2H7__BHV77_11215
ERR1913317.696537__1.696537	817__A0A1C0WW19__macB_12
ERR1913317.696728__1.696728	40518__R5DS23__DXD86_01715
ERR1913317.696772__1.696772	187327__G4Q3H4__Acin_1758
ERR1913317.696851__1.696851	821__A0A174T998__DXB82_10860
ERR1913317.697009__1.697009	39491__A0A395UZL1__DXB76_05950
ERR1913317.697075__1.697075	74426__infB
ERR1913317.697094__1.697094	487174__K0X551__HMPREF9448_02151
ERR1913317.697155__1.697155	39491__A0A396FSN2__EUBREC_0707
ERR1913317.697163__1.697163	39488__A0A285PT56__ERS852450_02640
ERR1913317.697214__1.697214	301302__A0A173SUI7__M72_11091
ERR1913317.697240__1.697240	216816__A0A133LQN7__BL15B_00780
ERR1913317.697366__1.697366	820__A7V470__HMPREF1072_02076
ERR1913317.697567__1.697567	820__A0A3E4VXP2__yesR
ERR1913317.697590__1.697590	301302__A0A0M6WWS5__M72_14631
ERR1913317.697699__1.697699	820__A0A174I980__gldH
ERR1913317.697664__1.697664	820__A0A139KA34__B5G17_05520
ERR1913317.697674__1.697674	820__A0A174GYA8__DXB64_07370
ERR1913317.697769__1.697769	40518__R5DP21__RBATCC27255_00348
ERR1913317.697870__1.697870	39491__A0A395V5R3__EUBREC_1883
ERR1913317.697910__1.697910	820__A0A139KA34__B5G17_05520
