ERR1912976.284__1.284	329854__R5M2W6__DXD57_07830
ERR1912976.1894592__1.1894592	301301__A0A395V944__ERS852391_00514
ERR1912976.1894785__1.1894785	329854__R5MDC5__DXD57_08415
ERR1912976.1894861__1.1894861	1160721__W0U834__RBI_I01990
ERR1912976.1894993__1.1894993	1160721__R6TGH1__BHW50_05060
ERR1912976.1895005__1.1895005	329854__R5LZK1__DXD27_00590
ERR1912976.1895066__1.1895066	33038__A0A2N5NXH5__CDL27_14300
ERR1912976.1895088__1.1895088	33038__A0A2N5NWR8__CDL18_14140
ERR1912976.1895343__1.1895343	821__E5UMZ6__BVU_1450
ERR1912976.1895359__1.1895359	1262743__R5C054__BN727_01980
ERR1912976.1895460__1.1895460	853__C7H1R8__DW905_06675
ERR1912976.1895512__1.1895512	328814__GCA_004558275.1_00292
ERR1912976.1895489__1.1895489	1304__J7TGU8__Ssal_02017
ERR1912976.1895824__1.1895824	39485__C4Z6K2__ERS852490_00407
ERR1912976.1895938__1.1895938	357276__A0A076IS46__BACDOR_03265
ERR1912976.1895914__1.1895914	1160721__R6U304__BHW50_05725
ERR1912976.1896031__1.1896031	147206__GCF_000156215.1_01772
ERR1912976.1896391__1.1896391	360807__A0A396A9J5__ROSEINA2194_00828
ERR1912976.1896470__1.1896470	33039__A0A174Y8E4__suhB
ERR1912976.1896499__1.1896499	1297617__A0A0S2W6H3__IB211_02217c
ERR1912976.1896583__1.1896583	329854__R5M415__BACINT_04491
ERR1912976.1896919__1.1896919	387090__S0F7Y3__BACCOPRO_02028
ERR1912976.1897176__1.1897176	487174__K0XES7__HMPREF9448_00566
ERR1912976.1897232__1.1897232	39485__C4Z389__ERS852490_01920
ERR1912976.1897552__1.1897552	33038__A0A2N5Q1T9__ERS852409_01319
ERR1912976.1897728__1.1897728	487174__K0WV96__HMPREF9448_01901
ERR1912976.1897811__1.1897811	821__A0A174WBC9__ERS852556_03145
ERR1912976.1897843__1.1897843	165179__A0A229I3Z6__PREVCOP_03666
ERR1912976.1897912__1.1897912	40519__U2MCQ8__RUMCAL_00556
ERR1912976.1897935__1.1897935	1262824__R6S516__BN719_00505
ERR1912976.1898131__1.1898131	1262988__R7N2L5__BN816_01804
ERR1912976.1898200__1.1898200	28116__A7LUQ0__CUY_2205
ERR1912976.1898368__1.1898368	360807__A0A1Q6T4B4__ROSEINA2194_04053
ERR1912976.1898373__1.1898373	821__A0A3E4HP25__SAMN04487923_102450
ERR1912976.1898441__1.1898441	33038__A7B7G7__CDL25_12200
ERR1912976.1898549__1.1898549	649756__D4MYP6__DO83_09290
ERR1912976.1898588__1.1898588	1897011__A0A1Q6RG37__BHW41_02405
ERR1912976.1898623__1.1898623	820__R9I2U8__DXC68_09590
ERR1912976.1898637__1.1898637	33038__A0A2N5NTT9__ERS852409_01418
ERR1912976.1898889__1.1898889	2173__A0A1D2WST6__METSMIALI_00213
ERR1912976.1898910__1.1898910	2173__A0A1D2WST6__METSMIALI_00213
ERR1912976.1898986__1.1898986	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1912976.1899075__1.1899075	487174__K0X7X4__DIT83_09125
ERR1912976.1899091__1.1899091	820__A0A139KG04__ERS852459_01249
ERR1912976.1899103__1.1899103	1720294__U2ATY9__DWY69_03260
ERR1912976.1899129__1.1899129	1776045__A0A0U5J7K7__BN3456_00132
ERR1912976.1899222__1.1899222	821__A6L0C7__ERS852556_03520
ERR1912976.1899235__1.1899235	329854__R5M1Z6__BACINT_04643
ERR1912976.1899341__1.1899341	33038__A0A2N5NWR8__CDL18_14140
ERR1912976.1899450__1.1899450	329854__R5M4V3__DXK01_22225
ERR1912976.1899462__1.1899462	410072__A0A174BWR4__ERS852389_00309
ERR1912976.1899481__1.1899481	33038__A0A2N5PDA1__C5Y99_06180
ERR1912976.1899513__1.1899513	33038__A0A2N5P0D0__CDL18_07990
ERR1912976.1899653__1.1899653	33038__R5TPI2__CDL21_12595
ERR1912976.1899675__1.1899675	40519__U2MCQ8__RUMCAL_00556
ERR1912976.1899812__1.1899812	239935__A0A2N8IUW6__Amuc_1525
ERR1912976.1899865__1.1899865	820__A0A374QGD2__ERS852421_02382
ERR1912976.1899911__1.1899911	1160721__R6T2A6__RBI_I00395
ERR1912976.1899962__1.1899962	820__A0A174CG08__DXB62_13215
ERR1912976.1900032__1.1900032	39485__A0A174ZBJ8__speA_2
ERR1912976.1900278__1.1900278	239935__A0A139TQT9__Amuc_1197
ERR1912976.1900346__1.1900346	821__A0A174ALF2__BvMPK_3016
ERR1912976.1900402__1.1900402	33038__A0A2N5PPH4__DXD36_06695
ERR1912976.1900466__1.1900466	301301__A0A395V747__ERS852391_01535
ERR1912976.1900489__1.1900489	1160721__R6SW95__BHW50_08895
ERR1912976.1900636__1.1900636	821__A0A396F598__CUU_3259
ERR1912976.1900705__1.1900705	2292352__A0A374UKZ5__DXC23_11285
ERR1912976.1900739__1.1900739	360807__C0FZM4__RIL183_06871
ERR1912976.1901093__1.1901093	2293125__A0A374BLR6__DW917_15555
ERR1912976.1901113__1.1901113	1160721__W0U811__RBI_II00162
ERR1912976.1901165__1.1901165	562__Q8XBR9__G770_00628
ERR1912976.1901258__1.1901258	39485__C4Z4X5__ERS852492_02859
ERR1912976.1901382__1.1901382	649756__A0A173SJN7__fgs_1
ERR1912976.1901550__1.1901550	106588__A6NUL8__BACCAP_01900
ERR1912976.1901634__1.1901634	487174__K0X694__DIT83_09060
ERR1912976.1901672__1.1901672	33038__F7JTF2__CDL22_02335
ERR1912976.1901687__1.1901687	1262889__R7HAZ8__BN634_01039
ERR1912976.1901938__1.1901938	820__A0A3E4VZT7__DXB48_16145
ERR1912976.1901979__1.1901979	853__A0A3E2U7E6__ERS852582_01640
ERR1912976.1902055__1.1902055	292800__G9YWZ8__A4U99_12635
ERR1912976.1902013__1.1902013	820__A0A174R952__DXB48_02570
ERR1912976.1902093__1.1902093	239935__A0A2N8I1R3__CXU05_06075
ERR1912976.1902194__1.1902194	33038__A7B7G7__CDL25_12200
ERR1912976.1902290__1.1902290	88431__A6BIP6__DXB16_05510
ERR1912976.1902294__1.1902294	820__A0A139K426__B5G17_09115
ERR1912976.1902361__1.1902361	2292352__A0A374UKZ5__DXC23_11285
ERR1912976.1902431__1.1902431	371601__A0A1C7H6N4__SAMN05216250_10764
ERR1912976.1902460__1.1902460	29361__B6FQ81__CLONEX_02300
ERR1912976.1902565__1.1902565	1160721__A0A1C6JFS8__RBI_I00359
ERR1912976.1902613__1.1902613	820__A0A1T4IYF4__mprA_1
ERR1912976.1902705__1.1902705	33038__A0A396G851__tig
ERR1912976.1902850__1.1902850	39485__A0A174YVB5__lyc
ERR1912976.1902905__1.1902905	2292352__A0A374UNM1__DXC23_01675
ERR1912976.1902877__1.1902877	28052__A0A174MH21__ERS852499_01905
ERR1912976.1903159__1.1903159	360807__A0A0M6WCK5__ROSEINA2194_01361
ERR1912976.1903173__1.1903173	39492__D4JT68__spoIIIE
ERR1912976.1903256__1.1903256	360807__A0A1Q6T8W5__ROSEINA2194_03072
ERR1912976.1903388__1.1903388	246787__A0A3D6AV26__BcellWH2_02579
ERR1912976.1903405__1.1903405	338188__A0A174ETX3__ERS852397_01955
ERR1912976.1903495__1.1903495	821__D4V4X2__DXC16_18525
ERR1912976.1903730__1.1903730	360807__C0FSM3__ROSEINA2194_01739
ERR1912976.1903785__1.1903785	39485__C4Z6V1__ERS852492_02640
ERR1912976.1903858__1.1903858	552398__T5S086__HMPREF0866_01580
ERR1912976.1904029__1.1904029	246787__R6KBH9__HMPREF1062_04676
ERR1912976.1904047__1.1904047	1262989__R6YEN7__BN815_00483
ERR1912976.1904348__1.1904348	28116__F7L8H9__BACOVA_00587
ERR1912976.1904398__1.1904398	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.1904490__1.1904490	214856__A0A174FWM7__ERS852559_00590
ERR1912976.1904559__1.1904559	28116__A7LS06__HMPREF2532_04668
ERR1912976.1904681__1.1904681	33038__A7AZH0__HMPREF1201_02167
ERR1912976.1904987__1.1904987	487174__K0WX70__DDY40_01710
ERR1912976.1905113__1.1905113	360807__A0A1Q6T5B1__ERS852444_03147
ERR1912976.1905137__1.1905137	39485__R6AKA4__rssA
ERR1912976.1905211__1.1905211	821__D4VD59__BHV80_04260
ERR1912976.1905376__1.1905376	33038__A0A2N5P318__HMPREF1201_01171
ERR1912976.1905629__1.1905629	820__A0A174CG08__DXB62_13215
ERR1912976.1905920__1.1905920	29361__B6FQF6__CLONEX_02376
ERR1912976.1905973__1.1905973	301301__A0A395V7C8__RHOM_02390
ERR1912976.1906002__1.1906002	239935__A0A2N8I3G2__CXT89_00720
ERR1912976.1906037__1.1906037	29361__B6FQF6__CLONEX_02376
ERR1912976.1906070__1.1906070	820__A0A173WZS4__DXD90_10250
ERR1912976.1906128__1.1906128	39492__D4JUD7__EUBSIR_01877
ERR1912976.1906239__1.1906239	33038__A0A2N5NGH4__CCY17_10680
ERR1912976.1906223__1.1906223	853__D4JY61__C4N21_10560
ERR1912976.1906229__1.1906229	1965604__A0A1Y4ERL1__B5F54_16810
ERR1912976.1906421__1.1906421	33038__A0A2N5PXI0__C5Y99_10810
ERR1912976.1906435__1.1906435	821__A6L0C7__ERS852556_03520
ERR1912976.1906463__1.1906463	487174__K0X665__DIT83_12000
ERR1912976.1906503__1.1906503	1297617__A0A0S2W0K9__C7373_10194
ERR1912976.1906624__1.1906624	39485__A0A174ZG70__ERS852492_00929
ERR1912976.1906723__1.1906723	487174__K0X9T7__HMPREF9448_00996
ERR1912976.1906742__1.1906742	1160721__W0U560__RBI_I01229
ERR1912976.1906949__1.1906949	360807__C0FVL1__ERS852392_00394
ERR1912976.1906955__1.1906955	2292352__A0A374UKA6__DXC23_10805
ERR1912976.1907023__1.1907023	1897011__A0A1Q6RC34__BHW41_06455
ERR1912976.1907193__1.1907193	246787__A0A108T429__BACCELL_00192
ERR1912976.1907200__1.1907200	28116__A7LYG5__M089_5828
ERR1912976.1907270__1.1907270	33038__A0A2N5NRJ3__CDL20_13245
ERR1912976.1907402__1.1907402	1160721__R6T2Y3__RBI_II00189
ERR1912976.1907643__1.1907643	821__A0A395VLM8__BvMPK_3650
ERR1912976.1907741__1.1907741	649756__D4MWV5__coaE
ERR1912976.1907744__1.1907744	165179__A0A3E5AHY4__CFT61_07675
ERR1912976.1907764__1.1907764	821__D4VD59__BHV80_04260
ERR1912976.1907895__1.1907895	821__A0A395UNT8__DXD64_15275
ERR1912976.1907939__1.1907939	28052__R5HJU0__ERS852451_00148
ERR1912976.1908063__1.1908063	821__I9R3W6__DXC16_12455
ERR1912976.1908067__1.1908067	329854__R5M415__BACINT_04491
ERR1912976.1908173__1.1908173	33039__A0A173VTT4__frdB_1
ERR1912976.1908337__1.1908337	39496__A5Z7B0__EUBVEN_01593
ERR1912976.1908345__1.1908345	39485__R5ZNG4__yerB
ERR1912976.1908359__1.1908359	33038__A0A2N5NNN0__HMPREF1201_02166
ERR1912976.1908375__1.1908375	328814__GCA_004558275.1_00034
ERR1912976.1908536__1.1908536	39485__A0A175A273__plsX_2
ERR1912976.1908553__1.1908553	418240__A0A174MZV1__ERS852523_01489
ERR1912976.1908560__1.1908560	39492__D4JRP0__yetF
ERR1912976.1908665__1.1908665	39485__A0A174YR79__EUBELI_20418
ERR1912976.1908802__1.1908802	39485__A0A1Q6PHD7__ERS852492_01801
ERR1912976.1908822__1.1908822	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.1908939__1.1908939	410072__C0B8G3__DXD67_01535
ERR1912976.1909001__1.1909001	1720294__U2AZU7__DWY69_03560
ERR1912976.1909147__1.1909147	2292352__A0A374URU2__DXC23_04195
ERR1912976.1909168__1.1909168	39491__R6TNE2__LD38_07270
ERR1912976.1909223__1.1909223	821__A0A174TD86__C800_00949
ERR1912976.1909229__1.1909229	33039__D4M6R8__bglB_8
ERR1912976.1909623__1.1909623	329854__R7E733__DXD57_00120
ERR1912976.1909694__1.1909694	33038__F7JZ41__CCY17_00135
ERR1912976.1909718__1.1909718	360807__C0FUN2__ERS852444_01353
ERR1912976.1909730__1.1909730	1262986__R6A8Q9__BN492_00460
ERR1912976.1909735__1.1909735	1262986__D9Y8J4__BN492_00022
ERR1912976.1909790__1.1909790	360807__C0FP30__ROSEINA2194_00482
ERR1912976.1909818__1.1909818	2108523__A0A2P2F5G5__LAWASA_1244
ERR1912976.1909968__1.1909968	1262743__R5C054__BN727_01980
ERR1912976.1910006__1.1910006	165179__D1PDF6__DXB80_12430
ERR1912976.1910146__1.1910146	33038__A0A2N5PIX3__CDL26_14635
ERR1912976.1910322__1.1910322	853__A0A173RZ39__C4N22_01650
ERR1912976.1910268__1.1910268	28116__A7LYG5__M089_5828
ERR1912976.1910371__1.1910371	821__A0A174NVL6__NCTC10583_01782
ERR1912976.1910374__1.1910374	28052__A0A174HF53__ERS852499_00436
ERR1912976.1910412__1.1910412	33038__A0A2N5P3M1__DXD36_15590
ERR1912976.1910431__1.1910431	384639__GCA_003096855.1_00973
ERR1912976.1910534__1.1910534	1550024__A0A0D8J3P2__TQ39_00965
ERR1912976.1910542__1.1910542	487174__K0XA48__DDY40_03955
ERR1912976.1910599__1.1910599	239935__A0A2N8J2P6__ADH72_06730
ERR1912976.1910622__1.1910622	28052__R7NB18__tcrY_2
ERR1912976.1911163__1.1911163	33038__A0A2N5NTT9__ERS852409_01418
ERR1912976.1911219__1.1911219	33038__F7JZ41__CCY17_00135
ERR1912976.1911270__1.1911270	39485__C4Z5L8__ERS852490_00665
ERR1912976.1911390__1.1911390	165179__A0A174SA26__PREVCOP_05758
ERR1912976.1911375__1.1911375	39485__C4Z058__ERS852492_00130
ERR1912976.1911457__1.1911457	487174__K0WWY0__DIT83_10195
ERR1912976.1911807__1.1911807	821__I9R3W6__DXC16_12455
ERR1912976.1911879__1.1911879	1897011__A0A1Q6RIQ9__BHW41_00470
ERR1912976.1912037__1.1912037	33038__R5TPI2__CDL21_12595
ERR1912976.1912072__1.1912072	301301__A0A395VAX9__ERS852391_01264
ERR1912976.1912215__1.1912215	28052__R7NAJ8__ERS852451_02374
ERR1912976.1912321__1.1912321	745368__A0A1T4Y119__SAMN02745178_02629
ERR1912976.1912360__1.1912360	745368__A0A1T4Y119__SAMN02745178_02629
ERR1912976.1912378__1.1912378	301301__A0A395VFD3__ERS852391_02492
ERR1912976.1912399__1.1912399	1262986__D9Y8J4__BN492_00022
ERR1912976.1912505__1.1912505	360807__C0FXX7__ERS852392_02700
ERR1912976.1912623__1.1912623	706562__GCA_900112995.1_00569
ERR1912976.1912694__1.1912694	384639__GCA_003096855.1_01175
ERR1912976.1912714__1.1912714	1160721__R6T8U0__atpF
ERR1912976.1913002__1.1913002	28052__R7NF69__ERS852451_02189
ERR1912976.1913097__1.1913097	28052__A0A174Z2D5__mcp2_3
ERR1912976.1913225__1.1913225	239935__A0A2N8HH03__CXU09_08875
ERR1912976.1913425__1.1913425	329854__R5M1Z2__DXD57_10480
ERR1912976.1913623__1.1913623	28117__B0MYW7__ALIPUT_02336
ERR1912976.1913804__1.1913804	28052__A0A174KEN0__nagK
ERR1912976.1913862__1.1913862	39485__R5ZNS8__rsmG
ERR1912976.1913875__1.1913875	820__A0A174LJB2__HMPREF1072_04112
ERR1912976.1913879__1.1913879	301301__A0A395V7P2__ERS852391_05080
ERR1912976.1913969__1.1913969	301302__R5UNJ6__M72_26701
ERR1912976.1914313__1.1914313	2108523__A0A2P2F6E4__LAWASA_1598
ERR1912976.1914497__1.1914497	2292352__A0A374UJE7__DXC23_11305
ERR1912976.1914513__1.1914513	28116__A7LYG5__M089_5828
ERR1912976.1914520__1.1914520	821__A0A396F598__CUU_3259
ERR1912976.1914770__1.1914770	821__A0A3E4WAR6__DXD64_10735
ERR1912976.1914850__1.1914850	360807__C0G081__ERS852444_03377
ERR1912976.1914935__1.1914935	33038__A0A2N5PB54__CDL25_13710
ERR1912976.1914962__1.1914962	40519__U2MCQ8__RUMCAL_00556
ERR1912976.1914978__1.1914978	821__A0A396F9T7__M097_3427
ERR1912976.1915033__1.1915033	1262824__R6RRF1__BN719_00389
ERR1912976.1915035__1.1915035	40519__U2MCQ8__RUMCAL_00556
ERR1912976.1915360__1.1915360	301301__A0A395VA18__RHOM_11700
ERR1912976.1915429__1.1915429	487174__K0WWY0__DIT83_10195
ERR1912976.1915561__1.1915561	39485__A0A174ZTY8__ycfH
ERR1912976.1915661__1.1915661	1262988__R7N939__BN816_00582
ERR1912976.1915672__1.1915672	821__A0A3E4KIM1__M097_3660
ERR1912976.1915842__1.1915842	165179__A0A3E5AGH1__DXB80_05820
ERR1912976.1915955__1.1915955	487174__K0X2Q8__DDY40_04590
ERR1912976.1916082__1.1916082	28116__A0A1Y4PHM7__DXA80_25130
ERR1912976.1916180__1.1916180	357276__I8VQA2__HMPREF1065_04183
ERR1912976.1916199__1.1916199	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1912976.1916217__1.1916217	487174__K0WYG8__HMPREF9448_01522
ERR1912976.1916564__1.1916564	357276__A0A076IS46__BACDOR_03265
ERR1912976.1916531__1.1916531	821__D4VD59__BHV80_04260
ERR1912976.1916979__1.1916979	1263076__GCA_000437615.1_00174
ERR1912976.1917165__1.1917165	360807__C0FVL1__ERS852392_00394
ERR1912976.1917210__1.1917210	39485__C4Z2S3__EUBELI_00292
ERR1912976.1917223__1.1917223	487174__R5EUJ8__DDY40_00460
ERR1912976.1917234__1.1917234	33038__R5UFK6__CDL26_05445
ERR1912976.1917261__1.1917261	2292352__A0A374UIX0__DXC23_12260
ERR1912976.1917408__1.1917408	39485__C4Z434__tilS
ERR1912976.1917503__1.1917503	301301__A0A395VBI2__RHOM_00545
ERR1912976.1917818__1.1917818	821__A0A395UNT8__DXD64_15275
ERR1912976.1917828__1.1917828	28052__R7N7V7__hemZ_1
ERR1912976.1918023__1.1918023	28052__R7N6Q7__rafA
ERR1912976.1918049__1.1918049	357276__A0A0K2HFA1__HMPREF1065_02962
ERR1912976.1918047__1.1918047	487174__K0WXI5__DDY40_07185
ERR1912976.1918105__1.1918105	33038__F7JV68__C5Y99_05575
ERR1912976.1918164__1.1918164	40520__A0A396G1I4__DXB81_08365
ERR1912976.1918184__1.1918184	165179__A0A3E5EA43__DXC61_07775
ERR1912976.1918138__1.1918138	2173__A0A1D2WQU0__METSMIALI_00792
ERR1912976.1918235__1.1918235	39485__A0A1Q6PH92__cbbX
ERR1912976.1918398__1.1918398	501571__R8W9G6__B5F17_03845
ERR1912976.1918435__1.1918435	1897011__A0A1Q6RIQ9__BHW41_00470
ERR1912976.1918592__1.1918592	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.1918612__1.1918612	1150298__R7JTX5__ERS852535_01291
ERR1912976.1918674__1.1918674	214856__R6XTZ7__ERS852447_02314
ERR1912976.1918706__1.1918706	292800__A0A174J2N2__ERS852518_00415
ERR1912976.1918726__1.1918726	501571__R8W427__B5F17_08820
ERR1912976.1918928__1.1918928	33038__A7AZT7__RUMGNA_00811
ERR1912976.1918961__1.1918961	487174__R5FN40__HMPREF9448_01366
ERR1912976.1919026__1.1919026	33038__A7B5W1__CDL22_11645
ERR1912976.1919042__1.1919042	818__C6IEV5__ERS852430_00644
ERR1912976.1919054__1.1919054	165179__A0A3E5EA43__DXC61_07775
ERR1912976.1919246__1.1919246	28117__B0MTI4__ALIPUT_00084
ERR1912976.1919323__1.1919323	29361__B6FRT6__CLONEX_02860
ERR1912976.1919514__1.1919514	418240__C6JGM0__ERS852478_02067
ERR1912976.1919515__1.1919515	371601__D0TLK9__BN890_11250
ERR1912976.1919605__1.1919605	329854__R5LT45__DXD57_14270
ERR1912976.1919651__1.1919651	1263000__R5EKY1__BN466_02098
ERR1912976.1919860__1.1919860	301301__A0A395V8C2__rhaR_3
ERR1912976.1919896__1.1919896	301301__A0A395V8C2__rhaR_3
ERR1912976.1919963__1.1919963	301301__G2T207__cph2_5
ERR1912976.1920051__1.1920051	1262986__R6A223__BN492_01140
ERR1912976.1920146__1.1920146	33038__A0A2N5PPH4__DXD36_06695
ERR1912976.1920237__1.1920237	33038__A7AYC4__CDL21_13075
ERR1912976.1920434__1.1920434	820__A0A078S4C2__ERS417307_00828
ERR1912976.1920483__1.1920483	1160721__R6TAA3__BHW50_03385
ERR1912976.1920557__1.1920557	1160721__W0U4W5__BHW50_05260
ERR1912976.1920603__1.1920603	28052__A0A174P6J3__comEA
ERR1912976.1920663__1.1920663	821__A0A0P0LKG6__HMPREF1058_02188
ERR1912976.1920691__1.1920691	821__A0A173WG51__BVU_2549
ERR1912976.1920692__1.1920692	28052__A0A174HUY2__ERS852451_01601
ERR1912976.1920873__1.1920873	329854__R5M415__BACINT_04491
ERR1912976.1921057__1.1921057	820__R9I3Q7__HMPREF1072_01668
ERR1912976.1921044__1.1921044	820__R9I3Q7__HMPREF1072_01668
ERR1912976.1921254__1.1921254	28052__A0A174YZ18__ERS852499_01382
ERR1912976.1921294__1.1921294	33038__A0A2N5PJY4__C5Y99_04415
ERR1912976.1921542__1.1921542	106588__A6NUL8__BACCAP_01900
ERR1912976.1921666__1.1921666	487174__K0XLF2__DDY40_04010
ERR1912976.1921726__1.1921726	360807__C0FRZ9__RIL183_20711
ERR1912976.1921827__1.1921827	28118__F9ZCN2__DF785_09230
ERR1912976.1921927__1.1921927	301301__A0A395V736__ERS852391_01566
ERR1912976.1922000__1.1922000	39485__A0A174YSS6__trxB_2
ERR1912976.1921989__1.1921989	39485__A0A174ZPJ9__tig_2
ERR1912976.1922099__1.1922099	33038__A0A2N5NWR8__CDL18_14140
ERR1912976.1922180__1.1922180	552398__F4XCQ4__HMPREF0866_01621
ERR1912976.1922181__1.1922181	457421__C5ERC0__CBFG_04276
ERR1912976.1922192__1.1922192	33038__F7JT04__CDL21_01120
ERR1912976.1922248__1.1922248	39488__C0EVP9__ERS852450_03163
ERR1912976.1922450__1.1922450	33038__A7B057__CDL26_15045
ERR1912976.1922421__1.1922421	1965604__A0A1Y4EX25__B5F54_12975
ERR1912976.1922491__1.1922491	292800__G9YTT2__HMPREF0372_02944
ERR1912976.1922725__1.1922725	410072__C0BC02__ERS852481_00783
ERR1912976.1922767__1.1922767	33038__A0A2N5NRJ3__CDL20_13245
ERR1912976.1922822__1.1922822	1263076__GCA_000437615.1_00132
ERR1912976.1923014__1.1923014	487174__R5F4K8__HMPREF9448_01532
ERR1912976.1923048__1.1923048	821__A0A397WGD6__M098_0084
ERR1912976.1923084__1.1923084	1160721__R6TAA3__BHW50_03385
ERR1912976.1923177__1.1923177	853__A0A174BZY1__xerD_1
ERR1912976.1923297__1.1923297	39485__A0A174Z2N7__EUBELI_02062
ERR1912976.1923437__1.1923437	33038__A7AYC4__CDL21_13075
ERR1912976.1923420__1.1923420	33038__A0A2N5P1G8__lyc
ERR1912976.1923499__1.1923499	1263076__GCA_000437615.1_00088
ERR1912976.1923537__1.1923537	33038__A7AZT7__RUMGNA_00811
ERR1912976.1923668__1.1923668	329854__A0A3E4KRT8__BACINT_02510
ERR1912976.1923726__1.1923726	239935__A0A2N8IRL2__CXU06_01170
ERR1912976.1923991__1.1923991	28052__A0A174I0A5__ERS852499_00618
ERR1912976.1924020__1.1924020	165179__A0A3E4SDC8__PREVCOP_05706
ERR1912976.1924144__1.1924144	501571__R8W595__B5F15_00840
ERR1912976.1924319__1.1924319	28117__R7JIJ8__BHV66_01635
ERR1912976.1924323__1.1924323	33038__A0A2N5NTT9__ERS852409_01418
ERR1912976.1924536__1.1924536	1407493__GeneID:17503257
ERR1912976.1924575__1.1924575	329854__R7DRH1__DXD27_19880
ERR1912976.1924851__1.1924851	28052__A0A174M373__speA_2
ERR1912976.1924856__1.1924856	1262921__R5M9E5__BN473_02191
ERR1912976.1925188__1.1925188	1263000__R5EV67__BN466_01611
ERR1912976.1925648__1.1925648	360807__A0A0M6WUG1__ERS852392_00028
ERR1912976.1925656__1.1925656	106588__A6NUL8__BACCAP_01900
ERR1912976.1925675__1.1925675	706562__GCA_900112995.1_00063
ERR1912976.1926069__1.1926069	39488__A0A173RNK2__EHLA_2455
ERR1912976.1926185__1.1926185	821__A0A3E4WAR6__DXD64_10735
ERR1912976.1926195__1.1926195	39485__R5ZT06__EUBELI_20526
ERR1912976.1926241__1.1926241	116085__D4JBB3__DW747_02145
ERR1912976.1926311__1.1926311	552398__F4XCR9__HMPREF0866_01636
ERR1912976.1926485__1.1926485	28116__R6JIR4__DXA80_14190
ERR1912976.1926565__1.1926565	649756__B0NZX5__lytC_2
ERR1912976.1926588__1.1926588	216816__C2GSX7__DD678_03555
ERR1912976.1926771__1.1926771	301301__A0A395VAD5__RHOM_06975
ERR1912976.1926796__1.1926796	706562__GCA_900112995.1_01590
ERR1912976.1926905__1.1926905	360807__C0FVT5__RIL183_27241
ERR1912976.1926909__1.1926909	33038__F7JUE7__CDL26_12120
ERR1912976.1926993__1.1926993	1235793__R9KSF0__C809_01679
ERR1912976.1927283__1.1927283	33038__R5U4Y3__CDL26_04555
ERR1912976.1927321__1.1927321	33038__A0A2N5P0V0__CDL19_10970
ERR1912976.1927475__1.1927475	387090__S0F7Y3__BACCOPRO_02028
ERR1912976.1927497__1.1927497	28118__F9ZBV2__NCTC10826_00352
ERR1912976.1927810__1.1927810	28116__A0A1Y4PHJ3__HMPREF1070_05178
ERR1912976.1928017__1.1928017	487174__K0X1H0__DDY40_11080
ERR1912976.1928221__1.1928221	33038__A0A396G729__RUMGNA_01796
ERR1912976.1928331__1.1928331	487174__K0X524__DDY40_09270
ERR1912976.1928289__1.1928289	1262988__R7N3U0__BN816_02215
ERR1912976.1928306__1.1928306	39485__C4Z6V1__ERS852492_02640
ERR1912976.1928483__1.1928483	360807__C0FPN7__ERS852444_02993
ERR1912976.1928589__1.1928589	2292352__A0A374UNU9__DXC23_01235
ERR1912976.1928796__1.1928796	28052__A0A174LHM7__ERS852451_02351
ERR1912976.1928893__1.1928893	328814__GCA_004558275.1_00036
ERR1912976.1929062__1.1929062	2292352__A0A374UL63__DXC23_08410
ERR1912976.1929034__1.1929034	39485__A0A1Q6PH92__cbbX
ERR1912976.1929040__1.1929040	28116__I8Y7V6__HMPREF1017_02728
ERR1912976.1929246__1.1929246	239935__A0A2N8IUW6__Amuc_1525
ERR1912976.1929329__1.1929329	1160721__R6T2Y3__RBI_II00189
ERR1912976.1929389__1.1929389	33038__A0A2N5PGR1__ERS852409_01332
ERR1912976.1929398__1.1929398	2108523__A0A2P2F214__LAWASA_27
ERR1912976.1929399__1.1929399	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1912976.1929467__1.1929467	329854__A0A3E4IFR4__DXD27_22685
ERR1912976.1929488__1.1929488	2292352__A0A374UKA6__DXC23_10805
ERR1912976.1929556__1.1929556	33038__A0A396G7D8__asnB
ERR1912976.1929704__1.1929704	329854__A0A3E4IFR4__DXD27_22685
ERR1912976.1929713__1.1929713	544644__GCA_001915615.1_01041
ERR1912976.1929813__1.1929813	33038__A0A2N5P2X7__CDL26_06080
ERR1912976.1930080__1.1930080	821__A0A173XDD3__DXB82_17180
ERR1912976.1930153__1.1930153	39485__C4Z0G6__spoIVB
ERR1912976.1930344__1.1930344	328814__GCA_004558275.1_00293
ERR1912976.1930504__1.1930504	28118__R6F7E0__SAMEA44545918_02355
ERR1912976.1930532__1.1930532	1547__G9QYR8__DXB93_19715
ERR1912976.1930722__1.1930722	165179__D1PGU8__PREVCOP_06463
ERR1912976.1930762__1.1930762	329854__R5LZK1__DXD27_00590
ERR1912976.1930833__1.1930833	487174__K0X7X4__DIT83_09125
ERR1912976.1930854__1.1930854	671267__R9IB12__C802_00696
ERR1912976.1930858__1.1930858	821__A0A174NM17__lacZ_6
