ERR1913297.53__1.53	820__A0A139K5A6__DXB48_12175
ERR1913297.501281__1.501281	28116__D7K2E0__endOF2_3
ERR1913297.501304__1.501304	204516__U6RA51__HMPREF1534_03959
ERR1913297.501351__1.501351	823__A0A355XLT7__HMPREF1075_03402
ERR1913297.501356__1.501356	820__A0A174M9V5__M093_0237
ERR1913297.501437__1.501437	40518__R5DLM5__RB5AMG_00422
ERR1913297.501439__1.501439	1263107__GCA_000436995.1_00223
ERR1913297.501415__1.501415	28117__B0MXD0__ALIPUT_01669
ERR1913297.501466__1.501466	28111__E5WZE2__NCTC11155_00550
ERR1913297.501503__1.501503	39492__D4JT87__clpC
ERR1913297.501681__1.501681	39492__D4JT68__spoIIIE
ERR1913297.501813__1.501813	357276__I9FRW5__B5F95_21685
ERR1913297.501940__1.501940	820__A0A3E4GE89__DXB48_02565
ERR1913297.501864__1.501864	820__A0A3E4VZT7__DXB48_16145
ERR1913297.501974__1.501974	40518__R5DU92__DXD93_03170
ERR1913297.501989__1.501989	39491__A0A395ZF49__DXB69_05290
ERR1913297.502055__1.502055	39491__A0A396FUZ3__phoR_1
ERR1913297.502064__1.502064	39492__D4JX40__EUBSIR_00020
ERR1913297.502178__1.502178	357276__E5UTL1__HMPREF1065_03551
ERR1913297.502371__1.502371	820__A0A3E4WCX3__C801_02709
ERR1913297.502426__1.502426	39491__A0A173VH71__ERS852497_01827
ERR1913297.502388__1.502388	39491__A0A174K9A3__DXB69_07785
ERR1913297.502569__1.502569	745368__A0A1T4YA51__SAMN02745178_02876
ERR1913297.502631__1.502631	853__A0A2A7B1Y7__C7K05_11930
ERR1913297.502780__1.502780	39491__A0A174K1W6__DXB99_15020
ERR1913297.502802__1.502802	360807__C0FVL1__ERS852392_00394
ERR1913297.502860__1.502860	823__E1YR62__HMPREF1059_02331
ERR1913297.502892__1.502892	301302__R5VG21__M72_16591
ERR1913297.503000__1.503000	39492__D4JT87__clpC
ERR1913297.503004__1.503004	357276__A0A076J8D4__HMPREF1064_00553
ERR1913297.503093__1.503093	39492__D4JVZ6__truB
ERR1913297.503193__1.503193	39492__D4JRP0__yetF
ERR1913297.503303__1.503303	39492__D4JVN3__spsA
ERR1913297.503365__1.503365	1262886__R6QAM6__BN563_01696
ERR1913297.503383__1.503383	28116__R6JIR4__DXA80_14190
ERR1913297.503525__1.503525	820__A0A396EUU8__luxQ_3
ERR1913297.503533__1.503533	328814__GCA_004558275.1_00036
ERR1913297.503557__1.503557	39491__A0A396FNY7__LD38_16155
ERR1913297.503670__1.503670	39492__D4JTI1__EUBSIR_01463
ERR1913297.503718__1.503718	820__A0A174Q0F0__DXB48_08080
ERR1913297.503766__1.503766	823__E1YV41__BDI_1376
ERR1913297.503833__1.503833	820__A0A078S4C2__ERS417307_00828
ERR1913297.503796__1.503796	1262915__R6HEL0__BN574_00515
ERR1913297.503856__1.503856	1262743__R5C7B5__BN727_00586
ERR1913297.504021__1.504021	823__A0A174PAQ4__ERS852429_04218
ERR1913297.504095__1.504095	39492__D4JUD9__EUBSIR_01875
ERR1913297.504125__1.504125	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913297.504190__1.504190	853__C7H1R8__DW905_06675
ERR1913297.504204__1.504204	28052__R7NBF1__yycG_1
ERR1913297.504296__1.504296	1150298__A0A174DU21__toxA_3
ERR1913297.504455__1.504455	239935__A0A2N8ITG2__Amuc_0335
ERR1913297.504498__1.504498	39492__D4MN06__EUBSIR_02672
ERR1913297.504472__1.504472	40518__R5DQD6__DXD83_09060
ERR1913297.504540__1.504540	39491__D4JMW8__ERS852497_01971
ERR1913297.504563__1.504563	360807__C0FNR5__ERS852444_01629
ERR1913297.504614__1.504614	39491__A0A395ZHV7__ykvU
ERR1913297.504664__1.504664	39491__A0A395ZKJ0__DXD13_11010
ERR1913297.504738__1.504738	166486__A0A173T114__ROSINTL182_05085
ERR1913297.504813__1.504813	823__A6LHJ7__ERS852380_00253
ERR1913297.504815__1.504815	1262911__R6GMA5__BN557_00481
ERR1913297.504831__1.504831	39492__D4JT87__clpC
ERR1913297.504880__1.504880	626929__R5K4I0__B5F24_03615
ERR1913297.504912__1.504912	39488__C0EXY6__ltaS1_2
ERR1913297.505034__1.505034	39492__D4JR58__EUBSIR_02090
ERR1913297.505081__1.505081	39492__D4JV38__EUBSIR_01205
ERR1913297.505103__1.505103	39491__C4Z8S1__DXB76_06750
ERR1913297.505144__1.505144	39491__A0A395ZG74__licR
ERR1913297.505218__1.505218	47678__R5UAY9__DW706_07200
ERR1913297.505287__1.505287	823__A0A395YVY3__ERS852513_03204
ERR1913297.505369__1.505369	28111__E5WVR8__NCTC11155_02792
ERR1913297.505411__1.505411	239935__A0A2N8IMC9__CXU09_02095
ERR1913297.505460__1.505460	28117__B0MWZ3__BHV66_03240
ERR1913297.505463__1.505463	823__A0A355XJ56__DDY96_07685
ERR1913297.505585__1.505585	357276__B6W1Y5__IY41_11405
ERR1913297.505645__1.505645	820__A0A374Q351__DXD40_05850
ERR1913297.505722__1.505722	39492__D4JX40__EUBSIR_00020
ERR1913297.505817__1.505817	823__A6LH14__B5F32_11640
ERR1913297.505827__1.505827	820__A0A374MMF0__HMPREF1073_03811
ERR1913297.505987__1.505987	39492__D4JSA4__ERS852540_00596
ERR1913297.506050__1.506050	39492__D4JQU2__EUBSIR_01294
ERR1913297.506152__1.506152	166486__D4KXA6__ROSINTL182_05897
ERR1913297.506284__1.506284	39492__D4JQY4__EUBSIR_01325
ERR1913297.506337__1.506337	39491__C4Z9D4__DXD95_00055
ERR1913297.506362__1.506362	357276__A0A1Y3ZD00__B5F00_16730
ERR1913297.506483__1.506483	39492__D4JQM9__EUBSIR_00669
ERR1913297.506544__1.506544	820__A0A374Q1D8__SAMN05444418_112114
ERR1913297.506562__1.506562	357276__A0A076IXE0__HMPREF1064_04364
ERR1913297.506568__1.506568	39492__D4JR58__EUBSIR_02090
ERR1913297.506652__1.506652	820__A0A174M9V5__M093_0237
ERR1913297.506682__1.506682	2173__A0A1D2WW41__BK798_07915
ERR1913297.506730__1.506730	28052__R7NAP6__ERS852499_01969
ERR1913297.506717__1.506717	820__A0A3E4G8F8__ERS852421_01645
ERR1913297.506751__1.506751	2173__A0A1D2WTT4__BK798_05110
ERR1913297.506820__1.506820	39492__R6RT40__prkC_3
ERR1913297.506889__1.506889	301302__R5UK77__M72_08681
ERR1913297.506913__1.506913	39492__D4JTF2__mutS2
ERR1913297.506948__1.506948	166486__C7GAX1__ERS852572_03188
ERR1913297.507018__1.507018	39491__A0A174M1X5__DXB99_18695
ERR1913297.507035__1.507035	820__A0A1T4IYF4__mprA_1
ERR1913297.507162__1.507162	39485__A0A174Z501__EUBELI_00678
ERR1913297.507178__1.507178	291644__I9HGA0__wzc
ERR1913297.507191__1.507191	39492__A0A175A133__cycB_1
ERR1913297.507346__1.507346	39491__A0A395ZG96__DXB69_15120
ERR1913297.507360__1.507360	39492__R6RYB8__ERS852540_00322
ERR1913297.507531__1.507531	818__Q8A0V7__BSIG_2755
ERR1913297.507584__1.507584	39492__D4JQU6__ERS852540_02194
ERR1913297.507657__1.507657	39492__R6SA81__EUBSIR_00402
ERR1913297.507671__1.507671	28052__R7NF69__ERS852451_02189
ERR1913297.507793__1.507793	820__A0A139K8N1__ERS852554_00951
ERR1913297.507752__1.507752	39492__D4JRZ7__smc
ERR1913297.507769__1.507769	820__A0A3E4G826__C801_01612
ERR1913297.507829__1.507829	166486__D4KWP5__ROSINTL182_06014
ERR1913297.507892__1.507892	322505__xre_3
ERR1913297.507899__1.507899	39491__A0A395ZBW8__DXC13_08840
ERR1913297.507949__1.507949	28052__A0A174MSU9__ERS852499_02010
ERR1913297.507994__1.507994	39492__D4JRV7__EUBSIR_01513
ERR1913297.508018__1.508018	823__A6LGI3__DXB14_09215
ERR1913297.508078__1.508078	371601__D4WBK5__BN891_3970
ERR1913297.508126__1.508126	39485__A0A174ZAI7__outO
ERR1913297.508136__1.508136	357276__I9RCD3__IY41_15070
ERR1913297.508173__1.508173	39492__D4JVC7__yfgF
ERR1913297.508225__1.508225	1262886__R6QP39__BN563_00737
ERR1913297.508310__1.508310	204516__U6RAM4__HMPREF1534_03439
ERR1913297.508351__1.508351	39492__D4JR58__EUBSIR_02090
ERR1913297.508448__1.508448	39492__D4MN06__EUBSIR_02672
ERR1913297.508525__1.508525	1150298__A0A174DSD1__dacB_3
ERR1913297.508547__1.508547	357276__B6VW91__BACDOR_01584
ERR1913297.508555__1.508555	357276__A0A076II57__GV66_07710
ERR1913297.508625__1.508625	301302__R5UNJ6__M72_26701
ERR1913297.508645__1.508645	28111__R5JN40__HMPREF1016_01803
ERR1913297.508710__1.508710	39492__D4JUL3__nreC_2
ERR1913297.508713__1.508713	39491__A0A3E4YFT8__DXB69_10940
ERR1913297.508769__1.508769	821__I9R3W6__DXC16_12455
ERR1913297.508788__1.508788	357276__B6W1J2__BACDOR_03380
ERR1913297.508854__1.508854	301302__R5VFU2__xynA1
ERR1913297.508865__1.508865	39491__C4Z872__LD38_07250
ERR1913297.508918__1.508918	39492__R6SA81__EUBSIR_00402
ERR1913297.508937__1.508937	28116__A0A1Y4PHM7__DXA80_25130
ERR1913297.508952__1.508952	1150298__R7JU23__ERS852498_02342
ERR1913297.508993__1.508993	39492__D4JQL8__ywpJ
ERR1913297.509038__1.509038	39492__D4JWR6__dnaN
ERR1913297.509092__1.509092	39492__D4JT75__EUBSIR_01776
ERR1913297.509184__1.509184	39492__D4JWR6__dnaN
ERR1913297.509319__1.509319	357276__B6W1Y1__BSEG_03960
ERR1913297.509418__1.509418	291644__I9SJA4__ERS852428_03529
ERR1913297.509423__1.509423	40518__R5DY98__mepA_5
ERR1913297.509486__1.509486	39491__A0A395V0X2__EUBREC_3007
ERR1913297.509643__1.509643	39492__D4JRM9__bglB_2
ERR1913297.509676__1.509676	458033__GCA_001482755.1_02203
ERR1913297.509682__1.509682	357276__I8VLL2__HMPREF1065_03395
ERR1913297.509769__1.509769	39491__A0A395ZHV7__ykvU
ERR1913297.509844__1.509844	39492__D4JRL2__ERS852540_01608
ERR1913297.510088__1.510088	291644__I8YWR0__HMPREF1071_01375
ERR1913297.510207__1.510207	28052__R7NCP0__ERS852451_00670
ERR1913297.510213__1.510213	39492__R6SPM9__pheT
ERR1913297.510301__1.510301	39491__C4ZF05__vpr
ERR1913297.510272__1.510272	357276__A0A076IYE6__IY41_04275
ERR1913297.510329__1.510329	357276__I9FGI3__EL88_12385
ERR1913297.510354__1.510354	39492__D4MMN2__EUBSIR_00964
ERR1913297.510445__1.510445	820__R7E9Z4__DXC68_06065
ERR1913297.510419__1.510419	1262915__R6HQV2__BN574_01665
ERR1913297.510634__1.510634	820__A0A174M9V5__M093_0237
ERR1913297.510740__1.510740	39491__A0A396FTE5__ERS852417_01346
ERR1913297.510751__1.510751	820__A0A374Q854__HMPREF1073_03281
ERR1913297.510820__1.510820	28052__A0A174GFL5__ERS852451_00478
ERR1913297.510850__1.510850	166486__D4L284__ERS852572_01651
ERR1913297.510979__1.510979	820__A0A174M9V5__M093_0237
ERR1913297.511012__1.511012	418240__C6JDJ1__ERS852478_02876
ERR1913297.511036__1.511036	239935__A0A2N8IRW0__A4V05_11620
ERR1913297.511047__1.511047	39492__D4JQL8__ywpJ
ERR1913297.511063__1.511063	39492__D4JWG6__EUBSIR_00253
ERR1913297.511135__1.511135	357276__I9F327__DXD47_22495
ERR1913297.511169__1.511169	39491__A0A395ZG74__licR
ERR1913297.511266__1.511266	39491__A0A395V0E5__ERE_31370
ERR1913297.511293__1.511293	39491__D6E408__EUBREC_1466
ERR1913297.511409__1.511409	338188__K5CF12__HMPREF1057_00909
ERR1913297.511412__1.511412	1150298__R7JSS6__ERS852535_01362
ERR1913297.511494__1.511494	39492__D4MIY5__EUBSIR_00233
ERR1913297.511639__1.511639	820__A7VAR9__ERS852421_00197
ERR1913297.511674__1.511674	357276__I8WPR6__EL88_06675
ERR1913297.511753__1.511753	39491__A0A396FE96__EUR_00280
ERR1913297.511927__1.511927	1472761__GCA_002159295.1_00744
ERR1913297.511952__1.511952	39492__D4MJF3__EUBSIR_02248
ERR1913297.511959__1.511959	39488__A0A173SMQ7__EUBHAL_00819
ERR1913297.511991__1.511991	1262886__R6QBQ5__BN563_01294
ERR1913297.512061__1.512061	39492__D4JTF2__mutS2
ERR1913297.512113__1.512113	39492__D4JTW6__ERS852540_00220
ERR1913297.512151__1.512151	357276__I9R201__B5F00_01910
ERR1913297.512156__1.512156	823__A6LHK0__M090_1297
ERR1913297.512184__1.512184	357276__A0A076IYE6__IY41_04275
ERR1913297.512204__1.512204	28111__E5WU11__HMPREF1016_00162
ERR1913297.512296__1.512296	204516__U6R9E6__HMPREF1534_03149
ERR1913297.512299__1.512299	28052__A0A174I4I1__ERS852499_00646
ERR1913297.512372__1.512372	39492__D4JW10__pppA
ERR1913297.512383__1.512383	823__A0A174W1A8__panE
ERR1913297.512413__1.512413	39492__D4JV86__spoIIE
ERR1913297.512458__1.512458	39491__A0A395ZDC6__addB
ERR1913297.512524__1.512524	39491__A0A395ZHV7__ykvU
ERR1913297.512542__1.512542	39492__A0A174ZG93__EUBSIR_00254
ERR1913297.512568__1.512568	820__A0A173YYG4__evgS_3
ERR1913297.512569__1.512569	39492__D4JTW6__ERS852540_00220
ERR1913297.512571__1.512571	39491__C4ZC33__DXC13_11585
ERR1913297.512667__1.512667	823__A6LBY1__ERS852380_00510
ERR1913297.512747__1.512747	166486__A0A1Q6SG96__ROSINTL182_05330
ERR1913297.512691__1.512691	357276__I9R994__BACDOR_04044
ERR1913297.512698__1.512698	39492__D4JQP0__ypeB
ERR1913297.512706__1.512706	821__A0A173XDD3__DXB82_17180
ERR1913297.512766__1.512766	39492__D4JUD7__EUBSIR_01877
ERR1913297.512811__1.512811	357276__C3RA36__HMPREF1065_03270
ERR1913297.512886__1.512886	39492__B0MNU1__ERS852540_02349
ERR1913297.512898__1.512898	384639__GCA_003096855.1_01225
ERR1913297.512936__1.512936	820__A0A396EUU8__luxQ_3
ERR1913297.512937__1.512937	357276__A0A0K2HKT7__B5F95_21090
ERR1913297.513075__1.513075	823__A0A355XF06__B5F32_11480
ERR1913297.513113__1.513113	357276__I9F3U2__B5F00_20845
ERR1913297.513147__1.513147	818__Q8A3A6__Btheta7330_00071
ERR1913297.513175__1.513175	357276__A0A076IN30__DXD47_09350
ERR1913297.513320__1.513320	626929__F3PER6__SAMN05444376_2494
ERR1913297.513653__1.513653	166486__D4KVZ2__cbiT
ERR1913297.513718__1.513718	301302__A0A173RZU9__M72_23561
ERR1913297.513757__1.513757	39492__D4JT68__spoIIIE
ERR1913297.513751__1.513751	166486__D4L2C5__ERS852572_01688
ERR1913297.514102__1.514102	166486__A0A173T114__ROSINTL182_05085
ERR1913297.514104__1.514104	823__D0TGD9__hpt
ERR1913297.514067__1.514067	204516__U6RFU0__HMPREF1534_02545
ERR1913297.514121__1.514121	820__A0A139KJR5__M093_4469
ERR1913297.514162__1.514162	39492__D4JWR6__dnaN
ERR1913297.514321__1.514321	39492__D4JTJ1__EUBSIR_01453
ERR1913297.514364__1.514364	39492__D4MIX3__ERS852540_01230
ERR1913297.514433__1.514433	166486__D4KZH8__ERS852572_00419
ERR1913297.514501__1.514501	39492__D4MIK7__EUBSIR_00676
ERR1913297.514517__1.514517	28052__A0A174PF05__ERS852451_02043
ERR1913297.514568__1.514568	39491__A0A173VH71__ERS852497_01827
ERR1913297.514807__1.514807	39492__D4JVC7__yfgF
ERR1913297.514818__1.514818	357276__B6W1Y1__BSEG_03960
ERR1913297.514860__1.514860	418240__C6J940__ERS852478_01123
ERR1913297.514965__1.514965	39492__R6SPM9__pheT
ERR1913297.515087__1.515087	39492__D4JV38__EUBSIR_01205
ERR1913297.515216__1.515216	39492__D4JV86__spoIIE
ERR1913297.515271__1.515271	166486__R6AY46__ROSINTL182_06128
ERR1913297.515373__1.515373	820__A0A139KHX1__HMPREF2141_00289
ERR1913297.515384__1.515384	39492__D4JQS6__ykoD
ERR1913297.515527__1.515527	357276__A0A076IN30__DXD47_09350
ERR1913297.515482__1.515482	820__A0A139JRS5__HMPREF1073_04025
ERR1913297.515728__1.515728	39492__D4JWI6__EUBSIR_01073
ERR1913297.515791__1.515791	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913297.515849__1.515849	166486__D4KUE6__ROSINTL182_08604
ERR1913297.515912__1.515912	28052__A0A174KKX6__ERS852499_01429
ERR1913297.515975__1.515975	39492__R6SA81__EUBSIR_00402
ERR1913297.515985__1.515985	39492__D4JWI6__EUBSIR_01073
ERR1913297.516030__1.516030	39492__D4JV86__spoIIE
ERR1913297.516104__1.516104	39491__C4Z9E9__T1815_12341
ERR1913297.516199__1.516199	39492__D4JVC7__yfgF
ERR1913297.516283__1.516283	39492__D4JUR4__ERS852540_01427
ERR1913297.516334__1.516334	39491__A0A395ZKJ0__DXD13_11010
ERR1913297.516484__1.516484	823__D0TBY4__M090_0431
ERR1913297.516496__1.516496	28052__A0A174YGN0__mcp4_2
ERR1913297.516603__1.516603	39492__D4JWY5__rpe
ERR1913297.516734__1.516734	39492__D4JQS6__ykoD
ERR1913297.516741__1.516741	46506__B0NMY5__AA415_00377
ERR1913297.516877__1.516877	28117__B0MY36__BHV66_05185
ERR1913297.516882__1.516882	301302__R5V7K8__M72_11711
ERR1913297.516920__1.516920	39492__D4JSS9__btuF
ERR1913297.516898__1.516898	823__A6L9W2__DXB14_07905
ERR1913297.516901__1.516901	820__A0A3E4QZJ7__C801_01798
ERR1913297.516905__1.516905	820__A0A3E5E0T0__ERS852554_00312
ERR1913297.517139__1.517139	745368__A0A1T4Y963__SAMN02745178_02859
ERR1913297.517310__1.517310	28052__R6JVH3__ERS852499_00454
ERR1913297.517351__1.517351	39491__A0A395V1Y4__DXB99_08035
ERR1913297.517379__1.517379	2173__A0A1D2WU72__BK798_05485
ERR1913297.517450__1.517450	28052__R6KXH8__ERS852451_00168
ERR1913297.517512__1.517512	39491__A0A395ZKJ0__DXD13_11010
ERR1913297.517668__1.517668	39491__A0A3E4YFT8__DXB69_10940
ERR1913297.517832__1.517832	39492__D4JSB6__ERS852540_00627
ERR1913297.517877__1.517877	820__R9HVB9__DXC68_17285
ERR1913297.517893__1.517893	39492__R6SPM9__pheT
ERR1913297.517927__1.517927	39492__D4JQL8__ywpJ
ERR1913297.517985__1.517985	39491__A0A395ZKJ0__DXD13_11010
ERR1913297.518005__1.518005	291644__I8YXS6__HMPREF1071_01285
ERR1913297.518044__1.518044	39492__D4JTW6__ERS852540_00220
ERR1913297.518090__1.518090	39492__D4JU30__EUBSIR_00838
ERR1913297.518099__1.518099	357276__A0A1Y3ZD00__B5F00_16730
ERR1913297.518191__1.518191	1150298__R7JRU1__degA_3
ERR1913297.518237__1.518237	39492__D4JTW7__EUBSIR_00859
ERR1913297.518339__1.518339	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913297.518371__1.518371	28052__A0A174GFL5__ERS852451_00478
ERR1913297.518439__1.518439	39492__R6SPM9__pheT
ERR1913297.518505__1.518505	39492__D4JRV7__EUBSIR_01513
ERR1913297.518635__1.518635	28052__R7NAV8__ERS852451_01869
ERR1913297.518695__1.518695	39491__A0A396FRK0__ERS852417_00541
ERR1913297.518729__1.518729	39492__D4JUN0__EUBSIR_02705
ERR1913297.518741__1.518741	1150298__A0A174SLE6__mlc_1
ERR1913297.518786__1.518786	39492__D4JTF5__ybeY
ERR1913297.518815__1.518815	39492__D4JW10__pppA
ERR1913297.518882__1.518882	39491__A0A174LTW7__DXD13_08720
ERR1913297.519001__1.519001	357276__A0A076IYG1__B5F95_22465
ERR1913297.519043__1.519043	28116__I9SW74__BACOVA_04237
ERR1913297.519060__1.519060	357276__I9FTR0__HMPREF1065_02861
ERR1913297.519143__1.519143	360807__A0A0M6WXP1__ROSEINA2194_03223
ERR1913297.519166__1.519166	39492__D4JSB6__ERS852540_00627
ERR1913297.519250__1.519250	39492__D4JTG7__EUBSIR_00572
ERR1913297.519302__1.519302	39485__A0A174ZA72__glgB_1
ERR1913297.519360__1.519360	166486__A0A173VSP1__ERS852572_03465
ERR1913297.519420__1.519420	28052__R7N9D0__yhaP
ERR1913297.519653__1.519653	39492__D4JWY5__rpe
ERR1913297.519632__1.519632	39492__D4JSA4__ERS852540_00596
ERR1913297.519770__1.519770	1262743__R5C7D3__BN727_00606
ERR1913297.519850__1.519850	1262785__R6LXM3__BN565_00451
ERR1913297.519910__1.519910	39492__D4JUD9__EUBSIR_01875
ERR1913297.519939__1.519939	820__A0A173YYG4__evgS_3
ERR1913297.520021__1.520021	28052__A0A174IJM6__cph2_4
ERR1913297.520082__1.520082	39492__D4JRZ7__smc
ERR1913297.520137__1.520137	39492__D4MIX3__ERS852540_01230
ERR1913297.520153__1.520153	204516__U6RDD8__HMPREF1534_02559
ERR1913297.520182__1.520182	28111__E5WYY8__HMPREF1016_01893
ERR1913297.520263__1.520263	28116__A0A078Q626__HMPREF1070_02735
ERR1913297.520307__1.520307	39491__A0A395V6A3__DXB69_00505
ERR1913297.520410__1.520410	820__A7VAS1__HMPREF2141_03259
ERR1913297.520541__1.520541	39492__D4JUL3__nreC_2
ERR1913297.520612__1.520612	28052__R7NAP6__ERS852499_01969
ERR1913297.520803__1.520803	820__A0A3E4VXP2__yesR
ERR1913297.520812__1.520812	28052__R6JVH3__ERS852499_00454
ERR1913297.521081__1.521081	47678__A5ZB44__C5Z00_17730
ERR1913297.521092__1.521092	1262945__R6YFE7__BN600_01049
ERR1913297.521066__1.521066	28052__A0A174MI15__pleD
ERR1913297.521068__1.521068	384639__GCA_003096855.1_01178
ERR1913297.521078__1.521078	39492__D4JTB5__EUBSIR_01720
ERR1913297.521129__1.521129	166486__D4KZY4__ERS852572_03347
ERR1913297.521206__1.521206	301302__A0A173T3P5__ERS852420_01836
ERR1913297.521282__1.521282	39492__R6RYB8__ERS852540_00322
ERR1913297.521284__1.521284	239935__A0A2N8HT44__CXT84_11035
ERR1913297.521303__1.521303	40518__R5DNY7__RBATCC27255_00367
ERR1913297.521349__1.521349	239935__A0A139TT05__CXU09_03335
ERR1913297.521440__1.521440	301302__R5UKP4__cbiT
ERR1913297.521718__1.521718	820__A0A139K9Q2__DXD40_08795
ERR1913297.521679__1.521679	204516__U6RA51__HMPREF1534_03959
ERR1913297.521694__1.521694	39492__D4JUP6__ERS852540_01404
ERR1913297.521660__1.521660	371601__W6P631__B5E50_14625
ERR1913297.521762__1.521762	818__A0A139L1D5__BT_2967
ERR1913297.521816__1.521816	371601__A0A173ZG72__SAMN04487924_11442
ERR1913297.521866__1.521866	166486__D4L1D0__ROSINTL182_06446
ERR1913297.521906__1.521906	39492__D4JRV7__EUBSIR_01513
ERR1913297.521949__1.521949	1150298__A0A174EA00__ERS852406_01720
ERR1913297.522029__1.522029	39492__D4JVC7__yfgF
ERR1913297.522035__1.522035	39492__D4JS46__EUBSIR_02553
ERR1913297.522082__1.522082	1965660__A0A1Y3SSG6__B5G34_01735
ERR1913297.522130__1.522130	166486__D4L1D0__ROSINTL182_06446
ERR1913297.522221__1.522221	1262911__R6H2J2__BN557_01228
ERR1913297.522199__1.522199	28117__B0MTV0__BHV66_06395
ERR1913297.522176__1.522176	204516__U6R9E6__HMPREF1534_03149
ERR1913297.522242__1.522242	39492__D4JUR4__ERS852540_01427
ERR1913297.522479__1.522479	820__A0A174R952__DXB48_02570
ERR1913297.522516__1.522516	39492__D4JTK2__EUBSIR_01439
ERR1913297.522581__1.522581	39491__A0A395V464__EUBREC_1509
ERR1913297.522695__1.522695	204516__U6REI9__HMPREF1534_02357
ERR1913297.522713__1.522713	360807__A0A173XR05__RIL183_10401
ERR1913297.522726__1.522726	166486__R6AY46__ROSINTL182_06128
ERR1913297.522842__1.522842	39491__C4ZC33__DXC13_11585
ERR1913297.522867__1.522867	384639__GCA_003096855.1_01177
ERR1913297.522876__1.522876	39492__D4JRM9__bglB_2
ERR1913297.522878__1.522878	28052__R7NDB2__ERS852451_01735
ERR1913297.523018__1.523018	418240__C6J892__ERS852478_02502
ERR1913297.523185__1.523185	39492__D4JV86__spoIIE
ERR1913297.523194__1.523194	39492__D4JQS6__ykoD
ERR1913297.523206__1.523206	39492__D4JWP8__EUBSIR_00699
ERR1913297.523269__1.523269	39491__A0A174IJH1__DXB76_01865
ERR1913297.523294__1.523294	35833__E5Y1W3__HMPREF0179_00172
ERR1913297.523389__1.523389	28052__A0A174KNE1__ptsI_2
ERR1913297.523454__1.523454	820__R9I324__HMPREF2141_02414
ERR1913297.523519__1.523519	301302__A0A0M6WPH4__ERS852420_01173
ERR1913297.523563__1.523563	39492__D4JV86__spoIIE
ERR1913297.523635__1.523635	357276__A0A076IXE0__HMPREF1064_04364
ERR1913297.523730__1.523730	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913297.523732__1.523732	39492__D4JRM9__bglB_2
ERR1913297.523849__1.523849	39492__D4JR31__EUBSIR_00106
ERR1913297.523934__1.523934	39491__C4ZF05__vpr
ERR1913297.523949__1.523949	823__A0A174WTX5__DD466_11965
ERR1913297.524007__1.524007	1150298__A0A174I6Y0__ERS852498_00576
ERR1913297.524014__1.524014	820__A0A139K426__B5G17_09115
ERR1913297.524176__1.524176	166486__D4KZ45__ROSINTL182_05738
ERR1913297.524180__1.524180	823__A0A174UR44__M095_2641
ERR1913297.524190__1.524190	820__R9I2U8__DXC68_09590
ERR1913297.524252__1.524252	39492__B0MM26__ERS852540_00640
ERR1913297.524257__1.524257	39492__D4JWY7__EUBSIR_01655
ERR1913297.524460__1.524460	357276__I9RCD3__IY41_15070
ERR1913297.524523__1.524523	28117__R7JJM9__ALIPUT_00662
ERR1913297.524545__1.524545	853__A8SGX8__C4N21_08625
ERR1913297.524609__1.524609	28052__R7NCE0__ERS852499_00449
ERR1913297.524774__1.524774	357276__E5UTL1__HMPREF1065_03551
ERR1913297.524861__1.524861	39492__D4JTK2__EUBSIR_01439
ERR1913297.524901__1.524901	301302__R5UK77__M72_08681
ERR1913297.524920__1.524920	301302__A0A173R1Q9__M72_20711
ERR1913297.525099__1.525099	39492__D4JSS4__ERS852540_02517
ERR1913297.525199__1.525199	39492__D4MIY5__EUBSIR_00233
ERR1913297.525209__1.525209	357276__A0A076IN30__DXD47_09350
ERR1913297.525178__1.525178	820__A0A396EXA7__DXB37_15530
ERR1913297.525248__1.525248	39492__D4MIK7__EUBSIR_00676
ERR1913297.525299__1.525299	820__A0A3E4RUC4__DHU98_02635
ERR1913297.525389__1.525389	239935__A0A2N8ITX2__CXT86_11265
ERR1913297.525395__1.525395	820__A0A139KH21__DXC80_01780
ERR1913297.525436__1.525436	39492__D4JUR4__ERS852540_01427
ERR1913297.525594__1.525594	384638__B7ANI0__BACPEC_00234
ERR1913297.525693__1.525693	1150298__A0A174PA84__sigM
ERR1913297.525659__1.525659	706562__GCA_900112995.1_00063
ERR1913297.525732__1.525732	39492__D4JWD3__EUBSIR_00151
ERR1913297.525737__1.525737	39492__A0A174Z2N0__EUBSIR_01615
ERR1913297.525747__1.525747	39485__C4Z6R3__mcp2_1
ERR1913297.525795__1.525795	39492__D4JQM9__EUBSIR_00669
ERR1913297.525932__1.525932	39492__D4JQY4__EUBSIR_01325
ERR1913297.525885__1.525885	28052__A0A174IKM0__ERS852499_00833
ERR1913297.525988__1.525988	166486__D4KUE4__ROSINTL182_08606
ERR1913297.526057__1.526057	823__A6LFW2__M095_1860
ERR1913297.526071__1.526071	28052__A0A174KNE1__ptsI_2
ERR1913297.526174__1.526174	28117__B0MXG8__ALIPUT_01814
ERR1913297.526180__1.526180	39492__D4JWY1__rnfA_1
ERR1913297.526302__1.526302	39492__D4JU49__ERS852540_00175
