ERR1913043.66__1.66	39491__C4ZF05__vpr
ERR1913043.732887__1.732887	40518__R5DY73__DXD86_02865
ERR1913043.733101__1.733101	39491__A0A395V2Y7__DXB72_13970
ERR1913043.733239__1.733239	69974__A0A090FEL8__MPL3365_630008
ERR1913043.733256__1.733256	1262924__R7HM98__BN585_01697
ERR1913043.733285__1.733285	69974__A0A090FEL8__MPL3365_630008
ERR1913043.733324__1.733324	39485__C4Z5L9__ERS852490_00668
ERR1913043.733394__1.733394	39491__A0A395ZBQ4__cph2_2
ERR1913043.733404__1.733404	371601__I9UNH8__SAMN04487924_12147
ERR1913043.733476__1.733476	69974__A0A090FEL8__MPL3365_630008
ERR1913043.733532__1.733532	69974__A0A090FEL8__MPL3365_630008
ERR1913043.733554__1.733554	626933__H1DGX0__HMPREF9449_01506
ERR1913043.733572__1.733572	165179__D1PHC0__PREVCOP_06640
ERR1913043.733593__1.733593	165179__A0A3E5A554__DXB80_13805
ERR1913043.733605__1.733605	69974__A0A090FEL8__MPL3365_630008
ERR1913043.733947__1.733947	410072__A0A174DFS8__ERS852574_01251
ERR1913043.733968__1.733968	69974__A0A090FEL8__MPL3365_630008
ERR1913043.734096__1.734096	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913043.734113__1.734113	165179__D1PHD6__DXC61_03380
ERR1913043.734360__1.734360	28118__R6F7J8__Odosp_3206
ERR1913043.734484__1.734484	47678__A5ZBL9__C5Z00_18710
ERR1913043.734568__1.734568	820__A0A3E4WCX3__C801_02709
ERR1913043.734604__1.734604	165179__A0A3E5A554__DXB80_13805
ERR1913043.734761__1.734761	39491__D4JIB6__ERS852417_01685
ERR1913043.734806__1.734806	853__A0A2A7B1Y7__C7K05_11930
ERR1913043.734815__1.734815	204516__U6REI9__HMPREF1534_02357
ERR1913043.734919__1.734919	69974__A0A090FEL8__MPL3365_630008
ERR1913043.734957__1.734957	310298__B3JFK4__BACCOP_00654
ERR1913043.734934__1.734934	40518__R5DP21__RBATCC27255_00348
ERR1913043.735004__1.735004	69974__A0A090FEL8__MPL3365_630008
ERR1913043.735116__1.735116	69974__A0A090FEL8__MPL3365_630008
ERR1913043.735117__1.735117	40518__R5DVL2__penA
ERR1913043.735118__1.735118	39492__A0A174ZYY6__EUBSIR_02510
ERR1913043.735162__1.735162	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913043.735172__1.735172	1965632__A0A1Y4A6X2__B5F91_11655
ERR1913043.735189__1.735189	39485__C4Z355__ERS852490_01971
ERR1913043.735196__1.735196	165179__A0A229I7F5__DXB80_02650
ERR1913043.735245__1.735245	28117__B0MXU0__BHV66_07550
ERR1913043.735279__1.735279	1308__R5ZXP1__Y016_06445
ERR1913043.735273__1.735273	39485__A0A174YZE2__spoIIE
ERR1913043.735356__1.735356	853__A0A2A7B1Y7__C7K05_11930
ERR1913043.735376__1.735376	310298__B3JNG7__BACCOP_03480
ERR1913043.735499__1.735499	69974__A0A090FEL8__MPL3365_630008
ERR1913043.735512__1.735512	562__P32704__COD56_15900
ERR1913043.735852__1.735852	204516__U6RGK1__HMPREF1534_01924
ERR1913043.735874__1.735874	84024__A0A174KV25__bacE
ERR1913043.735880__1.735880	28118__F9Z6J0__DHW44_06845
ERR1913043.735936__1.735936	165179__A0A3E5A5E5__DXC61_13965
ERR1913043.735960__1.735960	39485__C4Z6K2__ERS852490_00407
ERR1913043.736027__1.736027	310298__B3JF96__BACCOP_00544
ERR1913043.736082__1.736082	39491__C4ZHS4__EUR_24420
ERR1913043.736105__1.736105	626933__H1DGX0__HMPREF9449_01506
ERR1913043.736150__1.736150	384638__B7ASI3__BACPEC_02038
ERR1913043.736236__1.736236	69974__A0A090FEL8__MPL3365_630008
ERR1913043.736285__1.736285	69974__A0A090FEL8__MPL3365_630008
ERR1913043.736347__1.736347	301302__R5UI99__M72_25591
ERR1913043.736383__1.736383	69974__A0A090FEL8__MPL3365_630008
ERR1913043.736481__1.736481	1535__A7VPY1__CLOLEP_00608
ERR1913043.736533__1.736533	69974__A0A090FEL8__MPL3365_630008
ERR1913043.736618__1.736618	28117__A0A1Q6F5G6__ALIPUT_00577
ERR1913043.736658__1.736658	165179__A0A3E5AFJ9__CFT61_15180
ERR1913043.736691__1.736691	165179__A0A229I6N7__DXC61_06720
ERR1913043.736847__1.736847	165179__R6C330__DXC61_04975
ERR1913043.737054__1.737054	418240__A0A174NZX7__tagF_1
ERR1913043.737456__1.737456	1262911__R6H2J2__BN557_01228
ERR1913043.737582__1.737582	116085__D4J3V0__DW747_12385
ERR1913043.737696__1.737696	69974__A0A090FEL8__MPL3365_630008
ERR1913043.737768__1.737768	39485__A0A174YVS4__EUBELI_00620
ERR1913043.737861__1.737861	69974__A0A090FEL8__MPL3365_630008
ERR1913043.738064__1.738064	28116__R6JAK2__DXD69_23875
ERR1913043.738076__1.738076	69974__A0A090FEL8__MPL3365_630008
ERR1913043.738191__1.738191	1262924__R7HPX8__BN585_00310
ERR1913043.738206__1.738206	1965632__A0A1Y4A853__B5F91_11650
ERR1913043.738231__1.738231	69974__A0A090FEL8__MPL3365_630008
ERR1913043.738258__1.738258	69974__A0A090FEL8__MPL3365_630008
ERR1913043.738261__1.738261	69974__A0A090FEL8__MPL3365_630008
ERR1913043.738265__1.738265	487173__H1D187__HMPREF9453_01375
ERR1913043.738276__1.738276	820__A0A173YYG4__evgS_3
ERR1913043.738309__1.738309	820__R7E9Z4__DXC68_06065
ERR1913043.738369__1.738369	69974__A0A090FEL8__MPL3365_630008
ERR1913043.738417__1.738417	1262911__R6GPC5__BN557_00852
ERR1913043.738654__1.738654	39485__C4Z6R3__mcp2_1
ERR1913043.738676__1.738676	1262924__R7HMW0__BN585_01951
ERR1913043.738728__1.738728	28116__A0A1Y4PUF2__BACOV975_03357
ERR1913043.738693__1.738693	292800__A0A174GC67__ADH75_14070
ERR1913043.738810__1.738810	69974__A0A090FEL8__MPL3365_630008
ERR1913043.738960__1.738960	165179__A0A229I6N7__DXC61_06720
ERR1913043.739023__1.739023	853__A0A173XRA8__CGS56_09290
ERR1913043.739117__1.739117	310298__B3JQL6__BACCOP_04252
ERR1913043.739128__1.739128	1432052__A0A1E3UGI3__BLA28_20605
ERR1913043.739148__1.739148	820__A0A174DZ97__SAMN05444418_101240
ERR1913043.739181__1.739181	39485__A0A174YNW2__cph2_3
ERR1913043.739219__1.739219	69974__A0A090FEL8__MPL3365_630008
ERR1913043.739233__1.739233	39491__A0A395ZM93__DXD13_03490
ERR1913043.739246__1.739246	310298__B3JK49__BACCOP_02273
ERR1913043.739255__1.739255	69974__A0A090FEL8__MPL3365_630008
ERR1913043.739344__1.739344	39491__A0A396FVC0__ERE_15900
ERR1913043.739383__1.739383	204516__U6R921__HMPREF1534_03932
ERR1913043.739409__1.739409	165179__A0A229I7F5__DXB80_02650
ERR1913043.739616__1.739616	410072__A0A174HCW3__ERS852574_00529
ERR1913043.739560__1.739560	216816__E8MU45__DPC6316_1140
ERR1913043.739725__1.739725	69974__A0A090FEL8__MPL3365_630008
ERR1913043.739698__1.739698	165179__A0A3E5A554__DXB80_13805
ERR1913043.739869__1.739869	39491__A0A173TM76__DXB72_10535
ERR1913043.739995__1.739995	39485__A0A174YMC1__recN
ERR1913043.740124__1.740124	310298__B3JH75__BACCOP_01229
ERR1913043.740171__1.740171	165179__A0A174UTZ7__DXC61_06705
ERR1913043.740147__1.740147	820__A0A174QLF0__SAMN05444418_109151
ERR1913043.740363__1.740363	310298__B3JGL4__BACCOP_01016
ERR1913043.740398__1.740398	28117__B0MTI4__ALIPUT_00084
ERR1913043.740449__1.740449	165179__A0A3E5DWJ4__PREVCOP_06538
ERR1913043.740492__1.740492	40518__R5DTH7__DXD83_02405
ERR1913043.740720__1.740720	165179__A0A174UTZ7__DXC61_06705
ERR1913043.740854__1.740854	28117__B0MTH2__ALIPUT_00061
ERR1913043.740903__1.740903	40518__R5DR39__mreB_2
ERR1913043.740904__1.740904	1262924__R7HLK0__BN585_01496
ERR1913043.740929__1.740929	165179__D1PHV2__PREVCOP_06822
ERR1913043.740967__1.740967	39485__A0A174Z2N7__EUBELI_02062
ERR1913043.741130__1.741130	310298__B3JH76__BACCOP_01230
ERR1913043.741244__1.741244	310298__B3JFS5__BACCOP_00726
ERR1913043.741307__1.741307	853__A0A329UEG4__CHR60_00585
ERR1913043.741391__1.741391	371601__D7K8P3__SAMN05216250_10395
ERR1913043.741371__1.741371	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913043.741398__1.741398	69974__A0A090FEL8__MPL3365_630008
ERR1913043.741453__1.741453	28117__B0MVL2__BHV66_01645
ERR1913043.741527__1.741527	487174__K0WXI5__DDY40_07185
ERR1913043.741563__1.741563	69974__A0A090FEL8__MPL3365_630008
ERR1913043.741683__1.741683	853__A0A173XRA8__CGS56_09290
ERR1913043.741715__1.741715	69974__A0A090FEL8__MPL3365_630008
ERR1913043.741748__1.741748	39485__C4Z389__ERS852490_01920
ERR1913043.741877__1.741877	39491__D4JMW8__ERS852497_01971
ERR1913043.741924__1.741924	371601__A0A1C7H1Z9__BN890_35950
ERR1913043.742117__1.742117	310298__B3JH76__BACCOP_01230
ERR1913043.742160__1.742160	1262924__R7HU74__BN585_00690
ERR1913043.742295__1.742295	69974__A0A090FEL8__MPL3365_630008
ERR1913043.742308__1.742308	204516__U6R9H3__HMPREF1534_03348
ERR1913043.742378__1.742378	626933__H1DGX0__HMPREF9449_01506
ERR1913043.742553__1.742553	154288__A0A174UV38__ykvU
ERR1913043.742554__1.742554	384638__B7ASI3__BACPEC_02038
ERR1913043.742565__1.742565	204516__U6R921__HMPREF1534_03932
ERR1913043.742695__1.742695	1262924__R7HU74__BN585_00690
ERR1913043.742847__1.742847	39491__A0A173SH34__EUR_24920
ERR1913043.742854__1.742854	69974__A0A090FEL8__MPL3365_630008
ERR1913043.742994__1.742994	69974__A0A090FEL8__MPL3365_630008
ERR1913043.743007__1.743007	47678__A5ZL09__BACCAC_03608
ERR1913043.743114__1.743114	165179__A0A3E5EAM5__DXC61_07785
ERR1913043.743094__1.743094	69974__A0A090FEL8__MPL3365_630008
ERR1913043.743189__1.743189	69974__A0A090FEL8__MPL3365_630008
ERR1913043.743244__1.743244	487173__H1D2V9__HMPREF9453_01947
ERR1913043.743302__1.743302	40518__R5DY98__mepA_5
ERR1913043.743416__1.743416	39491__A0A395UXH0__EUBREC_0021
ERR1913043.743435__1.743435	165179__A0A229I3Z6__PREVCOP_03666
ERR1913043.743525__1.743525	69974__A0A090FEL8__MPL3365_630008
ERR1913043.743527__1.743527	216816__B7GPE8__I118_0062
ERR1913043.743592__1.743592	204516__U6RAM4__HMPREF1534_03439
ERR1913043.743603__1.743603	823__D7IW29__DXD05_13365
ERR1913043.743661__1.743661	204516__U6R9E6__HMPREF1534_03149
ERR1913043.743674__1.743674	1262924__R7HQB7__BN585_02057
ERR1913043.743831__1.743831	69974__A0A090FEL8__MPL3365_630008
ERR1913043.744040__1.744040	626933__H1DGX0__HMPREF9449_01506
ERR1913043.744078__1.744078	39485__A0A174Z2N7__EUBELI_02062
ERR1913043.744178__1.744178	626933__H1DGX0__HMPREF9449_01506
ERR1913043.744322__1.744322	69974__A0A090FEL8__MPL3365_630008
ERR1913043.744390__1.744390	39485__A0A174YRS0__ERS852492_00307
ERR1913043.744395__1.744395	88431__A6BDF9__ERS852573_01553
ERR1913043.744484__1.744484	69974__A0A090FEL8__MPL3365_630008
ERR1913043.744510__1.744510	69974__A0A090FEL8__MPL3365_630008
ERR1913043.744733__1.744733	165179__A0A3E5E8N5__DXC61_13460
ERR1913043.744953__1.744953	69974__A0A090FEL8__MPL3365_630008
ERR1913043.745034__1.745034	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913043.745145__1.745145	28117__B0MT38__BHV66_05995
ERR1913043.745273__1.745273	487173__H1D1P5__HMPREF9453_01533
ERR1913043.745339__1.745339	487175__F3QND6__HMPREF9439_02468
ERR1913043.745385__1.745385	216816__A0A396FVC5__BL71B_00290
ERR1913043.745356__1.745356	69974__A0A090FEL8__MPL3365_630008
ERR1913043.745486__1.745486	487174__K0WV19__HMPREF9448_01820
ERR1913043.745563__1.745563	69974__A0A090FEL8__MPL3365_630008
ERR1913043.745608__1.745608	69974__A0A090FEL8__MPL3365_630008
ERR1913043.745617__1.745617	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913043.745694__1.745694	214856__R6Z7Q9__ERS852447_02172
ERR1913043.745833__1.745833	310298__B3JPN8__BACCOP_03837
ERR1913043.745869__1.745869	69974__A0A090FEL8__MPL3365_630008
ERR1913043.745894__1.745894	69974__A0A090FEL8__MPL3365_630008
ERR1913043.745904__1.745904	884684__GCA_002892425.1_01408
ERR1913043.745960__1.745960	39491__C4Z9J5__DXB69_02495
ERR1913043.746041__1.746041	1323__A0A3E3DXF2__queE
ERR1913043.746109__1.746109	165179__A0A174IPI3__CFT61_10940
ERR1913043.746128__1.746128	39485__A0A174Z1T6__sfp
ERR1913043.746328__1.746328	310298__B3JNG7__BACCOP_03480
ERR1913043.746414__1.746414	165179__A0A3E5AHY4__CFT61_07675
ERR1913043.746449__1.746449	88431__A0A3D0EXT6__ERS852423_01007
ERR1913043.746506__1.746506	418240__C6JH11__ERS852523_02507
ERR1913043.746585__1.746585	69974__A0A090FEL8__MPL3365_630008
ERR1913043.746621__1.746621	1262913__R7JCZ5__BN646_01657
ERR1913043.746673__1.746673	69974__A0A090FEL8__MPL3365_630008
ERR1913043.746921__1.746921	204516__U6R989__HMPREF1534_03109
ERR1913043.746944__1.746944	853__A0A173XRA8__CGS56_09290
ERR1913043.747083__1.747083	39491__A0A395ZM93__DXD13_03490
ERR1913043.747099__1.747099	322505__group_1006
ERR1913043.747121__1.747121	165179__A0A3E5DY64__CFT61_10025
ERR1913043.747138__1.747138	69974__A0A090FEL8__MPL3365_630008
ERR1913043.747184__1.747184	301302__R5UKE6__M72_05651
ERR1913043.747359__1.747359	69974__A0A090FEL8__MPL3365_630008
ERR1913043.747526__1.747526	1262924__R7HU74__BN585_00690
ERR1913043.747660__1.747660	69974__A0A090FEL8__MPL3365_630008
ERR1913043.747672__1.747672	165179__R6B8D8__DXC61_09245
ERR1913043.747755__1.747755	165179__A0A3E5AER8__DXB80_07075
ERR1913043.747760__1.747760	165179__A0A3E5EAM5__DXC61_07785
ERR1913043.747832__1.747832	1897011__A0A1Q6RJU8__BHW41_00020
ERR1913043.747874__1.747874	39485__A0A174ZPJ9__tig_2
ERR1913043.747907__1.747907	165179__A0A3E5EA43__DXC61_07775
ERR1913043.747920__1.747920	28117__B0MWC6__BHV66_00965
ERR1913043.747985__1.747985	820__A0A174B4N2__M093_2531
ERR1913043.748040__1.748040	2293125__A0A374CIC9__DW917_02045
ERR1913043.748045__1.748045	69974__A0A090FEL8__MPL3365_630008
ERR1913043.748155__1.748155	69974__A0A090FEL8__MPL3365_630008
ERR1913043.748161__1.748161	1550024__G9RXB5__TQ39_17835
ERR1913043.748258__1.748258	1262911__R6GPB1__BN557_00837
ERR1913043.748284__1.748284	39485__A0A174YR79__EUBELI_20418
ERR1913043.748333__1.748333	1262924__R7HKZ9__BN585_01304
ERR1913043.748380__1.748380	39485__R5ZNS8__rsmG
ERR1913043.748399__1.748399	745368__A0A1T4XC26__SAMN02745178_01685
ERR1913043.748493__1.748493	487174__R5EV44__HMPREF9448_01630
ERR1913043.748533__1.748533	39491__C4ZCV7__ERE_23110
ERR1913043.748515__1.748515	626933__H1DGX0__HMPREF9449_01506
ERR1913043.748691__1.748691	69974__A0A090FEL8__MPL3365_630008
ERR1913043.748698__1.748698	69974__A0A090FEL8__MPL3365_630008
ERR1913043.749101__1.749101	1535__A7VRY3__CH238_12035
ERR1913043.749122__1.749122	69974__A0A090FEL8__MPL3365_630008
ERR1913043.749155__1.749155	69974__A0A090FEL8__MPL3365_630008
ERR1913043.749226__1.749226	165179__A0A3E5AER8__DXB80_07075
ERR1913043.749197__1.749197	28118__R6F633__speG
ERR1913043.749348__1.749348	39491__A0A395UZ89__DXB72_12805
ERR1913043.749407__1.749407	69974__A0A090FEL8__MPL3365_630008
ERR1913043.749395__1.749395	165179__A0A3E5EB26__CFT61_02800
ERR1913043.749534__1.749534	2293125__A0A374CIC9__DW917_02045
ERR1913043.749624__1.749624	165179__D1PER3__DXB80_11525
ERR1913043.749718__1.749718	1897011__A0A1Q6RH12__BHW41_01505
ERR1913043.749783__1.749783	818__A0A174RFL1__ERS852511_03380
ERR1913043.749901__1.749901	853__A0A173T751__C4N24_10280
ERR1913043.749943__1.749943	1308__A0A2X3V4X8__Y016_09410
ERR1913043.750090__1.750090	820__R9I2U8__DXC68_09590
ERR1913043.750095__1.750095	39491__A0A396FRE7__EUR_27520
ERR1913043.750188__1.750188	853__E2ZJT1__C4N23_03535
ERR1913043.750205__1.750205	1262913__R7J3E6__BN646_00446
ERR1913043.750321__1.750321	69974__A0A090FEL8__MPL3365_630008
ERR1913043.750386__1.750386	214856__A0A174ZZS1__ERS852559_01484
ERR1913043.750449__1.750449	69974__A0A090FEL8__MPL3365_630008
ERR1913043.750646__1.750646	1262929__R6F6C8__BN691_01344
ERR1913043.750654__1.750654	39491__C4ZCH3__EUR_17560
ERR1913043.750731__1.750731	1262924__R7HMW0__BN585_01951
ERR1913043.750714__1.750714	487173__H1D115__HMPREF9453_02150
ERR1913043.750799__1.750799	28118__F9ZAB4__B5F93_06270
ERR1913043.750870__1.750870	28118__F9Z3U6__B5F99_03365
ERR1913043.750879__1.750879	1584__G6F7V8__HMPREF9264_1926
ERR1913043.750932__1.750932	33039__A0A173VTT4__frdB_1
ERR1913043.750940__1.750940	310298__B3JMG0__BACCOP_03099
ERR1913043.751013__1.751013	69974__A0A090FEL8__MPL3365_630008
ERR1913043.751074__1.751074	1262924__R7HQ73__BN585_02030
ERR1913043.751080__1.751080	310298__B3JQ37__BACCOP_04069
ERR1913043.751088__1.751088	39485__A0A174YNW2__cph2_3
ERR1913043.751111__1.751111	1262924__R7HQD9__BN585_00129
ERR1913043.751102__1.751102	69974__A0A090FEL8__MPL3365_630008
ERR1913043.751157__1.751157	69974__A0A090FEL8__MPL3365_630008
ERR1913043.751193__1.751193	853__A0A173YYY4__DWZ04_09420
ERR1913043.751230__1.751230	165179__A0A229I7F5__DXB80_02650
ERR1913043.751312__1.751312	165179__A0A3E5E4T9__DXB80_08030
ERR1913043.751330__1.751330	39491__A0A396FUZ3__phoR_1
ERR1913043.751342__1.751342	1897011__A0A1Q6RGE4__BHW41_02910
ERR1913043.751618__1.751618	39491__A0A396FIU1__DXC13_07905
ERR1913043.751678__1.751678	1262924__R7HU74__BN585_00690
ERR1913043.751963__1.751963	28117__B0MUB3__ALIPUT_00727
ERR1913043.752117__1.752117	310298__B3JNH4__BACCOP_03487
ERR1913043.752188__1.752188	310298__B3JM32__BACCOP_00571
ERR1913043.752272__1.752272	69974__A0A090FEL8__MPL3365_630008
ERR1913043.752293__1.752293	1263107__GCA_000436995.1_00124
ERR1913043.752588__1.752588	165179__D1PGU8__PREVCOP_06463
ERR1913043.752859__1.752859	165179__A0A3E5A5E5__DXC61_13965
ERR1913043.752911__1.752911	338188__A0A174ETX3__ERS852397_01955
ERR1913043.752913__1.752913	2293125__A0A374BLR6__DW917_15555
ERR1913043.753041__1.753041	310298__B3JK99__BACCOP_02328
ERR1913043.753172__1.753172	28117__R7JJM9__ALIPUT_00662
ERR1913043.753188__1.753188	626933__H1DGX0__HMPREF9449_01506
ERR1913043.753224__1.753224	1262911__R6GPL1__BN557_00927
ERR1913043.753280__1.753280	626930__F3PVE2__HMPREF9446_02720
ERR1913043.753338__1.753338	39491__A0A396FKI0__DXC13_11560
ERR1913043.753376__1.753376	165179__A0A229I6N7__DXC61_06720
ERR1913043.753416__1.753416	204516__U6R9H3__HMPREF1534_03348
ERR1913043.753450__1.753450	310298__B3JQL6__BACCOP_04252
ERR1913043.753466__1.753466	39485__A0A174YR99__ERS852492_00943
ERR1913043.753472__1.753472	165179__A0A174UTZ7__DXC61_06705
ERR1913043.753552__1.753552	310298__B3JED9__BACCOP_00230
ERR1913043.753814__1.753814	1432052__A0A1E3AAD1__cheY_1
ERR1913043.753845__1.753845	28117__B0MWP2__ALIPUT_01468
ERR1913043.753890__1.753890	204516__U6RR96__HMPREF1534_00277
ERR1913043.753951__1.753951	165179__A0A3E5E189__PREVCOP_06699
ERR1913043.754069__1.754069	487173__H1CYJ4__HMPREF9453_00432
ERR1913043.754104__1.754104	39491__A0A395V297__EUR_01010
ERR1913043.754150__1.754150	487175__F3QGM6__HMPREF9439_00065
ERR1913043.754182__1.754182	1965632__A0A1Y4A853__B5F91_11650
ERR1913043.754269__1.754269	853__A8SB03__C4Q21_07960
ERR1913043.754370__1.754370	40518__R5E6X5__sbcD
ERR1913043.754421__1.754421	626933__H1DGX0__HMPREF9449_01506
ERR1913043.754458__1.754458	820__A0A174A6K0__M093_0079
ERR1913043.754465__1.754465	487173__H1CZM4__HMPREF9453_00812
ERR1913043.754534__1.754534	820__A0A3E5E0T0__ERS852554_00312
ERR1913043.754618__1.754618	216816__A0A0M4NCP0__HMPREF1313_0712
ERR1913043.754626__1.754626	820__A0A139KG60__M094_2679
ERR1913043.754672__1.754672	69974__A0A090FEL8__MPL3365_630008
ERR1913043.754766__1.754766	69974__A0A090FEL8__MPL3365_630008
ERR1913043.754774__1.754774	28118__R6FI30__NCTC10826_00479
ERR1913043.755214__1.755214	821__A0A397WGD6__M098_0084
ERR1913043.755228__1.755228	165179__A0A3E5A554__DXB80_13805
ERR1913043.755263__1.755263	1262924__R7HTA4__BN585_00391
ERR1913043.755268__1.755268	487174__K0X2Q8__DDY40_04590
ERR1913043.755274__1.755274	204516__U6R838__HMPREF1534_03867
ERR1913043.755304__1.755304	410072__A0A174LWU8__ERS852481_03155
ERR1913043.755440__1.755440	165179__D1PHC0__PREVCOP_06640
ERR1913043.755600__1.755600	165179__D1PEQ5__PREVCOP_05711
ERR1913043.755633__1.755633	39485__A0A174Z851__cdaR_1
ERR1913043.755657__1.755657	310298__B3JFK6__BACCOP_00656
ERR1913043.755673__1.755673	165179__A0A3E5E189__PREVCOP_06699
ERR1913043.755790__1.755790	69974__A0A090FEL8__MPL3365_630008
ERR1913043.755835__1.755835	1262743__R5C3A8__BN727_00457
ERR1913043.755907__1.755907	69974__A0A090FEL8__MPL3365_630008
ERR1913043.756059__1.756059	28117__B0MXL6__ALIPUT_01851
ERR1913043.756071__1.756071	2292352__A0A374UNS4__DXC23_05055
ERR1913043.756107__1.756107	39485__A0A174ZMD4__ERS852492_01969
ERR1913043.756232__1.756232	487173__H1CYJ4__HMPREF9453_00432
ERR1913043.756247__1.756247	39485__R5ZQJ7__yniC
ERR1913043.756267__1.756267	853__A0A174AML0__FPR_08640
ERR1913043.756311__1.756311	69974__A0A090FEL8__MPL3365_630008
ERR1913043.756284__1.756284	204516__U6RGV4__HMPREF1534_01764
ERR1913043.756364__1.756364	69974__A0A090FEL8__MPL3365_630008
ERR1913043.756380__1.756380	69974__A0A090FEL8__MPL3365_630008
ERR1913043.756390__1.756390	261299__B0A989__ERS852493_02287
ERR1913043.756578__1.756578	165179__D1PCL6__DXB80_13435
ERR1913043.756884__1.756884	28118__F9Z3U6__B5F99_03365
ERR1913043.757140__1.757140	39491__A0A395ZDC6__addB
ERR1913043.757159__1.757159	40518__A0A2N0UQR6__RBATCC27255_01177
ERR1913043.757274__1.757274	165179__D1PGU8__PREVCOP_06463
ERR1913043.757281__1.757281	39485__R5ZX10__ERS852492_02330
ERR1913043.757416__1.757416	69974__A0A090FEL8__MPL3365_630008
ERR1913043.757461__1.757461	487175__D9Y658__HMPREF9439_01313
ERR1913043.757529__1.757529	204516__U6RR96__HMPREF1534_00277
ERR1913043.757559__1.757559	40518__R5E4V5__RBL263_01242
ERR1913043.757560__1.757560	820__A0A1T4IY71__HMPREF2141_02402
ERR1913043.757595__1.757595	165179__A0A3E5EB26__CFT61_02800
ERR1913043.757785__1.757785	310298__B3JNG7__BACCOP_03480
ERR1913043.757789__1.757789	39491__C4ZCV7__ERE_23110
ERR1913043.757812__1.757812	821__A0A395UNT8__DXD64_15275
ERR1913043.757881__1.757881	165179__A0A3E5EA43__DXC61_07775
ERR1913043.757891__1.757891	853__A0A2A7B1Y7__C7K05_11930
ERR1913043.758110__1.758110	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913043.758185__1.758185	39491__C4ZCH3__EUR_17560
ERR1913043.758248__1.758248	88431__A0A3D0EY52__ERS852573_01763
ERR1913043.758322__1.758322	39491__A0A396FS17__envC
ERR1913043.758387__1.758387	1262992__R5DA18__BN795_01586
ERR1913043.758555__1.758555	69974__A0A090FEL8__MPL3365_630008
ERR1913043.758688__1.758688	69974__A0A090FEL8__MPL3365_630008
ERR1913043.758782__1.758782	204516__U6RFB2__HMPREF1534_01733
ERR1913043.758785__1.758785	47678__R5UPZ8__ERS852494_01752
ERR1913043.758915__1.758915	310298__B3JNH3__BACCOP_03486
ERR1913043.758939__1.758939	1262924__R7HSH9__BN585_00133
ERR1913043.758942__1.758942	165179__A0A3E5AGH1__DXB80_05820
ERR1913043.759070__1.759070	28116__A0A3A9HTT7__BACOVA_05446
ERR1913043.759036__1.759036	69974__A0A090FEL8__MPL3365_630008
ERR1913043.759037__1.759037	165179__A0A3E5EA43__DXC61_07775
ERR1913043.759038__1.759038	487173__H1D3F9__HMPREF9453_02142
ERR1913043.759090__1.759090	116085__D4J8Q3__DW747_08750
ERR1913043.759103__1.759103	1262913__R7JGP8__BN646_01880
ERR1913043.759208__1.759208	820__A0A3E5BMG9__DXD40_05130
ERR1913043.759353__1.759353	28116__A0A078QF71__HMPREF1070_01231
ERR1913043.759383__1.759383	28117__B0MY45__ALIPUT_02164
ERR1913043.759453__1.759453	1150298__R7JRU1__degA_3
ERR1913043.759462__1.759462	458033__GCA_001482755.1_02203
ERR1913043.759550__1.759550	410072__A0A173XU61__ykvU
ERR1913043.759592__1.759592	69974__A0A090FEL8__MPL3365_630008
ERR1913043.759678__1.759678	821__A0A173XDD3__DXB82_17180
ERR1913043.759686__1.759686	39485__A0A174ZQT9__EUBELI_20278
ERR1913043.759790__1.759790	1262948__R7EFI6__BN671_00853
ERR1913043.759802__1.759802	40518__R5E328__DXD86_08885
ERR1913043.759883__1.759883	626933__H1DGX0__HMPREF9449_01506
ERR1913043.759926__1.759926	33039__R6P284__spoIIIE
ERR1913043.759935__1.759935	165179__A0A3E5DN34__DXC61_07865
ERR1913043.760053__1.760053	1262924__R7HTW2__BN585_00604
ERR1913043.760158__1.760158	821__A0A395VIK7__BVU_1225
ERR1913043.760295__1.760295	410072__A0A174DFS8__ERS852574_01251
ERR1913043.760352__1.760352	69974__A0A090FEL8__MPL3365_630008
ERR1913043.760509__1.760509	165179__A0A3E5DR10__DXC61_03505
ERR1913043.760530__1.760530	40518__R5DZ88__DXD93_06320
ERR1913043.760551__1.760551	69974__A0A090FEL8__MPL3365_630008
ERR1913043.760577__1.760577	820__A0A139KIL9__DXC68_05945
ERR1913043.760646__1.760646	745368__A0A1T4Y576__SAMN02745178_02757
ERR1913043.760855__1.760855	301301__A0A395VBJ2__ERS852391_02160
ERR1913043.760872__1.760872	165179__R6C330__DXC61_04975
ERR1913043.760883__1.760883	310298__B3JQL6__BACCOP_04252
ERR1913043.760890__1.760890	40518__R5E6G1__DXD83_06815
ERR1913043.760921__1.760921	310298__B3JLC6__BACCOP_02712
ERR1913043.761184__1.761184	69974__A0A090FEL8__MPL3365_630008
ERR1913043.761200__1.761200	1262924__R7HPB3__BN585_00488
ERR1913043.761205__1.761205	69974__A0A090FEL8__MPL3365_630008
ERR1913043.761279__1.761279	69974__A0A090FEL8__MPL3365_630008
