ERR1913203.14__1.14	239935__A0A2N8IEP3__CXT84_03735
ERR1913203.618035__1.618035	1262882__R5N3T7__BN519_01188
ERR1913203.618122__1.618122	216816__A0A0A6VPB9__B624_1780
ERR1913203.618193__1.618193	1897011__A0A1Q6RH61__BHW41_01970
ERR1913203.618207__1.618207	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.618215__1.618215	1965604__A0A1Y4EK44__B5F54_16565
ERR1913203.618259__1.618259	1262882__R5MJ49__BN519_01124
ERR1913203.618543__1.618543	214856__I3YPQ6__Alfi_2714
ERR1913203.618700__1.618700	239935__A0A2N8HTZ8__CXU09_01270
ERR1913203.618664__1.618664	239935__A0A2N8HT44__CXT84_11035
ERR1913203.618676__1.618676	1501391__GCA_000786575.1_00032
ERR1913203.618859__1.618859	39492__D4JT87__clpC
ERR1913203.618957__1.618957	2108523__A0A2P2F3W3__LAWASA_692
ERR1913203.618966__1.618966	1262882__R5N4I8__BN519_01293
ERR1913203.619030__1.619030	214856__I3YPP3__Alfi_2701
ERR1913203.619091__1.619091	338188__R6RT73__HMPREF1057_02828
ERR1913203.619169__1.619169	214856__A0A174CRY5__ERS852559_01060
ERR1913203.619204__1.619204	1262882__R5N5S3__BN519_00085
ERR1913203.619234__1.619234	47678__R5U8P0__DW706_15950
ERR1913203.619426__1.619426	649756__D4MZI8__ERS852387_00933
ERR1913203.619780__1.619780	214856__R5UN64__ERS852447_02669
ERR1913203.619918__1.619918	239935__A0A2N8HQR1__Amuc_0287
ERR1913203.620227__1.620227	1262882__R5N4D8__BN519_01497
ERR1913203.620234__1.620234	1550024__A0A3B9WKW6__TQ39_07780
ERR1913203.620331__1.620331	214856__I3YPN9__ERS852447_01389
ERR1913203.620348__1.620348	214856__I3YPN0__ERS852447_01398
ERR1913203.620418__1.620418	291645__I9S0N1__HMPREF1068_02854
ERR1913203.620534__1.620534	1235835__R9LCU2__C814_02677
ERR1913203.620591__1.620591	39492__D4JTW6__ERS852540_00220
ERR1913203.620618__1.620618	1262882__R5MLE6__BN519_01423
ERR1913203.620619__1.620619	214856__A0A173W3Y5__ERS852559_02032
ERR1913203.620652__1.620652	214856__A0A174EJT5__mnmA
ERR1913203.620666__1.620666	487174__K0XM88__DDY40_02935
ERR1913203.620706__1.620706	214856__A0A175A6T5__ERS852447_02658
ERR1913203.620708__1.620708	1262882__R5MGX3__BN519_00046
ERR1913203.620745__1.620745	1501391__GCA_000786575.1_00012
ERR1913203.620770__1.620770	301302__R5UQW7__ERS852420_02102
ERR1913203.620795__1.620795	1262882__R5N5D7__BN519_01676
ERR1913203.620812__1.620812	214856__R6XKT4__ERS852559_01719
ERR1913203.620872__1.620872	1262911__R6GN99__BN557_01784
ERR1913203.620890__1.620890	214856__I3YPI7__pepD_1
ERR1913203.621148__1.621148	649756__B0P4Q3__ERS852425_01640
ERR1913203.621197__1.621197	39492__D4JUT9__ERS852540_01449
ERR1913203.621294__1.621294	301302__A0A0M6WSS7__ERS852420_02367
ERR1913203.621406__1.621406	214856__I3YPN5__Alfi_2693
ERR1913203.621591__1.621591	214856__R5UN64__ERS852447_02669
ERR1913203.621706__1.621706	301302__R5UHX5__M72_14301
ERR1913203.621761__1.621761	214856__R5UN64__ERS852447_02669
ERR1913203.621869__1.621869	47678__R5UAI1__BACCAC_01922
ERR1913203.622301__1.622301	1262882__R5MIQ8__BN519_01036
ERR1913203.622878__1.622878	1150298__A0A174PLY5__ERS852406_01056
ERR1913203.623003__1.623003	47678__R5U2F6__HMPREF1061_00767
ERR1913203.623135__1.623135	649756__A0A173SZT9__ptsG_1
ERR1913203.623271__1.623271	214856__I3YPN5__Alfi_2693
ERR1913203.623337__1.623337	1262882__R5N4G2__BN519_01273
ERR1913203.623354__1.623354	301302__A0A173TEJ2__M72_09031
ERR1913203.623497__1.623497	487174__K0X7X4__DIT83_09125
ERR1913203.623554__1.623554	214856__R6XQX8__ERS852559_02550
ERR1913203.623586__1.623586	239935__R6JWJ7__CXT94_02580
ERR1913203.623612__1.623612	214856__R6XS46__ERS852559_00812
ERR1913203.623789__1.623789	214856__I3YPR5__ERS852447_01364
ERR1913203.623801__1.623801	1501391__GCA_000786575.1_00024
ERR1913203.623909__1.623909	487174__K0WX70__DDY40_01710
ERR1913203.623987__1.623987	239935__A0A2N8IU45__DEF40_02365
ERR1913203.624077__1.624077	1262882__R5N532__BN519_01420
ERR1913203.624024__1.624024	487174__K0XIX0__DDY40_06625
ERR1913203.624126__1.624126	214856__A0A174EQR4__rsmA
ERR1913203.624145__1.624145	649756__B0P1V2__ERS852475_00214
ERR1913203.624105__1.624105	239935__A0A2N8J2P6__ADH72_06730
ERR1913203.624233__1.624233	239935__A0A2N8IUQ8__CXU09_01665
ERR1913203.624347__1.624347	487174__K0WUJ8__DIT83_08050
ERR1913203.624386__1.624386	1501391__GCA_000786575.1_00038
ERR1913203.624387__1.624387	74426__sufB
ERR1913203.624454__1.624454	1150298__A0A174TF64__ERS852406_00108
ERR1913203.624532__1.624532	291645__I9S0N1__HMPREF1068_02854
ERR1913203.624611__1.624611	239935__A0A139TPU7__CXT91_06575
ERR1913203.624627__1.624627	214856__A0A174ZLY7__ERS852447_02456
ERR1913203.624658__1.624658	649756__A0A173SZT1__ftsW_3
ERR1913203.624732__1.624732	214856__I3YPN9__ERS852447_01389
ERR1913203.624771__1.624771	818__Q8AAE0__Btheta7330_02023
ERR1913203.624997__1.624997	214856__R6Z288__ERS852447_00734
ERR1913203.625117__1.625117	214856__A0A173Z1B0__ERS852447_00765
ERR1913203.625135__1.625135	1501391__GCA_000786575.1_00015
ERR1913203.625076__1.625076	214856__A0A174EJT5__mnmA
ERR1913203.625472__1.625472	1262882__R5MIQ8__BN519_01036
ERR1913203.625547__1.625547	39496__A5Z5I2__EUBVEN_00963
ERR1913203.625589__1.625589	1501391__GCA_000786575.1_00002
ERR1913203.625596__1.625596	1501391__GCA_000786575.1_00085
ERR1913203.625909__1.625909	214856__I3YMC8__ERS852447_02666
ERR1913203.625940__1.625940	214856__R6Z320__ERS852447_02148
ERR1913203.625980__1.625980	301302__A0A0M6WWK6__M72_13961
ERR1913203.626111__1.626111	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913203.626182__1.626182	214856__R6Y2Y4__ERS852447_01086
ERR1913203.626129__1.626129	33025__A0A395JHD9__C8D73_101774
ERR1913203.626138__1.626138	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913203.626212__1.626212	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913203.626307__1.626307	214856__I3YMC8__ERS852447_02666
ERR1913203.626417__1.626417	214856__I3YPI7__pepD_1
ERR1913203.626529__1.626529	39492__A0A175A133__cycB_1
ERR1913203.626586__1.626586	214856__R6Z186__ERS852447_00718
ERR1913203.626786__1.626786	239935__R6JD78__CXU05_09250
ERR1913203.626840__1.626840	1262911__R6H2J2__BN557_01228
ERR1913203.626760__1.626760	1262882__R5N532__BN519_01420
ERR1913203.627168__1.627168	487174__K0WV96__HMPREF9448_01901
ERR1913203.627321__1.627321	1262882__R5MIP9__BN519_01028
ERR1913203.627392__1.627392	1263005__R6F067__BN497_00409
ERR1913203.627413__1.627413	214856__I3YMC8__ERS852447_02666
ERR1913203.627456__1.627456	239935__A0A2N8ITX2__CXT86_11265
ERR1913203.627621__1.627621	487174__K0XRA9__HMPREF9448_00572
ERR1913203.627579__1.627579	239935__R6JD78__CXU05_09250
ERR1913203.627866__1.627866	214856__R6Y0B9__ERS852559_00164
ERR1913203.628058__1.628058	818__A0A3E5GXM2__BJP75_025230
ERR1913203.628168__1.628168	357276__B6W1J2__BACDOR_03380
ERR1913203.628169__1.628169	487174__K0X7X4__DIT83_09125
ERR1913203.628212__1.628212	487174__K0X9T7__HMPREF9448_00996
ERR1913203.628216__1.628216	214856__R6XKW1__ERS852559_01141
ERR1913203.628414__1.628414	39492__D4JVX0__udk
ERR1913203.628490__1.628490	1262882__R5MJJ9__BN519_01035
ERR1913203.628448__1.628448	214856__A0A175A6T5__ERS852447_02658
ERR1913203.628525__1.628525	1262882__R5N4I8__BN519_01293
ERR1913203.628561__1.628561	239935__A0A2N8I5A2__DEF40_08455
ERR1913203.628571__1.628571	214856__R6XP73__ERS852447_00886
ERR1913203.628613__1.628613	328814__GCA_004558275.1_01001
ERR1913203.628622__1.628622	214856__I3YMC8__ERS852447_02666
ERR1913203.628701__1.628701	818__A0A1H7L4U6__BSIG_3287
ERR1913203.628782__1.628782	487174__R5F4K8__HMPREF9448_01532
ERR1913203.628908__1.628908	214856__A0A173YXX1__ERS852559_01651
ERR1913203.629024__1.629024	239935__B2URG6__CXU02_00030
ERR1913203.629039__1.629039	1262882__R5MXW0__BN519_00317
ERR1913203.629136__1.629136	214856__I3YMC8__ERS852447_02666
ERR1913203.629405__1.629405	214856__I3YPP0__ERS852447_01388
ERR1913203.629404__1.629404	214856__R6XYY8__ERS852447_01722
ERR1913203.629432__1.629432	214856__A0A174C683__ERS852559_00523
ERR1913203.629672__1.629672	214856__R6Z288__ERS852447_00734
ERR1913203.629866__1.629866	487174__K0WXG8__DIT83_09300
ERR1913203.630017__1.630017	214856__I3YPQ8__ERS852447_01371
ERR1913203.630028__1.630028	820__A0A174R952__DXB48_02570
ERR1913203.630152__1.630152	214856__A0A174FSW2__ERS852447_02420
ERR1913203.630181__1.630181	47678__R5U9M8__CGC64_07665
ERR1913203.630446__1.630446	214856__R6Y7P0__ERS852447_00307
ERR1913203.630473__1.630473	818__A0A3E5H319__SAMN02910322_03382
ERR1913203.630562__1.630562	487174__K0X0F6__HMPREF9448_01444
ERR1913203.630579__1.630579	552398__F4XHM9__HMPREF0866_03133
ERR1913203.630662__1.630662	1262882__R5MSX6__BN519_01697
ERR1913203.631239__1.631239	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913203.631298__1.631298	239935__A0A2N8HAQ1__DEF40_05290
ERR1913203.631260__1.631260	1262882__R5MKW1__BN519_00390
ERR1913203.631569__1.631569	1262882__R5MIC9__BN519_00834
ERR1913203.631646__1.631646	214856__D4IMT6__Alfi_1830
ERR1913203.631662__1.631662	214856__I3YPR2__Alfi_2720
ERR1913203.632037__1.632037	1501391__GCA_000786575.1_00110
ERR1913203.632145__1.632145	214856__I3YPQ6__Alfi_2714
ERR1913203.632175__1.632175	214856__I3YPP0__ERS852447_01388
ERR1913203.632181__1.632181	214856__A0A174AYS4__ERS852447_01192
ERR1913203.632201__1.632201	649756__L1QAG6__etfB_5
ERR1913203.632281__1.632281	1262911__R6GZX7__BN557_00838
ERR1913203.632298__1.632298	1262882__R5MZZ3__BN519_00482
ERR1913203.632372__1.632372	1262882__R5MQ63__BN519_01173
ERR1913203.632511__1.632511	239935__A0A3F3K9J9__DEF40_00940
ERR1913203.632465__1.632465	214856__A0A174EQR4__rsmA
ERR1913203.632551__1.632551	214856__I3YPQ0__ERS852447_01379
ERR1913203.632603__1.632603	487175__D9Y3G5__HMPREF9439_00147
ERR1913203.632759__1.632759	214856__R6XTZ7__ERS852447_02314
ERR1913203.632852__1.632852	1262882__R5MKV8__BN519_01281
ERR1913203.632878__1.632878	818__A0A1H7L4U6__BSIG_3287
ERR1913203.633218__1.633218	214856__R6YD52__ERS852447_02171
ERR1913203.633280__1.633280	214856__R6XS46__ERS852559_00812
ERR1913203.633306__1.633306	214856__I3YMC8__ERS852447_02666
ERR1913203.633375__1.633375	214856__A0A174EQR4__rsmA
ERR1913203.633683__1.633683	47678__R5UG30__ERS852558_03525
ERR1913203.633731__1.633731	1150298__R7JTY5__ERS852406_02079
ERR1913203.633859__1.633859	1501391__GCA_000786575.1_00054
ERR1913203.633911__1.633911	39492__D4JTJ1__EUBSIR_01453
ERR1913203.633913__1.633913	214856__I3YPP0__ERS852447_01388
ERR1913203.633986__1.633986	214856__A0A174CRY5__ERS852559_01060
ERR1913203.634028__1.634028	39492__D4JTG7__EUBSIR_00572
ERR1913203.634238__1.634238	1262882__R5MZZ3__BN519_00482
ERR1913203.634284__1.634284	1262882__R5MJM8__BN519_01064
ERR1913203.634387__1.634387	1965604__A0A1Y4EXR0__B5F54_01160
ERR1913203.634531__1.634531	328814__GCA_004558275.1_00986
ERR1913203.634548__1.634548	1262882__R5MEK3__BN519_00296
ERR1913203.634678__1.634678	214856__I3YPP0__ERS852447_01388
ERR1913203.634721__1.634721	239935__A0A2N8IMC9__CXU09_02095
ERR1913203.634763__1.634763	214856__A0A173ZR84__ERS852559_00013
ERR1913203.634801__1.634801	1150298__A0A174I056__ERS852535_01387
ERR1913203.634969__1.634969	487174__K0X0F6__HMPREF9448_01444
ERR1913203.635112__1.635112	214856__A0A174ZLW6__ERS852559_01424
ERR1913203.635328__1.635328	39492__D4JU94__ispE
ERR1913203.635352__1.635352	487174__K0X2Y1__lepB
ERR1913203.635519__1.635519	1262882__R5N1N6__BN519_00968
ERR1913203.635560__1.635560	214856__A0A173W3Y5__ERS852559_02032
ERR1913203.635685__1.635685	410072__A0A174BWR4__ERS852389_00309
ERR1913203.635708__1.635708	74426__purC
ERR1913203.635830__1.635830	1501391__GCA_000786575.1_00075
ERR1913203.635950__1.635950	1262882__R5MEK3__BN519_00296
ERR1913203.636031__1.636031	1235835__R9LCU2__C814_02677
ERR1913203.636046__1.636046	1150298__A0A174TDE7__ERS852535_00299
ERR1913203.636182__1.636182	214856__A0A174H6R3__ERS852447_02809
ERR1913203.636293__1.636293	1262882__R5MYP8__BN519_00439
ERR1913203.636340__1.636340	214856__R6XKW1__ERS852559_01141
ERR1913203.636367__1.636367	1262911__R6GY22__BN557_00023
ERR1913203.636667__1.636667	214856__A0A174CRY5__ERS852559_01060
ERR1913203.636780__1.636780	239935__R6J9Y2__CXT85_07000
ERR1913203.636820__1.636820	487174__K0X9T7__HMPREF9448_00996
ERR1913203.636914__1.636914	1262882__R5MH81__BN519_00748
ERR1913203.636932__1.636932	487174__R5F5Z4__DIT83_00635
ERR1913203.637127__1.637127	1262948__R7EG47__BN671_01193
ERR1913203.637128__1.637128	552398__F4XHN6__HMPREF0866_03140
ERR1913203.637256__1.637256	1897011__A0A1Q6RH73__BHW41_01885
ERR1913203.637333__1.637333	239935__A0A2N8I3Z7__CXU05_10555
ERR1913203.637365__1.637365	1501391__GCA_000786575.1_00106
ERR1913203.637377__1.637377	214856__R6XKT4__ERS852559_01719
ERR1913203.637477__1.637477	821__A0A174NSU0__BVU_3144
ERR1913203.637676__1.637676	1262882__R5MIP9__BN519_01028
ERR1913203.637733__1.637733	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.637845__1.637845	487174__K0WXI9__HMPREF9448_02340
ERR1913203.637864__1.637864	214856__I3YMC8__ERS852447_02666
ERR1913203.637817__1.637817	47678__R5UXJ2__DW706_08325
ERR1913203.637978__1.637978	214856__A0A174CRY5__ERS852559_01060
ERR1913203.638219__1.638219	1550024__A0A0D8J0M2__TQ39_06330
ERR1913203.638271__1.638271	1262882__R5MQ68__BN519_01178
ERR1913203.638338__1.638338	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913203.638492__1.638492	39496__A5Z5I2__EUBVEN_00963
ERR1913203.638531__1.638531	214856__R6YD52__ERS852447_02171
ERR1913203.638716__1.638716	214856__I3YPP9__Alfi_2707
ERR1913203.638959__1.638959	818__A0A139JW76__BJP75_002555
ERR1913203.638929__1.638929	328814__GCA_004558275.1_01570
ERR1913203.639063__1.639063	214856__A0A174ZD89__ERS852559_00526
ERR1913203.639360__1.639360	214856__A0A174CRY5__ERS852559_01060
ERR1913203.639431__1.639431	410072__C0BBK3__ERS852389_00541
ERR1913203.639516__1.639516	214856__I3YPP9__Alfi_2707
ERR1913203.639758__1.639758	292800__U2BU47__ERS852544_01880
ERR1913203.639787__1.639787	214856__R6XS46__ERS852559_00812
ERR1913203.639803__1.639803	214856__R6XS46__ERS852559_00812
ERR1913203.639846__1.639846	239935__A0A2N8HQR1__Amuc_0287
ERR1913203.639851__1.639851	214856__R6Z5D0__resA_4
ERR1913203.639919__1.639919	214856__I3YMN6__Alfi_1938
ERR1913203.640278__1.640278	214856__I3YPN9__ERS852447_01389
ERR1913203.640336__1.640336	214856__I3YPQ4__Alfi_2712
ERR1913203.640378__1.640378	214856__R5UN64__ERS852447_02669
ERR1913203.640448__1.640448	487174__K0X7X4__DIT83_09125
ERR1913203.640467__1.640467	214856__R6XKT4__ERS852559_01719
ERR1913203.640627__1.640627	214856__I3YMC8__ERS852447_02666
ERR1913203.640735__1.640735	1262882__R5N4G2__BN519_01273
ERR1913203.641013__1.641013	1150298__A0A174MSM0__toxA_2
ERR1913203.641058__1.641058	214856__A0A174ZED5__ERS852559_00591
ERR1913203.641174__1.641174	214856__I3YPR5__ERS852447_01364
ERR1913203.641144__1.641144	410072__A0A174AIQ9__DXD67_07210
ERR1913203.641190__1.641190	818__A0A3E5HNS1__BSIG_0465
ERR1913203.641239__1.641239	214856__R6XNE7__ERS852447_02267
ERR1913203.641217__1.641217	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.641288__1.641288	1680__A0A1X2ZKM8__B5789_0981
ERR1913203.641390__1.641390	214856__R6Y6H8__ERS852447_01719
ERR1913203.641439__1.641439	1965604__A0A1Y4EN92__B5F54_13235
ERR1913203.641531__1.641531	214856__I3YMN6__Alfi_1938
ERR1913203.641492__1.641492	418240__A0A174NZX7__tagF_1
ERR1913203.641718__1.641718	214856__R6Z288__ERS852447_00734
ERR1913203.641800__1.641800	39492__A0A174ZHV5__msbA_2
ERR1913203.641820__1.641820	214856__R6XYY8__ERS852447_01722
ERR1913203.641883__1.641883	214856__R6YD52__ERS852447_02171
ERR1913203.641918__1.641918	301302__R5UTG6__M72_25801
ERR1913203.641953__1.641953	1262882__R5MF51__BN519_00287
ERR1913203.642099__1.642099	1262882__R5MIW5__BN519_00945
ERR1913203.642160__1.642160	239935__A0A2N8HAQ1__DEF40_05290
ERR1913203.642273__1.642273	214856__R6XTZ7__ERS852447_02314
ERR1913203.642300__1.642300	214856__R6YD52__ERS852447_02171
ERR1913203.642313__1.642313	214856__R6YBX3__msbA_2
ERR1913203.642326__1.642326	47678__R5U8Y1__BACCAC_02615
ERR1913203.642419__1.642419	649756__L1PU84__ERS852571_01295
ERR1913203.642514__1.642514	47678__R5UGX6__CGC64_16275
ERR1913203.642661__1.642661	47678__R5U9Z0__HMPREF1061_03210
ERR1913203.642761__1.642761	487174__K0X694__DIT83_09060
ERR1913203.642836__1.642836	328814__GCA_004558275.1_01570
ERR1913203.642907__1.642907	487174__R5F016__DDY40_05675
ERR1913203.642923__1.642923	214856__A0A173YXX1__ERS852559_01651
ERR1913203.643035__1.643035	1262882__R5N089__BN519_00546
ERR1913203.643104__1.643104	239935__A0A2N8HB50__CXU17_02615
ERR1913203.643182__1.643182	214856__A0A174ZLX0__ERS852559_00738
ERR1913203.643191__1.643191	649756__L1QAJ9__DCR88_07895
ERR1913203.643242__1.643242	328814__GCA_004558275.1_00999
ERR1913203.643513__1.643513	1501391__GCA_000786575.1_00113
ERR1913203.643655__1.643655	818__A0A0P0FBI1__NCTC10582_00163
ERR1913203.643676__1.643676	1262882__R5ML49__BN519_01361
ERR1913203.643798__1.643798	301302__A0A0M6WCT0__M72_03221
ERR1913203.643900__1.643900	487174__K0X665__DIT83_12000
ERR1913203.643935__1.643935	1262882__R5MEN2__BN519_00200
ERR1913203.644075__1.644075	487174__K0XM88__DDY40_02935
ERR1913203.644375__1.644375	1235835__R9LCU2__C814_02677
ERR1913203.644382__1.644382	39492__D4JR20__trmD
ERR1913203.644428__1.644428	626932__G5H617__HMPREF9450_00377
ERR1913203.644486__1.644486	39492__D4JWD3__EUBSIR_00151
ERR1913203.644942__1.644942	1297617__A0A2U1BIX9__C7373_106132
ERR1913203.645291__1.645291	47678__A5ZJ14__ERS852494_02225
ERR1913203.645330__1.645330	1262882__R5N4G2__BN519_01273
ERR1913203.645347__1.645347	1262882__R5MMD8__BN519_01576
ERR1913203.645355__1.645355	1262882__R5MLA4__BN519_01536
ERR1913203.645430__1.645430	47678__R5U878__ERS852494_03300
ERR1913203.645393__1.645393	1262988__R7N1X7__BN816_00910
ERR1913203.645431__1.645431	1262882__R5N3T7__BN519_01188
ERR1913203.645500__1.645500	214856__R6XUN2__rcsC_1
ERR1913203.645533__1.645533	1262882__R5N1Z9__BN519_01020
ERR1913203.645544__1.645544	214856__R6XTZ7__ERS852447_02314
ERR1913203.645632__1.645632	301302__R5UMB9__M72_25011
ERR1913203.645799__1.645799	487174__K0WR72__HMPREF9448_02610
ERR1913203.646182__1.646182	1262882__R5N3H1__BN519_01121
ERR1913203.646273__1.646273	818__A0A0P0EVZ1__SAMN02910322_03499
ERR1913203.646274__1.646274	214856__I3YPI7__pepD_1
ERR1913203.646297__1.646297	1262882__R5MSI5__BN519_01596
ERR1913203.646306__1.646306	28118__F9Z3U6__B5F99_03365
ERR1913203.646428__1.646428	88431__A0A174G8Q6__ERS852526_02711
ERR1913203.646514__1.646514	214856__I3YPP0__ERS852447_01388
ERR1913203.646518__1.646518	301302__A0A173R6H4__M72_21671
ERR1913203.646623__1.646623	39492__D4JT87__clpC
ERR1913203.646887__1.646887	214856__R6Y6H8__ERS852447_01719
ERR1913203.646891__1.646891	214856__I3YPP3__Alfi_2701
ERR1913203.646903__1.646903	1262882__R5MT42__BN519_01729
ERR1913203.646960__1.646960	214856__R6Z590__ERS852447_01059
ERR1913203.647007__1.647007	33025__A0A395JBN6__C8D73_10630
ERR1913203.646969__1.646969	214856__I3YMN6__Alfi_1938
ERR1913203.647050__1.647050	214856__I3YPN0__ERS852447_01398
ERR1913203.647134__1.647134	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.647229__1.647229	1262882__R5MYP2__BN519_00435
ERR1913203.647256__1.647256	301302__R5UM41__M72_15921
ERR1913203.647287__1.647287	1235835__R9LCU2__C814_02677
ERR1913203.647293__1.647293	1262911__R6HI44__BN557_01691
ERR1913203.647364__1.647364	47678__R5UXY0__CGC64_03535
ERR1913203.647373__1.647373	487174__K0WZU9__HMPREF9448_01159
ERR1913203.647453__1.647453	1262911__R6GTZ0__BN557_01437
ERR1913203.647582__1.647582	1501391__GCA_000786575.1_00131
ERR1913203.647735__1.647735	214856__R6Z186__ERS852447_00718
ERR1913203.647788__1.647788	214856__A0A173YXX1__ERS852559_01651
ERR1913203.647803__1.647803	214856__I3YPP3__Alfi_2701
ERR1913203.647878__1.647878	33025__A0A395JBU5__C8D73_10423
ERR1913203.647885__1.647885	1501391__GCA_000786575.1_00006
ERR1913203.648030__1.648030	301301__A0A395V5B0__ERS852391_02078
ERR1913203.648063__1.648063	214856__I3YPN0__ERS852447_01398
ERR1913203.648203__1.648203	301302__A0A0M6X038__M72_18501
ERR1913203.648417__1.648417	1262882__R5MND9__BN519_00831
ERR1913203.648508__1.648508	154046__A0A174G616__DXB08_18835
ERR1913203.648538__1.648538	214856__R6Z7Q9__ERS852447_02172
ERR1913203.648674__1.648674	301302__R5UUM8__ganB_1
ERR1913203.648930__1.648930	214856__I3YPN0__ERS852447_01398
ERR1913203.649222__1.649222	1262911__R6H0U7__BN557_01104
ERR1913203.649302__1.649302	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913203.649499__1.649499	487174__R5F5Z4__DIT83_00635
ERR1913203.649581__1.649581	818__A0A0P0F004__SAMN02910322_02925
ERR1913203.649622__1.649622	1262882__R5N5H2__BN519_01493
ERR1913203.649651__1.649651	1501391__GCA_000786575.1_00129
ERR1913203.649758__1.649758	214856__I3YMB7__Alfi_1811
ERR1913203.649802__1.649802	1897011__A0A1Q6RIA6__BHW41_01370
ERR1913203.649805__1.649805	47678__R5UUQ0__C5Z00_15605
ERR1913203.649909__1.649909	239935__A0A2N8IIB9__CXU04_01970
ERR1913203.649942__1.649942	1262882__R5MXW0__BN519_00317
ERR1913203.650029__1.650029	487174__K0XA48__DDY40_03955
ERR1913203.650175__1.650175	821__A0A3E4KIM1__M097_3660
ERR1913203.650209__1.650209	291645__I8WZT8__HMPREF1068_04327
ERR1913203.650250__1.650250	214856__R6Z186__ERS852447_00718
ERR1913203.650290__1.650290	39492__D4JQS6__ykoD
ERR1913203.650367__1.650367	1262882__R5MKL9__BN519_00353
ERR1913203.650628__1.650628	214856__I3YMC8__ERS852447_02666
ERR1913203.650689__1.650689	214856__R6Z288__ERS852447_00734
ERR1913203.650770__1.650770	410072__C0B9A6__yvhJ
ERR1913203.650974__1.650974	1262911__R6GTZ4__BN557_01440
ERR1913203.651296__1.651296	214856__R6Z288__ERS852447_00734
ERR1913203.651366__1.651366	1262882__R5MFT7__BN519_00494
ERR1913203.651400__1.651400	39492__R6RYB8__ERS852540_00322
ERR1913203.651435__1.651435	39492__D4JTF2__mutS2
ERR1913203.651417__1.651417	1897011__A0A1Q6RBV8__BHW41_06760
ERR1913203.651424__1.651424	1262882__R5N4F5__BN519_01266
ERR1913203.651426__1.651426	39496__A5Z5I2__EUBVEN_00963
ERR1913203.651512__1.651512	818__C6IIW4__dapH_1
ERR1913203.651564__1.651564	1262911__R6H0U7__BN557_01104
ERR1913203.651620__1.651620	301302__A0A173RZU9__M72_23561
ERR1913203.651663__1.651663	239935__A0A2N8IMC3__CXT96_03840
ERR1913203.651675__1.651675	1262882__R5N532__BN519_01420
ERR1913203.651702__1.651702	214856__I3YPP9__Alfi_2707
ERR1913203.651772__1.651772	214856__R6Y1K2__ERS852447_02306
ERR1913203.651842__1.651842	39492__D4JTJ1__EUBSIR_01453
ERR1913203.651880__1.651880	214856__I3YMN6__Alfi_1938
ERR1913203.651906__1.651906	1501391__GCA_000786575.1_00056
ERR1913203.652027__1.652027	1262882__R5MMD8__BN519_01576
ERR1913203.652211__1.652211	214856__I3YPN9__ERS852447_01389
ERR1913203.652322__1.652322	1262882__R5MPJ1__BN519_01023
ERR1913203.652741__1.652741	1262882__R5MM10__BN519_01679
ERR1913203.652760__1.652760	214856__R6XRA1__vatD_3
ERR1913203.652786__1.652786	1262882__R5MQ68__BN519_01178
ERR1913203.652884__1.652884	328813__A0A1Y3QZ64__B5G41_14235
ERR1913203.653008__1.653008	39492__D4MMN2__EUBSIR_00964
ERR1913203.653177__1.653177	1263005__R6EPX4__BN497_00009
ERR1913203.653428__1.653428	47678__A5ZL09__BACCAC_03608
ERR1913203.653490__1.653490	487174__K0WX28__HMPREF9448_02178
ERR1913203.653593__1.653593	301302__R5VF67__M72_01841
ERR1913203.653656__1.653656	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913203.653747__1.653747	239935__A0A2N8IJI1__B5G29_04615
ERR1913203.653911__1.653911	47678__R5U7P3__DXB67_08985
ERR1913203.654082__1.654082	487174__K0X4V9__DDY40_12220
ERR1913203.654276__1.654276	214856__I3YMB7__Alfi_1811
ERR1913203.654441__1.654441	1262882__R5MYI1__BN519_00416
ERR1913203.654531__1.654531	1501391__GCA_000786575.1_00129
ERR1913203.654540__1.654540	214856__I3YMB7__Alfi_1811
ERR1913203.654708__1.654708	1897011__A0A1Q6RH58__BHW41_01950
ERR1913203.654943__1.654943	239935__A0A2N8HUU6__CXT90_06150
ERR1913203.655038__1.655038	214856__A0A173YXX1__ERS852559_01651
ERR1913203.655055__1.655055	1262882__R5MEW7__BN519_00010
ERR1913203.655310__1.655310	239935__A0A2N8HEH9__CXU07_11710
ERR1913203.655289__1.655289	649756__D4N1B6__HMPREF0369_02032
ERR1913203.655396__1.655396	487174__K0XG81__HMPREF9448_02274
ERR1913203.655403__1.655403	214856__R6Y6H8__ERS852447_01719
ERR1913203.655787__1.655787	214856__I3YPP9__Alfi_2707
ERR1913203.655887__1.655887	1262882__R5N0M6__BN519_00794
ERR1913203.655858__1.655858	239935__A0A2N8I1R3__CXU05_06075
