ERR1913220.32__1.32	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913220.390601__1.390601	1681__A0A3E4TVE9__HMPREF3196_01855
ERR1913220.390756__1.390756	853__A0A2A7B1Y7__C7K05_11930
ERR1913220.390911__1.390911	239935__A0A2N8I8X8__B5G29_00185
ERR1913220.390968__1.390968	1262911__R6GMZ7__BN557_01741
ERR1913220.391216__1.391216	239935__A0A2N8HAQ1__DEF40_05290
ERR1913220.391259__1.391259	562__P0AEK1__CR916_15790
ERR1913220.391348__1.391348	706562__GCA_900112995.1_00569
ERR1913220.391358__1.391358	1624__A0A089QDW1__CR249_02860
ERR1913220.391427__1.391427	1160721__R6TBX7__BHW50_00205
ERR1913220.391548__1.391548	1596__A0A133PGJ9__HMPREF3210_00322
ERR1913220.391649__1.391649	301302__A0A173T8V6__ERS852420_01966
ERR1913220.391843__1.391843	1262882__R5N1Z9__BN519_01020
ERR1913220.391865__1.391865	1262911__R6GI18__BN557_01377
ERR1913220.391936__1.391936	1550024__G9RXY7__TQ39_00100
ERR1913220.392063__1.392063	357276__I9QWD4__DXD47_15075
ERR1913220.392206__1.392206	357276__A0A076J0Y3__IY41_06810
ERR1913220.392251__1.392251	301301__G2SXZ6__RHOM_11570
ERR1913220.392287__1.392287	1680__A0A1X3A951__AL0462_1583
ERR1913220.392389__1.392389	1263006__R6LND6__BN515_01578
ERR1913220.392491__1.392491	1304__A0A1V0H6X5__CQA85_03155
ERR1913220.392688__1.392688	227945__C2ENL9__HMPREF0548_1265
ERR1913220.392702__1.392702	745368__A0A1T4YBU5__SAMN02745178_02911
ERR1913220.392736__1.392736	1263006__R6LMV4__BN515_01401
ERR1913220.392808__1.392808	40520__A0A174I8K5__ERS852394_02169
ERR1913220.392908__1.392908	1262911__R6H1A6__BN557_01286
ERR1913220.392914__1.392914	1624__A0A1V9SK95__A8C44_02370
ERR1913220.393098__1.393098	1343__E8KXH9__HMPREF9192_0530
ERR1913220.393154__1.393154	820__A7UYX8__DXD40_11635
ERR1913220.393218__1.393218	216816__A0A374SVM3__BLSL_0492
ERR1913220.393313__1.393313	1358__Q9CGG8__CRM88_04010
ERR1913220.393335__1.393335	39492__D4JU49__ERS852540_00175
ERR1913220.393346__1.393346	239935__A0A139TPD4__CXT86_06450
ERR1913220.393491__1.393491	1624__A0A385XNU7__DBP87_01330
ERR1913220.393535__1.393535	853__A0A174CVG7__CGS58_09335
ERR1913220.393616__1.393616	820__A7VAR9__ERS852421_00197
ERR1913220.393755__1.393755	239935__A0A2N8IRW0__A4V05_11620
ERR1913220.393932__1.393932	471189__GCA_003340385.1_00017
ERR1913220.393981__1.393981	40518__R5DLM5__RB5AMG_00422
ERR1913220.394053__1.394053	1550024__A0A3B9WIA4__TQ39_14495
ERR1913220.394144__1.394144	1099853__R7DKP8__NSB1T_07205
ERR1913220.394108__1.394108	61171__B9Y6I7__HOLDEFILI_01427
ERR1913220.394203__1.394203	357276__A0A076INK2__BSEG_04225
ERR1913220.394295__1.394295	1680__A0A076JNH5__DXC60_03835
ERR1913220.394387__1.394387	1898651__GCA_002933875.1_03299
ERR1913220.394431__1.394431	823__A0A078TL61__ERS852429_00610
ERR1913220.394525__1.394525	418240__A0A174EIE7__pknG
ERR1913220.394510__1.394510	1262882__R5MYX5__BN519_00333
ERR1913220.394616__1.394616	357276__B6W1Y1__BSEG_03960
ERR1913220.394675__1.394675	1263000__R5EHI3__BN466_01684
ERR1913220.394913__1.394913	1263006__R6LYW4__BN515_01529
ERR1913220.394943__1.394943	1624__A0A1D7TTZ9__CR249_09295
ERR1913220.395396__1.395396	1628085__A0A374VPP0__C7386_11442
ERR1913220.395381__1.395381	820__R9I3Q7__HMPREF1072_01668
ERR1913220.395630__1.395630	1680__A0A174BEE7__BSTER_1311
ERR1913220.395641__1.395641	1432052__A0A1E3UK83__BEI61_05652
ERR1913220.395726__1.395726	820__A0A174EV88__HMPREF1072_01427
ERR1913220.395790__1.395790	301301__A0A395V7P2__ERS852391_05080
ERR1913220.395791__1.395791	820__A0A173W419__DXC68_17760
ERR1913220.395857__1.395857	357276__I9FGI3__EL88_12385
ERR1913220.395820__1.395820	40518__R5DY98__mepA_5
ERR1913220.395902__1.395902	165179__A0A3E5A832__DXC61_13685
ERR1913220.395892__1.395892	1681__A0A292FUY6__DD684_00535
ERR1913220.396099__1.396099	1262911__R6GPI7__BN557_00907
ERR1913220.396123__1.396123	1680__A0A173XYA2__B0703_0121
ERR1913220.396181__1.396181	820__A0A3E4RTP0__C801_01067
ERR1913220.396194__1.396194	1262882__R5MFY4__BN519_00529
ERR1913220.396330__1.396330	322505__group_69
ERR1913220.396474__1.396474	301302__A0A0M6WIX9__ERS852420_01972
ERR1913220.396579__1.396579	78535__I0SBK5__NCTC1080_01960
ERR1913220.396639__1.396639	1263006__R6LZM6__BN515_01762
ERR1913220.396704__1.396704	301301__A0A395VFD3__ERS852391_02492
ERR1913220.396735__1.396735	239935__A0A2N8ILG3__CXT93_10135
ERR1913220.396781__1.396781	820__A0A3E4RTP0__C801_01067
ERR1913220.396908__1.396908	1302__A8AZC7__TZ86_01287
ERR1913220.397052__1.397052	151539__GeneID:920468
ERR1913220.397067__1.397067	1681__A0A2U0BVK5__B0156_0307
ERR1913220.397323__1.397323	39488__A0A173UD79__EHLA_0346
ERR1913220.397314__1.397314	1262882__R5N5S3__BN519_00085
ERR1913220.397355__1.397355	357276__A0A076IS26__EL88_15950
ERR1913220.397511__1.397511	1681__A0A0H3E8L0__DXD31_03505
ERR1913220.397721__1.397721	357276__I8VLL2__HMPREF1065_03395
ERR1913220.397823__1.397823	239935__A0A2N8J2P6__ADH72_06730
ERR1913220.397814__1.397814	820__A0A3E4W980__M093_3873
ERR1913220.397950__1.397950	820__A0A173W419__DXC68_17760
ERR1913220.398085__1.398085	1624__A0A385XKF5__CYR84_01970
ERR1913220.398083__1.398083	1263006__R6LZM6__BN515_01762
ERR1913220.398168__1.398168	820__R9HUV5__HMPREF2141_02582
ERR1913220.398254__1.398254	329854__R7E733__DXD57_00120
ERR1913220.398235__1.398235	239935__A0A2N8IUU3__CXU18_08060
ERR1913220.398288__1.398288	820__A0A139K4T0__ERS852510_03146
ERR1913220.398496__1.398496	357276__A0A0M1W9N4__GV66_05135
ERR1913220.398655__1.398655	39492__D4JTG7__EUBSIR_00572
ERR1913220.398890__1.398890	820__A0A139KIL9__DXC68_05945
ERR1913220.398957__1.398957	820__A7VAR9__ERS852421_00197
ERR1913220.399076__1.399076	2108523__A0A2P2F214__LAWASA_27
ERR1913220.399194__1.399194	1160721__W0U2P8__RBI_I00340
ERR1913220.399276__1.399276	1309__A0A2J9QDQ9__SMU63_08002
ERR1913220.399443__1.399443	649756__A0A173S591__CL2_28060
ERR1913220.399468__1.399468	1262911__R6H1M1__BN557_00925
ERR1913220.399585__1.399585	2173__A0A1D2WS10__METSMIALI_00345
ERR1913220.399664__1.399664	158787__A0A087DDI5__BBSC_0210
ERR1913220.399772__1.399772	1681__A0A0H2PGZ6__DXD34_05075
ERR1913220.399830__1.399830	2173__P22350__Msm_0089
ERR1913220.399895__1.399895	100886__E2NSF9__rpoB
ERR1913220.400202__1.400202	820__A0A3E4VXP2__yesR
ERR1913220.400176__1.400176	1550024__A0A3B9WIB6__TQ39_08435
ERR1913220.400360__1.400360	301301__A0A395V8M7__ERS852391_00967
ERR1913220.400365__1.400365	823__A0A174LDE8__M096_3277
ERR1913220.400461__1.400461	301302__A0A173S3L8__vpr
ERR1913220.400462__1.400462	1263107__GCA_000436995.1_00147
ERR1913220.400534__1.400534	1613__A0A158SMP1__BUW47_04870
ERR1913220.400599__1.400599	1624__A0A385XN53__A8C52_07995
ERR1913220.400699__1.400699	820__A7VAR9__ERS852421_00197
ERR1913220.401227__1.401227	74426__gap
ERR1913220.401272__1.401272	1318__I1ZJB7__HMPREF8577_1638
ERR1913220.401332__1.401332	820__A0A1Q6IDS8__chtA
ERR1913220.401437__1.401437	301301__A0A395V944__ERS852391_00514
ERR1913220.401528__1.401528	357276__D1JY58__BACDOR_04277
ERR1913220.401545__1.401545	301301__A0A174HIB3__ERS852391_02730
ERR1913220.401615__1.401615	820__A0A139K4W5__HMPREF2141_02394
ERR1913220.401745__1.401745	1206110__GeneID:14499006
ERR1913220.401796__1.401796	40518__R5E5I9__yvhJ_2
ERR1913220.402168__1.402168	357276__G5SMD3__BSEG_02959
ERR1913220.402209__1.402209	818__R6VB25__BSIG_5053
ERR1913220.402268__1.402268	301302__A0A173UN64__manA_2
ERR1913220.402278__1.402278	357276__A0A076IYE6__IY41_04275
ERR1913220.402343__1.402343	239935__A0A2N8I6R6__CXU04_04335
ERR1913220.402348__1.402348	39492__D4JRM4__tap_5
ERR1913220.402538__1.402538	357276__I9QBT7__BSEG_03340
ERR1913220.402642__1.402642	820__A0A174DZ97__SAMN05444418_101240
ERR1913220.402650__1.402650	1550024__G9RP69__ASJ35_11625
ERR1913220.402766__1.402766	39488__A0A173SSM6__EUBHAL_01799
ERR1913220.402999__1.402999	1632__C8PA60__FC49_GL000433
ERR1913220.403157__1.403157	239935__A0A2N8IG27__CXT85_07805
ERR1913220.403162__1.403162	1262911__R6GZX7__BN557_00838
ERR1913220.403264__1.403264	1550024__G9RPS1__TQ39_05000
ERR1913220.403438__1.403438	1160721__R6U7V4__BHW50_02190
ERR1913220.403497__1.403497	1550024__A0A0D8IY61__ASJ35_05690
ERR1913220.403591__1.403591	1262911__R6H1J5__BN557_00905
ERR1913220.403685__1.403685	1680__A0A1X3AAI9__BADO_1163
ERR1913220.403794__1.403794	820__A0A3E4G3J9__ERS852459_02265
ERR1913220.403957__1.403957	820__A0A173YYG4__evgS_3
ERR1913220.404065__1.404065	1263006__R6LT73__BN515_01094
ERR1913220.404235__1.404235	1263006__R6LN84__BN515_01543
ERR1913220.404262__1.404262	239935__R7DVL7__CXT93_01180
ERR1913220.404396__1.404396	239935__A0A3F3K985__CXT98_05805
ERR1913220.404515__1.404515	1263006__R6LSL5__BN515_00102
ERR1913220.404522__1.404522	823__A6LEF1__CF162_12695
ERR1913220.404568__1.404568	820__A0A3E4W7J3__DXC07_00330
ERR1913220.405009__1.405009	820__A0A174FUF0__HMPREF1073_03308
ERR1913220.405094__1.405094	1584__F0HUI0__LBUL87_1424
ERR1913220.405118__1.405118	2173__A5ULD0__BK798_05990
ERR1913220.405186__1.405186	1262882__R5MEN9__BN519_00201
ERR1913220.405222__1.405222	214856__E4MF20__Alfi_0697
ERR1913220.405238__1.405238	1262911__R6GZX7__BN557_00838
ERR1913220.405310__1.405310	239935__A0A3F3K985__CXT98_05805
ERR1913220.405500__1.405500	357276__B6W5Q7__DXD47_13945
ERR1913220.405505__1.405505	1262882__R5MEN9__BN519_00201
ERR1913220.405626__1.405626	1263000__R5EFY3__BN466_01416
ERR1913220.405582__1.405582	227942__A0A0R1VCE6__FC60_GL001445
ERR1913220.405715__1.405715	2107999__A0A1V3Y5V9__lysR
ERR1913220.405701__1.405701	820__A0A3E4GA19__SAMN05444418_10562
ERR1913220.405748__1.405748	820__E5VEH7__ERS852459_01300
ERR1913220.405774__1.405774	820__A7V8C2__ERS852554_01338
ERR1913220.405960__1.405960	820__A0A3E4WA06__ERS852554_03404
ERR1913220.406139__1.406139	1263064__GCA_000431175.1_00163
ERR1913220.406252__1.406252	301301__A0A395VA63__sbcC
ERR1913220.406840__1.406840	820__A0A3E4VZY4__ERS852554_01211
ERR1913220.406941__1.406941	853__C7H1R8__DW905_06675
ERR1913220.407420__1.407420	239935__A0A2N8HEH9__CXU07_11710
ERR1913220.407373__1.407373	1099853__G9S871__NSB1T_02700
ERR1913220.407443__1.407443	1262911__R6GSH8__BN557_00939
ERR1913220.407495__1.407495	1624__A0A385XNP0__A8C54_05230
ERR1913220.407510__1.407510	820__I9TWZ7__DXC80_10550
ERR1913220.407549__1.407549	239935__A0A2N8HT44__CXT84_11035
ERR1913220.407604__1.407604	151538__GeneID:920451
ERR1913220.407689__1.407689	1262882__R5MPY4__BN519_01128
ERR1913220.407738__1.407738	1613__A0A158SK07__FM122_06160
ERR1913220.407783__1.407783	820__A0A3E4VZY4__ERS852554_01211
ERR1913220.407899__1.407899	39492__D4JWM0__atpF
ERR1913220.408173__1.408173	1262992__R5DC38__BN795_00276
ERR1913220.408350__1.408350	820__A0A396EWL3__ERS417307_03868
ERR1913220.408492__1.408492	239935__A0A2N8HAQ1__DEF40_05290
ERR1913220.408585__1.408585	1550024__A0A0D8J179__ASJ35_09245
ERR1913220.408576__1.408576	820__A0A374Q854__HMPREF1073_03281
ERR1913220.408896__1.408896	1262911__R6HN72__BN557_00911
ERR1913220.409220__1.409220	2173__A0A1D2WRI1__BK798_01230
ERR1913220.409510__1.409510	820__A0A139KHX1__HMPREF2141_00289
ERR1913220.409563__1.409563	1681__A0A133KLW6__IF1010_1677
ERR1913220.409543__1.409543	78258__E6K1Y1__HMPREF0620_1454
ERR1913220.409661__1.409661	1681__A0A292G7V3__BBIF_1776
ERR1913220.409734__1.409734	820__A0A3E4WA06__ERS852554_03404
ERR1913220.409809__1.409809	1262911__R6GSH0__BN557_00934
ERR1913220.409875__1.409875	671232__A0A0E9EZH4__HMPREF1126_1412
ERR1913220.409990__1.409990	39485__R6AKA4__rssA
ERR1913220.410026__1.410026	1680__A0A087DHN0__AL0462_1532
ERR1913220.410073__1.410073	1263000__R5EU91__BN466_01432
ERR1913220.410181__1.410181	1680__A1A0V3__C8077_03025
ERR1913220.410502__1.410502	239935__A0A2N8INK7__Amuc_0521
ERR1913220.410651__1.410651	39492__D4JR58__EUBSIR_02090
ERR1913220.410591__1.410591	301302__A0A0M6X0D2__cpsB_2
ERR1913220.410788__1.410788	1432052__A0A1E3AJ45__BEI64_02265
ERR1913220.410791__1.410791	239935__A0A2N8IMD6__CXU03_05585
ERR1913220.410906__1.410906	1263006__R6LX07__BN515_00935
ERR1913220.410907__1.410907	820__A7V049__DXB48_04755
ERR1913220.411307__1.411307	47770__A0A0R1VKF0__AYP92_07470
ERR1913220.411505__1.411505	357276__A0A076IYG1__B5F95_22465
ERR1913220.411586__1.411586	626940__R6X0Z1__DCQ00_01035
ERR1913220.411748__1.411748	820__A0A3E5E9Y8__DXD90_09110
ERR1913220.411934__1.411934	301301__A0A395VA18__RHOM_11700
ERR1913220.411938__1.411938	357276__I9FGI3__EL88_12385
ERR1913220.411976__1.411976	820__A0A139K4T0__ERS852510_03146
ERR1913220.412299__1.412299	301301__A0A395V8G6__RHOM_11005
ERR1913220.412308__1.412308	820__A0A174CG08__DXB62_13215
ERR1913220.412372__1.412372	820__A0A174M9V5__M093_0237
ERR1913220.412482__1.412482	1680__R5GRA4__ERS852382_01548
ERR1913220.412491__1.412491	820__A0A3E4PYB0__yejM
ERR1913220.412501__1.412501	745368__A0A1T4X6K8__SAMN02745178_01452
ERR1913220.412624__1.412624	1262700__R5XBD0__BN695_00459
ERR1913220.412568__1.412568	1263006__R6LPZ5__BN515_02090
ERR1913220.412578__1.412578	563769__GeneID:6973158
ERR1913220.412641__1.412641	1550024__G9RZG0__ASJ35_05540
ERR1913220.412774__1.412774	301302__R5UKP4__cbiT
ERR1913220.412794__1.412794	1263107__GCA_000436995.1_00194
ERR1913220.412821__1.412821	1624__A0A385XQT6__B6U46_02745
ERR1913220.412913__1.412913	820__A0A173W419__DXC68_17760
ERR1913220.412931__1.412931	1262882__R5N1M9__BN519_00768
ERR1913220.413105__1.413105	1655__J3ABE6__BKH10_09395
ERR1913220.413185__1.413185	100886__E2NVF2__CATMIT_02583
ERR1913220.413190__1.413190	139871__GeneID:5839464
ERR1913220.413165__1.413165	39488__A0A374NJ86__mltG
ERR1913220.413203__1.413203	1358__S6F2C8__LLUC06_0219
ERR1913220.413237__1.413237	1358__D2BPI5__P620_03855
ERR1913220.413392__1.413392	39496__A5Z5I2__EUBVEN_00963
ERR1913220.413481__1.413481	1263000__R5EKR4__BN466_01609
ERR1913220.413589__1.413589	820__R9HXK9__DXB62_08265
ERR1913220.413599__1.413599	357276__A0A076J726__IY41_15030
ERR1913220.413924__1.413924	820__A0A3E4VZY4__ERS852554_01211
ERR1913220.413897__1.413897	394340__group_866
ERR1913220.413933__1.413933	418240__A0A174FWP2__ERS852478_02093
ERR1913220.414073__1.414073	1550024__A0A3B9WI04__ASJ35_06105
ERR1913220.414157__1.414157	216816__U2TWA1__DD678_00805
ERR1913220.414625__1.414625	1624__Q1WRR9__A8C45_02380
ERR1913220.414759__1.414759	301302__R5UL57__ERS852420_00622
ERR1913220.414764__1.414764	821__A0A173XDD3__DXB82_17180
ERR1913220.414982__1.414982	1358__A2RIW1__LKF67_2443
ERR1913220.415005__1.415005	357276__A0A076IIL0__EL88_03065
ERR1913220.415276__1.415276	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913220.415419__1.415419	40518__R5DUU0__DXD93_03985
ERR1913220.415586__1.415586	301302__R5UQK8__M72_11501
ERR1913220.415682__1.415682	216816__C2GUV2__APC1478_0430
ERR1913220.415863__1.415863	28118__R6F0X5__NCTC10826_02952
ERR1913220.415986__1.415986	69974__A0A090FEL8__MPL3365_630008
ERR1913220.416040__1.416040	820__A0A3E4WA06__ERS852554_03404
ERR1913220.416216__1.416216	820__R9I2U8__DXC68_09590
ERR1913220.416264__1.416264	239935__R6JCH3__CXT95_08205
ERR1913220.416298__1.416298	820__A0A3E4WA06__ERS852554_03404
ERR1913220.416501__1.416501	239935__A0A2N8HW65__CXU09_08515
ERR1913220.416651__1.416651	1680__A0A2R4G1K8__BBMN23_0315
ERR1913220.416661__1.416661	823__A0A073I5R7__cloSI
ERR1913220.416765__1.416765	1550024__G9RWR2__TQ39_04385
ERR1913220.416771__1.416771	1262911__R6H1K1__BN557_00910
ERR1913220.416780__1.416780	820__A0A139KEW8__DXB64_06405
ERR1913220.416685__1.416685	100886__E2NU20__ERS852383_03793
ERR1913220.416791__1.416791	1304__A0A0Y1VYX0__DL08_03795
ERR1913220.416961__1.416961	1624__H7G0J2__B6U52_05715
ERR1913220.416990__1.416990	40520__A5ZQP7__ERS852394_02794
ERR1913220.417369__1.417369	43685__GeneID:955507
ERR1913220.417600__1.417600	28118__F9Z3J9__B5F93_07500
ERR1913220.417703__1.417703	1263107__GCA_000436995.1_00213
ERR1913220.417744__1.417744	239935__R6JAS2__CXU02_10725
ERR1913220.418139__1.418139	1263006__R6LPZ5__BN515_02090
ERR1913220.418297__1.418297	649756__E5VJS7__mecR1_3
ERR1913220.418502__1.418502	820__A0A174QLF0__SAMN05444418_109151
ERR1913220.418602__1.418602	1624__F7QSZ9__B6U50_07640
ERR1913220.418743__1.418743	820__A0A139K5A6__DXB48_12175
ERR1913220.418809__1.418809	820__A0A173WZS4__DXD90_10250
ERR1913220.418811__1.418811	820__A0A174A6K0__M093_0079
ERR1913220.419001__1.419001	74426__sigA
ERR1913220.418960__1.418960	1550024__G9RUM6__TQ39_16565
ERR1913220.419263__1.419263	301301__G2T455__RHOM_11960
ERR1913220.419279__1.419279	39488__A0A374N3K6__EHLA_0222
ERR1913220.419327__1.419327	1680__A0A3E4SB79__BAD_1517
ERR1913220.419362__1.419362	1262882__R5N678__BN519_01604
ERR1913220.419402__1.419402	1624__A0A2A2X5T3__B6U54_04045
ERR1913220.419456__1.419456	820__A0A173YYG4__evgS_3
ERR1913220.419771__1.419771	1262882__R5MMZ6__BN519_00737
ERR1913220.419843__1.419843	820__A0A3E4WCX3__C801_02709
ERR1913220.419856__1.419856	1262911__R6GPM2__BN557_00937
ERR1913220.419954__1.419954	820__A0A174GYA8__DXB64_07370
ERR1913220.420150__1.420150	1263107__GCA_000436995.1_00132
ERR1913220.420158__1.420158	239935__A0A2N8HT44__CXT84_11035
ERR1913220.420358__1.420358	853__A0A2A7A4A9__C4N21_14870
ERR1913220.420458__1.420458	820__A0A174Q0F0__DXB48_08080
ERR1913220.420639__1.420639	1600__A0A3D5T4W0__FC77_GL001488
ERR1913220.420659__1.420659	1263000__R5EMU9__BN466_00667
ERR1913220.420698__1.420698	1262911__R6GI18__BN557_01377
ERR1913220.420784__1.420784	116085__D4J740__DW747_11625
ERR1913220.420982__1.420982	301302__A0A173S3L8__vpr
ERR1913220.421228__1.421228	1680__A0A087DHN0__AL0462_1532
ERR1913220.421256__1.421256	357276__A0A174L570__GV66_05720
ERR1913220.421373__1.421373	1099853__U5CKR3__NSB1T_08705
ERR1913220.421657__1.421657	1263006__R6LMV4__BN515_01401
ERR1913220.421733__1.421733	1262911__R6H174__BN557_01246
ERR1913220.421667__1.421667	1099853__U5CE08__NSB1T_14190
ERR1913220.422139__1.422139	1309__A0A0E2EQ17__SMU98_00375
ERR1913220.422322__1.422322	28116__A0A1Y4Q3M4__NCTC11153_02254
ERR1913220.422481__1.422481	1550024__A0A3B9WIB6__TQ39_08435
ERR1913220.422552__1.422552	78258__E6K0E9__PSDT_0442
ERR1913220.422553__1.422553	1550024__A0A0W7TNX6__ASJ35_13710
ERR1913220.422854__1.422854	1680__A0A173XYA2__B0703_0121
ERR1913220.422853__1.422853	1624__F7QVE1__B6U64_05115
ERR1913220.422918__1.422918	1624__A0A385XMV1__A8C39_06675
ERR1913220.423180__1.423180	1262911__R6GPM2__BN557_00937
ERR1913220.423219__1.423219	1262882__R5N1N6__BN519_00968
ERR1913220.423287__1.423287	1262882__R5MGX3__BN519_00046
ERR1913220.423396__1.423396	820__A0A139JY23__B5G17_06330
ERR1913220.423362__1.423362	1262882__R5MEW7__BN519_00010
ERR1913220.423449__1.423449	1624__A0A385XKT2__A8C55_09245
ERR1913220.423636__1.423636	1624__A0A2A2X0Z9__B6U57_01585
ERR1913220.423648__1.423648	1263006__R6LN22__BN515_01469
ERR1913220.424083__1.424083	116085__D4J3V8__DW747_12340
ERR1913220.424102__1.424102	820__A0A3E4VXP2__yesR
ERR1913220.424175__1.424175	1263006__R6LM98__BN515_00610
ERR1913220.424313__1.424313	820__A0A174CG08__DXB62_13215
ERR1913220.424482__1.424482	2107999__A0A366KHW0__LJCM5344_06880
ERR1913220.424528__1.424528	301301__A0A395V7N0__ERS852391_02330
ERR1913220.424469__1.424469	2107999__A0A366KFV8__LJCM5344_05340
ERR1913220.424471__1.424471	239935__A0A2N8HPS5__Amuc_0950
ERR1913220.424718__1.424718	39491__D6DXZ8__DXB72_15035
ERR1913220.425005__1.425005	1263006__R6LGI4__BN515_00844
ERR1913220.425258__1.425258	651609__E6KTR0__srtB
ERR1913220.425296__1.425296	158787__A0A087DJW3__BSCA_1108
ERR1913220.425500__1.425500	1262911__R6HN81__BN557_00921
ERR1913220.425821__1.425821	1262911__R6HGD7__BN557_00108
ERR1913220.425788__1.425788	1304__D0EMA3__CKU37_11015
ERR1913220.426286__1.426286	820__A0A174Q0F0__DXB48_08080
ERR1913220.426240__1.426240	1624__A0A385XNP0__A8C54_05230
ERR1913220.426194__1.426194	239935__A0A2N8ILG3__CXT93_10135
ERR1913220.426325__1.426325	544580__A0A1Q8X0S3__BKH29_08365
ERR1913220.426378__1.426378	1263000__R5EKG2__BN466_02040
ERR1913220.426460__1.426460	820__A0A173YYG4__evgS_3
ERR1913220.426464__1.426464	40518__R5DYU1__DXD86_01160
ERR1913220.426540__1.426540	563769__GeneID:6973141
ERR1913220.426581__1.426581	1150298__A0A174MDL5__ERS852406_00648
ERR1913220.426680__1.426680	1628085__A0A1C6CGB4__C7386_11411
ERR1913220.426649__1.426649	40518__R5DVR2__RBL236_00303
ERR1913220.426687__1.426687	239935__A0A2N8I3G2__CXT89_00720
ERR1913220.426787__1.426787	40518__R5DZ88__DXD93_06320
ERR1913220.426851__1.426851	239935__A0A2N8IHY1__CXU06_00035
ERR1913220.426852__1.426852	40518__R5DR96__RBATCC27255_01185
ERR1913220.426966__1.426966	239935__A0A2N8IMD6__CXU03_05585
ERR1913220.427013__1.427013	1550024__A0A3B9WG56__TQ39_01145
ERR1913220.427115__1.427115	1624__A0A1Y3BWE2__B6U44_03895
ERR1913220.427250__1.427250	69974__A0A090FEL8__MPL3365_630008
ERR1913220.427585__1.427585	33043__A0A173WWJ5__ERS852386_00339
ERR1913220.427864__1.427864	1550024__A0A0W7TQU7__TQ39_10940
ERR1913220.427941__1.427941	78258__E6K095__A200_02116
ERR1913220.427956__1.427956	1263006__R6LT05__BN515_01030
ERR1913220.427963__1.427963	1262882__R5N2A9__BN519_00921
ERR1913220.428128__1.428128	357276__D1K3K9__EL88_23995
ERR1913220.428118__1.428118	820__A0A3E4XM43__DXC91_13960
ERR1913220.428285__1.428285	1262882__R5MFK5__BN519_00378
ERR1913220.428347__1.428347	1099853__U5CL59__NSB1T_06140
ERR1913220.428379__1.428379	69974__A0A090FEL8__MPL3365_630008
ERR1913220.428380__1.428380	1550024__A0A0D8J0L2__ASJ35_04680
ERR1913220.428327__1.428327	1262911__R6GSH8__BN557_00939
ERR1913220.428602__1.428602	820__A0A173YYG4__evgS_3
ERR1913220.428692__1.428692	84030__D4CFQ6__B5F06_11280
ERR1913220.428650__1.428650	301302__A0A0M6W9I4__M72_19871
ERR1913220.428794__1.428794	239935__A0A2N8ILG3__CXT93_10135
ERR1913220.428871__1.428871	357276__B6W5Q9__HMPREF1063_03125
ERR1913220.429049__1.429049	357276__I9QBT7__BSEG_03340
ERR1913220.429008__1.429008	239935__A0A2N8HT44__CXT84_11035
ERR1913220.429126__1.429126	40518__R5DYP7__envC
ERR1913220.429335__1.429335	239935__A0A139TPU7__CXT91_06575
ERR1913220.429383__1.429383	1262882__R5MEW7__BN519_00010
ERR1913220.429483__1.429483	293939__A0A0S7DXK2__ALT_7486
ERR1913220.429455__1.429455	1262882__R5MJM8__BN519_01064
ERR1913220.429550__1.429550	28118__F9Z751__DHW44_02965
ERR1913220.429621__1.429621	1965538__A0A1Y4W145__B5E43_13055
ERR1913220.429690__1.429690	239935__A0A2N8I375__menA
ERR1913220.429944__1.429944	1262911__R6GLH3__BN557_00339
ERR1913220.429962__1.429962	301301__A0A395V8K9__RHOM_00130
ERR1913220.430053__1.430053	239935__A0A2N8I9P4__CXT85_05050
ERR1913220.430090__1.430090	239935__A0A2N8I9P4__CXT85_05050
ERR1913220.430271__1.430271	821__A0A173XDD3__DXB82_17180
ERR1913220.430274__1.430274	1680__A0A174BEE7__BSTER_1311
ERR1913220.430752__1.430752	1262882__R5MLP0__BN519_01597
ERR1913220.430878__1.430878	820__A7V8C2__ERS852554_01338
ERR1913220.430882__1.430882	820__R9I3N4__M093_0061
ERR1913220.431006__1.431006	357276__A0A0M1W9N4__GV66_05135
ERR1913220.431179__1.431179	820__A0A174KKV6__DXC07_02635
ERR1913220.431173__1.431173	40520__R7D6G3__DXB81_16300
ERR1913220.431321__1.431321	239935__A0A139TPD4__CXT86_06450
ERR1913220.431329__1.431329	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913220.431398__1.431398	1263006__R6LM98__BN515_00610
ERR1913220.431423__1.431423	1624__A0A385XN53__A8C52_07995
ERR1913220.431597__1.431597	1596__D1YKH9__CK796_06320
ERR1913220.431737__1.431737	1262911__R6GT76__BN557_01150
ERR1913220.431859__1.431859	1263006__R6LK25__BN515_01963
ERR1913220.431916__1.431916	820__A0A173W419__DXC68_17760
ERR1913220.432208__1.432208	1262882__R5MIC9__BN519_00834
ERR1913220.432334__1.432334	239935__A0A2N8IG27__CXT85_07805
ERR1913220.432374__1.432374	357276__I8W1E1__B5F00_10785
ERR1913220.433033__1.433033	2173__A0A1D2WST6__METSMIALI_00213
ERR1913220.433191__1.433191	1263006__R6LYR2__BN515_01475
ERR1913220.433491__1.433491	649756__L1Q8U4__ERS852571_01677
ERR1913220.433559__1.433559	1262911__R6GMH5__BN557_00511
ERR1913220.433656__1.433656	1550024__G9RW08__ASJ35_03155
