ERR1913201.51__1.51	39488__A0A174DGL6__EUBHAL_03262
ERR1913201.1170307__1.1170307	820__A0A374Q351__DXD40_05850
ERR1913201.1170326__1.1170326	216816__B7GPH6__DXC74_08225
ERR1913201.1170464__1.1170464	357276__A0A076IS26__EL88_15950
ERR1913201.1170516__1.1170516	166486__D4KX18__ROSINTL182_07596
ERR1913201.1170479__1.1170479	216816__C2GSX7__DD678_03555
ERR1913201.1170494__1.1170494	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913201.1170590__1.1170590	46503__B7B776__DXB85_00355
ERR1913201.1170735__1.1170735	33039__A0A174ZIS2__RTO_10090
ERR1913201.1170749__1.1170749	39496__A5ZAI0__EUBVEN_02727
ERR1913201.1170937__1.1170937	821__A0A173WG51__BVU_2549
ERR1913201.1170949__1.1170949	357276__I8VLL2__HMPREF1065_03395
ERR1913201.1171063__1.1171063	1263107__GCA_000436995.1_00031
ERR1913201.1171064__1.1171064	28118__R6FX99__Odosp_1660
ERR1913201.1171293__1.1171293	1628085__A0A1C6AZZ4__C7386_101481
ERR1913201.1171424__1.1171424	46503__K5ZW30__HMPREF1060_00319
ERR1913201.1171407__1.1171407	357276__A6L053__ABI39_04450
ERR1913201.1171458__1.1171458	820__A0A396EXA7__DXB37_15530
ERR1913201.1171602__1.1171602	28026__C0BR32__DXC48_06585
ERR1913201.1171617__1.1171617	820__A7V470__HMPREF1072_02076
ERR1913201.1171621__1.1171621	301302__A0A0M6WH46__M72_23101
ERR1913201.1171637__1.1171637	47678__R5U6B9__BACCAC_01372
ERR1913201.1171688__1.1171688	821__A0A395UNT8__DXD64_15275
ERR1913201.1171715__1.1171715	46503__R6WPS1__lepB
ERR1913201.1171907__1.1171907	820__A0A139K8N1__ERS852554_00951
ERR1913201.1171927__1.1171927	47678__A5ZI88__BACCAC_02617
ERR1913201.1172021__1.1172021	821__A6L0C7__ERS852556_03520
ERR1913201.1172235__1.1172235	820__A0A374MMF0__HMPREF1073_03811
ERR1913201.1172291__1.1172291	387090__S0F4T3__BACCOPRO_00681
ERR1913201.1172304__1.1172304	820__A0A139KHD8__ERS417307_00569
ERR1913201.1172398__1.1172398	33039__D4M149__ERS852390_03118
ERR1913201.1172374__1.1172374	821__C6ZAA5__ERS852556_00403
ERR1913201.1172378__1.1172378	166486__D4KPQ7__ROSINTL182_09065
ERR1913201.1172429__1.1172429	39491__A0A395UYA6__EUBREC_0408
ERR1913201.1172461__1.1172461	39486__R6SMK6__DXD82_09730
ERR1913201.1172463__1.1172463	387090__S0F4T3__BACCOPRO_00681
ERR1913201.1172465__1.1172465	821__A0A0N7J7X2__SAMN04487923_101621
ERR1913201.1172478__1.1172478	39486__R6SMK6__DXD82_09730
ERR1913201.1172486__1.1172486	301302__A0A173T010__M72_26571
ERR1913201.1172509__1.1172509	820__A0A139KHD8__ERS417307_00569
ERR1913201.1172540__1.1172540	166486__D4L2C5__ERS852572_01688
ERR1913201.1172583__1.1172583	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913201.1172675__1.1172675	39488__A0A174KVU1__EUBHAL_00302
ERR1913201.1172691__1.1172691	821__R9HFW2__DXD01_00365
ERR1913201.1172738__1.1172738	823__A0A395YSW8__CF162_05645
ERR1913201.1172782__1.1172782	821__A0A397WGD6__M098_0084
ERR1913201.1172827__1.1172827	853__A0A3E2U7E6__ERS852582_01640
ERR1913201.1172845__1.1172845	166486__D4KZY5__ROSINTL182_07635
ERR1913201.1172864__1.1172864	820__A0A3E4W9D9__B5G17_12400
ERR1913201.1172906__1.1172906	410072__A0A174BMP0__DXD67_03635
ERR1913201.1173037__1.1173037	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913201.1173010__1.1173010	166486__D4KWZ7__cph2_5
ERR1913201.1173013__1.1173013	246787__R6KDR9__BcellWH2_02360
ERR1913201.1173367__1.1173367	1965646__A0A1Y3W5K4__B5G10_12280
ERR1913201.1173406__1.1173406	218538__C9LNQ3__GCWU000321_01176
ERR1913201.1173467__1.1173467	821__A0A0P0M2J4__DXD46_10295
ERR1913201.1173411__1.1173411	28026__A0A087B7I7__DXA79_02175
ERR1913201.1173578__1.1173578	166486__R6AY46__ROSINTL182_06128
ERR1913201.1173614__1.1173614	33039__A0A174YIE5__soxS_4
ERR1913201.1173672__1.1173672	301302__R5UKE6__M72_05651
ERR1913201.1173808__1.1173808	357276__I8WEZ6__BACDOR_02323
ERR1913201.1173814__1.1173814	1628085__A0A3E2Y053__C7386_101394
ERR1913201.1173879__1.1173879	166486__D4KPQ7__ROSINTL182_09065
ERR1913201.1173919__1.1173919	1680__A0A0C2VBJ4__birA
ERR1913201.1173921__1.1173921	821__A0A174WBC9__ERS852556_03145
ERR1913201.1173989__1.1173989	821__E5UPR6__SAMN04487923_101768
ERR1913201.1173970__1.1173970	820__A0A174P0L5__glcK_3
ERR1913201.1173976__1.1173976	166486__D4KMI6__ERS852572_01515
ERR1913201.1174018__1.1174018	1628085__A0A2U1AXC9__C7386_1282
ERR1913201.1174070__1.1174070	387661__A7AHF8__PRABACTJOHN_00803
ERR1913201.1174148__1.1174148	1628085__A0A2U1BCH3__C7386_10746
ERR1913201.1174158__1.1174158	33039__D4M398__ERS852530_00575
ERR1913201.1174172__1.1174172	821__E5UY21__C800_02204
ERR1913201.1174202__1.1174202	418240__C6JDJ1__ERS852478_02876
ERR1913201.1174311__1.1174311	166486__D4KX18__ROSINTL182_07596
ERR1913201.1174323__1.1174323	823__A0A355XLT7__HMPREF1075_03402
ERR1913201.1174341__1.1174341	166486__C7GCP5__ROSINTL182_07683
ERR1913201.1174345__1.1174345	301302__A0A0M6WZT5__M72_18331
ERR1913201.1174279__1.1174279	166486__D4L458__ROSINTL182_07088
ERR1913201.1174381__1.1174381	165179__A0A174SA26__PREVCOP_05758
ERR1913201.1174393__1.1174393	820__R9I3Q7__HMPREF1072_01668
ERR1913201.1174396__1.1174396	357276__B6W1Y5__IY41_11405
ERR1913201.1174480__1.1174480	357276__I9QWD4__DXD47_15075
ERR1913201.1174526__1.1174526	823__D0T9Q9__M095_2648
ERR1913201.1174580__1.1174580	387090__S0F421__BACCOPRO_00166
ERR1913201.1174622__1.1174622	1628085__A0A374VRE5__C7386_10353
ERR1913201.1174701__1.1174701	1262743__R5C054__BN727_01980
ERR1913201.1174802__1.1174802	410072__C0BBT6__DXD67_02315
ERR1913201.1174862__1.1174862	410072__A0A173WM89__DXD67_03705
ERR1913201.1174890__1.1174890	39488__A0A174CJ01__DXD91_03830
ERR1913201.1174924__1.1174924	39491__D6DXZ8__DXB72_15035
ERR1913201.1174991__1.1174991	1235835__R9LCU2__C814_02677
ERR1913201.1174964__1.1174964	853__A0A2A7B9I6__DW855_13690
ERR1913201.1175035__1.1175035	216816__A0A395XZB7__DXD37_04075
ERR1913201.1175096__1.1175096	820__A0A174R952__DXB48_02570
ERR1913201.1175166__1.1175166	1262948__R7EA06__BN671_01316
ERR1913201.1175237__1.1175237	821__A0A396F598__CUU_3259
ERR1913201.1175254__1.1175254	216816__A0A396FVC5__BL71B_00290
ERR1913201.1175382__1.1175382	39491__R6TNE2__LD38_07270
ERR1913201.1175407__1.1175407	216816__A0A2U0BT35__BL1206_1860
ERR1913201.1175452__1.1175452	384639__GCA_003096855.1_00996
ERR1913201.1175483__1.1175483	39486__R6SMK6__DXD82_09730
ERR1913201.1175574__1.1175574	216816__B7GN29__BL72_08765
ERR1913201.1175657__1.1175657	821__A0A174ALF2__BvMPK_3016
ERR1913201.1175735__1.1175735	823__A0A395YRX4__ERS852513_03444
ERR1913201.1175761__1.1175761	216816__A0A1S2VTC3__BLIC_e00847
ERR1913201.1176115__1.1176115	216816__C5EC66__tcrA
ERR1913201.1176216__1.1176216	821__A6L0C7__ERS852556_03520
ERR1913201.1176323__1.1176323	823__A0A355XH29__lolE_1
ERR1913201.1176359__1.1176359	47678__R5U3A7__ERS852494_02965
ERR1913201.1176400__1.1176400	357276__A0A076ISJ4__B5F95_19420
ERR1913201.1176465__1.1176465	562__P23837__phoQ
ERR1913201.1176549__1.1176549	1680__A0A374QDL4__LMG18897_0432
ERR1913201.1176590__1.1176590	28116__A0A1Y4P7B7__M088_2098
ERR1913201.1176650__1.1176650	820__A0A173WUD7__DXB48_08055
ERR1913201.1176626__1.1176626	39488__A0A174JWI1__sipT_2
ERR1913201.1176764__1.1176764	357276__I9QBT7__BSEG_03340
ERR1913201.1176838__1.1176838	301302__R5V631__ERS852420_03369
ERR1913201.1176806__1.1176806	1897011__A0A1Q6REZ1__BHW41_04525
ERR1913201.1176815__1.1176815	821__A0A174T998__DXB82_10860
ERR1913201.1176871__1.1176871	745368__A0A1T4Y2M2__SAMN02745178_02631
ERR1913201.1176885__1.1176885	820__R9HP61__DXC91_01090
ERR1913201.1176970__1.1176970	1628085__A0A374VP93__C7386_10150
ERR1913201.1177067__1.1177067	301302__R5V5V1__M72_08471
ERR1913201.1177084__1.1177084	39488__A0A285PP42__cobQ
ERR1913201.1177146__1.1177146	821__A0A396F598__CUU_3259
ERR1913201.1177203__1.1177203	357276__A0A076IN30__DXD47_09350
ERR1913201.1177389__1.1177389	818__A0A3E5HZF3__HMPREF2534_03697
ERR1913201.1177600__1.1177600	454155__F3QYB1__HMPREF9442_03204
ERR1913201.1177611__1.1177611	821__A0A396EVC9__DXB90_03525
ERR1913201.1177613__1.1177613	47678__R5UG96__C5Z00_12630
ERR1913201.1177733__1.1177733	28116__A0A1G6G9R4__CUY_0131
ERR1913201.1177805__1.1177805	357276__C3RDQ5__HMPREF1065_03827
ERR1913201.1177821__1.1177821	301302__R5VFU2__xynA1
ERR1913201.1178104__1.1178104	28116__A0A1Y4PHM7__DXA80_25130
ERR1913201.1178196__1.1178196	357276__B6W1Y1__BSEG_03960
ERR1913201.1178220__1.1178220	46503__R6Y8M7__ERS852463_01228
ERR1913201.1178290__1.1178290	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913201.1178369__1.1178369	166486__D4KZY5__ROSINTL182_07635
ERR1913201.1178461__1.1178461	820__A0A3E4FZM1__adaA_2
ERR1913201.1178483__1.1178483	214856__A0A173YE57__ERS852559_00126
ERR1913201.1178641__1.1178641	39491__A0A174LTW7__DXD13_08720
ERR1913201.1178705__1.1178705	418240__C6J892__ERS852478_02502
ERR1913201.1178924__1.1178924	39491__A0A396FP46__cobD_2
ERR1913201.1178953__1.1178953	552398__F4XCR9__HMPREF0866_01636
ERR1913201.1178999__1.1178999	387090__S0F541__BACCOPRO_00727
ERR1913201.1179012__1.1179012	823__A0A355XFH7__ERS852513_00769
ERR1913201.1179024__1.1179024	1735__B7CCQ4__EUBIFOR_01982
ERR1913201.1179165__1.1179165	301302__A0A173R6H4__M72_21671
ERR1913201.1179238__1.1179238	39491__A0A174LTW7__DXD13_08720
ERR1913201.1179368__1.1179368	745368__A0A1T4WPJ1__SAMN02745178_00919
ERR1913201.1179519__1.1179519	821__A0A173XDD3__DXB82_17180
ERR1913201.1179534__1.1179534	357276__A0A1Y4PPG2__B5F95_02305
ERR1913201.1179659__1.1179659	360807__C0FVK8__ERS852392_00397
ERR1913201.1179779__1.1179779	387090__S0F470__BACCOPRO_00167
ERR1913201.1179786__1.1179786	820__A0A139KH21__DXC80_01780
ERR1913201.1179795__1.1179795	39492__D4JQS6__ykoD
ERR1913201.1179996__1.1179996	818__A0A139K9H8__C5Z03_23905
ERR1913201.1180020__1.1180020	823__A0A395YS82__M091_1569
ERR1913201.1180124__1.1180124	166486__D4KW38__ERS852572_02341
ERR1913201.1180400__1.1180400	820__A0A374MXK3__HMPREF1072_00166
ERR1913201.1180477__1.1180477	310298__B3JMA0__BACCOP_03051
ERR1913201.1180499__1.1180499	166486__D4L2T9__lytM
ERR1913201.1180553__1.1180553	357276__D1JZM4__HMPREF1065_01278
ERR1913201.1180554__1.1180554	1304__F8LL13__SSALIVM18_08411
ERR1913201.1180605__1.1180605	39491__D6E118__DXB69_05765
ERR1913201.1181094__1.1181094	823__A6LBY1__ERS852380_00510
ERR1913201.1181163__1.1181163	338188__A0A174ETX3__ERS852397_01955
ERR1913201.1181260__1.1181260	820__A0A174EV88__HMPREF1072_01427
ERR1913201.1181271__1.1181271	1262927__R7EX56__BN677_00089
ERR1913201.1181277__1.1181277	487174__K0X6A4__HMPREF9448_00105
ERR1913201.1181405__1.1181405	544645__A0A3E4T484__DXC42_11405
ERR1913201.1181541__1.1181541	387661__B7B704__B5F96_16210
ERR1913201.1181599__1.1181599	820__A0A173WUD7__DXB48_08055
ERR1913201.1181749__1.1181749	823__A6LEF3__ERS852560_01356
ERR1913201.1181754__1.1181754	216816__A0A1V8QFN0__HMPREF1315_0061
ERR1913201.1181755__1.1181755	1628085__A0A3E2Y1H5__C7386_101314
ERR1913201.1181845__1.1181845	74426__rpoC
ERR1913201.1181877__1.1181877	820__A0A3E4W984__pssA
ERR1913201.1182012__1.1182012	1680__A1A0V3__C8077_03025
ERR1913201.1182070__1.1182070	357276__A0A174L570__GV66_05720
ERR1913201.1182143__1.1182143	357276__B6W1Y1__BSEG_03960
ERR1913201.1182175__1.1182175	46503__R6WWH2__DXB85_00365
ERR1913201.1182395__1.1182395	47678__A5ZEA3__ERS852558_00257
ERR1913201.1182473__1.1182473	821__A6L0C7__ERS852556_03520
ERR1913201.1182485__1.1182485	487174__K0WRR5__DDY40_06130
ERR1913201.1182524__1.1182524	821__A0A0P0M5Z6__BVU_0429
ERR1913201.1182593__1.1182593	46503__R6X0L4__DXB61_05325
ERR1913201.1182612__1.1182612	820__A7UYX8__DXD40_11635
ERR1913201.1182663__1.1182663	821__A0A396F1N0__M099_1553
ERR1913201.1182759__1.1182759	821__A0A0P0M2J4__DXD46_10295
ERR1913201.1182714__1.1182714	47678__R5U325__HMPREF1061_03209
ERR1913201.1182722__1.1182722	820__A0A374Q8T2__DXB64_16190
ERR1913201.1182747__1.1182747	301302__A0A0M6WJW1__ERS852420_02245
ERR1913201.1182881__1.1182881	39491__A0A173TM76__DXB72_10535
ERR1913201.1182917__1.1182917	556259__I0PYM3__BSGG_5385
ERR1913201.1182990__1.1182990	1262911__R6H1D2__BN557_00855
ERR1913201.1183084__1.1183084	745368__A0A1T4XKD6__SAMN02745178_01942
ERR1913201.1183127__1.1183127	301302__A0A173UN64__manA_2
ERR1913201.1183135__1.1183135	39491__A0A395V0X2__EUBREC_3007
ERR1913201.1183181__1.1183181	301302__R5UM41__M72_15921
ERR1913201.1183192__1.1183192	387090__S0FAH6__BACCOPRO_02588
ERR1913201.1183299__1.1183299	357276__A0A0K2HDP3__IY41_00705
ERR1913201.1183331__1.1183331	165179__A0A229I4J4__proA
ERR1913201.1183350__1.1183350	556259__E5C6L5__BSGG_0298
ERR1913201.1183362__1.1183362	853__A0A173T6P2__DWZ46_14595
ERR1913201.1183533__1.1183533	166486__C7G849__ERS852572_00697
ERR1913201.1183713__1.1183713	821__A0A396F1N0__M099_1553
ERR1913201.1183715__1.1183715	216816__E8MFM6__DXC54_08560
ERR1913201.1183916__1.1183916	649756__A0A174J035__DO83_03925
ERR1913201.1184003__1.1184003	28116__R6K4N7__ERS852555_03750
ERR1913201.1184065__1.1184065	823__A6LHU5__M092_0203
ERR1913201.1184125__1.1184125	39491__D4JMW8__ERS852497_01971
ERR1913201.1184158__1.1184158	166486__A0A173VSP1__ERS852572_03465
ERR1913201.1184302__1.1184302	1262743__R5C054__BN727_01980
ERR1913201.1184375__1.1184375	820__A0A374Q854__HMPREF1073_03281
ERR1913201.1184528__1.1184528	387090__S0F9K2__BACCOPRO_02271
ERR1913201.1184575__1.1184575	1263107__GCA_000436995.1_00193
ERR1913201.1184710__1.1184710	360807__C0FSM3__ROSEINA2194_01739
ERR1913201.1184718__1.1184718	166486__D4KPQ7__ROSINTL182_09065
ERR1913201.1184744__1.1184744	166486__A0A173RAP7__ROSINTL182_07969
ERR1913201.1184806__1.1184806	1965646__A0A1Y3WAF3__B5G10_10515
ERR1913201.1184796__1.1184796	47678__R5UUQ0__C5Z00_15605
ERR1913201.1184852__1.1184852	39492__D4JQP0__ypeB
ERR1913201.1184859__1.1184859	820__A0A139KEW8__DXB64_06405
ERR1913201.1184904__1.1184904	39491__A0A395V1Y4__DXB99_08035
ERR1913201.1184966__1.1184966	823__A0A355XKQ8__DHP27_04010
ERR1913201.1184927__1.1184927	39491__A0A396FUZ3__phoR_1
ERR1913201.1184932__1.1184932	46503__A7AII9__ERS852463_00984
ERR1913201.1185010__1.1185010	853__A0A3E2U7E6__ERS852582_01640
ERR1913201.1185027__1.1185027	47678__R5U7P3__DXB67_08985
ERR1913201.1185272__1.1185272	820__I9TWZ7__DXC80_10550
ERR1913201.1185273__1.1185273	357276__B6VVS0__HMPREF1064_03951
ERR1913201.1185394__1.1185394	46228__V8BL81__DXD17_11825
ERR1913201.1185452__1.1185452	106588__A6NUL8__BACCAP_01900
ERR1913201.1185570__1.1185570	357276__B6W1Y1__BSEG_03960
ERR1913201.1185584__1.1185584	820__A7V049__DXB48_04755
ERR1913201.1185605__1.1185605	820__A0A3E4WCC2__lptB_1
ERR1913201.1185622__1.1185622	39496__A5Z774__EUBVEN_01557
ERR1913201.1185624__1.1185624	818__Q8A3I3__HMPREF2534_00068
ERR1913201.1185728__1.1185728	1150298__A0A174TF64__ERS852406_00108
ERR1913201.1185755__1.1185755	28052__R7NCE0__ERS852499_00449
ERR1913201.1185778__1.1185778	39486__B0G768__DXD10_08260
ERR1913201.1185854__1.1185854	39486__B0G7S3__HMPREF9457_01465
ERR1913201.1185894__1.1185894	1680__R5GRA4__ERS852382_01548
ERR1913201.1186041__1.1186041	1262743__R5C054__BN727_01980
ERR1913201.1186266__1.1186266	216816__D6ZSV1__CE169_00930
ERR1913201.1186332__1.1186332	1150298__A0A174SLE6__mlc_1
ERR1913201.1186363__1.1186363	387090__S0FA01__BACCOPRO_02772
ERR1913201.1186464__1.1186464	357276__I9RAC4__BSEG_00561
ERR1913201.1186482__1.1186482	820__A0A139JRS5__HMPREF1073_04025
ERR1913201.1186511__1.1186511	47678__R5USS6__C5Z00_03300
ERR1913201.1186533__1.1186533	357276__B6VVS0__HMPREF1064_03951
ERR1913201.1186699__1.1186699	821__A0A395UNT8__DXD64_15275
ERR1913201.1186721__1.1186721	821__D4VD59__BHV80_04260
ERR1913201.1186732__1.1186732	821__I9R3W6__DXC16_12455
ERR1913201.1186737__1.1186737	387090__S0F668__BACCOPRO_01215
ERR1913201.1186773__1.1186773	1628085__A0A2U1BHS7__C7386_101494
ERR1913201.1186790__1.1186790	47678__A5ZI88__BACCAC_02617
ERR1913201.1186956__1.1186956	410072__A0A174DIZ5__ERS852574_01258
ERR1913201.1187009__1.1187009	821__A0A3E4HP25__SAMN04487923_102450
ERR1913201.1187143__1.1187143	1150298__A0A174BR70__ERS852535_01666
ERR1913201.1187173__1.1187173	33905__A0A0C2Z570__CQR47_0419
ERR1913201.1187310__1.1187310	821__A0A173WG51__BVU_2549
ERR1913201.1187394__1.1187394	1735__B7CCE4__EUBIFOR_01871
ERR1913201.1187425__1.1187425	820__A0A174TRB5__DXD40_11305
ERR1913201.1187466__1.1187466	821__D4VD59__BHV80_04260
ERR1913201.1187543__1.1187543	310298__B3JQJ5__BACCOP_04231
ERR1913201.1187586__1.1187586	410072__A0A173Y8R3__rng
ERR1913201.1187843__1.1187843	1735__B7C9Y8__EUBIFOR_00992
ERR1913201.1187848__1.1187848	216816__A0A396FVC5__BL71B_00290
ERR1913201.1187869__1.1187869	1150298__A0A174DTK6__ERS852498_00510
ERR1913201.1188034__1.1188034	821__A0A174NM17__lacZ_6
ERR1913201.1188107__1.1188107	820__A7V049__DXB48_04755
ERR1913201.1188115__1.1188115	821__A0A396F9T7__M097_3427
ERR1913201.1188164__1.1188164	853__A0A173YYY4__DWZ04_09420
ERR1913201.1188245__1.1188245	39496__A5Z7W6__EUBVEN_01806
ERR1913201.1188344__1.1188344	33039__D4M4L0__ERS852577_02891
ERR1913201.1188393__1.1188393	40520__R7DBX4__fnt
ERR1913201.1188395__1.1188395	1263000__R5EXT3__BN466_02213
ERR1913201.1188417__1.1188417	821__A0A396F598__CUU_3259
ERR1913201.1188423__1.1188423	818__A0A1H7S810__BJP75_003270
ERR1913201.1188470__1.1188470	360807__A0A173UCM1__RIL183_07511
ERR1913201.1188475__1.1188475	1628085__A0A2U1B8P6__C7386_11432
ERR1913201.1188486__1.1188486	216816__C2GSX7__DD678_03555
ERR1913201.1188557__1.1188557	46503__R6X8R7__PARMER_00141
ERR1913201.1188611__1.1188611	39491__A0A396FMT0__EUBREC_3020
ERR1913201.1188634__1.1188634	147206__GCF_000156215.1_01777
ERR1913201.1188636__1.1188636	216816__D6D9A3__BLNIAS_01911
ERR1913201.1188684__1.1188684	1628085__A0A3E2XZ03__C7386_10869
ERR1913201.1188720__1.1188720	821__A0A174AYT0__DXC02_03530
ERR1913201.1188784__1.1188784	818__D7I7V5__BJP75_001030
ERR1913201.1188873__1.1188873	166486__D4KV38__ROSINTL182_06841
ERR1913201.1188888__1.1188888	39486__A0A3E4M8R7__mobB
ERR1913201.1188971__1.1188971	357276__A0A076INK2__BSEG_04225
ERR1913201.1189030__1.1189030	47678__R5U978__ERS852558_01076
ERR1913201.1189071__1.1189071	46503__R6WX12__DXB85_11560
ERR1913201.1189075__1.1189075	821__A6L0C7__ERS852556_03520
ERR1913201.1189126__1.1189126	820__A7V9F9__B5G17_14640
ERR1913201.1189140__1.1189140	853__A0A2A7A628__CGS57_13755
ERR1913201.1189154__1.1189154	216816__A0A395XZB7__DXD37_04075
ERR1913201.1189172__1.1189172	357276__D1K3K9__EL88_23995
ERR1913201.1189176__1.1189176	33039__D4M0U3__ERS852577_02211
ERR1913201.1189188__1.1189188	853__A0A173YYY4__DWZ04_09420
ERR1913201.1189241__1.1189241	301302__A0A173TNM6__luxQ
ERR1913201.1189346__1.1189346	357276__A0A0K2HJA6__DXD47_07320
ERR1913201.1189465__1.1189465	33039__A0A174ZC42__ppaC
ERR1913201.1189539__1.1189539	1628085__A0A2U1BDS5__C7386_1046
ERR1913201.1189571__1.1189571	823__D0TDY6__DHP27_09090
ERR1913201.1189638__1.1189638	1680__R5GKP2__DXD60_06200
ERR1913201.1189643__1.1189643	820__A0A3E4XM43__DXC91_13960
ERR1913201.1189685__1.1189685	1735__B7CEC3__EUBIFOR_02567
ERR1913201.1189868__1.1189868	166486__C7GFB3__ERS852572_03826
ERR1913201.1189910__1.1189910	357276__B6VVS0__HMPREF1064_03951
ERR1913201.1189923__1.1189923	853__A0A173T6P2__DWZ46_14595
ERR1913201.1189979__1.1189979	301302__A0A0M6WZT5__M72_18331
ERR1913201.1190141__1.1190141	84030__R5M407__B5F06_02915
ERR1913201.1190273__1.1190273	821__A0A174TD86__C800_00949
ERR1913201.1190292__1.1190292	166486__D4L273__ERS852572_01638
ERR1913201.1190466__1.1190466	74426__nifJ
ERR1913201.1190650__1.1190650	166486__D4KJ71__ERS852572_03479
ERR1913201.1190875__1.1190875	387090__S0FAH0__BACCOPRO_02960
ERR1913201.1191004__1.1191004	821__A0A3E4XY72__NCTC10583_01067
ERR1913201.1191194__1.1191194	410072__C0B9G1__ERS852525_01203
ERR1913201.1191204__1.1191204	371601__D7K8P3__SAMN05216250_10395
ERR1913201.1191323__1.1191323	821__A0A3E4KIM1__M097_3660
ERR1913201.1191333__1.1191333	357276__A0A076J726__IY41_15030
ERR1913201.1191341__1.1191341	301302__R5UUM8__ganB_1
ERR1913201.1191431__1.1191431	1680__A0A374QDL4__LMG18897_0432
ERR1913201.1191574__1.1191574	301301__A0A395VA18__RHOM_11700
ERR1913201.1191645__1.1191645	166486__D4L458__ROSINTL182_07088
ERR1913201.1191792__1.1191792	823__A0A355XKQ8__DHP27_04010
ERR1913201.1191878__1.1191878	820__A0A3E4VZT7__DXB48_16145
ERR1913201.1191880__1.1191880	820__E5VA63__DXC80_01025
ERR1913201.1191935__1.1191935	147206__GCF_000156215.1_00198
ERR1913201.1191949__1.1191949	166486__D4KY48__gmr_5
ERR1913201.1191965__1.1191965	821__A0A3E4WAR6__DXD64_10735
ERR1913201.1192063__1.1192063	47678__R5UXY0__CGC64_03535
ERR1913201.1192145__1.1192145	47678__R5U8S9__DW706_06260
ERR1913201.1192150__1.1192150	301302__R5UPH9__M72_00521
ERR1913201.1192244__1.1192244	818__A0A174Q773__SAMN02910322_03683
ERR1913201.1192316__1.1192316	387090__S0F3Z2__BACCOPRO_00057
ERR1913201.1192351__1.1192351	853__C7H1R8__DW905_06675
ERR1913201.1192354__1.1192354	166486__D4L1P3__ERS852572_00760
ERR1913201.1192421__1.1192421	1680__A0A1X3AAI9__BADO_1163
ERR1913201.1192517__1.1192517	216816__U2TWA1__DD678_00805
ERR1913201.1192549__1.1192549	1680__A0A173XYA2__B0703_0121
ERR1913201.1192603__1.1192603	216816__C2GSX7__DD678_03555
ERR1913201.1192744__1.1192744	301302__A0A0M6WCT0__M72_03221
ERR1913201.1192748__1.1192748	47678__R5USR9__HMPREF1061_01404
ERR1913201.1192833__1.1192833	357276__A0A076IXE0__HMPREF1064_04364
ERR1913201.1192893__1.1192893	39486__B0G9E4__tilS
ERR1913201.1193063__1.1193063	46503__R6Y9P8__evgS_3
ERR1913201.1193117__1.1193117	823__D0TDY6__DHP27_09090
ERR1913201.1193142__1.1193142	216816__A0A1D7MV89__EK5BL_04715
ERR1913201.1193259__1.1193259	357276__A0A076IYG1__B5F95_22465
ERR1913201.1193410__1.1193410	820__A0A374Q1D8__SAMN05444418_112114
ERR1913201.1193427__1.1193427	28116__A0A3D2LPA1__CUY_3388
ERR1913201.1193481__1.1193481	821__A0A396F1N0__M099_1553
ERR1913201.1193457__1.1193457	47678__A5ZHJ2__DXB67_12405
ERR1913201.1193572__1.1193572	1628085__A0A2U1B3X8__C7386_12120
ERR1913201.1193661__1.1193661	47678__R5UA23__C5Z00_15610
ERR1913201.1193721__1.1193721	418240__R7CKF9__ERS852478_03305
ERR1913201.1193807__1.1193807	47678__R5USZ3__DXB67_12245
ERR1913201.1193825__1.1193825	820__A0A174F0C1__nreB
ERR1913201.1193858__1.1193858	820__A0A374Q854__HMPREF1073_03281
ERR1913201.1193870__1.1193870	47678__R5UAI1__BACCAC_01922
ERR1913201.1193959__1.1193959	820__A0A078S569__gmhB
ERR1913201.1194156__1.1194156	823__E1YSG0__DHP27_00465
ERR1913201.1194213__1.1194213	487174__R5FJH0__DDY40_07055
ERR1913201.1194334__1.1194334	371601__D0TLK9__BN890_11250
ERR1913201.1194440__1.1194440	357276__A0A076IS26__EL88_15950
ERR1913201.1194446__1.1194446	46503__K5ZV67__PARMER_03859
ERR1913201.1194471__1.1194471	820__A0A3E4RU03__M093_0563
ERR1913201.1194489__1.1194489	47678__A5ZL09__BACCAC_03608
ERR1913201.1194516__1.1194516	387090__S0FDL7__BACCOPRO_03555
ERR1913201.1194553__1.1194553	46503__R6X0L4__DXB61_05325
ERR1913201.1194607__1.1194607	823__A0A395YVY3__ERS852513_03204
ERR1913201.1194657__1.1194657	821__A0A3E4WAR6__DXD64_10735
ERR1913201.1194706__1.1194706	39491__A0A174LTW7__DXD13_08720
ERR1913201.1194723__1.1194723	166486__R6AZI2__ydaF
ERR1913201.1194735__1.1194735	820__A0A139KH21__DXC80_01780
ERR1913201.1194784__1.1194784	39491__A0A174K1W6__DXB99_15020
ERR1913201.1194821__1.1194821	33039__A0A174ZHW3__ERS852424_00452
ERR1913201.1194874__1.1194874	357276__B6W1J2__BACDOR_03380
ERR1913201.1195004__1.1195004	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913201.1195005__1.1195005	216816__A0A0S2ML20__B5780_2007
ERR1913201.1195034__1.1195034	301302__R5UIY5__M72_17461
