ERR1913218.204__1.204	357276__I9FTR0__HMPREF1065_02861
ERR1913218.435231__1.435231	1262924__R7HQ03__BN585_01295
ERR1913218.435284__1.435284	1263006__R6LGA5__BN515_00076
ERR1913218.435431__1.435431	1263006__R6LT09__BN515_01035
ERR1913218.435511__1.435511	40518__R5DWB0__DXD86_00925
ERR1913218.435703__1.435703	1680__A0A1X2ZKM8__B5789_0981
ERR1913218.435841__1.435841	1160721__W0U3Q4__BHW50_08110
ERR1913218.435996__1.435996	562__P23837__phoQ
ERR1913218.436000__1.436000	1262911__R6H1B2__BN557_00840
ERR1913218.436262__1.436262	820__A0A174M9V5__M093_0237
ERR1913218.436305__1.436305	1262911__R6H054__BN557_00908
ERR1913218.436338__1.436338	1262911__R6HN81__BN557_00921
ERR1913218.436458__1.436458	1624__A0A089QH34__B6U42_07040
ERR1913218.436472__1.436472	357276__A0A076INK2__BSEG_04225
ERR1913218.436634__1.436634	39488__C0EWC5__EHLA_2843
ERR1913218.436726__1.436726	1262911__R6HN72__BN557_00911
ERR1913218.436915__1.436915	1550024__A0A3B9WG56__TQ39_01145
ERR1913218.436998__1.436998	1624__A0A089QHX5__B6U57_03750
ERR1913218.437021__1.437021	39492__D4JRM4__tap_5
ERR1913218.437250__1.437250	357276__I9R1V6__DXD47_04125
ERR1913218.437401__1.437401	357276__I9RCD3__IY41_15070
ERR1913218.437433__1.437433	1680__A0A174BEE7__BSTER_1311
ERR1913218.437672__1.437672	1263006__R6LIU9__BN515_01591
ERR1913218.437677__1.437677	357276__D1K3K9__EL88_23995
ERR1913218.437711__1.437711	1624__A0A1D7TPV8__CR249_02810
ERR1913218.437747__1.437747	1262911__R6GPC5__BN557_00852
ERR1913218.437763__1.437763	78346__A0A087D3Y1__BRUM_1576
ERR1913218.438215__1.438215	147206__GCF_000156215.1_01776
ERR1913218.438290__1.438290	40518__R5E2R8__nnr_2
ERR1913218.438366__1.438366	78535__A0A380N2A6__NCTC1080_02015
ERR1913218.438495__1.438495	239935__A0A2N8HS88__CXU19_12255
ERR1913218.438676__1.438676	301301__A0A395VA49__RHOM_13895
ERR1913218.438834__1.438834	166486__D4KXZ7__ROSINTL182_05052
ERR1913218.438982__1.438982	40518__R5DZU5__RBL263_00458
ERR1913218.439024__1.439024	1160721__R6T617__truA
ERR1913218.439038__1.439038	1628085__A0A3E2Y1Z4__C7386_12230
ERR1913218.439132__1.439132	820__R9I324__HMPREF2141_02414
ERR1913218.439140__1.439140	820__A7V9F9__B5G17_14640
ERR1913218.439222__1.439222	820__A7V859__ERS852462_00341
ERR1913218.439427__1.439427	820__A0A3E4G2R7__DXC07_00510
ERR1913218.439433__1.439433	40518__R5DS68__hcpC
ERR1913218.439452__1.439452	1681__A0A0H3E849__BBJK_01758
ERR1913218.439508__1.439508	1680__R5GKP2__DXD60_06200
ERR1913218.439748__1.439748	40518__R5E2R8__nnr_2
ERR1913218.439859__1.439859	239935__A0A2N8HT68__ADH72_00510
ERR1913218.439878__1.439878	820__A0A174CK74__DXB48_07060
ERR1913218.439983__1.439983	158787__A0A087D7D5__BBSC_0723
ERR1913218.440002__1.440002	301301__A0A395VC27__adaA_5
ERR1913218.440061__1.440061	1263006__R6LLQ1__BN515_01046
ERR1913218.440068__1.440068	552398__T5S086__HMPREF0866_01580
ERR1913218.440220__1.440220	88431__A0A3D0EYE9__rafA
ERR1913218.440386__1.440386	1099853__G9S2B8__NSB1T_09105
ERR1913218.440643__1.440643	820__A0A139JRS5__HMPREF1073_04025
ERR1913218.440730__1.440730	239935__A0A2N8IMC3__CXT96_03840
ERR1913218.440744__1.440744	100886__R7GJP9__amiC
ERR1913218.440861__1.440861	1624__A0A385XKU0__A8C52_05550
ERR1913218.441237__1.441237	301301__A0A395V7C8__RHOM_02390
ERR1913218.441322__1.441322	97478__A0A0D4CIE5__SAMN05216545_101268
ERR1913218.441531__1.441531	820__A7V8C2__ERS852554_01338
ERR1913218.441767__1.441767	820__A0A139K5E7__DXC68_09550
ERR1913218.441914__1.441914	100886__E2NQ91__CATMIT_00742
ERR1913218.441879__1.441879	357276__A0A076IYE6__IY41_04275
ERR1913218.441908__1.441908	1263000__R5EKG2__BN466_02040
ERR1913218.441999__1.441999	1550024__A0A0D8J0U7__ASJ35_13230
ERR1913218.442027__1.442027	1262911__R6H0U7__BN557_01104
ERR1913218.442077__1.442077	28118__R6F633__speG
ERR1913218.442138__1.442138	820__A0A139KG04__ERS852459_01249
ERR1913218.442386__1.442386	40518__R5DUU0__DXD93_03985
ERR1913218.442357__1.442357	239935__A0A2N8IEP3__CXT84_03735
ERR1913218.442432__1.442432	1263006__R6LWP7__BN515_00823
ERR1913218.442661__1.442661	239935__A0A139TPD4__CXT86_06450
ERR1913218.442926__1.442926	1550024__G9RP65__ASJ35_11645
ERR1913218.442873__1.442873	39492__D4JRX7__EUBSIR_01480
ERR1913218.442947__1.442947	1550024__G9RUM6__TQ39_16565
ERR1913218.443445__1.443445	33039__D4M6R8__bglB_8
ERR1913218.443455__1.443455	820__A0A374Q8T2__DXB64_16190
ERR1913218.443474__1.443474	239935__A0A2N8HHY4__DEF40_10850
ERR1913218.443483__1.443483	1681__A0A0H3E8L0__DXD31_03505
ERR1913218.443499__1.443499	246787__R6KBH9__HMPREF1062_04676
ERR1913218.443517__1.443517	626933__H1DGX0__HMPREF9449_01506
ERR1913218.443623__1.443623	165179__D1PCT4__DXB80_09470
ERR1913218.443630__1.443630	820__A7VAR9__ERS852421_00197
ERR1913218.443575__1.443575	239935__A0A139TPG3__CXT86_08810
ERR1913218.443577__1.443577	1262882__R5MFM2__BN519_00460
ERR1913218.443593__1.443593	1358__A0A3B0GF98__BW152_07280
ERR1913218.443738__1.443738	1680__R5GZF2__DXC60_01925
ERR1913218.444272__1.444272	40518__R5DWH8__DXD86_04530
ERR1913218.444317__1.444317	1680__R5GR82__AD0028_0014
ERR1913218.444416__1.444416	1547597__A0A0C3NI96__DMB45_01135
ERR1913218.444629__1.444629	1229751__GeneID:16385088
ERR1913218.444876__1.444876	39492__D4JVG7__ERS852540_00946
ERR1913218.445248__1.445248	1624__A0A1V9TZH6__B6U37_00985
ERR1913218.445396__1.445396	1547597__A0A0C3N9Y2__IE90_06270
ERR1913218.445485__1.445485	100886__E2NQ86__ERS852383_05208
ERR1913218.445490__1.445490	1550024__G9RWG1__ASJ35_03770
ERR1913218.445708__1.445708	820__A0A174DZ97__SAMN05444418_101240
ERR1913218.445723__1.445723	301301__A0A174GNJ2__RHOM_05610
ERR1913218.445959__1.445959	239935__A0A2N8HL50__CXT98_09135
ERR1913218.446004__1.446004	820__A0A174R952__DXB48_02570
ERR1913218.446006__1.446006	301301__A0A395VDE1__ERS852391_03099
ERR1913218.446021__1.446021	820__A0A139K5A6__DXB48_12175
ERR1913218.446091__1.446091	1263006__R6LPK6__BN515_01980
ERR1913218.446161__1.446161	301301__A0A395V8I9__ERS852391_04231
ERR1913218.446154__1.446154	357276__A0A076IS73__GV66_00410
ERR1913218.446112__1.446112	172901__A0A2U1AJG6__C8D82_13519
ERR1913218.446232__1.446232	40518__R5DUU8__DXD86_08440
ERR1913218.446391__1.446391	820__A0A174Q0F0__DXB48_08080
ERR1913218.446520__1.446520	1262911__R6H174__BN557_01246
ERR1913218.446702__1.446702	1263006__R6MLA8__BN515_00853
ERR1913218.446793__1.446793	820__A0A3E4HWJ4__DXD40_05945
ERR1913218.446887__1.446887	1550024__A0A0D8J296__ASJ35_12655
ERR1913218.446922__1.446922	301301__A0A395VAJ9__RHOM_06125
ERR1913218.447001__1.447001	1680__A0A076JM61__DXD63_05245
ERR1913218.447153__1.447153	2173__A5UK74__pyrP
ERR1913218.447467__1.447467	357276__I9R2M6__BSEG_03499
ERR1913218.447576__1.447576	239935__A0A139TPD8__CXU12_11015
ERR1913218.447640__1.447640	40518__R5DUG7__sbcC
ERR1913218.447682__1.447682	1624__A0A2A2X0Z9__B6U57_01585
ERR1913218.447802__1.447802	1304__J7SIV6__pspA_3
ERR1913218.447809__1.447809	1262882__R5MQ68__BN519_01178
ERR1913218.448226__1.448226	1685__W6EXB4__B31L_1221
ERR1913218.448255__1.448255	1263006__R6M2H0__BN515_00628
ERR1913218.448370__1.448370	1263006__R6LLQ1__BN515_01046
ERR1913218.448525__1.448525	1262911__R6GMD8__BN557_01647
ERR1913218.448605__1.448605	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913218.448675__1.448675	1263006__R6M2H0__BN515_00628
ERR1913218.449034__1.449034	35833__E5Y3Z3__HMPREF0179_00904
ERR1913218.449089__1.449089	1680__A0A173XYA2__B0703_0121
ERR1913218.449118__1.449118	853__A0A2A7B1Y7__C7K05_11930
ERR1913218.449166__1.449166	1624__A0A385XMD6__DBP87_06675
ERR1913218.449211__1.449211	820__A0A374Q854__HMPREF1073_03281
ERR1913218.449310__1.449310	564__B7LVH7__VL22_0208320
ERR1913218.449420__1.449420	1547597__A0A0C3ME14__DMB45_11205
ERR1913218.449635__1.449635	1624__A0A385XNA7__FC55_GL001200
ERR1913218.449666__1.449666	1262911__R6HJV5__BN557_00309
ERR1913218.449784__1.449784	357276__I9FRW5__B5F95_21685
ERR1913218.449816__1.449816	40518__R5DUU2__yvhJ_2
ERR1913218.449834__1.449834	116085__D4JAP5__DW747_11495
ERR1913218.449842__1.449842	820__A7UYX8__DXD40_11635
ERR1913218.450258__1.450258	239935__R7E524__CXT91_06180
ERR1913218.450304__1.450304	40518__R5DRG6__ylbJ
ERR1913218.450282__1.450282	239935__A0A2N8HT44__CXT84_11035
ERR1913218.450423__1.450423	823__A0A355XJ56__DDY96_07685
ERR1913218.450430__1.450430	1681__A0A151CB13__B0156_0656
ERR1913218.450679__1.450679	820__A0A1Q6IDS8__chtA
ERR1913218.450757__1.450757	1263000__R5EXT3__BN466_02213
ERR1913218.450706__1.450706	1263006__R6LXG0__BN515_01067
ERR1913218.450792__1.450792	1624__H7G0N5__B6U38_06505
ERR1913218.450865__1.450865	745368__A0A1T4XTU3__SAMN02745178_02321
ERR1913218.450920__1.450920	1147152__GeneID:14182017
ERR1913218.451114__1.451114	35833__E5Y1H2__HMPREF0179_00031
ERR1913218.451461__1.451461	1584__A0A386B4U3__LL717_09985
ERR1913218.451552__1.451552	239935__A0A2N8I1R3__CXU05_06075
ERR1913218.451632__1.451632	351676__A0A2D0KSQ6__Xkoz_03831
ERR1913218.451727__1.451727	239935__A0A139TPD4__CXT86_06450
ERR1913218.451793__1.451793	357276__A0A174L570__GV66_05720
ERR1913218.451933__1.451933	1624__A0A385XKE5__B6U46_05205
ERR1913218.451874__1.451874	1680__A0A0B5BIU5__BSTER_0145
ERR1913218.451884__1.451884	1263000__R5EKR4__BN466_01609
ERR1913218.451901__1.451901	1624__A0A0F7PXI4__B6U42_01570
ERR1913218.452053__1.452053	1262882__R5MQ68__BN519_01178
ERR1913218.452397__1.452397	301301__A0A395V7X3__RHOM_05050
ERR1913218.452500__1.452500	1624__Q1WRR9__A8C45_02380
ERR1913218.452742__1.452742	214856__R6Z186__ERS852447_00718
ERR1913218.452812__1.452812	1550024__G9RQ59__TQ39_14360
ERR1913218.452957__1.452957	78535__E6J124__NCTC1080_00088
ERR1913218.452998__1.452998	823__A0A395Z0N9__DHW69_05890
ERR1913218.453072__1.453072	1680__A0A087DHN0__AL0462_1532
ERR1913218.453147__1.453147	820__R9I3N4__M093_0061
ERR1913218.453205__1.453205	1150298__R7JUW7__ERS852406_02089
ERR1913218.453174__1.453174	1550024__A0A0D8IWU5__TQ39_13940
ERR1913218.453315__1.453315	556499__U2RM60__HMPREF0682_2684
ERR1913218.453549__1.453549	39488__A0A173V2K5__EHLA_3132
ERR1913218.453484__1.453484	1624__A0A385XMD6__DBP87_06675
ERR1913218.453573__1.453573	1624__H7G0N5__B6U38_06505
ERR1913218.453788__1.453788	40518__A0A373KL92__RBATCC27255_01378
ERR1913218.454141__1.454141	1262882__R5MFY4__BN519_00529
ERR1913218.454366__1.454366	88431__A0A3D0EY52__ERS852573_01763
ERR1913218.454376__1.454376	1624__A0A2A2X5T3__B6U54_04045
ERR1913218.454578__1.454578	301301__G2T3Q2__ERS852391_00522
ERR1913218.454642__1.454642	1550024__G9RX76__ASJ35_12355
ERR1913218.454707__1.454707	39492__D4JRS7__ERS852540_02076
ERR1913218.454856__1.454856	357276__I8WAB8__B5F00_08100
ERR1913218.454805__1.454805	821__I9R3W6__DXC16_12455
ERR1913218.454949__1.454949	1263107__GCA_000436995.1_00226
ERR1913218.455112__1.455112	1263006__R6M176__BN515_00274
ERR1913218.455351__1.455351	1624__F5VDE9__A8C40_08705
ERR1913218.455403__1.455403	1262746__R5SS80__BN750_02125
ERR1913218.455442__1.455442	1262882__R5MM90__BN519_01721
ERR1913218.455544__1.455544	820__A0A139JRH8__HMPREF2141_04326
ERR1913218.455598__1.455598	106588__A6NUL8__BACCAP_01900
ERR1913218.455633__1.455633	1263006__R6M2H0__BN515_00628
ERR1913218.455687__1.455687	1263006__R6LQB0__BN515_02150
ERR1913218.455822__1.455822	40518__R5DX17__DXD86_01230
ERR1913218.456021__1.456021	418240__C6J7Z2__ERS852478_01924
ERR1913218.456202__1.456202	357276__I9QBT4__GV66_09000
ERR1913218.456219__1.456219	357276__I9FU68__HMPREF1063_00557
ERR1913218.456404__1.456404	823__D7IV95__DXC05_09565
ERR1913218.456435__1.456435	214856__R6XKW1__ERS852559_01141
ERR1913218.456599__1.456599	1262882__R5N0F4__BN519_00593
ERR1913218.456658__1.456658	28118__F9Z750__Odosp_3044
ERR1913218.456772__1.456772	39496__A5Z6U7__EUBVEN_01430
ERR1913218.456804__1.456804	1262911__R6H1M1__BN557_00925
ERR1913218.456890__1.456890	1624__A0A1D7TTZ9__CR249_09295
ERR1913218.456900__1.456900	1263006__R6LKC6__BN515_02058
ERR1913218.456969__1.456969	40518__R5DTG5__RBATCC27255_00890
ERR1913218.456961__1.456961	28116__A0A1Y4PVG3__imd
ERR1913218.457109__1.457109	1262882__R5N4D8__BN519_01497
ERR1913218.457137__1.457137	564886__GeneID:6973115
ERR1913218.457194__1.457194	1550024__G9RW43__TQ39_06925
ERR1913218.457205__1.457205	2173__A5UKK6__BK798_01380
ERR1913218.457294__1.457294	1263006__R6LQF9__BN515_02202
ERR1913218.457496__1.457496	1624__C2EHI0__A8C50_02855
ERR1913218.457519__1.457519	1680__A7A7Z9__AAX71_05385
ERR1913218.457582__1.457582	1550024__A0A0D8IY45__ASJ35_05575
ERR1913218.457624__1.457624	39485__A0A174ZG70__ERS852492_00929
ERR1913218.457625__1.457625	1263006__R6LT09__BN515_01035
ERR1913218.457798__1.457798	1262882__R5MGX3__BN519_00046
ERR1913218.457748__1.457748	216816__A0A396FVC5__BL71B_00290
ERR1913218.457936__1.457936	1358__A0A1V0PEQ7__BW151_11105
ERR1913218.458044__1.458044	820__A0A3E4VZS7__DXC07_14435
ERR1913218.458109__1.458109	357276__D1K526__GV66_17250
ERR1913218.458140__1.458140	671232__I0SK89__ANG4_0955
ERR1913218.458156__1.458156	116085__D4JC38__DW747_00355
ERR1913218.458334__1.458334	239935__B2UNC5__B5G29_07685
ERR1913218.458635__1.458635	1160721__W0U4Y3__sipW2
ERR1913218.458648__1.458648	820__A0A1Y3V743__M093_0235
ERR1913218.458660__1.458660	1624__A0A385XLX3__LsR_01407
ERR1913218.458666__1.458666	35833__E5Y6S3__HMPREF0179_01886
ERR1913218.458848__1.458848	40518__R5DSI5__fieF
ERR1913218.459141__1.459141	649756__D4MYV7__HMPREF0369_00400
ERR1913218.459160__1.459160	1358__P0CI36__LLDT4_10435
ERR1913218.459389__1.459389	357276__A0A0K2HMX2__HMPREF1063_03979
ERR1913218.459517__1.459517	40518__R5E304__thiT
ERR1913218.459792__1.459792	671232__A0A0E9ESL4__B6C93_01390
ERR1913218.459875__1.459875	40518__R5E282__DXD86_08940
ERR1913218.460062__1.460062	40518__R5DU52__RB5AMG_02245
ERR1913218.460193__1.460193	39492__D4JSA4__ERS852540_00596
ERR1913218.460527__1.460527	820__A0A3E4GA19__SAMN05444418_10562
ERR1913218.460601__1.460601	301302__A0A173UN64__manA_2
ERR1913218.460654__1.460654	820__A0A3E4W6P0__gmhA
ERR1913218.460853__1.460853	1263109__GCA_000438135.1_01182
ERR1913218.461002__1.461002	33039__D4M5J1__spoIIIAE_2
ERR1913218.461008__1.461008	1550024__G9RZN9__ASJ35_05735
ERR1913218.461009__1.461009	1776045__A0A0U5J7K7__BN3456_00132
ERR1913218.461378__1.461378	1628085__A0A2U1BE16__C7386_104119
ERR1913218.461488__1.461488	1262911__R6H2J2__BN557_01228
ERR1913218.461621__1.461621	357276__I9QPN0__B5F95_09195
ERR1913218.461831__1.461831	158787__A0A087DBN0__BBSC_0307
ERR1913218.461815__1.461815	820__A0A139K2N9__DXB62_12420
ERR1913218.461889__1.461889	357276__A0A0K2HDP3__IY41_00705
ERR1913218.462144__1.462144	74426__nifJ
ERR1913218.462342__1.462342	357276__I8WBQ9__HMPREF1065_03212
ERR1913218.462574__1.462574	820__A0A173YYG4__evgS_3
ERR1913218.462581__1.462581	1550024__A0A0D8IZK5__TQ39_07980
ERR1913218.462622__1.462622	1550024__G9RP69__ASJ35_11625
ERR1913218.462665__1.462665	1263006__R6LG93__BN515_00770
ERR1913218.462655__1.462655	1550024__A0A3B9WKW6__TQ39_07780
ERR1913218.462723__1.462723	820__A0A174Q0F0__DXB48_08080
ERR1913218.462911__1.462911	1550024__G9RW08__ASJ35_03155
ERR1913218.463027__1.463027	820__A0A078S569__gmhB
ERR1913218.463140__1.463140	1262911__R6H1D2__BN557_00855
ERR1913218.463226__1.463226	246787__A0A3D6B0I1__BcellWH2_03253
ERR1913218.463206__1.463206	1624__A0A385XQ15__LSCP400_16231
ERR1913218.463250__1.463250	28118__F9Z857__DER54_07670
ERR1913218.463393__1.463393	820__A0A139KG04__ERS852459_01249
ERR1913218.463456__1.463456	239935__A0A2N8HUU6__CXT90_06150
ERR1913218.463459__1.463459	1550024__G9RPG8__TQ39_05515
ERR1913218.463542__1.463542	301301__A0A395V7G5__RHOM_16755
ERR1913218.463639__1.463639	1099853__G9S3X9__NSB1T_04035
ERR1913218.463799__1.463799	46503__R6WU62__PARMER_00182
ERR1913218.464148__1.464148	239935__A0A2N8IVK9__CXU08_03750
ERR1913218.464165__1.464165	1632__A0A0R1WE12__sbcD
ERR1913218.464213__1.464213	2173__A5UNC4__METSMIALI_00562
ERR1913218.464289__1.464289	40518__R5DME2__DXD86_07315
ERR1913218.464418__1.464418	151538__GeneID:920450
ERR1913218.464471__1.464471	1262911__R6GQ41__BN557_00435
ERR1913218.464530__1.464530	820__A0A174KKV6__DXC07_02635
ERR1913218.464565__1.464565	40518__R5DU74__RBATCC27255_00707
ERR1913218.464592__1.464592	239935__A0A2N8I3G2__CXT89_00720
ERR1913218.464985__1.464985	1262911__R6GT12__BN557_01070
ERR1913218.465012__1.465012	46503__R6WPS1__lepB
ERR1913218.465064__1.465064	820__A0A3E4PYB0__yejM
ERR1913218.465098__1.465098	1262920__R5KD76__BN467_01465
ERR1913218.465161__1.465161	1263006__R6LY93__BN515_00695
ERR1913218.465412__1.465412	40518__R5DZB3__RB5AMG_01719
ERR1913218.465634__1.465634	820__A0A174VD39__DXD90_12235
ERR1913218.465594__1.465594	40518__R5DUG7__sbcC
ERR1913218.465602__1.465602	1263006__R6LHU1__BN515_01203
ERR1913218.465717__1.465717	820__A0A174DZ97__SAMN05444418_101240
ERR1913218.465818__1.465818	357276__A0A076J8M3__ABI39_13695
ERR1913218.465772__1.465772	394340__hgdC
ERR1913218.465915__1.465915	1262911__R6GPI7__BN557_00907
ERR1913218.465958__1.465958	820__A0A396CMY7__HMPREF1072_03009
ERR1913218.466064__1.466064	1624__H7G0J2__B6U52_05715
ERR1913218.466138__1.466138	357276__A0A1Y3Z3W0__IY41_20500
ERR1913218.466208__1.466208	1550024__G9RNN7__TQ39_03420
ERR1913218.466275__1.466275	301301__A0A395VCJ3__cbiT
ERR1913218.466280__1.466280	239935__R6J5N6__CXT99_10770
ERR1913218.466480__1.466480	671232__E6IYS8__DK43_06460
ERR1913218.466550__1.466550	1550024__A0A0W7TT94__TQ39_11150
ERR1913218.466578__1.466578	1680__A0A076JNS9__BIFADO_02309
ERR1913218.466771__1.466771	74426__purC
ERR1913218.466806__1.466806	357276__A0A0K2HKT7__B5F95_21090
ERR1913218.466907__1.466907	820__A0A174M9V5__M093_0237
ERR1913218.467023__1.467023	59310__A0A1C3SQZ0__SMA679_1824
ERR1913218.467097__1.467097	74426__pflB_2
ERR1913218.467150__1.467150	100886__E2NSF9__rpoB
ERR1913218.467328__1.467328	301301__A0A395V714__evgS
ERR1913218.467354__1.467354	1262911__R6H2J2__BN557_01228
ERR1913218.467401__1.467401	1263006__R6LRT3__BN515_00657
ERR1913218.467412__1.467412	820__A0A173WUD7__DXB48_08055
ERR1913218.467434__1.467434	301302__R5VE75__M72_12161
ERR1913218.467655__1.467655	1262911__R6H054__BN557_00908
ERR1913218.467675__1.467675	1262911__R6H1D2__BN557_00855
ERR1913218.467811__1.467811	239935__A0A3F3K9J9__DEF40_00940
ERR1913218.467839__1.467839	40518__R5E328__DXD86_08885
ERR1913218.468222__1.468222	1550024__G9RYR1__TQ39_01725
ERR1913218.468312__1.468312	46503__R6WUT7__NCTC13052_01657
ERR1913218.468354__1.468354	1099853__G9S128__NSB1T_01840
ERR1913218.468545__1.468545	458033__GCA_001482755.1_02203
ERR1913218.468580__1.468580	820__A0A139K4W1__M093_0353
ERR1913218.468587__1.468587	1680__R5GZF2__DXC60_01925
ERR1913218.468675__1.468675	1262911__R6H2J2__BN557_01228
ERR1913218.468713__1.468713	40518__R5DVL2__penA
ERR1913218.468830__1.468830	820__A7V9F9__B5G17_14640
ERR1913218.468906__1.468906	562__P23837__phoQ
ERR1913218.468987__1.468987	1262911__R6GSH8__BN557_00939
ERR1913218.469388__1.469388	1550024__G9RUM6__TQ39_16565
ERR1913218.469524__1.469524	820__A0A374MMF0__HMPREF1073_03811
ERR1913218.469754__1.469754	823__A0A395YZG9__M092_4358
ERR1913218.470104__1.470104	1099853__R7DCM4__NSB1T_04695
ERR1913218.470478__1.470478	1624__A0A385XMR5__A8C41_04885
ERR1913218.470603__1.470603	47770__E3R191__AEL93_00020
ERR1913218.470672__1.470672	1262911__R6H2J2__BN557_01228
ERR1913218.470945__1.470945	1550024__G9RXH7__TQ39_11565
ERR1913218.471031__1.471031	1550024__G9RWE3__TQ39_04170
ERR1913218.471197__1.471197	1624__A0A2A2X0Z9__B6U57_01585
ERR1913218.471214__1.471214	1681__A0A286TB53__BBBF_1581
ERR1913218.471387__1.471387	227942__H4GI81__FC60_GL001781
ERR1913218.471642__1.471642	1263006__R6LIE4__BN515_01447
ERR1913218.471697__1.471697	33039__D4M340__sleB_2
ERR1913218.471734__1.471734	2173__A5ULL1__Msm_0884
ERR1913218.471846__1.471846	158787__A0A087DBN0__BBSC_0307
ERR1913218.472087__1.472087	239935__A0A2N8IHY1__CXU06_00035
ERR1913218.472265__1.472265	820__A0A139K8N1__ERS852554_00951
ERR1913218.472433__1.472433	1550024__G9RYB3__TQ39_01060
ERR1913218.472477__1.472477	820__A0A3E4VZY4__ERS852554_01211
ERR1913218.472522__1.472522	39485__A0A174Z2K9__ERS852490_02052
ERR1913218.472754__1.472754	357276__A0A1Y3Z3W0__IY41_20500
ERR1913218.473123__1.473123	1263006__R6LWH5__BN515_00768
ERR1913218.473223__1.473223	239935__A0A2N8ITW6__CXT91_06265
ERR1913218.473355__1.473355	166486__D4L458__ROSINTL182_07088
ERR1913218.473406__1.473406	1550024__A0A0D8J0K7__TQ39_06245
ERR1913218.473334__1.473334	820__A0A3E4RTP0__C801_01067
ERR1913218.473459__1.473459	39485__C4Z028__ERS852492_00100
ERR1913218.473726__1.473726	1735__B7CEC3__EUBIFOR_02567
ERR1913218.473784__1.473784	1263006__R6LVS1__BN515_01927
ERR1913218.473960__1.473960	1680__A0A0C2YPV2__AL0462_1474
ERR1913218.474030__1.474030	820__A0A139KEW8__DXB64_06405
ERR1913218.473984__1.473984	357276__I9QWN0__ABI39_00335
ERR1913218.474409__1.474409	1262911__R6GPB5__BN557_00842
ERR1913218.474430__1.474430	357276__D1K3K9__EL88_23995
ERR1913218.474447__1.474447	40518__R5DUG7__sbcC
ERR1913218.474525__1.474525	1624__A0A089QIM1__A8C54_08170
ERR1913218.474478__1.474478	1263107__GCA_000436995.1_00011
ERR1913218.474600__1.474600	1681__I3WKD7__DXD34_06365
ERR1913218.474700__1.474700	1358__D2BMK7__KF146_0304
ERR1913218.474852__1.474852	544580__F2UXB1__BKH21_05015
ERR1913218.474917__1.474917	1680__R5GPK0__B0487_0620
ERR1913218.475093__1.475093	40518__R5DQW8__sipW_2
ERR1913218.475365__1.475365	2173__A0A1D2WST6__METSMIALI_00213
ERR1913218.475619__1.475619	40520__A0A174QTE4__ERS852394_02571
ERR1913218.475805__1.475805	301301__A0A395V7N0__ERS852391_02330
ERR1913218.475769__1.475769	1262911__R6GSH0__BN557_00934
ERR1913218.475846__1.475846	671267__R9I8L9__C802_02304
ERR1913218.475997__1.475997	33039__R6P9A7__ERS852424_01559
ERR1913218.476007__1.476007	239935__R6J776__CXU07_02355
ERR1913218.476032__1.476032	1624__A0A1V9QL31__DB322_00535
ERR1913218.476099__1.476099	1099853__U5C8K4__NSB1T_11515
ERR1913218.476143__1.476143	1680__R5GKP2__DXD60_06200
ERR1913218.476448__1.476448	301301__A0A395VAV8__ERS852391_02437
ERR1913218.476699__1.476699	820__A0A3E4WA06__ERS852554_03404
ERR1913218.476751__1.476751	239935__R7E524__CXT91_06180
ERR1913218.476935__1.476935	820__A0A3E4RUC4__DHU98_02635
ERR1913218.476954__1.476954	820__A7V859__ERS852462_00341
ERR1913218.477001__1.477001	2173__A5UJ58__BK798_03985
ERR1913218.477194__1.477194	820__I9A4U7__DHU98_12785
ERR1913218.477344__1.477344	1262743__R5C054__BN727_01980
ERR1913218.477385__1.477385	97478__A0A099YAM4__SAMN05216430_102157
ERR1913218.477776__1.477776	1550024__G9RQ59__TQ39_14360
ERR1913218.477855__1.477855	78258__E6JYZ9__HMPREF9017_00157
ERR1913218.477929__1.477929	1262882__R5N211__BN519_01033
ERR1913218.477958__1.477958	1308__A0A2X3U5B4__MNA02_088
ERR1913218.478016__1.478016	1263006__R6LKC6__BN515_02058
ERR1913218.478100__1.478100	1680__A0A1X3AAI9__BADO_1163
ERR1913218.478105__1.478105	214856__I3YMN6__Alfi_1938
ERR1913218.478318__1.478318	610243__A0A060QJF7__ASAP_2763
ERR1913218.478386__1.478386	357276__B6VVS0__HMPREF1064_03951
ERR1913218.478512__1.478512	301302__R5USZ5__dus_2
ERR1913218.478607__1.478607	1262911__R6GSH8__BN557_00939
ERR1913218.478643__1.478643	1262911__R6GT76__BN557_01150
ERR1913218.478720__1.478720	1099853__G9S433__NSB1T_07535
ERR1913218.478721__1.478721	40518__R5E2R8__nnr_2
ERR1913218.478787__1.478787	1262911__R6GZ01__BN557_00641
ERR1913218.478814__1.478814	360807__A0A173R6V5__ROSEINA2194_00471
ERR1913218.478876__1.478876	2173__A0A1D2WRQ9__METSMIF1_03320
ERR1913218.479026__1.479026	1262882__R5N1T9__BN519_00804
ERR1913218.479014__1.479014	1358__A0A166J899__IV65_GL000263
ERR1913218.479055__1.479055	1160721__W0U330__BHW50_08125
ERR1913218.479064__1.479064	1584__A0A386B4A2__LB080_00750
ERR1913218.479072__1.479072	100886__A0A174KNJ2__ERS852383_05320
ERR1913218.479224__1.479224	301302__A0A0M6WVS7__ERS852420_01704
ERR1913218.479333__1.479333	46503__B7B776__DXB85_00355
