ERR1913226.15__1.15	46228__V8BM45__DXD17_14355
ERR1913226.537263__1.537263	1262777__R5VV55__BN512_00056
ERR1913226.537411__1.537411	384638__B7ASL2__BACPEC_02067
ERR1913226.537857__1.537857	1501392__A0A0B2JJH7__PU94_02630
ERR1913226.537897__1.537897	821__R9HFW2__DXD01_00365
ERR1913226.537927__1.537927	239935__A0A139TPG3__CXT86_08810
ERR1913226.538030__1.538030	40520__A0A395ZYQ3__RUMOBE_02371
ERR1913226.538226__1.538226	2293125__A0A374CFZ2__DW917_03445
ERR1913226.538227__1.538227	2293125__A0A374BUM7__DW917_12980
ERR1913226.538620__1.538620	820__A0A3E4PYB0__yejM
ERR1913226.538691__1.538691	165179__D1PGU8__PREVCOP_06463
ERR1913226.538723__1.538723	853__A0A2A7ATM9__DWZ89_13645
ERR1913226.538821__1.538821	1262942__R7QTG9__BN520_01018
ERR1913226.538938__1.538938	821__A0A174MBW9__SAMN04487923_10272
ERR1913226.539027__1.539027	2293125__A0A374CBD1__DW917_06995
ERR1913226.539087__1.539087	823__A6L9D3__ERS852560_03374
ERR1913226.539154__1.539154	2293125__A0A374BUM7__DW917_12980
ERR1913226.539172__1.539172	820__A0A078STJ8__DXC68_04690
ERR1913226.539177__1.539177	853__A0A2A7B9I6__DW855_13690
ERR1913226.539349__1.539349	39485__R5ZT06__EUBELI_20526
ERR1913226.539644__1.539644	214856__I3YPI7__pepD_1
ERR1913226.539817__1.539817	1262889__R7H889__BN634_02048
ERR1913226.539851__1.539851	165179__R6CJG8__DXC61_09290
ERR1913226.540078__1.540078	1501391__GCA_000786575.1_00061
ERR1913226.540095__1.540095	2293125__A0A374CFZ2__DW917_03445
ERR1913226.540152__1.540152	322505__group_105
ERR1913226.540294__1.540294	28116__A0A1Y4PIA6__BACOV975_04529
ERR1913226.540333__1.540333	39492__D4MJF3__EUBSIR_02248
ERR1913226.540342__1.540342	2293125__A0A374CHT4__DW917_03485
ERR1913226.540559__1.540559	820__A0A174B4N2__M093_2531
ERR1913226.540698__1.540698	214856__D4IMT6__Alfi_1830
ERR1913226.540923__1.540923	1262988__R7N7D6__BN816_00654
ERR1913226.540927__1.540927	39485__C4Z6B7__EUBELI_20364
ERR1913226.541151__1.541151	2293125__A0A374BZ93__DW917_11205
ERR1913226.541199__1.541199	820__A7V859__ERS852462_00341
ERR1913226.541212__1.541212	165179__D1PGU8__PREVCOP_06463
ERR1913226.541273__1.541273	820__A0A174M9V5__M093_0237
ERR1913226.541302__1.541302	2293125__A0A374CFU2__DW917_03475
ERR1913226.541388__1.541388	2293125__A0A374C4C8__DW917_09805
ERR1913226.541583__1.541583	820__A0A1T4IYF4__mprA_1
ERR1913226.541592__1.541592	1262911__R6HJT1__BN557_00291
ERR1913226.542027__1.542027	28116__A7LXU0__HMPREF1070_00358
ERR1913226.542031__1.542031	1262911__R6GZX7__BN557_00838
ERR1913226.542075__1.542075	301301__A0A395V5B0__ERS852391_02078
ERR1913226.542090__1.542090	40518__R5DP21__RBATCC27255_00348
ERR1913226.542115__1.542115	1160721__W0U8E3__BHW50_10005
ERR1913226.542182__1.542182	46228__V8BRH7__RUMLAC_01261
ERR1913226.542413__1.542413	2293125__A0A374CHT4__DW917_03485
ERR1913226.542691__1.542691	88431__A0A174RXE9__ERS852526_02186
ERR1913226.543616__1.543616	2108523__A0A2P2F3W3__LAWASA_692
ERR1913226.543704__1.543704	1501391__GCA_000786575.1_00110
ERR1913226.543956__1.543956	820__A0A374Q1D8__SAMN05444418_112114
ERR1913226.544048__1.544048	1501391__GCA_000786575.1_00064
ERR1913226.544135__1.544135	820__A0A174M9V5__M093_0237
ERR1913226.544163__1.544163	28116__A0A1Y4Q112__evgS_13
ERR1913226.544285__1.544285	165179__A0A3E5A5E5__DXC61_13965
ERR1913226.544578__1.544578	39485__C4Z0B2__EUBELI_01024
ERR1913226.544699__1.544699	1262761__R6QWI4__BN606_00934
ERR1913226.544730__1.544730	40520__A0A174GNL5__DXD81_10555
ERR1913226.544883__1.544883	33043__A0A174A481__ERS852400_01067
ERR1913226.544937__1.544937	820__A0A174CG08__DXB62_13215
ERR1913226.544939__1.544939	1501391__GCA_000786575.1_00064
ERR1913226.545124__1.545124	39491__A0A396FTE5__ERS852417_01346
ERR1913226.545308__1.545308	1262761__R6RZ48__BN606_01724
ERR1913226.545818__1.545818	2293125__A0A374CHQ0__DW917_02295
ERR1913226.546374__1.546374	820__A0A374QGD2__ERS852421_02382
ERR1913226.546308__1.546308	2293125__A0A374BRB6__DW917_13815
ERR1913226.546489__1.546489	10679__GeneID:1261534
ERR1913226.546572__1.546572	458033__GCA_001482755.1_02203
ERR1913226.546750__1.546750	1262911__R6H1A6__BN557_01286
ERR1913226.546758__1.546758	35833__E5Y724__HMPREF0179_01988
ERR1913226.547296__1.547296	820__A0A173XIP7__B5G17_16050
ERR1913226.547408__1.547408	39492__D4JU30__EUBSIR_00838
ERR1913226.547371__1.547371	2293125__A0A374CFZ2__DW917_03445
ERR1913226.547568__1.547568	2293125__A0A374C8E6__DW917_07195
ERR1913226.547619__1.547619	487174__K0WY34__DDY40_07435
ERR1913226.547678__1.547678	1160721__W0U3I6__RBI_I00579
ERR1913226.547890__1.547890	820__A0A3E4W084__BACUNI_04042
ERR1913226.548043__1.548043	820__A0A3E5E9Y8__DXD90_09110
ERR1913226.548137__1.548137	1501391__GCA_000786575.1_00110
ERR1913226.548138__1.548138	1263107__GCA_000436995.1_00015
ERR1913226.548197__1.548197	1263006__R6LYA7__BN515_01307
ERR1913226.548119__1.548119	823__A0A073I9P2__CF162_18000
ERR1913226.548283__1.548283	1262761__R6QU78__BN606_01972
ERR1913226.548305__1.548305	2293125__A0A374BSW4__DW917_13420
ERR1913226.548404__1.548404	1262746__R5SS80__BN750_02125
ERR1913226.548617__1.548617	820__A0A1T4IYF4__mprA_1
ERR1913226.548631__1.548631	33043__A0A173X5R2__ERS852445_01329
ERR1913226.548654__1.548654	360807__A0A396ADM2__ERS852392_02872
ERR1913226.548834__1.548834	29361__B6FRT6__CLONEX_02860
ERR1913226.548943__1.548943	821__A0A173XDD3__DXB82_17180
ERR1913226.549067__1.549067	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913226.549075__1.549075	165179__D1PGU8__PREVCOP_06463
ERR1913226.549346__1.549346	1160721__R6TAA3__BHW50_03385
ERR1913226.549724__1.549724	39492__D4JQY4__EUBSIR_01325
ERR1913226.549976__1.549976	544644__GCA_001915615.1_01953
ERR1913226.550403__1.550403	1262911__R6H0U7__BN557_01104
ERR1913226.550406__1.550406	2293125__A0A374BVX3__DW917_12740
ERR1913226.550543__1.550543	1262761__R6R3I7__BN606_01771
ERR1913226.550882__1.550882	2293125__A0A374C4C8__DW917_09805
ERR1913226.551014__1.551014	36343__GeneID:11467863
ERR1913226.551026__1.551026	1160721__W0U436__BHW50_10710
ERR1913226.551180__1.551180	1262889__R7HBQ2__BN634_01539
ERR1913226.551376__1.551376	39485__A0A174YMI9__cph2_5
ERR1913226.551435__1.551435	820__A0A174LIN6__HMPREF1072_03144
ERR1913226.551610__1.551610	2293125__A0A374BRB6__DW917_13815
ERR1913226.551875__1.551875	2293125__A0A374C9I8__DW917_06795
ERR1913226.551923__1.551923	820__A7V8C2__ERS852554_01338
ERR1913226.551955__1.551955	1262783__R6D4I1__BN558_02429
ERR1913226.551997__1.551997	2293125__A0A374C9I8__DW917_06795
ERR1913226.552088__1.552088	821__A0A396ER29__ERS852457_02298
ERR1913226.552180__1.552180	39492__A0A174ZL16__EUBSIR_01269
ERR1913226.552386__1.552386	2293125__A0A374CMK5__DW917_00330
ERR1913226.552457__1.552457	360807__A0A173V2S2__phoR_7
ERR1913226.552785__1.552785	1262761__R6R1G2__BN606_01397
ERR1913226.552960__1.552960	1263107__GCA_000436995.1_00101
ERR1913226.553108__1.553108	1262761__R6QPN7__BN606_01059
ERR1913226.553307__1.553307	2293125__A0A374BR61__DW917_14880
ERR1913226.553376__1.553376	1262736__R5YW03__BN496_00822
ERR1913226.553815__1.553815	214856__A0A173ZPR4__ERS852447_00928
ERR1913226.553891__1.553891	2293125__A0A374CIC9__DW917_02045
ERR1913226.554079__1.554079	487174__K0WXI9__HMPREF9448_02340
ERR1913226.554133__1.554133	301301__A0A395VBY5__yfiN_1
ERR1913226.554232__1.554232	820__A0A174CK74__DXB48_07060
ERR1913226.554605__1.554605	1262761__R6QZS1__BN606_01236
ERR1913226.554613__1.554613	410072__C0B801__mucD
ERR1913226.554879__1.554879	820__A0A174NUS8__DXC80_12885
ERR1913226.554926__1.554926	1262761__R6RNL8__BN606_00387
ERR1913226.554991__1.554991	1501391__GCA_000786575.1_00062
ERR1913226.555253__1.555253	1501391__GCA_000786575.1_00041
ERR1913226.555370__1.555370	1262761__R6R840__BN606_01433
ERR1913226.555634__1.555634	1263107__GCA_000436995.1_00101
ERR1913226.555686__1.555686	2293125__A0A374C4C8__DW917_09805
ERR1913226.555925__1.555925	820__A0A173WZS4__DXD90_10250
ERR1913226.555972__1.555972	820__A0A173YYG4__evgS_3
ERR1913226.555977__1.555977	1262911__R6GR13__BN557_00618
ERR1913226.555998__1.555998	2293125__A0A374CII0__DW917_03470
ERR1913226.556050__1.556050	39491__A0A396FJA4__DXB99_05435
ERR1913226.556053__1.556053	165179__R6C330__DXC61_04975
ERR1913226.556403__1.556403	46228__B5CNB4__RUMLAC_00950
ERR1913226.556429__1.556429	1262911__R6GI18__BN557_01377
ERR1913226.556570__1.556570	39485__C4Z0I4__ERS852492_00258
ERR1913226.556725__1.556725	39485__A0A174YS20__EUBELI_20202
ERR1913226.556929__1.556929	1262911__R6GPM2__BN557_00937
ERR1913226.556944__1.556944	820__A0A139KHD8__ERS417307_00569
ERR1913226.557392__1.557392	1262761__R6QS21__BN606_00301
ERR1913226.557668__1.557668	39492__D4JUD9__EUBSIR_01875
ERR1913226.557711__1.557711	33039__R6PZ42__mprA_2
ERR1913226.557714__1.557714	1262911__R6GII0__BN557_01496
ERR1913226.558422__1.558422	1262911__R6GPX9__BN557_00406
ERR1913226.558594__1.558594	1501391__GCA_000786575.1_00030
ERR1913226.558734__1.558734	39491__C4Z9K7__EUBREC_0050
ERR1913226.558826__1.558826	2293125__A0A374C8A8__DW917_07550
ERR1913226.558882__1.558882	821__A0A396F9T7__M097_3427
ERR1913226.559001__1.559001	2293125__A0A374BQ34__DW917_14250
ERR1913226.559124__1.559124	2293125__A0A374CFU2__DW917_03475
ERR1913226.559250__1.559250	487174__R5FMM3__DDY40_00820
ERR1913226.559287__1.559287	39491__A0A395V0H6__ERS852580_02570
ERR1913226.559969__1.559969	544645__A0A3E4T275__DXC42_12265
ERR1913226.560023__1.560023	28116__A0A078QF71__HMPREF1070_01231
ERR1913226.560169__1.560169	1262761__R6QMI9__BN606_00798
ERR1913226.560839__1.560839	820__R9HP61__DXC91_01090
ERR1913226.560983__1.560983	165179__A0A229I9X5__CFT61_01205
ERR1913226.561027__1.561027	165179__A0A229I9X5__CFT61_01205
ERR1913226.561184__1.561184	74426__groL
ERR1913226.561260__1.561260	47678__R5U2W6__CGC64_03455
ERR1913226.561376__1.561376	2293125__A0A374BZ50__DW917_11090
ERR1913226.561444__1.561444	820__A0A139KEW8__DXB64_06405
ERR1913226.561577__1.561577	301301__A0A173Z4D5__RHOM_00975
ERR1913226.561582__1.561582	1501391__GCA_000786575.1_00024
ERR1913226.561649__1.561649	853__A0A173TAZ8__DWZ46_14590
ERR1913226.561864__1.561864	2293125__A0A374BUM7__DW917_12980
ERR1913226.561967__1.561967	823__A0A174WTX5__DD466_11965
ERR1913226.562022__1.562022	2293125__A0A374C955__DW917_08135
ERR1913226.562091__1.562091	820__A0A374Q854__HMPREF1073_03281
ERR1913226.562143__1.562143	1263107__GCA_000436995.1_00242
ERR1913226.562252__1.562252	2293125__A0A374C7Q4__DW917_07745
ERR1913226.562283__1.562283	820__A7V8C2__ERS852554_01338
ERR1913226.562355__1.562355	1262761__R6QWS5__BN606_02019
ERR1913226.562477__1.562477	357276__I8VN48__ABI39_07855
ERR1913226.562480__1.562480	1501391__GCA_000786575.1_00128
ERR1913226.562863__1.562863	1160721__W0U4W5__BHW50_05260
ERR1913226.562987__1.562987	384638__B7ANI2__BACPEC_00236
ERR1913226.563052__1.563052	2293125__A0A374BUM7__DW917_12980
ERR1913226.563036__1.563036	2293125__A0A374CC93__DW917_06625
ERR1913226.563135__1.563135	1501391__GCA_000786575.1_00064
ERR1913226.563238__1.563238	2293125__A0A374BSW4__DW917_13420
ERR1913226.563279__1.563279	165179__A0A229I9X5__CFT61_01205
ERR1913226.563442__1.563442	1262988__R7N524__BN816_01860
ERR1913226.563525__1.563525	165179__A0A3E5EDP4__DXB80_05800
ERR1913226.563528__1.563528	39485__C4Z1W5__ERS852492_01530
ERR1913226.563535__1.563535	239935__A0A2N8HSC0__CXU06_05505
ERR1913226.563971__1.563971	853__A0A173YYY4__DWZ04_09420
ERR1913226.564192__1.564192	28116__I8YA52__M088_0798
ERR1913226.564204__1.564204	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913226.564381__1.564381	1262783__R6DL79__BN558_02035
ERR1913226.564419__1.564419	1897011__A0A1Q6REW8__BHW41_04435
ERR1913226.564439__1.564439	1262911__R6GKS1__BN557_00184
ERR1913226.564502__1.564502	853__A0A2A7ATM9__DWZ89_13645
ERR1913226.564545__1.564545	301301__G2SZN8__RHOM_00825
ERR1913226.564705__1.564705	246787__A0A0P0FV02__AA416_03728
ERR1913226.564723__1.564723	39485__A0A174Z7G5__EUBELI_01168
ERR1913226.564780__1.564780	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913226.564836__1.564836	1262736__R5YX38__BN496_01145
ERR1913226.564814__1.564814	1262761__R6QVL2__BN606_00807
ERR1913226.564921__1.564921	165179__D1PGD2__DXC61_10875
ERR1913226.565062__1.565062	39488__A0A174GS53__dnaC_1
ERR1913226.565307__1.565307	2293125__A0A374C955__DW917_08135
ERR1913226.565383__1.565383	1262761__R6RY17__BN606_01538
ERR1913226.565553__1.565553	1735__B7C932__EUBIFOR_00689
ERR1913226.565855__1.565855	2293125__A0A374CFZ2__DW917_03445
ERR1913226.565981__1.565981	820__A0A174EV88__HMPREF1072_01427
ERR1913226.566105__1.566105	33039__A0A173VNF2__truB
ERR1913226.566221__1.566221	2293125__A0A374BLR6__DW917_15555
ERR1913226.566239__1.566239	2293125__A0A374C4C8__DW917_09805
ERR1913226.566355__1.566355	1501391__GCA_000786575.1_00072
ERR1913226.566502__1.566502	166486__D4KVZ2__cbiT
ERR1913226.566511__1.566511	2293125__A0A374BSW4__DW917_13420
ERR1913226.566584__1.566584	2293125__A0A374BRB6__DW917_13815
ERR1913226.566685__1.566685	1235793__R9KSF0__C809_01679
ERR1913226.566985__1.566985	1150298__A0A174KDB8__psd
ERR1913226.567040__1.567040	239935__B2URG6__CXU02_00030
ERR1913226.567405__1.567405	333367__C0D2D2__CLOSTASPAR_03422
ERR1913226.567452__1.567452	1262911__R6GPX9__BN557_00406
ERR1913226.567568__1.567568	357276__A0A0K2HGB7__HMPREF1064_01580
ERR1913226.567983__1.567983	823__A0A174JYU9__DER51_02115
ERR1913226.568156__1.568156	360807__A0A173R6E5__ERS852444_00251
ERR1913226.568311__1.568311	820__A0A078S4C2__ERS417307_00828
ERR1913226.568353__1.568353	1262911__R6GN33__BN557_00616
ERR1913226.568384__1.568384	820__A0A1Y3V743__M093_0235
ERR1913226.568772__1.568772	165179__A0A3E5A6S0__PREVCOP_04351
ERR1913226.568921__1.568921	218538__C9LQZ7__GCWU000321_01979
ERR1913226.569142__1.569142	214856__R6Z3P8__ERS852559_01737
ERR1913226.569198__1.569198	301301__A0A395V5B0__ERS852391_02078
ERR1913226.569842__1.569842	2293125__A0A374CFW0__DW917_03450
ERR1913226.569860__1.569860	821__A0A3E4XY72__NCTC10583_01067
ERR1913226.570039__1.570039	556261__F0YZT7__HMPREF0240_02366
ERR1913226.570084__1.570084	1262911__R6GPM2__BN557_00937
ERR1913226.570090__1.570090	39485__C4Z685__EUBELI_20332
ERR1913226.570242__1.570242	823__D0TJX4__M095_1560
ERR1913226.570365__1.570365	2293125__A0A374CII0__DW917_03470
ERR1913226.570726__1.570726	2293125__A0A374CHT4__DW917_03485
ERR1913226.571003__1.571003	2293125__A0A374BSW4__DW917_13420
ERR1913226.571109__1.571109	2293125__A0A374CIC9__DW917_02045
ERR1913226.571169__1.571169	1262761__R6R8B3__BN606_01478
ERR1913226.571215__1.571215	1262911__R6GXH0__BN557_00389
ERR1913226.571290__1.571290	1262761__R6RML5__BN606_00248
ERR1913226.571499__1.571499	1262988__R7N4Z9__BN816_00543
ERR1913226.571724__1.571724	556259__I0PXW0__BSGG_5187
ERR1913226.571758__1.571758	1263107__GCA_000436995.1_00246
ERR1913226.571918__1.571918	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913226.571934__1.571934	2293125__A0A374CFU2__DW917_03475
ERR1913226.572004__1.572004	820__A0A174NUS8__DXC80_12885
ERR1913226.572212__1.572212	39485__A0A175A023__yhhT
ERR1913226.572314__1.572314	487174__K0WZU9__HMPREF9448_01159
ERR1913226.572382__1.572382	1262889__R7H954__BN634_00680
ERR1913226.572695__1.572695	1262988__R7N441__BN816_01998
ERR1913226.572752__1.572752	165179__D1PHC0__PREVCOP_06640
ERR1913226.573106__1.573106	820__A7V8C2__ERS852554_01338
ERR1913226.573440__1.573440	820__A0A173WZS4__DXD90_10250
ERR1913226.573407__1.573407	820__A0A174R952__DXB48_02570
ERR1913226.573408__1.573408	46228__V8BL46__HMPREF1202_02714
ERR1913226.573462__1.573462	40520__A0A174JSI5__ERS852394_00345
ERR1913226.574056__1.574056	384638__B7AT14__BACPEC_01282
ERR1913226.574271__1.574271	487174__K0WXG8__DIT83_09300
ERR1913226.574579__1.574579	1501391__GCA_000786575.1_00157
ERR1913226.574809__1.574809	39485__C4Z1J7__ERS852490_01574
ERR1913226.575140__1.575140	39485__R5ZNG4__yerB
ERR1913226.575315__1.575315	2293125__A0A374C7Q7__DW917_07770
ERR1913226.575324__1.575324	39485__A0A174Z1A6__EUBELI_00220
ERR1913226.575334__1.575334	1262761__R6RUC6__BN606_00092
ERR1913226.575570__1.575570	28116__A0A1Y4PTX5__SAMN05192582_104017
ERR1913226.575648__1.575648	165179__A0A174SA26__PREVCOP_05758
ERR1913226.575725__1.575725	1263107__GCA_000436995.1_00028
ERR1913226.575736__1.575736	2293125__A0A374C8A8__DW917_07550
ERR1913226.575804__1.575804	2293125__A0A374CHT4__DW917_03485
ERR1913226.575904__1.575904	39485__R6AKA4__rssA
ERR1913226.575919__1.575919	2293125__A0A374BUM7__DW917_12980
ERR1913226.576120__1.576120	322505__xre_3
ERR1913226.576224__1.576224	820__A7V9F9__B5G17_14640
ERR1913226.576289__1.576289	1262988__R7N397__BN816_01278
ERR1913226.576295__1.576295	821__A0A174NM17__lacZ_6
ERR1913226.576310__1.576310	823__A0A395YY84__DXC05_19515
ERR1913226.576263__1.576263	817__Q64XX5__M126_0821
ERR1913226.576282__1.576282	1262911__R6GZX7__BN557_00838
ERR1913226.576423__1.576423	218538__C9LNQ3__GCWU000321_01176
ERR1913226.576392__1.576392	39491__A0A395V0E5__ERE_31370
ERR1913226.576437__1.576437	820__A0A396EUU8__luxQ_3
ERR1913226.576572__1.576572	46228__V8C484__HMPREF1202_01707
ERR1913226.576595__1.576595	821__A0A0P0L8F8__ERS852509_03705
ERR1913226.576717__1.576717	1501391__GCA_000786575.1_00003
ERR1913226.576899__1.576899	1262743__R5C054__BN727_01980
ERR1913226.577094__1.577094	40520__A0A174HSN4__ltaS1_2
ERR1913226.577136__1.577136	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913226.577225__1.577225	817__K1FQ86__M087_1790
ERR1913226.577559__1.577559	1262761__R6QND7__BN606_00927
ERR1913226.577572__1.577572	820__A0A1Q6IDS8__chtA
ERR1913226.577886__1.577886	1262761__R6R3W1__BN606_01849
ERR1913226.578336__1.578336	1262942__R7QVY5__BN520_00657
ERR1913226.578441__1.578441	2293125__A0A374BQ34__DW917_14250
ERR1913226.578420__1.578420	46228__V8BM45__DXD17_14355
ERR1913226.578581__1.578581	46228__B5CQX4__RUMLAC_01871
ERR1913226.578589__1.578589	820__A0A174CG08__DXB62_13215
ERR1913226.578672__1.578672	1124654__GeneID:3952984
ERR1913226.578708__1.578708	1262761__R6R2P8__BN606_01616
ERR1913226.578728__1.578728	1501391__GCA_000786575.1_00050
ERR1913226.579156__1.579156	39491__A0A395UZ82__EUR_31520
ERR1913226.579260__1.579260	1501391__GCA_000786575.1_00146
ERR1913226.579633__1.579633	165179__D1PHC0__PREVCOP_06640
ERR1913226.579724__1.579724	301301__A0A395V4X8__ERS852391_01546
ERR1913226.579826__1.579826	246787__R6LGA6__tmoS_11
ERR1913226.579861__1.579861	1501391__GCA_000786575.1_00115
ERR1913226.580036__1.580036	39485__C4Z6J7__ERS852492_02047
ERR1913226.580054__1.580054	28116__E5C5U2__HMPREF2532_02418
ERR1913226.579970__1.579970	165179__D1PCL6__DXB80_13435
ERR1913226.580061__1.580061	39485__C4Z208__ywiB
ERR1913226.580124__1.580124	40520__R7DB69__lgt_1
ERR1913226.580140__1.580140	1262911__R6GTZ0__BN557_01437
ERR1913226.580314__1.580314	820__A0A3E4IBC1__M094_0628
ERR1913226.580423__1.580423	1262911__R6H174__BN557_01246
ERR1913226.580559__1.580559	28118__R6FZD6__NCTC10826_00006
ERR1913226.580871__1.580871	1262911__R6H2J2__BN557_01228
ERR1913226.580829__1.580829	39485__A0A1Q6PHM3__ERS852490_03067
ERR1913226.580916__1.580916	214856__R5UN64__ERS852447_02669
ERR1913226.581170__1.581170	39485__C4Z1J7__ERS852490_01574
ERR1913226.581158__1.581158	39485__A0A174ZNZ2__ERS852492_02345
ERR1913226.581351__1.581351	1262700__R5XC07__BN695_01332
ERR1913226.581593__1.581593	156456__G9YIG0__HMPREF0080_01452
ERR1913226.581870__1.581870	1263000__R5EVY6__BN466_01709
ERR1913226.582003__1.582003	28118__F9Z857__DER54_07670
ERR1913226.582015__1.582015	166486__D4KXA3__ROSINTL182_05894
ERR1913226.582222__1.582222	1262911__R6H174__BN557_01246
ERR1913226.582242__1.582242	46228__V8C7P7__HMPREF1202_01523
ERR1913226.582788__1.582788	239935__A0A2N8ITX2__CXT86_11265
ERR1913226.582741__1.582741	853__A0A174C5M1__CGS58_04460
ERR1913226.583192__1.583192	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913226.583430__1.583430	820__A0A3E4WCC2__lptB_1
ERR1913226.583596__1.583596	28118__F9ZCN1__B5F99_10605
ERR1913226.583603__1.583603	1897011__A0A1Q6RF49__BHW41_03110
ERR1913226.583665__1.583665	1160721__A0A1C6DCM8__RBI_I01997
ERR1913226.584292__1.584292	1262911__R6GMH5__BN557_00511
ERR1913226.584986__1.584986	39485__A0A174YMI9__cph2_5
ERR1913226.585201__1.585201	820__R9I2U8__DXC68_09590
ERR1913226.585301__1.585301	820__A0A3E4VZY4__ERS852554_01211
ERR1913226.585309__1.585309	165179__A0A3E5DY64__CFT61_10025
ERR1913226.585470__1.585470	1501391__GCA_000786575.1_00006
ERR1913226.585519__1.585519	820__A0A3E4VXP2__yesR
ERR1913226.585521__1.585521	820__A0A139K5A6__DXB48_12175
ERR1913226.585802__1.585802	39485__A0A174Z2N7__EUBELI_02062
ERR1913226.585774__1.585774	88431__A0A174MAX1__ERS852423_01871
ERR1913226.585916__1.585916	820__A0A139JUD3__DXC91_19380
ERR1913226.586073__1.586073	1262736__R5Y2K8__BN496_01061
ERR1913226.586297__1.586297	820__A0A174CG08__DXB62_13215
ERR1913226.586157__1.586157	1262988__R7MZP9__BN816_01364
ERR1913226.586492__1.586492	47678__R5UAG4__DW706_17045
ERR1913226.586454__1.586454	1262911__R6GT76__BN557_01150
ERR1913226.586805__1.586805	46228__B5CP96__RUMLAC_01287
ERR1913226.586850__1.586850	301301__A0A395VFD3__ERS852391_02492
ERR1913226.587110__1.587110	28116__A0A1G8H1M8__DXF98_11065
ERR1913226.587173__1.587173	1501391__GCA_000786575.1_00141
ERR1913226.587197__1.587197	1262761__R6RU22__BN606_01110
ERR1913226.587269__1.587269	384639__GCA_003096855.1_00980
ERR1913226.587318__1.587318	39485__C4Z0K2__ERS852490_00991
ERR1913226.587569__1.587569	1160721__W0U3C6__BHW50_11080
ERR1913226.587652__1.587652	1263006__R6LKC6__BN515_02058
ERR1913226.587743__1.587743	1262761__R6QN98__BN606_00094
ERR1913226.588317__1.588317	820__A7V470__HMPREF1072_02076
ERR1913226.588391__1.588391	1262736__R5Y8Z5__BN496_01182
ERR1913226.588770__1.588770	487174__R5FMM3__DDY40_00820
ERR1913226.588755__1.588755	28116__A0A139LD88__CUY_2408
ERR1913226.588827__1.588827	40518__R5DU92__DXD93_03170
ERR1913226.588830__1.588830	39488__A0A374MV67__DXD91_15895
ERR1913226.588869__1.588869	239935__A0A2N8IRL2__CXU06_01170
ERR1913226.588951__1.588951	2293125__A0A374BVX3__DW917_12740
ERR1913226.588924__1.588924	1262911__R6GR13__BN557_00618
ERR1913226.588984__1.588984	820__R7E9Z4__DXC68_06065
ERR1913226.589209__1.589209	1501391__GCA_000786575.1_00123
ERR1913226.589282__1.589282	2293125__A0A374BSW4__DW917_13420
ERR1913226.589494__1.589494	544645__A0A1U7LBK0__DXC42_07670
ERR1913226.589554__1.589554	853__A0A2A7ATM9__DWZ89_13645
ERR1913226.589713__1.589713	28118__F9ZAB4__B5F93_06270
ERR1913226.589787__1.589787	165179__A0A3E5A554__DXB80_13805
ERR1913226.589928__1.589928	1262889__R7HBQ2__BN634_01539
ERR1913226.590224__1.590224	820__A0A139JY23__B5G17_06330
ERR1913226.590543__1.590543	1262988__R7N3Z1__BN816_00044
ERR1913226.590804__1.590804	1628085__A0A1C6HK19__C7386_11819
ERR1913226.590838__1.590838	1262761__R6QUS0__BN606_00152
ERR1913226.590874__1.590874	820__A0A174CK74__DXB48_07060
ERR1913226.590923__1.590923	47678__A5ZHJ2__DXB67_12405
ERR1913226.591025__1.591025	2293125__A0A374BUM7__DW917_12980
ERR1913226.591069__1.591069	556259__E5C6L5__BSGG_0298
ERR1913226.591155__1.591155	2293125__A0A374BQ34__DW917_14250
ERR1913226.591221__1.591221	239935__R6J776__CXU07_02355
ERR1913226.591394__1.591394	820__A0A374QGD2__ERS852421_02382
ERR1913226.591928__1.591928	2293125__A0A374BZ93__DW917_11205
ERR1913226.591863__1.591863	1262889__R7HAC7__BN634_01118
ERR1913226.592430__1.592430	1407493__GeneID:17503237
ERR1913226.592457__1.592457	2293125__A0A374CHQ0__DW917_02295
ERR1913226.592462__1.592462	820__A0A173YYG4__evgS_3
ERR1913226.592539__1.592539	39492__D4JT87__clpC
ERR1913226.592560__1.592560	165179__A0A3E5AHY4__CFT61_07675
ERR1913226.592491__1.592491	2293125__A0A374BUM7__DW917_12980
ERR1913226.592695__1.592695	820__A0A3E4G3J9__ERS852459_02265
ERR1913226.592716__1.592716	1262761__R6QND7__BN606_00927
ERR1913226.592877__1.592877	1262761__R6RU22__BN606_01110
ERR1913226.593158__1.593158	1262761__R6R8B3__BN606_01478
ERR1913226.593265__1.593265	116085__D4J6M2__cobT
ERR1913226.593480__1.593480	2293125__A0A374CMK5__DW917_00330
ERR1913226.593561__1.593561	39492__D4JVT0__EUBSIR_00059
ERR1913226.593619__1.593619	2293125__A0A374BZ50__DW917_11090
ERR1913226.593748__1.593748	39485__A0A1Q6PGI3__ERS852492_02967
ERR1913226.593986__1.593986	2293125__A0A374CFW0__DW917_03450
ERR1913226.593993__1.593993	33039__D4M6I1__nadB_2
