ERR1913286.212__1.212	33043__A0A173WWJ5__ERS852386_00339
ERR1913286.438507__1.438507	165179__D1PDJ4__DXB80_08505
ERR1913286.438529__1.438529	28052__A0A174IBJ6__luxQ_1
ERR1913286.438571__1.438571	384638__B7AT14__BACPEC_01282
ERR1913286.438974__1.438974	823__A0A078S9Y4__M096_1441
ERR1913286.438994__1.438994	165179__D1PAV8__DXB80_13055
ERR1913286.439332__1.439332	239935__A0A2N8HEH9__CXU07_11710
ERR1913286.439397__1.439397	33043__A0A173QXC2__hyaD_1
ERR1913286.439368__1.439368	239935__R7DVL7__CXT93_01180
ERR1913286.439457__1.439457	28052__A0A174KBY5__slyD
ERR1913286.439527__1.439527	46503__B7BG40__ERS852463_01623
ERR1913286.440025__1.440025	165179__A0A3E5AER8__DXB80_07075
ERR1913286.440034__1.440034	39491__A0A173TM76__DXB72_10535
ERR1913286.440061__1.440061	706562__GCA_900112995.1_01591
ERR1913286.440738__1.440738	301302__R5UMU6__M72_26821
ERR1913286.440922__1.440922	28118__F9Z6F1__DER54_08365
ERR1913286.441374__1.441374	1263005__R6FL42__BN497_00050
ERR1913286.441580__1.441580	40518__R5E4V5__RBL263_01242
ERR1913286.441655__1.441655	214856__R6XS46__ERS852559_00812
ERR1913286.441716__1.441716	165179__R6CNX7__DXB80_02200
ERR1913286.441722__1.441722	47678__R5U9M8__CGC64_07665
ERR1913286.441732__1.441732	39491__A0A395ZDC6__addB
ERR1913286.442022__1.442022	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913286.442074__1.442074	165179__D1PE06__DXC61_05975
ERR1913286.442124__1.442124	28117__B0N028__BHV66_05935
ERR1913286.442175__1.442175	239935__R6JFR5__CXT84_04850
ERR1913286.442307__1.442307	40518__R5DRG6__ylbJ
ERR1913286.442707__1.442707	165179__A0A3E5EB26__CFT61_02800
ERR1913286.442721__1.442721	301301__A0A395V747__ERS852391_01535
ERR1913286.442727__1.442727	33039__A0A173VTT4__frdB_1
ERR1913286.442732__1.442732	649756__B0P1J9__ERS852425_02604
ERR1913286.442856__1.442856	39491__A0A396FF66__DXD95_01810
ERR1913286.443016__1.443016	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913286.443075__1.443075	165179__A0A3E5EBV0__DXB80_01745
ERR1913286.443108__1.443108	40518__R5DN55__RBATCC27255_01652
ERR1913286.443126__1.443126	165179__R6C3K4__PREVCOP_05795
ERR1913286.443128__1.443128	1262986__R5ZWR2__BN492_01638
ERR1913286.443143__1.443143	165179__A0A3E5DPL2__PREVCOP_05023
ERR1913286.443236__1.443236	165179__R6B8D8__DXC61_09245
ERR1913286.443470__1.443470	165179__A0A3E5E4P9__DXB80_07930
ERR1913286.443493__1.443493	165179__D1PAR0__DXB80_01190
ERR1913286.443566__1.443566	33043__A0A174E9K7__sigF_1
ERR1913286.443570__1.443570	33043__A0A173XM20__ERS852445_01573
ERR1913286.443609__1.443609	301302__A0A173RJJ7__ERS852420_00620
ERR1913286.443662__1.443662	165179__A0A174IPI3__CFT61_10940
ERR1913286.443836__1.443836	100886__A0A174LEG5__ERS852383_05606
ERR1913286.443895__1.443895	165179__D1PHV2__PREVCOP_06822
ERR1913286.444313__1.444313	46503__R6Y837__PARMER_03866
ERR1913286.444317__1.444317	165179__A0A174SA26__PREVCOP_05758
ERR1913286.444299__1.444299	28117__B0MWP2__ALIPUT_01468
ERR1913286.444339__1.444339	28117__B0N028__BHV66_05935
ERR1913286.444396__1.444396	165179__A0A3E5A5E5__DXC61_13965
ERR1913286.444541__1.444541	39492__D4JRP0__yetF
ERR1913286.444551__1.444551	33043__A0A173ZEP9__araC_1
ERR1913286.444653__1.444653	39488__A0A374NVK2__DXD91_03585
ERR1913286.444940__1.444940	39492__D4JV70__EUBSIR_01253
ERR1913286.445116__1.445116	39492__R6RYB8__ERS852540_00322
ERR1913286.445124__1.445124	165179__A0A174K816__DXB80_12000
ERR1913286.445203__1.445203	165179__A0A3E5ED28__PREVCOP_06655
ERR1913286.445217__1.445217	1262911__R6GLX2__BN557_01573
ERR1913286.445385__1.445385	165179__W1I4H6__DXB80_13655
ERR1913286.445495__1.445495	410072__A0A173U3R3__COPCOM_01404
ERR1913286.445713__1.445713	165179__A0A3E5EB26__CFT61_02800
ERR1913286.445895__1.445895	1262911__R6H1K1__BN557_00910
ERR1913286.445952__1.445952	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913286.445963__1.445963	46503__K5ZLB1__DD461_01070
ERR1913286.445927__1.445927	165179__A0A3E5DX15__DXC61_00345
ERR1913286.446020__1.446020	1262911__R6GP42__BN557_00222
ERR1913286.446029__1.446029	28117__B0MXU6__ALIPUT_01958
ERR1913286.446367__1.446367	165179__A0A3E5A832__DXC61_13685
ERR1913286.446448__1.446448	39486__R6SRP8__DXD84_13920
ERR1913286.446621__1.446621	28117__B0MT38__BHV66_05995
ERR1913286.446703__1.446703	239935__A0A2N8IMC9__CXU09_02095
ERR1913286.446811__1.446811	39485__C4Z1W5__ERS852492_01530
ERR1913286.446879__1.446879	165179__A0A3E4SB80__DXC61_12880
ERR1913286.447229__1.447229	39491__A0A395ZDC6__addB
ERR1913286.447309__1.447309	40518__R5E2F3__artQ
ERR1913286.447411__1.447411	853__A0A2A7B9I6__DW855_13690
ERR1913286.447651__1.447651	1897011__A0A1Q6RJ96__BHW41_00350
ERR1913286.447686__1.447686	1262736__R5Y285__BN496_00964
ERR1913286.447791__1.447791	39491__A0A173TAZ5__DXB99_09520
ERR1913286.447995__1.447995	165179__D1PES9__DXB80_11585
ERR1913286.448088__1.448088	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913286.448138__1.448138	1262924__R7HM17__BN585_01318
ERR1913286.448180__1.448180	1262803__R6NJG8__BN649_00067
ERR1913286.448319__1.448319	40518__R5DZM6__lytR_3
ERR1913286.448399__1.448399	626940__R6WLE3__BN587_00781
ERR1913286.448682__1.448682	1262736__R5YX38__BN496_01145
ERR1913286.448741__1.448741	46228__B5CSA1__HMPREF1202_00678
ERR1913286.448791__1.448791	33039__A0A173VTT4__frdB_1
ERR1913286.448817__1.448817	40518__R5DME2__DXD86_07315
ERR1913286.448862__1.448862	47678__A5ZGW9__HMPREF1061_01068
ERR1913286.448907__1.448907	39492__D4JUL3__nreC_2
ERR1913286.449078__1.449078	1680__A0A374QDL4__LMG18897_0432
ERR1913286.449107__1.449107	165179__A0A3E5A554__DXB80_13805
ERR1913286.449229__1.449229	1262743__R5C0J9__BN727_00193
ERR1913286.449363__1.449363	394340__clpB_1
ERR1913286.449435__1.449435	706562__GCA_900112995.1_01883
ERR1913286.449482__1.449482	165179__D1PGD2__DXC61_10875
ERR1913286.449554__1.449554	165179__D1PHV2__PREVCOP_06822
ERR1913286.449534__1.449534	39491__C4ZCH3__EUR_17560
ERR1913286.449857__1.449857	165179__A0A3E5EB26__CFT61_02800
ERR1913286.449896__1.449896	1262803__R6P3W2__BN649_00055
ERR1913286.450014__1.450014	33043__A0A173SQ62__ERS852575_01610
ERR1913286.450051__1.450051	301302__A0A0M6WKN8__M72_27741
ERR1913286.450259__1.450259	165179__D1PES9__DXB80_11585
ERR1913286.450303__1.450303	1262924__R7HKX0__BN585_01279
ERR1913286.450489__1.450489	39485__R5ZRN3__ERS852490_00208
ERR1913286.450608__1.450608	33043__A0A174BZH6__ERS852400_01477
ERR1913286.450610__1.450610	39492__D4JTF2__mutS2
ERR1913286.450850__1.450850	1263000__R5ECB4__BN466_00733
ERR1913286.451091__1.451091	239935__A0A2N8IVR0__CXT87_07115
ERR1913286.451131__1.451131	187979__A0A173Y1G6__ERS852385_00801
ERR1913286.451528__1.451528	74426__sugC
ERR1913286.451601__1.451601	187979__A0A174A2K7__yjcC_2
ERR1913286.451594__1.451594	1150298__A0A174S2H3__spoIIQ
ERR1913286.451754__1.451754	239935__A0A2N8IVR0__CXT87_07115
ERR1913286.451805__1.451805	165179__A0A174SA26__PREVCOP_05758
ERR1913286.451939__1.451939	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913286.452085__1.452085	33043__A0A173YLD4__ERS852575_00535
ERR1913286.452275__1.452275	40518__R5DXI4__DXD86_07420
ERR1913286.452363__1.452363	33043__A0A173WXS1__ERS852445_00262
ERR1913286.452464__1.452464	1262911__R6H2J2__BN557_01228
ERR1913286.452572__1.452572	165179__A0A3E5DRF6__DXC61_00200
ERR1913286.452912__1.452912	165179__D1PES9__DXB80_11585
ERR1913286.452960__1.452960	853__A0A3E2U7E6__ERS852582_01640
ERR1913286.453067__1.453067	165179__A0A3E5EBQ2__DXC61_01930
ERR1913286.453179__1.453179	165179__A0A229I1J2__DXB80_03950
ERR1913286.453193__1.453193	165179__R6XLJ7__CFT61_06250
ERR1913286.453393__1.453393	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913286.453450__1.453450	28052__R7NB18__tcrY_2
ERR1913286.453513__1.453513	39492__D4JUJ6__ssuB_2
ERR1913286.453630__1.453630	39491__D4JM76__DXC13_02150
ERR1913286.453662__1.453662	165179__R6XLJ7__CFT61_06250
ERR1913286.453667__1.453667	28116__C3R0H4__DXD69_00155
ERR1913286.453908__1.453908	1262945__R6YRW5__BN600_00530
ERR1913286.453875__1.453875	649756__E5VJS7__mecR1_3
ERR1913286.453919__1.453919	165179__A0A3E5E7J5__DXC61_10360
ERR1913286.454276__1.454276	40518__R5DS37__DXD93_01965
ERR1913286.454468__1.454468	187979__A0A174CED3__gspF
ERR1913286.454676__1.454676	239935__A0A2N8I3G2__CXT89_00720
ERR1913286.454706__1.454706	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913286.454772__1.454772	46503__R6Y901__HMPREF1060_01754
ERR1913286.454880__1.454880	357276__I8WAB8__B5F00_08100
ERR1913286.454886__1.454886	165179__A0A3E5DZD8__DXB80_09150
ERR1913286.454977__1.454977	1262889__R7H801__BN634_02373
ERR1913286.455034__1.455034	39491__A0A396FJV5__ERS852417_00035
ERR1913286.455071__1.455071	33043__A0A174BBC4__ERS852575_02261
ERR1913286.455090__1.455090	39491__A0A396FEV5__EUR_24750
ERR1913286.455201__1.455201	39492__D4JS87__EUBSIR_02328
ERR1913286.455262__1.455262	458033__GCA_001482755.1_02203
ERR1913286.455475__1.455475	165179__D1PCU4__PREVCOP_05029
ERR1913286.455507__1.455507	187979__A0A173ZJ35__ERS852385_01288
ERR1913286.455808__1.455808	410072__A0A3E4GT65__ERS852574_02325
ERR1913286.455891__1.455891	28052__R7N6Q7__rafA
ERR1913286.456210__1.456210	290052__A0A0V8QC42__ASU35_14215
ERR1913286.456248__1.456248	165179__A0A3E5E7J5__DXC61_10360
ERR1913286.456330__1.456330	165179__A0A3E4SG51__DXC61_10575
ERR1913286.456373__1.456373	626940__E8LGM9__DCQ00_02420
ERR1913286.456399__1.456399	1150298__A0A174SZP5__ERS852535_02327
ERR1913286.456457__1.456457	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913286.456531__1.456531	165179__A0A3E5EAM8__PREVCOP_03872
ERR1913286.456563__1.456563	239935__A0A2N8HZW2__A4V05_11120
ERR1913286.456578__1.456578	28052__A0A3D5LTL5__ERS852451_01439
ERR1913286.456542__1.456542	165179__A0A174K816__DXB80_12000
ERR1913286.456765__1.456765	165179__D1PCL6__DXB80_13435
ERR1913286.456857__1.456857	1150298__A0A174QNY9__ERS852498_01028
ERR1913286.457093__1.457093	33043__A0A173X520__ERS852575_01617
ERR1913286.457339__1.457339	165179__A0A3E5AE59__DXC61_12885
ERR1913286.457372__1.457372	165179__D1P9T6__PREVCOP_04016
ERR1913286.457614__1.457614	1262743__R5C8H2__BN727_00054
ERR1913286.457773__1.457773	1150298__A0A174QZ74__ERS852406_01102
ERR1913286.457888__1.457888	39491__D4JMW8__ERS852497_01971
ERR1913286.457957__1.457957	165179__A0A3E5DZD8__DXB80_09150
ERR1913286.457981__1.457981	1263107__GCA_000436995.1_00017
ERR1913286.458057__1.458057	410072__A0A174DJM1__DXD67_05275
ERR1913286.458164__1.458164	39492__D4JUS6__accD5
ERR1913286.458431__1.458431	33043__D5HIA8__ERS852575_01867
ERR1913286.458517__1.458517	165179__A0A174SA26__PREVCOP_05758
ERR1913286.458556__1.458556	165179__A0A3E5E7Z8__PREVCOP_06480
ERR1913286.458707__1.458707	820__A0A3E4VZS7__DXC07_14435
ERR1913286.458849__1.458849	165179__A0A3E4SJT2__PREVCOP_04897
ERR1913286.459141__1.459141	357276__E5UTL1__HMPREF1065_03551
ERR1913286.459176__1.459176	853__A0A2A7A4A9__C4N21_14870
ERR1913286.459336__1.459336	239935__A0A2N8HHB6__B5G29_11500
ERR1913286.459479__1.459479	301302__R5ULM4__M72_25081
ERR1913286.459507__1.459507	487174__K0X694__DIT83_09060
ERR1913286.459593__1.459593	46228__V8C3F9__HMPREF1202_01724
ERR1913286.459886__1.459886	1262736__R5Y3F9__BN496_01794
ERR1913286.459938__1.459938	1628085__A0A1C5ZB13__C7386_10421
ERR1913286.459960__1.459960	39491__A0A395V5L2__ERE_28270
ERR1913286.460082__1.460082	165179__D1PCL6__DXB80_13435
ERR1913286.460206__1.460206	165179__A0A3E5E2S3__DXB80_03455
ERR1913286.460175__1.460175	1262911__R6H212__BN557_01031
ERR1913286.460377__1.460377	384639__GCA_003096855.1_01171
ERR1913286.460394__1.460394	39491__A0A395ZM93__DXD13_03490
ERR1913286.460453__1.460453	1262803__R6P408__BN649_00941
ERR1913286.460582__1.460582	74426__nrdD
ERR1913286.460638__1.460638	33043__D5HHY4__luxQ_1
ERR1913286.460866__1.460866	47678__R5U9X5__BACCAC_01339
ERR1913286.460958__1.460958	360807__A0A1Q6T542__RIL183_02161
ERR1913286.460997__1.460997	821__A0A174NVL6__NCTC10583_01782
ERR1913286.461347__1.461347	853__A0A3E2V168__FAEPRAM212_00929
ERR1913286.461373__1.461373	165179__D1PGU8__PREVCOP_06463
ERR1913286.461446__1.461446	626940__E8LC65__HMPREF9443_00431
ERR1913286.462147__1.462147	165179__A0A3E5E920__DXB80_11625
ERR1913286.462157__1.462157	360807__A0A1Q6T8A0__mepA_13
ERR1913286.462297__1.462297	165179__A0A3E5AE59__DXC61_12885
ERR1913286.462361__1.462361	33043__A0A174DSP1__essC_2
ERR1913286.462458__1.462458	28052__R6KXH8__ERS852451_00168
ERR1913286.462635__1.462635	626940__E8LE82__BN587_00770
ERR1913286.462819__1.462819	165179__A0A3E5A554__DXB80_13805
ERR1913286.462742__1.462742	544645__A0A1Y3W252__DXC42_17140
ERR1913286.462760__1.462760	28052__R7NCE8__cph2_1
ERR1913286.462899__1.462899	33043__A0A174ADZ1__dcuS_1
ERR1913286.463162__1.463162	360807__A0A1Q6TAV1__ROSEINA2194_00431
ERR1913286.463354__1.463354	33043__D5HIL8__ERS852386_02009
ERR1913286.463394__1.463394	745368__A0A1T4X3J8__SAMN02745178_01380
ERR1913286.463653__1.463653	40518__R5DP21__RBATCC27255_00348
ERR1913286.463623__1.463623	338188__C9KT47__BACFIN_05483
ERR1913286.463682__1.463682	39491__A0A395UYA6__EUBREC_0408
ERR1913286.463771__1.463771	46503__K5ZAK9__NCTC13052_03308
ERR1913286.463895__1.463895	28052__A0A174LHM7__ERS852451_02351
ERR1913286.463841__1.463841	165179__A0A3E5ECZ7__PREVCOP_06006
ERR1913286.464013__1.464013	239935__B2URG6__CXU02_00030
ERR1913286.464029__1.464029	40520__A0A3E5EMQ4__DXD81_00675
ERR1913286.464054__1.464054	39491__A0A396FEV5__EUR_24750
ERR1913286.464141__1.464141	33043__A0A174AEP1__apr
ERR1913286.464150__1.464150	165179__A0A174K816__DXB80_12000
ERR1913286.464184__1.464184	165179__A0A3E5EB26__CFT61_02800
ERR1913286.464304__1.464304	47678__R5U3L4__C5Z00_12600
ERR1913286.464324__1.464324	40518__R5DME2__DXD86_07315
ERR1913286.464438__1.464438	47678__R5USS6__C5Z00_03300
ERR1913286.464460__1.464460	88431__A0A174RV97__ERS852573_01297
ERR1913286.464545__1.464545	165179__D1P8Q2__trpF
ERR1913286.464554__1.464554	33043__D5HGR0__rpfC_2
ERR1913286.464557__1.464557	165179__A0A3E5AI09__DXC61_05815
ERR1913286.464659__1.464659	165179__A0A3E4SDC8__PREVCOP_05706
ERR1913286.464670__1.464670	165179__D1P8K1__DXB80_06045
ERR1913286.464704__1.464704	823__A0A078SBS5__DXC05_19830
ERR1913286.464775__1.464775	820__A0A3E4PYB0__yejM
ERR1913286.465036__1.465036	39491__A0A395ZKJ0__DXD13_11010
ERR1913286.465119__1.465119	28052__A0A174P635__ERS852499_02418
ERR1913286.465204__1.465204	487175__F3QK74__HMPREF9439_01332
ERR1913286.465551__1.465551	46503__A7ADV9__ERS852463_01504
ERR1913286.465617__1.465617	239935__A0A2N8HPS5__Amuc_0950
ERR1913286.465644__1.465644	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913286.465679__1.465679	853__A0A2A7B1Y7__C7K05_11930
ERR1913286.465750__1.465750	1262911__R6H1J5__BN557_00905
ERR1913286.465756__1.465756	39492__D4JRZ7__smc
ERR1913286.465819__1.465819	360807__A0A1Q6T5F1__fliF
ERR1913286.465957__1.465957	165179__D1P9T6__PREVCOP_04016
ERR1913286.465965__1.465965	33043__A0A174AEP1__apr
ERR1913286.466080__1.466080	165179__R6CNX7__DXB80_02200
ERR1913286.466110__1.466110	165179__A0A3E5E0D5__PREVCOP_04205
ERR1913286.466179__1.466179	165179__A0A3E5EDV6__DXC61_03365
ERR1913286.466212__1.466212	165179__A0A3E5E3D6__DXC61_05750
ERR1913286.466291__1.466291	1262803__R6P0X6__BN649_00395
ERR1913286.466335__1.466335	1262911__R6H174__BN557_01246
ERR1913286.466596__1.466596	1262911__R6GI18__BN557_01377
ERR1913286.466619__1.466619	823__D7IV95__DXC05_09565
ERR1913286.466640__1.466640	239935__A0A2N8IMC3__CXT96_03840
ERR1913286.466645__1.466645	165179__D1PAN5__PREVCOP_04260
ERR1913286.466702__1.466702	357276__I9R002__HMPREF1064_01826
ERR1913286.466770__1.466770	165179__A0A174K816__DXB80_12000
ERR1913286.466807__1.466807	39491__C4ZAT2__ERE_28440
ERR1913286.466892__1.466892	165179__A0A3E5EBM5__DXC61_02170
ERR1913286.467107__1.467107	46228__B5CQX4__RUMLAC_01871
ERR1913286.467139__1.467139	165179__D1PAN5__PREVCOP_04260
ERR1913286.467341__1.467341	33043__D5HGZ8__nnr
ERR1913286.467351__1.467351	165179__D1PDG7__DXB80_11180
ERR1913286.467291__1.467291	39486__B0G239__DXD82_09385
ERR1913286.467491__1.467491	47678__A5ZF31__DXB67_11050
ERR1913286.467594__1.467594	39491__A0A396FUZ3__phoR_1
ERR1913286.467538__1.467538	165179__A0A3E5A5E5__DXC61_13965
ERR1913286.467622__1.467622	165179__A0A3E5E2V4__PREVCOP_05070
ERR1913286.467668__1.467668	357276__I8WPR6__EL88_06675
ERR1913286.467674__1.467674	33043__A0A173YPE0__thiD
ERR1913286.467696__1.467696	28117__B0MXI8__BHV66_08505
ERR1913286.467901__1.467901	1680__A0A087DHN0__AL0462_1532
ERR1913286.468050__1.468050	39485__A0A174ZUV1__tig_3
ERR1913286.468069__1.468069	165179__A0A174WRI9__DXB80_04870
ERR1913286.468083__1.468083	1150298__A0A174E950__ERS852498_02096
ERR1913286.468332__1.468332	853__A0A3E2U7E6__ERS852582_01640
ERR1913286.468299__1.468299	33043__A0A174B7D6__ERS852400_01331
ERR1913286.468503__1.468503	2293125__A0A374CA90__DW917_07695
ERR1913286.468586__1.468586	239935__A0A2N8IRW0__A4V05_11620
ERR1913286.468659__1.468659	1262803__R6NXS7__BN649_00953
ERR1913286.468687__1.468687	1261635__A0A1Q9J110__BIV16_13990
ERR1913286.469033__1.469033	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913286.469037__1.469037	1263000__R5F0P4__BN466_00308
ERR1913286.469057__1.469057	165179__A0A3E5EDP4__DXB80_05800
ERR1913286.469063__1.469063	853__E2ZJT1__C4N23_03535
ERR1913286.469226__1.469226	328814__GCA_004558275.1_00296
ERR1913286.469396__1.469396	28117__B0MWP2__ALIPUT_01468
ERR1913286.469432__1.469432	1262803__R6PRI7__BN649_00531
ERR1913286.469569__1.469569	360807__C0FSM3__ROSEINA2194_01739
ERR1913286.469700__1.469700	39492__B0MPL6__EUBSIR_01779
ERR1913286.469660__1.469660	1262743__R5C8H2__BN727_00054
ERR1913286.469742__1.469742	239935__A0A2N8HQY4__CXT99_03170
ERR1913286.469783__1.469783	28117__R7JIY2__BHV66_06465
ERR1913286.469886__1.469886	165179__A0A3E5E7D5__PREVCOP_03928
ERR1913286.470063__1.470063	28117__B0MXU0__BHV66_07550
ERR1913286.470105__1.470105	1308__A0A2X3V4X8__Y016_09410
ERR1913286.470112__1.470112	165179__A0A174W369__PREVCOP_04548
ERR1913286.470292__1.470292	1263011__R6EID3__BN553_01066
ERR1913286.470293__1.470293	239935__A0A2N8HPX2__CXT90_09930
ERR1913286.470468__1.470468	165179__A0A3E5E2C8__folA
ERR1913286.470524__1.470524	853__A0A3E2U7E6__ERS852582_01640
ERR1913286.470637__1.470637	39492__D4JQM9__EUBSIR_00669
ERR1913286.470767__1.470767	39491__A0A3E4E7C5__DXB69_03255
ERR1913286.470769__1.470769	33043__A0A174EI47__inlJ
ERR1913286.470864__1.470864	360807__A0A396AIG0__ROSEINA2194_00358
ERR1913286.471018__1.471018	649756__A0A173SJN7__fgs_1
ERR1913286.470982__1.470982	39491__A0A396FJJ9__DXB76_11995
ERR1913286.471130__1.471130	39491__A0A396FJA4__DXB99_05435
ERR1913286.471155__1.471155	820__R9HUV5__HMPREF2141_02582
ERR1913286.471253__1.471253	165179__R6BQP4__DXC61_02015
ERR1913286.471305__1.471305	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913286.471401__1.471401	360807__A0A173WYK2__ROSEINA2194_02795
ERR1913286.471413__1.471413	46503__A7AII9__ERS852463_00984
ERR1913286.471373__1.471373	33043__A0A173SS22__yceG
ERR1913286.471480__1.471480	907__G0VQ84__SAMN02910401_01622
ERR1913286.471519__1.471519	39492__A0A174ZG93__EUBSIR_00254
ERR1913286.471555__1.471555	487175__R5EH26__HMPREF9439_02210
ERR1913286.471560__1.471560	28117__B0MUX4__ALIPUT_00911
ERR1913286.471706__1.471706	39491__C4Z8S1__DXB76_06750
ERR1913286.471763__1.471763	46228__B5CSA1__HMPREF1202_00678
ERR1913286.471969__1.471969	28052__R7NAP6__ERS852499_01969
ERR1913286.472111__1.472111	165179__A0A174IHQ2__PREVCOP_05478
ERR1913286.472261__1.472261	46503__R6WWH2__DXB85_00365
ERR1913286.472390__1.472390	165179__D1PE06__DXC61_05975
ERR1913286.472507__1.472507	1263011__R6E2H3__BN553_00224
ERR1913286.472706__1.472706	39491__A0A395V5R3__EUBREC_1883
ERR1913286.472748__1.472748	165179__A0A3E5DN34__DXC61_07865
ERR1913286.472855__1.472855	165179__R6CNX7__DXB80_02200
ERR1913286.473019__1.473019	33043__A0A174E9K7__sigF_1
ERR1913286.473142__1.473142	1262911__R6GPM2__BN557_00937
ERR1913286.473322__1.473322	360807__A0A0M6WXP1__ROSEINA2194_03223
ERR1913286.473414__1.473414	165179__A0A3E5E2B6__DXB80_02820
ERR1913286.473909__1.473909	33043__A0A174DAG8__dapF
ERR1913286.473924__1.473924	165179__D1P9T6__PREVCOP_04016
ERR1913286.473866__1.473866	39486__B0G8E4__HMPREF9457_00475
ERR1913286.473974__1.473974	357276__I9R002__HMPREF1064_01826
ERR1913286.474156__1.474156	239935__A0A3F3K9J9__DEF40_00940
ERR1913286.474174__1.474174	165179__A0A229I4J4__proA
ERR1913286.474481__1.474481	39491__A0A396FPV7__ERS852580_01177
ERR1913286.474561__1.474561	853__A0A173RZ39__C4N22_01650
ERR1913286.474618__1.474618	626940__A0A3C1IMH5__HMPREF9443_00013
ERR1913286.474634__1.474634	39491__A0A395UZZ5__htpG_1
ERR1913286.475110__1.475110	39492__D4JUL3__nreC_2
ERR1913286.475132__1.475132	1262746__R5SL43__BN750_00182
ERR1913286.475186__1.475186	165179__A0A3E5AHK7__PREVCOP_04289
ERR1913286.475151__1.475151	853__A0A173YYY4__DWZ04_09420
ERR1913286.475334__1.475334	1262924__R7HTA4__BN585_00391
ERR1913286.475403__1.475403	165179__D1PAJ7__PREVCOP_04222
ERR1913286.475504__1.475504	33043__D5HFA0__glfT2
ERR1913286.475583__1.475583	1262924__R7HTA4__BN585_00391
ERR1913286.475694__1.475694	28052__A0A174JNB2__ERS852499_01122
ERR1913286.475730__1.475730	1262803__R6PNM6__BN649_02050
ERR1913286.475734__1.475734	301302__A0A0M6WVU2__M72_13551
ERR1913286.475822__1.475822	165179__A0A3E5E189__PREVCOP_06699
ERR1913286.475923__1.475923	853__A0A173YYY4__DWZ04_09420
ERR1913286.476095__1.476095	165179__D1PDJ4__DXB80_08505
ERR1913286.476044__1.476044	1628085__A0A3E2XZQ1__C7386_101439
ERR1913286.476129__1.476129	165179__A0A3E5E7J5__DXC61_10360
ERR1913286.476288__1.476288	33043__A0A174BPV6__ERS852445_01773
ERR1913286.476580__1.476580	165179__D1PC26__PREVCOP_04756
ERR1913286.476782__1.476782	1680__A0A174BEE7__BSTER_1311
ERR1913286.476809__1.476809	39496__A5Z3Y7__EUBVEN_00393
ERR1913286.476843__1.476843	626940__E8LCL8__DCQ00_09880
ERR1913286.476921__1.476921	165179__A0A174UI01__DXB80_12165
ERR1913286.477081__1.477081	165179__A0A174XZU8__DXB80_12180
ERR1913286.477419__1.477419	165179__A0A174SR12__DXB80_04410
ERR1913286.477509__1.477509	165179__A0A174SR12__DXB80_04410
ERR1913286.477723__1.477723	165179__D1PAJ7__PREVCOP_04222
ERR1913286.477703__1.477703	39491__A0A395UZ89__DXB72_12805
ERR1913286.477860__1.477860	187979__A0A173ZJ35__ERS852385_01288
ERR1913286.477924__1.477924	165179__A0A174W369__PREVCOP_04548
ERR1913286.477941__1.477941	165179__R6CNX7__DXB80_02200
ERR1913286.478392__1.478392	165179__A0A3E5AGH1__DXB80_05820
ERR1913286.478507__1.478507	2293125__A0A374CA90__DW917_07695
ERR1913286.478460__1.478460	384639__GCA_003096855.1_01178
ERR1913286.478452__1.478452	360807__C0FSM3__ROSEINA2194_01739
ERR1913286.478718__1.478718	28052__A0A174MLS2__ERS852451_02445
ERR1913286.478814__1.478814	387090__S0FBZ8__BACCOPRO_01470
ERR1913286.479041__1.479041	239935__A0A2N8I694__CXU04_06245
ERR1913286.479044__1.479044	46228__V8C4T8__RUMLAC_02058
ERR1913286.479059__1.479059	1550024__G9RP69__ASJ35_11625
ERR1913286.479145__1.479145	649756__B0P1V2__ERS852475_00214
ERR1913286.479161__1.479161	165179__A0A3E5EBV0__DXB80_01745
ERR1913286.479116__1.479116	33043__D5HFD3__ybbD
ERR1913286.479236__1.479236	338188__R6S978__HMPREF1057_03708
ERR1913286.479279__1.479279	487174__K0WRZ5__HMPREF9448_02826
ERR1913286.479355__1.479355	39491__A0A173VYV1__DXC13_02710
ERR1913286.479441__1.479441	39485__C4Z6B7__EUBELI_20364
ERR1913286.479564__1.479564	357276__A0A076J726__IY41_15030
ERR1913286.479602__1.479602	40518__R5DUG7__sbcC
ERR1913286.479671__1.479671	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913286.479852__1.479852	33043__A0A173ZDC4__malL_1
ERR1913286.479902__1.479902	360807__A0A396AK01__RIL183_20461
ERR1913286.480115__1.480115	1150298__A0A174P5A3__ERS852406_00830
ERR1913286.480118__1.480118	165179__A0A3E5E3D6__DXC61_05750
ERR1913286.480243__1.480243	33043__A0A173SQ62__ERS852575_01610
ERR1913286.480264__1.480264	820__A0A3E5E0T0__ERS852554_00312
