ERR1913239.775__1.775	39485__A0A174Z2K9__ERS852490_02052
ERR1913239.1360407__1.1360407	39491__A0A174K9A3__DXB69_07785
ERR1913239.1360502__1.1360502	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913239.1360579__1.1360579	246787__A0A139L268__BcellWH2_03192
ERR1913239.1360586__1.1360586	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.1360665__1.1360665	1262911__R6GQM3__BN557_01245
ERR1913239.1360667__1.1360667	1262886__R6QAH7__BN563_01646
ERR1913239.1360903__1.1360903	394340__groL
ERR1913239.1360920__1.1360920	74426__rplS
ERR1913239.1361005__1.1361005	823__A0A174WTX5__DD466_11965
ERR1913239.1361047__1.1361047	28117__B0MVL2__BHV66_01645
ERR1913239.1361059__1.1361059	376805__F0QZX4__Bacsa_0543
ERR1913239.1361099__1.1361099	74426__nifJ
ERR1913239.1361606__1.1361606	166486__D4L2C5__ERS852572_01688
ERR1913239.1361618__1.1361618	936548__J1LM60__HMPREF1136_1962
ERR1913239.1361895__1.1361895	1897011__A0A1Q6RC30__BHW41_06700
ERR1913239.1362059__1.1362059	626929__F3PGX9__HMPREF9445_01323
ERR1913239.1362251__1.1362251	28117__B0N028__BHV66_05935
ERR1913239.1362334__1.1362334	853__A0A3E2U7E6__ERS852582_01640
ERR1913239.1362467__1.1362467	901__B6WRI9__DESPIGER_0385
ERR1913239.1362574__1.1362574	487174__K0X3L3__DDY40_11345
ERR1913239.1362699__1.1362699	1262753__R5B0C5__BN813_01872
ERR1913239.1362765__1.1362765	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.1362987__1.1362987	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.1363095__1.1363095	1501391__GCA_000786575.1_00038
ERR1913239.1363195__1.1363195	901__B6WUH5__DESPIGER_1779
ERR1913239.1363233__1.1363233	1262927__R7EX56__BN677_00089
ERR1913239.1363390__1.1363390	821__A0A395VLM8__BvMPK_3650
ERR1913239.1363563__1.1363563	357276__C3RA36__HMPREF1065_03270
ERR1913239.1363614__1.1363614	166486__D4L337__msbA_4
ERR1913239.1363939__1.1363939	901__B6WR27__lnt
ERR1913239.1363959__1.1363959	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.1364187__1.1364187	1897011__A0A1Q6RH58__BHW41_01950
ERR1913239.1364476__1.1364476	1160721__R6U7V4__BHW50_02190
ERR1913239.1364638__1.1364638	446660__GCA_003428235.1_01424
ERR1913239.1364634__1.1364634	394340__groL
ERR1913239.1364853__1.1364853	1263000__R5EFA7__BN466_01197
ERR1913239.1365041__1.1365041	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.1365078__1.1365078	1262927__R7EX56__BN677_00089
ERR1913239.1365638__1.1365638	166486__C7GCP5__ROSINTL182_07683
ERR1913239.1365750__1.1365750	29361__B6FKH5__CLONEX_00621
ERR1913239.1365926__1.1365926	216816__A0A133LQN7__BL15B_00780
ERR1913239.1366436__1.1366436	901__B6WRK3__DESPIG_00694
ERR1913239.1366461__1.1366461	1262927__R7EX56__BN677_00089
ERR1913239.1366532__1.1366532	1235835__R9LCU2__C814_02677
ERR1913239.1367216__1.1367216	166486__D4L3B1__ERS852572_03645
ERR1913239.1367384__1.1367384	853__A0A174C5M1__CGS58_04460
ERR1913239.1367779__1.1367779	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913239.1367896__1.1367896	39492__D4JRM4__tap_5
ERR1913239.1368109__1.1368109	820__A0A174QLF0__SAMN05444418_109151
ERR1913239.1368205__1.1368205	47678__R5U325__HMPREF1061_03209
ERR1913239.1368476__1.1368476	328814__GCA_004558275.1_00073
ERR1913239.1368545__1.1368545	1263000__R5ESM1__BN466_01440
ERR1913239.1368595__1.1368595	820__A0A3E4QZJ7__C801_01798
ERR1913239.1368909__1.1368909	1501391__GCA_000786575.1_00072
ERR1913239.1368912__1.1368912	1263006__R6M176__BN515_00274
ERR1913239.1369070__1.1369070	1263000__R5EKG2__BN466_02040
ERR1913239.1369210__1.1369210	572010__dnaK2
ERR1913239.1369340__1.1369340	214856__I3YPQ9__ERS852447_01370
ERR1913239.1369312__1.1369312	1897011__A0A1Q6RI45__BHW41_00970
ERR1913239.1369486__1.1369486	1263000__R5EGY7__BN466_01478
ERR1913239.1369548__1.1369548	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913239.1369638__1.1369638	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913239.1369767__1.1369767	46228__V8CE19__DXD17_01950
ERR1913239.1369926__1.1369926	1262824__R6RN98__BN719_00497
ERR1913239.1370223__1.1370223	901__B6WXX4__DESPIGER_1515
ERR1913239.1370285__1.1370285	818__Q8A3A6__Btheta7330_00071
ERR1913239.1370688__1.1370688	853__A0A173T0Y8__CGS54_07215
ERR1913239.1370696__1.1370696	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.1370888__1.1370888	1897011__A0A1Q6RJU7__BHW41_00015
ERR1913239.1370984__1.1370984	2108523__A0A2P2F586__LAWASA_1166
ERR1913239.1371395__1.1371395	328814__GCA_004558275.1_00073
ERR1913239.1371504__1.1371504	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.1371576__1.1371576	39491__A0A395ZE48__DXB76_02395
ERR1913239.1371742__1.1371742	39496__A5Z5I2__EUBVEN_00963
ERR1913239.1371872__1.1371872	853__R6QDR1__C4N27_08170
ERR1913239.1371928__1.1371928	487174__R5F4K8__HMPREF9448_01532
ERR1913239.1371940__1.1371940	1897011__A0A1Q6RI93__BHW41_01175
ERR1913239.1372109__1.1372109	901__B6WXF1__DESPIGER_1660
ERR1913239.1372486__1.1372486	328814__GCA_004558275.1_00043
ERR1913239.1372575__1.1372575	901__B6WVR4__DESPIGER_2125
ERR1913239.1372871__1.1372871	40518__R5DYM0__DXD86_08165
ERR1913239.1372898__1.1372898	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.1372952__1.1372952	1897011__A0A1Q6RGA3__BHW41_02665
ERR1913239.1373082__1.1373082	487174__K0WV13__DIT83_10890
ERR1913239.1373194__1.1373194	88431__A0A174EMW0__thiD_1
ERR1913239.1373283__1.1373283	1262927__R7EX56__BN677_00089
ERR1913239.1373284__1.1373284	1501391__GCA_000786575.1_00120
ERR1913239.1373624__1.1373624	1150298__A0A174HHW8__yhbU_1
ERR1913239.1373707__1.1373707	1262824__R6SS73__BN719_02091
ERR1913239.1373760__1.1373760	214856__A0A174EQR4__rsmA
ERR1913239.1373697__1.1373697	214856__E4MF20__Alfi_0697
ERR1913239.1374767__1.1374767	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.1374778__1.1374778	901__B6WVG4__DHV46_05870
ERR1913239.1374967__1.1374967	1501391__GCA_000786575.1_00068
ERR1913239.1375005__1.1375005	1263000__R5EQL2__BN466_00892
ERR1913239.1375332__1.1375332	487174__K0X6Z7__DDY40_11525
ERR1913239.1375448__1.1375448	172901__A0A2U1BA98__C8D82_102146
ERR1913239.1375591__1.1375591	572010__hgdC_1
ERR1913239.1375587__1.1375587	1263000__R5ELA0__BN466_02255
ERR1913239.1375745__1.1375745	821__A0A174NSU0__BVU_3144
ERR1913239.1375783__1.1375783	376805__F0R8B1__Bacsa_3573
ERR1913239.1375830__1.1375830	901__B6WTX7__DESPIGER_1193
ERR1913239.1376007__1.1376007	745368__A0A1T4Y7W7__SAMN02745178_02825
ERR1913239.1376012__1.1376012	328814__GCA_004558275.1_00290
ERR1913239.1376245__1.1376245	817__A0A015YR67__M130_0551
ERR1913239.1376257__1.1376257	901__A0A1K1LGQ2__DESPIG_02072
ERR1913239.1376438__1.1376438	328814__GCA_004558275.1_00035
ERR1913239.1376616__1.1376616	301301__A0A395V948__rsgA_2
ERR1913239.1376664__1.1376664	214856__R6YD52__ERS852447_02171
ERR1913239.1376665__1.1376665	1262911__R6HIV6__BN557_01807
ERR1913239.1376742__1.1376742	1262911__R6GP58__BN557_00798
ERR1913239.1376800__1.1376800	1263000__R5EKR4__BN466_01609
ERR1913239.1376828__1.1376828	1262920__R5KD76__BN467_01465
ERR1913239.1376985__1.1376985	28118__R6F6Y6__DF785_01440
ERR1913239.1376996__1.1376996	35833__E5YAY4__HMPREF0179_03355
ERR1913239.1377233__1.1377233	901__B6WQM5__cobM
ERR1913239.1377421__1.1377421	301301__A0A395VC27__adaA_5
ERR1913239.1377393__1.1377393	901__B6WXA0__aroE
ERR1913239.1377450__1.1377450	166486__D4L284__ERS852572_01651
ERR1913239.1378105__1.1378105	1796646__A0A1B1S8E7__ADH68_13145
ERR1913239.1378200__1.1378200	28117__B0MVL5__BHV66_01660
ERR1913239.1378235__1.1378235	28117__B0MY36__BHV66_05185
ERR1913239.1378237__1.1378237	1262911__R6GT12__BN557_01070
ERR1913239.1378333__1.1378333	166486__A0A173V5I7__ERS852572_02640
ERR1913239.1378498__1.1378498	1262886__R6QHS7__BN563_00615
ERR1913239.1378636__1.1378636	1263000__R5EET9__BN466_01245
ERR1913239.1378808__1.1378808	1550024__A0A0D8IWH3__ASJ35_08185
ERR1913239.1378982__1.1378982	28117__B0MTS2__ALIPUT_00159
ERR1913239.1379140__1.1379140	471189__GCA_003340385.1_00088
ERR1913239.1379151__1.1379151	853__A0A174C5M1__CGS58_04460
ERR1913239.1379223__1.1379223	292800__U2CET9__ADH75_02630
ERR1913239.1379227__1.1379227	446660__GCA_003428235.1_00751
ERR1913239.1379288__1.1379288	1263000__R5EET9__BN466_01245
ERR1913239.1379356__1.1379356	28117__B0MVL2__BHV66_01645
ERR1913239.1379450__1.1379450	552398__F4XCQ4__HMPREF0866_01621
ERR1913239.1379586__1.1379586	28117__B0MZ22__BHV66_04430
ERR1913239.1379636__1.1379636	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913239.1379668__1.1379668	1262927__R7EX56__BN677_00089
ERR1913239.1379827__1.1379827	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.1380009__1.1380009	1262927__R7EX56__BN677_00089
ERR1913239.1380024__1.1380024	1263000__R5EF60__BN466_01316
ERR1913239.1380042__1.1380042	1150298__A0A174S2H3__spoIIQ
ERR1913239.1380175__1.1380175	394340__purL
ERR1913239.1380403__1.1380403	35833__E5Y1J0__HMPREF0179_00049
ERR1913239.1380461__1.1380461	28117__B0MVL5__BHV66_01660
ERR1913239.1380704__1.1380704	328814__GCA_004558275.1_00288
ERR1913239.1380896__1.1380896	28117__B0MTS2__ALIPUT_00159
ERR1913239.1380900__1.1380900	671267__R9IB12__C802_00696
ERR1913239.1380863__1.1380863	572010__srrA
ERR1913239.1381144__1.1381144	214856__R6XUN2__rcsC_1
ERR1913239.1381205__1.1381205	360807__A0A396ACQ8__ROSEINA2194_00690
ERR1913239.1381381__1.1381381	556259__I0PXW0__BSGG_5187
ERR1913239.1381692__1.1381692	166486__D4KY48__gmr_5
ERR1913239.1381841__1.1381841	214856__R6Y7P0__ERS852447_00307
ERR1913239.1381844__1.1381844	1550024__A0A3B9WG46__ASJ35_14590
ERR1913239.1381883__1.1381883	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913239.1382035__1.1382035	39492__A0A174ZP27__EUBSIR_00033
ERR1913239.1382133__1.1382133	357276__A0A076ITU4__EL88_22160
ERR1913239.1382150__1.1382150	214856__I3YPP2__Alfi_2700
ERR1913239.1382171__1.1382171	1897011__A0A1Q6RI93__BHW41_01175
ERR1913239.1382577__1.1382577	821__C3RB94__DXC03_15585
ERR1913239.1382605__1.1382605	901__B6WPV2__DHV46_04070
ERR1913239.1382615__1.1382615	376805__F0R8B1__Bacsa_3573
ERR1913239.1383001__1.1383001	1897011__A0A1Q6RDV6__BHW41_05295
ERR1913239.1383320__1.1383320	214856__A0A174CRY5__ERS852559_01060
ERR1913239.1383419__1.1383419	29361__B6FKH5__CLONEX_00621
ERR1913239.1383877__1.1383877	817__A0A139TB74__M116_3004
ERR1913239.1383896__1.1383896	116085__D4J7J1__DW747_10195
ERR1913239.1384187__1.1384187	214856__A0A173YXX1__ERS852559_01651
ERR1913239.1384432__1.1384432	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.1384575__1.1384575	1262927__R7EX56__BN677_00089
ERR1913239.1384608__1.1384608	1262992__R5CYF8__BN795_01273
ERR1913239.1384845__1.1384845	39496__A5Z5I2__EUBVEN_00963
ERR1913239.1384826__1.1384826	1263000__R5EQI3__BN466_00125
ERR1913239.1384922__1.1384922	1262927__R7EX56__BN677_00089
ERR1913239.1385902__1.1385902	1262743__R5C054__BN727_01980
ERR1913239.1386579__1.1386579	446660__GCA_003428235.1_02052
ERR1913239.1386721__1.1386721	1262927__R7EX56__BN677_00089
ERR1913239.1387614__1.1387614	820__R7E9Z4__DXC68_06065
ERR1913239.1387655__1.1387655	853__A0A173YYY4__DWZ04_09420
ERR1913239.1387656__1.1387656	74426__rpoB
ERR1913239.1388388__1.1388388	1263000__R5EKR4__BN466_01609
ERR1913239.1388409__1.1388409	1262911__R6HJV5__BN557_00309
ERR1913239.1388908__1.1388908	1796613__A0A1C7GZG2__ADH74_03485
ERR1913239.1388973__1.1388973	1262911__R6H2J2__BN557_01228
ERR1913239.1389094__1.1389094	1263000__R5EQY7__BN466_01150
ERR1913239.1389883__1.1389883	1235835__R9LCU2__C814_02677
ERR1913239.1389941__1.1389941	745368__A0A1T4YBA4__SAMN02745178_02873
ERR1913239.1390305__1.1390305	1262743__R5C9G8__BN727_01341
ERR1913239.1390456__1.1390456	214856__A0A174CRY5__ERS852559_01060
ERR1913239.1390594__1.1390594	166486__D4KWN0__ERS852572_00733
ERR1913239.1391271__1.1391271	28117__B0MXL6__ALIPUT_01851
ERR1913239.1391515__1.1391515	745368__A0A1T4Y119__SAMN02745178_02629
ERR1913239.1391458__1.1391458	1263000__R5F0P4__BN466_00308
ERR1913239.1391628__1.1391628	214856__A0A174FWM7__ERS852559_00590
ERR1913239.1391763__1.1391763	1262911__R6GTA5__BN557_01337
ERR1913239.1391935__1.1391935	2108523__A0A2P2F8Z8__LAWASA_2511
ERR1913239.1391949__1.1391949	901__B6WY92__DESPIG_03073
ERR1913239.1392047__1.1392047	47678__A5ZEX0__DW706_08045
ERR1913239.1392338__1.1392338	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.1392451__1.1392451	487174__K0XES7__HMPREF9448_00566
ERR1913239.1392533__1.1392533	821__A0A397WGD6__M098_0084
ERR1913239.1392676__1.1392676	39491__A0A395UZ89__DXB72_12805
ERR1913239.1392713__1.1392713	1262992__R5D749__BN795_01063
ERR1913239.1392804__1.1392804	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913239.1392885__1.1392885	166486__D4KXZ4__ROSINTL182_05055
ERR1913239.1393040__1.1393040	28117__B0MT86__BHV66_02450
ERR1913239.1393299__1.1393299	901__B6WQD5__DESPIG_00255
ERR1913239.1393424__1.1393424	487174__K0WX70__DDY40_01710
ERR1913239.1393508__1.1393508	1263000__R5EFA7__BN466_01197
ERR1913239.1393720__1.1393720	853__A0A2A7B9I6__DW855_13690
ERR1913239.1393722__1.1393722	28117__B0MYI9__BHV66_05415
ERR1913239.1393734__1.1393734	936548__J1LLT9__HMPREF1136_1951
ERR1913239.1394022__1.1394022	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913239.1394075__1.1394075	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.1394414__1.1394414	901__B6WVE1__DESPIGER_2036
ERR1913239.1394432__1.1394432	28117__B0MU76__ALIPUT_00202
ERR1913239.1394491__1.1394491	39491__A0A396FMT0__EUBREC_3020
ERR1913239.1394494__1.1394494	28117__B0MY34__BHV66_05195
ERR1913239.1394935__1.1394935	1263044__GCA_000433375.1_03640
ERR1913239.1395238__1.1395238	28117__B0MVL5__BHV66_01660
ERR1913239.1395372__1.1395372	820__A0A139JV05__B5G17_18125
ERR1913239.1395462__1.1395462	214856__I3YMC8__ERS852447_02666
ERR1913239.1395650__1.1395650	853__A0A173RZ39__C4N22_01650
ERR1913239.1395976__1.1395976	418240__A0A174DNS5__ERS852478_02290
ERR1913239.1396415__1.1396415	214856__I3YPQ9__ERS852447_01370
ERR1913239.1396799__1.1396799	853__R6QDR1__C4N27_08170
ERR1913239.1396904__1.1396904	328814__GCA_004558275.1_00034
ERR1913239.1396991__1.1396991	147206__GCF_000156215.1_01469
ERR1913239.1397059__1.1397059	1262927__R7EX56__BN677_00089
ERR1913239.1397294__1.1397294	214856__I3YPP3__Alfi_2701
ERR1913239.1397400__1.1397400	33039__R6PZ42__mprA_2
ERR1913239.1397542__1.1397542	28117__B0MY40__BHV66_05170
ERR1913239.1397947__1.1397947	74426__group_4823
ERR1913239.1398049__1.1398049	1897011__A0A1Q6RH12__BHW41_01505
ERR1913239.1398066__1.1398066	901__B6WXI0__DHV46_02055
ERR1913239.1398211__1.1398211	204516__U6RFU0__HMPREF1534_02545
ERR1913239.1398334__1.1398334	1150298__R7JUS5__soxS_1
ERR1913239.1398681__1.1398681	853__A0A173RZ39__C4N22_01650
ERR1913239.1398915__1.1398915	487174__K0XES7__HMPREF9448_00566
ERR1913239.1399307__1.1399307	39491__D4JIB6__ERS852417_01685
ERR1913239.1399546__1.1399546	1383__GCA_001438885.1_00058
ERR1913239.1399742__1.1399742	61171__B9Y5T9__HOLDEFILI_01171
ERR1913239.1399789__1.1399789	1393034__GCA_001552785.1_00502
ERR1913239.1399867__1.1399867	1262927__R7EX56__BN677_00089
ERR1913239.1399879__1.1399879	46228__B5CPT8__RUMLAC_01482
ERR1913239.1400026__1.1400026	39488__C0EVC4__ERS852578_00574
ERR1913239.1400664__1.1400664	853__A0A3E2V168__FAEPRAM212_00929
ERR1913239.1401097__1.1401097	1897011__A0A1Q6RDE2__BHW41_05525
ERR1913239.1401108__1.1401108	1262927__R7EX56__BN677_00089
ERR1913239.1401220__1.1401220	1628085__A0A1C5ZCR8__C7386_10447
ERR1913239.1401339__1.1401339	1262927__R7EX56__BN677_00089
ERR1913239.1401487__1.1401487	901__B6WTR4__DESPIGER_1248
ERR1913239.1402144__1.1402144	360807__C0FUN2__ERS852444_01353
ERR1913239.1402247__1.1402247	74426__group_4823
ERR1913239.1402379__1.1402379	1262911__R6GPB1__BN557_00837
ERR1913239.1402335__1.1402335	1897011__A0A1Q6RGC2__BHW41_02765
ERR1913239.1402535__1.1402535	28117__B0MYP3__BHV66_04995
ERR1913239.1402631__1.1402631	1550024__A0A3B9WIB6__TQ39_08435
ERR1913239.1402841__1.1402841	1150298__R7JND0__ERS852498_02814
ERR1913239.1403205__1.1403205	901__B6WQD9__DESPIG_00259
ERR1913239.1403222__1.1403222	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.1403470__1.1403470	1897011__A0A1Q6RD94__BHW41_05840
ERR1913239.1403477__1.1403477	28117__B0MYI9__BHV66_05415
ERR1913239.1403646__1.1403646	901__B6WTW8__DESPIGER_1202
ERR1913239.1404016__1.1404016	1262927__R7EX56__BN677_00089
ERR1913239.1404073__1.1404073	901__B6WWB4__DESPIGER_2273
ERR1913239.1404163__1.1404163	745368__A0A1T4W6M6__SAMN02745178_00035
ERR1913239.1404239__1.1404239	1263000__R5EQI3__BN466_00125
ERR1913239.1404282__1.1404282	166486__D4KYD7__ERS852572_03817
ERR1913239.1404798__1.1404798	1897011__A0A1Q6RDB1__BHW41_05850
ERR1913239.1405280__1.1405280	1150298__R7JPI7__cotI
ERR1913239.1405420__1.1405420	147206__GCF_000156215.1_01777
ERR1913239.1405510__1.1405510	1262927__R7EX56__BN677_00089
ERR1913239.1405471__1.1405471	901__B6WVS1__DESPIG_02189
ERR1913239.1405599__1.1405599	1263000__R5EAZ0__BN466_00537
ERR1913239.1406240__1.1406240	853__A0A1Q6QQK2__FAEPRAA2165_01190
ERR1913239.1406242__1.1406242	1262927__R7EX56__BN677_00089
ERR1913239.1406673__1.1406673	1263000__R5EKG2__BN466_02040
ERR1913239.1406684__1.1406684	246787__A0A0P0FVC6__BACCELL_03671
ERR1913239.1407184__1.1407184	39488__A0A174CJ01__DXD91_03830
ERR1913239.1407357__1.1407357	446660__GCA_003428235.1_01544
ERR1913239.1407370__1.1407370	216816__A0A133L1E2__ptsP
ERR1913239.1407527__1.1407527	1262927__R7EX56__BN677_00089
ERR1913239.1407502__1.1407502	47678__R5U9S9__BACCAC_01855
ERR1913239.1407727__1.1407727	46503__R6X8R7__PARMER_00141
ERR1913239.1408081__1.1408081	1262927__R7EX56__BN677_00089
ERR1913239.1408095__1.1408095	1263000__R5EXT3__BN466_02213
ERR1913239.1408096__1.1408096	28117__B0MTV3__BHV66_06405
ERR1913239.1408225__1.1408225	853__E2ZGD9__C7J97_11715
ERR1913239.1408514__1.1408514	116085__D4J9Q0__DW747_03420
ERR1913239.1408523__1.1408523	1535__A7VYJ0__CLOLEP_03668
ERR1913239.1408527__1.1408527	74426__nifJ
ERR1913239.1409303__1.1409303	360807__C0G083__ROSEINA2194_04432
ERR1913239.1409311__1.1409311	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913239.1409887__1.1409887	1263000__R5EFJ5__BN466_01372
ERR1913239.1409843__1.1409843	1897011__A0A1Q6RI93__BHW41_01175
ERR1913239.1411100__1.1411100	901__B6WRI8__DHV46_05150
ERR1913239.1411301__1.1411301	1235835__R9LCU2__C814_02677
ERR1913239.1411317__1.1411317	166486__C7GCP5__ROSINTL182_07683
ERR1913239.1411645__1.1411645	1150298__A0A174MSM0__toxA_2
ERR1913239.1411646__1.1411646	165179__A0A174IPI3__CFT61_10940
ERR1913239.1411760__1.1411760	147206__GCF_000156215.1_01108
ERR1913239.1412022__1.1412022	1262927__R7EX56__BN677_00089
ERR1913239.1412087__1.1412087	166486__D4L458__ROSINTL182_07088
ERR1913239.1412147__1.1412147	1262911__R6GPB5__BN557_00842
ERR1913239.1413196__1.1413196	216816__C2GSX7__DD678_03555
ERR1913239.1413568__1.1413568	1897011__A0A1Q6RDL4__BHW41_05540
ERR1913239.1413809__1.1413809	147206__GCF_000156215.1_01776
ERR1913239.1413882__1.1413882	487174__K0X3A6__HMPREF9448_02725
ERR1913239.1413946__1.1413946	1262927__R7EX56__BN677_00089
ERR1913239.1413954__1.1413954	901__B6WRK6__DESPIGER_0403
ERR1913239.1413990__1.1413990	1262927__R7EX56__BN677_00089
ERR1913239.1414181__1.1414181	853__A0A173YYY4__DWZ04_09420
ERR1913239.1414386__1.1414386	1897011__A0A1Q6RG48__BHW41_02345
ERR1913239.1414658__1.1414658	901__B6WUW8__DESPIGER_1921
ERR1913239.1415016__1.1415016	901__A0A1K1LF78__DESPIGER_1556
ERR1913239.1415079__1.1415079	1897011__A0A1Q6RGZ3__BHW41_01455
ERR1913239.1415953__1.1415953	1262927__R7EX56__BN677_00089
ERR1913239.1415929__1.1415929	214856__I3YMN6__Alfi_1938
ERR1913239.1416120__1.1416120	901__B6WUL1__DESPIG_01755
ERR1913239.1416402__1.1416402	901__B6WUN6__DHV46_11020
ERR1913239.1416411__1.1416411	394340__panF
ERR1913239.1416420__1.1416420	1262927__R7EX56__BN677_00089
ERR1913239.1416553__1.1416553	28117__B0MWP2__ALIPUT_01468
ERR1913239.1416683__1.1416683	29361__B6FKH5__CLONEX_00621
ERR1913239.1416712__1.1416712	74426__purL
ERR1913239.1416899__1.1416899	214856__I3YMN6__Alfi_1938
ERR1913239.1416907__1.1416907	214856__I3YPR2__Alfi_2720
ERR1913239.1417187__1.1417187	214856__I3YMN6__Alfi_1938
ERR1913239.1417752__1.1417752	39492__D4JSU6__dacB_3
ERR1913239.1417804__1.1417804	1897011__A0A1Q6RDW7__BHW41_05280
ERR1913239.1417870__1.1417870	166486__R6AY46__ROSINTL182_06128
ERR1913239.1417984__1.1417984	214856__I3YPI7__pepD_1
ERR1913239.1418417__1.1418417	745368__A0A1T4Y2H2__SAMN02745178_02630
ERR1913239.1418546__1.1418546	1263000__R5EMW8__BN466_00256
ERR1913239.1418682__1.1418682	394340__uvrA_2
ERR1913239.1419206__1.1419206	1262927__R7EX56__BN677_00089
ERR1913239.1419499__1.1419499	1897011__A0A1Q6RJV1__BHW41_00035
ERR1913239.1419628__1.1419628	1263000__R5EFJ5__BN466_01372
ERR1913239.1419816__1.1419816	1262927__R7EX56__BN677_00089
ERR1913239.1419916__1.1419916	1501391__GCA_000786575.1_00120
ERR1913239.1420085__1.1420085	1897011__A0A1Q6RFH2__BHW41_03500
ERR1913239.1420406__1.1420406	901__B6WPV3__DESPIGER_1124
ERR1913239.1420529__1.1420529	166486__D4L1P3__ERS852572_00760
ERR1913239.1420557__1.1420557	1262911__R6GY78__BN557_00532
ERR1913239.1420650__1.1420650	172901__A0A2U1AQF8__C8D82_12586
ERR1913239.1420660__1.1420660	166486__D4KX00__ROSINTL182_07577
ERR1913239.1421014__1.1421014	901__B6WXX4__DESPIGER_1515
ERR1913239.1421065__1.1421065	1262927__R7EX56__BN677_00089
ERR1913239.1421145__1.1421145	1263000__R5EKT2__BN466_02168
ERR1913239.1421564__1.1421564	853__A8SB03__C4Q21_07960
ERR1913239.1421689__1.1421689	745368__A0A1T4XL82__SAMN02745178_01984
ERR1913239.1421831__1.1421831	1897011__A0A1Q6RCY9__BHW41_06000
ERR1913239.1421854__1.1421854	28118__R6FD01__B5F99_06665
ERR1913239.1422014__1.1422014	28117__B0MYW5__ALIPUT_02334
ERR1913239.1422039__1.1422039	1262886__R6REZ5__BN563_01087
ERR1913239.1422060__1.1422060	901__B6WTR9__DESPIG_01476
ERR1913239.1422185__1.1422185	853__A0A174BZY1__xerD_1
ERR1913239.1422157__1.1422157	821__A0A173WG51__BVU_2549
ERR1913239.1422955__1.1422955	745368__A0A1T4WDF4__SAMN02745178_00415
ERR1913239.1423174__1.1423174	1263000__R5EKR4__BN466_01609
ERR1913239.1423300__1.1423300	214856__A0A173W3Y5__ERS852559_02032
ERR1913239.1423400__1.1423400	301301__A0A395V573__RHOM_13925
ERR1913239.1423447__1.1423447	1262927__R7EX56__BN677_00089
ERR1913239.1423507__1.1423507	216816__A0A395XYV2__APC1468_1887
ERR1913239.1423710__1.1423710	74426__sufB
ERR1913239.1423870__1.1423870	1263000__R5EMM7__BN466_00616
ERR1913239.1423881__1.1423881	901__B6WY11__DESPIGER_1484
ERR1913239.1424253__1.1424253	821__A0A173XDD3__DXB82_17180
ERR1913239.1424411__1.1424411	817__F7LQN9__HMPREF1067_03100
ERR1913239.1424527__1.1424527	1262927__R7EX56__BN677_00089
ERR1913239.1424674__1.1424674	901__B6WRB3__DESPIGER_0300
ERR1913239.1425293__1.1425293	106588__A6P303__BACCAP_04887
ERR1913239.1425315__1.1425315	1897011__A0A1Q6RGA5__BHW41_02775
ERR1913239.1425723__1.1425723	820__E5VA63__DXC80_01025
ERR1913239.1426006__1.1426006	39491__A0A395V0E5__ERE_31370
ERR1913239.1426380__1.1426380	301301__A0A395VA63__sbcC
ERR1913239.1426503__1.1426503	46228__V8CA96__RUMLAC_01531
ERR1913239.1426618__1.1426618	1262927__R7EX56__BN677_00089
ERR1913239.1427359__1.1427359	214856__A0A174EJT5__mnmA
ERR1913239.1427557__1.1427557	1262911__R6GP58__BN557_00798
ERR1913239.1427609__1.1427609	214856__A0A174CRY5__ERS852559_01060
ERR1913239.1427876__1.1427876	901__B6WPV2__DHV46_04070
ERR1913239.1428057__1.1428057	166486__D4KVZ4__sleB_3
ERR1913239.1428212__1.1428212	853__A0A174UDE9__C4N25_12775
ERR1913239.1428402__1.1428402	745368__A0A1T4XS74__SAMN02745178_02179
ERR1913239.1428439__1.1428439	1262886__R6QIW7__BN563_00997
ERR1913239.1428740__1.1428740	1263000__R5EXF8__BN466_01942
ERR1913239.1429076__1.1429076	1262927__R7EX56__BN677_00089
ERR1913239.1429153__1.1429153	853__A0A3E2V168__FAEPRAM212_00929
