ERR1913141.6__1.6	1681__A0A0E2ZCN8__DXD31_01560
ERR1913141.389044__1.389044	820__A0A174EV88__HMPREF1072_01427
ERR1913141.389219__1.389219	218538__C9LQG5__GCWU000321_01796
ERR1913141.389534__1.389534	1262911__R6GP42__BN557_00222
ERR1913141.389562__1.389562	39492__A0A174ZL16__EUBSIR_01269
ERR1913141.389613__1.389613	1262882__R5MYI1__BN519_00416
ERR1913141.389619__1.389619	239935__A0A2N8IVR0__CXT87_07115
ERR1913141.389766__1.389766	239935__A0A2N8I3G2__CXT89_00720
ERR1913141.389776__1.389776	1262882__R5MZ41__BN519_00356
ERR1913141.389921__1.389921	47678__A5ZHP9__bioD1
ERR1913141.390096__1.390096	853__A0A2J4JL53__CRH10_10795
ERR1913141.390128__1.390128	239935__A0A2N8HT18__CXT93_06135
ERR1913141.390184__1.390184	818__A0A3E5HXH0__NCTC13706_02166
ERR1913141.390192__1.390192	1262882__R5N4I5__BN519_01288
ERR1913141.390404__1.390404	239935__A0A2N8HBM4__CXT85_06270
ERR1913141.390953__1.390953	1235790__S0J8L6__C805_00148
ERR1913141.391046__1.391046	820__A0A174F0C1__nreB
ERR1913141.391176__1.391176	1501391__GCA_000786575.1_00071
ERR1913141.391230__1.391230	820__A0A3E4GA19__SAMN05444418_10562
ERR1913141.391373__1.391373	1262882__R5MJZ4__BN519_01269
ERR1913141.391355__1.391355	1263044__GCA_000433375.1_01436
ERR1913141.391359__1.391359	823__C7X996__DD466_12595
ERR1913141.391602__1.391602	1262882__R5MKI3__BN519_00334
ERR1913141.391751__1.391751	1262882__R5MEI8__BN519_00283
ERR1913141.391878__1.391878	239935__R6J9N8__CXT96_07990
ERR1913141.392028__1.392028	556259__E5C7G5__BSGG_0441
ERR1913141.391954__1.391954	820__A0A374Q351__DXD40_05850
ERR1913141.392116__1.392116	820__A7VAR9__ERS852421_00197
ERR1913141.392065__1.392065	1501391__GCA_000786575.1_00109
ERR1913141.392344__1.392344	214856__I3YPI7__pepD_1
ERR1913141.392480__1.392480	1501391__GCA_000786575.1_00130
ERR1913141.392605__1.392605	1262882__R5MFR3__BN519_00473
ERR1913141.393364__1.393364	1262882__R5MYX5__BN519_00333
ERR1913141.393505__1.393505	239935__A0A2N8HW65__CXU09_08515
ERR1913141.393544__1.393544	239935__A0A2N8IEP3__CXT84_03735
ERR1913141.393698__1.393698	133926__E1QXZ9__Olsu_0131
ERR1913141.393768__1.393768	471189__GCA_003340385.1_00464
ERR1913141.394018__1.394018	214856__R6XTZ7__ERS852447_02314
ERR1913141.394106__1.394106	218538__C9LQW2__GCWU000321_01944
ERR1913141.394108__1.394108	823__A0A395YVY3__ERS852513_03204
ERR1913141.394244__1.394244	1501391__GCA_000786575.1_00076
ERR1913141.394255__1.394255	1262882__R5MEN9__BN519_00201
ERR1913141.394272__1.394272	1263109__GCA_000438135.1_01128
ERR1913141.394466__1.394466	46506__S3YU07__AA415_02597
ERR1913141.394701__1.394701	39488__A0A173RDQ1__EUBHAL_02348
ERR1913141.394772__1.394772	338188__K5CL92__BACFIN_07565
ERR1913141.395147__1.395147	214856__A0A174FWM7__ERS852559_00590
ERR1913141.395246__1.395246	820__A0A173W419__DXC68_17760
ERR1913141.395253__1.395253	818__Q8A112__BT_3859
ERR1913141.395494__1.395494	239935__R6J9Y2__CXT85_07000
ERR1913141.395566__1.395566	328814__GCA_004558275.1_00990
ERR1913141.395603__1.395603	820__A0A173XIP7__B5G17_16050
ERR1913141.395612__1.395612	410072__A0A174BWR4__ERS852389_00309
ERR1913141.395624__1.395624	1897011__A0A1Q6RFG0__BHW41_03665
ERR1913141.395829__1.395829	357276__I8WEY2__ABI39_04185
ERR1913141.395933__1.395933	820__A0A174CG08__DXB62_13215
ERR1913141.395924__1.395924	39485__C4Z0G6__spoIVB
ERR1913141.395970__1.395970	357276__I9R994__BACDOR_04044
ERR1913141.396227__1.396227	820__A0A139K5A6__DXB48_12175
ERR1913141.396286__1.396286	1263006__R6MQA3__BN515_02104
ERR1913141.396423__1.396423	40518__R5DXI4__DXD86_07420
ERR1913141.396481__1.396481	1262882__R5N0M6__BN519_00794
ERR1913141.396696__1.396696	214856__A0A174H3U9__ERS852559_00612
ERR1913141.396811__1.396811	239935__R7DVL7__CXT93_01180
ERR1913141.396990__1.396990	820__R9HP61__DXC91_01090
ERR1913141.396980__1.396980	820__A0A3E4W3Y0__HMPREF2141_00338
ERR1913141.397179__1.397179	357276__I9FRW5__B5F95_21685
ERR1913141.397245__1.397245	1378168__V2YA11__N510_02528
ERR1913141.397285__1.397285	1263000__R5EFY3__BN466_01416
ERR1913141.397511__1.397511	39492__D4JX87__EUBSIR_00361
ERR1913141.397767__1.397767	823__D0TCC2__HMPREF1075_01590
ERR1913141.397823__1.397823	239935__A0A2N8I7W6__CXT90_04245
ERR1913141.397908__1.397908	1262882__R5N4I8__BN519_01293
ERR1913141.397947__1.397947	1897011__A0A1Q6RDG0__BHW41_05600
ERR1913141.397984__1.397984	820__R9I3Q7__HMPREF1072_01668
ERR1913141.398127__1.398127	338188__R6SW63__BACFIN_05400
ERR1913141.398280__1.398280	1262911__R6H2B5__BN557_01151
ERR1913141.398491__1.398491	357276__A0A076INK2__BSEG_04225
ERR1913141.398650__1.398650	357276__A0A076IN30__DXD47_09350
ERR1913141.398666__1.398666	40518__R5DMC7__blaR1
ERR1913141.398601__1.398601	820__A0A3E4W4Y7__B5G17_02055
ERR1913141.398844__1.398844	218538__C9LPF0__GCWU000321_01429
ERR1913141.398862__1.398862	239935__A0A2N8IU45__DEF40_02365
ERR1913141.399283__1.399283	39491__D4JMW8__ERS852497_01971
ERR1913141.399777__1.399777	239935__B2UQB8__CXT86_01740
ERR1913141.399820__1.399820	818__A0A0P0F7K1__ERS852461_02719
ERR1913141.399873__1.399873	818__A0A3E5HN77__HMPREF2534_00072
ERR1913141.399878__1.399878	820__A0A139K2N9__DXB62_12420
ERR1913141.400309__1.400309	1263000__R5EAZ0__BN466_00537
ERR1913141.400478__1.400478	1501391__GCA_000786575.1_00082
ERR1913141.400483__1.400483	328814__GCA_004558275.1_00018
ERR1913141.400823__1.400823	649756__A0A173TB83__HMPREF0369_01758
ERR1913141.400830__1.400830	820__A0A174CK74__DXB48_07060
ERR1913141.400994__1.400994	820__A0A3E4W984__pssA
ERR1913141.401014__1.401014	853__A8SCP3__C4N26_07960
ERR1913141.401401__1.401401	820__A0A139JV05__B5G17_18125
ERR1913141.401526__1.401526	1628085__A0A1C6DC32__C7386_10623
ERR1913141.401959__1.401959	239935__A0A2N8I694__CXU04_06245
ERR1913141.401975__1.401975	1262882__R5N3A4__BN519_01270
ERR1913141.402185__1.402185	1262882__R5MF51__BN519_00287
ERR1913141.402409__1.402409	47678__A0A3E5BQM1__DXB67_08970
ERR1913141.402518__1.402518	239935__A0A2N8HB50__CXU17_02615
ERR1913141.402593__1.402593	239935__A0A2N8ITX2__CXT86_11265
ERR1913141.402720__1.402720	28116__A0A1Y4PWN5__M088_3731
ERR1913141.402738__1.402738	745368__A0A1T4XVH3__SAMN02745178_02334
ERR1913141.402754__1.402754	1263044__GCA_000433375.1_01145
ERR1913141.403134__1.403134	357276__E5UTL1__HMPREF1065_03551
ERR1913141.403232__1.403232	239935__A0A2N8I694__CXU04_06245
ERR1913141.403309__1.403309	1501391__GCA_000786575.1_00011
ERR1913141.403337__1.403337	818__Q8AAE0__Btheta7330_02023
ERR1913141.403580__1.403580	1262911__R6H2J2__BN557_01228
ERR1913141.403633__1.403633	239935__A0A2N8IVR0__CXT87_07115
ERR1913141.403714__1.403714	820__A0A174M9V5__M093_0237
ERR1913141.403771__1.403771	853__A0A173XRA8__CGS56_09290
ERR1913141.403838__1.403838	301302__A0A0M6WJW1__ERS852420_02245
ERR1913141.404214__1.404214	35833__E5Y8N1__HMPREF0179_02549
ERR1913141.404298__1.404298	446660__GCA_003428235.1_00039
ERR1913141.404435__1.404435	1150298__R7JRK4__ERS852406_01648
ERR1913141.404451__1.404451	239935__B2URL9__CXU12_02290
ERR1913141.404527__1.404527	40518__R5E1X3__clcA
ERR1913141.404546__1.404546	239935__A0A2N8IJI1__B5G29_04615
ERR1913141.404781__1.404781	820__A0A139JV05__B5G17_18125
ERR1913141.404892__1.404892	39492__D4JVC7__yfgF
ERR1913141.404960__1.404960	1550024__A0A3B9WI73__ASJ35_03410
ERR1913141.404991__1.404991	818__A0A3E5HN77__HMPREF2534_00072
ERR1913141.405154__1.405154	1501391__GCA_000786575.1_00115
ERR1913141.405191__1.405191	1501391__GCA_000786575.1_00041
ERR1913141.405342__1.405342	1262882__R5MS31__BN519_01529
ERR1913141.405367__1.405367	458033__GCA_001482755.1_02203
ERR1913141.405382__1.405382	1501391__GCA_000786575.1_00036
ERR1913141.405471__1.405471	1262882__R5N1Z9__BN519_01020
ERR1913141.405512__1.405512	239935__A0A2N8IEP3__CXT84_03735
ERR1913141.405636__1.405636	40518__R5DUJ5__DXD83_01635
ERR1913141.405643__1.405643	1262882__R5MEW7__BN519_00010
ERR1913141.405793__1.405793	357276__A0A0K2HJA6__DXD47_07320
ERR1913141.405770__1.405770	1501391__GCA_000786575.1_00038
ERR1913141.405972__1.405972	820__A0A374QGD2__ERS852421_02382
ERR1913141.406043__1.406043	1262882__R5MMP8__BN519_01654
ERR1913141.406261__1.406261	1262882__R5N3H1__BN519_01121
ERR1913141.406378__1.406378	239935__A0A2N8HT44__CXT84_11035
ERR1913141.406535__1.406535	1262882__R5N678__BN519_01604
ERR1913141.406579__1.406579	239935__B2UPZ6__CXU03_03800
ERR1913141.406664__1.406664	820__A0A139K5A6__DXB48_12175
ERR1913141.406713__1.406713	357276__A0A0K2HJA6__DXD47_07320
ERR1913141.406776__1.406776	823__A6L930__DDY96_14995
ERR1913141.406840__1.406840	239935__A0A2N8HPS5__Amuc_0950
ERR1913141.406926__1.406926	1262882__R5MKV8__BN519_01281
ERR1913141.406981__1.406981	418240__C6JH13__ERS852478_02750
ERR1913141.407034__1.407034	100884__E7GEL7__HMPREF9488_03159
ERR1913141.407195__1.407195	357276__B6VW91__BACDOR_01584
ERR1913141.407208__1.407208	1501391__GCA_000786575.1_00083
ERR1913141.407258__1.407258	239935__A0A2N8HBM4__CXT85_06270
ERR1913141.407467__1.407467	338188__A0A174DQN3__HMPREF1057_03481
ERR1913141.407639__1.407639	1299998__GCA_001494635.1_00560
ERR1913141.407693__1.407693	360807__A0A0M6WZU2__ROSEINA2194_04025
ERR1913141.407735__1.407735	40520__A5ZTQ5__ERS852533_02495
ERR1913141.407782__1.407782	1501391__GCA_000786575.1_00061
ERR1913141.407916__1.407916	1262963__R6D9I4__BN718_00461
ERR1913141.408125__1.408125	239935__A0A2N8IEP3__CXT84_03735
ERR1913141.408843__1.408843	745368__A0A1T4Y443__SAMN02745178_02724
ERR1913141.408895__1.408895	239935__A0A2N8HB50__CXU17_02615
ERR1913141.408963__1.408963	820__A0A3E4W9D9__B5G17_12400
ERR1913141.409065__1.409065	1501391__GCA_000786575.1_00087
ERR1913141.409123__1.409123	818__A0A1H7L4U6__BSIG_3287
ERR1913141.409146__1.409146	239935__A0A2N8I1R3__CXU05_06075
ERR1913141.409158__1.409158	1262882__R5MM96__BN519_01545
ERR1913141.409351__1.409351	820__R7E9Z4__DXC68_06065
ERR1913141.409379__1.409379	47678__R5U7P3__DXB67_08985
ERR1913141.409440__1.409440	357276__C3R9Y0__HMPREF1064_01889
ERR1913141.409598__1.409598	1262882__R5MKU2__BN519_01271
ERR1913141.409619__1.409619	820__A0A139K5A6__DXB48_12175
ERR1913141.409816__1.409816	1550024__A0A3B9WI04__ASJ35_06105
ERR1913141.409981__1.409981	823__A0A174JYU9__DER51_02115
ERR1913141.410013__1.410013	823__A0A355XH29__lolE_1
ERR1913141.410017__1.410017	1897011__A0A1Q6RDX8__BHW41_05330
ERR1913141.410022__1.410022	820__A0A3E4RUC4__DHU98_02635
ERR1913141.410093__1.410093	1263107__GCA_000436995.1_00193
ERR1913141.410069__1.410069	338188__R6RZG2__kojP_1
ERR1913141.410147__1.410147	357276__A0A1Y3Z6X3__GV66_07715
ERR1913141.410157__1.410157	239935__A0A2N8HTZ8__CXU09_01270
ERR1913141.410321__1.410321	328814__GCA_004558275.1_00036
ERR1913141.410596__1.410596	46506__S3YU07__AA415_02597
ERR1913141.410965__1.410965	239935__A0A2N8ITW6__CXT91_06265
ERR1913141.411130__1.411130	239935__A0A2N8HAQ1__DEF40_05290
ERR1913141.411163__1.411163	239935__B2UL21__CXT98_03395
ERR1913141.411164__1.411164	853__A0A2A7AXC8__C4N21_14120
ERR1913141.411176__1.411176	239935__A0A2N8IKW7__pstA
ERR1913141.411478__1.411478	239935__A0A2N8HT44__CXT84_11035
ERR1913141.411496__1.411496	1897011__A0A1Q6RC54__BHW41_06555
ERR1913141.411542__1.411542	820__A0A1Q6IDS8__chtA
ERR1913141.411735__1.411735	39496__A5Z671__EUBVEN_01204
ERR1913141.411780__1.411780	239935__A0A2N8HUU6__CXT90_06150
ERR1913141.411897__1.411897	357276__I9R2M6__BSEG_03499
ERR1913141.411908__1.411908	853__A0A3E2U7E6__ERS852582_01640
ERR1913141.411983__1.411983	1550024__A0A3B9WJ82__ASJ35_03765
ERR1913141.412103__1.412103	40518__R5E4X1__DXD93_05270
ERR1913141.412196__1.412196	818__Q89ZX6__ERS852511_03600
ERR1913141.412207__1.412207	239935__R6J5N6__CXT99_10770
ERR1913141.412211__1.412211	39492__D4JTG7__EUBSIR_00572
ERR1913141.412287__1.412287	328814__GCA_004558275.1_00995
ERR1913141.412339__1.412339	239935__A0A2N8I368__CXT95_04550
ERR1913141.412625__1.412625	357276__U6R8F9__DXD47_04035
ERR1913141.412586__1.412586	818__R6VB25__BSIG_5053
ERR1913141.412592__1.412592	239935__A0A2N8ILG3__CXT93_10135
ERR1913141.412682__1.412682	39492__D4JRR5__ERS852540_02089
ERR1913141.412854__1.412854	853__A0A174C5M1__CGS58_04460
ERR1913141.413378__1.413378	1262882__R5N349__BN519_01037
ERR1913141.413437__1.413437	47678__R5U9Z0__HMPREF1061_03210
ERR1913141.413633__1.413633	1262889__R7HAP4__BN634_00533
ERR1913141.413722__1.413722	239935__A0A139TTZ7__CXU14_07900
ERR1913141.413677__1.413677	214856__I3YPI7__pepD_1
ERR1913141.413779__1.413779	1262882__R5ML49__BN519_01361
ERR1913141.413877__1.413877	357276__I9R994__BACDOR_04044
ERR1913141.413958__1.413958	47678__R5UES7__sipS
ERR1913141.414195__1.414195	239935__A0A2N8I3G2__CXT89_00720
ERR1913141.414255__1.414255	40518__R5E282__DXD86_08940
ERR1913141.414219__1.414219	1160721__W0U811__RBI_II00162
ERR1913141.414368__1.414368	39491__D4JMW8__ERS852497_01971
ERR1913141.414728__1.414728	33039__R6PZ42__mprA_2
ERR1913141.414955__1.414955	1501391__GCA_000786575.1_00029
ERR1913141.415128__1.415128	46503__R6X607__HMPREF1060_03545
ERR1913141.415376__1.415376	39492__D4JQS6__ykoD
ERR1913141.415470__1.415470	40518__R5DWB0__DXD86_00925
ERR1913141.415513__1.415513	818__A0A0N7IB02__BT_3500
ERR1913141.415725__1.415725	446660__GCA_003428235.1_00654
ERR1913141.415840__1.415840	357276__A0A076IKP7__BACDOR_04239
ERR1913141.415856__1.415856	818__A0A2J6AAA9__NCTC10582_00162
ERR1913141.415930__1.415930	239935__A0A2N8IYM5__CXT84_05130
ERR1913141.415931__1.415931	239935__A0A2N8I791__CXT99_09415
ERR1913141.415914__1.415914	239935__B2UPZ6__CXU03_03800
ERR1913141.416213__1.416213	820__A0A3E4VZY4__ERS852554_01211
ERR1913141.416430__1.416430	820__A0A374MMF0__HMPREF1073_03811
ERR1913141.416597__1.416597	853__A0A174C5M1__CGS58_04460
ERR1913141.416657__1.416657	1262882__R5MNC1__BN519_00818
ERR1913141.416699__1.416699	239935__A0A2N8HQY4__CXT99_03170
ERR1913141.416918__1.416918	33039__D4M398__ERS852530_00575
ERR1913141.417019__1.417019	47678__R5U3L4__C5Z00_12600
ERR1913141.417178__1.417178	40518__R5E6G1__DXD83_06815
ERR1913141.417226__1.417226	46506__B0NU77__AA415_02810
ERR1913141.417230__1.417230	46503__R6X0F0__DD461_05620
ERR1913141.417362__1.417362	1550024__G9RPP6__ASJ35_08860
ERR1913141.417743__1.417743	1262882__R5N5S3__BN519_00085
ERR1913141.417776__1.417776	239935__A0A2N8IMC9__CXU09_02095
ERR1913141.417819__1.417819	1501391__GCA_000786575.1_00026
ERR1913141.417994__1.417994	745368__A0A1T4XQZ9__SAMN02745178_02185
ERR1913141.418119__1.418119	820__A0A139K5A6__DXB48_12175
ERR1913141.418149__1.418149	1262882__R5MHQ8__BN519_00707
ERR1913141.418249__1.418249	1681__A0A286TB53__BBBF_1581
ERR1913141.418382__1.418382	820__R9HXK9__DXB62_08265
ERR1913141.418524__1.418524	33039__D4M0J9__ERS852577_03924
ERR1913141.418727__1.418727	820__A0A174CK74__DXB48_07060
ERR1913141.418768__1.418768	47678__R5UME6__BACCAC_01239
ERR1913141.418809__1.418809	39491__A0A395ZHW9__DXC13_02590
ERR1913141.418943__1.418943	1550024__G9RNX5__ASJ35_11740
ERR1913141.419129__1.419129	239935__A0A2N8HZW2__A4V05_11120
ERR1913141.419323__1.419323	301302__R5V4M3__ERS852420_01171
ERR1913141.419328__1.419328	239935__A0A2N8ITW6__CXT91_06265
ERR1913141.419480__1.419480	1262882__R5N1M9__BN519_00768
ERR1913141.419464__1.419464	1262882__R5MHZ2__BN519_00742
ERR1913141.419686__1.419686	820__A0A139K4W1__M093_0353
ERR1913141.419879__1.419879	1262882__R5MEK3__BN519_00296
ERR1913141.419947__1.419947	239935__A0A2N8IRW0__A4V05_11620
ERR1913141.420031__1.420031	47678__A5ZBL9__C5Z00_18710
ERR1913141.420115__1.420115	74426__pta
ERR1913141.420143__1.420143	1262882__R5MPY4__BN519_01128
ERR1913141.420168__1.420168	1501391__GCA_000786575.1_00074
ERR1913141.420198__1.420198	1501391__GCA_000786575.1_00047
ERR1913141.420270__1.420270	239935__A0A2N8I375__menA
ERR1913141.420283__1.420283	239935__A0A2N8IU14__ADH72_05655
ERR1913141.420478__1.420478	1262882__R5MGS8__BN519_00565
ERR1913141.420523__1.420523	46228__V8C4T8__RUMLAC_02058
ERR1913141.420899__1.420899	1160721__W0U4Y3__sipW2
ERR1913141.421316__1.421316	1897011__A0A1Q6RI45__BHW41_00970
ERR1913141.421348__1.421348	74426__group_1871
ERR1913141.421387__1.421387	1501391__GCA_000786575.1_00021
ERR1913141.421637__1.421637	39491__A0A173U130__ERE_16110
ERR1913141.421729__1.421729	1501391__GCA_000786575.1_00116
ERR1913141.421931__1.421931	338188__A0A1Q6HAT8__HMPREF1057_02069
ERR1913141.421871__1.421871	46506__R6LDN0__HMPREF1181_03103
ERR1913141.422037__1.422037	1550024__G9RPP6__ASJ35_08860
ERR1913141.422118__1.422118	214856__A0A173YE57__ERS852559_00126
ERR1913141.422144__1.422144	1262911__R6H2J2__BN557_01228
ERR1913141.422497__1.422497	820__R7E9Z4__DXC68_06065
ERR1913141.422563__1.422563	820__A0A139K5E7__DXC68_09550
ERR1913141.422641__1.422641	1501391__GCA_000786575.1_00076
ERR1913141.422717__1.422717	116085__D4J8A4__DW747_06625
ERR1913141.422840__1.422840	239935__A0A2N8HL50__CXT98_09135
ERR1913141.423277__1.423277	1965604__A0A1Y4EZZ6__B5F54_12300
ERR1913141.423498__1.423498	328814__GCA_004558275.1_00078
ERR1913141.423600__1.423600	357276__I9QWD4__DXD47_15075
ERR1913141.423641__1.423641	239935__A0A2N8IF99__lpdA
ERR1913141.423671__1.423671	239935__A0A2N8IHY1__CXU06_00035
ERR1913141.423707__1.423707	394340__mfd
ERR1913141.423719__1.423719	818__D7I7V5__BJP75_001030
ERR1913141.424029__1.424029	239935__A0A2N8J1K0__CXT97_05765
ERR1913141.424210__1.424210	218538__C9LPF0__GCWU000321_01429
ERR1913141.424291__1.424291	239935__A0A2N8IIB9__CXU04_01970
ERR1913141.424487__1.424487	745368__A0A1T4XL12__SAMN02745178_01966
ERR1913141.424817__1.424817	239935__A0A2N8I3G2__CXT89_00720
ERR1913141.425068__1.425068	1262882__R5MHQ8__BN519_00707
ERR1913141.425284__1.425284	74426__rplS
ERR1913141.425431__1.425431	239935__A0A2N8IEP3__CXT84_03735
ERR1913141.425442__1.425442	328814__GCA_004558275.1_01003
ERR1913141.425454__1.425454	820__A0A1Y3V743__M093_0235
ERR1913141.425499__1.425499	239935__A0A2N8HM32__CXT85_08075
ERR1913141.425542__1.425542	39488__A0A174JE42__ERS852450_02774
ERR1913141.425545__1.425545	820__A0A174F0C1__nreB
ERR1913141.425598__1.425598	338188__R6S8N0__BACFIN_06127
ERR1913141.425638__1.425638	1897011__A0A1Q6RH73__BHW41_01885
ERR1913141.425657__1.425657	1263006__R6MLU5__BN515_01014
ERR1913141.425792__1.425792	1262882__R5N5J6__BN519_01504
ERR1913141.425934__1.425934	1897011__A0A1Q6RIP7__BHW41_00530
ERR1913141.425945__1.425945	820__A7V8C2__ERS852554_01338
ERR1913141.426064__1.426064	1263000__R5EXT3__BN466_02213
ERR1913141.426029__1.426029	1501391__GCA_000786575.1_00110
ERR1913141.426106__1.426106	239935__A0A2N8IJI1__B5G29_04615
ERR1913141.426559__1.426559	820__A0A396EWL3__ERS417307_03868
ERR1913141.426697__1.426697	820__A0A139K5A6__DXB48_12175
ERR1913141.426651__1.426651	39496__A5Z5I2__EUBVEN_00963
ERR1913141.426773__1.426773	239935__A0A139TQT9__Amuc_1197
ERR1913141.426791__1.426791	1262882__R5MND9__BN519_00831
ERR1913141.426873__1.426873	853__D4JY61__C4N21_10560
ERR1913141.426897__1.426897	818__A0A0P0FR20__BJP75_022685
ERR1913141.426976__1.426976	820__A0A139K5E7__DXC68_09550
ERR1913141.427226__1.427226	820__A0A174CG08__DXB62_13215
ERR1913141.427252__1.427252	820__A0A173WZS4__DXD90_10250
ERR1913141.427375__1.427375	357276__I8WBQ9__HMPREF1065_03212
ERR1913141.427445__1.427445	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913141.427588__1.427588	239935__R6J4Y4__CXU17_09810
ERR1913141.427796__1.427796	239935__A0A2N8IZ16__CXT84_05850
ERR1913141.427806__1.427806	292800__G9YQ32__ERS852518_04089
ERR1913141.427820__1.427820	820__A0A3E4W9D9__B5G17_12400
ERR1913141.427857__1.427857	239935__R7DVL7__CXT93_01180
ERR1913141.428103__1.428103	1262882__R5MGS8__BN519_00565
ERR1913141.428117__1.428117	239935__A0A2N8IQX1__dnaA
ERR1913141.428246__1.428246	818__A0A0N7I9M6__Btheta7330_00939
ERR1913141.428212__1.428212	74426__rpoB
ERR1913141.428311__1.428311	1262882__R5MMY3__BN519_00724
ERR1913141.428413__1.428413	239935__A0A2N8HHB6__B5G29_11500
ERR1913141.428475__1.428475	1262882__R5MXW0__BN519_00317
ERR1913141.428543__1.428543	239935__A0A2N8I390__CXU16_10675
ERR1913141.428519__1.428519	1263000__R5EK63__BN466_02075
ERR1913141.428620__1.428620	239935__A0A2N8IVR0__CXT87_07115
ERR1913141.428623__1.428623	74426__rpoB
ERR1913141.428833__1.428833	1262882__R5MSX6__BN519_01697
ERR1913141.429014__1.429014	1263000__R5EHB0__BN466_01647
ERR1913141.429019__1.429019	40518__R5E6U1__yunB
ERR1913141.429092__1.429092	1262882__R5N1R4__BN519_00788
ERR1913141.429279__1.429279	47678__R5UT83__DW706_09750
ERR1913141.429345__1.429345	357276__I9RHT4__EL88_09235
ERR1913141.429365__1.429365	394340__panF
ERR1913141.429466__1.429466	39492__D4JRV7__EUBSIR_01513
ERR1913141.429586__1.429586	239935__A0A2N8HL50__CXT98_09135
ERR1913141.429611__1.429611	820__A0A3E4VZT7__DXB48_16145
ERR1913141.429632__1.429632	214856__I3YPI7__pepD_1
ERR1913141.429654__1.429654	239935__A0A2N8IU45__DEF40_02365
ERR1913141.429838__1.429838	745368__A0A1T4XU57__SAMN02745178_02337
ERR1913141.429847__1.429847	820__R9HXK9__DXB62_08265
ERR1913141.429958__1.429958	239935__A0A2N8IHY1__CXU06_00035
ERR1913141.429965__1.429965	651822__GCA_000210715.1_00753
ERR1913141.429996__1.429996	218538__C9LPE5__GCWU000321_01424
ERR1913141.430124__1.430124	39491__D6DXZ8__DXB72_15035
ERR1913141.430294__1.430294	239935__A0A2N8HL50__CXT98_09135
ERR1913141.430438__1.430438	1297617__A0A0S2W5Y2__C7373_106176
ERR1913141.430543__1.430543	552398__F4XHU2__HMPREF0866_03196
ERR1913141.430496__1.430496	46506__B0NRJ1__DXC41_14065
ERR1913141.430631__1.430631	820__A7V470__HMPREF1072_02076
ERR1913141.430638__1.430638	239935__A0A2N8IRH4__CXT92_05605
ERR1913141.430669__1.430669	820__A0A174M9V5__M093_0237
ERR1913141.430732__1.430732	39492__B0MS79__ERS852540_01394
ERR1913141.430799__1.430799	820__A0A1Y3V743__M093_0235
ERR1913141.430932__1.430932	820__R9I324__HMPREF2141_02414
ERR1913141.430941__1.430941	239935__A0A2N8IVR0__CXT87_07115
ERR1913141.431024__1.431024	1263044__GCA_000433375.1_01145
ERR1913141.431384__1.431384	239935__A0A2N8IMD6__CXU03_05585
ERR1913141.431554__1.431554	820__R9HP61__DXC91_01090
ERR1913141.431564__1.431564	820__A0A139K5A6__DXB48_12175
ERR1913141.431600__1.431600	820__A0A3E4W984__pssA
ERR1913141.431890__1.431890	239935__B2URG6__CXU02_00030
ERR1913141.432151__1.432151	239935__A0A2N8IMC3__CXT96_03840
ERR1913141.432245__1.432245	239935__R7E524__CXT91_06180
ERR1913141.432341__1.432341	1262882__R5MEI8__BN519_00283
ERR1913141.432691__1.432691	338188__R6S638__HMPREF1057_04127
ERR1913141.432726__1.432726	239935__R6J776__CXU07_02355
ERR1913141.432810__1.432810	40518__R5DUG7__sbcC
ERR1913141.432959__1.432959	1160721__W0U2H8__BHW50_07775
ERR1913141.433072__1.433072	1262911__R6GSH8__BN557_00939
ERR1913141.433030__1.433030	1472761__GCA_002159295.1_00731
ERR1913141.433035__1.433035	39491__A0A3E4E7C5__DXB69_03255
ERR1913141.433094__1.433094	1897011__A0A1Q6RI11__BHW41_00845
ERR1913141.433100__1.433100	1262882__A0A356PSJ4__BN519_01180
ERR1913141.433154__1.433154	40518__R5DVV1__RBATCC27255_00999
ERR1913141.433189__1.433189	338188__C9KT47__BACFIN_05483
ERR1913141.433358__1.433358	239935__A0A139TQT9__Amuc_1197
ERR1913141.433451__1.433451	818__A0A1H7X9X1__SAMN02910322_04797
ERR1913141.433534__1.433534	357276__A0A076IRZ5__BACDOR_00630
ERR1913141.433589__1.433589	239935__A0A2N8IRH4__CXT92_05605
ERR1913141.433898__1.433898	46506__B0NT08__BACSTE_02624
ERR1913141.433963__1.433963	1550024__G9RTA6__TQ39_10970
ERR1913141.434456__1.434456	371601__C3QME2__CW1_3650
ERR1913141.434568__1.434568	1501391__GCA_000786575.1_00076
ERR1913141.434581__1.434581	239935__A0A2N8ITX2__CXT86_11265
ERR1913141.434493__1.434493	357276__A0A076IS26__EL88_15950
ERR1913141.434714__1.434714	357276__A0A076IXE0__HMPREF1064_04364
ERR1913141.434791__1.434791	1262882__R5MH81__BN519_00748
ERR1913141.435006__1.435006	1262882__R5MN65__BN519_00771
ERR1913141.435016__1.435016	239935__A0A2N8HEH9__CXU07_11710
ERR1913141.435172__1.435172	239935__A0A2N8HDT1__CXT94_05270
ERR1913141.435175__1.435175	820__R7E9Z4__DXC68_06065
ERR1913141.435295__1.435295	649756__D4MU45__ERS852425_01466
ERR1913141.435681__1.435681	1501391__GCA_000786575.1_00099
