ERR1913299.35__1.35	28052__A0A174HF53__ERS852499_00436
ERR1913299.400718__1.400718	166486__D4L0E1__ypdA_4
ERR1913299.400810__1.400810	39492__A0A174ZP27__EUBSIR_00033
ERR1913299.400824__1.400824	357276__B6VUQ5__B5F00_10940
ERR1913299.400858__1.400858	28052__R7NA50__ERS852499_01486
ERR1913299.400883__1.400883	39485__A0A174ZQT9__EUBELI_20278
ERR1913299.400903__1.400903	28111__E5WUE9__NCTC11155_01729
ERR1913299.400909__1.400909	39492__A0A174ZHV5__msbA_2
ERR1913299.400953__1.400953	2173__A0A1D2WSN7__Msm_1465
ERR1913299.401056__1.401056	39492__D4JQM9__EUBSIR_00669
ERR1913299.401010__1.401010	820__A0A174CG08__DXB62_13215
ERR1913299.401025__1.401025	39491__A0A396FNY7__LD38_16155
ERR1913299.401140__1.401140	357276__I9QBT7__BSEG_03340
ERR1913299.401179__1.401179	853__A0A174CVG7__CGS58_09335
ERR1913299.401187__1.401187	360807__A0A173RZE9__polC_2
ERR1913299.401366__1.401366	39491__A0A395UWA3__DXB69_11805
ERR1913299.401593__1.401593	818__A0A174VV39__BT_3492
ERR1913299.401547__1.401547	39491__D4JMW8__ERS852497_01971
ERR1913299.401623__1.401623	28052__A0A174HXN2__ERS852499_00609
ERR1913299.401637__1.401637	823__A0A174PDQ0__DXC05_08200
ERR1913299.401676__1.401676	39492__A0A174ZHV5__msbA_2
ERR1913299.401819__1.401819	1262886__R6QMR0__BN563_00320
ERR1913299.401827__1.401827	39491__A0A395UWA3__DXB69_11805
ERR1913299.401849__1.401849	39485__A0A174YYW2__benM
ERR1913299.401955__1.401955	39492__D4JVC7__yfgF
ERR1913299.402077__1.402077	28052__A0A174IKM0__ERS852499_00833
ERR1913299.402091__1.402091	39492__D4JQL8__ywpJ
ERR1913299.402194__1.402194	357276__I8W0U0__BACDOR_02820
ERR1913299.402214__1.402214	39492__D4JUR4__ERS852540_01427
ERR1913299.402153__1.402153	28052__A0A174MSU9__ERS852499_02010
ERR1913299.402269__1.402269	39492__D4JRR5__ERS852540_02089
ERR1913299.402280__1.402280	820__A0A174QLF0__SAMN05444418_109151
ERR1913299.402398__1.402398	28117__B0MTV0__BHV66_06395
ERR1913299.402408__1.402408	39491__A0A395ZHW9__DXC13_02590
ERR1913299.402355__1.402355	410072__A0A173S1W0__COPCOM_00541
ERR1913299.402371__1.402371	1150298__A0A174RJ10__ERS852535_00223
ERR1913299.402384__1.402384	823__D0TCC2__HMPREF1075_01590
ERR1913299.402394__1.402394	1381__group_451
ERR1913299.402552__1.402552	357276__B6VVS0__HMPREF1064_03951
ERR1913299.402574__1.402574	39492__D4JRY3__EUBSIR_01473
ERR1913299.402612__1.402612	28052__A0A174IKM0__ERS852499_00833
ERR1913299.402632__1.402632	28111__E5WUE9__NCTC11155_01729
ERR1913299.402776__1.402776	39492__R6RT40__prkC_3
ERR1913299.402796__1.402796	39492__D4JRM9__bglB_2
ERR1913299.402811__1.402811	39491__A0A395ZHV7__ykvU
ERR1913299.402826__1.402826	301302__R5VGE0__ERS852420_00121
ERR1913299.403005__1.403005	39491__D6E555__DXB99_06765
ERR1913299.403067__1.403067	39491__C4Z9Y3__ERS852417_01808
ERR1913299.403089__1.403089	357276__I9FTR0__HMPREF1065_02861
ERR1913299.403181__1.403181	357276__D1K3K9__EL88_23995
ERR1913299.403186__1.403186	39491__C4Z9E9__T1815_12341
ERR1913299.403394__1.403394	39492__D4JSG7__EUBSIR_01006
ERR1913299.403482__1.403482	853__A0A174AML0__FPR_08640
ERR1913299.403515__1.403515	166486__D4KUC4__arcB_1
ERR1913299.403492__1.403492	39492__D4JT68__spoIIIE
ERR1913299.403559__1.403559	39492__B0MPL6__EUBSIR_01779
ERR1913299.403648__1.403648	301302__A0A173TZN3__M72_00321
ERR1913299.403663__1.403663	357276__A0A0M1W9N4__GV66_05135
ERR1913299.403710__1.403710	166486__D4KZ14__inlA_1
ERR1913299.403718__1.403718	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913299.403765__1.403765	820__A0A374Q854__HMPREF1073_03281
ERR1913299.403840__1.403840	39491__A0A395ZKJ0__DXD13_11010
ERR1913299.403896__1.403896	357276__I9FRW5__B5F95_21685
ERR1913299.404015__1.404015	39492__D4JUJ6__ssuB_2
ERR1913299.404004__1.404004	239935__A0A2N8HSC0__CXU06_05505
ERR1913299.404066__1.404066	166486__D4KY48__gmr_5
ERR1913299.404218__1.404218	1150298__A0A174L2G3__ERS852498_01371
ERR1913299.404291__1.404291	28111__E5WWI4__HMPREF1016_01032
ERR1913299.404325__1.404325	39485__A0A174ZA08__EUBELI_01019
ERR1913299.404256__1.404256	39491__A0A396FF17__EUR_31400
ERR1913299.404264__1.404264	88431__A0A3D0EZN6__DORLON_02944
ERR1913299.404724__1.404724	39492__D4JUS6__accD5
ERR1913299.404683__1.404683	820__A0A139JUD3__DXC91_19380
ERR1913299.404763__1.404763	239935__A0A139TMY7__CXU13_02020
ERR1913299.404995__1.404995	820__A0A173YYG4__evgS_3
ERR1913299.404998__1.404998	39491__A0A174K265__DXB76_05915
ERR1913299.405031__1.405031	823__A0A174DZM1__DDY96_10310
ERR1913299.405075__1.405075	823__D7IRG1__NCTC11152_02276
ERR1913299.405147__1.405147	39492__D4MMN2__EUBSIR_00964
ERR1913299.405218__1.405218	357276__B6VW91__BACDOR_01584
ERR1913299.405362__1.405362	820__A0A3E4RTP0__C801_01067
ERR1913299.405582__1.405582	820__A0A174DZ97__SAMN05444418_101240
ERR1913299.405772__1.405772	166486__D4KXZ7__ROSINTL182_05052
ERR1913299.405862__1.405862	39492__D4JWY1__rnfA_1
ERR1913299.405944__1.405944	39492__D4JTW7__EUBSIR_00859
ERR1913299.406006__1.406006	39492__D4JQS7__ERS852540_01645
ERR1913299.405969__1.405969	39485__C4Z1Y9__EUBELI_00143
ERR1913299.405975__1.405975	301302__A0A173T3P5__ERS852420_01836
ERR1913299.406093__1.406093	39492__D4MIK7__EUBSIR_00676
ERR1913299.406240__1.406240	39492__D4JV70__EUBSIR_01253
ERR1913299.406243__1.406243	823__A0A395YRW4__DD466_15895
ERR1913299.406334__1.406334	39492__R6SPM9__pheT
ERR1913299.406300__1.406300	626929__F3PKF4__SAMN05444376_0707
ERR1913299.406459__1.406459	239935__A0A2N8IRH4__CXT92_05605
ERR1913299.406430__1.406430	39492__D4JV86__spoIIE
ERR1913299.406535__1.406535	39491__A0A395ZG74__licR
ERR1913299.406544__1.406544	166486__A0A173RAP7__ROSINTL182_07969
ERR1913299.406582__1.406582	820__A0A078STJ8__DXC68_04690
ERR1913299.406714__1.406714	39492__D4JUP6__ERS852540_01404
ERR1913299.406756__1.406756	39491__D6E2U1__EUBREC_3278
ERR1913299.406853__1.406853	39492__D4JRM9__bglB_2
ERR1913299.406940__1.406940	823__A0A174MNW4__M091_0199
ERR1913299.406777__1.406777	301302__A0A173R6H4__M72_21671
ERR1913299.406924__1.406924	357276__C3R9Y0__HMPREF1064_01889
ERR1913299.407103__1.407103	39492__D4MMZ8__ERS852540_01407
ERR1913299.407167__1.407167	39492__D4JRZ7__smc
ERR1913299.407325__1.407325	39491__A0A396FP46__cobD_2
ERR1913299.407456__1.407456	39492__D4JVT0__EUBSIR_00059
ERR1913299.407498__1.407498	39492__D4JQU6__ERS852540_02194
ERR1913299.407552__1.407552	39492__D4JRZ7__smc
ERR1913299.407735__1.407735	39492__D4JTF2__mutS2
ERR1913299.407859__1.407859	301302__R5UMP3__lytC_3
ERR1913299.407970__1.407970	820__A0A3E4VXP2__yesR
ERR1913299.408246__1.408246	39492__D4JTF2__mutS2
ERR1913299.408436__1.408436	301302__A0A173RJJ7__ERS852420_00620
ERR1913299.408523__1.408523	820__R9I2U8__DXC68_09590
ERR1913299.408607__1.408607	1150298__A0A174KDX3__ERS852498_01212
ERR1913299.408795__1.408795	39492__D4JQL8__ywpJ
ERR1913299.408842__1.408842	820__A0A174QLF0__SAMN05444418_109151
ERR1913299.408783__1.408783	39491__D4JMW8__ERS852497_01971
ERR1913299.408952__1.408952	39491__A0A174K265__DXB76_05915
ERR1913299.408960__1.408960	39492__D4JSD3__EUBSIR_00131
ERR1913299.409049__1.409049	39491__A0A395UYA6__EUBREC_0408
ERR1913299.409141__1.409141	823__D0TAX5__HMPREF1075_01064
ERR1913299.409164__1.409164	1262743__R5C054__BN727_01980
ERR1913299.409166__1.409166	820__A0A139KHX1__HMPREF2141_00289
ERR1913299.409216__1.409216	39491__A0A395ZHW9__DXC13_02590
ERR1913299.409274__1.409274	820__A0A174M9V5__M093_0237
ERR1913299.409287__1.409287	39491__A0A174EQV2__DXB69_10230
ERR1913299.409315__1.409315	39492__D4JV86__spoIIE
ERR1913299.409328__1.409328	39492__B0MNQ2__EUBSIR_01459
ERR1913299.409340__1.409340	39492__D4JTG7__EUBSIR_00572
ERR1913299.409411__1.409411	39492__D4MIK7__EUBSIR_00676
ERR1913299.409553__1.409553	39492__D4JQS6__ykoD
ERR1913299.409632__1.409632	39491__D4JIB6__ERS852417_01685
ERR1913299.409803__1.409803	820__A0A139KH21__DXC80_01780
ERR1913299.409772__1.409772	39492__D4JQL8__ywpJ
ERR1913299.409783__1.409783	166486__D4L301__ROSINTL182_06234
ERR1913299.409825__1.409825	166486__D4L3B1__ERS852572_03645
ERR1913299.410020__1.410020	39491__A0A173TAZ5__DXB99_09520
ERR1913299.410067__1.410067	39492__D4JU81__xseA
ERR1913299.410312__1.410312	853__A0A173XRA8__CGS56_09290
ERR1913299.410317__1.410317	39491__A0A396FTE5__ERS852417_01346
ERR1913299.410364__1.410364	39492__D4JVC7__yfgF
ERR1913299.410525__1.410525	28052__A0A174N8X0__ERS852499_02136
ERR1913299.410605__1.410605	239935__A0A2N8I1R3__CXU05_06075
ERR1913299.410725__1.410725	47678__R5UT83__DW706_09750
ERR1913299.410773__1.410773	39492__D4MIK7__EUBSIR_00676
ERR1913299.410904__1.410904	39492__D4JW10__pppA
ERR1913299.411035__1.411035	39496__A5Z5I2__EUBVEN_00963
ERR1913299.411046__1.411046	357276__D1JYA3__BSEG_00395
ERR1913299.411212__1.411212	823__A0A355XKQ8__DHP27_04010
ERR1913299.411231__1.411231	820__R7E9Z4__DXC68_06065
ERR1913299.411262__1.411262	39491__A0A174K9A3__DXB69_07785
ERR1913299.411351__1.411351	28116__E5CCI3__NCTC11153_04275
ERR1913299.411405__1.411405	1262911__R6HI44__BN557_01691
ERR1913299.411572__1.411572	357276__A0A076IKP7__BACDOR_04239
ERR1913299.411635__1.411635	39492__D4JQY4__EUBSIR_01325
ERR1913299.411643__1.411643	1150298__R7JUW7__ERS852406_02089
ERR1913299.411655__1.411655	1150298__R7JUX4__ERS852535_02669
ERR1913299.411614__1.411614	239935__A0A139TSG7__CXU17_09600
ERR1913299.411690__1.411690	39491__A0A395ZDC6__addB
ERR1913299.411817__1.411817	39492__D4JV86__spoIIE
ERR1913299.411857__1.411857	544645__A0A1Y3VLY1__DXC42_17440
ERR1913299.411794__1.411794	357276__A0A3E4JJ65__HMPREF1064_00497
ERR1913299.411797__1.411797	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913299.412030__1.412030	1550024__G9RWE0__TQ39_04155
ERR1913299.412136__1.412136	39492__D4JWR6__dnaN
ERR1913299.412114__1.412114	28052__A0A174MLS2__ERS852451_02445
ERR1913299.412115__1.412115	39492__D4JVG7__ERS852540_00946
ERR1913299.412160__1.412160	39491__D4JMW8__ERS852497_01971
ERR1913299.412341__1.412341	357276__A0A076INK2__BSEG_04225
ERR1913299.412371__1.412371	39492__D4JX05__EUBSIR_01678
ERR1913299.412423__1.412423	821__I9R3W6__DXC16_12455
ERR1913299.412501__1.412501	204516__U6R9E6__HMPREF1534_03149
ERR1913299.412555__1.412555	39491__A0A0M6WBQ6__ERS852417_02951
ERR1913299.412632__1.412632	706562__GCA_900112995.1_01415
ERR1913299.412643__1.412643	39492__D4JWL2__ERS852540_01201
ERR1913299.412669__1.412669	39492__D4JUR4__ERS852540_01427
ERR1913299.412689__1.412689	39492__D4JVZ6__truB
ERR1913299.412798__1.412798	322505__group_105
ERR1913299.412846__1.412846	39492__D4JU94__ispE
ERR1913299.412912__1.412912	1897011__A0A1Q6RE92__BHW41_04980
ERR1913299.413074__1.413074	28052__R7NAP6__ERS852499_01969
ERR1913299.413089__1.413089	1262911__R6GNY6__BN557_00004
ERR1913299.413161__1.413161	823__A0A073I9P2__CF162_18000
ERR1913299.413167__1.413167	39492__B0MM84__lgt
ERR1913299.413195__1.413195	39492__D4JQL8__ywpJ
ERR1913299.413246__1.413246	39491__A0A396FF66__DXD95_01810
ERR1913299.413347__1.413347	820__A0A1T4IY80__ERS852554_01621
ERR1913299.413399__1.413399	39492__D4JTG7__EUBSIR_00572
ERR1913299.413372__1.413372	357276__A6L053__ABI39_04450
ERR1913299.413375__1.413375	1150298__R7JUS2__ERS852498_02193
ERR1913299.413450__1.413450	166486__D4L458__ROSINTL182_07088
ERR1913299.413545__1.413545	357276__I9QPN0__B5F95_09195
ERR1913299.413641__1.413641	39492__D4JT87__clpC
ERR1913299.413604__1.413604	239935__A0A2N8IV82__CXT99_06735
ERR1913299.413614__1.413614	745368__A0A1T4Y0J9__SAMN02745178_02604
ERR1913299.413658__1.413658	1150298__A0A174QAL8__ERS852498_02570
ERR1913299.413796__1.413796	820__A0A139JRS5__HMPREF1073_04025
ERR1913299.413831__1.413831	39491__C4ZCV7__ERE_23110
ERR1913299.413942__1.413942	1150298__R7JU58__ssuC_2
ERR1913299.413977__1.413977	820__A0A3E4G826__C801_01612
ERR1913299.413998__1.413998	820__A0A374QGD2__ERS852421_02382
ERR1913299.414034__1.414034	39492__D4JWY0__EUBSIR_01648
ERR1913299.414275__1.414275	357276__A0A0M1W1I8__ABI39_13620
ERR1913299.414313__1.414313	29361__B6FRT6__CLONEX_02860
ERR1913299.414428__1.414428	39492__D4JQU2__EUBSIR_01294
ERR1913299.414618__1.414618	39492__D4JRV7__EUBSIR_01513
ERR1913299.414693__1.414693	820__A0A3E4W6P0__gmhA
ERR1913299.414698__1.414698	39492__A0A175A133__cycB_1
ERR1913299.414700__1.414700	823__A6LB62__B5F32_04550
ERR1913299.414767__1.414767	28052__R7N9Y1__spoIIE
ERR1913299.414838__1.414838	823__A0A355XPA0__DXB14_05710
ERR1913299.414916__1.414916	823__D7IUM6__M091_1082
ERR1913299.414961__1.414961	820__A0A139JY23__B5G17_06330
ERR1913299.414994__1.414994	39491__A0A174EQV2__DXB69_10230
ERR1913299.415007__1.415007	821__A0A173XDD3__DXB82_17180
ERR1913299.415112__1.415112	39492__D4JUR4__ERS852540_01427
ERR1913299.415171__1.415171	39492__A0A174ZG93__EUBSIR_00254
ERR1913299.415177__1.415177	166486__D4KZW9__degS
ERR1913299.415268__1.415268	39492__D4JR20__trmD
ERR1913299.415336__1.415336	166486__D4L255__mcp4_5
ERR1913299.415367__1.415367	820__A0A139JUD3__DXC91_19380
ERR1913299.415432__1.415432	39492__D4JR08__ERS852540_02467
ERR1913299.415387__1.415387	39491__A0A174G6M3__DXD13_14470
ERR1913299.415533__1.415533	39485__C4Z069__EUBELI_00981
ERR1913299.415602__1.415602	28111__E5X205__NCTC11155_00661
ERR1913299.415612__1.415612	820__A0A3E4VZY4__ERS852554_01211
ERR1913299.415555__1.415555	166486__D4KMI6__ERS852572_01515
ERR1913299.415648__1.415648	292800__H1CA44__A4U99_06280
ERR1913299.415703__1.415703	823__A6LB62__B5F32_04550
ERR1913299.415720__1.415720	820__A0A3E4IBC1__M094_0628
ERR1913299.415763__1.415763	357276__A0A0K2HDV9__DXD47_02600
ERR1913299.415858__1.415858	301302__A0A173V3Z4__ecfA1_3
ERR1913299.416121__1.416121	28052__A0A174HF53__ERS852499_00436
ERR1913299.416325__1.416325	28052__A0A174JNK0__ERS852451_01116
ERR1913299.416401__1.416401	818__A0A174Q773__SAMN02910322_03683
ERR1913299.416424__1.416424	39491__C4ZF05__vpr
ERR1913299.416474__1.416474	1262911__R6GPC5__BN557_00852
ERR1913299.416485__1.416485	39491__A0A395UZ89__DXB72_12805
ERR1913299.416540__1.416540	39492__D4JTF2__mutS2
ERR1913299.416594__1.416594	39492__D4JWD3__EUBSIR_00151
ERR1913299.416652__1.416652	820__A0A139KJ23__celCCA
ERR1913299.416695__1.416695	39491__A0A395ZF49__DXB69_05290
ERR1913299.416740__1.416740	39492__R6SA81__EUBSIR_00402
ERR1913299.416747__1.416747	39491__C4ZC33__DXC13_11585
ERR1913299.416868__1.416868	820__A0A139KH21__DXC80_01780
ERR1913299.416872__1.416872	39491__A0A396FUZ3__phoR_1
ERR1913299.416976__1.416976	820__A7UYX8__DXD40_11635
ERR1913299.417037__1.417037	239935__A0A139TPG3__CXT86_08810
ERR1913299.417117__1.417117	1896974__A0A1Q6H7S4__BHV77_07555
ERR1913299.417174__1.417174	1099853__G9S6K9__NSB1T_13415
ERR1913299.417228__1.417228	166486__D4KM62__ERS852572_03251
ERR1913299.417298__1.417298	39492__D4JUS6__accD5
ERR1913299.417316__1.417316	357276__A0A076IS73__GV66_00410
ERR1913299.417359__1.417359	360807__C0FYL6__ROSEINA2194_03855
ERR1913299.417342__1.417342	39492__D4JRM9__bglB_2
ERR1913299.417397__1.417397	1150298__A0A174HXS4__ERS852498_00503
ERR1913299.417562__1.417562	1262886__R6QC93__BN563_01464
ERR1913299.417567__1.417567	39491__A0A173QT73__alaS_2
ERR1913299.417584__1.417584	39492__D4JRM9__bglB_2
ERR1913299.417653__1.417653	39492__D4JVC7__yfgF
ERR1913299.417715__1.417715	39492__D4JT75__EUBSIR_01776
ERR1913299.417733__1.417733	823__A0A395YSW8__CF162_05645
ERR1913299.417757__1.417757	820__A0A139JRS5__HMPREF1073_04025
ERR1913299.417828__1.417828	28111__E5X120__NCTC11155_02427
ERR1913299.417902__1.417902	818__A0A0N7IAV7__ERS852557_04536
ERR1913299.417938__1.417938	1501392__A0A0B2JQC5__PU94_00940
ERR1913299.417966__1.417966	204516__U6RFB2__HMPREF1534_01733
ERR1913299.417970__1.417970	357276__A0A076IRZ5__BACDOR_00630
ERR1913299.418075__1.418075	39492__B0MNU1__ERS852540_02349
ERR1913299.418109__1.418109	820__A0A173XIP7__B5G17_16050
ERR1913299.418136__1.418136	820__R9HVB9__DXC68_17285
ERR1913299.418191__1.418191	39492__D4JQU6__ERS852540_02194
ERR1913299.418213__1.418213	39492__D4JRZ7__smc
ERR1913299.418239__1.418239	853__A0A174BZY1__xerD_1
ERR1913299.418376__1.418376	28052__A0A174IKM0__ERS852499_00833
ERR1913299.418383__1.418383	39485__A0A174ZQT9__EUBELI_20278
ERR1913299.418385__1.418385	39492__D4JX34__ERS852540_00411
ERR1913299.418467__1.418467	39492__D4JV86__spoIIE
ERR1913299.418580__1.418580	820__A0A3E4G493__ERS417307_00253
ERR1913299.418614__1.418614	239935__A0A2N8HTZ8__CXU09_01270
ERR1913299.418641__1.418641	39492__D4JT87__clpC
ERR1913299.418676__1.418676	39491__A0A396FEW6__T1815_18721
ERR1913299.418685__1.418685	39491__A0A395ZHV7__ykvU
ERR1913299.418712__1.418712	39492__D4JVW2__EUBSIR_02285
ERR1913299.418920__1.418920	820__A0A173W419__DXC68_17760
ERR1913299.418965__1.418965	820__A0A3E4XDK3__ERS852554_03650
ERR1913299.418977__1.418977	166486__A0A173T114__ROSINTL182_05085
ERR1913299.419003__1.419003	39491__A0A396FMT0__EUBREC_3020
ERR1913299.419164__1.419164	28111__R5JN40__HMPREF1016_01803
ERR1913299.419142__1.419142	853__A0A173XRA8__CGS56_09290
ERR1913299.419424__1.419424	823__A0A355XPA0__DXB14_05710
ERR1913299.419471__1.419471	820__A0A3E4G3J9__ERS852459_02265
ERR1913299.419561__1.419561	39485__C4Z6B7__EUBELI_20364
ERR1913299.419604__1.419604	1262911__R6HJT1__BN557_00291
ERR1913299.419912__1.419912	820__R7E9Z4__DXC68_06065
ERR1913299.419991__1.419991	820__A0A1Q6IDS8__chtA
ERR1913299.420027__1.420027	39492__D4JQM9__EUBSIR_00669
ERR1913299.420134__1.420134	39492__D4JWJ4__EUBSIR_01090
ERR1913299.420172__1.420172	820__A7V8C2__ERS852554_01338
ERR1913299.420152__1.420152	39492__D4JT67__EUBSIR_01784
ERR1913299.420353__1.420353	28052__A0A174MSU9__ERS852499_02010
ERR1913299.420317__1.420317	626929__F3PKF4__SAMN05444376_0707
ERR1913299.420376__1.420376	28111__R5K5R2__NCTC11155_00605
ERR1913299.420420__1.420420	28052__A0A174YZ18__ERS852499_01382
ERR1913299.420472__1.420472	1150298__A0A174AM35__ERS852498_00645
ERR1913299.420604__1.420604	28052__A0A174M9U3__ERS852451_02548
ERR1913299.420642__1.420642	166486__D4KNM9__ERS852572_00072
ERR1913299.420648__1.420648	39492__D4MMZ8__ERS852540_01407
ERR1913299.420658__1.420658	1150298__A0A174EA00__ERS852406_01720
ERR1913299.420660__1.420660	28052__A0A174NCW7__ERS852499_02172
ERR1913299.420722__1.420722	39492__D4JUD7__EUBSIR_01877
ERR1913299.420974__1.420974	39491__A0A395UZL1__DXB76_05950
ERR1913299.421006__1.421006	821__A0A174NVL6__NCTC10583_01782
ERR1913299.421217__1.421217	820__A0A374Q1D8__SAMN05444418_112114
ERR1913299.421403__1.421403	39492__D4JWI6__EUBSIR_01073
ERR1913299.421416__1.421416	39491__A0A395UZ82__EUR_31520
ERR1913299.421417__1.421417	39492__B0MN61__epsF_2
ERR1913299.421449__1.421449	39491__A0A395UZ89__DXB72_12805
ERR1913299.421470__1.421470	39492__D4JRZ7__smc
ERR1913299.421492__1.421492	853__A0A3E2U7E6__ERS852582_01640
ERR1913299.421560__1.421560	357276__A0A0K2HMX2__HMPREF1063_03979
ERR1913299.421592__1.421592	39492__D4JQL8__ywpJ
ERR1913299.421668__1.421668	821__I9R3W6__DXC16_12455
ERR1913299.421690__1.421690	39485__A0A174ZTY8__ycfH
ERR1913299.421723__1.421723	39491__A0A396FMF1__EUR_28700
ERR1913299.421751__1.421751	1099853__U5CN37__NSB1T_00425
ERR1913299.421814__1.421814	626929__F3PKG7__SAMN05444376_0720
ERR1913299.421795__1.421795	40520__A0A395X2X5__C4886_03165
ERR1913299.421849__1.421849	166486__D4KWR9__dapF_1
ERR1913299.422014__1.422014	291644__I8YFE9__HMPREF1071_02973
ERR1913299.422111__1.422111	357276__I9R994__BACDOR_04044
ERR1913299.422149__1.422149	28111__E5WVR8__NCTC11155_02792
ERR1913299.422321__1.422321	39492__D4JW10__pppA
ERR1913299.422325__1.422325	39492__D4JR08__ERS852540_02467
ERR1913299.422351__1.422351	1393034__GCA_001552785.1_00506
ERR1913299.422397__1.422397	357276__I9R002__HMPREF1064_01826
ERR1913299.422465__1.422465	168384__C6LDD4__BRYFOR_06543
ERR1913299.422474__1.422474	39492__D4JX40__EUBSIR_00020
ERR1913299.422534__1.422534	301302__A0A0M6WXK9__chtA
ERR1913299.422547__1.422547	39492__D4JSS9__btuF
ERR1913299.422479__1.422479	39492__B0MM26__ERS852540_00640
ERR1913299.422568__1.422568	823__A0A069SAX6__ERS852380_00710
ERR1913299.422600__1.422600	1150298__A0A174PC05__ERS852498_00682
ERR1913299.422603__1.422603	28116__A0A078QGJ1__AA414_00533
ERR1913299.422700__1.422700	39491__C4Z9K0__DXD95_07445
ERR1913299.422783__1.422783	204516__U6RDD8__HMPREF1534_02559
ERR1913299.422975__1.422975	39491__C4ZC33__DXC13_11585
ERR1913299.423091__1.423091	39492__D4JVG7__ERS852540_00946
ERR1913299.423224__1.423224	39492__D4JTF2__mutS2
ERR1913299.423249__1.423249	39492__D4JUL4__ERS852540_01381
ERR1913299.423315__1.423315	39492__D4JSA4__ERS852540_00596
ERR1913299.423671__1.423671	39492__D4JU30__EUBSIR_00838
ERR1913299.423894__1.423894	39492__D4JT68__spoIIIE
ERR1913299.423926__1.423926	39492__D4JSU6__dacB_3
ERR1913299.423965__1.423965	360807__A0A1Q6T7T2__artP
ERR1913299.423975__1.423975	1099853__U5CMJ0__NSB1T_01275
ERR1913299.424145__1.424145	204516__U6R9E0__HMPREF1534_03742
ERR1913299.424254__1.424254	39492__D4JRM9__bglB_2
ERR1913299.424237__1.424237	820__I9J701__ERS852510_01809
ERR1913299.424293__1.424293	1501392__A0A0B2JQY8__PU94_02635
ERR1913299.424347__1.424347	820__A0A174RFI5__SAMN05444418_12240
ERR1913299.424306__1.424306	46506__R6LAK5__SAMN05444283_11231
ERR1913299.424357__1.424357	39492__D4JTJ1__EUBSIR_01453
ERR1913299.424446__1.424446	39491__D4JM76__DXC13_02150
ERR1913299.424512__1.424512	39491__C4Z9J5__DXB69_02495
ERR1913299.424582__1.424582	39492__D4JV86__spoIIE
ERR1913299.424772__1.424772	820__A0A078STJ8__DXC68_04690
ERR1913299.424787__1.424787	649756__D4MWN6__ERS852571_00821
ERR1913299.424823__1.424823	357276__A0A0M1VYB8__HMPREF1063_02104
ERR1913299.424986__1.424986	39491__R6TQ09__DXC13_03010
ERR1913299.424914__1.424914	301302__R5VCU3__cbiK_2
ERR1913299.425011__1.425011	33039__D4M6R8__bglB_8
ERR1913299.425149__1.425149	39492__A0A174ZHV5__msbA_2
ERR1913299.425262__1.425262	28052__A0A174MSU9__ERS852499_02010
ERR1913299.425283__1.425283	39492__D4JU79__EUBSIR_01975
ERR1913299.425436__1.425436	820__A0A139K8N1__ERS852554_00951
ERR1913299.425460__1.425460	357276__I8VQA2__HMPREF1065_04183
ERR1913299.425510__1.425510	1550024__G9RVD5__ASJ35_04350
ERR1913299.425516__1.425516	39492__D4JTH4__ERS852540_00702
ERR1913299.425591__1.425591	39492__D4JRV5__acrR_2
ERR1913299.425606__1.425606	626929__F3PK56__HMPREF9445_02329
ERR1913299.425622__1.425622	823__A0A069SAX6__ERS852380_00710
ERR1913299.425652__1.425652	821__A0A174NVL6__NCTC10583_01782
ERR1913299.425752__1.425752	301302__A0A173TNM6__luxQ
ERR1913299.425713__1.425713	28052__R7N8Y9__macB_4
ERR1913299.425769__1.425769	47678__R5U8S9__DW706_06260
ERR1913299.425776__1.425776	28111__R5JN40__HMPREF1016_01803
ERR1913299.425807__1.425807	39492__D4JQS6__ykoD
ERR1913299.425830__1.425830	1262915__R6HNJ1__BN574_00913
ERR1913299.425844__1.425844	357276__I9QDB8__B5F95_08105
ERR1913299.426031__1.426031	823__A0A173W404__DHP27_04905
ERR1913299.426054__1.426054	39492__D4JVT0__EUBSIR_00059
ERR1913299.426137__1.426137	39491__D6E118__DXB69_05765
ERR1913299.426138__1.426138	39492__D4JW28__spoVFA
ERR1913299.426156__1.426156	820__A0A173YYG4__evgS_3
ERR1913299.426200__1.426200	820__A0A3E4HWJ4__DXD40_05945
ERR1913299.426290__1.426290	39492__D4JTU4__ykfG
ERR1913299.426341__1.426341	357276__I8VN30__HMPREF1065_03051
ERR1913299.426509__1.426509	357276__B6W5Q9__HMPREF1063_03125
ERR1913299.426513__1.426513	39492__D4JWR6__dnaN
ERR1913299.426435__1.426435	301302__A0A173TWC1__phoR_7
ERR1913299.426445__1.426445	39492__D4JSG7__EUBSIR_01006
ERR1913299.426631__1.426631	1150298__R7JU58__ssuC_2
ERR1913299.426753__1.426753	357276__I8WBQ9__HMPREF1065_03212
ERR1913299.426761__1.426761	338188__A0A174ADB6__rfbE
ERR1913299.426808__1.426808	39491__A0A395ZF49__DXB69_05290
ERR1913299.426860__1.426860	39491__A0A395ZBW8__DXC13_08840
ERR1913299.426938__1.426938	39492__D4JWI6__EUBSIR_01073
ERR1913299.426997__1.426997	39492__R6RYB8__ERS852540_00322
ERR1913299.427015__1.427015	823__A0A073I5R7__cloSI
ERR1913299.427020__1.427020	166486__C7GE31__ganB_3
