ERR1913204.80__1.80	1262882__R5ML49__BN519_01361
ERR1913204.712279__1.712279	301302__A0A173SCU7__M72_12871
ERR1913204.712320__1.712320	487174__K0XLV6__DIT83_00940
ERR1913204.712554__1.712554	1262882__R5MFY4__BN519_00529
ERR1913204.712597__1.712597	39492__R6SPM9__pheT
ERR1913204.712723__1.712723	328814__GCA_004558275.1_00986
ERR1913204.712730__1.712730	214856__I3YPQ8__ERS852447_01371
ERR1913204.712776__1.712776	1262882__R5MND9__BN519_00831
ERR1913204.712771__1.712771	301302__A0A0M6WBZ5__spr
ERR1913204.712924__1.712924	818__A0A139JVX2__ERS852557_01101
ERR1913204.713148__1.713148	239935__A0A139TPG3__CXT86_08810
ERR1913204.713231__1.713231	1897011__A0A1Q6RDN7__BHW41_05650
ERR1913204.713408__1.713408	821__A0A0P0LKG6__HMPREF1058_02188
ERR1913204.713479__1.713479	556259__I0PXW0__BSGG_5187
ERR1913204.713631__1.713631	487174__K0XEE4__DDY40_09500
ERR1913204.713788__1.713788	239935__A0A2N8IV82__CXT99_06735
ERR1913204.713801__1.713801	214856__I3YPQ4__Alfi_2712
ERR1913204.713855__1.713855	39492__D4MMN2__EUBSIR_00964
ERR1913204.713881__1.713881	1897011__A0A1Q6RBY6__BHW41_06440
ERR1913204.713934__1.713934	47678__R5U8Y1__BACCAC_02615
ERR1913204.714189__1.714189	410072__A0A173S1W0__COPCOM_00541
ERR1913204.714329__1.714329	821__A6L0C7__ERS852556_03520
ERR1913204.714333__1.714333	214856__A0A174EQR4__rsmA
ERR1913204.714514__1.714514	47678__R5UUB5__ERS852558_00247
ERR1913204.714643__1.714643	1262882__R5MQ63__BN519_01173
ERR1913204.714596__1.714596	214856__A0A174CRY5__ERS852559_01060
ERR1913204.714690__1.714690	214856__I3YPP9__Alfi_2707
ERR1913204.714855__1.714855	410072__A0A173WZ94__DXD67_05780
ERR1913204.715152__1.715152	649756__D4MVD8__ERS852475_00940
ERR1913204.715080__1.715080	1262882__R5MIY9__BN519_01097
ERR1913204.715210__1.715210	39496__A5Z5I2__EUBVEN_00963
ERR1913204.715453__1.715453	1965604__A0A1Y4EJ55__B5F54_16845
ERR1913204.715677__1.715677	1262882__R5MJZ4__BN519_01269
ERR1913204.715703__1.715703	487174__R5F3K6__DDY40_04230
ERR1913204.715839__1.715839	214856__R6Z288__ERS852447_00734
ERR1913204.715914__1.715914	1262911__R6HIJ8__BN557_01742
ERR1913204.716000__1.716000	214856__I3YPR5__ERS852447_01364
ERR1913204.716124__1.716124	1262882__R5MRS7__BN519_01490
ERR1913204.716265__1.716265	821__A0A395UNT8__DXD64_15275
ERR1913204.716663__1.716663	1262882__R5N211__BN519_01033
ERR1913204.716727__1.716727	214856__I3YPQ4__Alfi_2712
ERR1913204.716717__1.716717	28118__F9ZCN9__DHW44_07820
ERR1913204.716719__1.716719	214856__R6Z5D0__resA_4
ERR1913204.716874__1.716874	1262911__R6H174__BN557_01246
ERR1913204.717108__1.717108	214856__I3YPQ0__ERS852447_01379
ERR1913204.717111__1.717111	1897011__A0A1Q6RH35__BHW41_01705
ERR1913204.717075__1.717075	1318__I1ZK58__CYK20_05565
ERR1913204.717427__1.717427	214856__I3YPP1__Alfi_2699
ERR1913204.717398__1.717398	214856__A0A174ZZS1__ERS852559_01484
ERR1913204.717461__1.717461	1262882__R5MLP0__BN519_01597
ERR1913204.717512__1.717512	214856__I3YPI7__pepD_1
ERR1913204.717599__1.717599	239935__B2URG9__CXU00_11290
ERR1913204.717684__1.717684	47678__R5U9Z0__HMPREF1061_03210
ERR1913204.717703__1.717703	214856__R6Y1K2__ERS852447_02306
ERR1913204.717767__1.717767	301302__R5V5K3__M72_10541
ERR1913204.717856__1.717856	487174__K0WRI1__DIT83_06780
ERR1913204.717877__1.717877	39492__D4JRM4__tap_5
ERR1913204.717991__1.717991	487174__K0X070__HMPREF9448_01324
ERR1913204.718135__1.718135	1262882__R5MEN9__BN519_00201
ERR1913204.718440__1.718440	28116__A0A1Y4Q112__evgS_13
ERR1913204.718671__1.718671	818__A0A0N7I9M6__Btheta7330_00939
ERR1913204.718743__1.718743	33025__A0A395JEP7__C8D73_10844
ERR1913204.718790__1.718790	1262882__R5MJ49__BN519_01124
ERR1913204.718975__1.718975	214856__I3YPQ8__ERS852447_01371
ERR1913204.719031__1.719031	1535__A7VWN8__CH238_02485
ERR1913204.719195__1.719195	214856__A0A174C683__ERS852559_00523
ERR1913204.719203__1.719203	1262882__R5MKL9__BN519_00353
ERR1913204.719487__1.719487	1262882__R5MS31__BN519_01529
ERR1913204.719604__1.719604	214856__I3YPR6__Alfi_2724
ERR1913204.719780__1.719780	649756__B0NYW1__DCR88_01045
ERR1913204.719956__1.719956	39496__A5Z5I2__EUBVEN_00963
ERR1913204.720008__1.720008	291645__I8WZT8__HMPREF1068_04327
ERR1913204.720823__1.720823	301302__A0A0M6WWC3__M72_11371
ERR1913204.721151__1.721151	649756__L1Q1A0__ERS852425_01427
ERR1913204.721156__1.721156	649756__D4MW50__HMPREF0369_01323
ERR1913204.721337__1.721337	1235835__R9LCU2__C814_02677
ERR1913204.721761__1.721761	47678__R5UA23__C5Z00_15610
ERR1913204.722560__1.722560	214856__I3YK71__ERS852559_02472
ERR1913204.722917__1.722917	1262911__R6GPB1__BN557_00837
ERR1913204.723435__1.723435	239935__A0A2N8I9I3__CXU19_12035
ERR1913204.723570__1.723570	1262882__R5N532__BN519_01420
ERR1913204.723472__1.723472	214856__I3YMN6__Alfi_1938
ERR1913204.723891__1.723891	818__A0A3E5GY25__NCTC13706_02482
ERR1913204.723792__1.723792	214856__I3YPP9__Alfi_2707
ERR1913204.723921__1.723921	487174__K0XRP0__DDY40_09260
ERR1913204.723925__1.723925	371601__A0A174FWT4__SAMN04487924_11134
ERR1913204.723962__1.723962	214856__R6Z288__ERS852447_00734
ERR1913204.724042__1.724042	487174__K0XK80__DIT83_00335
ERR1913204.724282__1.724282	214856__R5UN64__ERS852447_02669
ERR1913204.724197__1.724197	239935__A0A2N8IMC3__CXT96_03840
ERR1913204.724432__1.724432	745368__A0A1T4WBZ5__SAMN02745178_00335
ERR1913204.724417__1.724417	214856__A0A174EJT5__mnmA
ERR1913204.724476__1.724476	214856__I3YPP0__ERS852447_01388
ERR1913204.724723__1.724723	214856__R6Y6H8__ERS852447_01719
ERR1913204.724861__1.724861	214856__R6Y6H8__ERS852447_01719
ERR1913204.724981__1.724981	47678__R5UG30__ERS852558_03525
ERR1913204.725303__1.725303	328814__GCA_004558275.1_00056
ERR1913204.725269__1.725269	292800__A0A173ZCZ3__A4U99_03035
ERR1913204.725656__1.725656	214856__I3YPN9__ERS852447_01389
ERR1913204.725752__1.725752	39492__D4JTL0__EUBSIR_01428
ERR1913204.726012__1.726012	214856__R5UN64__ERS852447_02669
ERR1913204.726078__1.726078	39485__C4Z6F3__EUBELI_20400
ERR1913204.726086__1.726086	214856__R6Z3P8__ERS852559_01737
ERR1913204.726148__1.726148	214856__R6Z288__ERS852447_00734
ERR1913204.726228__1.726228	39490__U2PBV8__ERS852448_00639
ERR1913204.726168__1.726168	487174__R5EPJ7__HMPREF9448_00444
ERR1913204.726510__1.726510	214856__R6Z5D0__resA_4
ERR1913204.726565__1.726565	214856__I3YMC8__ERS852447_02666
ERR1913204.726655__1.726655	214856__I3YPN9__ERS852447_01389
ERR1913204.726728__1.726728	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913204.726781__1.726781	301302__A0A173UN64__manA_2
ERR1913204.726805__1.726805	1965604__A0A1Y4EIR7__B5F54_16765
ERR1913204.726851__1.726851	214856__A0A173W3Y5__ERS852559_02032
ERR1913204.726874__1.726874	214856__R6XUN2__rcsC_1
ERR1913204.727019__1.727019	1262882__R5MSI5__BN519_01596
ERR1913204.726953__1.726953	214856__R6Z7Q9__ERS852447_02172
ERR1913204.727216__1.727216	214856__I3YMB7__Alfi_1811
ERR1913204.727369__1.727369	487174__K0WXG8__DIT83_09300
ERR1913204.727312__1.727312	328814__GCA_004558275.1_00391
ERR1913204.727422__1.727422	214856__A0A174CRY5__ERS852559_01060
ERR1913204.727485__1.727485	28118__F9Z4H5__DHW44_02810
ERR1913204.727581__1.727581	214856__R6Z5D0__resA_4
ERR1913204.727571__1.727571	1262882__R5N211__BN519_01033
ERR1913204.727650__1.727650	1262882__R5N0J9__BN519_00773
ERR1913204.727759__1.727759	1262882__R5MF58__BN519_00393
ERR1913204.727954__1.727954	1150298__R7JRC9__ERS852535_00719
ERR1913204.728123__1.728123	487174__K0WZU9__HMPREF9448_01159
ERR1913204.728310__1.728310	1262882__R5MMZ6__BN519_00737
ERR1913204.728314__1.728314	1262882__R5MKV8__BN519_01281
ERR1913204.728434__1.728434	487174__K0WWY0__DIT83_10195
ERR1913204.728440__1.728440	487174__K0X773__DIT83_07170
ERR1913204.728469__1.728469	328814__GCA_004558275.1_00035
ERR1913204.728543__1.728543	1262882__R5MYS9__BN519_00290
ERR1913204.728643__1.728643	1262882__R5MYS0__BN519_00284
ERR1913204.728783__1.728783	214856__R6XUN2__rcsC_1
ERR1913204.728734__1.728734	1897011__A0A1Q6REX7__BHW41_04490
ERR1913204.728811__1.728811	1262882__R5MJM8__BN519_01064
ERR1913204.728826__1.728826	214856__I3YPQ8__ERS852447_01371
ERR1913204.728957__1.728957	214856__A0A174ZZS1__ERS852559_01484
ERR1913204.729045__1.729045	214856__A0A174C683__ERS852559_00523
ERR1913204.729326__1.729326	214856__I3YMN6__Alfi_1938
ERR1913204.729793__1.729793	1262882__R5MT08__BN519_01706
ERR1913204.729987__1.729987	214856__R6XUN2__rcsC_1
ERR1913204.730113__1.730113	1603888__A0A133SJQ2__HMPREF3201_00575
ERR1913204.730514__1.730514	214856__I3YMB7__Alfi_1811
ERR1913204.730899__1.730899	214856__R6Z7Q9__ERS852447_02172
ERR1913204.730832__1.730832	214856__R6XS46__ERS852559_00812
ERR1913204.730846__1.730846	487174__K0WWT0__DIT83_10190
ERR1913204.731017__1.731017	1262911__R6GQ41__BN557_00435
ERR1913204.731062__1.731062	1262882__R5MIP9__BN519_01028
ERR1913204.731121__1.731121	39492__D4JX50__EUBSIR_00410
ERR1913204.731237__1.731237	47678__R5UG96__C5Z00_12630
ERR1913204.731251__1.731251	1150298__A0A174T452__kfoC_3
ERR1913204.731520__1.731520	1501391__GCA_000786575.1_00091
ERR1913204.731551__1.731551	214856__I3YPP3__Alfi_2701
ERR1913204.731594__1.731594	301302__A0A0M6WB38__ERS852420_00286
ERR1913204.731595__1.731595	301302__A0A0M6WB38__ERS852420_00286
ERR1913204.731612__1.731612	39492__D4JRZ7__smc
ERR1913204.731836__1.731836	189722__E0NQU7__HMPREF0658_0548
ERR1913204.732266__1.732266	239935__A0A2N8I3G2__CXT89_00720
ERR1913204.732293__1.732293	214856__A0A174A1J3__ERS852447_01000
ERR1913204.732383__1.732383	39492__D4JTF2__mutS2
ERR1913204.732695__1.732695	214856__I3YMC8__ERS852447_02666
ERR1913204.733024__1.733024	410072__A0A173RMJ4__ydfH_1
ERR1913204.733156__1.733156	1262882__R5MRS7__BN519_01490
ERR1913204.733238__1.733238	189722__E0NQU7__HMPREF0658_0548
ERR1913204.733401__1.733401	239935__R6JAS2__CXU02_10725
ERR1913204.733448__1.733448	649756__L1PXG6__CL2_21620
ERR1913204.733435__1.733435	47678__R5UAF6__ERS852494_02966
ERR1913204.733606__1.733606	1160721__W0U8M9__RBI_II00386
ERR1913204.733656__1.733656	214856__R6XNE7__ERS852447_02267
ERR1913204.733727__1.733727	214856__I3YK71__ERS852559_02472
ERR1913204.733849__1.733849	301302__R5ULM4__M72_25081
ERR1913204.733865__1.733865	328813__A0A1Y3QQ66__B5G41_14240
ERR1913204.733966__1.733966	328813__A0A1Y3QZ64__B5G41_14235
ERR1913204.734107__1.734107	214856__I3YPP2__Alfi_2700
ERR1913204.734116__1.734116	1262911__R6GY22__BN557_00023
ERR1913204.734326__1.734326	487174__K0X079__DIT83_00640
ERR1913204.734312__1.734312	1262882__R5N3H1__BN519_01121
ERR1913204.734628__1.734628	214856__I3YPP0__ERS852447_01388
ERR1913204.734882__1.734882	487174__K0X3E8__DIT83_11025
ERR1913204.734934__1.734934	214856__I3YPP3__Alfi_2701
ERR1913204.734964__1.734964	214856__I3YPN0__ERS852447_01398
ERR1913204.735042__1.735042	39496__A5Z5I2__EUBVEN_00963
ERR1913204.735263__1.735263	357276__A0A076J9V8__BACDOR_01395
ERR1913204.735138__1.735138	821__A0A174JYD3__ERS852457_02610
ERR1913204.735222__1.735222	1262882__R5N2A9__BN519_00921
ERR1913204.735587__1.735587	1262882__R5MYS0__BN519_00284
ERR1913204.735641__1.735641	214856__R6XP73__ERS852447_00886
ERR1913204.735653__1.735653	1262882__R5N1L4__BN519_00757
ERR1913204.736249__1.736249	239935__A0A2N8HH03__CXU09_08875
ERR1913204.736497__1.736497	821__A0A174NM17__lacZ_6
ERR1913204.736655__1.736655	39485__A0A174ZUV1__tig_3
ERR1913204.736605__1.736605	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913204.736864__1.736864	328814__GCA_004558275.1_01002
ERR1913204.736958__1.736958	1897011__A0A1Q6RG48__BHW41_02345
ERR1913204.737060__1.737060	1160721__R6TGH1__BHW50_05060
ERR1913204.737176__1.737176	1262882__R5MHZ2__BN519_00742
ERR1913204.737450__1.737450	1235835__R9LCU2__C814_02677
ERR1913204.737518__1.737518	214856__I3YPI7__pepD_1
ERR1913204.737565__1.737565	487174__K0WV19__HMPREF9448_01820
ERR1913204.737537__1.737537	214856__I3YMB7__Alfi_1811
ERR1913204.737588__1.737588	1262882__R5MFK5__BN519_00378
ERR1913204.737591__1.737591	47678__R5UES3__CGC64_00760
ERR1913204.737619__1.737619	214856__R6YC22__ERS852447_01215
ERR1913204.737686__1.737686	39492__D4JS87__EUBSIR_02328
ERR1913204.737818__1.737818	214856__I3YPP3__Alfi_2701
ERR1913204.737747__1.737747	47678__R5U9X5__BACCAC_01339
ERR1913204.737839__1.737839	239935__A0A2N8ITW6__CXT91_06265
ERR1913204.737884__1.737884	487174__K0X6Z7__DDY40_11525
ERR1913204.738018__1.738018	47678__A5ZEA3__ERS852558_00257
ERR1913204.738072__1.738072	818__Q8A0R7__ERS852461_00039
ERR1913204.738098__1.738098	1897011__A0A1Q6RJU7__BHW41_00015
ERR1913204.738205__1.738205	239935__A0A2N8I5A2__DEF40_08455
ERR1913204.738231__1.738231	214856__I3YPP9__Alfi_2707
ERR1913204.738285__1.738285	818__A0A3E5GXM2__BJP75_025230
ERR1913204.738349__1.738349	1501391__GCA_000786575.1_00062
ERR1913204.738420__1.738420	47678__R5UZM4__DW706_15680
ERR1913204.738439__1.738439	47678__R5UBT0__CGC64_12195
ERR1913204.738485__1.738485	1262882__R5MIQ8__BN519_01036
ERR1913204.738562__1.738562	47678__R5UAI1__BACCAC_01922
ERR1913204.738576__1.738576	239935__A0A2N8IMD6__CXU03_05585
ERR1913204.738736__1.738736	47678__R5UST1__ERS852558_03505
ERR1913204.738981__1.738981	301302__A0A0M6WJW1__ERS852420_02245
ERR1913204.739088__1.739088	301302__R5UPH9__M72_00521
ERR1913204.739116__1.739116	214856__R6Z288__ERS852447_00734
ERR1913204.739183__1.739183	214856__I3YPQ0__ERS852447_01379
ERR1913204.739234__1.739234	818__A0A0N7IB02__BT_3500
ERR1913204.739258__1.739258	1262911__R6H174__BN557_01246
ERR1913204.739342__1.739342	214856__R5UN64__ERS852447_02669
ERR1913204.739485__1.739485	410072__A0A3E4GT98__ERS852574_02351
ERR1913204.739557__1.739557	1262882__R5MDR8__BN519_00124
ERR1913204.739524__1.739524	214856__A0A174CRY5__ERS852559_01060
ERR1913204.739799__1.739799	214856__A0A173YXX1__ERS852559_01651
ERR1913204.739824__1.739824	1501391__GCA_000786575.1_00124
ERR1913204.739971__1.739971	239935__A0A2N8ITG2__Amuc_0335
ERR1913204.740119__1.740119	1262882__A0A356PSJ4__BN519_01180
ERR1913204.740128__1.740128	214856__R6Y6H8__ERS852447_01719
ERR1913204.740076__1.740076	214856__I3YPP3__Alfi_2701
ERR1913204.740234__1.740234	214856__I3YPP3__Alfi_2701
ERR1913204.740354__1.740354	214856__I3YMN6__Alfi_1938
ERR1913204.740508__1.740508	1897011__A0A1Q6RG95__BHW41_02720
ERR1913204.740550__1.740550	328814__GCA_004558275.1_01002
ERR1913204.740518__1.740518	214856__D4IMT6__Alfi_1830
ERR1913204.740591__1.740591	40518__R5DRG6__ylbJ
ERR1913204.740597__1.740597	214856__I3YPQ4__Alfi_2712
ERR1913204.740725__1.740725	239935__A0A2N8ILG3__CXT93_10135
ERR1913204.740706__1.740706	214856__R6Z7Q9__ERS852447_02172
ERR1913204.740804__1.740804	1262882__R5MRS7__BN519_01490
ERR1913204.740898__1.740898	1262882__R5MLE6__BN519_01423
ERR1913204.740904__1.740904	1262882__R5MSX6__BN519_01697
ERR1913204.741004__1.741004	239935__A0A2N8HB50__CXU17_02615
ERR1913204.741011__1.741011	47678__R5UAI1__BACCAC_01922
ERR1913204.741014__1.741014	1262882__R5MIC9__BN519_00834
ERR1913204.741018__1.741018	239935__R6J9Y2__CXT85_07000
ERR1913204.741039__1.741039	1262744__R6FST0__BN744_00381
ERR1913204.741116__1.741116	214856__R6Y0B9__ERS852559_00164
ERR1913204.741130__1.741130	1262882__R5MJM8__BN519_01064
ERR1913204.741159__1.741159	214856__A0A174CRY5__ERS852559_01060
ERR1913204.741341__1.741341	239935__R6JCH3__CXT95_08205
ERR1913204.741372__1.741372	487174__R5FN40__HMPREF9448_01366
ERR1913204.741395__1.741395	214856__R6XTZ7__ERS852447_02314
ERR1913204.741450__1.741450	818__A0A139KKJ5__Btheta7330_00072
ERR1913204.741514__1.741514	214856__A0A173YXX1__ERS852559_01651
ERR1913204.741567__1.741567	871327__A0A1H5WNU7__SAMN05444001_11221
ERR1913204.741622__1.741622	39492__D4JSA4__ERS852540_00596
ERR1913204.741746__1.741746	1897011__A0A1Q6RDI4__BHW41_05605
ERR1913204.741792__1.741792	239935__A0A2N8HAQ1__DEF40_05290
ERR1913204.741880__1.741880	214856__I3YPP0__ERS852447_01388
ERR1913204.742030__1.742030	214856__R6Z288__ERS852447_00734
ERR1913204.742095__1.742095	1262882__R5N4I5__BN519_01288
ERR1913204.742239__1.742239	214856__R6Z3P8__ERS852559_01737
ERR1913204.742247__1.742247	214856__I3YPP0__ERS852447_01388
ERR1913204.742410__1.742410	214856__R6YD52__ERS852447_02171
ERR1913204.742483__1.742483	487174__K0X079__DIT83_00640
ERR1913204.742787__1.742787	487174__R5FMM3__DDY40_00820
ERR1913204.742824__1.742824	214856__A0A175A6T5__ERS852447_02658
ERR1913204.742894__1.742894	1262911__R6H174__BN557_01246
ERR1913204.742931__1.742931	39492__D4JSU6__dacB_3
ERR1913204.743117__1.743117	1150298__R7JPI7__cotI
ERR1913204.743093__1.743093	214856__R6Y2Y4__ERS852447_01086
ERR1913204.743165__1.743165	487174__K0WXG8__DIT83_09300
ERR1913204.743240__1.743240	214856__I3YPP9__Alfi_2707
ERR1913204.743316__1.743316	239935__A0A2N8HZW2__A4V05_11120
ERR1913204.743387__1.743387	214856__R6YD52__ERS852447_02171
ERR1913204.743519__1.743519	47678__R5UAF6__ERS852494_02966
ERR1913204.743441__1.743441	214856__R6Z186__ERS852447_00718
ERR1913204.743570__1.743570	1262911__R6GQM3__BN557_01245
ERR1913204.743893__1.743893	214856__R6Z590__ERS852447_01059
ERR1913204.744138__1.744138	214856__R6Z320__ERS852447_02148
ERR1913204.744159__1.744159	1501391__GCA_000786575.1_00065
ERR1913204.744309__1.744309	1262882__R5MYP8__BN519_00439
ERR1913204.744321__1.744321	214856__R6Y7P0__ERS852447_00307
ERR1913204.744433__1.744433	853__A0A2A7ATM9__DWZ89_13645
ERR1913204.744873__1.744873	487174__K0X1D9__HMPREF9448_00919
ERR1913204.744990__1.744990	1262882__R5MJM8__BN519_01064
ERR1913204.744951__1.744951	1262882__R5MH82__BN519_00752
ERR1913204.745078__1.745078	214856__I3YPP9__Alfi_2707
ERR1913204.745282__1.745282	214856__R6Z590__ERS852447_01059
ERR1913204.745400__1.745400	214856__R6Y7P0__ERS852447_00307
ERR1913204.745459__1.745459	487174__K0WV96__HMPREF9448_01901
ERR1913204.745420__1.745420	214856__R6XS46__ERS852559_00812
ERR1913204.745440__1.745440	39492__D4JQM9__EUBSIR_00669
ERR1913204.745533__1.745533	649756__A0A173T5Y7__HMPREF0369_02769
ERR1913204.745598__1.745598	214856__A0A174EJT5__mnmA
ERR1913204.745639__1.745639	1501391__GCA_000786575.1_00112
ERR1913204.745806__1.745806	649756__D4MTY0__ERS852425_01535
ERR1913204.745841__1.745841	214856__I3YPN0__ERS852447_01398
ERR1913204.746049__1.746049	1501391__GCA_000786575.1_00106
ERR1913204.746118__1.746118	301302__R5USZ5__dus_2
ERR1913204.746273__1.746273	214856__I3YPP3__Alfi_2701
ERR1913204.746538__1.746538	214856__I3YMC8__ERS852447_02666
ERR1913204.746610__1.746610	214856__R6Y2Y4__ERS852447_01086
ERR1913204.746710__1.746710	214856__A0A173YXX1__ERS852559_01651
ERR1913204.746650__1.746650	1965576__A0A1Y4LDS9__B5F19_10680
ERR1913204.746803__1.746803	39492__D4JVG7__ERS852540_00946
ERR1913204.746942__1.746942	88431__A0A3D0F1H3__ERS852573_02429
ERR1913204.747401__1.747401	214856__R6Y8K1__ERS852447_02509
ERR1913204.747451__1.747451	239935__R7DVL7__CXT93_01180
ERR1913204.747475__1.747475	1501391__GCA_000786575.1_00056
ERR1913204.747534__1.747534	214856__I3YK71__ERS852559_02472
ERR1913204.747749__1.747749	1501391__GCA_000786575.1_00067
ERR1913204.747765__1.747765	214856__R6YC22__ERS852447_01215
ERR1913204.747772__1.747772	239935__A0A2N8ITX2__CXT86_11265
ERR1913204.747822__1.747822	487174__K0X6Z7__DDY40_11525
ERR1913204.747903__1.747903	214856__R6XUN2__rcsC_1
ERR1913204.748037__1.748037	1501391__GCA_000786575.1_00103
ERR1913204.747995__1.747995	821__A0A174NM17__lacZ_6
ERR1913204.748100__1.748100	239935__R7E524__CXT91_06180
ERR1913204.748116__1.748116	487174__K0WUM9__HMPREF9448_02608
ERR1913204.748526__1.748526	214856__R6Y1K2__ERS852447_02306
ERR1913204.748481__1.748481	1235835__R9LCU2__C814_02677
ERR1913204.748607__1.748607	214856__I3YMB7__Alfi_1811
ERR1913204.748689__1.748689	1262882__R5N5W2__BN519_00074
ERR1913204.748722__1.748722	214856__R6Z7Q9__ERS852447_02172
ERR1913204.748726__1.748726	214856__R6XNE7__ERS852447_02267
ERR1913204.748761__1.748761	214856__R6XS46__ERS852559_00812
ERR1913204.748937__1.748937	487174__K0XRL3__HMPREF9448_00669
ERR1913204.748961__1.748961	214856__R6YC22__ERS852447_01215
ERR1913204.748978__1.748978	214856__R6XS46__ERS852559_00812
ERR1913204.749460__1.749460	214856__R6Z186__ERS852447_00718
ERR1913204.749555__1.749555	214856__I3YPI7__pepD_1
ERR1913204.749567__1.749567	214856__I3YPP1__Alfi_2699
ERR1913204.749589__1.749589	410072__C0BEV2__ERS852525_03010
ERR1913204.749806__1.749806	214856__R6XTZ7__ERS852447_02314
ERR1913204.749957__1.749957	214856__A0A174ZLX0__ERS852559_00738
ERR1913204.750016__1.750016	214856__R6XRA1__vatD_3
ERR1913204.750044__1.750044	214856__I3YPR6__Alfi_2724
ERR1913204.750142__1.750142	214856__I3YMN6__Alfi_1938
ERR1913204.750269__1.750269	214856__I3YPN0__ERS852447_01398
ERR1913204.750309__1.750309	28118__R6F891__NCTC10826_02656
ERR1913204.750410__1.750410	214856__R6Z288__ERS852447_00734
ERR1913204.750853__1.750853	1262882__R5MIW5__BN519_00945
ERR1913204.750874__1.750874	301302__A0A173UN64__manA_2
ERR1913204.751096__1.751096	410072__A0A173XU61__ykvU
ERR1913204.751419__1.751419	1262882__R5N1T9__BN519_00804
ERR1913204.751495__1.751495	39492__D4JR58__EUBSIR_02090
ERR1913204.751540__1.751540	239935__A0A2N8ITG2__Amuc_0335
ERR1913204.751588__1.751588	47678__R5U8Y1__BACCAC_02615
ERR1913204.752016__1.752016	39488__A0A374NKN1__ltaS_2
ERR1913204.751994__1.751994	214856__A0A174CRY5__ERS852559_01060
ERR1913204.752309__1.752309	214856__R6Z3P8__ERS852559_01737
ERR1913204.752399__1.752399	214856__A0A174ZJU0__ERS852559_00619
ERR1913204.752411__1.752411	357276__A0A076IS26__EL88_15950
ERR1913204.752486__1.752486	1160721__W0U5X6__RBI_I01796
ERR1913204.752512__1.752512	214856__I3YPQ3__Alfi_2711
ERR1913204.752513__1.752513	47678__R5UME6__BACCAC_01239
ERR1913204.752516__1.752516	1262882__R5N048__BN519_00502
ERR1913204.752540__1.752540	1262882__R5MLP5__BN519_01602
ERR1913204.752557__1.752557	1262882__R5MS31__BN519_01529
ERR1913204.752612__1.752612	301302__R5V4M3__ERS852420_01171
ERR1913204.752623__1.752623	487174__K0XBH1__DIT83_01445
ERR1913204.752626__1.752626	47678__R5UT79__ERS852558_03890
ERR1913204.752659__1.752659	239935__A0A2N8I5A2__DEF40_08455
ERR1913204.752666__1.752666	214856__I3YPP9__Alfi_2707
ERR1913204.752794__1.752794	649756__L1PUE8__ERS852571_00747
ERR1913204.752967__1.752967	214856__A0A174CRY5__ERS852559_01060
ERR1913204.753030__1.753030	214856__R6Y1K2__ERS852447_02306
ERR1913204.753054__1.753054	74426__pta
ERR1913204.753235__1.753235	301302__A0A0M6WH46__M72_23101
ERR1913204.753664__1.753664	239935__R6JD78__CXU05_09250
ERR1913204.753641__1.753641	487174__K0WXI9__HMPREF9448_02340
ERR1913204.753715__1.753715	1501391__GCA_000786575.1_00123
ERR1913204.753754__1.753754	214856__I3YPI7__pepD_1
ERR1913204.753969__1.753969	292800__A0A174SE17__dppA_5
ERR1913204.754306__1.754306	214856__I3YPI7__pepD_1
ERR1913204.754307__1.754307	818__A0A2J6AED2__C5Z03_02940
ERR1913204.754535__1.754535	214856__A0A174C683__ERS852559_00523
ERR1913204.754604__1.754604	214856__I3YPN9__ERS852447_01389
ERR1913204.754847__1.754847	214856__I3YPQ3__Alfi_2711
ERR1913204.755021__1.755021	328814__GCA_004558275.1_00995
ERR1913204.755033__1.755033	214856__A0A174EJT5__mnmA
ERR1913204.755087__1.755087	214856__A0A174CRY5__ERS852559_01060
ERR1913204.755058__1.755058	1501391__GCA_000786575.1_00071
ERR1913204.755159__1.755159	1262882__R5MHZ2__BN519_00742
ERR1913204.755196__1.755196	39492__D4JUN0__EUBSIR_02705
ERR1913204.755260__1.755260	239935__R6J9Y2__CXT85_07000
ERR1913204.755327__1.755327	214856__R6XUN2__rcsC_1
ERR1913204.755507__1.755507	214856__R6XYY8__ERS852447_01722
ERR1913204.755539__1.755539	214856__I3YPP3__Alfi_2701
ERR1913204.755787__1.755787	239935__R7DVL7__CXT93_01180
ERR1913204.755857__1.755857	1501391__GCA_000786575.1_00001
ERR1913204.755929__1.755929	214856__R6YD52__ERS852447_02171
ERR1913204.756008__1.756008	39490__U2NW65__phoR_2
ERR1913204.756046__1.756046	1262882__R5MJZ4__BN519_01269
ERR1913204.756097__1.756097	301302__A0A0M6WVU2__M72_13551
ERR1913204.756063__1.756063	1262882__R5MEN2__BN519_00200
ERR1913204.756154__1.756154	214856__A0A174EJT5__mnmA
ERR1913204.756232__1.756232	301302__A0A0M6WWS5__M72_14631
ERR1913204.756246__1.756246	301302__A0A173S3L8__vpr
ERR1913204.756314__1.756314	1501391__GCA_000786575.1_00135
ERR1913204.756315__1.756315	47678__R5UBT0__CGC64_12195
ERR1913204.756378__1.756378	214856__I3YPP9__Alfi_2707
